id,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,
22,Martin Luther Universität Halle-Wittenberg,2018,1561,10.1371/journal.pone.0205354,FALSE,Public Library of Science (PLoS),PLOS_ONE,
23,Martin Luther Universität Halle-Wittenberg,2018,1528,10.1371/journal.pone.0197185,FALSE,Public Library of Science (PLoS),PLOS_ONE,
24,Martin Luther Universität Halle-Wittenberg,2018,405,10.3390/land7020076,FALSE,MDPI_AG,Land,
25,Martin Luther Universität Halle-Wittenberg,2018,1727,10.1186/s12877-018-0816-1,FALSE,Springer Nature,BMC_Geriatrics,
26,Martin Luther Universität Halle-Wittenberg,2018,1630,10.1038/s41598-018-27017-9,FALSE,Springer_Nature,Scientific_Reports,
27,Martin Luther Universität Halle-Wittenberg,2018,1783,10.2147/CLEP.S156764,FALSE,DOVEPRESS,Clinical_Epidemiology,
28,Martin Luther Universität Halle-Wittenberg,2018,1783,10.2147/DDDT.S184965 ,FALSE,DOVEPRESS,Drug_Design_Development_and_Therapy,
29,Martin Luther Universität Halle-Wittenberg,2018,512,10.3390/land7030098 ,FALSE,MDPI_AG,Land,
30,Martin Luther Universität Halle-Wittenberg,2018,1713,10.3390/molecules23092335,FALSE,MDPI_AG,Molecules,
31,Martin Luther Universität Halle-Wittenberg,2018,1487,10.3390/ma11071121,FALSE,MDPI_AG,Materials,
32,Martin Luther Universität Halle-Wittenberg,2018,465,10.3390/land7030101 ,FALSE,MDPI_AG,Land,
33,Martin Luther Universität Halle-Wittenberg,2018,1392,10.1088/1367-2630/aä8b6,FALSE,IOP,New_Journal_of_Physics,
34,Martin Luther Universität Halle-Wittenberg,2018,2036,10.3389/fpsyg.2018.01590,FALSE,Frontiers Media SA,Frontiers_in_Psychology,
35,Martin Luther Universität Halle-Wittenberg,2018,2036,10.3389/fpsyg.2018.01701,FALSE,Frontiers Media SA,Frontiers_in_Psychology,
36,Martin Luther Universität Halle-Wittenberg,2018,1661,10.1371/journal.pone.0202193 ,FALSE,Public Library of Science (PLoS),PLOS_ONE,
37,Martin Luther Universität Halle-Wittenberg,2018,1696,10.1136/bmjopen-2018-024151 ,FALSE,BMJ,BMJ_Open,
38,Martin Luther Universität Halle-Wittenberg,2018,1630,10.1038/s41598-018-31316-6,FALSE,Springer_Nature,Scientific_Reports,
39,Martin Luther Universität Halle-Wittenberg,2018,1305,10.3390/polym10090960 ,FALSE,MDPI_AG,Polymers,
40,Martin Luther Universität Halle-Wittenberg,2018,835,10.1128/MRA.01190-18 ,FALSE,ASM,Microbiology_Resource_Announcements,
41,Martin Luther Universität Halle-Wittenberg,2018,1561,10.1371/journal.pone.0204128 ,FALSE,Public Library of Science (PLoS),PLOS_ONE,
42,Martin Luther Universität Halle-Wittenberg,2018,1691,10.3390/molecules23102558 ,FALSE,MDPI_AG,Molecules,
43,Martin Luther Universität Halle-Wittenberg,2018,1561,10.1371/journal.pone.0207928 ,FALSE,Public Library of Science (PLoS),PLOS_ONE,
44,Martin Luther Universität Halle-Wittenberg,2018,435,10.3390/antiox7120192 ,FALSE,MDPI_AG,Antioxidants,
45,Martin Luther Universität Halle-Wittenberg,2018,1533,10.3389/fmicb.2018.02384 ,FALSE,Frontiers Media SA,Frontiers_in_Microbiology,
46,Martin Luther Universität Halle-Wittenberg,2018,1420,10.3390/ijms19123842 ,FALSE,MDPI_AG,International_Journal_of_Molecular_Sciences,
47,Martin Luther Universität Halle-Wittenberg,2018,2038,10.1002/open.201800114,FALSE,Wiley,ChemistryOpen,
48,Martin Luther Universität Halle-Wittenberg,2018,2038,10.1002/open.201800176 ,FALSE,Wiley,ChemistryOpen,
49,Martin Luther Universität Halle-Wittenberg,2018,2011,10.1186/s40814-018-0334-0,FALSE,Springer_Nature,BMC_Pilot_and_Feasibility_Studies,
50,Martin Luther Universität Halle-Wittenberg,2018,2954,10.3389/fgene.2018.00375,FALSE,Frontiers Media SA,Frontiers_in_Genetics,
51,Martin Luther Universität Halle-Wittenberg,2018,1995,10.3389/fncel.2018.00425,FALSE,Frontiers Media SA,Frontiers_in_Cellular_Neuroscience,
52,Martin Luther Universität Halle-Wittenberg,2018,1990,10.3389/fmicb.2018.02837,FALSE,Frontiers Media SA,Frontiers_in_Microbiology,
53,Martin Luther Universität Halle-Wittenberg,2018,4582,10.1038/s41467-018-05421-z,FALSE,Springer_Nature,Nature_Communications,
54,Martin Luther Universität Halle-Wittenberg,2018,3433,10.1038/s41387-018-0037-x,FALSE,Springer_Nature,Nutrion&Diabetes,
55,Martin Luther Universität Halle-Wittenberg,2018,3436,10.18632/oncotarget.25183,FALSE,LLC,Oncotarget,
56,Martin Luther Universität Halle-Wittenberg,2018,2428,10.1186/s12978-017-0443-x,FALSE,Springer_Nature,BMC_Reproductive_Health,
57,Martin Luther Universität Halle-Wittenberg,2018,2954,10.3389/fphar.2018.00463,FALSE,Frontiers Media SA,Frontiers_in_Pharmacology,
58,Martin Luther Universität Halle-Wittenberg,2018,2166,10.1002/mbo3.649,FALSE,Wiley,MicrobiologyOpen,
59,Martin Luther Universität Halle-Wittenberg,2018,2172,10.1186/s13019-018-0739-0,FALSE,Springer_Nature,Journal_of_Cardiothoracic_Surgery,
60,Martin Luther Universität Halle-Wittenberg,2018,2950,10.3389/fmicb.2018.01238,FALSE,Frontiers Media SA,Frontiers_in_Microbiology,
61,Martin Luther Universität Halle-Wittenberg,2018,2510,10.1128/mBio.00419-18,FALSE,DOVEPRESS,mBio,
62,Martin Luther Universität Halle-Wittenberg,2018,2142,10.1186/s12859-018-2203-5,FALSE,Springer_Nature,BMC_Bioinformatics,
63,Martin Luther Universität Halle-Wittenberg,2018,1995,10.3389/fpsyg.2018.00677 ,FALSE,Frontiers Media SA,Frontiers_in_Psychology,
64,Martin Luther Universität Halle-Wittenberg,2018,1622, 10.1186/s12862-018-1313-z,FALSE,Springer_Nature,BMC_Evolutionary_Biology,
