institution;period;euro;doi;is_hybrid;publisher;journal_full_title;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2000;10.3390/cancers13051167;false;MDPI_Basel;Cancers ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/cancers13102393;false;MDPI_Basel;Cancers;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1841;10.3390/cancers13174326;false;MDPI_Basel;Cancers;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1889;10.3390/cancers13235913;false;MDPI_Basel;Cancers;;;;;
Martin Luther Universitaet Halle-Wittenberg;2020;1070;10.3390/d12110440;false;MDPI_Basel;Diversity;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1355;10.3390/diseases9010019;false;MDPI_Basel;Diseases;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;770;10.3390/gels7010022;false;MDPI_Basel;Gels;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2424;10.3390/ijerph18063093;false;MDPI_Basel;International_Journal_of_Environmental_Research_and_Public_Health;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2424;10.3390/ijerph18084050;false;MDPI_Basel;International_Journal_of_Environmental_Research_and_Public_Health;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2424;10.3390/ijerph182212016;false;MDPI_Basel;International_Journal_of_Environmental_Research_and_Public_Health;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1984;10.3390/ijms22041714;false;MDPI_Basel;International_Journal_of_Molecular_Structure ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/ijms22094831;false;MDPI_Basel;International_Journal_of_Molecular_Structure ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/ijms22105098;false;MDPI_Basel;International_Journal_of_Molecular_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/ijms22115910;false;MDPI_Basel;International_Journal_of_Molecular_Structure ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/ijms22136678;false;MDPI_Basel;International_Journal_of_Molecular_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/ijms22158283;false;MDPI_Basel;International_Journal_of_Molecular_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1771;10.3390/ijms22189855;false;MDPI_Basel;International_Journal_of_Molecular_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1545;10.3390/insects12090843;false;MDPI_Basel;Insects;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1773;10.3390/jcm10040818;false;MDPI_Basel;Journal_of_Clinical Medicine;;;;;
Martin Luther Universitaet Halle-Wittenberg;2020;1773;10.3390/jcm9113672;false;MDPI_Basel ;Journal_of_Clinical_Medicine;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1777;10.3390/jof7030173;false;MDPI_Basel;Journal_of_Fungi;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/ma14143884;false;MDPI_Basel;Materials;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1717;10.3390/microorganisms9040871;false;MDPI_Basel;Microorganisms;;;;;
Martin Luther Universitaet Halle-Wittenberg;2020;1618;10.3390/molecules26010018;false;MDPI_Basel;Molecular_Cancer;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1936;10.3390/molecules26071875;false;MDPI_Basel;Molecules;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/molecules26072102;false;MDPI_Basel;Molecules;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1652;10.3390/nano11010184;false;MDPI_Basel;Nanomaterials;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2181;10.3390/pharmaceutics13020282;false;MDPI_Basel;Pharmaceutics;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/polym13081266;false;MDPI_Basel;polymers;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2635;10.3390/rs13152951;false;MDPI_Basel;Remote_Sensing;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1382;10.3390/sports9030034;false;MDPI_Basel;Sports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2530;10.3390/toxins13060381;false;MDPI_Basel ;Toxins;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;833;10.36900/suburban.v9i1/2.683 ;false;sub\urban_e.V.;sub\urban. zeitschrift für kritische Stadtforschung ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1785;10.52082/jssm.2021.557;false;University_of_Uludag;Journal_of_Sports_Science_and_Medicine;;;;;
