"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC","DOI","Date of APC payment","Date of initial application by author","ISSN0","Institution","Journal","Licence","PubMed Central (PMC) ID","PubMed ID","Publisher","TCO year","Type of publication","Drop?","Year of publication","Article title","DOI","similarity"
"1351.5","1351.5","1351.5","GBP","","2014","2014-10-07","","University of Birmingham","Arthritis, research & therapy","","","","Springer Nature","2014","Journal Article/Review","0","","Subjective and objective measured physical activity and their association with cardio-respiratory fitness in rheumatoid arthritis patients","10.1186/s13075-015-0584-7","0.9492753623188406"
"1371.9","1371.9","1371.9","GBP","","2014","2014-10-15","","University of Birmingham","World Journal of Surgical Oncology","","","","Springer Nature","2014","Journal Article/Review","0","","Predictors of Early Recurrence after Resection of Colorectal Liver Metastases","",""
"1550.4","1550.4","1550.4","GBP","","2014","2014-10-23","","University of Birmingham","Journal of Neurodevelopmental Disorders","","","","Springer Nature","2014","Journal Article/Review","0","","Face scanning and spontaneous emotion discrimination in Cornelia de Lange syndrome and Rubinstein-Taybi syndrome","10.1186/s11689-015-9119-4","0.9090909090909091"
"3000","0","0","USD","","2014","2014-10-31","","University of Birmingham","Current Opinion in Psychiatry","","","","Wolters Kluwer/Lippincott Williams & Wilkins","2014","Journal Article/Review","0","","Costs and benefits of realism and optimism","10.1097/yco.0000000000000143","1.0"
"1590","1590","1590","GBP","","2014","2014-11-12","","University of Birmingham","Trials","","","","Springer Nature","2014","Journal Article/Review","0","","Core outcome sets for use in effectiveness trials involving people with bipolar and schizophrenia in a community based setting (PARTNERS2): study protocol for the development of two core outcome sets","10.1186/s13063-015-0553-0","0.9949748743718593"
"2040","2040","2040","GBP","","2014","2014-11-13","","University of Birmingham","BMJ Open Respiratory Research","","","","BMJ Group","2014","Journal Article/Review","0","","Predicting risk of COPD in primary care: development and validation of a clinical risk score","10.1136/bmjresp-2014-000060","1.0"
"1800","1800","1800","GBP","","2014","2014-11-19","","University of Birmingham","Environment and Planning A","","","","Pion","2014","Journal Article/Review","1","","Children living with ‘sustainable’ urban architectures","10.1068/a140401p","1.0"
"2040","2040","2040","GBP","","2014","2014-12-03","","University of Birmingham","British Journal of General Practice","","","","Royal College of General Practitioners","2014","Journal Article/Review","0","","Receptionist rECognition and rEferral of Patients with Stroke (RECEPTS): unannounced simulated patient telephone call study","10.3399/bjgp15x685621","0.9389312977099237"
"1351.5","1351.5","1351.5","GBP","","2014","2014-12-10","","University of Birmingham","Arthritis Research & Therapy","","","","Springer Nature","2014","Journal Article/Review","0","","Differential glucocorticoid metabolism in patients with persistent versus resolving inflammatory arthritis","10.1186/s13075-015-0633-2","1.0"
"1244.4","1244.4","1244.4","GBP","","2014","2014-12-19","","University of Birmingham","International Journal for Equity in Health","","","","Springer Nature","2014","Journal Article/Review","0","","Health care financing and the sustainability of health systems","",""
"","","960","","","2014-09-25","2014-05-13","1740-2360","University of Bristol","History of Psychiatry","","","","SAGE Publications","2014","Journal Article/Review","0","","Photography and Radical Psychiatry in Italy in the 1960s. The case of the photobook Morire di Classe (1969)","10.1177/0957154x14550136","1.0"
"","","1051.2","","","2014-07-16","2014-07-16","0340-7004","University of Bristol","Cancer Immunology, Immunotherapy","","","","Wiley-Blackwell","2014","Journal Article/Review","1","","The B subunit of E. coli enterotoxin (EtxB) helps control the in vivo growth of solid tumors expressing the Epstein-Barr virus latent membrane protein 2A","10.1002/cam4.380","0.934640522875817"
"3800","2814.82","2814.82","USD","","2014-10-20","2014-10-09","0263-6352","University of Bristol","Journal of Hypertension","","","","Ovid Technologies (Wolters Kluwer Health)","2014","Journal Article/Review","0","2014","The association of non-alcoholic fatty liver disease with central and peripheral blood pressure in adolescence: findings from a cross-sectional study","10.1097/hjh.0000000000000445","0.8449612403100775"
"","","852","","","2014-10-14","2014-10-13","1362-4962","University of Bristol","Nucleic Acids Research","CC BY","","","Oxford University Press (OUP)","2014","Journal Article/Review","0","2014","The SUPERFAMILY 1.75 database in 2014: a doubling of data","10.1093/nar/gku1041","1.0"
"","","852","","","2014-11-14","2014-11-11","0305-1048","University of Bristol","Nucleic Acids Research","","","","Oxford University Press (OUP)","2014","Journal Article/Review","0","","DNA cleavage by CgII and NgoAVII requires interaction between N- and R-proteins and extensive nucleotide hydrolysis","10.1093/nar/gku1236","1.0"
"","","1800","","","2014-12-09","2014-11-17","2041-479X","University of Bristol","Journal of the Geological Society","","","","Geological Society of London","2014","Journal Article/Review","0","","An inclined Vulcanian exPLOSion and associated products","10.1144/jgs2014-099","1.0"
"","","932.4","","","2014-11-16","2014-11-19","2045-7758","University of Bristol","Ecology and Evolution","","","","Wiley-Blackwell","2014","Journal Article/Review","0","","Ecological and evolutionary response of marine plankton to habitat formation and destruction in the marine environment","",""
"1826.15","1732.73","1732.73","EUR","","2014-11-20","2014-11-20","0165-0327","University of Bristol","Journal of Affective disorders","","","","Elsevier BV","2014","Journal Article/Review","0","","Cognitive styles and future depressed mood in early adulthood","",""
"","","3000","","","2014-11-20","2014-11-20","0007-1250","University of Bristol","British Journal of Psychiatry","","","","Royal College of Psychiatrists","2014","Journal Article/Review","0","","Youth Mental Health After Civil War: The importance of Daily Stressors'","10.1192/bjp.bp.114.146324","0.9929078014184397"
"","","932.4","","","2014-11-25","2014-11-25","2045-7758","University of Bristol","Ecology and Evolution","","","","Wiley-Blackwell","2014","Journal Article/Review","0","","Multi-cue environments favour the evolution of plasticity of dauer larva developmental arrest in the nematode Caenorhabditis elegans","10.1002/ece3.1436","0.8669527896995708"
"2629.66","2043.88","2043.88","EUR","","2014-11-27","2014-11-27","1574-7891","University of Bristol","Molecular Oncology","","","","Elsevier BV","2014","Journal Article/Review","0","","Protein arginine methyltransferase 5 is a key regulator of the MYCN oncoprotein in neuroblastoma cells","10.1016/j.molonc.2014.10.015","1.0"
"","","2100","","","2014-12-03","2014-12-01","1464-374X","University of Bristol","Journal of Environmental Law","","","","Oxford University Press (OUP)","2014","Journal Article/Review","0","","Rethinking participation in environmental decision-making: epistemologies of marine conservation in South-East England","10.1093/jel/equ035","1.0"
"1350","995.14","995.14","USD","","2014-12-04","2014-12-04","1932-6203","University of Bristol","PLOS One","","","","Public Library of Science (PLoS)","2014","Journal Article/Review","0","","Investigating glutamatergic mechanism in attention and impulse control using rats in a modified 5-ch","10.1371/journal.pone.0115374","0.8695652173913043"
"","","1262.4","","","2014-12-15","2014-12-15","1361-9209","University of Bristol","Transportation Research D: Transport and Environment","","","","Elsevier BV","2014","Journal Article/Review","0","","An aircraft performance model implementation for the estimation of global and regional commercial aviation fuel burn and emissions","10.1016/j.trd.2014.11.022","1.0"
"3235","2433.98","2433.98","USD","","2014-12-15","2014-12-15","1872-7972","University of Bristol","Journal of Neurochemistry","","","","Society for Neuroscience","2014","Journal Article/Review","0","","The role of Brain Derived Neurotrophic Factor (BDNF) in the development of neurogenic detrusor overactivity (NDO)","10.1523/jneurosci.0373-14.2015","0.9911504424778761"
"","","1020","","","2015-01-13","2014-12-17","1744-8298","University of Bristol","Future Cardiology","","","","Future Medicine Ltd","2014","Journal Article/Review","1","","A life course approach to Cardiovascular Ageing","",""
"","","","","","","2014-03-03","","University of Cambridge","Urban Water Journal","","","","Informa UK Limited","2014","","0","","System interactions of stormwater management using Sustainable Urban Drainage Systems and Green Infrastructure","10.1080/1573062x.2015.1036083","1.0"
"","","","","","","2014-03-13","","University of Cambridge","BMC Family Practice","","","","Springer Nature","2014","","0","","Does the availability of a South Asian language in practices improve reports of doctor-patient communication from South Asian patients? Cross sectional analysis of a national patient survey in English general practices","10.1186/s12875-015-0270-5","1.0"
"","","2140.31","","","2014-06-24","2014-03-25","","University of Cambridge","Advanced Energy Materials","","","","Wiley-Blackwell","2014","","0","","The Influence of Quantum Dot Aggregates on Photovoltaic Performance in Nanocrystal – Polymer Bulk Heterojunction Solar Cells","10.1002/aenm.201400139","0.926829268292683"
"","","1381.93","","","2014-07-11","2014-04-18","","University of Cambridge","Journal of Vertebrate Paleontology","","","","Informa UK Limited","2014","","1","","Extraordinarily preserved talpids (Mammalia, Lipotyphla) and the evolution of fossoriality","10.1080/02724634.2014.934828","1.0"
"","","","","","","2014-05-01","","University of Cambridge","Earth and Planetary Science Letters","","","","Elsevier BV","2014","","0","","An Atlantic-Pacific ventilation seesaw across the last deglaciation","10.1016/j.epsl.2015.05.032","0.9850746268656716"
"","","","","","","2014-06-04","","University of Cambridge","Oxford Journal of Archaeology","","","","Oxford University Press (OUP)","2014","","0","","The Roman city as articulated through terra sigillata","10.1111/ojoa.12059","1.0"
"","","2100","","","2014-11-03","2014-06-17","","University of Cambridge","The Library","","","","Oxford University Press (OUP)","2014","","0","","Book Buying and the Grand Tour: the Italian Books at Belton House in Lincolnshire","10.1093/library/16.1.51","0.9876543209876543"
"","","2687.89","","","2014-08-13","2014-07-15","","University of Cambridge","Medicine & Science in Sports & Exercise","","","","Wolters Kluwer/Lippincott Williams & Wilkins","2014","","0","","Television Viewing, Walking Speed and Grip Strength in a Prospective Cohort Study","10.1249/mss.0000000000000453","0.9938650306748467"
"","","","","","","2014-09-02","","University of Cambridge","The History of the Family","","","","Informa UK Limited","2014","","1","","A Two-Tiered Demographic System: “Insiders” and “Outsiders” in Three Swabian Communities, 1558-1914","10.2139/ssrn.2222932","0.9595959595959596"
"","","2145.6","","","2015-01-29","2014-09-04","","University of Cambridge","Colonial Latin American Review","","","","Informa UK Limited","2014","","0","","Sumatran rice and miracle herbs: Local and international natural knowledge in late-colonial Guatemala","10.1080/10609164.2015.1009281","0.9901960784313726"
"","","2250.42","","","2014-11-03","2014-10-08","","University of Cambridge","Medicine","","","","Elsevier BV","2014","","1","","Epidemiology of diabetes","",""
"","","2040","","","2014-10-25","2014-10-11","","University of Cambridge","Superconductor Science and Technology","","","","IOP Publishing","2014","","1","","Effect of the size of GBCO-Ag secondary magnet on the static forces performance of linear synchronous motors","10.1088/0953-2048/27/11/115016","0.9953917050691244"
"","","1519.99","","","2014-11-15","2014-10-20","","University of Cambridge","Advances in Biological Regulation","","","","Elsevier BV","2014","","1","","Exploring phosphatidylinositol 5-phosphate 4-kinase function","10.1016/j.jbior.2014.09.007","1.0"
"","","","","","","2014-10-23","","University of Cambridge","Neurology","","","","Wolters Kluwer/Lippincott Williams & Wilkins","2014","","0","","Sleep Duration And Risk Of Fatal And Non-Fatal Stroke: A Prospective Study And Meta-Analysis","10.1212/wnl.0000000000001371","0.994535519125683"
"","","","","","","2014-10-24","","University of Cambridge","American Mineralogist","","","","Mineralogical Society of America","2014","","1","","Effect of pores and grain size on the elastic and piezoelectric properties of quartz based materials","10.2138/am-2015-5180ccby","0.99"
"","","","","","","2014-10-27","","University of Cambridge","Computers in Human Behavior","","","","","2014","","1","","Reading this may harm your computer: the psychology of malware warnings","10.1016/j.chb.2014.09.014","1.0"
"","","","","","","2014-11-11","","University of Cambridge","British Journal of Psychiatry","","","","Royal College of Psychiatrists","2014","","1","","Hedonic and disgust perceptions of sweet and bitter tastes in borderline personality disorder and depression","",""
"","","1620","","","2015-01-26","2014-11-12","","University of Cambridge","BMJ Open","","","","BMJ Group","2014","","1","","The feasibility of meeting the World Health Organization guidelines for sodium and potassium: a cross-national comparison study","10.1136/bmjopen-2014-006625","0.9051724137931034"
"","","","","","","2014-11-12","","University of Cambridge","BMC Public Health","","","","Springer Nature","2014","","1","","The Medical Research Council Cognitive Function and Ageing Study","",""
"","","","","","","2014-11-17","","University of Cambridge","Fuel","","","","Elsevier BV","2014","","1","","Large-Eddy Simulation of Pulverized Coal Jet Flame -Effect of Oxygen Concentration on NOx formation","10.1016/j.fuel.2014.10.069","0.9849246231155779"
"","","2299.14","","","2014-12-23","2014-11-19","","University of Cambridge","Biometrical Journal","","","","Wiley-Blackwell","2014","","1","","The estimation and use of predictions for the assessment of model performance using large samples with multiply imputed data","10.1002/bimj.201400004","1.0"
"","","1620","","","2014-12-10","2014-11-21","","University of Cambridge","BMJ Open","","","","BMJ Group","2014","","1","","The pathway to diagnosis of type 1 diabetes in children: a questionnaire study","",""
"","","","","","","2014-11-28","","University of Cambridge","Applied Immunohistochemistry & Molecular Morphology","","","","Wolters Kluwer/Lippincott Williams & Wilkins","2014","","0","","Decline in antigenicity of tumour markers by storage time using pathology sections cut from tissue micro-arrays","10.1097/pai.0000000000000172","0.990909090909091"
"","","","","","","2014-12-01","","University of Cambridge","Light: Science and Applications","","","","Springer Nature","2014","","0","","High Resolution Optically Addressed Spatial Light Modulator based on ZnO Nanoparticles","10.1038/lsa.2015.32","0.9770114942528736"
"","","2120.88","","","2014-12-23","2014-12-03","","University of Cambridge","Alzheimers Research & Therapy","","","","Springer Nature","2014","","0","","Re-examining tau-immunoreactive pathology in the Cambridge City over 75s Cohort: granulovacuolar degeneration and neurofibrillary tangles","10.1186/s13195-015-0141-2","0.8661417322834646"
"","","1411.5","","","2015-01-08","2014-12-04","","University of Cambridge","Breast Cancer Research","","","","Springer Nature","2014","","1","","Associations of common breast cancer susceptibility alleles with risk of breast cancer subtypes in BRCA1 and BRCA2 mutation carriers","10.1186/s13058-014-0492-9","1.0"
"","","","","","","2014-12-05","","University of Cambridge","Early Medieval Europe","","","","Wiley-Blackwell","2014","","1","","The politics of being Norman in the reign of Richard the Fearless, Duke of Normandy (r. 942-996)","10.1111/emed.12106","1.0"
"","","","","","","2014-12-08","","University of Cambridge","Physics in Medicine and Biology","","","","IOP Publishing","2014","","1","","Defining robustness protocols: a method to include and evaluate robustness in clinical plans","10.1088/0031-9155/60/7/2671","1.0"
"","","2473.24","","","2015-01-30","2014-12-08","","University of Cambridge","Journal of Neuroscience","","","","Society for Neuroscience","2014","","1","","Value-based choices reveal probability distortion in macaque monkeys","10.1523/jneurosci.3653-14.2015","0.8721804511278195"
"","","","","","","2014-12-12","","University of Cambridge","Design Studies","","","","Elsevier BV","2014","","1","","Fixation and creativity in concept development: the attitudes and practices of expert designers","10.1016/j.destud.2015.01.002","1.0"
"","","","","","","2014-12-15","","University of Cambridge","Classical annd Quantum Gravity","","","","IOP Publishing","2014","","1","","Minimal Massive 3D Gravity Unitarity Redux","10.1088/0264-9381/32/8/085003","1.0"
"","","","","","","2014-12-16","","University of Cambridge","Nature Communications","","","","Springer Nature","2014","","1","","Capturing the cloud of MRSA diversity after transmission and during infection reveals complex and heterogenous carriage and transmission","",""
"","","","","","","2014-12-16","","University of Cambridge","Inventiones Mathematicae","","","","Springer Nature","2014","","1","","The triviality problem for profinite completions","10.1007/s00222-015-0578-8","1.0"
"","","2370.13","","","2015-01-19","2014-12-17","","University of Cambridge","The Economic History Review","","","","Wiley-Blackwell","2014","","1","","Urban inoculation and the decline of smallpox in eighteenth century cities - a reply to Razzell","10.1111/ehr.12112","0.9292929292929293"
"","","","","","","2014-12-28","","University of Cambridge","Journal of the American Statistical Association","","","","Informa UK Limited","2014","","1","","Unifying Amplitude and Phase Analysis]{ Unifying Amplitude and Phase Analysis: \\A Compositional Data Approach to Functional Multivariate Mixed-Effects Modeling of Mandarin Chinese","10.1080/01621459.2015.1006729","0.8679245283018868"
"","","","","","","2014-04-24","0043-1354","Cranfield University","Water Resources Research","Unspecified/unclear","","","American Geophysical Union ","2014","Journal Article/Review","0","","Effect of modeller selection of baseline meteorological data products on uncertainty in simulated hydrological impacts of climate change","",""
"","","","","","","2014-05-06","0022-1694","Cranfield University","Journal of Hydrology","CC BY","","","Elsevier BV","2014","Journal Article/Review","0","","Modeling flood characterizations with parametric minimum information pair ","10.1016/j.jhydrol.2016.06.044","0.8176795580110497"
"","","","","","","2014-09-09","0733-8724","Cranfield University","Journal of Lightwave Technology","CC BY","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","Journal Article/Review","0","","An optical fibre hydrogen sensor using a palladium coated ball lens","10.1109/jlt.2014.2384203","0.9701492537313433"
"","","","","","","2014-11-04","0946-2171","Cranfield University","Applied Physics B","CC BY","","","Springer Nature","2014","Journal Article/Review","0","","Engineering Photonics: Development and Application of Instrumentation and Sensors","",""
"","","","","","","2014-11-28","1932-6203","Cranfield University","PLOS ONE","CC BY","","","Public Library of Science (PLoS)","2014","Journal Article/Review","0","","An in-vitro to in-vivo translational pharmacokinetic -pharmacodynamic model for Temozolomide","",""
"","","","","","","2014-12-22","1064-3389","Cranfield University","Critical Reviews in Environmental Science and Technology","CC BY","","","Informa UK Limited","2014","Journal Article/Review","0","","The characterisation of faeces and urine","",""
"666.42","559.37","559.37","EUR","","2014-05-27","2013-12-09","0304-4149","University of Durham","Stochastic Processes and their Applications","CC BY","","","Elsevier BV","2014","Journal Article/Review","0","2014","Non-homogeneous random walks on a semi-infinite strip","10.1016/j.spa.2014.05.005","1.0"
"","","2040","","","","2014-01-02","","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing","2014","","0","","Cryogenic and room temperature strength of sapphire jointed by hydroxide catalysis bonding","10.1088/0264-9381/31/4/045001","0.9888888888888889"
"","","423.17","","","","2014-01-06","","University of Glasgow","Neglected Tropical Diseases","","","","Public Library of Science (PLoS)","2014","","0","","A repurposing strategy for Hsp90 inhibitors demonstrates their potency against filarial nematodes","10.1371/journal.pntd.0002699","1.0"
"","","1500","","","","2014-01-14","","University of Glasgow","Journal of Business Finance and Accounting","","","","Wiley-Blackwell","2014","","0","","Market Implied Ratings and Financing Constraints: Evidence from US Firms","10.1111/jbfa.12062","1.0"
"2640","2191.2","2191.2","EUR","","","2014-01-17","","University of Glasgow","Biological Cybernetics","","","","Springer Nature","2014","","0","","Intermittent Control Models of Human Standing: Similarities and Differences","10.1007/s00422-014-0587-5","1.0"
"","","2390.11","EUR","","","2014-01-17","","University of Glasgow","Dyes and Pigments","","","","Elsevier BV","2014","","0","","Facile synthesis of metal-free organic dyes featuring a thienylethynyl spacer for dye sensitized solar cells","10.1016/j.dyepig.2014.01.004","1.0"
"","","2040","","","","2014-01-22","","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing","2014","","0","","Experimental Results for Nulling the Effective Thermal Expansion Coefficient of Fused Silica Fibres Under a Static Stress","10.1088/0264-9381/31/6/065010","1.0"
"","","1260","","","","2014-01-23","","University of Glasgow","Biology Letters","","","","Royal Society of London","2014","","0","","Prior hormetic priming is costly under environmental mismatch","10.1098/rsbl.2013.1010","1.0"
"","","1500","","","","2014-01-27","","University of Glasgow","British Journal of Pharmacology","","","","Wiley-Blackwell","2014","","0","","Epac and HARBS-PDE4 modulate neurite outgrowth and myelination using an in vitro spinal cord injury model","10.1111/bph.12588","0.808"
"","","2404.45","EUR","","","2014-01-28","","University of Glasgow","Applied Energy","","","","Elsevier BV","2014","","0","","The Effect of Temperature Mismatch on Thermoelectric Generators Electrically Connected in Series and Parallel (APEN-D-13-04628R1)","10.1016/j.apenergy.2014.02.030","0.9159663865546218"
"","","976.87","USD","","","2014-01-28","","University of Glasgow","IEEE Transactions on Power Electronics ","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","Maximum Power Point Tracking Converter Based on the Open-Circuit Voltage Method for Thermoelectric Generators","10.1109/tpel.2014.2313294","1.0"
"","","1260","","","","2014-01-31","","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society","2014","","0","","Habitat-mediated population limitationin a colonial central-place forager:the sky is not the limit for the black-browed albatross","10.1098/rspb.2013.2883","0.9923076923076923"
"","","2548.79","EUR","","","2014-02-03","","University of Glasgow","Synlett","","","","Thieme","2014","","0","","One-Pot Multi-Reaction Processes: Synthesis of Natural Products and Drug-Like Scaffolds","10.1055/s-0033-1340683","1.0"
"","","200","","","","2014-02-03","","University of Glasgow","cultural geographies","","","","SAGE Publications","2014","","0","","'No news today': talk of witnessing with families of missing people","10.1177/1474474014530962","0.9701492537313433"
"2618","2190.31","2190.31","EUR","","","2014-02-04","","University of Glasgow","Letters in Mathematical Physics","","","","Springer Nature","2014","","0","","Quantum cohomology via vicious and osculating walkers","10.1007/s11005-014-0685-2","1.0"
"1080","896.4","896.4","EUR","","","2014-02-06","","University of Glasgow","European Physical Journal A","","","","EDP Sciences","2014","","0","","Measurement of the beam-helicity asymmetry I? in the photoproduction of  0 ±-pairs off protons and off neutrons","10.1140/epja/i2014-14054-5","0.8962655601659751"
"2310.26","1917.51","1917.51","EUR","","","2014-02-06","","University of Glasgow","Sensors & Actuators A","","","","Elsevier BV","2014","","0","","A cymbal transducer for power ultrasonics applications ","10.1016/j.sna.2014.02.024","0.9908256880733946"
"","","2250","","","","2014-02-10","","University of Glasgow","Angewandte Chemie","","","","Wiley-Blackwell","2014","","0","","Rapid, Label-free, Ultrasonic Isopycnic Separations of Cells for Medical Diagnostics","",""
"","","1500","","","","2014-02-11","","University of Glasgow","Financial Accountability and Management","","","","Wiley-Blackwell","2014","","0","","What lies beneath? The role of informal and hidden networks in the management of crises","10.1111/faam.12038","1.0"
"594","356.4","356.4","USD","","","2014-02-11","","University of Glasgow","The Astrophysical Journal Letters","","","","IOP Publishing","2014","","0","","Glitch or Anti-Glitch: a Bayesian View","10.1088/2041-8205/784/2/l41","1.0"
"5000","3010.24","3010.24","USD","","","2014-02-14","","University of Glasgow","Biomacromolecules","","","","American Chemical Society (ACS)","2014","","0","","How cellulose stretches: synergism between covalent and hydrogen bonding","10.1021/bm401616n","1.0"
"2218.8","1367.69","1367.69","USD","","","2014-02-17","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","Dynamic stereo microscopy for studying particle sedimentation","10.1364/oe.22.004671","1.0"
"","","1500","","","","2014-02-17","","University of Glasgow","Plant Journal","","","","Wiley-Blackwell","2014","","0","","Clustering of the K+ channel GORK of Arabidopsis parallels its gating by extracellular K+","10.1111/tpj.12471","0.9943502824858758"
"2000","1101.09","1101.09","USD","","","2014-02-20","","University of Glasgow","Analytical Chemistry","","","","American Chemical Society (ACS)","2014","","0","","Gradient Microfluidics Enables Rapid Bacterial Growth Inhibition Testing","10.1021/ac5001306","1.0"
"2221.4","1833.54","1833.54","EUR","","","2014-02-21","","University of Glasgow","Acta Astronautica","","","","Elsevier BV","2014","","0","","Experimental Investigation on Shock Wave Diffraction Over Sharp and Curved Splitters","10.1016/j.actaastro.2014.02.018","1.0"
"","","1500","","","","2014-02-24","","University of Glasgow","Biometrics","","","","Wiley-Blackwell","2014","","0","","A Bayesian localised conditional autoregressive model for estimating the health effects of air pollution","10.1111/biom.12156","0.9903846153846154"
"1599.42","1327.52","1327.52","EUR","","","2014-02-25","","University of Glasgow","Personality and Individual Differences","","","","Elsevier BV","2014","","0","","Individual differences in pathogen disgust predict men’s, but not women’s, preferences for facial cues of weight. ","10.1016/j.paid.2013.07.015","0.9911504424778761"
"2665.69","2212.52","2212.52","EUR","","","2014-02-27","","University of Glasgow","Journal of Pain","","","","Elsevier BV","2014","","0","","Dynamic Oscillatory Signatures of Central Neuropathic Pain in Spinal Cord Injury","10.1016/j.jpain.2014.02.005","1.0"
"","","1609.2","","","","2014-03-05","","University of Glasgow","West European Politics","","","","Informa UK Limited","2014","","0","2014","Don't Blame the Euro: Historical Reflections on the Roots of the Eurozone Crisis","10.1080/01402382.2014.929353","0.9875"
"","","1740","","","","2014-03-05","","University of Glasgow","Journal of Materials Chemistry A","","","","Royal Society of Chemistry (RSC)","2014","","0","2014","Muon studies of Li+ diffusion in LiFePO4 nanoparticles of different polymorphs","10.1039/c4ta00543k","1.0"
"","","1500","","","","2014-03-06","","University of Glasgow","Rapid Communications in Mass Spectrometry ","","","","Wiley-Blackwell","2014","","0","","Quantifying precision and accuracy on measurements of dissolved inorganic carbon stable isotopic composition using continuous-flow isotope-ratio mass spectrometry","10.1002/rcm.6873","0.9938271604938271"
"","","200","","","","2014-03-10","","University of Glasgow","History of Psychiatry","","","","SAGE Publications","2014","","0","","The world is full of big bad wolves’: investigating the experimental therapeutic spaces of R.D. Laing and Aaron Esterson","10.1177/0957154x14529222","0.995850622406639"
