"DOI","ARTICLE PROCESSING CHARGE","Jahr","is_hybrid","institution"
"10.1038/s41598-017-14004-9",1552.95,2017,FALSE,"Giessen U"
"10.3390/ijms18112290",1532.80,2017,FALSE,"Giessen U"
"10.1155/2017/9169146",1573.96,2017,FALSE,"Giessen U"
"10.1167/17.12.7",1607.10,2017,FALSE,"Giessen U"
"10.1186/s12983-017-0219-8",1711.64,2017,FALSE,"Giessen U"
"10.1186/s12862-017-1008-x",1552.95,2017,FALSE,"Giessen U"
"10.1186/s40824-017-0104-8",1552.95,2017,FALSE,"Giessen U"
"10.1186/s12986-017-0225-z ",1620.96,2017,FALSE,"Giessen U"
"10.1186/s12917-017-1278-y",1552.95,2017,FALSE,"Giessen U"
"10.1186/s12917-017-1319-6",1552.95,2017,FALSE,"Giessen U"
"10.1186/s12985-017-0915-1",1516.04,2018,FALSE,"Giessen U"
"10.1186/s13019-017-0691-4",1538.17,2018,FALSE,"Giessen U"
"10.1186/s12986-017-0238-7",1582.44,2018,FALSE,"Giessen U"
"10.1186/s40665-018-0037-z",1516.04,2018,FALSE,"Giessen U"
"10.1186/s13071-018-2672-4",1516.04,2018,FALSE,"Giessen U"
"10.1186/s13195-018-0342-6",1538.17,2018,FALSE,"Giessen U"
"10.1186/s13071-018-2683-1",1516.04,2018,FALSE,"Giessen U"
"10.1186/s12866-018-1161-4",1516.04,2018,FALSE,"Giessen U"
"10.1186/s12917-018-1415-2",1516.04,2018,FALSE,"Giessen U"
"10.3389/fmicb.2017.01143",2673.18,2017,FALSE,"Giessen U"
"10.3389/fnbeh.2017.00121",2673.18,2017,FALSE,"Giessen U"
"10.3389/fncel.2017.00189",2249.68,2017,FALSE,"Giessen U"
"10.3389/fpsyg.2017.01200",2228.38,2017,FALSE,"Giessen U"
"10.3389/fpsyg.2017.01267",2607.96,2017,FALSE,"Giessen U"
"10.1038/oncsis.2017.47",3332.00,2017,FALSE,"Giessen U"
"10.3389/fpls.2017.01534",2138.04,2017,FALSE,"Giessen U"
"10.18632/oncotarget.20813",2871.04,2017,FALSE,"Giessen U"
"10.5194/bg-14-3487-2017",2356.20,2017,FALSE,"Giessen U"
"10.1186/s12890-016-0260-y",2142.00,2016,FALSE,"Giessen U"
"10.3835/plantgenome2017.02.0013",1362.89,2017,FALSE,"Giessen U"
"10.3389/fpsyg.2017.01669",2507.83,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0187561",1519.10,2017,FALSE,"Giessen U"
"10.3389/fevo.2017.00151",1644.18,2017,FALSE,"Giessen U"
"10.3390/md15120384",1153.29,2017,FALSE,"Giessen U"
"10.1038/s41598-017-18376-w",1552.96,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0187944",1505.22,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0188839",1505.22,2017,FALSE,"Giessen U"
"10.1155/2018/8198795",1762.60,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0190002",1446.57,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0189291",1446.57,2018,FALSE,"Giessen U"
"10.1016/j.ijppaw.2018.01.006",1932.90,2018,FALSE,"Giessen U"
"10.1016/j.amsu.2018.01.007",893.88,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0190928",1472.47,2018,FALSE,"Giessen U"
"10.7717/peerj.4462",896.45,2018,FALSE,"Giessen U"
"10.1038/s41598-018-22135-w",815.15,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0193468",1472.56,2018,FALSE,"Giessen U"
"10.1093/jisesa/iey029",1035.30,2018,FALSE,"Giessen U"
"10.1038/s41598-018-23069-z",1630.30,2018,FALSE,"Giessen U"
"10.1167/18.1.14",1508.54,2018,FALSE,"Giessen U"
"10.1659/MRD-JOURNAL-D-17-00082.1",661.90,2018,FALSE,"Giessen U"
"10.1038/s41598-018-23631-9",1630.30,2018,FALSE,"Giessen U"
"10.1038/s41598-018-23830-4",1644.00,2018,FALSE,"Giessen U"
"10.3324/haematol.2017.177972",1904.00,2017,FALSE,"Giessen U"
"10.1055/s-0038-1648253",1453.89,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0195396",1491.28,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0194227",1491.28,2018,FALSE,"Giessen U"
"10.3390/ijms19041126",1648.28,2018,FALSE,"Giessen U"
"10.1155/2018/1048317",1628.24,2018,FALSE,"Giessen U"
"10.1177/2041669518774806",730.12,2018,FALSE,"Giessen U"
"10.3389/fpsyg.2018.00682",1854.15,2018,FALSE,"Giessen U"
"10.7150/thno.24083",1562.45,2018,FALSE,"Giessen U"
"10.1167/18.4.22",1853.47,2018,FALSE,"Giessen U"
"10.1038/s41598-018-26038-8",1630.30,2018,FALSE,"Giessen U"
"10.3390/w10050621",596.54,2018,FALSE,"Giessen U"
"10.1038/s41598-018-25445-1",1630.30,2018,FALSE,"Giessen U"
"10.1128/genomeA.00324-18",558.07,2018,FALSE,"Giessen U"
"10.1128/genomeA.00323-18",558.07,2018,FALSE,"Giessen U"
"10.1177/2041669518771715",620.43,2018,FALSE,"Giessen U"
"10.1128/genomeA.01142-17",534.27,2017,FALSE,"Giessen U"
"10.1167/18.4.16",1563.83,2018,FALSE,"Giessen U"
"10.1038/s41598-018-26052-w",1630.30,2018,FALSE,"Giessen U"
"10.21037/jtd.2018.06.72",1232.23,2018,FALSE,"Giessen U"
"10.1177/2041669518788582",605.83,2018,FALSE,"Giessen U"
"10.3897/zookeys.770.25365",688.52,2018,FALSE,"Giessen U"
"10.3390/w10060809",1384.90,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0194585",1553.88,2018,FALSE,"Giessen U"
"10.1093/gigascience/giy075",1920.66,2018,FALSE,"Giessen U"
"10.3390/toxins10070292",1405.88,2018,FALSE,"Giessen U"
"10.1063/1.5034525",1173.44,2018,FALSE,"Giessen U"
"10.3390/nu10081010",1661.58,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0200191",1586.12,2018,FALSE,"Giessen U"
"10.3389/fpls.2018.01212",1225.72,2018,FALSE,"Giessen U"
"10.3390/molecules23081979",1655.92,2018,FALSE,"Giessen U"
"10.3389/fpsyg.2018.01711",1927.24,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0202115",1550.32,2018,FALSE,"Giessen U"
"10.1371/journal.pone.0201521",1550.33,2018,FALSE,"Giessen U"
"10.1038/s41598-018-31544-w",1630.30,2018,FALSE,"Giessen U"
"10.14814/phy2.13842",1218.56,2018,FALSE,"Giessen U"
"10.3897/zookeys.782.26797",589.05,2018,FALSE,"Giessen U"
"10.5194/hess-22-4565-2018",1820.70,2018,FALSE,"Giessen U"
"10.3389/fpsyg.2018.01869",1901.40,2018,FALSE,"Giessen U"
"10.3390/ijerph15091927",1523.28,2018,FALSE,"Giessen U"
"10.1186/s12263-018-0611-9",2076.55,2018,FALSE,"Giessen U"
"10.1155/2018/7218187",2027.04,2018,FALSE,"Giessen U"
"10.3389/fnhum.2018.00421",1943.24,2018,FALSE,"Giessen U"
"10.1038/s41598-018-33007-8",1630.30,2018,FALSE,"Giessen U"
"10.3390/w10101327",1427.95,2018,FALSE,"Giessen U"
"10.1177/2041669518803971",733.18,2018,FALSE,"Giessen U"
"10.3389/fenvs.2018.00123",1785.99,2018,FALSE,"Giessen U"
"10.1167/18.8.16",1930.33,2018,FALSE,"Giessen U"
"10.3389/fpsyg.2018.00019",2428.15,2018,FALSE,"Giessen U"
"10.3389/fmicb.2018.00202",2378.56,2018,FALSE,"Giessen U"
"10.3389/fmicb.2018.00144",2070.65,2018,FALSE,"Giessen U"
"10.3389/fmicb.2018.00395",2048.85,2018,FALSE,"Giessen U"
"10.3389/fnbeh.2018.00055",2582.86,2018,FALSE,"Giessen U"
"10.1016/j.omtn.2018.03.010",2734.23,2018,FALSE,"Giessen U"
"10.1111/pbi.12924",3094.00,2018,FALSE,"Giessen U"
"10.3389/fimmu.2018.00877",2869.25,2018,FALSE,"Giessen U"
"10.3389/fnins.2018.00286",2846.35,2018,FALSE,"Giessen U"
"10.3389/fpsyg.2018.00618",2457.06,2018,FALSE,"Giessen U"
"10.3389/fpsyg.2018.00714",2117.78,2018,FALSE,"Giessen U"
"10.1111/pbi.12942",2629.90,2018,FALSE,"Giessen U"
"10.3389/fmicb.2018.01265",3030.79,2018,FALSE,"Giessen U"
"10.1155/2018/9652897",1733.88,2018,FALSE,"Giessen U"
"10.1038/s41467-018-04843-z",4581.50,2018,FALSE,"Giessen U"
"10.3389/fimmu.2018.01604",3011.40,2018,FALSE,"Giessen U"
"10.1038/s41389-018-0075-1",3433.15,2018,FALSE,"Giessen U"
"10.3389/fpls.2018.00835",2729.18,2018,FALSE,"Giessen U"
"10.3389/fpsyg.2018.01376",2718.58,2018,FALSE,"Giessen U"
"10.3389/fphar.2018.00941",2799.54,2018,FALSE,"Giessen U"
"10.1038/s41467-018-05719-y",4581.50,2018,FALSE,"Giessen U"
"10.3389/fpsyg.2018.01763",2728.72,2018,FALSE,"Giessen U"
"10.3389/fpls.2018.01424",2173.02,2018,FALSE,"Giessen U"
"10.3389/fnagi.2018.00265",2582.86,2018,FALSE,"Giessen U"
