doi,EURO.x,journal_full_title,year,publisher,issn,issn_print,issn_electronic,license_ref,pmid,pmcid
10.1167/11.14.21,1509.66,Journal of Vision,2011,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,22205685,NA
10.1167/12.12.9,1246.33,Journal of Vision,2012,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,23151411,NA
10.1167/13.1.26,2743.01,Journal of Vision,2013,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,23345414,NA
10.1167/13.10.8,1302.22,Journal of Vision,2013,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,23956456,NA
10.1167/13.13.7,1025.92,Journal of Vision,2013,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,24198398,NA
10.1167/13.5.6,1328.65,Journal of Vision,2013,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,23568849,NA
10.1167/13.7.1,2141.62,Journal of Vision,2013,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,23732118,NA
10.1167/13.8.23,799.82,Journal of Vision,2013,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,23887046,NA
10.1167/13.8.9,1307.18,Journal of Vision,2013,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,23847302,NA
10.1167/13.9.111,1420.07,Journal of Vision,2013,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,NA,NA
10.1167/14.1.22,1439.18,Journal of Vision,2014,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,24464161,NA
10.1167/14.12.16,1662.62,Journal of Vision,2014,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,25311304,NA
10.1167/14.2.16,1253.01,Journal of Vision,2014,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,24563527,NA
10.1167/14.7.10,817.74,Journal of Vision,2014,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,24961247,NA
10.1167/15.2.13,1218.31,Journal of Vision,2015,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,25761331,NA
10.1186/1297-9716-42-97,500,Veterinary Research,2011,Springer Science + Business Media,1297-9716,1297-9716,NA,NA,21878124,PMC3180656
10.1186/1465-9921-14-91,1461.32,Respiratory Research,2013,Springer Science + Business Media,1465-9921,1465-9921,NA,NA,24044871,PMC3848864
10.1186/1471-2148-14-42,1239.74,BMC Evolutionary Biology,2014,Springer Science + Business Media,1471-2148,1471-2148,NA,NA,24597925,PMC4015641
10.1186/1471-2164-13-144,1345,BMC Genomics,2012,Springer Science + Business Media,1471-2164,1471-2164,NA,NA,22530965,PMC3464598
10.1186/1471-2164-13-384,1475,BMC Genomics,2012,Springer Science + Business Media,1471-2164,1471-2164,NA,NA,22883983,PMC3439263
10.1186/1471-2164-14-47,1170.96,BMC Genomics,2013,Springer Science + Business Media,1471-2164,1471-2164,NA,NA,23339658,PMC3556495
10.1186/1471-2164-15-1170,1273.37,BMC Genomics,2014,Springer Science + Business Media,1471-2164,1471-2164,NA,NA,25539568,PMC4367848
10.1186/1471-2164-15-140,1142.84,BMC Genomics,2014,Springer Science + Business Media,1471-2164,1471-2164,NA,NA,24548348,PMC4028054
10.1186/1471-2164-15-512,1239.74,BMC Genomics,2014,Springer Science + Business Media,1471-2164,1471-2164,NA,NA,24952657,PMC4078242
10.1186/1471-2164-15-782,1273.37,BMC Genomics,2014,Springer Science + Business Media,1471-2164,1471-2164,NA,NA,25213628,PMC4169839
10.1186/1471-2164-15-794,1273.37,BMC Genomics,2014,Springer Science + Business Media,1471-2164,1471-2164,NA,NA,25220182,PMC4176601
10.1186/1471-2180-14-187,1273.37,BMC Microbiology,2014,Springer Science + Business Media,1471-2180,1471-2180,NA,NA,25014994,PMC4105247
10.1186/1471-230X-11-34,1594.6,BMC Gastroenterology,2011,Springer Science + Business Media,1471-230X,1471-230X,NA,NA,NA,NA
10.1186/1471-2334-13-466,1458.35,BMC Infectious Diseases,2013,Springer Science + Business Media,1471-2334,1471-2334,NA,NA,24099282,PMC3851032
10.1186/1471-2377-12-58,1650,BMC Neurology,2012,Springer Science + Business Media,1471-2377,1471-2377,NA,NA,22804867,PMC3517409
10.1186/1471-2407-13-575,1228.08,BMC Cancer,2013,Springer Science + Business Media,1471-2407,1471-2407,NA,NA,24304721,PMC4235219
10.1186/1471-2466-14-156,1273.37,BMC Pulmonary Medicine,2014,Springer Science + Business Media,1471-2466,1471-2466,NA,NA,25280757,PMC4199064
10.1186/1472-6947-11-69,1614,BMC Medical Informatics and Decision Making,2011,Springer Science + Business Media,1472-6947,1472-6947,NA,NA,22070880,PMC3229438
10.1186/1476-511X-11-31,1560,Lipids in Health and Disease,2012,Springer Science + Business Media,1476-511X,1476-511X,NA,NA,NA,NA
10.1186/1476-511X-11-34,1285,Lipids in Health and Disease,2012,Springer Science + Business Media,1476-511X,1476-511X,NA,NA,NA,NA
10.1186/1559-4106-8-17,647.36,Biointerphases,2013,American Vacuum Society,1559-4106,1559-4106,NA,NA,24706130,NA
10.1186/1559-4106-8-31,656.88,Biointerphases,2013,American Vacuum Society,1559-4106,1559-4106,NA,NA,24706141,NA
10.1186/1742-2094-10-140,1247.12,Journal of Neuroinflammation,2013,Springer Science + Business Media,1742-2094,1742-2094,NA,NA,24279606,PMC4222273
10.1186/1743-7075-10-28,1080.52,Nutrition & Metabolism,2013,Springer Science + Business Media,1743-7075,1743-7075,NA,NA,23497226,PMC3631133
10.1186/1743-7075-10-48,1328.35,Nutrition & Metabolism,2013,Springer Science + Business Media,1743-7075,1743-7075,NA,NA,23842456,PMC3717057
10.1186/1743-7075-12-2,1182.08,Nutrition & Metabolism,2015,Springer Science + Business Media,1743-7075,1743-7075,NA,NA,25745506,PMC4350646
10.1186/1743-7075-8-76,1250,Nutrition & Metabolism,2011,Springer Science + Business Media,1743-7075,1743-7075,NA,NA,22040461,PMC3216248
10.1186/1743-7075-9-20,1375,Nutrition & Metabolism,2012,Springer Science + Business Media,1743-7075,1743-7075,NA,NA,22433818,PMC3362780
10.1186/1743-7075-9-42,1355,Nutrition & Metabolism,2012,Springer Science + Business Media,1743-7075,1743-7075,NA,NA,22607088,PMC3484027
10.1186/1746-6148-10-46,1239.74,BMC Veterinary Research,2014,Springer Science + Business Media,1746-6148,1746-6148,NA,NA,24555446,PMC3936700
10.1186/1746-6148-10-47,1239.74,BMC Veterinary Research,2014,Springer Science + Business Media,1746-6148,1746-6148,NA,NA,24559121,PMC3936934
10.1186/1746-6148-8-28,1410,BMC Veterinary Research,2012,Springer Science + Business Media,1746-6148,1746-6148,NA,NA,22417075,PMC3361467
10.1186/1746-6148-9-177,1458.35,BMC Veterinary Research,2013,Springer Science + Business Media,1746-6148,1746-6148,NA,NA,24010567,PMC3846775
10.1186/1746-6148-9-249,1228.08,BMC Veterinary Research,2013,Springer Science + Business Media,1746-6148,1746-6148,NA,NA,24321365,PMC3878928
10.1186/1751-0147-54-59,1650,Acta Veterinaria Scandinavica,2012,Springer Science + Business Media,1751-0147,1751-0147,NA,NA,23039904,PMC3502514
10.1186/1751-0147-55-18,1251.88,Acta Veterinaria Scandinavica,2013,Springer Science + Business Media,1751-0147,1751-0147,NA,NA,23453040,PMC3599961
10.1186/1751-0147-55-24,1251.88,Acta Veterinaria Scandinavica,2013,Springer Science + Business Media,1751-0147,1751-0147,NA,NA,23497718,PMC3608077
10.1186/1751-0147-55-85,1251.88,Acta Veterinaria Scandinavica,2013,Springer Science + Business Media,1751-0147,1751-0147,NA,NA,24267720,PMC4176759
10.1186/1751-0147-56-21,1263.76,Acta Veterinaria Scandinavica,2014,Springer Science + Business Media,1751-0147,1751-0147,NA,NA,24716857,PMC3998222
10.1186/1751-0147-56-30,1263.76,Acta Veterinaria Scandinavica,2014,Springer Science + Business Media,1751-0147,1751-0147,NA,NA,24886598,PMC4038113
10.1186/1756-0500-7-196,840,BMC Research Notes,2014,Springer Science + Business Media,1756-0500,1756-0500,NA,NA,24679105,PMC3974921
10.1186/2050-6511-15-37,1273.37,BMC Pharmacology and Toxicology,2014,Springer Science + Business Media,2050-6511,2050-6511,NA,NA,25012467,PMC4094635
10.1186/2190-4715-24-4,800,Environmental Sciences Europe,2012,Springer Science + Business Media,2190-4715,2190-4715,NA,NA,NA,NA
10.1186/2190-4715-25-29,680.68,Environmental Sciences Europe,2013,Springer Science + Business Media,2190-4715,2190-4715,NA,NA,NA,NA
10.1186/2193-7532-1-16,80.92,Agricultural and Food Economics,2013,Springer Science + Business Media,2193-7532,2193-7532,NA,NA,NA,NA
10.1186/ar4489,1239.74,Arthritis Research & Therapy,2014,Springer Science + Business Media,1478-6354,1478-6354,NA,NA,24548804,PMC3978872
10.1186/s12862-015-0296-2,1489.84,BMC Evolutionary Biology,2015,Springer Science + Business Media,1471-2148,NA,1471-2148,NA,25886047,PMC4373078
10.1186/s12866-015-0384-x,1440.9,BMC Microbiology,2015,Springer Science + Business Media,1471-2180,1471-2180,NA,NA,25887321,PMC4342102
10.1186/s12891-015-0459-8,1440.9,BMC Musculoskeletal Disorders,2015,Springer Science + Business Media,1471-2474,1471-2474,NA,NA,25636336,PMC4328057
10.1186/s12896-014-0098-4,1273.37,BMC Biotechnology,2014,Springer Science + Business Media,1472-6750,NA,1472-6750,NA,25404227,PMC4239385
10.1186/s12898-014-0031-7,1273.37,BMC Ecology,2014,Springer Science + Business Media,1472-6785,1472-6785,NA,NA,25496534,PMC4269849
10.1186/s12917-014-0196-5,1273.37,BMC Veterinary Research,2014,Springer Science + Business Media,1746-6148,1746-6148,NA,NA,25323005,PMC4158062
10.1186/s12917-014-0201-z,1273.37,BMC Veterinary Research,2014,Springer Science + Business Media,1746-6148,1746-6148,NA,NA,25319320,PMC4159529
10.1186/s12917-015-0368-y,1440.9,BMC Veterinary Research,2015,Springer Science + Business Media,1746-6148,1746-6148,NA,NA,25888880,PMC4355968
10.1186/s12995-014-0039-0,1196.49,Journal of Occupational Medicine and Toxicology,2014,Springer Science + Business Media,1745-6673,NA,1745-6673,NA,25419224,PMC4240834
10.1186/s13028-014-0044-4,1359.87,Acta Veterinaria Scandinavica,2014,Springer Science + Business Media,1751-0147,1751-0147,NA,NA,25299119,PMC4198911
10.1186/s13039-014-0094-3,1124.41,Molecular Cytogenetics,2014,Springer Science + Business Media,1755-8166,1755-8166,NA,NA,25520754,PMC4268894
10.1186/s13099-014-0037-x,1292.6,Gut Pathogens,2014,Springer Science + Business Media,1757-4749,1757-4749,NA,NA,25349632,PMC4209514
10.1186/s13148-015-0058-4,1975,Clinical Epigenetics,2015,Springer Science + Business Media,1868-7083,1868-7083,NA,NA,25806092,PMC4372182
10.1186/s13231-014-0014-y,1440.9,Experimental & Translational Stroke Medicine,2015,Springer Science + Business Media,2040-7378,2040-7378,NA,NA,25657829,PMC4318170
10.1186/s13567-015-0155-6,1141.85,Veterinary Research,2015,Springer Science + Business Media,1297-9716,1297-9716,NA,NA,25885264,PMC4349228
10.1186/s40635-014-0024-z,994.67,Intensive Care Medicine Experimental,2014,Springer Science + Business Media,2197-425X,2197-425X,NA,NA,NA,NA
10.1186/s40694-014-0009-4,1124.41,Fungal Biology and Biotechnology,2014,Springer Science + Business Media,2054-3085,NA,2054-3085,NA,NA,NA
10.1371/journal.pgen.1003576,2078.41,PLoS Genetics,2013,Public Library of Science (PLoS),1553-7404,NA,1553-7404,NA,23818867,PMC3688512
10.1371/journal.pntd.0002327,2067.25,PLoS Neglected Tropical Diseases,2013,Public Library of Science (PLoS),1935-2735,NA,1935-2735,NA,23936563,PMC3723594
10.1371/journal.pntd.0002336,2052.63,PLoS Neglected Tropical Diseases,2013,Public Library of Science (PLoS),1935-2735,NA,1935-2735,NA,23936567,PMC3723596
10.1371/journal.pntd.0002532,1972.73,PLoS Neglected Tropical Diseases,2013,Public Library of Science (PLoS),1935-2735,NA,1935-2735,NA,24244773,PMC3820750
10.1371/journal.pntd.0002923,1963.81,PLoS Neglected Tropical Diseases,2014,Public Library of Science (PLoS),1935-2735,NA,1935-2735,NA,24921634,PMC4055459
10.1371/journal.pone.0020368,959.45,PLoS ONE,2011,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,21655298,PMC3105023
10.1371/journal.pone.0020424,941.25,PLoS ONE,2011,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,21637823,PMC3102720
10.1371/journal.pone.0021669,1097.98,PLoS ONE,2011,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,21760898,PMC3132742
10.1371/journal.pone.0024965,1173.5,PLoS ONE,2011,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,21980369,PMC3184099
10.1371/journal.pone.0026307,1168.27,PLoS ONE,2011,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22028853,PMC3197626
10.1371/journal.pone.0028452,1224.9,PLoS ONE,2011,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22164293,PMC3229579
10.1371/journal.pone.0029256,1245.22,PLoS ONE,2011,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22216226,PMC3245275
10.1371/journal.pone.0029739,1224.9,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22235335,PMC3250484
10.1371/journal.pone.0030416,1263.89,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22272347,PMC3260301
10.1371/journal.pone.0032366,1212.38,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22389696,PMC3289648
10.1371/journal.pone.0033791,1231.54,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22496766,PMC3320616
10.1371/journal.pone.0035503,1275.33,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22536395,PMC3334901
10.1371/journal.pone.0036089,1228.22,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22563478,PMC3341391
10.1371/journal.pone.0037072,1223.33,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22629353,PMC3357431
10.1371/journal.pone.0037575,1275.3,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22719842,PMC3374796
10.1371/journal.pone.0041097,1099.4,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22829911,PMC3400606
10.1371/journal.pone.0041887,1320.85,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22911863,PMC3404001
10.1371/journal.pone.0042169,1131.93,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22927921,PMC3425494
10.1371/journal.pone.0042231,1309.06,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22879920,PMC3413700
10.1371/journal.pone.0044352,1290.65,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,22957066,PMC3434167
10.1371/journal.pone.0045514,1275.09,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23029064,PMC3445523
10.1371/journal.pone.0046903,1255.87,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23056521,PMC3462764
10.1371/journal.pone.0049947,1277.93,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23166799,PMC3499513
10.1371/journal.pone.0050399,1279.45,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23226277,PMC3511531
10.1371/journal.pone.0051847,1237.12,PLoS ONE,2012,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23300567,PMC3530474
10.1371/journal.pone.0052919,1229.39,PLoS ONE,2013,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23301002,PMC3534655
10.1371/journal.pone.0053955,1228.53,PLoS ONE,2013,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23342047,PMC3546930
10.1371/journal.pone.0058955,1240.63,PLoS ONE,2013,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23516586,PMC3597583
10.1371/journal.pone.0060433,1242.41,PLoS ONE,2013,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23573255,PMC3616100
10.1371/journal.pone.0071665,1210.18,PLoS ONE,2013,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,23977109,PMC3745426
10.1371/journal.pone.0082539,1203.4,PLoS ONE,2013,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24349308,PMC3857828
10.1371/journal.pone.0083365,1195.07,PLoS ONE,2013,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24386188,PMC3873959
10.1371/journal.pone.0083633,1182.16,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24421897,PMC3885450
10.1371/journal.pone.0083979,1184.74,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24498259,PMC3911899
10.1371/journal.pone.0084393,1190.32,PLoS ONE,2013,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24391950,PMC3877284
10.1371/journal.pone.0086304,1184.71,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24466015,PMC3897682
10.1371/journal.pone.0087211,1181.95,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24489872,PMC3904991
10.1371/journal.pone.0089275,1182.49,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24586651,PMC3930698
10.1371/journal.pone.0090010,1181.13,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24587186,PMC3935978
10.1371/journal.pone.0090608,1180.91,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24594856,PMC3942466
10.1371/journal.pone.0091265,1175.43,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24625548,PMC3953333
10.1371/journal.pone.0091415,1172.1,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24618849,PMC3950022
10.1371/journal.pone.0091705,1169.83,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24626175,PMC3953516
10.1371/journal.pone.0091769,1173.74,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24646942,PMC3960152
10.1371/journal.pone.0092429,1156.99,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24647313,PMC3960358
10.1371/journal.pone.0092518,1159.49,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24667441,PMC3965437
10.1371/journal.pone.0092603,1166.49,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24662987,PMC3963912
10.1371/journal.pone.0094164,1173.46,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24732314,PMC3986051
10.1371/journal.pone.0094624,1171.23,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24728142,PMC3984212
10.1371/journal.pone.0094800,1164.93,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24743325,PMC3990560
10.1371/journal.pone.0096702,998.98,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24792484,PMC4008618
10.1371/journal.pone.0098313,1180.94,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,24847987,PMC4029970
10.1371/journal.pone.0107795,1230.76,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25238545,PMC4169562
10.1371/journal.pone.0108639,1248.06,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25286309,PMC4186813
10.1371/journal.pone.0109690,1247.06,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25303238,PMC4193812
10.1371/journal.pone.0111734,1289.02,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25423195,PMC4244090
10.1371/journal.pone.0115069,1299.17,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25526083,PMC4272305
10.1371/journal.pone.0115847,1360.77,PLoS ONE,2014,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25545245,PMC4278831
10.1371/journal.pone.0119791,1422.25,PLOS ONE,2015,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25799434,PMC4370489
10.1371/journal.pone.0120562,1426.46,PLOS ONE,2015,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25781894,PMC4363376
10.1371/journal.pone.0121807,1496.39,PLOS ONE,2015,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25837711,PMC4383577
10.1371/journal.pone.0123960,1488.98,PLOS ONE,2015,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25822229,PMC4379024
10.1371/journal.pone.0124174,1523.91,PLOS ONE,2015,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25938575,PMC4418575
10.1371/journal.pone.0125068,1514.21,PLOS ONE,2015,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25955586,PMC4425483
10.1371/journal.pone.0125192,1503.47,PLOS ONE,2015,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25933137,PMC4416892
10.1371/journal.pone.0126011,1505.92,PLOS ONE,2015,Public Library of Science (PLoS),1932-6203,NA,1932-6203,NA,25954967,PMC4425692
10.1371/journal.ppat.1002598,2013.63,PLoS Pathogens,2012,Public Library of Science (PLoS),1553-7374,NA,1553-7374,NA,22457622,PMC3310793
10.1371/journal.ppat.1003448,2077.95,PLoS Pathogens,2013,Public Library of Science (PLoS),1553-7374,NA,1553-7374,NA,23785292,PMC3681755
10.1534/g3.113.010025,1428.94,G3&amp;#58; Genes|Genomes|Genetics,2014,Genetics Society of America,2160-1836,NA,2160-1836,NA,24449687,PMC3962491
10.2340/00015555-1634,856.8,Acta Dermato Venereologica,2014,Acta Dermato-Venereologica,0001-5555,0001-5555,NA,NA,23756579,NA
10.3389/fcimb.2014.00135,684.26,Frontiers in Cellular and Infection Microbiology,2014,Frontiers Media SA,2235-2988,NA,2235-2988,NA,25325017,PMC4179725
10.3389/fendo.2015.00021,1142.4,Frontiers in Endocrinology,2015,Frontiers Media SA,1664-2392,NA,1664-2392,NA,25750636,PMC4333862
10.3389/fgene.2014.00170,1142.4,Frontiers in Genetics,2014,Frontiers Media SA,1664-8021,NA,1664-8021,NA,24959172,PMC4050651
10.3389/fmars.2015.00002,1904,Frontiers in Marine Science,2015,Frontiers Media SA,2296-7745,NA,2296-7745,NA,NA,NA
10.3389/fmicb.2014.00544,1142.4,Frontiers in Microbiology,2014,Frontiers Media SA,1664-302X,NA,1664-302X,NA,25426104,PMC4226228
10.3389/fmicb.2014.00548,916.3,Frontiers in Microbiology,2014,Frontiers Media SA,1664-302X,NA,1664-302X,NA,25368608,PMC4201148
10.3389/fnhum.2012.00226,1917,Frontiers in Human Neuroscience,2012,Frontiers Media SA,1662-5161,NA,1662-5161,NA,22870067,PMC3409424
