institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;URL;;;;
Goethe-Universität Frankfurt am Main;2018;895.83;10.3389/fcell.2018.00082;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1995.51;10.3389/fpsyg.2018.01375;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1995.51;10.3389/fmicb.2018.01847;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1250.00;10.7185/geochemlet.1822;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;3763.00;10.1038/s41467-018-05804-2;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1798.09;10.1186/s12936-018-2447-6;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;3927.00;10.15252/emmm.201708428;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1505.35;10.1186/s40478-018-0583-4;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1453.92;10.3390/ijms19082462;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;391.72;10.1177/1609406918797017;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1557.84;10.1371/journal.pone.0202760;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1486.85;10.3390/ijms19092485;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2380.00;10.1016/j.stemcr.2018.03.010 ;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1455.14;10.1136/bmjopen-2018-023048;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1449.45;10.3390/ijms19092564;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2439.5;10.1186/s13068-018-1236-3 ;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;822.93;10.3390/cells7090129;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.3;10.1038/s41598-018-31833-4;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2682.26;10.1002/hep4.1254;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1473.59;10.3390/ijms19092753;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2615.98;10.7554/eLife.34997 ;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1419.71;10.3390/ijms19082168;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1977.08;10.3389/fimmu.2018.01906;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1977.08;10.3389/fncom.2018.00070;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1977.08;10.3389/fimmu.2018.02000;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1977.08;10.3389/fphar.2018.01008;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1977.08;10.3389/fendo.2018.00527;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;630.97;10.1016/j.scr.2018.09.008;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-32991-1;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2606.05;10.1002/acn3.666;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-33052-3;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1541.45;10.1371/journal.pone.0199809;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;700.00;;FALSE;sub\urban e.V.;sub\urban. zeitschrift für kritische stadtforschung;2197-2567;http://www.zeitschrift-suburban.de/sys/index.php/suburban/article/view/423/621;;;;
Goethe-Universität Frankfurt am Main;2018;1541.45;10.1371/journal.pone.0204331;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1419.69;10.1016/j.mec.2018.e00079;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2018.83;10.3389/fimmu.2018.02261;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2018.83;10.3389/fphys.2018.01382;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2018.82;10.3389/fpsyg.2018.01971;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1661.24;10.1186/s12909-018-1342-8;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1541.45;10.1371/journal.pone.0203053;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1541.45;10.1371/journal.pone.0202089;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1541.45;10.1371/journal.pone.0202245;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1992.06;10.5194/amt-11-5489-2018;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;700.00;;FALSE;sub\urban e.V.;sub\urban. zeitschrift für kritische stadtforschung;2197-2567;http://www.zeitschrift-suburban.de/sys/index.php/suburban/article/view/424/622;;;;
Goethe-Universität Frankfurt am Main;2018;1622.86;10.1186/s12903-018-0644-x;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;400.00;;FALSE;sub\urban e.V.;sub\urban. zeitschrift für kritische stadtforschung;2197-2567;http://www.zeitschrift-suburban.de/sys/index.php/suburban/article/view/431/626;;;;
Goethe-Universität Frankfurt am Main;2018;1975.48;10.3389/fimmu.2018.02495;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1975.48;10.3389/fimmu.2018.02497;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1975.48;10.3389/fpsyg.2018.02164;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1165.01;10.1002/ece3.4490;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1732.64;10.1002/mbo3.740;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1732.64;10.1002/mbo3.752;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1414.21;10.1002/2211-5463.12548;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;796.16;10.7717/peerj.6052;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1557.71;10.5194/acp-18-16553-2018;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1687.03;10.1371/journal.pone.0207162;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1581.99;10.1371/journal.pone.0205094;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1283.88;10.3390/ijerph15122642;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1384.92;10.1107/S205225251801686X;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1434.47;10.1136/bmjopen-2018-024400;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1816.56;10.1177/1177932218821365;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1982.89;10.3389/fimmu.2018.02743;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1982.89;10.3389/fimmu.2018.02786;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1982.89;10.3389/fmicb.2018.02911;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1982.89;10.3389/fmicb.2018.02949;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1982.89;10.3389/fimmu.2018.02858;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1982.89;10.3389/fpsyg.2018.02466;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1982.89;10.3389/fmicb.2018.03100;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1562.89;10.1242/bio.037051;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1687.23;10.1371/journal.pone.0208758;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1622.86;10.1186/s13229-018-0239-z;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1392.30;10.1088/1367-2630/aaf81f;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1576.21;10.1371/journal.pone.0207188;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1950.11;10.1080/21505594.2018.1558693;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1046.35;10.12659/AJCR.914355;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1945.04;10.1167/18.13.11;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1462.54;10.3390/molecules24010203;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1462.48;10.3390/ijms20020273;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1304.40;10.3390/ma12030462;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;830.16;10.3390/cancers11030333;FALSE;;;;;;;;
