Institution,Period,EURO,doi,publisher,journal,ISSN.1,ISSN.2
Universität Leipzig,2014,1344.7,10.1002/phy2.269,Wiley,Physiological reports,2051-817X,NA
Universität Leipzig,2014,1244.92,10.1371/journal.pone.0103872,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1165.14,10.1371/journal.pone.0092605,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1240.73,10.1371/journal.pone.0106188,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1098.9,10.1371/journal.pone.0115247,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1304.93,10.1371/journal.pone.0114383,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1200.4,10.1371/journal.pone.0105037,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1174.68,10.1371/journal.pone.0086303,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1164.89,10.1371/journal.pone.0091987,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1269.05,10.1371/journal.pone.0111935,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1164.89,10.1371/journal.pone.0093293,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1182.21,10.1371/journal.pone.0101211,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1163.03,10.1371/journal.pone.0091045,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1182.21,10.1371/journal.pone.0102587,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1180.55,10.1371/journal.pone.0098789,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1163.03,10.1371/journal.pone.0091212,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1304.93,10.1371/journal.pone.0114641,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1174.68,10.1371/journal.pone.0087453,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,1166.83,10.1371/journal.pone.0091964,Public Library of Science,PLoS ONE,1932-6203,NA
Universität Leipzig,2014,379.49,10.4103/2152-7806.146346,Medknow,Surg Neurol Int (Surgical Neurology International),2152-7806,2229-5097
Universität Leipzig,2014,1513.68,10.1186/1742-4682-11-24,BioMed Central,Theor Biol Med Model (Theoretical Biology and Medical Modelling),1742-4682,NA
Universität Leipzig,2014,1251.88,10.1186/1745-6215-15-249,BioMed Central,Trials,1745-6215,NA
