institution;period;eur;doi;is_hybrid
Universität Leipzig;2017;1496,51;10.1371/journal.pone.0182732;FALSE
Universität Leipzig;2016;1673,45;10.1371/journal.pone.0167502;FALSE
Universität Leipzig;2017;1534,99;10.1371/journal.pone.0180354;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0169352;FALSE
Universität Leipzig;2017;1496,51;10.1371/journal.pone.0183698;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0174996;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0178959;FALSE
Universität Leipzig;2017;1527,74;10.1371/journal.pone.0182156;FALSE
Universität Leipzig;2017;1496,51;10.1371/journal.pone.0184121;FALSE
Universität Leipzig;2017;1527,74;10.1371/journal.pone.0181540;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0178107;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0177753;FALSE
Universität Leipzig;2016;1673,45;10.1371/journal.pone.0166708;FALSE
Universität Leipzig;2017;1407,39;10.3390/polym9020065;FALSE
Universität Leipzig;2017;1281,00;10.1016/j.redox.2016.12.028;FALSE
Universität Leipzig;2017;1416,18;10.3390/rs9111103;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-05912-x;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-02414-8;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-10287-0;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-02831-9;FALSE
Universität Leipzig;2017;1386,35;10.1038/srep40640;FALSE
Universität Leipzig;2017;1386,35;10.1038/srep40207;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-12401-8;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-15363-z;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-14458-x;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-07406-2;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-02670-8;FALSE
Universität Leipzig;2017;1386,35;10.1038/srep41705;FALSE
Universität Leipzig;2017;1552,95;10.1038/s41598-017-09513-6;FALSE
Universität Leipzig;2017;1655,19;10.3390/s17091990;FALSE
Universität Leipzig;2017;1332,80;10.1080/16000870.2016.1272753;FALSE
Universität Leipzig;2017;1825,46;10.2147/TCRM.S130627;FALSE
Universität Leipzig;2017;1825,46;10.2147/TCRM.S134869;FALSE
Universität Leipzig;2017;1378,73;10.3390/v9110344;FALSE
