pos;institution_name;article_title;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
11;Universität Augsburg;Controlling 3D Objects In 2D Image Synthesis;SN Computer Science;2661-8907;10.1007/s42979-022-01462-w;https://doi.org/10.1007/s42979-022-01462-w;10.11.2022;17.10.2022;2750;originalpaper;Research Article;optin
12;Universität Augsburg;Craig A. Stephenson: Periodic Orbits. F. R. Moulton'S Quest For A New Lunar Theory;Mathematische Semesterberichte;1432-1815;10.1007/s00591-022-00329-8;https://doi.org/10.1007/s00591-022-00329-8;30.08.2022;25.08.2022;917;bookreview;Non Research Article;optin
13;Universität Augsburg;Device activism and material participation in healthcare: retracing forms of engagement in the #WeAreNotWaiting movement for open-source closed-loop systems in type 1 diabetes self-care;BioSocieties;1745-8560;10.1057/s41292-022-00278-4;https://doi.org/10.1057/s41292-022-00278-4;22.04.2022;18.03.2022;2750;originalpaper;Research Article;optin
14;Universität Augsburg;Diffusive Transport In The Lowest Landau Level Of Disordered 2D Semimetals: The Mean-Square-Displacement Approach;The European Physical Journal B;1434-6036;10.1140/epjb/s10051-022-00358-1;https://doi.org/10.1140/epjb/s10051-022-00358-1;14.06.2022;23.05.2022;2750;originalpaper;Research Article;optin
15;Universität Augsburg;Editorial on the special issue of RTNS 2020;Real-Time Systems;1573-1383;10.1007/s11241-022-09378-7;https://doi.org/10.1007/s11241-022-09378-7;20.02.2022;08.02.2022;917;editorialnotes;Non Research Article;optin
16;Universität Augsburg;Effects Of Add-On Celecoxib Treatment On Patients With Schizophrenia Spectrum Disorders And Inflammatory Cytokine Profile Trial (Targetflame): Study Design And Methodology Of A Multicentre Randomized, Placebo-Controlled Trial;Journal of Neural Transmission;1435-1463;10.1007/s00702-022-02566-6;https://doi.org/10.1007/s00702-022-02566-6;19.11.2022;02.11.2022;2750;originalpaper;Research Article;optin
17;Universität Augsburg;Eigendamage: An Eigendeformation Model For The Variational Approximation Of Cohesive Fracture-A One-Dimensional Case Study;Annali di Matematica Pura ed Applicata (1923 -);1618-1891;10.1007/s10231-022-01196-9;https://doi.org/10.1007/s10231-022-01196-9;19.05.2022;20.01.2022;2750;originalpaper;Research Article;optin
18;Universität Augsburg;Emotionales Erleben Von Schüler*Innen In Jahrgangsstufe 4 Unter Dem Einfluss Der Covid-19-Pandemie Im Schuljahr 2019/2020;Zeitschrift für Grundschulforschung;2523-3181;10.1007/s42278-022-00151-0;https://doi.org/10.1007/s42278-022-00151-0;20.06.2022;16.05.2022;2750;originalpaper;Research Article;optin
19;Universität Augsburg;Energy Sovereignty: A Values-Based Conceptual Analysis;Science and Engineering Ethics;1471-5546;10.1007/s11948-022-00409-x;https://doi.org/10.1007/s11948-022-00409-x;03.11.2022;04.10.2022;2750;originalpaper;Research Article;optin
20;Universität Augsburg;Examining The Regulation Of Motivational And Comprehension-Related Problems During Collaborative Learning;Metacognition and Learning;1556-1631;10.1007/s11409-022-09316-9;https://doi.org/10.1007/s11409-022-09316-9;01.08.2022;21.07.2022;2750;originalpaper;Research Article;optin
21;Universität Augsburg;Focal Cavity Radiotherapy After Neurosurgical Resection Of Brain Metastases: Sparing Neurotoxicity Without Compromising Locoregional Control;Strahlentherapie und Onkologie;1439-099X;10.1007/s00066-022-02003-3;https://doi.org/10.1007/s00066-022-02003-3;23.09.2022;30.08.2022;2750;originalpaper;Research Article;optin
22;Universität Augsburg;Forschungsklausel Statt Broad Consent;Datenschutz und Datensicherheit - DuD;1862-2607;10.1007/s11623-022-1692-6;https://doi.org/10.1007/s11623-022-1692-6;30.11.2022;;2750;reviewpaper;Research Article;optin
23;Universität Augsburg;"Friedeburg, Robert Von: Luthers Vermächtnis. Der Dreißigjährige Krieg Und Das Moderne Verständnis Vom ""Staat"" Im Alten Reich, 1530Er Bis 1790Er Jahre (Studien Zur Europäischen Rechtsgeschichte, Bd. 320), 560 S., Klostermann, Frankfurt A.M. 2021.";Neue Politische Literatur;2197-6082;10.1007/s42520-022-00464-5;https://doi.org/10.1007/s42520-022-00464-5;15.12.2022;22.11.2022;917;bookreview;Non Research Article;optin
24;Universität Augsburg;Governing Digital Crisis Responses: Platform Standards And The Dilemma Of Covid-19 Contact Tracing;Journal of Business Economics;1861-8928;10.1007/s11573-022-01118-4;https://doi.org/10.1007/s11573-022-01118-4;17.11.2022;12.10.2022;2750;originalpaper;Research Article;optin
25;Universität Augsburg;Hidden champions: a review of the literature & future research avenues;Management Review Quarterly;2198-1639;10.1007/s11301-021-00253-6;https://doi.org/10.1007/s11301-021-00253-6;20.01.2022;01.12.2021;2750;originalpaper;Research Article;optin
26;Universität Augsburg;Homogeneity and Best Practice Analyses in Hospital Performance Management: An Analytical Framework;Health Care Management Science;1572-9389;10.1007/s10729-022-09590-8;https://doi.org/10.1007/s10729-022-09590-8;22.02.2022;10.01.2022;2750;originalpaper;Research Article;optin
27;Universität Augsburg;Kritische Politische Theorie Der Präfiguration;Politische Vierteljahresschrift;1862-2860;10.1007/s11615-022-00421-7;https://doi.org/10.1007/s11615-022-00421-7;22.09.2022;17.08.2022;2750;originalpaper;Research Article;optin
28;Universität Augsburg;Leistungsstrukturanalyse Im Praxischeck - Diskussion Theoretischer Vorgaben Und Der Praktischen Umsetzung Am Beispiel Des Sportkletterns;German Journal of Exercise and Sport Research;2509-3150;10.1007/s12662-022-00828-9;https://doi.org/10.1007/s12662-022-00828-9;24.05.2022;04.05.2022;2750;reviewpaper;Research Article;optin
29;Universität Augsburg;Lng-Terminals Ohne Uvp - Heiligt Der Zweck Die Mittel?;Natur und Recht;1439-0515;10.1007/s10357-022-4071-z;https://doi.org/10.1007/s10357-022-4071-z;13.09.2022;;2750;originalpaper;Research Article;optin
30;Universität Augsburg;Managerial overconfidence: promoter of or obstacle to organizational resilience?;Review of Managerial Science;1863-6691;10.1007/s11846-022-00530-y;https://doi.org/10.1007/s11846-022-00530-y;04.03.2022;25.01.2022;2750;reviewpaper;Research Article;optin
31;Universität Augsburg;Managing Expectations, Rights, And Duties In Large-Scale Genomics Initiatives: A European Comparison;European Journal of Human Genetics;1476-5438;10.1038/s41431-022-01247-y;https://doi.org/10.1038/s41431-022-01247-y;06.12.2022;15.11.2022;917;report;Non Research Article;optin
32;Universität Augsburg;Narrative Entrepreneurship: Bringing (His)Story Back To Entrepreneurship;Small Business Economics;1573-0913;10.1007/s11187-022-00661-2;https://doi.org/10.1007/s11187-022-00661-2;11.08.2022;19.07.2022;2750;originalpaper;Research Article;optin
33;Universität Augsburg;Neither Friend, Nor Device;Publizistik;1862-2569;10.1007/s11616-022-00761-9;https://doi.org/10.1007/s11616-022-00761-9;17.11.2022;02.10.2022;2750;originalpaper;Research Article;optin
34;Universität Augsburg;Note On Axiomatic Properties Of Apportionment Methods For Proportional Representation Systems;Mathematical Programming;1436-4646;10.1007/s10107-022-01835-2;https://doi.org/10.1007/s10107-022-01835-2;09.06.2022;10.05.2022;2750;originalpaper;Research Article;optin
35;Universität Augsburg;Of Tax, Crime, and Happiness. An Interdisciplinary Research Review on Social Inequality;Neue Politische Literatur;2197-6082;10.1007/s42520-022-00413-2;https://doi.org/10.1007/s42520-022-00413-2;02.03.2022;01.09.2021;2750;originalpaper;Research Article;optin
36;Universität Augsburg;Paus-Hasebrink, Ingrid/Philip Sinner: 15 Jahre Panelstudie Zur (Medien-)Sozialisation. Wie Leben Die Kinder Von Damals Heute Als Junge Erwachsene?;Publizistik;1862-2569;10.1007/s11616-022-00751-x;https://doi.org/10.1007/s11616-022-00751-x;17.10.2022;15.09.2022;917;bookreview;Non Research Article;optin
37;Universität Augsburg;Peridynamic Galerkin Method: An Attractive Alternative To Finite Elements;Computational Mechanics;1432-0924;10.1007/s00466-022-02202-w;https://doi.org/10.1007/s00466-022-02202-w;12.07.2022;08.06.2022;2750;originalpaper;Research Article;optin
38;Universität Augsburg;Philipp Neumann: Kooperation selbst bestimmt? Interdisziplinäre Kooperation und Zielkonflikte in inklusiven Grundschulen und Förderschulen.;Zeitschrift für Grundschulforschung;2523-3181;10.1007/s42278-021-00138-3;https://doi.org/10.1007/s42278-021-00138-3;18.01.2022;29.11.2021;917;bookreview;Non Research Article;optin
39;Universität Augsburg;Pooled Analysis Of Epigenome-Wide Association Studies Of Food Consumption In Kora, Twinsuk And Lls;European Journal of Nutrition;1436-6215;10.1007/s00394-022-03074-9;https://doi.org/10.1007/s00394-022-03074-9;26.12.2022;12.12.2022;2750;originalpaper;Research Article;optin
40;Universität Augsburg;Professionelle Kompetenz(En) Von Musiklehrkräften: Ein Empirisch Begründetes Modell;Zeitschrift für Erziehungswissenschaft;1862-5215;10.1007/s11618-022-01101-3;https://doi.org/10.1007/s11618-022-01101-3;20.06.2022;10.11.2021;2750;originalpaper;Research Article;optin
41;Universität Augsburg;Prognostic Value Of Stress Hyperglycemia Ratio On Short- And Long-Term Mortality After Acute Myocardial Infarction;Acta Diabetologica;1432-5233;10.1007/s00592-022-01893-0;https://doi.org/10.1007/s00592-022-01893-0;09.05.2022;09.04.2022;2750;originalpaper;Research Article;optin
42;Universität Augsburg;Räumliche Lärmanalyse anhand von erweiterten Floating-Car-Daten (xFCD);KN - Journal of Cartography and Geographic Information;2524-4965;10.1007/s42489-021-00095-y;https://doi.org/10.1007/s42489-021-00095-y;11.02.2022;30.11.2021;2750;originalpaper;Research Article;optin
43;Universität Augsburg;"Special Feature ""Sustainability In Agri-Food Systems: Transformative Trajectories Toward The Post-Anthropocene""";Sustainability Science;1862-4057;10.1007/s11625-022-01255-3;https://doi.org/10.1007/s11625-022-01255-3;15.11.2022;31.10.2022;917;editorialnotes;Non Research Article;optin
44;Universität Augsburg;Surface Evolution Of Crystalline Srtio $$_3$$ 3 , Laalo $$_3$$ 3 And Y $$_3$$ 3 Al $$_5$$ 5 O $$_{12}$$ 12 Targets During Pulsed Laser Ablation;Applied Physics A;1432-0630;10.1007/s00339-022-05805-5;https://doi.org/10.1007/s00339-022-05805-5;05.08.2022;06.06.2022;2750;originalpaper;Research Article;optin
45;Universität Augsburg;Sustainable behavior in motion: designing mobile eco-driving feedback information systems;Information Technology and Management;1573-7667;10.1007/s10799-021-00352-6;https://doi.org/10.1007/s10799-021-00352-6;04.01.2022;05.12.2021;2750;originalpaper;Research Article;optin
46;Universität Augsburg;Synthesis Of Iron Oxide Nanoparticles By Decomposition Of Iron-Oleate: Influence Of The Heating Rate On The Particle Size;Journal of Nanoparticle Research;1572-896X;10.1007/s11051-022-05554-9;https://doi.org/10.1007/s11051-022-05554-9;02.09.2022;10.08.2022;2750;originalpaper;Research Article;optin
47;Universität Augsburg;The German version of the Pulmonary Embolism Quality-of-Life (PEmb-QoL) questionnaire: reliability, responsiveness and structural validity;Quality of Life Research;1573-2649;10.1007/s11136-022-03120-3;https://doi.org/10.1007/s11136-022-03120-3;14.03.2022;02.03.2022;2750;originalpaper;Research Article;optin
48;Universität Augsburg;"The ""Open Family Firm"": Openness As Boundary Work In Family Enterprises";Small Business Economics;1573-0913;10.1007/s11187-022-00664-z;https://doi.org/10.1007/s11187-022-00664-z;15.08.2022;27.07.2022;2750;originalpaper;Research Article;optin
49;Universität Augsburg;The Performance Effects Of Corporate Venture Capital: A Meta-Analysis;The Journal of Technology Transfer;1573-7047;10.1007/s10961-022-09954-w;https://doi.org/10.1007/s10961-022-09954-w;13.07.2022;06.06.2022;2750;originalpaper;Research Article;optin
50;Universität Augsburg;The Stark Problem As A Concave Toric Domain;Geometriae Dedicata;1572-9168;10.1007/s10711-022-00744-0;https://doi.org/10.1007/s10711-022-00744-0;10.11.2022;31.10.2022;2750;originalpaper;Research Article;optin
51;Universität Augsburg;Threshold-dependent tax enforcement and the size distribution of firms: evidence from Germany;International Tax and Public Finance;1573-6970;10.1007/s10797-022-09732-2;https://doi.org/10.1007/s10797-022-09732-2;22.04.2022;23.02.2022;2750;originalpaper;Research Article;optin
52;Universität Augsburg;Towards Small Scale: Overview And Applications Of Microfluidics In Biotechnology;Molecular Biotechnology;1559-0305;10.1007/s12033-022-00626-6;https://doi.org/10.1007/s12033-022-00626-6;14.12.2022;26.11.2022;2750;reviewpaper;Research Article;optin
53;Universität Augsburg;Welche Rahmenbedingungen Braucht Die Förderung Von Kindern Mit Lernschwierigkeiten?;Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO);2366-6218;10.1007/s11612-022-00651-8;https://doi.org/10.1007/s11612-022-00651-8;28.11.2022;09.08.2022;2750;originalpaper;Research Article;optin
54;Universitätsklinikum Augsburg;Accompanying injuries in tibial shaft fractures: how often is there an additional violation of the posterior malleolus and which factors are predictive? A retrospective cohort study;European Journal of Trauma and Emergency Surgery;1863-9941;10.1007/s00068-021-01866-y;https://doi.org/10.1007/s00068-021-01866-y;25.01.2022;26.12.2021;2750;originalpaper;Research Article;optin
55;Universitätsklinikum Augsburg;"""Adult Rhabdoid Tumors-A Riddle Inside An Enigma?""";Modern Pathology;1530-0285;10.1038/s41379-022-01144-1;https://doi.org/10.1038/s41379-022-01144-1;21.09.2022;15.07.2022;917;editorialnotes;Non Research Article;optin
56;Universitätsklinikum Augsburg;Anticoagulants And Fracture Morphology Have A Significant Influence On Total Blood Loss After Proximal Femur Fractures;European Journal of Trauma and Emergency Surgery;1863-9941;10.1007/s00068-022-02090-y;https://doi.org/10.1007/s00068-022-02090-y;12.09.2022;16.08.2022;2750;originalpaper;Research Article;optin
57;Universitätsklinikum Augsburg;Arthroscopic Rod Technique Compared To Stress Ultrasound In The Dynamic Evaluation Of Lateral Ligament Instabilities Of The Elbow;Archives of Orthopaedic and Trauma Surgery;1434-3916;10.1007/s00402-022-04491-5;https://doi.org/10.1007/s00402-022-04491-5;11.07.2022;18.05.2022;2750;originalpaper;Research Article;optin
58;Universitätsklinikum Augsburg;Assessment Of Epicardial Adipose Tissue On Virtual Non-Contrast Images Derived From Photon-Counting Detector Coronary Cta Datasets;European Radiology;1432-1084;10.1007/s00330-022-09257-6;https://doi.org/10.1007/s00330-022-09257-6;03.12.2022;19.10.2022;2750;originalpaper;Research Article;optin
59;Universitätsklinikum Augsburg;Beeinflussen Moderne Informationssysteme Die Wahl Der Klinik Bei Patienten Mit Gefäßpathologien?;Gefässchirurgie;1434-3932;10.1007/s00772-022-00895-0;https://doi.org/10.1007/s00772-022-00895-0;09.06.2022;22.04.2022;2750;originalpaper;Research Article;optin
60;Universitätsklinikum Augsburg;Die Marginalvene - Nach Wie Vor Eine Seltene Entität: Fallserie Von 16 Patienten;Die Chirurgie;2731-698X;10.1007/s00104-022-01648-1;https://doi.org/10.1007/s00104-022-01648-1;29.06.2022;16.04.2022;2750;originalpaper;Research Article;optin
61;Universitätsklinikum Augsburg;"Do Anticoagulants Impact The ""In-House Mortality"" After Surgical Treatment Of Proximal Femoral Fractures-A Multivariate Analysis";International Orthopaedics;1432-5195;10.1007/s00264-022-05503-0;https://doi.org/10.1007/s00264-022-05503-0;26.07.2022;30.06.2022;2750;originalpaper;Research Article;optin
62;Universitätsklinikum Augsburg;Does Tranexamic Acid Reliably Reduce Blood Loss In Proximal Femur Fracture Surgery?;European Journal of Trauma and Emergency Surgery;1863-9941;10.1007/s00068-022-02042-6;https://doi.org/10.1007/s00068-022-02042-6;19.07.2022;30.06.2022;2750;originalpaper;Research Article;optin
63;Universitätsklinikum Augsburg;Erste Erfahrungen mit der Bio-Zellulose Nanogen Aktiv in der Behandlung komplexer Wunden;Gefässchirurgie;1434-3932;10.1007/s00772-022-00864-7;https://doi.org/10.1007/s00772-022-00864-7;08.02.2022;07.01.2022;2750;reviewpaper;Research Article;optin
64;Universitätsklinikum Augsburg;Hydrocephalus, Cerebral Vasospasm, And Delayed Cerebral Ischemia Following Non-Aneurysmatic Spontaneous Subarachnoid Hemorrhages: An Underestimated Problem;Neurosurgical Review;1437-2320;10.1007/s10143-022-01919-9;https://doi.org/10.1007/s10143-022-01919-9;22.12.2022;27.11.2022;2750;originalpaper;Research Article;optin
65;Universitätsklinikum Augsburg;Iatrogenic injury of the popliteal artery in orthopedic knee surgery: clinical results and development of a therapeutic algorithm;European Journal of Trauma and Emergency Surgery;1863-9941;10.1007/s00068-022-01961-8;https://doi.org/10.1007/s00068-022-01961-8;31.03.2022;13.03.2022;2750;originalpaper;Research Article;optin
66;Universitätsklinikum Augsburg;Integrierte Notfallzentren: eine Lösung zur Patientensteuerung?;Notfall + Rettungsmedizin;1436-0578;10.1007/s10049-022-00998-x;https://doi.org/10.1007/s10049-022-00998-x;29.03.2022;29.01.2022;2750;originalpaper;Research Article;optin
67;Universitätsklinikum Augsburg;Intraoperative Radiotherapy During Awake Craniotomies: Preliminary Results Of A Single-Center Case Series;Neurosurgical Review;1437-2320;10.1007/s10143-022-01838-9;https://doi.org/10.1007/s10143-022-01838-9;26.07.2022;18.07.2022;2750;originalpaper;Research Article;optin
68;Universitätsklinikum Augsburg;Lower Hla-G Levels In Extravillous Trophoblasts Of Human Term Placenta In Gestational Diabetes Mellitus Than In Normal Controls;Histochemistry and Cell Biology;1432-119X;10.1007/s00418-022-02163-4;https://doi.org/10.1007/s00418-022-02163-4;20.12.2022;29.10.2022;2750;originalpaper;Research Article;optin
69;Universitätsklinikum Augsburg;Orthogeriatric co-management: differences in outcome between major and minor fractures;European Journal of Trauma and Emergency Surgery;1863-9941;10.1007/s00068-022-01974-3;https://doi.org/10.1007/s00068-022-01974-3;28.04.2022;09.03.2022;2750;originalpaper;Research Article;optin
70;Universitätsklinikum Augsburg;Plötzliche Myopie;Die Ophthalmologie;2731-7218;10.1007/s00347-022-01664-w;https://doi.org/10.1007/s00347-022-01664-w;13.06.2022;11.05.2022;2750;briefcommunication;Research Article;optin
71;Universitätsklinikum Augsburg;"Spontane intrakranielle Hypotension mit ""brain sagging"" und reversibler frontotemporaler Demenz";Der Nervenarzt;1433-0407;10.1007/s00115-022-01280-8;https://doi.org/10.1007/s00115-022-01280-8;01.04.2022;02.02.2022;2750;briefcommunication;Research Article;optin
72;Universitätsklinikum Augsburg;The Impact Of Progredient Vessel And Tissue Stiffening For The Development Of Metabolic Syndrome;Pflügers Archiv - European Journal of Physiology;1432-2013;10.1007/s00424-022-02749-w;https://doi.org/10.1007/s00424-022-02749-w;23.09.2022;06.09.2022;2750;reviewpaper;Research Article;optin
