institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url,colour charge,cover charge,page charge,permission,reprint,submission fee,payment fee,other
ltu,2024,2050.39,10.3390/machines12040268,False,MDPI,Machines,,,,,,,,,,,,
ltu,2024,2072.09,10.3390/met14010073,False,MDPI,Metals,,,,,,,,,,,,
ltu,2024,1999.11,10.3390/min14020122,False,MDPI,Minerals,,,,,,,,,,,,
ltu,2024,2311.84,10.3390/polym16213008,False,MDPI,Polymers,,,,,,,,,,,,
ltu,2024,2006.72,10.3390/pr12010183,False,MDPI,Processes,,,,,,,,,,,,
ltu,2024,1980.91,10.3390/pr12071385,False,MDPI,Processes,,,,,,,,,,,,
ltu,2024,2239.04,10.3390/s24092921,False,MDPI,Sensors,,,,,,,,,,,,
ltu,2024,1963.32,10.3390/s24123938,False,MDPI,Sensors,,,,,,,,,,,,
ltu,2024,1782.27,10.3390/su16052096,False,MDPI,Sustainability,,,,,,,,,,,,
ltu,2024,2080.49,10.3390/su16156535,False,MDPI,Sustainability,,,,,,,,,,,,
ltu,2024,1947.92,10.3390/su16219397,False,MDPI,Sustainability,,,,,,,,,,,,
ltu,2024,2160.29,10.3390/systems12110490,False,MDPI,Systems,,,,,,,,,,,,
ltu,2024,2175.34,10.3390/w16060871,False,MDPI,Water,,,,,,,,,,,,
ltu,2024,2266.95,10.3390/w16141954,False,MDPI,Water,,,,,,,,,,,,
ltu,2024,2847.51,10.3847/2041-8213/ad151b,False,IOP,The Astrophysical Journal Letters,,,,,,,,,,,,
ltu,2024,979.04,10.4236/eng.2024.166012,False,Scientific Research Publishing,Engineering,,,,,,,,,,,,
ltu,2024,963.46,10.4236/eng.2024.168016,False,Scientific Research Publishing,Engineering,,,,,,,,,,,,
ltu,2024,979.04,10.4236/jep.2024.156037,False,Scientific Research Publishing,Journal of Environmental Protection,,,,,,,,,,,,
ltu,2024,192.76,10.47260/jesge/1511,False,Scientific Press International Limited,Journal of Earth Sciences and Geotechnical Engineering,,,,,,,,,,,,
ltu,2024,192.76,10.47260/jesge/1512,False,Scientific Press International Limited,Journal of Earth Sciences and Geotechnical Engineering,,,,,,,,,,,,
ltu,2024,2347.71,10.5382/econgeo.5080,True,Society of Economic Geologists,Economic Geology,,,,,,,,,,,,
ltu,2024,2198.0,10.5382/econgeo.5083,True,Society of Economic Geologists,Economic Geology,,,,,,,,,,,,
ltu,2024,1645.7,10.59429/ace.v7i2.5462,False,Arts and Science Press Pte. Ltd,Applied Chemical Engineering,,,,,,,,,,,,
