Period;DOI; Endbetrag (Euro) ;Institution
2021;10.5194/mr-2-607-2021;825,00;KIT
2021;10.1038/s41467-021-25535-1;5.390,70;KIT
2021;10.7554/eLife.71888;3.192,95;KIT
2021;10.3390/ijerph18168341;2.097,79;KIT
2021;10.3390/biomedicines9081033;1.824,16;KIT
2021;10.3390/polym13172955;1.442,74;KIT
2021;10.5194/cp-17-1685-2021;1.350,00;KIT
2021;10.3390/catal11080949;1.824,16;KIT
2021;10.3390/en14206506;1.532,91;KIT
2021;10.3390/vehicles3030028;1.094,50;KIT
2021;10.1127/metz/2021/1075;2.401,00;KIT
2021;10.3390/en14164843;1.073,03;KIT
2021;10.1038/s41598-021-95981-w;1.933,69;KIT
2021;10.3390/rs13183675;1.514,88;KIT
2021;10.3390/min11101061;1.502,26;KIT
2021;10.3390/microorganisms9081655;1.824,16;KIT
2021;10.3390/ma14164352;1.532,91;KIT
2021;10.3390/polym13152395;1.686,20;KIT
2021;10.3390/molecules26164995;1.752,78;KIT
2021;10.1038/s41467-021-25121-5;4.530,00;KIT
2021;10.3390/su132111613;856,63;KIT
2021;10.1371/journal.pone.0260053;1.852,22;KIT
2021;10.3390/w13182456;1.824,16;KIT
2021;10.3390/ma14143791;270,11;KIT
2021;10.3390/molecules26154548;1.824,16;KIT
2021;10.1038/s41467-021-25207-0;5.390,70;KIT
2021;10.3390/min11101093;811,54;KIT
2021;10.1039/D1RA03452A;742,38;KIT
2021;10.1038/s41598-021-93913-2;1.543,70;KIT
2021;10.5194/acp-21-10939-2021;2.250,00;KIT
2021;10.5194/acp-21-11801-2021;1.260,00;KIT
2021;10.3390/e23081078;1.641,75;KIT
2021;10.3390/math9141607;1.427,22;KIT
2021;10.3390/polym13172883;1.931,47;KIT
2021;10.1186/s13102-021-00337-6;1.665,19;KIT
2021;10.5194/se-12-1581-2021;2.142,00;KIT
2021;10.3390/en14133733;1.532,91;KIT
2021;10.3390/pr9071213;1.824,16;KIT
2021;10.1186/s40479-021-00144-y;1.704,08;KIT
2021;10.1038/s41598-021-93539-4;1.543,70;KIT
2021;10.2196/30390;3.165,37;KIT
2021;10.1063/5.0057380;1.362,03;KIT
2021;10.3390/pr9061062;1.532,91;KIT
2021;10.1186/s11556-021-00266-w;1.719,38;KIT
2021;10.3390/foods10081700;1.824,16;KIT
2021;10.3390/app11135775;1.262,40;KIT
2021;10.1038/s41467-021-24413-0;3.451,00;KIT
2021;10.3390/foods10081753;1.824,16;KIT
2021;10.1038/s41467-021-24693-6;2.900,00;KIT
2021;10.3390/nano11071840;1.686,20;KIT
2021;10.1038/s43247-021-00206-7;2.340,14;KIT
2021;10.5194/acp-21-10779-2021;1.500,00;KIT
2021;10.1186/s12938-021-00900-9;1.665,19;KIT
2021;10.3390/ma14123214;1.824,16;KIT
2021;10.1038/s41598-021-92331-8;1.543,70;KIT
2021;10.1038/s42005-021-00648-7;2.546,00;KIT
2021;10.3390/s21113938;2.006,58;KIT
2021;10.3390/foods10071509;1.824,16;KIT
2021;10.33265/polar.v40.7564;1.106,00;KIT
2021;10.1371/journal.pone.0256695;1.823,47;KIT
2021;10.1371/journal.pone.0253819;1.734,32;KIT
2021;10.1103/PhysRevResearch.3.033020;2.000,00;KIT
2021;10.5194/amt-14-4111-2021;2.100,00;KIT
2021;10.3390/machines9080139;1.459,33;KIT
2021;10.3390/polym13142329;2.006,58;KIT
2021;10.1186/s13068-021-01981-3;2.180,08;KIT
2021;10.5194/gmd-14-3789-2021;2.160,00;KIT
2021;10.3390/nano11071631;1.686,20;KIT
2021;10.1186/s12544-021-00492-4;1.182,38;KIT
2021;10.3390/rs13163269;1.931,47;KIT
2021;10.3390/cryst11060713;1.502,26;KIT
2021;10.5194/npg-28-231-2021;1.125,00;KIT
2021;10.3390/app11114796;1.532,91;KIT
2021;10.3390/membranes11070469;1.379,62;KIT
2021;10.3390/s21155004;2.006,58;KIT
2021;10.3390/educsci11080368;1.276,92;KIT
2021;10.1063/5.0050424;1.259,02;KIT
2021;10.3390/min11070663;1.641,75;KIT
2021;10.1371/journal.pcbi.1008974;2.086,99;KIT
2021;10.1371/journal.pone.0247353;1.660,48;KIT
2021;10.3390/jimaging7050087;1.459,33;KIT
2021;10.3390/vibration4020027;1.094,50;KIT
2021;10.3390/vibration4020026;1.094,50;KIT
2021;10.5194/acp-21-9515-2021;2.175,00;KIT
2021;10.1002/elsc.202100052;2.094,40;KIT
2021;10.3390/designs5020036;1.276,92;KIT
2021;10.1371/journal.pgen.1009356;2.086,99;KIT
2021;10.1038/s41467-021-23574-2;3.451,00;KIT
2021;10.1038/s41598-021-89564-y;1.543,70;KIT
2021;10.5194/acp-21-8823-2021;1.575,00;KIT
2021;10.3390/soc11020063;919,75;KIT
2021;10.5194/amt-14-3049-2021;1.650,00;KIT
2021;10.1038/s41598-021-90055-3;1.837,00;KIT
2021;10.3390/molecules26092567;1.663,22;KIT
2021;10.3390/cells10061517;901,71;KIT
2021;10.3390/molecules26092759;1.716,86;KIT
2021;10.5194/acp-21-8213-2021;1.800,00;KIT
2021;10.3390/pharmaceutics13050691;2.006,58;KIT
2021;10.3390/math9111247;1.287,65;KIT
2021;10.3390/w13081045;1.824,16;KIT
2021;10.5194/se-12-1389-2021;2.249,10;KIT
2021;10.3390/pr9040684;1.803,43;KIT
2021;10.3390/s21103380;2.006,58;KIT
2021;10.1038/s41598-021-88768-6;1.837,00;KIT
2021;10.5194/hess-25-3053-2021;1.927,80;KIT
2021;10.3390/jcm10081797;2.006,58;KIT
2021;10.1038/s41467-021-23032-z;2.900,00;KIT
2021;10.3390/catal11050617;1.532,81;KIT
2021;10.1038/s41598-021-88396-0;1.837,00;KIT
2021;10.5194/hess-25-1671-2021;1.517,25;KIT
2021;10.1049/elp2.12142;2.380,00;KIT
2021;10.1016/j.esr.2021.100652;2.220,00;KIT
2021;10.5194/hess-25-1483-2021;2.784,60;KIT
2021;10.3390/en14082036;1.824,16;KIT
2021;10.3390/vehicles3020016;643,83;KIT
2021;10.1038/s41598-021-88336-y;1.837,00;KIT
2021;10.5194/esd-12-327-2021;2.250,00;KIT
2021;10.1109/ACCESS.2021.3071263;1.746,19;KIT
2021;10.3390/s21092991;1.652,48;KIT
2021;10.3390/w13091144;1.824,16;KIT
2021;10.3390/ijms22095044;1.824,16;KIT
2021;10.1002/elsc.202100037;1.760,00;KIT
2021;10.3390/catal11040459;1.824,16;KIT
2021;10.1016/j.dib.2021.106972;610,00;KIT
2021;10.3390/d13050192;1.641,75;KIT
2021;10.1038/s41598-021-87247-2;1.543,70;KIT
2021;10.3390/en14071888;1.828,13;KIT
2021;10.3390/microorganisms9051090;1.824,16;KIT
2021;10.1038/s41467-021-22702-2;2.900,00;KIT
2021;10.3390/foods10081705;1.824,16;KIT
2021;10.3390/pr9050742;1.824,16;KIT
2021;10.1016/j.cvdhj.2021.03.002;1.451,80;KIT
2021;10.3390/app11167234;1.532,91;KIT
2021;10.1038/s41598-021-86746-6;1.543,70;KIT
2021;10.3390/en14061716;1.532,36;KIT
2021;10.5194/acp-21-3919-2021;2.250,00;KIT
2021;10.1038/s41598-021-89062-1;1.837,00;KIT
2021;10.3390/electronics10060654;1.657,29;KIT
2021;10.3390/a14030090;1.075,37;KIT
2021;10.3390/nano11051114;2.006,58;KIT
2021;10.3390/s21062172;2.005,86;KIT
2021;10.3390/fluids6040167;1.276,92;KIT
2021;10.1002/clt2.12050;2.380,00;KIT
2021;10.5194/amt-14-531-2021;2.250,00;KIT
2021;10.5194/amt-14-1993-2021;1.710,00;KIT
2021;10.5194/hess-25-1103-2021;1.170,00;KIT
2021;10.3390/s21093059;1.394,95;KIT
2021;10.1038/s41467-021-22383-x;2.900,00;KIT
2021;10.5194/amt-14-1977-2021;1.350,00;KIT
2021;10.1186/s13568-021-01207-7;1.842,55;KIT
2021;10.3390/min11070755;1.641,75;KIT
2021;10.5194/gmd-14-1171-2021;1.725,00;KIT
2021;10.3390/bios11030080;1.382,61;KIT
2021;10.3390/sports9050060;1.276,92;KIT
2021;10.3390/polym13081223;1.686,20;KIT
2021;10.1109/OJPEL.2021.3065115;1.460,89;KIT
2021;10.3390/s21082584;2.006,58;KIT
2021;10.1109/OJVT.2021.3065529;1.738,46;KIT
2021;10.3390/catal11030336;1.547,42;KIT
2021;10.1021/acsomega.1c00193;1.067,74;KIT
2021;10.3390/polym13050792;1.547,42;KIT
2021;10.3390/atmos12040503;1.502,26;KIT
2021;10.3390/foods10040697;1.823,51;KIT
2021;10.1371/journal.pone.0248372;1.825,28;KIT
2021;10.3390/sym13030524;1.379,12;KIT
2021;10.5194/acp-21-2509-2021;1.350,00;KIT
2021;10.1107/S2052252521002402;1.694,59;KIT
2021;10.1002/open.202000343;1.904,00;KIT
2021;10.3390/pr9040663;1.824,16;KIT
2021;10.5194/esd-12-211-2021;1.890,00;KIT
2021;10.1127/metz/2020/1029;1.717,65;KIT
2021;10.1038/s41598-020-74507-w;1.491,50;KIT
2021;10.5194/acp-21-3899-2021;1.800,00;KIT
2021;10.3390/colloids5020021;1.276,92;KIT
2021;10.1038/s41598-021-84799-1;1.543,70;KIT
2021;10.3390/nano11020548;1.732,44;KIT
2021;10.3390/catal11030300;1.872,63;KIT
2021;10.5194/nhess-21-683-2021;1.425,00;KIT
2021;10.1038/s41378-021-00253-2;2.900,00;KIT
2021;10.5194/bg-18-1499-2021;1.080,00;KIT
2021;10.5194/amt-14-1239-2021;1.260,00;KIT
2021;10.5194/amt-14-1047-2021;2.430,00;KIT
2021;10.5194/hess-25-147-2021;2.249,10;KIT
2021;10.3390/computation9040040;1.279,69;KIT
2021;10.1039/D0RA08893E;884,94;KIT
2021;10.1186/s13068-021-01901-5;2.180,08;KIT
2021;10.3390/en14051265;1.685,36;KIT
2021;10.3390/en14061623;1.720,59;KIT
2021;10.3390/rs13040718;2.055,70;KIT
2021;10.3390/membranes11020147;1.416,27;KIT
2021;10.3390/membranes11030207;1.382,61;KIT
2021;10.3390/ma14040928;1.868,82;KIT
2021;10.5194/esd-12-133-2021;1.530,00;KIT
2021;10.3390/su13052968;1.749,36;KIT
2021;10.3390/s21082672;1.888,54;KIT
2021;10.3390/cancers13040745;1.731,80;KIT
2021;10.1038/s41598-021-83625-y;1.543,70;KIT
2021;10.5194/amt-14-1143-2021;1.800,00;KIT
2021;10.3390/ijerph18084204;2.102,34;KIT
2021;10.3390/min11020229;1.685,36;KIT
2021;10.1038/s41377-021-00486-w;3.391,50;KIT
2021;10.3390/chemosensors9020031;928,25;KIT
2021;10.3390/pr9030455;1.566,68;KIT
2021;10.1109/ACCESS.2021.3058576;1.764,32;KIT
2021;10.3390/foods10030485;1.872,63;KIT
2021;10.5194/acp-21-35-2021;1.874,25;KIT
2021;10.3390/coatings11010108;1.494,78;KIT
2021;10.1186/s12961-021-00729-7;2.084,88;KIT
2021;10.3390/f12020129;1.420,61;KIT
2021;10.5194/acp-21-561-2021;1.338,75;KIT
2021;10.3390/vehicles3010006;1.123,57;KIT
2021;10.3390/rs13050967;1.819,77;KIT
2021;10.3390/su13020958;1.681,62;KIT
2021;10.3390/cryst11020081;1.039,93;KIT
2021;10.1186/s12891-021-04239-z;1.894,48;KIT
2021;10.3390/met11010169;1.256,12;KIT
2021;10.1038/s41598-021-81712-8;1.837,00;KIT
2021;10.3390/vibration4020023;1.094,50;KIT
2021;10.1007/s42452-021-04149-8;1.408,96;KIT
2021;10.3390/en14061580;1.410,01;KIT
2021;10.3390/computation9020011;939,18;KIT
2021;10.3390/foods10020228;1.878,31;KIT
2021;10.1186/s13068-020-01870-1;1.832,00;KIT
2021;10.1038/s41535-021-00310-z;1.977,41;KIT
2021;10.1038/s41598-021-90866-4;1.837,00;KIT
2021;10.3390/molecules26020470;1.868,48;KIT
2021;10.3390/pr9030515;1.152,18;KIT
2021;10.1038/s41598-020-80347-5;1.543,70;KIT
2021;10.3390/catal11020231;1.686,15;KIT
2021;10.1038/s41598-020-79956-x;1.730,14;KIT
2021;10.1186/s13321-020-00481-0;1.551,76;KIT
2021;10.3390/chemengineering5010007;936,74;KIT
2021;10.1186/s12889-021-11284-9;2.138,14;KIT
2021;10.1038/s41467-020-20498-1;3.451,00;KIT
2021;10.1038/s41534-020-00359-x;3.381,49;KIT
2021;10.1111/pbi.13546;2.475,20;KIT
2021;10.1038/s41528-020-00098-1;2.928,00;KIT
2021;10.1038/s41598-020-78438-4;1.730,14;KIT
2021;10.1038/s43246-020-00107-w;2.905,39;KIT
2021;10.1186/s12302-020-00436-0;1.736,00;KIT
2021;10.3390/children8020098;938,92;KIT
2021;10.3390/ijerph18020739;2.148,75;KIT
2021;10.1038/s42004-020-00431-9;2.953,36;KIT
2021;10.1186/s40479-020-00140-8;1.619,36;KIT
2021;10.3390/en14030596;1.413,13;KIT
2021;10.1002/open.202000199;1.670,40;KIT
2021;10.1038/s41598-020-76848-y;1.491,50;KIT
2021;10.1038/s41598-020-77083-1;1.491,50;KIT
2021;10.1098/rsos.200626;1.285,20;KIT
2021;10.1002/open.202000278;1.670,40;KIT
2021;10.1186/s13068-020-01824-7;2.125,12;KIT
2021;10.1186/s40345-020-00210-4;1.661,12;KIT
2021;10.1038/s41598-020-75587-4;1.491,50;KIT
2021;10.1186/s40323-020-00178-x;800,00;KIT
2021;10.1038/s41598-020-75239-7;1.491,50;KIT
2021;10.1038/s41598-020-75134-1;1.491,50;KIT
2021;10.1038/s41467-020-19324-5;2.900,00;KIT
2021;10.1038/s41467-020-19008-0;3.364,00;KIT
2021;10.1038/s41467-020-18774-1;3.364,00;KIT
2021;10.1038/s41467-020-19040-0;2.900,00;KIT
2021;10.1038/s41597-020-00651-7;1.491,50;KIT
2021;10.1038/s41467-020-18552-z;2.900,00;KIT
2021;10.1038/s41467-020-18359-y;2.900,00;KIT
2021;10.1038/s41467-020-18277-z;3.364,00;KIT
2021;10.1186/s12932-020-00073-9;863,04;KIT
2021;10.1038/s41467-020-18092-6;2.900,00;KIT
2021;10.1186/s12889-021-11754-0;2.138,14;KIT
2021;10.1038/s41598-020-71413-z;1.730,14;KIT
2021;10.1038/s41598-020-72479-5;1.730,14;KIT
2021;10.1186/s12955-021-01682-3;1.894,48;KIT
2021;10.1186/s12889-020-09700-7;2.013,76;KIT
2021;10.5194/ejm-33-23-2021;880,00;KIT
2021;10.5194/hess-25-3519-2021;1.785,00;KIT
2021;10.1002/advs.202001884;2.997,00;KIT
2021;10.3389/fchem.2021.801589;2.213,54;KIT
2021;10.3389/fpsyg.2021.790423;2.647,77;KIT
2021;10.3389/fmicb.2021.784652;2.638,49;KIT
2021;10.3389/feart.2021.778820;2.644,97;KIT
2021;10.3389/fphar.2021.769739;2.216,47;KIT
2021;10.3389/fmicb.2021.732838;324,70;KIT
2021;10.3389/fmats.2021.745084;2.572,58;KIT
2021;10.3389/fchem.2021.754420;2.545,54;KIT
2021;10.3389/fsurg.2021.742160;2.241,35;KIT
2021;10.3389/fpubh.2021.739394;2.637,60;KIT
2021;10.3389/fchem.2021.746162;2.659,78;KIT
2021;10.3389/fpsyg.2021.749585;2.640,24;KIT
2021;10.3389/frwa.2021.729592;827,37;KIT
2021;10.3389/fnmol.2021.718387;2.115,02;KIT
2021;10.3389/fpubh.2021.720589;2.637,60;KIT
2021;10.3389/fmats.2021.717185;2.213,71;KIT
2021;10.3389/fchem.2021.696957;2.500,52;KIT
2021;10.3389/fpls.2021.715127;2.115,02;KIT
2021;10.3389/fnut.2021.712992;2.135,09;KIT
2021;10.3389/fphys.2021.699291;2.011,73;KIT
2021;10.3389/fcell.2020.591011;2.449,10;KIT
2021;10.3389/feart.2021.700249;2.141,91;KIT
2021;10.3389/fnins.2021.671249;1.868,17;KIT
2021;10.3389/ffunb.2021.692804;1.622,51;KIT
2021;10.3389/fchem.2021.688446;2.100,50;KIT
2021;10.3389/fpsyg.2021.695927;2.532,61;KIT
2021;10.3389/fmats.2021.676764;1.036,67;KIT
2021;10.3389/fphys.2021.673047;2.449,33;KIT
2021;10.3389/feart.2021.669427;2.071,11;KIT
2021;10.3389/fpsyg.2021.638690;2.511,83;KIT
2021;10.3389/fphy.2021.640649;2.090,60;KIT
2021;10.3389/fspor.2021.665500;1.577,54;KIT
2021;10.3389/fpls.2021.642801;2.468,25;KIT
2021;10.3389/fphys.2021.656411;2.035,35;KIT
2021;10.3389/fmicb.2021.635506;2.068,03;KIT
2021;10.3389/fchem.2021.645006;2.212,61;KIT
2021;10.3389/fpubh.2021.680714;2.506,29;KIT
2021;10.3389/fphy.2021.635959;1.802,96;KIT
2021;10.3389/fspor.2021.634258;1.584,34;KIT
2021;10.3389/fevo.2021.628606;2.040,10;KIT
2021;10.3389/fpsyg.2021.628993;2.448,98;KIT
2021;10.3389/fpsyg.2021.626750;2.470,99;KIT
2021;10.3389/fmedt.2021.622096;618,16;KIT
2021;10.3389/fphys.2020.615237;2.428,14;KIT
2021;10.3389/fbioe.2021.617770;2.509,33;KIT
2021;10.3389/fcimb.2021.609542;2.072,55;KIT
2021;10.3389/ffgc.2021.606669;808,18;KIT
2021;10.3389/feart.2020.603441;2.446,94;KIT
2021;10.3389/fspor.2021.587764;1.880,53;KIT
2021;10.3389/fphys.2021.588120;2.446,78;KIT
2021;10.3389/fcomm.2021.581302;786,98;KIT
