Interne ID,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn
OA2017_037,TU Dresden,2017,960.75,10.1016/j.ejrh.2015.12.059,FALSE,Elsevier,Journal of Hydrology: Regional Studies,2214-5818
OA2017_038,TU Dresden,2017,834.73,10.2174/1874350101710010094,FALSE,Bentham Open,Open Psychology Journal,1874-3501
OA2017_039,TU Dresden,2017,602.09,,FALSE,Omics Group,Journal of Yoga and Physiotherapy,2476-1303
OA2017_042,TU Dresden,2017,1503.93,10.3390/ma10040360,FALSE,MDPI AG,Materials,1996-1944
OA2017_044,TU Dresden,2017,1430.38,10.15376/biores.12.2.3530-3545,FALSE,North Carolina State University,BioResources,1930-2126
OA2017_046,TU Dresden,2017,1552.95,10.1038/s41598-017-02308-9,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_049,TU Dresden,2017,1552.95,10.1038/s41598-017-01264-8,FALSE,Nature Publishing Group,Scientific Reports,2045-2322
OA2017_054,TU Dresden,2017,833.00,10.1515/geo-2018-0001,FALSE,De Gruyter Open,Open Geosciences,2391-5447
OA2017_056,TU Dresden,2017,1552.95,10.1038/s41598-017-01465-1,FALSE,Nature Publishing Group,Scientific Reports,2045-2322
OA2017_058,TU Dresden,2017,1552.95,10.1038/s41598-017-04828-w,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_059,TU Dresden,2017,841.19,10.1016/j.rinp.2017.05.006,FALSE,Elsevier,Results in Physics,2211-3797
OA2017_060,TU Dresden,2017,1661.24,10.1186/s12864-017-4356-4,FALSE,BioMed Central,BMC Genomics,1471-2164
OA2017_061,TU Dresden,2017,1661.24,10.1186/s12893-017-0250-x,FALSE,BioMed Central,BMC Surgery,1471-2482
OA2017_062,TU Dresden,2017,1661.24,10.1186/s12943-017-0668-x,FALSE,BioMed Central,Molecular Cancer,1476-4598
OA2017_064,TU Dresden,2017,1558.79,10.1371/journal.pone.0178591,FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203
OA2017_066,TU Dresden,2017,1781.91,10.3389/fneur.2017.00212,FALSE,Frontiers Media,Frontiers in Neurology - Autonomic Neuroscience,1664-2295
OA2017_077,TU Dresden,2017,1552.95,10.1038/s41598-017-02334-7,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_079,TU Dresden,2017,1144.23,10.3390/f8060206,FALSE,MDPI AG,Forests,1999-4907
OA2017_082,TU Dresden,2017,1831.71,10.3389/fphys.2017.00426,FALSE,Frontiers Media,Frontiers in Physiology,1664-042X
OA2017_085,TU Dresden,2017,1716.35,10.3390/s17071506,FALSE,MDPI AG,Sensors,1424-8220
OA2017_087,TU Dresden,2017,1661.24,10.1186/s12885-017-3778-3,FALSE,BioMed Central,BMC Cancer,1471-2407
OA2017_088,TU Dresden,2017,1831.71,10.3389/fneur.2017.00307,FALSE,Frontiers Media,Frontiers in Neurology-Neuropharmacology,1664-2295
OA2017_098,TU Dresden,2017,1507.80,10.1371/journal.pone.0182109,FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203
OA2017_099,TU Dresden,2017,1552.95,10.1038/s41598-017-09300-3,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_100,TU Dresden,2017,1552.95,10.1038/s41598-017-09594-3,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_101,TU Dresden,2017,1314.95,10.1007/s41109-017-0048-x,FALSE,Springer Nature,Applied Network Science,2364-8228
OA2017_102,TU Dresden,2017,1864.73,10.3389/fimmu.2017.00981,FALSE,Frontiers Media,Frontiers in Immunology-Antigen Presenting Cell Biology,1664-3224
OA2017_105,TU Dresden,2017,1799.28,10.1186/s13049-017-0461-2,FALSE,BioMed Central,"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",1757-7241
OA2017_107,TU Dresden,2017,1153.44,10.15376/biores.12.4.7178-7194,FALSE,North Carolina State University,BioResources,1930-2126
OA2017_108,TU Dresden,2017,1334.37,10.1016/j.invent.2017.11.001,FALSE,Elsevier,Internet Interventions,2214-7829
OA2017_109,TU Dresden,2017,1751.68,10.1186/s12995-017-0172-7,FALSE,BioMed Central,Journal of Occupational Medicine and Toxicology,1745-6673
OA2017_111,TU Dresden,2017,1552.95,10.1038/s41598-017-10669-4,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_112,TU Dresden,2017,1661.24,10.1186/s12883-017-0988-x,FALSE,BioMed Central,BMC Neurology,1471-2377
OA2017_113,TU Dresden,2017,1661.24,10.1186/s13005-017-0156-y,FALSE,BioMed Central,Head and Face Medicine,1746-160X
OA2017_115,TU Dresden,2017,1552.95,10.1038/s41598-017-17317-x,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_116,TU Dresden,2017,1475.17,10.1371/journal.pone.0183665,FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203
OA2017_117,TU Dresden,2017,1661.24,10.1186/s12888-017-1480-2,FALSE,BioMed Central,BMC Psychiatry,1471-244X
OA2017_118,TU Dresden,2017,1297.40,10.3390/su9101897,FALSE,MDPI AG,Sustainability,2071-1050
OA2017_123,TU Dresden,2017,1515.54,10.1155/2017/6064974,FALSE,Hindawi,Parkinson’s Disease,2042-0080
OA2017_124,TU Dresden,2017,1552.95,10.1038/s41598-017-11924-4,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_125,TU Dresden,2017,1370.07,10.15376/biores.12.4.8340-8358,FALSE,North Carolina State University,BioResources,1930-2126
OA2017_126,TU Dresden,2017,1523.34,10.1371/journal.pone.0185596,FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203
OA2017_127,TU Dresden,2017,1063.86,10.1097/MD.0000000000008224,FALSE,Wolters Kluwer,Medicine,1536-5964
OA2017_130,TU Dresden,2017,400.00,,FALSE,Sub\urban e.V.,s u b u r b a n : zeitschrift für kritische stadtforschung,2197-2567
OA2017_131,TU Dresden,2017,720.77,10.3390/coatings7100168,FALSE,MDPI AG,Coatings,2079-6412
OA2017_132,TU Dresden,2017,1552.95,10.1038/s41598-017-13468-z,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_134,TU Dresden,2017,414.26,10.3389/fpsyt.2017.00207,FALSE,Frontiers Media,Frontiers in Psychiatry,1664-0640
OA2017_137,TU Dresden,2017,500.09,10.3390/g9010001,FALSE,MDPI AG,Games,2073-4336
OA2017_140,TU Dresden,2017,1356.60,10.1186/s40345-018-0118-8,FALSE,Springer Open,International Journal of Bipolar Disorders,2194-7511
OA2017_142,TU Dresden,2017,1100.75,10.1038/s41467-017-02288-4,FALSE,Nature Publishing Group,Nature Communications,2041-1723
OA2017_144,TU Dresden,2017,1908.50,10.3389/fpsyg.2017.02048,FALSE,Frontiers Media,Frontiers in Psychology,1664-1078
OA2017_148,TU Dresden,2017,1071.00,10.1051/parasite/2017049,FALSE,EDP Science,Parasite,1756-3305
OA2017_151,TU Dresden,2017,1666.00,10.1038/s41398-017-0081-7,FALSE,Nature Publishing Group,Translational Psychiatry,2158-3188
OA2017_152,TU Dresden,2017,699.72,10.1186/s13677-018-0107-6,FALSE,Springer Open,"Journal of Cloud Computing: Advances, Systems and Applications",2192-113X
OA2017_157,TU Dresden,2017,1621.40,10.3389/fped.2017.00280,FALSE,Frontiers Media,Frontiers in Pediatrics,2296-2360
OA2017_159,TU Dresden,2017,1552.95,10.1038/s41598-017-16677-8,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_161,TU Dresden,2017,1454.79,10.3390/rs9121299,FALSE,MDPI AG,Remote Sensing,2072-4292
OA2017_162,TU Dresden,2017,1894.44,10.1371/journal.pcbi.1005898,FALSE,Public Library of Science (PLoS),PLOS Computational Biology,1553-734X
OA2017_164,TU Dresden,2017,1091.10,10.3390/f9010008,FALSE,MDPI AG,Forests,1999-4907
OA2017_165,TU Dresden,2017,1928.69,10.1177/1687814018754955,FALSE,Sage Publications,Advances in Mechanical Engineering,1687-8140
OA2017_166,TU Dresden,2017,1661.24,10.1186/s12874-018-0471-4,FALSE,BioMed Central,BMC Medical Research Methodology,1471-2288
