"DOI","Institution","is_hybrid","period"
"10.1007/s11116-016-9749-8","Utrecht University",TRUE,2016
"10.1007/s10459-016-9729-y","Erasmus MC",TRUE,2016
"10.1007/s10811-016-1007-0","University of Groningen",TRUE,2016
"10.3758/s13414-016-1241-1","VU University Amsterdam",TRUE,2016
"10.1007/s11251-016-9398-5","Wageningen University",TRUE,2016
"10.1007/s10460-016-9757-5","Erasmus University",TRUE,2016
"10.1007/s13361-016-1544-4","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s10980-016-0458-7","Wageningen University",TRUE,2016
"10.1007/s10980-016-0459-6","VU University Amsterdam",TRUE,2016
"10.1007/s00038-016-0927-4","Maastricht University",TRUE,2016
"10.1007/s11205-016-1508-x","Erasmus University",TRUE,2016
"10.1007/s10798-016-9387-7","University of Twente",TRUE,2016
"10.1007/s11403-016-0184-x","Eindhoven University of Technology",TRUE,2016
"10.1007/s11423-016-9496-8","Utrecht University",TRUE,2016
"10.1007/s10640-016-0067-6","Tilburg University",TRUE,2016
"10.1007/s00431-016-2800-0","Radboud University Medical Center",TRUE,2016
"10.1007/s11166-016-9243-x","Erasmus University",TRUE,2016
"10.1007/s00163-016-0242-3","Delft University of Technology",TRUE,2016
"10.1007/s10886-016-0787-7","Wageningen University",TRUE,2016
"10.1007/s11005-016-0891-1","Utrecht University",TRUE,2016
"10.1007/s00221-016-4833-z","Radboud University",TRUE,2016
"10.1007/s10608-016-9821-x","Radboud University",TRUE,2016
"10.1007/s00431-016-2811-x","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s10901-016-9540-3","Tilburg University",TRUE,2016
"10.1007/s00127-016-1310-8","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s10151-016-1545-0","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00122-016-2831-y","Wageningen University",TRUE,2016
"10.1007/s10439-016-1760-x","Utrecht University",TRUE,2016
"10.1007/s11121-016-0733-5","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00253-016-8010-x","Wageningen University",TRUE,2016
"10.1007/s00268-016-3808-3","Radboud University Medical Center",TRUE,2016
"10.1007/s00296-016-3598-9","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00423-016-1533-x","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s10803-016-2966-3","Radboud University",TRUE,2016
"10.1007/s00216-016-0072-1","University of Amsterdam",TRUE,2016
"10.1007/s00701-016-3028-5","University Medical Center Utrecht",TRUE,2016
"10.1007/s11605-016-3268-y","Erasmus University",TRUE,2016
"10.1007/s10610-016-9331-0","Erasmus University",TRUE,2016
"10.1007/s10926-016-9680-z","Maastricht University",TRUE,2016
"10.1007/s00249-016-1181-7","Utrecht University",TRUE,2016
"10.1007/s00204-016-1881-x","Wageningen University",TRUE,2016
"10.1007/s12571-016-0629-z","Wageningen University",TRUE,2016
"10.1007/s11825-016-0101-7","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s11265-016-1193-7","Eindhoven University of Technology",TRUE,2016
"10.1007/s12529-016-9616-1","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10459-016-9733-2","Maastricht University",TRUE,2016
"10.1007/s00246-016-1508-2","University Medical Center Utrecht",TRUE,2016
"10.1007/s00464-016-5318-7","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00068-016-0744-8","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00520-016-3473-y","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s12350-016-0722-x","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00348-016-2272-z","Delft University of Technology",TRUE,2016
"10.1007/s00702-016-1655-x","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00726-016-2359-0","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10689-016-9943-z","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s40802-016-0071-0","Maastricht University",TRUE,2016
"10.1007/s11248-016-9997-6","Erasmus University",TRUE,2016
"10.1007/s00373-016-1746-3","University of Twente",TRUE,2016
"10.1007/s40519-016-0343-z","University of Groningen",TRUE,2016
"10.1007/s40804-016-0053-z","Radboud University",TRUE,2016
"10.1007/s40620-016-0363-9","Erasmus MC",TRUE,2016
"10.1007/s10457-016-0049-2","Wageningen University",TRUE,2016
"10.1007/s10926-016-9683-9","University of Groningen",TRUE,2016
"10.1007/s40926-016-0045-7","Wageningen University",TRUE,2016
"10.1007/s12152-016-9283-6","Radboud University",TRUE,2016
"10.1007/s11031-016-9595-1","University of Groningen",TRUE,2016
"10.1007/s13524-016-0518-2","University of Amsterdam",TRUE,2016
"10.1007/s00229-016-0895-2","Leiden University",TRUE,2016
"10.1007/s00018-016-2401-0","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s40821-016-0065-1","Erasmus University",TRUE,2016
"10.1007/s11205-016-1486-z","Erasmus MC",TRUE,2016
"10.1007/s00253-016-7993-7","University of Groningen",TRUE,2016
"10.1007/s10151-016-1552-1","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s11095-016-2065-3","Leiden University",TRUE,2016
"10.1007/s00134-016-4613-z","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s11266-016-9805-1","University of Amsterdam",TRUE,2016
"10.1007/s00402-016-2594-6","VU University Amsterdam",TRUE,2016
"10.1007/s11307-016-1028-8","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s11229-016-1268-9","University of Amsterdam",TRUE,2016
"10.1007/s00125-016-4153-7","Leiden University",TRUE,2016
"10.1007/s00227-016-3030-8","VU University Amsterdam",TRUE,2016
"10.1007/s40520-016-0689-0","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s11784-016-0351-7","VU University Amsterdam",TRUE,2016
"10.1007/s11367-016-1217-3","Wageningen University",TRUE,2016
"10.1007/s00221-016-4828-9","VU University Amsterdam",TRUE,2016
"10.1007/s11092-016-9251-z","University of Twente",TRUE,2016
"10.1007/s00018-016-2423-7","Maastricht University",TRUE,2016
"10.1007/s10198-016-0843-9","Erasmus University",TRUE,2016
"10.1007/s11906-016-0694-x","Erasmus MC",TRUE,2016
"10.1007/s10339-016-0780-7","Utrecht University",TRUE,2016
"10.1007/s00464-016-5336-5","University Medical Center Utrecht",TRUE,2016
"10.1007/s12035-016-0253-0","Radboud University Medical Center",TRUE,2016
"10.1007/s00221-016-4815-1","VU University Amsterdam",TRUE,2016
"10.1007/s10506-016-9189-y","University of Groningen",TRUE,2016
"10.1007/s00784-016-2011-0","University of Groningen",TRUE,2016
"10.1007/s10623-016-0301-9","Eindhoven University of Technology",TRUE,2016
"10.1007/s10696-016-9263-5","Wageningen University",TRUE,2016
"10.1007/s10840-016-0206-6","Erasmus University",TRUE,2016
"10.1007/s10926-016-9682-x","Tilburg University",TRUE,2016
"10.1007/s00247-016-3746-0","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s11517-016-1595-5","Maastricht University",TRUE,2016
"10.1007/s13385-016-0133-z","Maastricht University",TRUE,2016
"10.1007/s10803-016-2916-0","Radboud University",TRUE,2016
"10.1007/s11948-016-9835-5","VU University Amsterdam",TRUE,2016
"10.1007/s10827-016-0629-1","Radboud University",TRUE,2016
"10.1007/s10800-016-1016-3","Eindhoven University of Technology",TRUE,2016
"10.1007/s10856-016-5790-6","Radboud University Medical Center",TRUE,2016
"10.1007/s12350-016-0697-7","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00405-016-4367-9","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00348-016-2277-7","Delft University of Technology",TRUE,2016
"10.1007/s00392-016-1051-4","University of Groningen",TRUE,2016
"10.1007/s12152-016-9290-7","University of Amsterdam",TRUE,2016
"10.1007/s11121-016-0725-5","Radboud University",TRUE,2016
"10.1007/s40521-016-0103-3","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s00224-016-9723-z","University of Twente",TRUE,2016
"10.1007/s11695-016-2468-6","Maastricht University",TRUE,2016
"10.1007/s10560-016-0473-1","University of Groningen",TRUE,2016
"10.1007/s00269-016-0858-x","Utrecht University",TRUE,2016
"10.3758/s13423-016-1205-4","VU University Amsterdam",TRUE,2016
"10.1007/s11306-016-1140-4","University of Groningen",TRUE,2016
"10.1007/s11117-016-0457-6","Leiden University",TRUE,2016
"10.1007/s12526-016-0599-6","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s11046-016-0092-6","Utrecht University",TRUE,2016
"10.1007/s00158-016-1613-0","Delft University of Technology",TRUE,2016
"10.1007/s00221-016-4841-z","Radboud University",TRUE,2016
"10.1007/s00221-016-4836-9","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s12469-016-0143-x","VU University Amsterdam",TRUE,2016
"10.1007/s10902-016-9823-0","Maastricht University",TRUE,2016
"10.1007/s00340-016-6563-0","VU University Amsterdam",TRUE,2016
"10.1007/s00357-016-9217-3","University of Groningen",TRUE,2016
"10.1007/s00216-016-0073-0","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00259-016-3576-1","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s10712-016-9399-6","Utrecht University",TRUE,2016
"10.1007/s00423-016-1504-2","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s10198-016-0841-y","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s00168-016-0795-0","VU University Amsterdam",TRUE,2016
"10.1007/s00404-016-4216-5","University Medical Center Utrecht",TRUE,2016
"10.1007/s10067-016-3456-x","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s40273-016-0467-z","University of Twente",TRUE,2016
"10.1007/s00784-016-1996-8","University Medical Center Utrecht",TRUE,2016
"10.1007/s00787-016-0920-8","VU University Amsterdam",TRUE,2016
"10.1007/s40802-016-0070-1","Utrecht University",TRUE,2016
"10.1007/s11274-016-2171-8","Academic Center for Dentistry Amsterdam (ACTA)",TRUE,2016
"10.1007/s00405-016-4365-y","University Medical Center Utrecht",TRUE,2016
"10.1007/s00248-016-0885-7","University of Groningen",TRUE,2016
"10.1007/s00420-016-1181-z","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00701-016-3012-0","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s00359-016-1131-y","University of Groningen",TRUE,2016
"10.1007/s10964-016-0614-z","Radboud University",TRUE,2016
"10.1007/s10964-016-0611-2","Utrecht University",TRUE,2016
"10.1007/s00586-016-4883-8","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00125-016-4161-7","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s10021-016-0083-y","Netherlands Institute of Ecology",TRUE,2016
"10.1007/s00464-016-5333-8","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s11005-016-0928-5","University of Amsterdam",TRUE,2016
"10.1007/s00415-016-8335-5","Erasmus MC",TRUE,2016
