"DOI","Institution","is_hybrid","period"
"10.1007/s10334-016-0596-6","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00401-016-1635-0","University Medical Center Utrecht",TRUE,2016
"10.1007/s12552-016-9182-9","Erasmus MC",TRUE,2016
"10.1007/s00520-016-3439-0","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s11548-016-1490-4","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10680-016-9402-4","University of Groningen",TRUE,2016
"10.1007/s11238-016-9578-4","Radboud University",TRUE,2016
"10.1007/s00204-016-1865-x","University of Groningen",TRUE,2016
"10.1007/s10901-016-9529-y","Delft University of Technology",TRUE,2016
"10.1007/s11032-016-0565-9","Wageningen University",TRUE,2016
"10.1007/s13239-016-0283-9","Eindhoven University of Technology",TRUE,2016
"10.1007/s11192-016-2160-6","Leiden University",TRUE,2016
