Institution;Period ;Euro;;is hybrid;publisher;journal_full_title
Bochum. Ruhr-Universitaet;2017;1099.56;10.1186/s13634-017-0485-9;FALSE;;
Bochum. Ruhr-Universitaet;2017;400.00;10.1016/j.ijchp.2017.06.003;FALSE;;
Bochum. Ruhr-Universitaet;2017;955.78;10.3390/sym9080145;FALSE;;
Bochum. Ruhr-Universitaet;2017;1509.71;10.1371/journal.pone.0178631;FALSE;;
Bochum. Ruhr-Universitaet;2017;1520.09;10.3390/ijerph14080927;FALSE;;
Bochum. Ruhr-Universitaet;2017;1918.37;10.3389/fonc.2017.00182;FALSE;;
Bochum. Ruhr-Universitaet;2017;1552.95;10.1038/s41598-017-09649-5;FALSE;;
Bochum. Ruhr-Universitaet;2017;1808.8;10.1136/bmjopen-2017-017104;FALSE;;
Bochum. Ruhr-Universitaet;2017;1232.96;10.1016/j.ssmph.2017.07.010;FALSE;;
Bochum. Ruhr-Universitaet;2017;300.00;10.1016/j.ijchp.2017.08.001;FALSE;;
Bochum. Ruhr-Universitaet;2017;1855.14;10.3389/fpsyg.2017.01582;FALSE;;
Bochum. Ruhr-Universitaet;2017;1552.95;10.1038/s41598-017-10404-z;FALSE;;
Bochum. Ruhr-Universitaet;2017;1513.05;10.1371/journal.pone.0182407;FALSE;;
Bochum. Ruhr-Universitaet;2017;1872.35;10.3389/fpsyg.2017.01511;FALSE;;
Bochum. Ruhr-Universitaet;2017;1552.95;10.1038/s41598-017-10718-y;FALSE;;
Bochum. Ruhr-Universitaet;2017;1686.13;10.4311/2014IC0115;FALSE;;
Bochum. Ruhr-Universitaet;2017;1686.12;10.4311/2014IC0121;FALSE;;
Bochum. Ruhr-Universitaet;2017;1686.13;10.4311/2014IC0116;FALSE;;
Bochum. Ruhr-Universitaet;2017;1682.83;10.4311/2014IC0125;FALSE;;
Bochum. Ruhr-Universitaet;2017;1682.83;10.4311/2014IC0119;FALSE;;
Bochum. Ruhr-Universitaet;2017;1662.83;10.4311/2015IC0135;FALSE;;
Bochum. Ruhr-Universitaet;2017;1954.86;10.1364/OE.25.019398;FALSE;;
Bochum. Ruhr-Universitaet;2017;1630.06;10.3389/fnint.2017.00030;FALSE;;
Bochum. Ruhr-Universitaet;2017;1904.00;10.1007/s13555-017-0182-5;FALSE;;
Bochum. Ruhr-Universitaet;2017;1552.95;10.1038/s41598-017-11944-0;FALSE;;
Bochum. Ruhr-Universitaet;2017;1538.17;10.1371/journal.pone.0172491;FALSE;;
Bochum. Ruhr-Universitaet;2017;1538.17;10.1371/journal.pone.0172855;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12888-017-1521-x;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12893-017-0300-4;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12866-017-1116-1;FALSE;;
Bochum. Ruhr-Universitaet;2017;1871.71;10.3389/fphys.2017.00888;FALSE;;
Bochum. Ruhr-Universitaet;2017;1512.53;10.1371/journal.pone.0186065;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12885-017-3783-6;FALSE;;
Bochum. Ruhr-Universitaet;2017;1560.5;10.1097/MD.0000000000008839;FALSE;;
Bochum. Ruhr-Universitaet;2017;1478.72;10.1371/journal.pone.0187232;FALSE;;
Bochum. Ruhr-Universitaet;2017;1478.73;10.1371/journal.pone.0187922;FALSE;;
Bochum. Ruhr-Universitaet;2017;1552.95;10.1038/s41598-017-17914-w;FALSE;;
Bochum. Ruhr-Universitaet;2017;1434.55;10.1371/journal.pone.0189719;FALSE;;
Bochum. Ruhr-Universitaet;2017;1455.13;10.1371/journal.pone.0186162;FALSE;;
