Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant number (1),Grant number (2),Grant number (3),Date of APC payment,APC paid (actual currency) including VAT if charged,Currency of APC,APC paid (£) including VAT if charged,Additional costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Licence,Correct license applied?,Problem-free open access publication?,Notes,,
09/04/2014,Nadia I Richman,,,,http://dx.doi.org/10.1371/journal.pone.0096811 ,,PLOS,PLOS ONE,,Journal Article/Review (Full OA journal),To See or Not to See: Investigating Detectability of Ganges River Dolphins Using a Combined Visual-Acoustic Survey,07/05/2014,RCUK,,,NERC,,,NE/I528734/1,,,24/04/2014,,,995.11,,,,CC BY,Yes,Yes,,,
24/02/2014,Astrid Ensslin,,,,,,John Benjamins,International Journal of Corpus Linguistics,,,Formulaic Sequences in Native and Non-native Argumentative Writing in German: A Corpus-driven Comparison,not yet published,RCUK,,,AHRC,,,,,,28/04/2014,,,"1,738.35",,,,CC BY,Yes,Yes,,,
30/04/2014,Patricia E.G. Bestelmeyer,,,,http://dx.doi.org/10.1523/jneurosci.4820-13.2014 ,,Society for Neuroscience,Journal of Neuroscience,,,Adaptation to Vocal Expressions Reveals Multi-Step Perception of Auditory Emotion,11/06/2014,ESRC top up to RCUK,,,ESRC,MRC,,RES-060-25-0010,,,15/05/2014,,,"3,330.95",,,,CC BY,Yes,Yes,,,
06/12/2013,Astrid Ensslin,,,,http://dx.doi.org/10.3366/cor.2014.0057 ,,Edinburgh University Press,Corpora,,,What's Hard in German? (WHiG): a British learner corpus of German',01/11/2014,RCUK,,,AHRC,,,,,,15/05/2014,,,"1,200.00",,,,CC BY,Yes,Yes,,,
28/04/2014,Manon Jones,,,,http://dx.doi.org/10.1523/jneurosci.0665-14.2014 ,,Society for Neuroscience,Journal of Neuroscience,,,Anomalous Transfer of Syntax Between Languages,11/06/2014,ESRC top up to RCUK,,,ESRC,,,ES/E0245565/1,,,15/05/2014,,,"3,330.95",,,,CC BY,Yes,Yes,,,
20/01/2014,David Martin Taylor,,,,http://dx.doi.org/10.1016/j.orgel.2014.03.043 ,,Elsevier,Organic Electronics,,,A high-yield vacuum-evaporation-based R2R-compatible fabrication route for organic electronic circuits,01/07/2014,RCUK,,,EPSRC,,,,,,27/05/2014,,,"1,637.99",,,,CC BY,Yes,Yes,,,
10/06/2014,Robert Woods,,,,http://dx.doi.org/10.1186/1477-7525-12-94 ,,Biomed Central,Health & Quality of Life Outcomes,,,What Contributes to a Good Quality of Life in Early Dementia? Awareness and QoL-AD,11/06/2014,RCUK,,,ESRC,,,RES-062-23-0371,,,11/06/2014,,,"1,590.00",,,,CC BY,Yes,Yes,,,
25/10/2013,E. Charles Leek,,,,http://dx.doi.org/10.1037/a0034983 ,,APA Journals,Journal of Experimental Psychology: Human Perception and Performance,,,Shape Information Mediating Basic- and Subordinate-Level Object Recognition Revealed by Analyses of Eye Movements. ,23/12/2013,ESRC top up to RCUK,,,ESRC,EPSRC,,RES-062-23-2075,,,18/06/2014,,,"2,918.84",,,,CC BY,Yes,Yes,,,
05/06/2014,D.M. Taylor,,,,http://dx.doi.org/10.1109/ted.2014.2329329 ,,IEEE,IEEE Transactions on Electron Devices,,,Organic Digital Logic and Analog Circuits Fabricated in a Roll-to-roll Compatible Evaporation Process,01/08/2014,RCUK,,,EPSRC,,,,,,01/07/2014,,,"1,268.38",,,,CC BY,Yes,Yes,,,
10/03/2014,Gill Windle,,,,http://dx.doi.org/10.1186/2046-4053-3-91 ,,Biomed Central,Systematic Reviews,,,Understanding the Impact of Visual Arts Interventions for People Living with Dementia and Those Who Care for Them: A Realistic Review Protocol,15/08/2014,RCUK,,,AHRC,,,,,,21/07/2014,,,"1,824.00",,,,CC BY,Yes,Yes,,,
10/06/2014,Tom Rippeth,,,,http://dx.doi.org/10.1002/2014jc010089 ,,Wiley,Journal of Geophysical Research,,,Impact of Vertical Mixing on Sea Surface PCO2 in Temperate Seasonally Stratified Shelf Seas.,20/06/2014,RCUK,,,NERC,,,,,,23/07/2014,,,"3,051.36",,,,CC BY,Yes,Yes,,,
16/07/2014,S.P. Neill,,,,http://dx.doi.org/10.1080/03091929.2014.944909 ,,Taylor and Francis,Geophysical and Astrophysical Fluid Dynamics,,,A Coupled Tide-wave Model for the NW European Shelf Seas,14/08/2014,RCUK,,,EPSRC,,,,,,01/08/2014,,,"2,145.60",,,,CC BY,Yes,Yes,,,
19/06/2014,Sophie-Berenice Wilmes,,,,http://dx.doi.org/10.1002/2013jc009605 ,,Wiley,Journal of Geophysical Research,,,"The Evolution of Tides and Tidal Dissipation Over the Past 21,000 Years",07/07/2014,RCUK,,,NERC,,,NE/F014821/1,,,07/08/2014,,,"2,142.37",495.00,,,CC BY,Yes,Yes,,,
09/04/2014,N.S. Lucas,,,,http://dx.doi.org/10.1175/jtech-d-13-00198.1 ,,American Meteorological Society,Journal of Atmospheric and Oceanic Technology,,,Measuring Turbulent Dissipation Using a Tethered ADCP,20/03/2014,RCUK,,,NERC,,,,,,08/10/2014,,,"1,334.87",528.00,,,CC BY,Yes,Yes,,,
09/07/2014,David Leonard Jones,,,,http://dx.doi.org/10.1016/j.soilbio.2014.07.003 ,,Elsevier,Soil Biology and Biochemistry,,,Soil Microbial Organic Nitrogen Uptake is Regulated by Carbon Availability,01/10/2014,RCUK,,,NERC,,,NE/I012303/1,,,09/10/2014,,,"1,805.56",,,,CC BY,Yes,Yes,,,
10/07/2014,S.P. Neill,,,,http://dx.doi.org/10.1016/j.apenergy.2014.07.023 ,,Elsevier,Applied Energy,,,Inter-annual and Inter-seasonal Variability of the Orkney Wave Power Resource,01/11/2014,RCUK,,,EPSRC,,,,,,09/10/2014,,,"2,351.10",,,,CC BY,Yes,Yes,,,
09/07/2014,S.P. Neill,,,,http://dx.doi.org/10.1016/j.energy.2014.07.002 ,,Elsevier,Energy,,,Optimal Phasing of the European Tidal Stream Resource Using the Greedy Algorithm with Penalty Function,14/08/2014,RCUK,,,EPSRC,,,EP/J010200/1,,,09/10/2014,,,"1,805.54",,,,CC BY,Yes,Yes,,,
30/05/2014,Stathys Papadimitriou,,,,http://dx.doi.org/10.1016/j.gca.2014.05.031 ,,Geochimica et Cosmochimica Acta,Geochimica et Cosmochimica Acta,,,Kinetics of Ikaite Precipitation and Dissolution in Seawater-derived Brines at Sub-Zero Temperatures to 265k,01/09/2014,RCUK,,,NERC,,,,,,09/10/2014,,,"2,137.37",,,,CC BY,Yes,Yes,,,
13/05/2013,Mattias Green,,,,http://dx.doi.org/10.1016/j.dsr.2013.04.006 ,,Elsevier,Deep Sea Research Part 1,,,Non-assimilated Tidal Modeling of the South China Sea,01/08/2014,RCUK,,,NERC,,,,,,09/10/2014,,,"1,928.03",,,,CC BY,Yes,Yes,,,
02/10/2014,S. Creer,,,,http://dx.doi.org/10.1111/geb.12223 ,,Wiley,Global Ecology and Biogeography,,,Metagenetic analysis of patterns of distribution and diversity of marine meiobenthic eukaryotes,25/08/2014,RCUK,,,NERC,,,,,,03/11/2014,,,"1,939.41",,,,CC BY,Yes,No,Publisher failed to apply correct license. In discussion to change it,,
09/01/2014,Nathan Abrams,,,,http://dx.doi.org/10.1017/s0021875814001844 ,,Cambridge University Press,Journal of American Studies,,,"A Jewish American Monster: Stanley Kubrick, Antisemitism and Lolita (1962)’",12/11/2014,RCUK,,,AHRC,,,,,,03/11/2014,,,"2,034.00",,,,CC BY,Yes,Yes,,,
21/07/2014,S.P. Neill,,,,http://dx.doi.org/10.1016/j.apenergy.2014.09.061 ,,Elsevier,Applied Energy,,,Realistic Wave Conditions and their Influence on Quantifying the Tidal Stream Energy Resource,31/12/2014,RCUK,,,EPSRC,,,,,,04/11/2014,,,"2,341.86",,,,CC BY,Yes,Yes,,,
23/10/2014,Jess Mead Silvester,,,,http://dx.doi.org/10.1002/2014gl061538 ,,Wiley,Geophysical Research Lettters,,,Observations of a Diapycnal Shortcut to Adiabatic Upwelling of Antarctic Circumpolar Deep Water,25/11/2014,RCUK,,,NERC,,,,,,04/11/2014,,,"1,612.63",,,,CC BY,Yes,Yes,,,
02/10/2014,James E. McDonald,,,,http://dx.doi.org/10.1371/journal.pone.0112951 ,,PLOS,PLOS ONE,,Journal Article/Review (Full OA journal),Sediment Composition Influences Spatial Variation in the Abundance of Human Pathogen Indicator Bacteria within an Estuarine Environment,14/11/2014,RCUK,,,NERC,,,NE/J011908/1,,,04/11/2014,,,870.82,,,,CC BY,Yes,Yes,,,
20/02/2014,Ronan C. Roche,,,,http://dx.doi.org/10.1177/0959683614534739 ,,SAGE Publications,The Holocene,,,Mid-Holocene Sea Surface Conditions and Riverine Influence on the Inshore Great Barrier Reef,05/06/2014,RCUK,,,NERC,,,NE/F01077X/1,,,04/11/2014,,,960.00,,,,CC BY,Yes,Yes,,,
27/10/2014,P.W. Hill,,,,http://dx.doi.org/10.1111/gcb.12784 ,,Wiley,Global Change Biology,,,Living Roots Magnify the Response of Soil Organic Carbon Decomposition to Temperature in Temperate Grassland,23/12/2014,RCUK,,,NERC,,,NER/A/S/2003/00403,,,2014,,,"1,680.00",,,,CC BY,Yes,No,Publisher failed to apply correct license. In discussion to change it,,
15/10/2014,S.P. Neill,,,,http://dx.doi.org/10.1016/j.renene.2014.10.029 ,,Elsevier,Renewable Energy,,,Effect of Waves on the Tidal Energy Resource at a Planned Tidal Stream Array,01/03/2015,RCUK,,,EPSRC,,,,,,2014,,,"1,750.00",,,,CC BY,Yes,Yes,,,
02/10/2014,S. Creer,,,,http://dx.doi.org/10.1038/ismej.2014.213 ,,Nature Group,The ISME Journal,,,Environmental Metabarcoding Reveal Heterogeneous Drivers of Microbial Eukaryote Diversity in Contrasting Estuarine Ecosystems,25/11/2014,RCUK,,,NERC,,,,,,2014,,,"3,360.00",,,,CC BY,Yes,Yes,,,
05/11/2014,Robert D. Rogers,,,,http://dx.doi.org/10.1177/0956797614527830 ,,Association for Psychological Siences,Psychological Sciences,,,Serotonin and Social Norms,01/07/2014,RCUK,,,MRC,,,G0700410,,,2014,,,"2,600.00",,,,CC BY-NC,No,No,Publisher failed to apply correct license. In discussion to change it,,
12/03/2014,Clare L,,,,http://dx.doi.org/10.1186/s12955-014-0175-3,,Biomed Central,Health and Quality of Life Outcomes,,,Care Staff and Family Member Perspectives on  Quality of Life in People with Very Severe Dementia in Long-term Care,09/12/2014,RCUK,,,MRC,ESRC,,,,,2014,,,"1,650.00",,,,CC BY,Yes,Yes,,,
14/11/2014,Jan Geert Hiddink,,,,http://dx.doi.org/10.1098/rspb.2014.2336 ,,Royal Society Publishing,Proceedings of the Royal Society B: Biological Sciences ,,,Effects of Bottom Trawling on Fish Foraging and Feeding,10/12/2014,RCUK,,,NERC,,,,,,2014,,,"1,920.00",,,,CC BY,Yes,Yes,,,
14/11/2014,Peter E. Robins,,,,http://dx.doi.org/10.1016/j.ecss.2014.09.019 ,,Elsevier,Estuarine. Coastal and Shelf Science,,,Future Variability of Solute Transport in Macrotidal Estuary,05/12/2014,RCUK,,,NERC,,,,,,2014,,,"2,856.00",,,,CC BY,Yes,Yes,,,
18/11/2014,Davey L. Jones,,,,http://dx.doi.org/10.1111/1365-2435.12377 ,,Wiley,Functional Ecology,,,Priming of the Decomposition of Aging Soil Organic Matter: Concentration Dependence and Microbial Control,16/12/2014,RCUK,,,NERC,,,NE/IO12303/1,,,2014,,,"1,720.00",,,,CC BY,Yes,Yes,,,
09/12/2014,Patricia Bestelmeyer,,,,http://dx.doi.org/10.1093/cercor/bhu282 ,,Oxford University Press,Cerebral Cortex,,,A Neural Marker for Social Bias Towards in-group Accents,01/12/2014,RCUK,,,ESRC,,,RES-060-25-0010,,,2014,,,"3,004.80",,,,CC BY,Yes,Yes,,,
02/04/2014,J.H. Simpson,,,,http://dx.doi.org/10.1002/lno.10008,,ASLO,Limnology and Oceanography,,,Dissipation and Mixing During the Onset of Statification in a Temperate Lake Windermere,31/12/2014,RCUK,,,NERC,,,,,,2014,,,431.14,,,,CC BY,Yes,Yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
