Institution,Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
Aston University,,"Belal, Ataur, Dr.",Aston Business School,,,10.1016/j.cpa.2015.01.005,"Belal, Ataur, Dr.",Elsevier,Critical Perspectives On Accounting,1045-2354,Journal article/Review (Hybrid journal),Corporate environmental responsibility and accountability: What chance in vulnerable Bangladesh?,09/02/2015,Other,Institutional,,Other,,,British Council,,,,857,714,143,GBP,857,714,143,,Pre-payment discount,,,CC BY-NC-ND,Yes,Yes,
Aston University,,Arturs Scukins,Engineering & Applied Science,,,10.1016/j.cpc.2014.12.019,Arturs Scukins,Elsevier,Computer Physics Communications,0010-4655,Journal article/Review (Hybrid journal),Molecular Dynamics implementation of BN2D or ‘Mercedes Benz’,23/01/2015,RCUK,,,EPSRC,,,EPSRC - G8 Research Council Initiative on Multilateral Research Funding,,,,1287,1029,258,GBP,1287,1029,258,,Pre-payment discount,,1287,CC BY,Yes,Yes,
Aston University,,"Cortes, Ana Maria, Dr.",Engineering & Applied Sciences,,,10.1016/j.fuproc.2015.05.013,"Cortes, Ana Maria, Dr.",Elsevier,Fuel Processing Technology,0378-3820,Journal article/Review (Hybrid journal),Kinetic study of the pyrolysis of miscanthus and its acid hydrolysis residue by thermogravimetric analysis,05/06/2015,Institutional,,,European Union,,,EC 227248,,,,2570,2142,428,GBP,2570,2142,428,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,,Brian Roberts,Life & Health Sciences,,25620314,10.1016/j.heares.2015.01.007,Brian Roberts,Elsevier,Hearing Research,0378-5955,Journal article/Review (Hybrid journal),The verbal transformation effect and the perceptual organization of speech: Influence of formant transitions and F0-contour continuity,22/01/2015,RCUK,,,EPSRC,,,EP/F016484/1,,,,1052,841,211,GBP,1052,841,211,,Pre-payment discount,,1052,CC BY,Yes,Yes,
Aston University,,"Jaakkola, Matti, Dr.",Aston Business School,,,10.1016/j.indmarman.2015.02.022,"Jaakkola, Matti, Dr.",Elsevier,Industrial Marketing Management,0019-8501,Journal article/Review (Hybrid journal),Various Forms of Value-Based Selling Capability - Commentary on “Value-Based Selling: An Organizational Capability Perspective”,16/03/2015,Other,Institutional,,,,,,,,,857,714,143,GBP,857,714,143,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,05/12/2015,"Jun Du, Tomasz Mickiewicz (expenses claim)",Aston Business School,,,10.1016/j.jbusvent.2015.09.001,Tomasz Mickiewicz,Elsevier,Journal of Business Venturing,0883-9026,Journal article/Review (Hybrid journal),"Subsidies, rent seeking and performance: Being young, small or private in China",23/10/2015,Other,Institutional,,,,,,,,05/01/2016,1124,937,187,GBP,1124,937,187,,Pre-payment discount,,,CC BY-NC-ND,Yes,Yes,Expenses claim
Aston University,,Christopher Hewitt,Life & Health Sciences,,,10.1016/j.jcyt.2015.08.002,Christopher Hewitt,Elsevier,Cytotherapy,1465-3249,Journal article/Review (Hybrid journal),Serum-free process development: Improving the yield and consistency of human mesenchymal stem cell production,01/11/2015,RCUK,,,EPSRC,Other,,EP/F500491/1,FujiFilm,,,1971,1642,329,GBP,1971,1642,329,,Pre-payment discount,,1971,CC BY,Yes,Yes,
Aston University,,"Onali, Enrico, Dr.",Aston Business School,,,10.1016/j.jfi.2015.08.001,"Onali, Enrico, Dr.",Elsevier,Journal of Financial Intermediation,1042-9573,Journal article/Review (Hybrid journal),"CEO power, government monitoring, and bank dividends",01/09/2015,Other,Institutional,,,,,,,,,1420,1183,237,GBP,1420,1183,237,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,,"Jones, Chris, Dr.",Aston Business School,,,10.1016/j.jwb.2015.09.001,"Jones, Chris, Dr.",Elsevier,Journal of World Business,1090-9516,Journal article/Review (Hybrid journal),The Determinants of Tax Haven FDI,26/09/2015,Other,Institutional,,,,,,,,,1420,1183,237,GBP,1420,1183,237,,Elsevier pre-pay,,,CC BY-NC-ND,Yes,Yes,
Aston University,,Ian Combe,Aston Business School,,,10.1016/j.leaqua.2015.02.002,Ian Combe,Elsevier,Leadership Quarterly,1048-9843,Journal article/Review (Hybrid journal),Leaders' sensemaking under crises: Emerging cognitive consensus over time within management teams,07/04/2015,RCUK,Institutional,,ESRC,,,RES-187-24-0005,,,,1169,935,234,GBP,1169,935,234,,Elsevier pre-pay,,1169,CC BY,Yes,Yes,
Aston University,,Gavin Woodhall,Life & Health Sciences,PMC3181687,25797493,10.1016/j.neuropharm.2015.03.006,Gavin Woodhall,Elsevier,Neuropharmacology,0028-3908,Journal article/Review (Hybrid journal),Cortical oscillatory dynamics and benzodiazepine-site modulation of tonic inhibition in fast spiking interneurons,20/03/2015,RCUK,,,BBSRC,Other,Other,BB/G01227X/1,Warwick Research Development Fund,Birmingham Science City Research Alliance,,1428,1142,286,GBP,1428,1142,286,,Elsevier pre-pay,,1428,CC BY,Yes,Yes,
Aston University,,"Romani, Cristina, Dr.",Life & Health Sciences,,25772602,10.1016/j.neuropsychologia.2015.03.007,"Romani, Cristina, Dr.",Elsevier,Neuropsychologia,0028-3932,Journal article/Review (Hybrid journal),"Phonological simplifications, apraxia of speech and the interaction between phonological and phonetic processing",13/03/2015,Institutional,,,British Academy,,,,,,,1403,1169,234,GBP,1403,1169,234,,Elsevier pre-pay,,,CC BY-NC-ND,Yes,Yes,
Aston University,,"Vladimir Mezentsev; Okhrimchuk, Andrey Gordeevich, Dr.",Engineering & Applied Sciences,,,10.1016/j.optmat.2015.02.005,"Okhrimchuk, Andrey Gordeevich, Dr.",Elsevier,Optical Materials,0925-3467,Journal article/Review (Hybrid journal),Femtosecond laser writing in the monoclinic RbPb2Cl5:Dy3+ crystal,03/03/2015,Institutional,,,Other,,,Leverhulme Trust VP1-2011-025,,,,1714,1428,286,GBP,1714,1428,286,,Elsevier pre-pay,,,CC BY-NC-ND,Yes,Yes,
Aston University,,"Pryce, Helen, Dr.",Life & Health Sciences,,25937536,10.1016/j.pec.2015.04.005,"Pryce, Helen, Dr.",Elsevier,Patient Education and Counselling,0738-3991,Journal article/Review (Hybrid journal),The role of volunteer support in the community for adults with hearing loss and hearing aids,12/04/2015,Institutional,,,Other,,,University Hospital Bristols NHS Trust,,,,2338,1948,390,GBP,2338,1948,390,,Elsevier pre-pay,,,CC BY,Yes,Yes,
Aston University,,"Knight, Louise, Dr.",Engineering & Applied Sciences,,,10.1016/j.pursup.2015.04.002,"Knight, Louise, Dr.",Elsevier,Journal of Purchasing & Supply Management,1478-4092,Journal article/Review (Hybrid journal),Supply market uncertainty: exploring consequences and responses within sustainability transitions,20/04/2015,Institutional,,,Other,,,BioenNW Interreg IVB Project; BRI-ERDF project,,,,857,714,143,GBP,857,714,143,,Elsevier pre-pay,,,CC BY-NC-ND,Yes,Yes,
Aston University,,Roslyn Bill,Life & Health Sciences,PMC4521084,26037971,10.1016/j.sbi.2015.04.003,Roslyn Bill,Elsevier,Current Opinion in Structural Biology,0959-440X,Journal article/Review (Hybrid journal),Hijacked then lost in translation: the plight of the recombinant host cell in membrane protein structural biology projects,01/06/2015,RCUK,,,BBSRC,BBSRC,Other,BB/I019960/1,BB/I010351/1,ND4BB ENABLE Consortium,,2435,1948,487,GBP,2435,1948,487,,Pre-payment discount,,2435,CC BY,Yes,Yes,
Aston University,08/01/2015,Aniko Ekart (67),Engineering & Applied Sciences,,,10.1108/scm-10-2014-0323,Aniko Ekart,Emerald,Supply Chain Management,1359-8546,Journal article/Review (Hybrid journal),Advanced predictive-analysis-based decision support for collaborative logistics networks,03/03/2015,Institutional,,,European Union,Other,,FP7 257398,National Innovation Office of Hungary ED_13-2-2013-0002,,18/05/2015,1194,995,199,GBP,1194,995,199,,,,,CC BY,Yes,Yes,
Aston University,23/10/2015,Ataur Belal (PO via Val),Aston Business School,,,,Ataur Belal,Emerald,"Accounting, Auditing & Accountability Journal",1368-0668,Journal article/Review (Hybrid journal),The Big 4 in Bangladesh: Caught between the Global and the Local,,Other,Institutional,,,,,,,,04/03/2015,,,,GBP,1194,995,199,,,,,CC BY,Yes,No,Credit used from previous paper not made Gold OA because of mix-up by Emerald
Aston University,04/01/2015,Jin Yang (31),Engineering & Applied Sciences,,,10.1109/tsg.2015.2389711,Jin Yang,IEEE,IEEE Transactions on Smart Grid,1949-3053,Journal article/Review (Hybrid journal),Dynamic Network Rating for Low Carbon Distribution Network Operation—A U.K. Application,26/01/2015,Institutional,,,,,,,,,09/01/2015,1182,985,197,GBP,1182,985,197,,Pre-payment discount,,,None,No,No,"OA, but non-CC & IEEE retains copyright"
Aston University,07/05/2015,Emmanuelle Labeau (77),Languages & Social Sciences,,,10.1075/dia.32.4.03bre,Emmanuelle Labeau,John Benjamins,Diachronica,0176-4225,Journal article/Review (Hybrid journal),Venir de (+ infinitive): An immediate anteriority marker in French,01/08/2015,Institutional,,,,,,,,,12/06/2015,1494,1245,249,GBP,1494,1245,249,,Pre-payment discount,,,CC BY-NC,Yes,No,Problems in processing payment
Aston University,05/01/2015,Eric Hill (49),Life & Health Sciences,PMC4528011,25853906,10.1038/jcbfm.2015.58,Eric Hill,Nature Publishing Group,Journal of Cerebral Blood Flow and Metabolism,0271-678X,Journal article/Review (Hybrid journal),Amyloid ? 1-42 induces hypometabolism in human stem cell derived neuron and astrocyte networks,08/04/2015,Institutional,,,Other,,,Alzheimer's Research UK (PPG2009B-3),,,23/03/2015,2280,1900,380,GBP,2280,1900,380,Includes 1078 page prinitng charges,Pre-payment discount,,,CC BY,Yes,No,ISCBFM retains copyright; were additional page printing charges - problems in processing this payment
Aston University,14/01/2015,Sonia Boscolo (33),Engineering & Applied Sciences,,,10.1038/lsa.2015.49,Sonia Boscolo,Nature Publishing Group,Light: Science & Applications,2095-5545,Journal article/Review (Full OA journal),Secret key exchange in ultralong lasers by radio frequency spectrum coding,24/04/2015,Institutional,,,Other,European Union,Other,French National Research Agency,European Research Council (project ULTRALASER),Leverhulme Trust (grant RPG-278),15/01/2015,3480,2900,580,GBP,3480,2900,580,,,,,CC BY,Yes,Yes,CIOFMP retains copyright
Aston University,22/09/2015,Tom Allsop (115),Engineering & Applied Sciences,,,10.1038/lsa.2016.32,"Tom Allsop, David Webb",Nature Publishing Group,Light: Science & Applications,2095-5545,Journal article/Review (Full OA journal),Photonic gas sensors exploiting directly the optical properties of hybrid carbon nanotube localized surface plasmon structures.,,RCUK,,,EPSRC,,,???,,,30/10/2015,3480,2900,580,GBP,3480,2900,580,,,,3480,CC BY,Yes,Yes,
Aston University,12/02/2015,Adam Lee (47),Engineering & Applied Science,PMC4371104,25800551,10.1038/srep09425,Adam Lee,Nature Publishing Group,Scientific Reports,2045-2322,Journal article/Review (Full OA journal),Selectivity control in Pt-catalyzed cinnamaldehyde hydrogenation,24/03/2015,RCUK,,,EPSRC,,,EP/G007594/4,,,17/03/2015,1188,990,198,GBP,1188,990,198,,,,1188,CC BY,Yes,Yes,
Aston University,16/03/2015,Andrew Pitt (59),Life & Health Sciences,PMC4432867,25978651,10.1038/srep09736,Andrew Pitt,Nature Publishing Group,Scientific Reports,2045-2322,Journal article/Review (Full OA journal),Interfacing low-energy SAW nebulization with Liquid Chromatography-Mass Spectrometry for the analysis of biological samples,15/05/2015,RCUK,,,EPSRC,EPSRC,,EP/I017887/1,EP/K027611/1,340117– Biophonics,12/05/2015,1188,990,198,GBP,1188,990,198,,,,1188,CC BY,Yes,Yes,
Aston University,18/06/2015,Igor Yurkevich (101),Engineering & Applied Sciences,PMC4568457,26365761,10.1038/srep13947,Igor Yurkevich,Nature Publishing Group,Scientific Reports,2045-2322,Journal article/Review (Full OA journal),Hong-Ou-Mandel Interference with a Single Atom,14/09/2015,Institutional,,,Other,,,Leverhulme Trust Grant No. RPG-380,,,21/07/2015,1188,990,198,GBP,1188,990,198,,,,,CC BY,Yes,Yes,
Aston University,05/10/2015,Afzal Mohammed (113),Life & Health Sciences,PMC4639810,,10.1038/srep16352,Afzal Mohammed,Nature Publishing Group,Scientific Reports,2045-2322,Journal article/Review (Full OA journal),A Holistic Multi Evidence Approach to Study the Fragmentation Behaviour of Crystalline Mannitol,10/11/2015,Institutional,,,Other,,,Archy / Colorcon,,,27/10/2015,1188,990,198,GBP,1188,990,198,,,,,CC BY,Yes,Yes,
Aston University,27/01/2015,David Webb (35),Engineering & Applied Sciences,,25836830,10.1364/oe.23.006058,Carlos Marques & David Webb,Optical Society,Optics Express,1094-4087,Journal article/Review (Full OA journal),Highly sensitive liquid level monitoring system utilizing polymer fiber Bragg gratings,26/02/2015,Institutional,,,European Union,,,Marie Curie Intra European Fellowship,,,28/01/2015,1498,1248,250,GBP,1498,1248,250,,,,,None,No,No,"OA, but non-CC & OSA retains copyright - also can't deposit in repository"
Aston University,08/07/2015,Paul Harper (85),Engineering & Applied Sciences,,26368191,10.1364/oe.23.022181,Paul Harper,Optical Society,Optics Express,1094-4087,Journal article/Review (Full OA journal),Evaluation of 100G DP-QPSK long-haul transmission performance using second order co-pumped Raman laser based amplification,14/08/2015,Institutional,,,EPSRC,European Union,,EPSRC Programme Grant UNLOC EP/J017582/1,Marie Sk?odowska-Curie IF “CHAOS” (No. 658982),,13/07/2015,1543,1286,257,GBP,1543,1286,257,,,,,None,No,No,"OA, but non-CC & OSA retains copyright - also can't deposit in repository"
Aston University,18/03/2015,Darren Flower (51),Life & Health Sciences,PMC4514925,25810434,10.1093/bioinformatics/btv167,Darren Flower,Oxford University Press,Bioinformatics,1367-4803,Journal article/Review (Hybrid journal),A statistical physics perspective on alignment-independent protein sequence comparison,25/03/2015,Institutional,,,Other,,,Aston University,,,24/03/2015,,,,GBP,2520,2100,420,Includes 504 page printing charges,Pre-payment discount,,,CC BY,Yes,No,Were additional page printing charges
Aston University,02/02/2015,Michael Coleman (39),Life & Health Sciences,PMC4349811,25738989,10.1371/journal.pone.0118786,Michael Coleman,Public Library of Science,PLOS ONE,1932-6203,Journal article/Review (Full OA journal),A Predictive In Vitro Model of the Impact of Drugs with Anticholinergic Properties on Human Neuronal and Astrocytic Systems,04/03/2015,Institutional,,,Other,,,British Brain Research Fund,,,06/02/2015,1110,925,185,GBP,1110,925,185,,,,,CC BY,Yes,Yes,
Aston University,01/01/2015,Karen Wilson,Engineering & Applied Sciences,,,10.1039/c4gc01689k,Karen Wilson,Royal Society of Chemistry,Green Chemistry,1463-9262,Journal article/Review (Hybrid journal),Facile route to conformal hydrotalcite coatings over complex architectures: a hierarchically ordered nanoporous base catalyst for FAME production,27/01/2015,Other,,,EPSRC,The Royal Society,,EP/G007594/4,Industry Fellowship,,01/01/2015,,,,,,,,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,16/02/2015,Richard Martin (41),Engineering & Applied Sciences,,,10.1039/c4tb01776e,Richard Martin,Royal Society of Chemistry,Journal of Materials Chemistry B,2050-750X,Journal article/Review (Hybrid journal),Bioactive Organic-Inorganic Hybrids with Improved Mechanical Performance,22/12/2014,Institutional,,,Other,,,"MOST (Project no. 2012CB933200, 2013DFG52300), NSFC (Project no. 51173193) and a Royal Society/Natural Science Foundation of China international exchange grant (IE131323, 513111170).",,,17/02/2015,1632,1360,272,GBP,1632,1360,272,,,,,CC BY,Yes,Yes,RSC retains copyright
Aston University,01/11/2015,Adam Lee,Engineering & Applied Sciences,,,10.1039/c5cy01364j,Adam Lee,Royal Society of Chemistry,Catalysis Science & Technology,2044-4753,Journal article/Review (Hybrid journal),Photodeposition as a facile route to tunable Pt photocatalysts for hydrogen production: on the role of methanol,12/11/2015,Other,,,EPSRC,European Union,Other,"EP/K021796/1, EP/K029525/2 and EP/G007594/4",EU Marie-Curie IRSES EU-China Cooperation FP7-PEOPLE-2009-IRSES Grant 246772,"Shanghai Natural Science Foundation (14ZR1421900), National Science Foundation of China (50906050)",01/11/2015,,,,,,,,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,01/10/2015,Karen Wilson,Engineering & Applied Sciences,,,10.1039/c5gc01889g,Karen Wilson,Royal Society of Chemistry,Green Chemistry,1463-9262,Journal article/Review (Hybrid journal),Mesoporous sulfonic acid silicas for pyrolysis bio-oil upgrading via acetic acid esterification,09/10/2015,Other,,,EPSRC,The Royal Society,European Union,"EP/K000616/2, EP/G007594/4 and EP/K014749/1",Industry Fellowship,FP7/2007–2013 grant no. 604307,01/10/2015,,,,,,,,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,01/08/2015,Adam Lee,Engineering & Applied Sciences,,,10.1039/c5ta01592h,Adam Lee,Royal Society of Chemistry,Journal of Materials Chemistry A,2050-7488,Journal article/Review (Hybrid journal),Synthetic strategies to nanostructured photocatalysts for CO2 reduction to solar fuels and chemicals,22/05/2015,Other,,,EPSRC,,,"EP/G007594/4, EP/K014714/1 and EP/K014706/1",,,01/08/2015,,,,,,,,,RSC Gold for Gold Voucher,,,CC BY,Yes,Yes,
Aston University,03/12/2015,Library Services,Aston Business School,PMC4674745,,10.1177/0146167215573210,Richard Crisp,Sage,Personality and Social Psychology Bulletin,0146-1672,Journal article/Review (Hybrid journal),Perceptions of a Changing World Induce Hope and Promote Peace in Intractable Conflicts,12/03/2015,Institutional,Institutional,,European Union,,,EC 335607,,,03/12/2015,480,400,80,GBP,480,400,80,,Sage pre-payment,,,CC BY,Yes,Yes,Conversion
Aston University,03/12/2015,Library Services,Languages & Social Sciences,,,10.1177/0261018314545599,Karen West,Sage,Critical Social Policy,0261-0183,Journal article/Review (Hybrid journal),"Logics of Marginalisation in Health and Social Care Reform: Integration, Choice, and Provider-Blind Provision",07/01/2015,Institutional,,,,,,,,,03/12/2015,480,400,80,GBP,480,400,80,,Pre-payment discount,,,CC BY,Yes,Yes,Conversion
Aston University,03/12/2015,Library Services,Languages & Social Sciences,,,10.1177/0261018315574019,Pam Lowe,Sage,Critical Social Policy,0261-0183,Journal article/Review (Hybrid journal),Neuroscience and family policy: What becomes of the parent?,16/03/2015,Institutional,,,Other,,,Faraday Institute,,,03/12/2015,480,400,80,GBP,480,400,80,,Pre-payment discount,,,CC BY,Yes,Yes,Conversion
Aston University,03/12/2015,Library Services,Languages & Social Sciences,,,10.1177/0263774x15605899,Jelena Obradovic-Wochnik,Sage,Environment and Planning C: Government and Policy,0263-774X,Journal article/Review (Hybrid journal),Environmental governance in a contested state: the influence of EU and other external actors on energy sector regulation in Kosovo,09/11/2015,Institutional,,,,,,,,,03/12/2015,480,400,80,GBP,480,400,80,,Pre-payment discount,,,CC BY,,,Conversion
Aston University,17/06/2015,Ataur Belal,Aston Business School,,,10.1177/0950017015574824,Ataur Belal,Sage,Work Employment & Society,0950-0170,Journal article/Review (Hybrid journal),Tracking habitus across a transnational professional field,01/07/2015,Institutional,Institutional,,Other,,,Spanish Ministry of Economy and Competitiveness (ref. ECO2012-33121),,,01/07/2015,240,200,40,GBP,240,200,40,,Sage pre-payment,,,CC BY,Yes,Yes,
Aston University,09/02/2015,Alex Cheong (43),Life & Health Sciences,PMC4439527,25697863,10.1007/s00018-015-1850-1,Alex Cheong,Springer,Cellular and Molecular Life Sciences,1420-682X,Journal article/Review (Hybrid journal),Species differential regulation of COX2 can be described by an NFkB dependent logic,20/02/2015,Institutional,,,,,,,,,06/03/2015,1968,1640,328,GBP,1968,1640,328,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,02/06/2015,Karen Wilson (75),Engineering & Applied Science,,,10.1007/s10562-015-1559-7,Karen Wilson,Springer,Catalysis Letters,1011-372X,Journal article/Review (Full OA journal),Hydrothermal Saline Promoted Grafting of Periodic Mesoporous Organic Sulfonic Acid Silicas for Sustainable FAME Production,10/06/2015,RCUK,,,EPSRC,,,EP/K000616/1,EP/F063423/1,EP/G007594/3,08/06/2015,1220,976,244,GBP,1220,976,244,,Pre-payment discount,,1220,CC BY,Yes,Yes,
Aston University,24/05/2015,"John Rudd, Maria Santos (79)",Aston Business School,,,10.1007/s11747-015-0447-4,John Rudd,Springer,Journal of the Academy of Marketing Science,0092-0703,Journal article/Review (Hybrid journal),Frontline employees’ collaboration in industrial service innovation: routes of co-creation’s effects on new service performance,24/05/2015,Other,Institutional,,Other,,,Spanish Ministry of Economy and Competitiveness,,,17/06/2015,1968,1640,328,GBP,1968,1640,328,,,,,None,No,No,"OA, but non-CC & AMS retains copyright - will be CC BY in future"
Aston University,14/05/2015,Demelza Jones (69),Languages & Social Sciences,,,10.1080/0048721x.2015.1027968,Demelza Jones,Taylor & Francis,Religion,0048-721X,Journal article/Review (Hybrid journal),"Being Tamil, being Hindu: Tamil migrants’ negotiations of the absence of Tamil Hindu spaces in the West Midlands and South West of England",15/06/2015,Institutional,,,ESRC,,,ES/G016666/1,,,26/05/2015,2416,2013,403,GBP,2416,2013,403,,,,,CC BY,Yes,No,RCUK grant info not given at time of application
Aston University,14/07/2015,Chris Jones (95),Aston Business School,,,10.1080/03075079.2015,"Chris Jones, Helen Higson",Taylor & Francis,Studies in Higher Education,0307-5079,Journal article/Review (Hybrid journal),Do Work Placements Improve Final Year Academic Performance or do High-Calibre Students Choose to do Work Placements?,09/10/2015,Other,Institutional,,,,,,,,20/07/2015,2145,1788,357,GBP,2145,1788,357,,,,,CC BY-NC-ND,Yes,Yes,
Aston University,12/08/2015,Katy Pilcher (105),Languages & Social Sciences,,,10.1080/13645579.2015,Katy Pilcher,Taylor & Francis,International Journal of Social Research Methodology,1364-5579,Journal article/Review (Hybrid journal),"Issues of collaboration, representation, meaning and emotions: Utilising participant-led visual diaries to capture the everyday lives of people in mid to later life",01/10/2015,RCUK,,,ESRC,,,RES-061-25-0459,,,04/09/2015,2424,2020,404,GBP,2424,2020,404,,Pre-payment discount,,2424,CC BY,Yes,No,Problems with processing payment
