Institution;Period;EUR;DOI;IS HYBRID
Free University of Bozen-Bolzano;2025;2000,80;10.1016/j.jik.2025.100700;FALSCH
Free University of Bozen-Bolzano;2025;1767,78;10.1016/j.fochx.2025.102448;FALSCH
Free University of Bozen-Bolzano;2025;2574,20;10.1016/j.segy.2025.100180;FALSCH
Free University of Bozen-Bolzano;2025;1878,80;10.1016/j.rineng.2025.104874;FALSCH
Free University of Bozen-Bolzano;2025;2501,00;10.1016/j.jafr.2025.101962;FALSCH
Free University of Bozen-Bolzano;2025;2159,40;10.1016/j.fufo.2025.100643;FALSCH
Free University of Bozen-Bolzano;2025;2220,40;10.1016/j.resenv.2025.100241;FALSCH
Free University of Bozen-Bolzano;2025;2659,60;10.1016/j.fochx.2025.102685;FALSCH
Free University of Bozen-Bolzano;2025;2183,80;10.1016/j.afres.2025.101178;FALSCH
Free University of Bozen-Bolzano;2025;1927,60;10.1016/j.rineng.2025.106457;FALSCH
Free University of Bozen-Bolzano;2025;1797,12;10.1016/j.animal.2025.101617;FALSCH
Free University of Bozen-Bolzano;2025;2061,80;10.1016/j.rineng.2025.106667;FALSCH
Free University of Bozen-Bolzano;2025;2183,80;10.1016/j.afres.2025.101249;FALSCH
Free University of Bozen-Bolzano;2025;1866,60;10.1016/j.jmrt.2025.08.152;FALSCH
Free University of Bozen-Bolzano;2025;2220,40;10.1016/j.fufo.2025.100772;FALSCH
Free University of Bozen-Bolzano;2025;2854,80;10.1016/j.lwt.2025.118695;FALSCH
Free University of Bozen-Bolzano;2025;2074,00;10.1016/j.afres.2025.101526;FALSCH
Free University of Bozen-Bolzano;2025;2331,42;10.1016/j.egyr.2025.12.026;FALSCH
Free University of Bozen-Bolzano;2025;2732,80;10.1016/j.fufo.2025.100874;FALSCH
Free University of Bozen-Bolzano;2025;2610,80;10.1016/j.afres.2025.101592;FALSCH
Free University of Bozen-Bolzano;2024;1447,46;10.3389/fdata.2024.1360092;FALSCH
Free University of Bozen-Bolzano;2025;2499,56;10.3389/fsufs.2025.1504761;FALSCH
Free University of Bozen-Bolzano;2025;1499,16;10.3389/fcomp.2025.1563942;FALSCH
Free University of Bozen-Bolzano;2025;2523,82;10.3389/fspor.2025.1569335;FALSCH
Free University of Bozen-Bolzano;2025;2972,37;10.3389/fpsyg.2025.1492295;FALSCH
Free University of Bozen-Bolzano;2025;2542,38;10.3389/feduc.2025.1628635;FALSCH
Free University of Bozen-Bolzano;2025;2555,06;10.3389/feduc.2025.1680347;FALSCH
Free University of Bozen-Bolzano;2025;610,00;10.12854/erde-2024-669;FALSCH
Free University of Bozen-Bolzano;2024;2864,19;10.1155/2024/3190620;FALSCH
Free University of Bozen-Bolzano;2025;122,00;10.7402/CDS.35.1;WAHR
Free University of Bozen-Bolzano;2025;300,00;10.82068/pgjournal.2025.22.41.06;FALSCH
Free University of Bozen-Bolzano;2025;2196,00;10.1075/ld.00211.laz;WAHR
Free University of Bozen-Bolzano;2024;1098,00;10.1075/ld.00136.laz;WAHR
Free University of Bozen-Bolzano;2025;1134,60;10.22495/rgcv15i2p11;FALSCH
Free University of Bozen-Bolzano;2025;1134,60;10.22495/rgcv15i3p13;FALSCH
Free University of Bozen-Bolzano;2025;1383,20;10.69143/2464-9309/17202025;FALSCH
Free University of Bozen-Bolzano;2025;2106,88;10.3390/heritage8050157;FALSCH
Free University of Bozen-Bolzano;2024;2821,36;10.3390/d16010041;FALSCH
Free University of Bozen-Bolzano;2024;2928,00;10.3390/foods13050733;FALSCH
Free University of Bozen-Bolzano;2024;2999,98;10.3390/buildings14030754;FALSCH
Free University of Bozen-Bolzano;2024;2991,88;10.3390/su16114861;FALSCH
Free University of Bozen-Bolzano;2024;2999,98;10.3390/children11050538;FALSCH
Free University of Bozen-Bolzano;2024;2999,36;10.3390/plants13131776;FALSCH
Free University of Bozen-Bolzano;2024;1652,59;10.3390/ma17153847;FALSCH
Free University of Bozen-Bolzano;2024;2999,25;10.3390/su16188075;FALSCH
Free University of Bozen-Bolzano;2024;2998,76;10.3390/su16198389;FALSCH
Free University of Bozen-Bolzano;2024;2794,91;10.3390/plants13202838;FALSCH
Free University of Bozen-Bolzano;2024;2898,43;10.3390/insects15100791;FALSCH
Free University of Bozen-Bolzano;2024;2206,24;10.3390/educsci14111184;FALSCH
Free University of Bozen-Bolzano;2024;2523,88;10.3390/su162411088;FALSCH
Free University of Bozen-Bolzano;2024;2124,83;10.3390/educsci14121360;FALSCH
Free University of Bozen-Bolzano;2025;2869,87;10.3390/f16030473;FALSCH
Free University of Bozen-Bolzano;2025;1853,27;10.3390/su17062615;FALSCH
Free University of Bozen-Bolzano;2025;2980,96;10.3390/app15073569;FALSCH
Free University of Bozen-Bolzano;2025;1834,95;10.3390/soc15050125;FALSCH
Free University of Bozen-Bolzano;2025;1761,75;10.3390/rs17111916;FALSCH
Free University of Bozen-Bolzano;2025;1304,13;10.3390/architecture5030053;FALSCH
Free University of Bozen-Bolzano;2025;1832,81;10.3390/jrfm18080411;FALSCH
Free University of Bozen-Bolzano;2025;2372,78;10.3390/socsci14110630;FALSCH
Free University of Bozen-Bolzano;2025;2831,36;10.3390/su18031487;FALSCH
Free University of Bozen-Bolzano;2024;2699,30;10.1371/journal.pone.0315929;FALSCH
Free University of Bozen-Bolzano;2025;2449,60;10.1371/journal.pone.0323653;FALSCH
Free University of Bozen-Bolzano;2024;2202,83;10.1371/journal.pone.0299255;FALSCH
Free University of Bozen-Bolzano;2025;673,55;10.30848/PJB2026-2(3);WAHR
Free University of Bozen-Bolzano;2025;488,00;10.3897/ved.157888;FALSCH
Free University of Bozen-Bolzano;2025;793,00;10.3897/ved.177152;FALSCH
Free University of Bozen-Bolzano;2025;1830,00;10.1409/120084;WAHR
Free University of Bozen-Bolzano;2024;1884,90;10.1007/S42452-024-05819-Z;FALSCH
Free University of Bozen-Bolzano;2024;2860,90;10.1038/s41598-024-61576-4;FALSCH
Free University of Bozen-Bolzano;2024;2860,90;10.1038/S41598-024-63841-Y;FALSCH
Free University of Bozen-Bolzano;2024;2372,90;10.1186/s40066-024-00501-4;FALSCH
Free University of Bozen-Bolzano;2024;2594,94;10.1186/s12864-024-11123-2;FALSCH
Free University of Bozen-Bolzano;2024;2982,90;10.1007/S11846-024-00830-5;WAHR
Free University of Bozen-Bolzano;2025;2982,90;10.1038/s41538-025-00412-z;FALSCH
Free University of Bozen-Bolzano;2025;2982,90;10.1038/s41598-025-13930-3;FALSCH
Free University of Bozen-Bolzano;2025;2982,90;10.1038/s41598-025-19906-7;FALSCH
Free University of Bozen-Bolzano;2025;2982,90;10.1038/s41598-025-19709-w;FALSCH
Free University of Bozen-Bolzano;2025;2793,80;10.1007/978-3-032-12092-2_3;WAHR
Free University of Bozen-Bolzano;2025;1891,00;10.1038/S41540-025-00625-8;WAHR
Free University of Bozen-Bolzano;2025;2982,90;10.1038/s41598-025-29184-y;FALSCH
Free University of Bozen-Bolzano;2025;2982,90;10.1038/s41598-025-31187-8;FALSCH
Free University of Bozen-Bolzano;2025;742,54;10.1094/PDIS-01-24-0052-PDN;WAHR
Free University of Bozen-Bolzano;2025;2467,93;10.1142/S0217732325500233;WAHR
Free University of Bozen-Bolzano;2025;2314,49;10.1142/S0217751X26500247;WAHR
