"Article Title","Journal","Publisher","Digital Object Identifier","URL","Amount Disbursed","is_hybrid","Date of Reimbersment","issn","institution"
"HIV status disclosure through family-based intervention supports parenting and child mental health in Rwanda","Frontiers in Public Health HIV and AIDS","Frontiers","10.3389/fpubh.2016.00138","http://journal.frontiersin.org/article/10.3389/fpubh.2016.00138","$605.62 ",0,8/10/2016,"2296-2565","HOPE Fund-OSC Harvard University Library"
"Duplication of a single neuron in C. elegans reveals a pathway for dendrite tiling by mutual repulsion","Cell Reports","Cell Press","10.1016/j.celrep.2016.05.003","http://www.sciencedirect.com/science/article/pii/S2211124716305563","$3,500 ",0,8/10/2016,,"HOPE Fund-OSC Harvard University Library"
"Did FDA Decisionmaking Affect Anti-Psychotic Drug Prescribing in Children?: A Time-Trend Analysis","PLoS ONE","Public Library of Science","10.1371/journal.pone.0152195","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0152195","$598 ",0,8/10/2016,,"HOPE Fund-OSC Harvard University Library"
"Interrater Reliability of mHealth App Rating Measures: Analysis of Top Depression and Smoking Apps","JMIR Mental Health","JMIR","10.2196/mhealth.5176","http://mhealth.jmir.org/2016/1/e15/","$642.85 ",0,5/24/2016,,"HOPE Fund-OSC Harvard University Library"
"Barriers, Benefits, and Beliefs of Brain Training Smartphone Apps: An Internet Survey of Younger US Consumers","Frontiers in Human Nuerosciences","Frontiers","10.3389/fnhum.2016.00180","http://journal.frontiersin.org/article/10.3389/fnhum.2016.00180","$1,400 ",0,5/24/2016,"1662-5161 ","HOPE Fund-OSC Harvard University Library"
"A biologically-inspired multi-joint soft exosuit that can reduce the energy cost of loaded walking","Journal of NeuroEngineering and Rehabilitation","BioMed Central","10.1186/s12984-016-0150-9","http://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-016-0150-9","$1,838.00 ",0,5/18/2016,"1743-0003","HOPE Fund-OSC Harvard University Library"
"Hospital Case Volume and Outcomes for Proximal Femoral Fractures in the United States: an Observational Study","BMJ Open","BMJ Publishing Group","10.1136/bmjopen-2015-010743","http://bmjopen.bmj.com/content/6/4/e010743","$810 ",0,5/16/2016,,"HOPE Fund-OSC Harvard University Library"
"Attitudes of Palestinian Medical Students on the Geopolitical Barriers to Accessing Hospitals for Clinical Training","Conflict and Health",,"10.1186/s13031-016-0067-8","http://conflictandhealth.biomedcentral.com/articles/10.1186/s13031-016-0067-8","$1,358 ",0,4/25/2016,"1752-1505","HOPE Fund-OSC Harvard University Library"
"RNA-Seq of the Caribbean reef-building coral Orbicella faveolata (Scleractinia-Merulinidae) under bleaching and disease stress e","PeerJ","PeerJ","10.7717/peerj.1616","https://peerj.com/articles/1616/","$249.00 ",0,3/29/2016,,"HOPE Fund-OSC Harvard University Library"
"Income and Subjective Well-Being: New Insights from Relatively Healthy American Women,","PLoS ONE","Public Library of Science","10.1371/journal.pone.0146303","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0146303","$1,350.00 ",0,3/11/2016,,"HOPE Fund-OSC Harvard University Library"
"Adaptive landscape by environment interactions dictate evolutionary dynamics in models of drug resistance","PLoS Computational Biology","Public Library of Science","10.1371/journal.pcbi.1004710","http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004710","$1,350 ",0,4/22/2016,,"HOPE Fund-OSC Harvard University Library"
"Effect of Composition and Impurities on the Phosphorescence of Green-emitting Alkaline Earth Aluminate Phosphor","PLoS ONE","Public Library of Science","10.1371/journal.pone.0145434","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0145434","$433.00 ",0,3/11/2016,,"HOPE Fund-OSC Harvard University Library"
"Non-equilibrium quantum heat machines","New Journal of Physics","IOP Publishing","10.1088/1367-2630/17/11/115012","http://iopscience.iop.org/article/10.1088/1367-2630/17/11/115012/meta;jsessionid=69C4D4BD130BBB35864F637F9BCB1652.c4.iopscience.cld.iop.org#citations","$988.00 ",0,1/5/2016,,"HOPE Fund-OSC Harvard University Library"
