"Article Title","period","Journal","Publisher","Digital Object Identifier","URL","Euro","is_hybrid","Date Funds Disbursed","issn","institution"
"Maternal Caffeine Consumption during Pregnancy and Risk of Low Birth Weight: a Dose-response Meta-analysis of Observational Stud",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0132334","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0132334",1217.57,FALSE,"8/15/2015",,"HOPE Fund - OSC Harvard University Library"
"Modeling contextual effects using individual-level data and without aggregation: An illustration of multilevel factor analysis (",2015,"Population Health Metrics","BioMed Central","10.1186/s12963-015-0045-1","http://pophealthmetrics.biomedcentral.com/articles/10.1186/s12963-015-0045-1",1767.72,FALSE,"5/12/2015","1478-7954","HOPE Fund - OSC Harvard University Library"
"Kickoff to Conflict: A Sequence Analysis of Intra-State Conflict-Preceding Event Structures",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0122472","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122472",608.78,FALSE,"4/16/2015",,"HOPE Fund - OSC Harvard University Library"
"Weakest students benefit most from a customized educational experience for Generation Y students.",2015,"PeerJ","PeerJ","10.7717/peerj.682","https://peerj.com/articles/682/",216.46,FALSE,"3/5/2015",,"HOPE Fund - OSC Harvard University Library"
"Biological, psychological and social processes that explain celebrities' influence on patients' health-related behaviors",2015,"Archives of Public Health","BMC","10.1186/2049-3258-73-3","http://archpublichealth.biomedcentral.com/articles/10.1186/2049-3258-73-3",897.39,FALSE,"1/23/2015",,"HOPE Fund - OSC Harvard University Library"
"Students distracted by electronic devices perform at the same level as those who are focused on the lecture",2015,"PeerJ","PeerJ","10.7717/peerj.572","https://peerj.com/articles/572/",125.36,FALSE,"1/5/2015",,"HOPE Fund - OSC Harvard University Library"
"Intrinsic neuronal properties switch the mode of information transmission in networks",2015,"PLoS Computational Biology","Public Library of Science","10.1371/journal.pcbi.1003962","http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1003962",507.32,FALSE,"1/5/2015",,"HOPE Fund - OSC Harvard University Library"
"Psychological Sequelae of The Station Nightclub Fire: Comparing survivors with and without physical injuries using a mixed-metho",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0115013","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115013",1217.57,FALSE,"1/5/2015",,"HOPE Fund - OSC Harvard University Library"
"Bachelors, Divorcees, and Widowers: Does Marriage Protect Men from Type 2 Diabetes?",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0106720","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0106720",974.05,FALSE,"6/5/2015",,"HOPE Fund - OSC Harvard University Library"
"HIV and Hepatitis C mortality in Massachusetts, 2002-2011",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0114822","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0114822",405.86,FALSE,"1/5/2015",,"HOPE Fund - OSC Harvard University Library"
"Lateral prefrontal cortex activity during cognitive control of emotion predicts response to social stress in schizophrenia",2015,"NeuroImage: Clinical","Elsevier","10.1016/j.nicl.2014.08.012","http://www.sciencedirect.com/science/article/pii/S2213158214001211",1352.85,FALSE,"3/11/2015",,"HOPE Fund - OSC Harvard University Library"
"Attentional control mediates the relationship between social anhedonia and social impairment",2015,"Frontiers in Psychology","Frontiers","10.3389/fpsyg.2014.01384","http://journal.frontiersin.org/article/10.3389/fpsyg.2014.01384/full",1832.07,FALSE,"3/11/2015",,"HOPE Fund - OSC Harvard University Library"
