INSTITUTION;PERIOD;EURO;DOI;IS_HIBRID;PUBLISHER;JOURNAL_FULL_TITLE;ISSN
University of Milan;2024;2982,9;10.1038/s41598-025-88168-0;FALSE;Springer Scientific Reports;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;3074,4;10.1016/j.lwt.2025.117423;FALSE;Elsevier;LEBENSMITTEL-WISSENSCHAFT + TECHNOLOGIE;0023-6438
University of Milan;2024;2546,74;10.3390/ani15030449;FALSE;MDPI;ANIMALS;2076-2615
University of Milan;2024;2455,07;10.3390/plants14020232;FALSE;MDPI;PLANTS;2223-7747
University of Milan;2024;3464,8;10.1016/j.ecoenv.2025.117874;FALSE;Elsevier;ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY;1090-2414
University of Milan;2024;4013,8;10.1016/j.biopha.2025.117906;FALSE;Elsevier;BIOMÉDECINE & PHARMACOTHÉRAPIE;0753-3322
University of Milan;2024;2196;10.1111/jvim.70020;FALSE;Wiley Online Library;JOURNAL OF VETERINARY INTERNAL MEDICINE;0891-6640
University of Milan;2024;3503,4;10.1001/jamanetworkopen.2024.61067;FALSE;American Medical Association;JAMA NETWORK OPEN;2574-3805
University of Milan;2024;985,15;10.1080/1828051x.2025.2455500;FALSE;Taylor and Francis Ltd.;ITALIAN JOURNAL OF ANIMAL SCIENCE;1828-051X
University of Milan;2024;807,5;10.1080/1828051X.2025.2462411;FALSE;Taylor & Francis Online;ITALIAN JOURNAL OF ANIMAL SCIENCE;1828-051X
University of Milan;2024;3074,4;10.1016/j.lwt.2025.117381;FALSE;Elsevier;LEBENSMITTEL-WISSENSCHAFT + TECHNOLOGIE;0023-6438
University of Milan;2024;3385,15;10.3390/antiox14030271;FALSE;MDPI;ANTIOXIDANTS;2076-3921
University of Milan;2024;3450,75;10.1093/hr/uhaf055;FALSE;Oxford Academic;HORTICULTURE RESEARCH;2052-7276
University of Milan;2024;2540,65;10.1016/j.ygeno.2024.110895;FALSE;Academic Press Inc. Elsevier;GENOMICS;0888-7543
University of Milan;2024;2325,71;10.1093/jacamr/dlaf032;FALSE;Oxford Academic;JAC-ANTIMICROBIAL RESISTANCE;2632-1823
University of Milan;2024;1853,18;10.1016/j.athplu.2025.02.001;FALSE;Elsevier B.V.;ATHEROSCLEROSIS PLUS;2667-0895
University of Milan;2024;1778,94;10.3168/jds.2024-25449;FALSE;Elsevier;JOURNAL OF DAIRY SCIENCE;0022-0302
University of Milan;2024;1387,8;10.3390/biom15020196;FALSE;MDPI;BIOMOLECULES;2218-273X
University of Milan;2024;2982,9;10.1038/s41598-025-92550-3;FALSE;Springer Nature London;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;2455,79;10.3390/vetsci12020131;FALSE;Multidisciplinary Digital Publishing Institute (MDPI);VETERINARY SCIENCES;2306-7381
University of Milan;2024;3193,96;10.1016/j.comppsych.2024.152573;FALSE;Elsevier W.B. Saunders;COMPREHENSIVE PSYCHIATRY;0010-440X
University of Milan;2024;1136,65;10.3389/fspor.2025.1455731;FALSE;Frontiers Media S.A.;FRONTIERS IN SPORTS AND ACTIVE LIVING;2624-9367
University of Milan;2024;2545,53;10.1186/s40538-025-00736-8;FALSE;Springer;CHEMICAL AND BIOLOGICAL TECHNOLOGIES IN AGRICULTURE;2196-5641
University of Milan;2024;3181,6;10.3390/cells14010044;FALSE;MDPI;CELLS;2073-4409
University of Milan;2024;3025,7;10.3390/biology14030293;FALSE;MDPI;BIOLOGY;2079-7737
University of Milan;2024;2752,93;10.1186/s12995-025-00451-y;FALSE;BioMed Central Ltd;JOURNAL OF OCCUPATIONAL MEDICINE AND TOXICOLOGY;1745-6673
University of Milan;2024;2130,73;10.1186/s40537-025-01118-5;FALSE;Springer;JOURNAL OF BIG DATA;2196-1115
University of Milan;2024;2982,9;10.1038/s41598-025-90152-7;FALSE;Nature Publishing Group;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;2760,73;10.3390/ani15060827;FALSE;MDPI;ANIMALS;2076-2615
University of Milan;2024;1537,2;10.1016/j.ijregi.2025.100622;FALSE;Elsevier;IJID REGIONS;2772-7076
University of Milan;2024;2424,75;10.1016/j.jhepr.2024.101299;FALSE;Elsevier;JHEP REPORTS;2589-5559
University of Milan;2024;2976,8;10.1016/j.crmicr.2025.100372;FALSE;Elsevier;CURRENT RESEARCH IN MICROBIAL SCIENCES;2666-5174
University of Milan;2024;2825,12;10.1128/spectrum.02987-24;FALSE;ASM Journals;MICROBIOLOGY SPECTRUM;2165-0497
University of Milan;2024;2675,29;10.1371/journal.pone.0318520;FALSE;Public Library of Science;PLOS ONE;1932-6203
University of Milan;2024;2440;10.1016/j.jafr.2025.101820;FALSE;Elsevier;JOURNAL OF AGRICULTURE AND FOOD RESEARCH;2666-1543
University of Milan;2024;2856,63;10.1186/s12879-025-10499-0;FALSE;BioMed Central Ltd;BMC INFECTIOUS DISEASES;1471-2334
University of Milan;2024;2545,53;10.1186/s12938-024-01327-8;FALSE;BioMed Central Ltd;BIOMEDICAL ENGINEERING ONLINE;1475-925X
University of Milan;2024;4080,9;10.1186/s13017-025-00584-9;FALSE;BioMed Central;WORLD JOURNAL OF EMERGENCY SURGERY;1749-7922
University of Milan;2024;1172,74;10.1128/jmbe.00187-24;FALSE;American Society for Microbiology;JOURNAL OF MICROBIOLOGY & BIOLOGY EDUCATION;1935-7885
University of Milan;2024;2982,9;10.1038/s41598-025-87154-w;FALSE;Nature Publishing Group;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;3348,9;10.1186/s12879-025-10740-w;FALSE;BioMed Central;BMC INFECTIOUS DISEASES;1471-2334
University of Milan;2024;1427,4;10.1016/j.afres.2025.100816;FALSE;Elsevier;APPLIED FOOD RESEARCH;2772-5022
University of Milan;2024;3686,23;10.1186/s13046-025-03280-3;FALSE;BioMed Central;JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH;1756-9966
University of Milan;2024;4032,1;10.3389/fcell.2025.1564649;FALSE;Frontiers Media S.A.;FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY;2296-634X
University of Milan;2024;3074,4;10.1016/j.lwt.2025.117514;FALSE;Elsevier;LEBENSMITTEL-WISSENSCHAFT + TECHNOLOGIE;0023-6438
University of Milan;2024;3098,8;10.1016/j.egyr.2025.02.022;FALSE;Elsevier;ENERGY REPORTS;2352-4847
University of Milan;2024;1674,76;10.1080/1828051x.2025.2471545;FALSE;Taylor & Francis Online;ITALIAN JOURNAL OF ANIMAL SCIENCE;1828-051X
University of Milan;2024;2265,11;10.1021/acsomega.4c09871;FALSE;American Chemical Society;ACS OMEGA;2470-1343
University of Milan;2024;3788,01;10.1128/msystems.00960-24;FALSE;American Society for Microbiology;MSYSTEMS;2379-5077
University of Milan;2024;2982,9;10.1038/s41598-025-93403-9;FALSE;Nature Publishing Group;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;4111,4;10.1016/j.nbd.2025.106843;FALSE;Elsevier;NEUROBIOLOGY OF DISEASE;0969-9961
University of Milan;2024;4013,8;10.1016/j.biopha.2025.117862;FALSE;Elsevier;BIOMÉDECINE & PHARMACOTHÉRAPIE;0753-3322
University of Milan;2024;2025,2;10.1016/j.afres.2025.100853;FALSE;Elsevier;APPLIED FOOD RESEARCH;2772-5022
University of Milan;2024;2675,29;10.1371/journal.pone.0318543;FALSE;Public Library of Science;PLOS ONE;1932-6203
University of Milan;2024;5673;10.1016/j.advnut.2025.100397;FALSE;Elsevier;ADVANCES IN NUTRITION;2161-8313
University of Milan;2024;1007,06;10.1093/jscr/rjaf163;FALSE;Oxford University Press;JOURNAL OF SURGICAL CASE REPORTS;2042-8812
University of Milan;2024;3006,92;10.1371/journal.pntd.0012945;FALSE;Public Library of Science;PLOS NEGLECTED TROPICAL DISEASES;1935-2735
University of Milan;2024;856,44;10.1016/j.jaccas.2024.103216;FALSE;Elsevier;JACC. CASE REPORTS;2666-0849
University of Milan;2024;1478,66;10.3390/antiox14040431;FALSE;MDPI;ANTIOXIDANTS;2076-3921
University of Milan;2024;995,52;10.1016/j.ekir.2024.11.028;FALSE;Elsevier;KIDNEY INTERNATIONAL REPORTS;2468-0249
University of Milan;2024;4489,6;10.1016/j.phrs.2025.107635;FALSE;Elsevier;PHARMACOLOGICAL RESEARCH;1043-6618
University of Milan;2024;4934,9;10.1038/s41419-025-07595-z;TRUE;Springer;CELL DEATH & DISEASE;2041-4889
University of Milan;2024;1352,98;10.1186/s40878-025-00438-y;FALSE;Springer;COMPARATIVE MIGRATION STUDIES;2214-594X
University of Milan;2024;2960,33;10.1186/s12917-025-04708-w;FALSE;BioMed Central BMC;BMC VETERINARY RESEARCH;1746-6148
University of Milan;2024;4010,23;10.3389/fvets.2025.1572923;FALSE;Frontiers Media S.A.;FRONTIERS IN VETERINARY SCIENCE;2297-1769
University of Milan;2024;1586,31;10.1186/s13256-025-05100-w;FALSE;BioMed Central;JOURNAL OF MEDICAL CASE REPORTS;1752-1947
University of Milan;2024;1830;10.1016/j.array.2025.100392;FALSE;Elsevier;ARRAY;2590-0056
University of Milan;2024;2799,9;10.1163/23524588-00001241;TRUE;Brill Wageningen Academic;JOURNAL OF INSECTS AS FOOD AND FEED;2352-4588
University of Milan;2024;2450,31;10.3390/microorganisms13040891;FALSE;MDPI;MICROORGANISMS;2076-2607
University of Milan;2024;940,55;10.36956/rwae.v6i2.1367;NULL;Nanyang Academy of Sciences;RESEARCH ON WORLD AGRICULTURAL ECONOMY;2737-4777
University of Milan;2024;2634,18;10.3390/foods14030394;FALSE;MDPI;FOODS;2304-8158
University of Milan;2024;269,65;10.1177/11033088251325612;FALSE;Sage;YOUNG;1103-3088
University of Milan;2024;2295;10.1163/18253911-bja10153;TRUE;"Brill ; Leo S. Olscki";NUNCIUS;0394-7394
University of Milan;2024;2403,13;10.3389/fhort.2025.1354764;FALSE;Frontiers Media S.A.;FRONTIERS IN HORTICULTURE;2813-3595
University of Milan;2024;1491,24;10.3389/fgene.2025.1559773;FALSE;Frontiers Media S.A.;FRONTIERS IN GENETICS;1664-8021
University of Milan;2024;2133,22;10.3390/educsci15040510;FALSE;MDPI;EDUCATION SCIENCES;2227-7102
University of Milan;2024;3390,33;10.3390/antiox14010115;FALSE;MDPI;ANTIOXIDANTS;2076-3921
University of Milan;2024;1461,74;10.1063/5.0252040;FALSE;AIP publishing;APL PHOTONICS;2378-0967
University of Milan;2024;3039,41;10.3390/jcm14041257;FALSE;MDPI;JOURNAL OF CLINICAL MEDICINE;2077-0383
University of Milan;2024;624;10.4081/ejtm.2025.13420;NULL;Pagepress;EUROPEAN JOURNAL OF TRANSLATIONAL MYOLOGY;2037-7460
University of Milan;2024;1122,4;10.1016/j.dib.2025.111565;FALSE;Elsevier;DATA IN BRIEF;2352-3409
University of Milan;2024;1613,79;10.1039/d5ra00198f;FALSE;Royal Society of Chemistry;RSC ADVANCES;2046-2069
University of Milan;2024;3436,85;10.3390/ph18040589;FALSE;MDPI;PHARMACEUTICALS;1424-8247
University of Milan;2024;1511,9;10.3390/antiox14040446;FALSE;MDPI;ANTIOXIDANTS;2076-3921
University of Milan;2024;2982,9;10.1038/s41598-025-88729-3;FALSE;Springer Nature Research;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;2367,58;10.3389/fsufs.2025.1512577;FALSE;Frontiers Media S.A.;FRONTIERS IN SUSTAINABLE FOOD SYSTEMS;2571-581X
University of Milan;2024;4257,8;10.1016/j.chemolab.2025.105362;TRUE;Elsevier B.V.;CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS;0169-7439
University of Milan;2024;4684,8;10.1080/07036337.2025.2476472;TRUE;Taylor & Francis Online;JOURNAL OF EUROPEAN INTEGRATION;1477-2280
University of Milan;2024;1186,85;10.3390/ijms26094301;FALSE;MDPI;INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;1422-0067
University of Milan;2024;2440;10.1016/j.csbr.2025.100034;FALSE;Elsevier;COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY REPORTS;2950-3639
University of Milan;2024;4376,91;10.1210/clinem/dgaf086;TRUE;Oxford Academic;THE JOURNAL OF CLINICAL ENDOCRINOLOGY AND METABOLISM;0021-972X
University of Milan;2024;2860,9;10.1038/s41598-024-82766-0;FALSE;Nature Research;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;2982,9;10.1038/s41538-025-00388-w;FALSE;Nature Research;NPJ SCIENCE OF FOOD;2396-8370
University of Milan;2024;1830;10.7389/116165;TRUE;Societa Editrice Il Mulino;POLITICHE SOCIALI;2531-6389
University of Milan;2024;2982,9;10.1038/s41598-025-95216-2;FALSE;Nature Research;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;3836,9;10.1038/s43856-025-00832-8;FALSE;Springer Nature;COMMUNICATIONS MEDICINE;2730-664X
University of Milan;2024;2694,52;10.1371/journal.pone.0321356;FALSE;Public Library of Science;PLOS ONE;1932-6203
University of Milan;2024;1218,78;10.1016/j.jpra.2025.03.019;FALSE;Elsevier;JPRAS OPEN;2352-5878
University of Milan;2024;3098,8;10.1016/j.vas.2025.100459;FALSE;Elsevier;VETERINARY AND ANIMAL SCIENCE;2451-943X
University of Milan;2024;1713,98;10.1186/s12879-025-10805-w;FALSE;BioMed Central Ltd;BMC INFECTIOUS DISEASES;1471-2334
University of Milan;2024;1848,09;10.3389/fvets.2025.1572051;FALSE;Frontiers Media S.A.;FRONTIERS IN VETERINARY SCIENCE;2297-1769
University of Milan;2024;624;10.4081/jae.2025.1663;FALSE;Pagepress;JOURNAL OF AGRICULTURAL ENGINEERING;1974-7071
University of Milan;2024;3574,6;10.1016/j.jag.2025.104547;FALSE;Elsevier Ltd;INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION;1569-8432
University of Milan;2024;3400,18;10.3390/foods14101737;FALSE;MDPI;FOODS;2304-8158
University of Milan;2024;2050,92;10.3389/fbioe.2025.1581019;FALSE;Frontiers Media S.A.;FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY;2296-4185
University of Milan;2024;2354,6;10.1016/j.heliyon.2025.e42927;FALSE;Elsevier Ltd;HELIYON;2405-8440
University of Milan;2024;3353,92;10.3389/fmars.2025.1576618;FALSE;Frontiers Media S.A.;FRONTIERS IN MARINE SCIENCE;2296-7745
University of Milan;2024;3064,03;10.1186/s12964-025-02115-0;FALSE;BioMed Central Ltd;CELL COMMUNICATION AND SIGNALING;1478-811X
University of Milan;2024;1810,82;10.3390/agriculture15101082;FALSE;MDPI;AGRICULTURE;2077-0472
University of Milan;2024;1449,42;10.3390/ani15101476;FALSE;MDPI;ANIMALS;2076-2615
University of Milan;2024;1171,2;10.1016/j.mex.2025.103391;FALSE;Elsevier;METHODSX (AMSTERDAM);2215-0161
University of Milan;2024;2856,63;10.1186/s12937-025-01138-0;FALSE;BioMed Central Ltd;NUTRITION JOURNAL;1475-2891
University of Milan;2024;4083,02;10.3389/fnint.2025.1500636;FALSE;Frontiers Media SA;FRONTIERS IN INTEGRATIVE NEUROSCIENCE;1662-5145
University of Milan;2024;2110,45;10.3390/cosmetics12030100;FALSE;MDPI;COSMETICS;2079-9284
University of Milan;2024;2610,8;10.1016/j.crpvbd.2025.100267;FALSE;Elsevier B.V.;CURRENT RESEARCH IN PARASITOLOGY AND VECTOR-BORNE DISEASES;2667-114X
University of Milan;2024;2671,8;10.1038/s41597-025-04973-2;FALSE;Springer Nature;SCIENTIFIC DATA;2052-4463
University of Milan;2024;2595,68;10.1093/gbe/evaf071;FALSE;Oxford University Press;GENOME BIOLOGY AND EVOLUTION;1759-6653
University of Milan;2024;1473,15;10.1016/j.afres.2025.100901;FALSE;Elsevier B.V.;APPLIED FOOD RESEARCH;2772-5022
University of Milan;2024;2480;10.1016/j.bbih.2025.100961;FALSE;Elsevier Inc.;BRAIN, BEHAVIOR, & IMMUNITY. HEALTH;2666-3546
University of Milan;2024;1403;10.3897/neobiota.99.148837;FALSE;Pensoft;NEOBIOTA;1619-0033
University of Milan;2024;985,15;10.1080/1828051X.2025.2505209;FALSE;Taylor & Francis Group;ITALIAN JOURNAL OF ANIMAL SCIENCE;1828-051X
University of Milan;2024;3147,6;10.1016/j.lwt.2025.117770;FALSE;Elsevier;LEBENSMITTEL-WISSENSCHAFT + TECHNOLOGIE;0023-6438
University of Milan;2024;3074,4;10.1016/j.lwt.2025.117791;FALSE;Elsevier;LEBENSMITTEL-WISSENSCHAFT + TECHNOLOGIE;0023-6438
University of Milan;2024;3064,03;10.1186/s12913-025-12865-9;FALSE;BioMed Central;BMC HEALTH SERVICES RESEARCH;1472-6963
