"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn";"issn_print";"issn_electronic";"url";
"Université de Lille";2021;750;"10.12905/0380.sydowia73-2020-0133";"TRUE";;;;;;;
"Université de Lille";2021;"1136,16";"10.3390/fi13100242";"FALSE";;;;;;;
"Université de Lille";2021;"1100,09";"10.3390/min11080804";"FALSE";;;;;;;
"Université de Lille";2021;"1785,39";"10.3390/s21175810";"FALSE";;;;;;;
"Université de Lille";2021;"1541,93";"10.3390/su13115989";"FALSE";;;;;;;
"Université de Lille";2021;"1541,93";"10.3390/su132313457";"FALSE";;;;;;;
"Université de Lille";2021;"1623,08";"10.3390/w13091323";"FALSE";;;;;;;
"Université de Lille";2021;"1623,08";"10.3390/w13243583";"FALSE";;;;;;;
"Université de Lille";2021;"2190,00";"10.1007/s11203-021-09240-w";"TRUE";;;;;;;
"Université de Lille";2021;"2050,95";"10.1016/j.intimp.2021.107526";"TRUE";;;;;;;
"Université de Lille";2021;"3300,00";"10.1016/j.ymthe.2021.09.020";"TRUE";;;;;;;
"Université de Lille";2021;"1460,78";"10.3390/antibiotics10111352";"FALSE";;;;;;;
"Université de Lille";2021;"1630,39";"10.3389/fphy.2021.644584";"FALSE";;;;;;;
"Université de Lille";2021;"2290,00";"10.1038/s41612-021-00160-3";"FALSE";;;;;;;
"Université de Lille";2021;"2680,00";"10.1038/s42005-021-00776-0";"FALSE";;;;;;;
"Université de Lille";2021;"2654,66";"10.3389/fnagi.2021.729635";"FALSE";;;;;;;
"Université de Lille";2021;"1715,49";"10.1021/acs.analchem.1c01692";"TRUE";;;;;;;
"Université de Lille";2021;"1576,76";"10.3389/feduc.2021.655356";"FALSE";;;;;;;
"Université de Lille";2021;"2552,00";"10.3389/fpsyg.2021.724710";"FALSE";;;;;;;
"Université de Lille";2021;"1161,18";"10.3390/jpm11010026";"FALSE";;;;;;;
"Université de Lille";2021;"1690,00";"10.1038/s41598-021-94686-4";"FALSE";;;;;;;
"Université de Lille";2021;"1942,50";"10.1016/j.neuroimage.2020.117597";"FALSE";;;;;;;
"Université de Lille";2021;"2404,25";"10.3389/fnhum.2021.636124";"FALSE";;;;;;;
"Université de Lille";2021;"1265,55";"10.3389/fpsyg.2021.750597";"FALSE";;;;;;;
"Université de Lille";2021;"2404,25";"10.3389/fpsyg.2020.574396";"FALSE";;;;;;;
"Université de Lille";2021;"1570,00";"10.1038/s41598-021-82283-4";"FALSE";;;;;;;
"Université de Lille";2021;"1690,00";"10.1038/s41598-021-99764-1";"FALSE";;;;;;;
"Université de Lille";2021;"1640,58";"10.3389/fnagi.2021.781426";"FALSE";;;;;;;
"Université de Lille";2021;"1785,39";"10.3390/cancers13164109";"FALSE";;;;;;;
"Université de Lille";2021;"2527,50";"10.1016/j.bbagrm.2021.194747";"TRUE";;;;;;;
"Université de Lille";2021;"2513,39";"10.3389/fmolb.2021.713003";"FALSE";;;;;;;
"Université de Lille";2021;"2444,25";"10.3389/fpls.2021.629045";"FALSE";;;;;;;
"Université de Lille";2021;"1172,23";"10.3390/pathogens10111483";"FALSE";;;;;;;
"Université de Lille";2021;"3060,00";"10.1007/s11357-021-00375-5";"FALSE";;;;;;;
"Université de Lille";2021;"2225,00";"10.1186/s13099-021-00401-z";"FALSE";;;;;;;
"Université de Lille";2021;"2680,00";"10.1038/s42003-021-01794-y";"FALSE";;;;;;;
"Université de Lille";2021;"3150,00";"10.1002/cbic.202100363";"TRUE";;;;;;;
"Université de Lille";2021;"1532,91";"10.3390/ijms23010031";"FALSE";;;;;;;
"Université de Lille";2021;"1298,47";"10.3390/math9161865";"FALSE";;;;;;;
"Université de Lille";2021;"1947,70";"10.3390/nu13103466";"FALSE";;;;;;;
"Université de Lille";2021;"1004,40";"10.3390/soc11030100";"FALSE";;;;;;;
"Université de Lille";2021;"1493,78";"10.3390/su13010274";"FALSE";;;;;;;
"Université de Lille";2021;"1925,00";"10.1186/s40798-021-00338-2";"FALSE";;;;;;;
"Université de Lille";2021;245;"10.16926/par.2022.10.10";"FALSE";;;;;;;
"Université de Lille";2021;"3059,99";"10.1103/PhysRevLett.127.205501";"TRUE";;;;;;;
"Université de Lille";2021;"1064,63";"10.1103/PhysRevMaterials.5.063602";"TRUE";;;;;;;
"Université de Lille";2021;650;"10.5194/ejm-33-591-2021";"FALSE";;;;;;;
"Université de Lille";2021;"1972,50";"10.1016/j.actamat.2021.116964";"TRUE";;;;;;;
"Université de Lille";2021;"2070,00";"10.1016/j.tecto.2021.228754";"TRUE";;;;;;;
"Université de Lille";2021;"1014,29";"10.3390/min11010035";"FALSE";;;;;;;
"Université de Lille";2021;"2514,00";"10.1186/s12874-020-01189-3";"FALSE";;;;;;;
"Université de Lille";2021;"2812,50";"10.1016/j.conb.2019.11.024";"TRUE";;;;;;;
"Université de Lille";2021;"3900,00";;"FALSE";"IOS Press";"Context Sensitive Health Informatics: The Role of Informatics in Global Pandemics";;;"978-1-64368-231-0";"https://ebooks.iospress.nl/Download/Pdf";"BPC"
