institution,period,euro,DOI,is_hybrid,publisher,journal_full_title,license_ref
TU Berlin,2022,2016.87,10.1109/ACCESS.2022.3164714,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fnhum.2022.833528,,Frontiers,Frontiers in Human Neuroscience,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1735.89,10.3389/fpubh.2022.832870,,Frontiers,Frontiers in Public Health,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fmicb.2022.812903,,Frontiers,Frontiers in Microbiology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1878.71,10.1371/journal.pone.0267656,,Public Library of Science (PLOS),PLOS ONE,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1834.90,10.3390/su14063161,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1834.90,10.3390/su14084401,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/su14063163,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/su14073973,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/su14073923,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1394.95,10.3390/gels8030164,,MDPI,Gels,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1545.18,10.3390/batteries8030026,,MDPI,Batteries,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/land11040508,,MDPI,Land,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2091.47,10.1109/OJCOMS.2022.3169444,,Institute of Electrical and Electronics Engineers (IEEE),IEEE open journal of the Communications Society,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,891.39,10.3389/frsc.2022.760858,,Frontiers,Frontiers in Sustainable Cities,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fmicb.2022.842249,,Frontiers,Frontiers in Microbiology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fmicb.2022.894375,,Frontiers,Frontiers in Microbiology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1105.06,10.3389/fmech.2022.904282,,Frontiers,Frontiers in Mechanical Engineering,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1105.06,10.3389/fmech.2022.905026,,Frontiers,Frontiers in Mechanical Engineering,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,965.73,10.3390/futuretransp2020021,,MDPI,Future Transportation,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1727.59,10.3390/app12083838,,MDPI,Applied Sciences,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/agronomy12040889,,MDPI,Agronomy,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/pr10040761,,MDPI,Processes,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/su14084666,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1738.33,10.3390/machines10050329,,MDPI,Machines,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,733.04,10.5194/soil-8-373-2022,,Copernicus,Soil : an Interactive Open Access Journal of the European Geosciences Union,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fbioe.2022.855035,,Frontiers,Frontiers in Bioengineering and Biotechnology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fenrg.2022.909298,,Frontiers,Frontiers in Energy Research,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,891.39,10.3389/fcomm.2022.846794,,Frontiers,Frontiers in Communication,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1105.06,10.3389/frsus.2022.922984,,Frontiers,Frontiers in Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1825.76,10.3389/fnetp.2022.904480,,Frontiers,Frontiers in Network Physiology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fninf.2022.883700,,Frontiers,Frontiers in Neuroinformatics,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,912.87,10.3389/frsc.2022.931987,,Frontiers,Frontiers in Sustainable Cities,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,912.87,10.3389/fsufs.2022.934552,,Frontiers,Frontiers in Sustainable Food Systems,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2075.35,10.3390/su14106377,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1614.16,10.3390/pr10050977,,MDPI,Processes,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,830.14,10.3390/joitmc8020091,,MDPI,Journal of Open Innovation: Technology. Market. and Complexity,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1960.05,10.3390/en15113966,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1660.28,10.3390/resources11060052,,MDPI,Resources,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1960.05,10.3390/en15114096,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1936.99,10.3390/w14111722,,MDPI,Water,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1325.92,10.3390/app12105127,,MDPI,Applied Sciences,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1867.81,10.3390/sym14061083,,MDPI,Symmetry,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1844.75,10.3390/plants11101342,,MDPI,Plants,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1245.20,10.3390/urbansci6020033,,MDPI,Urban Science,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2190.65,10.3390/polym14112193,,MDPI,Polymers,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1130.50,10.17645/up.v7i3.5415,,Cogitatio,Urban Planning,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1552.95,10.1016/j.resenv.2022.100076,,Elsevier,Resources. Environment and Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fimmu.2022.906551,,Frontiers,Frontiers in Immunology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fphys.2022.912049,,Frontiers,Frontiers in Physiology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1105.06,10.3389/fmech.2022.931271,,Frontiers,Frontiers in Mechanical Engineering,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1976.80,10.3390/nano12132314,,MDPI,Nanomaterials,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3847/1538-4357/ac71ab,,IOP Publishing,The Astrophysical Journal,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1142.40,10.1016/j.trip.2022.100668,,Elsevier,Transportation Research Interdisciplinary Perspectives,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,929.89,10.3390/ijtpp7030024,,MDPI,International Journal of Turbomachinery. Propulsion and Power,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1531.59,10.3390/economies10080186,,MDPI,Economies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1093.99,10.3390/jtaer17030048,,MDPI,Journal of Theoretical and Applied Electronic Commerce Research,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1312.80,10.3390/urbansci6030048,,MDPI,Urban Science,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1093.99,10.3390/wevj13080131,,MDPI,World Electric Vehicle Journal,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1969.19,10.3390/math10152582,,MDPI,Mathematics,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1969.19,10.3390/sym14081557,,MDPI,Symmetry,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1701.77,10.3390/su14148837,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2066.44,10.3390/catal12070773,,MDPI,Catalysts,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1397.88,10.3390/app12157628,,MDPI,Applied Sciences,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2005.66,10.3390/su14159312,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1701.77,10.3390/su14159127,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1750.39,10.3390/fluids7080265,,MDPI,Fluids,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1750.39,10.3390/aerospace9080403,,MDPI,Aerospace,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1969.19,10.3390/e24081097,,MDPI,Entropy,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2005.66,10.3390/mi13071141,,MDPI,Micromachines,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1618.40,10.1039/D2NA00368F,,Royal Society of Chemistry (RSC),Nanoscale advances,https://creativecommons.org/licenses/by/3.0/
TU Berlin,2022,1992.06,10.5194/bg-19-3739-2022,,Copernicus,Biogeosciences,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1874.25,10.1016/j.rset.2022.100028,,Elsevier,Renewable and Sustainable Energy Transition,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fpsyg.2022.867166,,Frontiers,Frontiers in Psychology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fpsyg.2022.867987,,Frontiers,Frontiers in Psychology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1825.76,10.3389/fnetp.2022.910920,,Frontiers,Frontiers in Network Physiology,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fncom.2022.931121,,Frontiers,Frontiers in Computational Neuroscience,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fpsyg.2022.951048,,Frontiers,Frontiers in Psychology,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1105.06,10.3389/frsus.2022.958538,,Frontiers,Frontiers in Sustainability,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1952.30,10.3390/en15165900,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1830.28,10.3390/su141811242,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2074.32,10.3390/polym14173512,,MDPI,Polymers,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1976.71,10.3390/healthcare10091603,,MDPI,Healthcare,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1952.30,10.3390/su141710658,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2074.32,10.3390/polym14173675,,MDPI,Polymers,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,976.15,10.3390/batteries8090116,,MDPI,Batteries,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1537.43,10.3390/a15090311,,MDPI,Algorithms,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1758.40,10.1109/JPHOT.2022.3206619,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Photonics Journal,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1606.54,10.1177/26349833221132296,,SAGE Publications,Composites and Advanced Materials,https://creativecommons.org/licenses/by-nc/4.0/
TU Berlin,2022,1770.72,10.5194/hess-26-4603-2022,,Copernicus,Hydrology and Earth System Sciences (HESS),https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,972.24,10.1162/qss_a_00217,,MIT Press,Quantitative Science Studies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1232.33,10.3390/su141912613,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1996.38,10.3390/math10193641,,MDPI,Mathematics,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1749.91,10.3390/molecules27185834,,MDPI,Molecules,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1971.73,10.3390/bios12100784,,MDPI,Biosensors,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,862.63,10.3390/acoustics4040052,,MDPI,Acoustics,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1774.55,10.3390/jmmp6050113,,MDPI,Journal of Manufacturing and Materials Processing,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,887.28,10.3390/sym14102140,,MDPI,Symmetry,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fmolb.2022.945415,,Frontiers,Frontiers in Molecular Biosciences,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fmolb.2022.992748,,Frontiers,Frontiers in Molecular Biosciences,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fnagi.2022.911088,,Frontiers,Frontiers in Aging Neuroscience,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2001.37,10.1038/s41598-022-05184-0,,Springer Nature,Scientific Reports,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,5579.37,10.1038/s41467-022-31093-x,,Springer Nature,Nature Communications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1862.25,10.1186/s12911-022-01751-7,,Springer Nature,BMC Medical Informatics and Decision Making,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2001.37,10.1038/s41598-022-07808-x,,Springer Nature,Scientific Reports,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2212.98,10.1186/s12889-022-12993-5,,Springer Nature,BMC Public Health,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1601.10,10.1186/s40694-022-00133-y,,Springer Nature,Fungal Biology and Biotechnology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1907.03,10.1186/s12903-022-02095-4,,Springer Nature,BMC Oral Health,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1223.77,10.1186/s12544-022-00525-6,,Springer Nature,European Transport Research Review,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,3189.20,10.1038/s42005-021-00794-y,,Springer Nature,Communications Physics,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,5579.37,10.1038/s41467-022-28526-y,,Springer Nature,Nature Communications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1842.55,10.1186/s13584-022-00515-y,,BioMed Central,Israel Journal of Health Policy Research,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2080.41,10.1186/s12934-022-01804-6,,Springer Nature,Microbial Cell Factories,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2001.37,10.1038/s41598-022-14028-w,,Springer Nature,Scientific Reports,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,3570.00,10.1038/s41377-021-00700-9,,Springer Nature,Light: Science & Applications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,5579.37,10.1038/s41467-022-29829-w,,Springer Nature,Nature Communications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2080.41,10.1186/s12934-022-01756-x,,Springer Nature,Microbial Cell Factories,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1723.48,10.1186/s13102-022-00508-z,,Springer Nature,BMC Sports Science. Medicine and Rehabilitation,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1761.20,10.1007/s42452-022-05035-7,,Springer Nature,SN Applied Sciences,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2080.41,10.1186/s12913-022-07531-3,,Springer Nature,BMC Health Services Research,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2001.37,10.1038/s41598-022-11127-6,,Springer Nature,Scientific Reports,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1546.95,10.1186/s40694-021-00130-7,,Springer Nature,Fungal Biology and Biotechnology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,3416.35,10.1038/s41537-022-00255-7,,Springer Nature,Schizophrenia,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,881.86,10.1186/s13643-021-01877-1,,Springer Nature,Systematic Reviews,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1509.48,10.1109/JSTARS.2022.3214926,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2189.60,10.1111/1751-7915.14104,,Wiley,Microbial Biotechnology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2142.00,10.1002/fsn3.2970,,Wiley,Food Science & Nutrition,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,700.00,10.36900/suburban.v10i2/3.810,,Sub\urban e.V.,Sub\urban,https://creativecommons.org/licenses/by-sa/4.0/
TU Berlin,2022,1530.64,10.1088/1367-2630/ac9cc3,,IOP Publishing,New Journal of Physics,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1142.40,10.1016/j.trip.2022.100705,,Elsevier,Transportation Research Interdisciplinary Perspectives,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,996.27,10.1039/D2RA05507D,,Royal Society of Chemistry (RSC),RSC Advances,https://creativecommons.org/licenses/by/3.0/
TU Berlin,2022,865.46,10.3390/joitmc8040183,,MDPI,Journal of Open Innovation: Technology. Market. and Complexity,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,360.61,10.3390/su141912729,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,865.46,10.3390/nano12213766,,MDPI,Nanomaterials,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1851.13,10.3390/catal12111321,,MDPI,Catalysts,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1658.81,10.3390/en15207654,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1658.81,10.3390/en15217949,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1658.81,10.3390/en15197333,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1803.05,10.3390/su142013477,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1944.15,10.3390/ijms23179951,,MDPI,International Journal of Molecular Sciences,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1602.17,10.1177/26349833221144058,,SAGE Publications,Composites and Advanced Materials,https://creativecommons.org/licenses/by-nc/4.0/
TU Berlin,2022,321.30,10.1051/aacus/2022052,,EDP Sciences,Acta Acustica,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,856.80,10.1051/aacus/2022053,,EDP Sciences,Acta Acustica,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.1049/itr2.12279,,Wiley,IET Intelligent Transport Systems,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1904.00,10.1002/pan3.10398,,Wiley,People and Nature,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2760.80,10.1049/rpg2.12574,,Wiley,IET Renewable Power Generation,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1904.00,10.1002/nano.202200154,,Wiley,Nano Select,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2332.40,10.1002/aisy.202200221,,Wiley,Advanced Intelligent Systems,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2189.60,10.1111/1751-7915.14150,,Wiley,Microbial Biotechnology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1904.00,10.1002/open.202200146,,Wiley,ChemistryOpen,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1096.29,10.1057/s41599-022-01337-8,,Springer Nature,Humanities and Social Sciences Communications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2080.41,10.1186/s12913-022-08500-6,,Springer Nature,BMC Health Services Research,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2001.37,10.1038/s41598-022-16404-y,,Springer Nature,Scientific Reports,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2080.41,10.1186/s12934-022-01919-w,,Springer Nature,Microbial Cell Factories,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1121.79,10.1140/epjds/s13688-022-00354-6,,Springer Nature,EPJ Data Science,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1223.76,10.1186/s12544-022-00568-9,,Springer Nature,European Transport Research Review,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1105.06,10.3389/frsus.2022.921169,,Frontiers,Frontiers in Sustainability,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fpsyg.2022.966096,,Frontiers,Frontiers in Psychology,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1999.20,10.3389/fenrg.2022.1049229,,Frontiers,Frontiers in Energy Research,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1998.72,10.3389/fctls.2022.1072692,,Frontiers,Frontiers in Catalysis,http://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2856.00,10.1002/hbm.25832,,Wiley,Human Brain Mapping,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2475.20,10.1002/we.2730,,Wiley,Wind Energy,https://creativecommons.org/licenses/by-nc/4.0/
TU Berlin,2022,1734.20,10.3390/resources11110103,,MDPI,Resources,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1083.88,10.3390/futuretransp2040053,,MDPI,Future Transportation,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1770.33,10.3390/molecules27217564,,MDPI,Molecules,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1926.90,10.3390/coatings12121847,,MDPI,Coatings,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,602.15,10.3390/applmech3040077,,MDPI,Applied Mechanics,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1734.20,10.3390/aerospace9120793,,MDPI,Aerospace,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1924.52,10.3390/ijerph192416711,,MDPI,International Journal of Environmental Research and Public Health,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1948.57,10.3390/su15010046,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2001.37,10.1038/s41598-022-23597-9,,Springer Nature,Scientific Reports,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,5579.37,10.1038/s41467-022-33875-9,,Springer Nature,Nature Communications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2001.37,10.1038/s41598-022-20964-4,,Springer Nature,Scientific Reports,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,5579.37,10.1038/s41467-022-33165-4,,Springer Nature,Nature Communications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,5579.37,10.1038/s41467-022-35426-8,,Nature Publishing Group,Nature Communications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,5579.37,10.1038/s41467-022-34125-8,,Springer Nature,Nature Communications,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1352.03,10.3390/batteries8020008,,MDPI,Batteries,https://creativecommons.org/licenses/by/4.0/
