"institution";"period";"euro";"doi";"backlist_oa";"book_title"
"Leibniz-Fonds";2020;7239.96;"10.14361/9783839451809";"FALSE";"Postwachstumsgeographien : Raumbezüge diverser und alternativer Ökonomien"
"Leibniz-Fonds";2020;1980;"10.35468/5799";"FALSE";"Ist eine gute Schule eine inklusive Schule? Entwicklung von Messinstrumenten durch die Schulinspektionen"
"Leibniz-Fonds";2020;2904.87;"10.3262/978-3-7799-6343-1";"FALSE";"Bildungswerte und Schulentfremdung : Schulische Kontexteffekte in Luxemburg und im Schweizer Kanton Bern"
"Leibniz-Fonds";2020;3927;"10.13109/9783666564857";"FALSE";"Mit Gott, für Vaterland und Menschheit? Eine europäische Geschichte des freimaurerischen Internationalismus (1845-1935)"
"Leibniz-Fonds";2020;4500;"10.3224/84742378";"FALSE";"Bilinguale Interaktion beim Peer-Learning in der Grundschule : Eine Mixed-Methods Studie mit bilingual türkisch-deutschsprachig aufwachsenden Schüler*innen"
"Leibniz-Fonds";2021;3828;"10.13109/9783666360992";"FALSE";"Wer helfen kann, der helfe! Deutsche SklavereigegnerInnen und die atlantische Abolitionsbewegung, 1780-1860"
"Leibniz-Fonds";2021;4760;"10.12907/978-3-593-44696-7";"FALSE";"Unter Verschluss : Zur Geschichte des Suizids in der DDR 1952-1990"
"Leibniz-Fonds";2021;2803.72;"10.15463/ifz-2020-1";"FALSE";"Transformation einer Volkswirtschaft : Neue Forschungen zur Geschichte der Treuhandanstalt"
"Leibniz-Fonds";2021;4020;"10.21983/P3.0298.1.00";"FALSE";"Trickbox of Memory : Essays on Power and Disorderly Pasts"
"Leibniz-Fonds";2022;5000;"10.5040/9781509946396";"FALSE";"Pandemocracy in Europe : Power, Parliaments and People in Times of Covid-19"
"Leibniz-Fonds";2021;3927;"10.13109/9783666560378";"FALSE";"Wahrheit - Geschwindigkeit - Pluralität : Chancen und Herausforderungen durch den Buchdruck im Zeitalter der Reformation"
"Leibniz-Fonds";2021;4760;"10.52438/avaa1001";"FALSE";"Übergängliche Natur : Kant, Herder, Goethe und die Gegenwart des Klimas"
"Leibniz-Fonds";2022;6000;"10.1093/oso/9780198847519.001.0001";"FALSE";"The Changing German Voter"
"Leibniz-Fonds";2021;5220;"10.1007/978-3-658-32872-6";"FALSE";"Organisationsbildung und gesellschaftliche Differenzierung"
"Leibniz-Fonds";2021;3927;"10.13109/9783666356964";"FALSE";"Umkämpfte Kirche : Innerkatholische Konflikte im österreichisch-ungarischen Küstenland 1890-1914"
"Leibniz-Fonds";2021;2409.75;"10.5771/9783748924401 ";"FALSE";"Die Umsetzung schulischer Inklusion nach der UN-Behindertenrechtskonvention in den deutschen Bundesländern"
"Leibniz-Fonds";2021;4641;"10.31244/9783830993490";"FALSE";"Lehrkräftebildung neu gedacht : Ein Praxishandbuch für die Lehre in den Naturwissenschaften und deren Didaktiken"
"Leibniz-Fonds";2021;5220;"10.1007/978-3-658-33019-4";"FALSE";"Das ökonomische Laboratop : Eine soziologische Ethnographie des wirtschaftswissenschaftlichen Experimentierens"
"Leibniz-Fonds";2021;900;"10.15463/ifz-2021-1";"FALSE";"Transformation als soziale Praxis : Mitteleuropa seit den 1970er Jahren"
"Leibniz-Fonds";2021;6855;"10.13109/9783666352171";"FALSE";"The INF Treaty of 1987 : A Reappraisal"
"Leibniz-Fonds";2021;2625;"10.14220/9783737012652";"FALSE";"Schulbücher als Vermittler der Europäischen Integration? Eine produkt- und wirkungsorientierte Studie zum politischen Fachunterricht"
"Leibniz-Fonds";2021;5950;"10.1515/9783110726305";"FALSE";"Shared Margins : An Ethnography with Writers in Alexandria after the Revolution"
"Leibniz-Fonds";2021;4498.2;"10.31244/9783830993315";"FALSE";"Schule während der Corona-Pandemie : Neue Ergebnisse und Überblick über ein dynamisches Forschungsfeld"
"Leibniz-Fonds";2021;11096.58;"10.1093/oso/9780198823827.001.0001";"FALSE";"Interorganizational Diffusion in International Relations : Regional Institutions and the Role of the European Union"
"Leibniz-Fonds";2021;2380;"10.31244/9783830994176";"FALSE";"Überzeugung von Lehrkräften : Ihre Bedeutung für das pädagogische Handeln und die Lernergebnisse in den Fächern Englisch und Mathematik"
"Leibniz-Fonds";2022;14546.56;"10.3278/85/0026w";"FALSE";"Trends der Weiterbildung : DIE Trendanalyse 2021"
"Leibniz-Fonds";2021;4000;"10.1075/la.270";"FALSE";"Non-Canonical Control in a Cross-linguistic Perspective"
