"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC","DOI","Date of APC payment","Date of initial application by author","ISSN0","Institution","Journal","Licence","PubMed Central (PMC) ID","PubMed ID","Publisher","TCO year","Type of publication","Drop?","Year of publication","period","is_hybrid","euro"
"1550.4","1550.4","1550.4","GBP","10.1186/s11689-015-9119-4","2014","2014-10-23","","University of Birmingham","Journal of Neurodevelopmental Disorders","","","","Springer Nature","2014","Journal Article/Review","0","","2014","","1923.29"
"3000","0","0","USD","10.1097/yco.0000000000000143","2014","2014-10-31","","University of Birmingham","Current Opinion in Psychiatry","","","","Wolters Kluwer/Lippincott Williams & Wilkins","2014","Journal Article/Review","0","","2014","","2258.19"
"1590","1590","1590","GBP","10.1186/s13063-015-0553-0","2014","2014-11-12","","University of Birmingham","Trials","","","","Springer Nature","2014","Journal Article/Review","0","","2014","","1972.41"
"2040","2040","2040","GBP","10.1136/bmjresp-2014-000060","2014","2014-11-13","","University of Birmingham","BMJ Open Respiratory Research","","","","BMJ Group","2014","Journal Article/Review","0","","2014","","2530.64"
"","","","","","","","","","","","","","","","","","","","",""
"2040","2040","2040","GBP","10.3399/bjgp15x685621","2014","2014-12-03","","University of Birmingham","British Journal of General Practice","","","","Royal College of General Practitioners","2014","Journal Article/Review","0","","2014","","2530.64"
"1351.5","1351.5","1351.5","GBP","10.1186/s13075-015-0633-2","2014","2014-12-10","","University of Birmingham","Arthritis Research & Therapy","","","","Springer Nature","2014","Journal Article/Review","0","","2014","","1676.55"
"","","","","","","","","","","","","","","","","","","","",""
"","","960","","10.1177/0957154x14550136","2014-09-25","2014-05-13","1740-2360","University of Bristol","History of Psychiatry","","","","SAGE Publications","2014","Journal Article/Review","0","","2014","","1230.14"
"","","","","","","","","","","","","","","","","","","","",""
"3800","2814.82","2814.82","USD","10.1097/hjh.0000000000000445","2014-10-20","2014-10-09","0263-6352","University of Bristol","Journal of Hypertension","","","","Ovid Technologies (Wolters Kluwer Health)","2014","Journal Article/Review","0","2014","2014","","2975.03"
"","","852","","10.1093/nar/gku1041","2014-10-14","2014-10-13","1362-4962","University of Bristol","Nucleic Acids Research","CC BY","","","Oxford University Press (OUP)","2014","Journal Article/Review","0","2014","2014","","1072.37"
"","","852","","10.1093/nar/gku1236","2014-11-14","2014-11-11","0305-1048","University of Bristol","Nucleic Acids Research","","","","Oxford University Press (OUP)","2014","Journal Article/Review","0","","2014","","1072.51"
"","","1800","","10.1144/jgs2014-099","2014-12-09","2014-11-17","2041-479X","University of Bristol","Journal of the Geological Society","","","","Geological Society of London","2014","Journal Article/Review","0","","2014","","2278.05"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","3000","","10.1192/bjp.bp.114.146324","2014-11-20","2014-11-20","0007-1250","University of Bristol","British Journal of Psychiatry","","","","Royal College of Psychiatrists","2014","Journal Article/Review","0","","2014","","3755.16"
"","","932.4","","10.1002/ece3.1436","2014-11-25","2014-11-25","2045-7758","University of Bristol","Ecology and Evolution","","","","Wiley-Blackwell","2014","Journal Article/Review","0","","2014","","1175.94"
"2629.66","2043.88","2043.88","EUR","10.1016/j.molonc.2014.10.015","2014-11-27","2014-11-27","1574-7891","University of Bristol","Molecular Oncology","","","","Elsevier BV","2014","Journal Article/Review","0","","2014","","2629.66"
"","","2100","","10.1093/jel/equ035","2014-12-03","2014-12-01","1464-374X","University of Bristol","Journal of Environmental Law","","","","Oxford University Press (OUP)","2014","Journal Article/Review","0","","2014","","2671.08"
"1350","995.14","995.14","USD","10.1371/journal.pone.0115374","2014-12-04","2014-12-04","1932-6203","University of Bristol","PLOS One","","","","Public Library of Science (PLoS)","2014","Journal Article/Review","0","","2014","","1096.58"
"","","1262.4","","10.1016/j.trd.2014.11.022","2014-12-15","2014-12-15","1361-9209","University of Bristol","Transportation Research D: Transport and Environment","","","","Elsevier BV","2014","Journal Article/Review","0","","2014","","1590.73"
"3235","2433.98","2433.98","USD","10.1523/jneurosci.0373-14.2015","2014-12-15","2014-12-15","1872-7972","University of Bristol","Journal of Neurochemistry","","","","Society for Neuroscience","2014","Journal Article/Review","0","","2014","","2603.41"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2140.31","","10.1002/aenm.201400139","2014-06-24","2014-03-25","","University of Cambridge","Advanced Energy Materials","","","","Wiley-Blackwell","2014","","0","","2014","","2670.38"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2100","","10.1093/library/16.1.51","2014-11-03","2014-06-17","","University of Cambridge","The Library","","","","Oxford University Press (OUP)","2014","","0","","2014","","2689.38"
"","","2687.89","","10.1249/mss.0000000000000453","2014-08-13","2014-07-15","","University of Cambridge","Medicine & Science in Sports & Exercise","","","","Wolters Kluwer/Lippincott Williams & Wilkins","2014","","0","","2014","","3361.12"
"","","","","","","","","","","","","","","","","","","","",""
"","","2145.6","","10.1080/10609164.2015.1009281","2015-01-29","2014-09-04","","University of Cambridge","Colonial Latin American Review","","","","Informa UK Limited","2014","","0","","2015","","2869.41"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2120.88","","10.1186/s13195-015-0141-2","2014-12-23","2014-12-03","","University of Cambridge","Alzheimers Research & Therapy","","","","Springer Nature","2014","","0","","2014","","2695.92"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"666.42","559.37","559.37","EUR","10.1016/j.spa.2014.05.005","2014-05-27","2013-12-09","0304-4149","University of Durham","Stochastic Processes and their Applications","CC BY","","","Elsevier BV","2014","Journal Article/Review","0","2014","2014","","666.42"
"","","2040","","10.1088/0264-9381/31/4/045001","","2014-01-02","","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing","2014","","0","","2014","","2530.64"
"","","423.17","","10.1371/journal.pntd.0002699","","2014-01-06","","University of Glasgow","Neglected Tropical Diseases","","","","Public Library of Science (PLoS)","2014","","0","","2014","","524.95"
"","","1500","","10.1111/jbfa.12062","","2014-01-14","","University of Glasgow","Journal of Business Finance and Accounting","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"2640","2191.2","2191.2","EUR","10.1007/s00422-014-0587-5","","2014-01-17","","University of Glasgow","Biological Cybernetics","","","","Springer Nature","2014","","0","","2014","","2640"
"","","2390.11","EUR","10.1016/j.dyepig.2014.01.004","","2014-01-17","","University of Glasgow","Dyes and Pigments","","","","Elsevier BV","2014","","0","","2014","","2964.96"
"","","2040","","10.1088/0264-9381/31/6/065010","","2014-01-22","","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing","2014","","0","","2014","","2530.64"
"","","1260","","10.1098/rsbl.2013.1010","","2014-01-23","","University of Glasgow","Biology Letters","","","","Royal Society of London","2014","","0","","2014","","1563.04"
"","","1500","","10.1111/bph.12588","","2014-01-27","","University of Glasgow","British Journal of Pharmacology","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","2404.45","EUR","10.1016/j.apenergy.2014.02.030","","2014-01-28","","University of Glasgow","Applied Energy","","","","Elsevier BV","2014","","0","","2014","","2982.74"
"","","976.87","USD","10.1109/tpel.2014.2313294","","2014-01-28","","University of Glasgow","IEEE Transactions on Power Electronics ","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","2014","","1211.82"
"","","1260","","10.1098/rspb.2013.2883","","2014-01-31","","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society","2014","","0","","2014","","1563.04"
"","","2548.79","EUR","10.1055/s-0033-1340683","","2014-02-03","","University of Glasgow","Synlett","","","","Thieme","2014","","0","","2014","","3161.8"
"","","200","","10.1177/1474474014530962","","2014-02-03","","University of Glasgow","cultural geographies","","","","SAGE Publications","2014","","0","","2014","","248.1"
"2618","2190.31","2190.31","EUR","10.1007/s11005-014-0685-2","","2014-02-04","","University of Glasgow","Letters in Mathematical Physics","","","","Springer Nature","2014","","0","","2014","","2618"
"1080","896.4","896.4","EUR","10.1140/epja/i2014-14054-5","","2014-02-06","","University of Glasgow","European Physical Journal A","","","","EDP Sciences","2014","","0","","2014","","1080"
"2310.26","1917.51","1917.51","EUR","10.1016/j.sna.2014.02.024","","2014-02-06","","University of Glasgow","Sensors & Actuators A","","","","Elsevier BV","2014","","0","","2014","","2310.26"
"","","","","","","","","","","","","","","","","","","","",""
"","","1500","","10.1111/faam.12038","","2014-02-11","","University of Glasgow","Financial Accountability and Management","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"594","356.4","356.4","USD","10.1088/2041-8205/784/2/l41","","2014-02-11","","University of Glasgow","The Astrophysical Journal Letters","","","","IOP Publishing","2014","","0","","2014","","447.12"
"5000","3010.24","3010.24","USD","10.1021/bm401616n","","2014-02-14","","University of Glasgow","Biomacromolecules","","","","American Chemical Society (ACS)","2014","","0","","2014","","3763.64"
"2218.8","1367.69","1367.69","USD","10.1364/oe.22.004671","","2014-02-17","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","2014","","1670.15"
"","","1500","","10.1111/tpj.12471","","2014-02-17","","University of Glasgow","Plant Journal","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"2000","1101.09","1101.09","USD","10.1021/ac5001306","","2014-02-20","","University of Glasgow","Analytical Chemistry","","","","American Chemical Society (ACS)","2014","","0","","2014","","1505.46"
"2221.4","1833.54","1833.54","EUR","10.1016/j.actaastro.2014.02.018","","2014-02-21","","University of Glasgow","Acta Astronautica","","","","Elsevier BV","2014","","0","","2014","","2221.4"
"","","1500","","10.1111/biom.12156","","2014-02-24","","University of Glasgow","Biometrics","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"1599.42","1327.52","1327.52","EUR","10.1016/j.paid.2013.07.015","","2014-02-25","","University of Glasgow","Personality and Individual Differences","","","","Elsevier BV","2014","","0","","2014","","1599.42"
"2665.69","2212.52","2212.52","EUR","10.1016/j.jpain.2014.02.005","","2014-02-27","","University of Glasgow","Journal of Pain","","","","Elsevier BV","2014","","0","","2014","","2665.69"
"","","1609.2","","10.1080/01402382.2014.929353","","2014-03-05","","University of Glasgow","West European Politics","","","","Informa UK Limited","2014","","0","2014","2014","","1996.23"
"","","1740","","10.1039/c4ta00543k","","2014-03-05","","University of Glasgow","Journal of Materials Chemistry A","","","","Royal Society of Chemistry (RSC)","2014","","0","2014","2014","","2158.49"
"","","1500","","10.1002/rcm.6873","","2014-03-06","","University of Glasgow","Rapid Communications in Mass Spectrometry ","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","200","","10.1177/0957154x14529222","","2014-03-10","","University of Glasgow","History of Psychiatry","","","","SAGE Publications","2014","","0","","2014","","248.1"
"2932.26","2433.78","2433.78","EUR","10.1016/j.rse.2014.03.003","","2014-03-13","","University of Glasgow","Remote Sensing of Environment","","","","Elsevier BV","2014","","0","","2014","","2932.26"
"","","2040","","10.1088/0264-9381/31/10/105006","","2014-03-14","","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing","2014","","0","","2014","","2530.64"
"2665.69","2185.87","2185.87","EUR","10.1016/j.tree.2014.03.002","","2014-03-14","","University of Glasgow","Trends in Ecology and Evolution","","","","Elsevier BV","2014","","0","","2014","","2665.69"
"2700","1593","1593","USD","10.1074/jbc.m113.534545","","2014-03-20","","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)","2014","","0","2014","2014","","2032.37"
"","","200","","10.1177/0962280214527384","","2014-03-21","","University of Glasgow","Statistical Methods in Medical Research","","","","SAGE Publications","2014","","0","","2014","","248.1"
"1954.84","1622.51","1622.51","EUR","10.1016/j.asr.2014.03.022","","2014-03-24","","University of Glasgow","Advances in Space Research","","","","Elsevier BV","2014","","0","","2014","","1954.84"
"","","1500","","10.1111/evj.12269","","2014-03-24","","University of Glasgow","Equine Veterinary Journal","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","1500","","10.1002/smll.201400247","","2014-03-24","","University of Glasgow","Small","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"800","587.1","587.1","USD","10.1104/pp.113.233403","","2014-03-26","","University of Glasgow","Plant Physiology","","","","Dartmouth Journals","2014","","0","","2014","","602.18"
"","","1989","","10.1136/jech-2013-203551","","2014-01-13","","University of Glasgow","Journal of Epidemiology and Community health","","","","BMJ","2014","","0","","2014","","2467.37"
"","","2550","","10.1136/jech-2013-203126.53","","2014-01-28","","University of Glasgow","British Medical Journal","","","","BMJ","2014","","0","2014","2014","","3163.3"
"","","2550","","10.1093/aje/kwu110","","2014-01-31","","University of Glasgow","American Journal of Epidemiology","","","","Oxford University Press (OUP)","2014","","0","","2014","","3163.3"
"","","1500","","10.1363/46e1214","","2014-02-04","","University of Glasgow","Perspectives on Sexual and Reproductive Health","","","","Wiley-Blackwell","2014","","0","2014","2014","","1860.77"
"","","1350","","10.1097/qai.0b013e318058a01e","","2014-02-14","","University of Glasgow","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","2014","","1674.69"
"","","1001.48","","10.1371/journal.pone.0091185","","2014-02-14","","University of Glasgow","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","2014","","1242.35"
"2649.78","2199.31","2199.31","EUR","10.1016/j.socscimed.2014.02.016","","2014-02-17","","University of Glasgow","Social Science & Medicine ","","","","Elsevier BV","2014","","0","2014","2014","","2649.78"
"","","1602.96","","10.1016/j.febslet.2014.02.038","","2014-03-03","","University of Glasgow","FEBS Letters","","","","Elsevier BV","2014","","0","","2014","","1988.49"
"","","1500","","10.1002/psp.1852","","2014-03-28","","University of Glasgow","Population, Space and Place","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"600","323.4","323.4","USD","10.1177/160940691401300109","","2014-03-31","","University of Glasgow","International Journal of Qualitative Methods.","","","","University of Alberta","2014","","0","","2014","","451.64"
"","","1510.16","CHF","10.3390/s140406606","","2014-04-03","","University of Glasgow","Sensors","","","","MDPI AG","2014","","0","","2014","","1873.37"
"","","2134.68","EUR","10.1016/j.tvjl.2014.03.005","","2014-04-03","","University of Glasgow","The Veterinary Journal","","","","Elsevier BV","2014","","0","","2014","","2648.09"
"","","1657.5","","10.1136/jech-2014-203879","","2014-04-03","","University of Glasgow","Journal of Epidemiology and Community Health","","","","BMJ","2014","","0","","2014","","2056.15"
"","","3600","","10.1179/1743280413y.0000000026","","2014-04-04","","University of Glasgow","International Materials Reviews","","","","Maney Publishing","2014","","0","","2014","","4465.84"
"","","1500","","10.1002/lpor.201300087","","2014-04-04","","University of Glasgow","Laser and Photonics Reviews","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","1070.94","","10.1109/tpami.2014.2316530","","2014-04-07","","University of Glasgow","IEEE Transactions on Pattern Analysis and Machine Intelligence","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","2014","","1328.51"
"","","2404.45","","10.1016/j.jcat.2014.02.004","","2014-04-07","","University of Glasgow","Journal of Catalysis","","","","Elsevier BV","2014","","0","","2014","","2982.74"
"","","976.87","","10.1109/ted.2014.2315520","","2014-04-07","","University of Glasgow","IEEE Transacations on Electron Devices","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","2014","","1211.82"
"","","3498","","10.1038/ncomms4715","","2014-04-09","","University of Glasgow","Nature Communications","","","","Springer Nature","2014","","0","","2014","","4339.3"
"","","1843.76","EUR","10.1016/j.biocon.2014.03.020","","2014-04-10","","University of Glasgow","Biological Conservation","","","","Elsevier BV","2014","","0","","2014","","2287.2"
"","","","","","","","","","","","","","","","","","","","",""
"","","1740","","10.1039/c4cc00805g","","2014-04-14","","University of Glasgow","Chem Comm","","","","Royal Society of Chemistry (RSC)","2014","","0","","2014","","2158.49"
"","","1500","","10.1111/1468-0009.12057","","2014-04-15","","University of Glasgow","Milbank Quarterly","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","","","","","","","","","","","","","","","","","","",""
"","","1260","","10.1098/rspb.2014.0388","","2014-04-23","","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society","2014","","0","","2014","","1563.04"
"","","1260","","10.1098/rspb.2014.0311","","2014-04-25","","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society","2014","","0","","2014","","1563.04"
"","","1500","","10.1002/cnm.2652","","2014-04-25","","University of Glasgow","International Journal for Numerical Methods in Biomedical Engineering","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","1740","","10.1039/c4lc00199k","","2014-04-28","","University of Glasgow","Lab-on-a-Chip","","","","Royal Society of Chemistry (RSC)","2014","","0","","2014","","2158.49"
"","","1740","","10.1039/c4lc00436a","","2014-04-28","","University of Glasgow","Lab-on-a-Chip","","","","Royal Society of Chemistry (RSC)","2014","","0","","2014","","2158.49"
"","","1266.86","","10.1016/j.healthplace.2014.04.006","","2014-04-29","","University of Glasgow","Health and Place","","","","Elsevier BV","2014","","0","","2014","","1571.55"
"","","394","","10.1080/09500340.2014.920934","","2014-04-29","","University of Glasgow","Journal of Modern Optics","","","","Informa UK Limited","2014","","0","","2014","","488.76"
"","","1675.87","","10.1515/aot-2014-0022","","2014-05-02","","University of Glasgow","Advanced Optical Technologies ","","","","Walter de Gruyter GmbH","2014","","0","","2014","","2078.93"
"","","1347.39","USD","10.1364/oe.22.011690","","2014-05-06","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","2014","","1671.45"
"","","1500","","10.1002/hep.27192","","2014-05-08","","University of Glasgow","Hepatology","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","1500","","10.1002/jctb.4434","","2014-05-12","","University of Glasgow"," Journal of Chemical Technology & Biotechnology ","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","1500","","10.1111/1365-2656.12229","","2014-05-13","","University of Glasgow","Journal of Animal Ecology","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","2569.76","USD","10.1074/jbc.m114.568816","","2014-05-14","","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)","2014","","0","","2014","","3187.81"
"","","1295.53","","10.1016/j.scr.2014.05.001","","2014-05-19","","University of Glasgow","Stem Cell Research","","","","Elsevier BV","2014","","0","","2014","","1607.12"
"","","2550","","10.1093/cercor/bhu116","","2014-05-20","","University of Glasgow","Cerebral Cortex","","","","Oxford University Press (OUP)","2014","","0","","2014","","3163.3"
"","","1349.35","USD","10.1364/oe.22.012845","","2014-05-20","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","2014","","1673.88"
"","","1500","","10.1111/ejn.12535","","2014-05-20","","University of Glasgow","European Journal of Neuroscience","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","805.48","EUR","10.3389/fnagi.2014.00113","","2014-05-21","","University of Glasgow","Frontiers in Aging Neuroscience","","","","Frontiers Media SA","2014","","0","","2014","","999.21"
"","","2132.55","EUR","10.1016/j.jclinepi.2014.05.005","","2014-05-22","","University of Glasgow","Journal of Clinical Epidemiology","","","","Elsevier BV","2014","","0","","2014","","2645.45"
"","","1260","","10.1098/rsbl.2014.0148","","2014-05-22","","University of Glasgow","Biology Letters","","","","The Royal Society","2014","","0","","2014","","1563.04"
"","","288.53","JPY","10.2322/tastj.12.pe_57","","2014-05-22","","University of Glasgow","Transactions of JSASS","","","","Aerospace Technology Japan","2014","","0","","2014","","357.92"
"","","1544.31","EUR","10.1016/j.mcn.2014.05.002","","2014-05-23","","University of Glasgow","Molecular and Cellular Neuroscience","","","","Elsevier BV","2014","","0","","2014","","1915.73"
"","","2598.69","USD","10.1074/jbc.m114.561449","","2014-05-25","","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)","2014","","0","","2014","","3223.7"
"","","2100","","10.1093/imamat/hxu029","","2014-05-28","","University of Glasgow","IMA Journal of Applied Mathematics","","","","Oxford University Press (OUP)","2014","","0","","2014","","2605.07"
"","","1772.18","","10.1016/j.jafrearsci.2014.05.014","","2014-05-30","","University of Glasgow","Journal of African Earth Sciences","","","","Elsevier BV","2014","","0","","2014","","2198.41"
"","","1500","","10.1111/1365-2656.12244","","2014-06-02","","University of Glasgow","Journal of Animal Ecology","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","1500","","10.1111/1365-2435.12296","","2014-06-02","","University of Glasgow","Functional Ecology","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","2235","","10.1093/bioinformatics/btu370","","2014-06-06","","University of Glasgow","Bioinformatics","","","","Oxford University Press (OUP)","2014","","0","","2014","","2772.54"
"","","2112","EUR","10.1007/s11214-014-0041-y","","2014-06-09","","University of Glasgow","Space Science Reviews","","","","Springer Nature","2014","","0","","2014","","2619.96"
"","","1706.04","EUR","10.1016/j.comnet.2014.05.013","","2014-06-09","","University of Glasgow","Computer Networks","","","","Elsevier BV","2014","","0","","2014","","2116.36"
"","","1203.6","USD","10.1103/physrevd.90.042001","","2014-06-10","","University of Glasgow","Physical review letters","","","","American Physical Society (APS)","2014","","0","","2014","","1493.08"
"","","1531.2","USD","10.1063/1.4884684","","2014-06-11","","University of Glasgow","APL Materials","","","","AIP Publishing","2014","","0","","2014","","1899.47"
"","","2144.57","EUR","10.1007/s00284-014-0641-5","","2014-06-11","","University of Glasgow","Current Microbiology","","","","Springer Nature","2014","","0","","2014","","2660.36"
"","","2040","","10.1088/0960-1317/24/7/075019","","2014-06-16","","University of Glasgow","Journal of Micromechanics and Microengineering","","","","IOP Publishing","2014","","0","","2014","","2530.64"
"","","1523.45","EUR","10.1016/j.nima.2014.06.046","","2014-06-16","","University of Glasgow","NIMA Proceedings","","","","Elsevier BV","2014","","0","","2014","","1889.86"
"","","976.87","","10.1109/ted.2014.2331368","","2014-06-16","","University of Glasgow","IEEE Transactions on Electron Devices","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","2014","","1211.82"
"","","1500","","10.1111/ijs.12327","","2014-06-16","","University of Glasgow","International Journal of Stroke","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","1620","","10.1136/bmjopen-2014-004916","","2014-06-16","","University of Glasgow","BMJ Open ","","","","BMJ","2014","","0","","2014","","2009.63"
"","","2159.95","EUR","10.1007/s00227-014-2477-8","","2014-06-20","","University of Glasgow","Marine Biology","","","","Springer Nature","2014","","0","","2014","","2679.44"
"","","2040","","10.1088/0953-4075/47/15/155501","","2014-06-20","","University of Glasgow","Journal of Physics B","","","","IOP Publishing","2014","","0","","2014","","2530.64"
"","","2085.1","","10.1007/s00031-014-9281-x","","2014-06-23","","University of Glasgow","Transformation Groups","","","","Springer Nature","2014","","0","","2014","","2586.59"
"","","","","","","","","","","","","","","","","","","","",""
"","","1609.2","","10.2989/16085906.2014.945387","","2014-06-25","","University of Glasgow","African Journal of AIDS Research","","","","Informa UK Limited","2014","","0","","2014","","1996.23"
"","","1500","","10.1111/2041-210x.12225","","2014-06-26","","University of Glasgow","Methods in Ecology and Evolution","","","","Wiley-Blackwell","2014","","0","","2014","","1860.77"
"","","921.6","EUR","10.3389/fendo.2014.00137","","2014-06-27","","University of Glasgow","Frontiers in Endocrinology","","","","Frontiers Media SA","2014","","0","","2014","","1143.25"
"","","976.87","","10.1109/led.2014.2334394","","2014-06-30","","University of Glasgow","Electron Device Letters ","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","2014","","1211.82"
"","","308.27","","10.1182/blood-2013-12-545640","","2014-07-09","","University of Glasgow","British journal of Haematology ","","","","Wiley-Blackwell","2014","","0","","2014","","382.41"
"","","2085.6","EUR","10.1007/s00477-014-0931-2","","2014-07-09","","University of Glasgow","Stochastic Environmental Research and Risk Assessment'","","","","Springer Nature","2014","","0","","2014","","2587.21"
"","","964.21","","10.1016/j.sste.2014.05.001","","2014-07-10","","University of Glasgow","Spatial and Spatio-temporal Epidemiology","","","","Elsevier BV","2014","","0","","2014","","1196.11"
"","","1251.83","EUR","10.3389/fnins.2014.00228","","2014-07-11","","University of Glasgow","","","","","University of Nebraska Press","2014","","0","","2014","","1552.91"
