"","Title","Title.Alternative","Identifier","Publisher","Language","ISSN","EISSN","Keyword","Start.Year","End.Year","Added.on.date","Subjects","Country","Publication.fee","Further.Information","CC.License","Content.in.DOAJ"
"30","Revista de Estudios Jurídicos","Revista de Estudios Juridicos","http://revistaselectronicas.ujaen.es/index.php/rej","University of Jaén","Spanish,English,French,German","1576-124X","","jurisprudence,international law,European law,Spanish law",2008,NA,"2011-02-24T13:05:01Z","Law in general. Comparative and uniform law. Jurisprudence,Law,Law,Law and Political Science","Spain","N","http://revistaselectronicas.ujaen.es/index.php/rej/about/submissions#authorGuidelines","","Yes"
"31","Cultural Studies Review","","http://utsescholarship.lib.uts.edu.au/epress/journals/index.php/csrj","UTSePress","English","1446-8123","1837-8692","cultural studies,gender studies,media and communication,literary studies",2010,NA,"2011-02-02T18:19:49Z","General Works,Multidisciplinary,General Works","Australia","N","http://utsescholarship.lib.uts.edu.au/epress/journals/index.php/csrj/about/submissions#authorGuidelines","by","Yes"
"32","Journal of Global Trends in Pharmaceutical Sciences","","http://WWW.JGTPS.COM","Journal of Global Trends in Pharmaceutical Sciences","English","2230-7346","","compounding medications,pharmacognosy,pharmacokinetics,molecular drug design",2010,NA,"2011-03-17T14:39:51Z","Pharmacy and materia medica,Medicine,Pharmacy and materia medica,Medicine (General),Health Sciences","India","CON","","by-nc-nd","Yes"
"33","Kulturstudier","","http://ojs.statsbiblioteket.dk/index.php/fn/index","Dansk Historisk Fællesråd & Foreningen Danmarks Folkeminder","Danish","1904-5352","","folklore,cultural history",2010,NA,"2011-03-18T11:55:31Z","Ethnology. Social and cultural anthropology,Anthropology,Geography. Anthropology. Recreation,Ethnology,Social Sciences","Denmark","N","http://ojs.statsbiblioteket.dk/index.php/fn/about/submissions#authorGuidelines","","Yes"
"34","Revista Catalana de Dret Públic","Catalan Journal of Public Law","http://www.rcdp.cat","Escola d'Administració Pública de Catalunya","Spanish,Catalan,English","1885-5709","1885-8252","public law,constitutional law,public administration,Catalonia",2005,NA,"2011-03-18T14:15:21Z","Law in general. Comparative and uniform law. Jurisprudence,Law,Law,Law and Political Science","Spain","N","http://revistes.eapc.gencat.cat/index.php/rcdp/about/submissions","by-nc-nd","Yes"
"35","EduSer : Revista de Educação","EduSer : Revista de Educacao","https://www.eduser.ipb.pt/index.php/eduser/index","Instituto Politécnico de Bragança","Portuguese","1645-4774","","teacher training,educational practices",2009,NA,"2011-03-21T12:40:37Z","Education (General),Education,Education,Social Sciences","Portugal","N","https://www.eduser.ipb.pt/index.php/eduser/about/submissions#authorGuidelines","by","Yes"
"36","Sciences Eaux & Territoires : la Revue du IRSTEA","SET : Sciences Eaux et Territoires","http://www.set-revue.fr/","IRSTEA","French,English","2109-3016","1775-3783","water resources,fresh water systems,pollution and environment,land management,rural development",2010,NA,"2011-03-22T11:42:14Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences,Environmental sciences,Geography. Anthropology. Recreation,Environmental Sciences,Earth and Environmental Sciences","France","N","http://www.set-revue.fr/directives-aux-auteurs","","Yes"
"37","Optoelectronics","","http://www.hanspub.org/journal/oe/","Hans Publishers","Chinese","2164-5450","2164-5469","electro-optical engineering,optical systems,optical information processing",2011,NA,"2012-01-13T13:43:00Z","Electrical engineering. Electronics. Nuclear engineering,Technology,Electrical and Nuclear Engineering,Technology and Engineering","United States","Y","http://www.hanspub.org/Journal/ForAuthors.aspx?JournalID=620","","Yes"
"38","Radovi Zavoda za Znanstveni Rad Varaždin","Papers of the Institute for scientific research work in Varaždin","http://hrcak.srce.hr/radovi-zavoda-za-znanstveni-rad-varazdin?lang=hr","Croatian Academy of Sciences and Arts","Croatian,English","0352-9509","1848-7890","music,literature",2006,NA,"2011-03-25T11:27:14Z","General Works,Multidisciplinary,General Works","Croatia","N","http://hrcak.srce.hr/upute/upute_autorima_Radovi_Zavoda_za_znanstveni_rad_-_Varazdin.pdf","","Yes"
"39","Ingeniería y Desarollo","","http://www.redalyc.org/revista.oa?id=852","Universidad del Norte","Spanish,English,Portuguese","0122-3461","2145-9371","civil engineering,mechanical systems,electrical engineering,computer science",2009,NA,"2011-03-25T17:16:44Z","Science (General),Science,Science (General),Science General","Colombia","N","http://redalyc.org/redalyc/media/normas/normcol268.html","","Yes"
"40","Fólio : Revista de Letras","Folio","http://periodicos.uesb.br/index.php/folio","Universidade Estadual do Suodeste da Bahia (UESB)","Portuguese,English,French","1808-3099","2176-4182","language,linguistics,literature,literary theory",2009,NA,"2011-03-30T10:31:13Z","Language and Literature,Languages and Literatures,Philology. Linguistics,Language and Literature,Linguistics,Languages and Literatures","Brazil","N","http://periodicos.uesb.br/index.php/folio/about/submissions#authorGuidelines","","Yes"
"41","Theoretical & Applied Ethics","Theoretical and Applied Ethics","http://www.theoreticalandappliedethics.com","Society for Moral Inquiry","English","2156-7174","","moral philosophy,metaphysics,epistemology",2010,NA,"2011-03-31T09:33:06Z","Ethics,Philosophy. Psychology. Religion,Philosophy,Philosophy and Religion","United States","N","http://www.theoreticalandappliedethics.com/current-issue#!submission-guidelines/c181n","","Yes"
"42","Ulcers","","http://www.hindawi.com/journals/ulc/","Hindawi Publishing Corporation","English","2090-1526","2090-1534","infections,pathologic processes,wounds,ulcers and suppuration",2011,NA,"2011-03-31T12:35:43Z","Pathology,Medicine,Pathology,Medicine (General),Health Sciences","Egypt","Y","http://www.hindawi.com/journals/ulc/apc/","by","Yes"
"43","International Journal of Euro-Mediterranean Studies","Mednarodna Revija za Evro-Mediteranske Studije","http://www.ijems.emuni.si","Euro-Mediterranean University","English","1855-3362","","Euro-Mediterranean region,politics,sociology,economics,human geography,business and management",2008,NA,"2011-03-31T14:42:42Z","International relations,Political science,Political Science,Law and Political Science","Slovenia","N","http://www.emuni.si/press/ISSN/1855-3362/authors.html","by-nc-nd","Yes"
"44","Educação & Realidade","Educacao e Realidade","http://seer.ufrgs.br/educacaoerealidade","Universidade Federal do Rio Grande do Sul","Portuguese","0100-3143","2175-6236","interdisciplinary,philosophy,social sciences,humanities",2006,NA,"2011-03-31T14:50:01Z","Education (General),Education,Education,Social Sciences","Brazil","N","http://seer.ufrgs.br/educacaoerealidade/about/submissions#authorGuidelines","","Yes"
"45","Journal of Emerging Trends in Economics and Management Sciences","JETEMS","http://jetems.scholarlinkresearch.org","Scholarlink Resource Centre","English","2141-7024","","economics,finance,management",2010,NA,"2011-04-01T11:25:16Z","Economic theory. Demography,Social Sciences,Economics,Business and Economics,Management. Industrial management,Industries. Land use. Labor,Social Sciences,Business and Management,Business and Economics","United Kingdom","Y","http://jetems.scholarlinkresearch.org/authorsinstruction.php","","Yes"
"46","Hellenic Journal of Music, Education, and Culture","HeJMEC : Hellenic Journal of Music, Education & Culture","http://www.hejmec.eu","Greek Association of Primary Music Education Teachers","English,Greek","1792-2518","","music education,teaching",2010,NA,"2011-04-04T15:33:48Z","Education (General),Education,Education,Social Sciences,Musical instruction and study,Music and books on Music,Music,Arts and Architecture","Greece","N","http://hejmec.eu/ojs-2.2.4/index.php/HeJMEC/about/submissions#authorGuidelines","","Yes"
"47","Ingeniería Energética","","http://www.cujae.edu.cu/ediciones/REnergetica.asp","Instituto Superior Politécnico José Antonio Echeverría","Spanish","0253-5645","1815-5901","electrical engineering,energy engineering,solar energy",2011,NA,"2011-04-04T16:31:56Z","Electrical engineering. Electronics. Nuclear engineering,Technology,Electrical and Nuclear Engineering,Technology and Engineering","Cuba","N","http://www.cujae.edu.cu/ediciones/intrucciones_autores_REner.htm","","Yes"
"48","L'Atelier","Atelier","http://ojs.u-paris10.fr/index.php/latelier/index","Presses Universitaires de Paris Ouest Nanterre La Défense","French,English","2109-9103","","English-speaking world,humanities,literature,language,arts,theatre,cinema,critical theory",2009,NA,"2011-04-05T11:50:57Z","English language,Language and Literature,Languages and Literatures","France","N","http://ojs.u-paris10.fr/index.php/latelier/about/submissions#authorGuidelines","","Yes"
"49","Pain Research and Treatment","Pain Research & Treatment","http://www.hindawi.com/journals/prt/","Hindawi Publishing Corporation","English","2090-1542","2090-1550","palliative care,pain management",2010,NA,"2011-04-05T16:33:39Z","Medicine (General),Medicine,Medicine (General),Health Sciences","Egypt","Y","http://www.hindawi.com/journals/prt/apc/","by","Yes"
"50","Genetics and Epigenetics","","http://www.la-press.com/genetics--epigenetics-journal-j127","Libertas Academica","English","1179-237X","","DNA methylation,genomic imprinting,paramutation",2010,NA,"2011-04-06T13:00:15Z","Genetics,Biology (General),Science,Genetics,Biology,Biology and Life Sciences","New Zealand","Y","http://www.la-press.com/author_resources.php?folder_id=121","by","Yes"
"51","Australian Slavonic and East European Studies","","http://miskinhill.com.au/journals/asees/","University of Queensland","English,German,Russian","0818-8149","","language,literature,history,political science,art,social science",2004,NA,"2011-04-07T15:33:39Z","Language and Literature,Languages and Literatures","Australia","N","http://miskinhill.com.au/journals/asees/","","Yes"
"52","Energy Science and Technology","EST : Energy Science & Technology","http://www.cscanada.net/index.php/est","Canadian Research & Development Center of Sciences and Cultures","English","1923-8460","1923-8479","power and energy sources,energy conservation,sustainable technology",2011,NA,"2011-04-12T09:37:11Z","Electrical engineering. Electronics. Nuclear engineering,Technology,Electrical and Nuclear Engineering,Technology and Engineering,Mechanical engineering and machinery,Technology,Mechanical Engineering,Technology and Engineering","Canada","CON","http://www.cscanada.net/index.php/est/about/submissions#authorGuidelines","by-nc","Yes"
"53","Revista Opinião Filosófica","Revista Opiniao Filosofica","http://www.abavaresco.com.br/revista/index.php/opiniaofilosofica/index","Sociedade Hegel Brasileira","Portuguese,English","2178-1176","","philosophical theory",2010,NA,"2011-04-13T10:52:54Z","Philosophy (General),Philosophy. Psychology. Religion,Philosophy,Philosophy and Religion","Brazil","N","http://www.abavaresco.com.br/revista/index.php/opiniaofilosofica/about/submissions#authorGuidelines","by","Yes"
"54","Universidad & Empresa","Universidad y Empresa","http://revistas.urosario.edu.co/index.php/empresa/","Universidad del Rosario","Spanish,English","0124-4639","2145-4558","enterprises,management,internationalisation,leadership,innovations",2007,NA,"2011-04-18T17:00:43Z","Business,Commerce,Social Sciences,Business and Management,Business and Economics","Colombia","N","http://revistas.urosario.edu.co/index.php/empresa/about/submissions#authorGuidelines","by","Yes"
"55","Advances in Preventive Medicine","","http://www.hindawi.com/journals/apm/","Hindawi Publishing Corporation","English","2090-3480","2090-3499","preventive medicine,health promotion",2011,NA,"2011-04-19T10:30:23Z","Public aspects of medicine,Medicine,Public Health,Health Sciences","Egypt","Y","http://www.hindawi.com/journals/apm/apc/","by","Yes"
"56","Reviews in Health Care","","http://journals.edizioniseed.it/index.php/rhc","SEEd","Italian,English","2038-6699","2038-6702","medicine,pharmacology",2010,NA,"2011-05-18T12:37:17Z","Public aspects of medicine,Medicine,Public Health,Health Sciences","Italy","N","http://journals.edizioniseed.it/index.php/rhc/about/submissions#authorGuidelines","by-nc-nd","Yes"
"57","Coluna/Columna","Coluna Columna","http://www.scielo.br/scielo.php?script=sci_serial&pid=1808-1851&lng=en&nrm=iso","Sociedade Brasileira de Coluna (SBC)","Portuguese,Spanish,English","1808-1851","2177-014X","vertebral column,spine surgery",2009,NA,"2011-04-21T13:09:34Z","Orthopedic surgery,Surgery,Medicine,Surgery,Medicine (General),Health Sciences","Brazil","N","http://www.scielo.br/revistas/coluna/iinstruc.htm","by-nc","Yes"
"58","Finlay : Revista de Enfermedades no Transmisibles","","http://www.revfinlay.sld.cu/index.php/finlay/index","Universidad de las Ciencias Médicas de Cienfuegos","Spanish","2221-2434","","chronic diseases,non-communicable diseases",2011,NA,"2011-04-26T12:01:21Z","Internal medicine,Medicine,Internal medicine,Medicine (General),Health Sciences","Cuba","N","http://www.revfinlay.sld.cu/index.php/finlay/about/editorialPolicies#custom-0","","Yes"
"59","Revista CES Derecho","","http://revistas.ces.edu.co/index.php/derecho","Universidad CES","Spanish","2145-7719","","law",2010,NA,"2011-04-26T13:34:46Z","Law in general. Comparative and uniform law. Jurisprudence,Law,Law,Law and Political Science","Colombia","N","http://revistas.ces.edu.co/index.php/derecho/about/submissions#authorGuidelines","","Yes"
"60","Prim@ Facie","Prima Facie","http://periodicos.ufpb.br/ojs2/index.php/primafacie/index","Universidade Federal da Paraíba","Portuguese,Spanish,French,English","1678-2593","","law and jurisprudence,history,political science",2002,NA,"2011-04-26T16:06:33Z","Law in general. Comparative and uniform law. Jurisprudence,Law,Law,Law and Political Science","Brazil","N","http://periodicos.ufpb.br/ojs2/index.php/primafacie/about/submissions#authorGuidelines","","Yes"
"61","Studia Universitatis Petru Maior. Philologia","","http://www.upm.ro/cercetare/studia%20website/index.html","Editura Universitatii Petru Maior","Romanian,English,French","1582-9960","","literary criticism,comparative literature,linguistics,cultural studies",2002,NA,"2011-04-27T10:21:43Z","Language and Literature,Languages and Literatures","Romania","N","http://www.upm.ro/cercetare/studia%20website/html/authors.html","","Yes"
"62","American Journal of Experimental Agriculture","AJEA","http://www.sciencedomain.org/journal-home.php?id=2","Sciencedomain International","English","2231-0606","","agriculture,agronomy,plant breeding,biology",2011,NA,"2011-04-27T10:49:01Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences","India","Y","http://www.sciencedomain.org/page.php?id=publication-charge","by","Yes"
"63","Anadolu University Journal of Science and Technology - C. Life Sciences and Biotechnology","BTD-C : Anadolu University Journal of Science & Technology C. Life Sciences & Biotechnology","http://btd.anadolu.edu.tr/index.php/BTDC/index","Anadolu University","Turkish,English","2146-0264","2146-0213","life sciences,biology,biotechnology",2011,NA,"2011-04-29T10:38:43Z","Biology (General),Science,Biology,Biology and Life Sciences,Biotechnology,Chemical technology,Technology,Biotechnology,Life Sciences,Biology and Life Sciences","Turkey","N","http://btd.anadolu.edu.tr/index.php/BTDC/about/submissions#authorGuidelines","by-nc-nd","Yes"
"64","Cahiers d'Études du Religieux","Cahiers d Etudes du Religieux","http://cerri.revues.org/","Maison des Sciences de l'Homme","French","1760-5776","","religious studies,christianity,history of religion",2007,NA,"2011-04-29T11:29:48Z","Religions. Mythology. Rationalism,Philosophy. Psychology. Religion,Religion,Philosophy and Religion","France","N","http://cerri.revues.org/523","","Yes"
"65","Filozofski Vestnik International","","http://filozofskivestnikonline.com/","Slovenian Academy of Sciences and Arts","English,French,German,Slovene","0353-4510","1581-1239","contemporary political philosophy,epistemology,philosophy of science,cultural critique,ethics",2008,NA,"2011-04-29T15:21:41Z","Philosophy (General),Philosophy. Psychology. Religion,Philosophy,Philosophy and Religion","Slovenia","N","http://filozofskivestnikonline.com/index.php/journal/about/submissions#authorGuidelines","","Yes"
"66","Journal of Emerging Trends in Educational Research and Policy Studies","JETERAPS","http://jeteraps.scholarlinkresearch.org","Scholarlink Resource Centre","English","2141-6990","","education and leadership,educational policy",2010,NA,"2011-05-02T14:59:37Z","Education (General),Education,Education,Social Sciences","United Kingdom","Y","http://jeteraps.scholarlinkresearch.org/authorsinstruction.php","","Yes"
"67","Acta Pediátrica Portuguesa","APP : Acta Pediatrica Portuguesa","http://www.spp.pt/conteudos/default.asp?ID=25","Sociedade Portuguesa de Pediatria","Portuguese","0873-9781","","pediatrics",2007,NA,"2011-05-04T09:44:37Z","Pediatrics,Medicine,Pediatrics,Medicine (General),Health Sciences","Portugal","N","http://www.spp.pt/UserFiles/File/APP/Normas%20Publicacao_39_2.pdf","by-nc-sa","Yes"
"68","Saúde e Pesquisa","Saude & Pesquisa","http://www.cesumar.br/pesquisa/periodicos/index.php/saudpesq/index","Centro Universitário de Maringá","Portuguese,English","1983-1870","2176-9206","health sciences,biology,biomedicine",2008,NA,"2011-05-05T14:37:07Z","Medicine (General),Medicine,Medicine (General),Health Sciences,Biology (General),Science,Biology,Biology and Life Sciences","Brazil","N","http://www.cesumar.br/pesquisa/periodicos/index.php/saudpesq/about/submissions#authorGuidelines","","Yes"
