Institution;Period;DOI;journal_full_title;ISSN;Publisher;DOAJ (true/false);Is_hybrid (TRUE/FALSE) PAGATO;Total Amount (includes VAT and additional fee) (euro);payment description
Veneto Institute of Oncology IOV IRCCS;2022;10.1097/CMR.0000000000000841;Melanoma Research;0960-8931;LIPPINCOTT WILLIAMS & WILKINS;false;True;3.677,25;OA charge
Veneto Institute of Oncology IOV IRCCS;2022;10.1007/s11523-022-00892-z;Targeted Oncology;1776-2596;Springer;false;True;3.958,90;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/cancers14133109;Cancers;2072-6694;MDPI;true;False;2.589,74;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/bs12070211;Behavioral Sciences;2076-328X;MDPI;true;False;1.510,69;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/bs12070216;Behavioral Sciences;2076-328X;MDPI;true;False;1.510,69;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3389/fnhum.2022.916227;Frontiers in Human Neuroscience;1662-5161;Frontiers;true;False;1.988,30;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3389/fonc.2022.947479;Frontiers in Oncology;2234-943X;Frontiers;true;False;3.191,03;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3389/fonc.2022.960751;Frontiers in Oncology;2234-943X;Frontiers;true;False;3.176,49;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.21037/jtd-22-745;Journal of Thoracic Disease;2077-6624;AME Publishing Group;false;False;1.665,13;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1016/j.amsu.2022.104320;Annals of Medicine and Surgery;2049-0801;Elsevier;false;False;1.390,80;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1186/s13046-022-02481-4;Journal of experimental & clinical research ;1756-9966;BMC;true;False;3.592,90;APC 
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/cancers14174153;Cancers ;2072-6694;MDPI;true;False;2.231,97;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1016/j.ctrv.2022.102462;Cancer Treatment Reviews;0305-7372;Elsevier;false;True;4.355,40;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1002/acm2.13781;Journal of Applied Clinical Medical Physics;1526-9914;Wiley;true;False;732,00;not specified
Veneto Institute of Oncology IOV IRCCS;2022;10.3892/ol.2022.13586;Oncology Letters;1792-1074;Spandidos Publ LTD;false;True;1.085,80;Fixed charge (OA)
Veneto Institute of Oncology IOV IRCCS;2022;10.1038/s41416-022-01978-1;British Journal of Cancer;0007-0920;Springer Nature;false;True;4.434,70;Single APC+ Admin Fee
Veneto Institute of Oncology IOV IRCCS;2022;10.2147/PPA.S381812;Patient Preference and Adherence;1177-889X;DOVE MEDICAL PRESS LTD;true;False;3.142,72;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1038/s41416-022-02050-8;British Journal of Cancer;0007-0920;Springer Nature;false;True;3.635,00;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1016/j.esmoop.2022.100506;ESMO Open;2059-7029;Elsevier;true;False;2.562,00;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/cancers14215372;Cancers;2072-6694;MDPI;true;False;1.485,85;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3389/fonc.2022.989713;Frontiers in Oncology;2234-943X;Frontiers;true;False;3.255,66;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1186/s40359-022-00966-7;BMC Psychology;2050-7283;BMC;true;False;1.518,90;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1038/s41597-022-01715-6;Scientific Data;2052-4463;Springer Nature;true;False;2.250,90;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.21037/gs-22-290;Gland Surgery;2227-684X;AME Publishing Group;false;False;1.641,94;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1186/s12940-022-00944-x;Environmantal Health;1476-069X;BMC;true;False;3.104,90;APC+Admin fee
Veneto Institute of Oncology IOV IRCCS;2022;10.3389/fonc.2022.964219;Frontiers in Oncology;2234-943X;Frontiers;true;False;2.057,64;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/cancers14225700;Cancers ;2072-6694;MDPI;true;False;2.215,22;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1002/cam4.5537;Cancer Medicine;2045-7634;Wiley;true;False;1.878,80;not specified
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/ijms24010599;International Journal of Molecular Sciences;1422-0067;MDPI;true;False;2.554,66;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1097/MS9.0000000000000138;Annals of Medicine and Surgery;2049-0801;Wolters Kluwer;false;False;1.523,04;APC
