id;Institution;Period;Publisher;Journal;DOI;is_hybrid;Country;EURO;URL;Kommentare: Bitte prüfen
;;2019;Frontiers;Frontiers in public health;10.3389/fpubh.2020.00046;;;1155,99;;
;;2020;PeerJ Inc;PeerJ;10.7717/peerj.8605;;;498,13;;
;;2020;"F1000Research";F1000Research;10.12688/f1000research.23034.1;;;551,27;;
;;2020;Elsevier;HeartRhythm Case Reports;10.1016/j.hrcr.2020.03.010;;;616,31;;
;;2020;Anticancer Research USA;In vivo;10.21873/invivo.11854;;;753,78;;
;;2020;SAGE;Pulmonary Circulation;10.1177/2045894020915831;;;800;;
;;2020;0;Climate of the Past;10.5194/cp-16-409-2020;;;1438,71;;
;;2020;MDPI;Biomolecules;10.3390/biom10030386;;;1492,33;;
;;2020;MDPI;Journal of Clinical Medicine;10.3390/jcm9030617;;;1501,22;;
;;2020;MDPI;International Journal of Environmental Research and Public Health ;10.3390/ijerph17041297;;;1502,11;;
;;2020;MDPI;International Journal of Molecular Sciences;10.3390/ijms21041187;;;1502,11;;
;;2020;MDPI;Water;10.3390/w12030743;;;1508,05;;
;;2020;MDPI;Biomolecules;10.3390/biom10040558;;;1508,73;;
;;2020;AME Publ. Comp.;Hepatobiliary Surgery and Nutrition;10.21037/hbsn.2020.03.22;;;1516,82;;
;;2020;Dartmouth Journal Services;Blood Advances;10.1182/bloodadvances.2019000955;;;1608,11;;
;;2020;MDPI;Journal of Clinical Medicine;10.3390/jcm9030714;;;1675,62;;
;;2020;MDPI;Molecules;10.3390/molecules25061341;;;1676,38;;
;;2020;MDPI;International Journal of Molecular Sciences;10.3390/ijms21051639;;;1681,53;;
;;2020;MDPI;Cells;10.3390/cells9040918;;;1683,08;;
;;2020;MDPI;Materials;10.3390/ma13061392;;;1685,36;;
;;2020;MDPI;MDPI Materials (Journal of manufacturing and materials processing);10.3390/ma13071783;;;1685,4;;
;;2020;MDPI;International Journal of Molecular Sciences;10.3390/ijms21062161;;;1687,43;;
;;2020;MDPI;Journal of Clinical Medicine;10.3390/jcm9030893;;;1687,43;;
;;2020;MDPI;Materials;10.3390/ma13071519;;;1691,1;;
;;2020;Plos;PLOS One;10.1371/journal.pone.0228342;;;1709,96;;
;;2020;Plos;PLOS ONE;10.1371/journal.pone.0230252;;;1709,96;;
;;2020;Plos;PLOS ONE;10.1371/journal.pone.0231669;;;1715,67;;
;;2020;Springer Nature;Scientific Reports;10.1038/s41598-020-61267-w;;;1868,3;;
;;2020;Springer Nature;Scientific Reports;10.1038/s41598-020-62096-7;;;1868,3;;
;;2020;Springer Nature;Scientific Reports;10.1038/s41598-020-62416-x;;;1868,3;;
;;2020;Taylor & Francis;Arctic, Antarctic and Alpine Research;10.1080/15230430.2019.1704347;;;1904;;
;;2020;Plos;PLOS Medicine;10.1371/journal.pmed.1003054;;;1929,79;;
;;2020;Dove;Patient Preference and Adherence;10.2147/PPA.S236964;;;1999,2;;
;;2020;Dove;Therapeutics and Clinical Risk Management;10.2147/TCRM.S235235;;;1999,2;;
;;2020;Taylor & Francis;International Journal of Hyperthermia;10.1080/02656736.2020.1739763;;;2127,92;;
;;2020;BMC;BMC Musculoskeletal Disorders;10.1186/s12891-020-03223-3;;;1894,48;;
;;2020;BMC;BMC Medical Ethics;10.1186/s12910-020-0463-x;;;1123,36;;
;;2020;BMC;Journal of Orthopaedic Surgery and Research;10.1186/s13018-020-01611-y;;;1894,48;;
;;2020;Frontiers;Frontiers in Cardiovascular Medicine;10.3389/fcvm.2020.00013;;;1900,48;;
;;2020;Frontiers;Frontiers in Immunology;10.3389/fimmu.2020.00564;;;2007,04;;
;;2020;Frontiers;Frontiers in immunology;10.3389/fimmu.2020.00664;;;2007,05;;
;;2020;Frontiers;Frontiers in Immunology;10.3389/fimmu.2020.00892;;;1459,71;;
;;2020;Frontiers;Frontiers in Oncology;10.3389/fonc.2020.00568;;;2007,05;;
;;2020;Frontiers;Frontiers in Oncology;10.3389/fonc.2020.00693;;;1986,54;;
;;2020;Frontiers;Frontiers in Physics;10.3389/fphy.2020.00188;;;1928,92;;
;;2020;Frontiers;Frontiers in Physiology;10.3389/fphys.2020.00443;;;1986,54;;
;;2020;Frontiers;Frontiers in political science;10.3389/fpos.2020.00001;;;964,46;;
;;2020;Frontiers;Frontiers in Psychiatry;10.3389/fpsyt.2020.00120;;;2010,17;;
