institution;period;PMCID;PMID;DOI;Publisher;Journal title;ISSN;euro;is_hybrid
Wellcome Trust;2014;PMC4072726;24797658;10.1021/la5004353;American Chemical Society;Langmuir;0743-7463, 1520-5827;1731.20;TRUE
Wellcome Trust;2014;PMC4027624;24900839;10.1021/ml4004588;American Chemical Society;Journal of Medicinal Chemistry;1948-5875;1741.88;TRUE
Wellcome Trust;2014;;25122550;10.1021/sb500233u;American Chemical Society;ACS Synthetic Biology;2161-5063;1654.86;TRUE
Wellcome Trust;2014;;24001177;10.1021/ol402225d;American Chemical Society;Organic Letters;1523-7060, 1523-7052;2744.05;TRUE
;;;;;;;;;
Wellcome Trust;2014;PMC4072702;24742280;10.1021/am501613c;American Chemical Society;ACS Applied Materials and Interfaces;1944-8244, 1944-8252;3517.21;TRUE
Wellcome Trust;2014;PMC3977574;24397848;10.1021/cb400791u;American Chemical Society;ACS Chemical Biology;1554-8929, 1554-8937;2994.23;TRUE
Wellcome Trust;2014;PMC3833278;23534475;10.1021/cb300729y;American Chemical Society;ACS Chemical Biology;1554-8929, 1554-8937;2335.28;TRUE
Wellcome Trust;2014;PMC3971954;;10.1021/cb5000949;American Chemical Society;ACS Chemical Biology;1554-8929, 1554-8937;1515.97;TRUE
Wellcome Trust;2014;PMC4068218;24730530;10.1021/cb500129t;American Chemical Society;ACS Chemical Biology;1554-8929, 1554-8937;1500.87;TRUE
Wellcome Trust;2014;PMC3842852;23646896;10.1021/ac400646m;American Chemical Society;Analytical Chemistry;0003-2700, 1520-6882;2749.06;TRUE
Wellcome Trust;2014;PMC3929132;24397559;10.1021/ac403653q;American Chemical Society;Analytical Chemistry;0003-2700, 1520-6882;1780.35;TRUE
Wellcome Trust;2014;PMC3789254;23971744;10.1021/ac402081u;American Chemical Society;Analytical Chemistry;0003-2700, 1520-6882;1186.35;TRUE
Wellcome Trust;2014;PMC4180279;25188201;10.1021/bi500568v;American Chemical Society;Biochemistry;0006-2960, 1520-4995;3305.92;TRUE
Wellcome Trust;2014;PMC3922039;24404958;10.1021/bi401193w;American Chemical Society;Biochemistry;0006-2960, 1520-4995;3043.04;TRUE
Wellcome Trust;2014;PMC3806149;24044352;10.1021/bi400398t;American Chemical Society;Biochemistry;0006-2960, 1520-4995;2683.11;TRUE
Wellcome Trust;2014;PMC4024063;24304423;10.1021/ic402233g;American Chemical Society;Inorganic  Chemistry ;0020-1669, 1520-510X;1736.12;TRUE
Wellcome Trust;2014;PMC3850244;24215616;10.1021/ic401783c;American Chemical Society;Inorganic Chemistry;0020-1669, 1520-510X;1133.55;TRUE
Wellcome Trust;2014;PMC4167384;24588644;10.1021/bi5000299;American Chemical Society;Journal of Biological Chemistry;0006-2960, 1520-4995;2981.16;TRUE
Wellcome Trust;2014;PMC3864263;24353479;10.1021/ct4005933;American Chemical Society;Journal of CHEM THEORY COMPUT;1549-9618, 1549-9626;2303.98;TRUE
Wellcome Trust;2014;PMC3954685;24015767;10.1021/jm400362b;American Chemical Society;Journal of Medicinal Chemistry;0022-2623, 1520-4804;3033.13;TRUE
Wellcome Trust;2014;PMC4136963;25007262;10.1021/jm500483b;American Chemical Society;Journal of Medicinal Chemistry;0022-2623, 1520-4804;2991.64;TRUE
Wellcome Trust;2014;PMC4010550;24601592;10.1021/jm401881q;American Chemical Society;Journal of Medicinal Chemistry;0022-2623, 1520-4804;2921.45;TRUE
Wellcome Trust;2014;PMC4207131;25226087;10.1021/jm501037u;American Chemical Society;Journal of Medicinal Chemistry;0022-2623, 1520-4804;1806.39;TRUE
Wellcome Trust;2014;PMC4099174;24805946;10.1021/jm500361r;American Chemical Society;Journal of Medicinal Chemistry;0022-2623, 1520-4804;1776.73;TRUE
Wellcome Trust;2014;PMC3906316;24313754;10.1021/jm401568s;American Chemical Society;Journal of Medicinal Chemistry;0022-2623, 1520-4804;1156.28;TRUE
Wellcome Trust;2014;PMC3756531;23763625;10.1021/jp4042233;American Chemical Society;Journal of Physical Chemistry B;1520-6106, 1520-5207;1446.50;TRUE
Wellcome Trust;2014;PMC3971760;24450425;10.1021/pr401043r;American Chemical Society;Journal of Proteome Research;1535-3893, 1535-3907;3556.65;TRUE
Wellcome Trust;2014;PMC4227305;25181601;10.1021/pr5006394;American Chemical Society;Journal of Proteome Research;1535-3893, 1535-3907;3305.92;TRUE
Wellcome Trust;2014;PMC4052807;24792668;10.1021/pr401209w;American Chemical Society;Journal of Proteome Research;1535-3893, 1535-3907;1868.46;TRUE
Wellcome Trust;2014;PMC4017606;24679070;10.1021/ja4126092;American Chemical Society;Journal of the American Chemical Society;0002-7863, 1520-5126;3479.86;TRUE
Wellcome Trust;2014;PMC4183622;25111182;10.1021/ja505584f;American Chemical Society;Journal of the American Chemical Society;0002-7863, 1520-5126;1845.30;TRUE
Wellcome Trust;2014;PMC3926704;24171457;10.1021/ja408184x;American Chemical Society;Journal of the American Chemical Society;0002-7863, 1520-5126;1475.16;TRUE
Wellcome Trust;2014;PMC3759167;23510407;10.1021/ja308852b;American Chemical Society;Journal of the American Chemical Society;0002-7863, 1520-5126;807.92;TRUE
Wellcome Trust;2014;PMC3776562;23301700;10.1021/ja309527h;American Chemical Society;Journal of the American Chemical Society;0002-7863, 1520-5126;807.92;TRUE
Wellcome Trust;2014;PMC4065163;24447311;10.1021/la403983b;American Chemical Society;Langmuir;0743-7463, 1520-5827;1455.64;TRUE
Wellcome Trust;2014;PMC4092024;24884378;10.1021/nl501870p;American Chemical Society;Nano Letters;1530-6984, 1530-6992;2995.29;TRUE
Wellcome Trust;2014;PMC3821731;24090448;10.1021/jp406818t;American Chemical Society;Physical Chemistry;1520-6106, 1520-5207;1186.94;TRUE
Wellcome Trust;2014;PMC3913299;24030221;10.1378/chest.13-0835;American College of Chest Physicians;Chest;0012-3692, 1931-3543;4834.14;TRUE
Wellcome Trust;2014;PMC4042510;24457412;10.1378/chest.13-1567;American College of Chest Physicians;Chest;0012-3692, 1931-3543;4459.40;TRUE
Wellcome Trust;2014;PMC4077410;24556715;10.1378/chest.13-2247;American College of Chest Physicians;Chest;0012-3692, 1931-3543;4396.01;TRUE
Wellcome Trust;2014;PMC4285081;25103335;10.1378/chest.14-0764;American College of Chest Physicians;Chest;0012-3692, 1931-3543;4294.79;TRUE
;;;;;;;;;
Wellcome Trust;2014;;24679936;10.3168/jds.2013-7087;AMERICAN DAIRY SCIENCE ASSOCIATION;Journal of Dairy Science;0022-0302, 1525-3198;2507.81;TRUE
Wellcome Trust;2014;;24913646;10.3168/jds.2014-8036;AMERICAN DAIRY SCIENCE ASSOCIATION;Journal of Dairy Science;0022-0302, 1525-3198;1275.05;TRUE
Wellcome Trust;2014;PMC3581222;23139357;10.2337/db12-0819;American Diabetes Association;Diabetes Journal;0012-1797, 1939-327X;434.93;TRUE
Wellcome Trust;2014;PMC3742863;23720349;10.1152/ajprenal.00127.2013;American Physiological Society;American Journal of Physiology - Renal Physiology;1931-857X, 1522-1466;2287.19;TRUE
Wellcome Trust;2014;PMC3962639;24464758;10.1152/ajpheart.00591.2013;American Physiological Society;American Journal of Physiology: Heart & Circulatory Physiology ;0363-6135, 1522-1539;1777.81;TRUE
;;;;;;;;;
;;;;;;;;;
Wellcome Trust;2014;PMC3921400;24259545;10.1152/jn.00378.2013;American Physiological Society;Journal of Neurophysiology;0022-3077, 1522-1598;1787.56;TRUE
Wellcome Trust;2014;PMC4044345;24572094;10.1152/jn.00935.2012;American Physiological Society;Journal of Neurophysiology;0022-3077, 1522-1598;1759.25;TRUE
Wellcome Trust;2014;PMC4254885;25122704;10.1152/jn.00350.2014;American Physiological Society;Journal of Neurophysiology;0022-3077, 1522-1598;1748.50;TRUE
Wellcome Trust;2014;PMC4122698;25085609;10.1152/jn.00617.2013;American Physiological Society;Journal of Neurophysiology;0022-3077, 1522-1598;1453.56;TRUE
Wellcome Trust;2014;PMC4274920;25098965;10.1152/jn.00377.2013;American Physiological Society;Journal of Neurophysiology;0022-3077, 1522-1598;1250.93;TRUE
Wellcome Trust;2014;;23819805;10.1094/MPMI-05-13-0155-R;American Phytopathological Society;Molecular Plant-Microbe Interactions;0894-0282;1883.35;TRUE
Wellcome Trust;2014;PMC3601404;22420046;10.1176/appi.ajp.2011.11040551;American Psychiatric Publishing;American Journal of Psychiatry;0002-953X, 1535-7228;2812.54;TRUE
Wellcome Trust;2014;PMC3601405;22420048;10.1176/appi.ajp.2011.11060822;American Psychiatric Publishing;American Journal of Psychiatry;0002-953X, 1535-7228;2812.54;TRUE
Wellcome Trust;2014;PMC3518372;22775126;10.1037/a0028705;American Psychological Association;Emotion;1528-3542, 1931-1516;3799.01;TRUE
Wellcome Trust;2014;PMC3933215;20141300;10.1037/a0016825;American Psychological Association;Emotion;1528-3542, 1931-1516;2643.40;TRUE
Wellcome Trust;2014;PMC3506203;22288906;10.1037/a0026847;American Psychological Association;Journal of Abnormal Psychology;0021-843X, 1939-1846;3628.49;TRUE
Wellcome Trust;2014;PMC3933214;23855989;10.1037/a0033751;American Psychological Association;Journal of Consulting and Clinical Psychology;0022-006X, 1939-2117;2187.00;TRUE
Wellcome Trust;2014;PMC3793901;23244045;10.1037/a0030947;American Psychological Association;Journal of Experimental Psychology: Human Perception and Performance;0096-1523, 1939-1277;3233.60;TRUE
Wellcome Trust;2014;PMC4046885;24773436;10.1037/a0036280;American Psychological Association;Behavioral Neuroscience;0735-7044, 1939-0084;3676.91;TRUE
Wellcome Trust;2014;PMC4105316;24956013;10.1037/bne0000001;American Psychological Association;Behavioral Neuroscience;0735-7044, 1939-0084;3669.09;TRUE
Wellcome Trust;2014;PMC4105319;24933661;10.1037/a0037055;American Psychological Association;Behavioral Neuroscience;0735-7044, 1939-0084;3531.63;TRUE
Wellcome Trust;2014;PMC3906839;24001245;10.1037/a0032727;American Psychological Association;Health Psychology;0278-6133, 1930-7810;3780.01;TRUE
Wellcome Trust;2014;PMC3920088;24001244;10.1037/a0032740;American Psychological Association;Health Psychology;0278-6133, 1930-7810;3780.01;TRUE
Wellcome Trust;2014;PMC4312136;25133822;10.1037/hea0000088;American Psychological Association;Health Psychology;0278-6133, 1930-7810;3456.09;TRUE
Wellcome Trust;2014;PMC3964149;24294837;10.1037/a0035036;American Psychological Association;Journal of Consulting and Clinical Psychology;0022-006X, 1939-2117;2916.00;TRUE
Wellcome Trust;2014;PMC3906803;23915127;10.1037/a0033626;American Psychological Association;Journal of Experimental Psychology: General;0096-3445, 1939-2222;3002.04;TRUE
Wellcome Trust;2014;PMC3906798;23855494;10.1037/a0033650;American Psychological Association;Journal of Experimental Psychology: General;0096-3445, 1939-2222;2997.78;TRUE
Wellcome Trust;2014;PMC4035130;24512609;10.1037/a0036013;American Psychological Association;Journal of Experimental Psychology: Human Perception and Performance;0096-1523, 1939-1277;3611.45;TRUE
Wellcome Trust;2014;;24922137;10.2105/AJPH.2013.301858;American Public Health Association;American Journal of Public Health;0090-0036, 1541-0048;1820.52;TRUE
;;;;;;;;;
Wellcome Trust;2014;PMC3861729;24043423;10.1074/mcp.M113.032367;American Society for Biochemistry and Molecular Biology;Molecular and Cellular Proteomics;1535-9476, 1535-9484;1526.00;TRUE
Wellcome Trust;2014;PMC3820929;23893837;10.1074/mcp.M113.028563;American Society for Biochemistry and Molecular Biology;Molecular and Cellular Proteomics ;1535-9476, 1535-9484;1502.07;TRUE
Wellcome Trust;2014;PMC4022860;24668806;10.1074/jbc.M113.532812;American Society for Biochemistry and Molecular Biology;Biological Chemistry;0021-9258, 1083-351X;1456.10;TRUE
Wellcome Trust;2014;PMC3894356;24297181;10.1074/jbc.m113.512335;American Society for Biochemistry and Molecular Biology;Biological Chemistry;0021-9258, 1083-351X;1350.72;TRUE
Wellcome Trust;2014;PMC4223295;25217636;10.1074/jbc.M114.604892;American Society for Biochemistry and Molecular Biology;Biological Chemistry;0021-9258, 1083-351X;1146.61;TRUE
Wellcome Trust;2014;PMC4139204;24920672;10.1074/jbc.m114.558940;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;2443.00;TRUE
Wellcome Trust;2014;PMC3979372;24550396;10.1074/jbc.M114.555029;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;2401.92;TRUE
Wellcome Trust;2014;PMC3873535;24217250;10.1074/jbc.M113.528000;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;2098.43;TRUE
Wellcome Trust;2014;PMC3814787;24045937;10.1074/jbc.m113.502146;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1811.44;TRUE
Wellcome Trust;2014;PMC3887192;24196962;10.1074/jbc.M113.522110;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1808.52;TRUE
Wellcome Trust;2014;PMC3887193;24214983;10.1074/jbc.m113.515767;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1790.72;TRUE
Wellcome Trust;2014;PMC3887190;24273165;10.1074/jbc.M113.529099;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1789.82;TRUE
Wellcome Trust;2014;PMC3887218;24235150;10.1074/jbc.m113.515445;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1787.54;TRUE
Wellcome Trust;2014;PMC3937625;24403061;10.1074/jbc.m113.529305;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1782.68;TRUE
Wellcome Trust;2014;PMC3924271;24371134;10.1074/jbc.M113.523365;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1769.98;TRUE
Wellcome Trust;2014;PMC4162157;25070889;10.1074/jbc.M114.580365;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1766.02;TRUE
Wellcome Trust;2014;PMC4175358;25100731;10.1074/jbc.M114.578435;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1765.18;TRUE
Wellcome Trust;2014;PMC3937683;24446451;10.1074/jbc.M113.522623;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1763.58;TRUE
Wellcome Trust;2014;PMC4047408;24778189;10.1074/jbc.M114.566679;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1738.15;TRUE
Wellcome Trust;2014;PMC4155686;25012658;10.1074/jbc.M114.577338;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1716.45;TRUE
Wellcome Trust;2014;PMC3814743;24043619;10.1074/jbc.M113.475574;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1531.72;TRUE
Wellcome Trust;2014;PMC3814758;24064211;10.1074/jbc.M113.491928;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1531.72;TRUE
Wellcome Trust;2014;PMC4106349;24895121;10.1074/jbc.M114.574624;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1517.10;TRUE
Wellcome Trust;2014;PMC4192483;25147180;10.1074/jbc.M114.572297;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1515.12;TRUE
Wellcome Trust;2014;PMC3961690;24469455;10.1074/jbc.M113.513457;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1507.78;TRUE
Wellcome Trust;2014;PMC3795262;24005673;10.1074/jbc.M113.477422;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1504.22;TRUE
Wellcome Trust;2014;PMC3879539;24257749;10.1074/jbc.M113.501833;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1493.21;TRUE
Wellcome Trust;2014;PMC4132801;24942743;10.1074/jbc.M114.563353;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1492.18;TRUE
Wellcome Trust;2014;PMC3979416;24497639;10.1074/jbc.M113.523019;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1477.04;TRUE
Wellcome Trust;2014;PMC3814755;24030822;10.1074/jbc.M113.503300;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1440.76;TRUE
Wellcome Trust;2014;PMC4118103;24942733;10.1074/jbc.M113.528463;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1424.22;TRUE
Wellcome Trust;2014;PMC4118132;24928504;10.1074/jbc.m114.550657;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1325.57;TRUE
Wellcome Trust;2014;PMC4059138;24790092;10.1074/jbc.M113.539114;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1310.78;TRUE
Wellcome Trust;2014;PMC4031500;24706754;10.1074/jbc.m113.529578;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1308.29;TRUE
Wellcome Trust;2014;PMC4036194;24567321;10.1074/jbc.m113.527994;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1308.29;TRUE
Wellcome Trust;2014;PMC4047413;24753245;10.1074/jbc.M114.558932;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1302.09;TRUE
Wellcome Trust;2014;PMC4047414;24753248;10.1074/jbc.M114.559047;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1302.09;TRUE
Wellcome Trust;2014;PMC4132792;24958724;10.1074/jbc.m114.557900;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1283.91;TRUE
Wellcome Trust;2014;PMC3961637;24459149;10.1074/jbc.m113.545384;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1169.04;TRUE
Wellcome Trust;2014;PMC3887213;24275654;10.1074/jbc.M113.507913;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1124.16;TRUE
Wellcome Trust;2014;PMC3974974;24550402;10.1074/jbc.M114.550558;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1088.78;TRUE
Wellcome Trust;2014;PMC3734580;23660474;10.1074/mcp.M113.028589;American Society for Biochemistry and Molecular Biology;Molecular and Cellular Proteomics;1535-9476, 1535-9484;1888.07;TRUE
Wellcome Trust;2014;PMC3843076;24106277;10.1074/jbc.M113.510917;American Society for Biochemistry and Molecular Biology ;Journal of Biological Chemistry;0021-9258, 1083-351X;1810.29;TRUE
Wellcome Trust;2014;PMC4151218;25105365;10.1172/JCI74281;American Society for Clinical Investigation;The Journal of Clinical Investigation;0021-9738, 1558-8238;3220.79;FALSE
Wellcome Trust;2014;;25078692;10.1128/jvi.01567-14;American Society for Microbiology;Journal of Virology ;0022-538X, 1098-5514;1465.34;TRUE
Wellcome Trust;2014;PMC3870257;24327341;10.1128/mBio.00856-13;American Society for Microbiology;MBIO;2150-7511;1661.33;FALSE
Wellcome Trust;2014;PMC3910970;24376004;10.1128/EC.00269-13;American Society for Microbiology;Eukaryotic Cell;1535-9778, 1535-9786;1485.10;TRUE
Wellcome Trust;2014;PMC3719633;23698529;10.1128/JCM.00066-13;American Society for Microbiology;Journal of Clinical Microbiology;0095-1137, 1098-660X;1587.01;TRUE
Wellcome Trust;2014;PMC3592016;23319051;10.1128/mcb.01525-12;American Society for Microbiology;Molecular and Cellular Biology;0270-7306, 1098-5549;1927.04;TRUE
Wellcome Trust;2014;PMC4019063;24687851;10.1128/mcb.00197-14;American Society for Microbiology;Molecular and Cellular Biology;0270-7306, 1098-5549;1762.20;TRUE
Wellcome Trust;2014;PMC3957857;24366732;10.1128/aac.02024-13;American Society for Microbiology;Antimicrobial Agents and Chemotherapy;0066-4804, 1098-6596;2970.22;TRUE
Wellcome Trust;2014;PMC3993240;24550326;10.1128/AAC.00122-14;American Society for Microbiology;Antimicrobial Agents and Chemotherapy;0066-4804, 1098-6596;2837.84;TRUE
Wellcome Trust;2014;PMC4187911;25049258;10.1128/AAC.02793-14;American Society for Microbiology;Antimicrobial Agents and Chemotherapy;0066-4804, 1098-6596;2823.56;TRUE
Wellcome Trust;2014;PMC4136063;24913169;10.1128/AAC.02889-14;American Society for Microbiology;Antimicrobial Agents and Chemotherapy;0066-4804, 1098-6596;2182.67;TRUE
;;;;;;;;;
Wellcome Trust;2014;PMC3993263;24590482;10.1128/AAC.02774-13;American Society for Microbiology;Antimicrobial Agents and Chemotherapy;0066-4804, 1098-6596;1753.10;TRUE
Wellcome Trust;2014;PMC4097435;24828094;10.1128/CVI.00128-14;American Society for Microbiology;Clinical and Vaccine Immunology;1556-6811, 1556-679X;3604.13;TRUE
Wellcome Trust;2014;PMC4054250;24695776;10.1128/CVI.00133-14;American Society for Microbiology;Clinical and Vaccine Immunology;1556-6811, 1556-679X;1757.16;TRUE
Wellcome Trust;2014;PMC3957582;24442893;10.1128/EC.00335-13;American Society for Microbiology;Eukaryotic Cell;1535-9778, 1535-9786;4648.82;TRUE
Wellcome Trust;2014;PMC3957982;24343653;10.1128/IAI.01189-13;American Society for Microbiology;Infection and Immunity;0019-9567, 1098-5522;2827.96;TRUE
Wellcome Trust;2014;PMC3811811;24002065;10.1128/IAI.00976-13;American Society for Microbiology;Infection and Immunity;0019-9567, 1098-5522;2697.37;TRUE
Wellcome Trust;2014;PMC3957994;24379295;10.1128/IAI.01187-13;American Society for Microbiology;Infection and Immunity;0019-9567, 1098-5522;2687.78;TRUE
Wellcome Trust;2014;PMC3958005;24343658;10.1128/IAI.01233-13;American Society for Microbiology;Infection and Immunity;0019-9567, 1098-5522;2553.39;TRUE
Wellcome Trust;2014;PMC4136206;24842926;10.1128/IAI.01959-14;American Society for Microbiology;Infection and Immunity;0019-9567, 1098-5522;2216.88;TRUE
Wellcome Trust;2014;PMC4187693;25070739;10.1128/jb.02029-14;American Society for Microbiology;Journal of Bacteriology;0021-9193, 1098-5530;2246.53;TRUE
Wellcome Trust;2014;PMC3911142;24123822;10.1128/JB.00930-13;American Society for Microbiology;Journal of Bacteriology;0021-9193, 1098-5530;1516.39;TRUE
Wellcome Trust;2014;PMC4054197;24706744;10.1128/JB.01599-14;American Society for Microbiology;Journal of Bacteriology;0021-9193, 1098-5530;1507.94;TRUE
Wellcome Trust;2014;PMC3911176;24317402;10.1128/JB.00863-13;American Society for Microbiology;Journal of Bacteriology;0021-9193, 1098-5530;1327.49;TRUE
Wellcome Trust;2014;PMC3889768;24025901;10.1128/JCM.01708-13;American Society for Microbiology;Journal of Clinical Microbiology;0095-1137, 1098-660X;1810.29;TRUE
Wellcome Trust;2014;PMC3993661;24523465;10.1128/JCM.03529-13;American Society for Microbiology;Journal of Clinical Microbiology;0095-1137, 1098-660X;1622.03;TRUE
Wellcome Trust;2014;PMC3993518;24501033;10.1128/JCM.03254-13;American Society for Microbiology;Journal of Clinical Microbiology;0095-1137, 1098-660X;1498.94;TRUE
Wellcome Trust;2014;PMC3993491;24501024;10.1128/JCM.03117-13;American Society for Microbiology;Journal of Clinical Microbiology;0095-1137, 1098-660X;1498.04;TRUE
Wellcome Trust;2014;PMC3911420;24197878;10.1128/JCM.02618-13;American Society for Microbiology;Journal of Clinical Microbiology;0095-1137, 1098-660X;1493.74;TRUE
Wellcome Trust;2014;PMC3911623;24257600;10.1128/jvi.03017-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;3110.77;TRUE
Wellcome Trust;2014;PMC3838137;24049164;10.1128/JVI.02261-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;2715.42;TRUE
Wellcome Trust;2014;PMC3838125;24049182;10.1128/JVI.02298-13;American Society For Microbiology;Journal of Virology;0022-538X, 1098-5514;2662.50;TRUE
Wellcome Trust;2014;PMC3807299;23926350;10.1128/JVI.01295-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;2654.98;TRUE
Wellcome Trust;2014;PMC3911760;24173217;10.1128/JVI.02620-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;2654.98;TRUE
Wellcome Trust;2014;PMC3958076;24352438;10.1128/JVI.02789-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;2637.58;TRUE
Wellcome Trust;2014;PMC3838145;24049170;10.1128/JVI.02220-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;2319.30;TRUE
Wellcome Trust;2014;PMC3753995;23864616;10.1128/JVI.00636-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;1901.59;TRUE
Wellcome Trust;2014;PMC3838292;24067977;10.1128/jvi.02167-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;1814.00;TRUE
Wellcome Trust;2014;PMC4178834;25008923;10.1128/jvi.01008-14;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;1805.08;TRUE
Wellcome Trust;2014;PMC3957909;24371075;10.1128/jvi.02627-13;American Society for Microbiology;Journal of Virology;0022-538X, 1098-5514;1783.10;TRUE
