"PubMed ID","Journal Title","Open Access?","Publication Date","Publisher","Licence","EPMC lic","Fulltext in EPMC?","AAM?","DOI","E-ISSN","Type of publication","Article title","Fund that APC is paid from (1)","Fund that APC is paid from (2)","AOP?","Funder of research (1)","Grant ID (1)","Funder of research (2)","Grant ID (2)","Funder of research (3)","Grant ID (3)","Date of APC payment","APC paid (actual currency) excluding VAT","Currency of APC","APC paid (£) including VAT if charged","Additional publication costs (£)","Discounts, memberships & pre-payment agreements","Amount of APC charged to COAF grant (including VAT if charged) in £","Amount of APC charged to RCUK OA fund (including VAT if charged) in £","Licence","Notes","AOP?"
29529242,"Nucleic Acids Research",0,5/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/nar/gky132","1362-4962 ","Journal Article/Review","Rif1 acts through Protein Phosphatase 1 but independent of replication timing to suppress telomere extension in budding yeast","COAF",,"Unknown","Cancer Research UK","C1445/A19059",,,,,3/2/2018,1420,"GBP",1704,0,,1704,,"CC BY",,"Unknown"
30506023,"Rheumatology Advances in Practice",1,1/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/rap/rky021","2514-1775","Journal Article/Review","Development of a clinical risk score for pain and function following total knee arthroplasty: results from the TRIO study","COAF",,"Unknown","ARUK",20100,,,,,6/8/2018,1500,"GBP",1800,0,,1800,,"CC BY",,"Unknown"
30076155,"Annals of the Rhematic Diseases",0,11/1/2018,"BMJ","cc-by","cc-by",1,0,"10.1136/annrheumdis-2018-213590","0003-4967","Journal Article","Impact of biologic therapy on work outcomes in patients with axial spondyloarthritis: results from the British Society for Rheumatology Biologic Register (BSRBR-AS) and meta-analysis","COAF",,"Unknown","ARUK","MP20665",,,,,7/19/2018,1950,"GBP",2345,0,,2345,,"CC-BY",,"Unknown"
30053166,"Rheumatology ",0,11/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/rheumatology/key206"," 1462-0332","Journal Article","Influence of co-morbid fibromyalgia on disease activity measures and response to TNF inhibitors in axial spondyloarthritis","COAF",,"Unknown","ARUK",21378,,,,,7/30/2018,1943,"GBP",2331.6,0,,2331.6,,"CC-BY",,"Unknown"
30104203,"EMBO Reports",0,9/1/2018,"EMBO","cc-by","cc-by",1,0,"10.15252/embr.201846222","1469-221X","Journal Article","Budding yeast Rif1 binds to replication origins and protects DNA at blocked replication forks","COAF",,"Unknown","CRUK","C1445/A19059",,,,,7/31/2018,3150,"GBP",3780,0,"Institutional_Prepayment",3780,,"CC-BY",,"Unknown"
30325464,"Nephrology Dialysis Transplantation",0,10/1/2018,"Oxford University Press (OUP)","cc-by","Unknown",0,0,"10.1093/ndt/gfy294"," 1460-2385","Journal Article","Predicting kidney failure risk after AKI among people receiving nephrology clinic care","COAF",,1,"Wellcome","102729/Z/13/Z",,,,,8/29/2018,1943,"GBP",2331.6,0,,2331.6,,"CC-BY",,1
30623136,"JACC: Basic to Translational Science
",1,12/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.jacbts.2018.08.006","2452-302X","Journal Article","Characterization of the Myocardial Inflammatory Response in Acute Stress-Induced (Takotsubo) Cardiomyopathy","COAF",,"Unknown","British Heart Foundation","PG/15/108/31928",,,,,9/13/2018,3004.65,"EUR",3221.28,0,,3221.28,,"CC-BY","Not yet published at time of submission","Unknown"
29984553,"European Journal of Pain",0,1/1/2019,"Wiley","Unknown","Unknown",0,0,"10.1002/ejp.1285","1532-2149","Journal Article","Beliefs about back pain and pain management behaviours, and their associations in the general population","COAF",,0,"ARUK",20665,,,,,8/7/2018,2000.25,"GBP",2400.3,0,"Institutional_Prepayment",2400.3,,"CC-BY",,0
30146485,"Cell Metabolism",0,10/1/2018,"Elsevier BV","Unknown","Unknown",0,0,"10.1016/j.cmet.2018.07.017","1932-7420","Journal Article","Nucleus of the Solitary Tract Serotonin 5-HT2C Receptors Modulate Food Intake.","COAF",,0,"Wellcome","WT090812",,,,,8/10/2018,4595.35,"EUR",4913.42,0,,4913.42,,"CC-BY",,0
29768268,"Journal of Innate Immunity",0,1/1/2018,"S. Karger AG","Unknown","Unknown",0,0,"10.1159/000488539"," 1662-8128","Journal Article/Review","Antifungal innate immunity: a perspective from last 10 years","COAF",,0,"Wellcome Trust",102705,,,,,4/26/2018,3000,"CHF",2656.92,0,,2656.92,,"CC BY-NC-ND","Contacted publisher to correct licence but no response",0
29965998,"PloS one",1,1/1/2018,"PLOS","cc-by","cc-by",1,0,"10.1371/journal.pone.0200089","1932-6203","Journal Article/Review","Habitual physical activity levels do not predict leg strength and power in healthy, active older adults","COAF",,"Unknown","Arthritis Research UK","no ID provided",,,,,7/9/2018,"1,495.00","USD","1,351.82",0,,"1,351.82",0,"CC BY",,"Unknown"
30061738,"Scientific reports",1,7/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-018-29822-8","2045-2322","Journal Article/Review","Dual mechanism for the emergence of synchronization in inhibitory neural networks","COAF",,"Unknown","British Heart Foundation","NH/14/1/30761",,,,,8/7/2018,"1,165.00","GBP","1,398.00",0,,"1,398.00",0,"CC BY",,"Unknown"
30071832,"BMC biology",1,8/1/2018,"BMC","cc-by","cc-by",1,0,"10.1186/s12915-018-0550-3","1741-7007","Journal Article/Review","A GWAS on Helicobacter pylori strains points to genetic variants associated with gastric cancer risk","COAF",,"Unknown","Wellcome Trust","no ID provided",,,,,7/30/2018,"1,830.00","GBP","2,196.00",0,,"2,196.00",0,"CC BY",,"Unknown"
29286428,"Journal of visualized experiments : JoVE",0,12/1/2017,"MyJove Corporation","cc-by","cc-by",1,0,"10.3791/56697",,"Journal Article/Review","Stenosis of inferior vena cava as a murine model of deep vein
thrombosis","COAF",,"Unknown","British Heart Foundation","RCAZ17529",,,,,6-Oct-17,4200,"USD",3889.32,,,3889.32,,"CC BY",,"Unknown"
28973433,"Nucleic acids research",0,9/1/2017,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/nar/gkx573",,"Journal Article/Review","LMO2 Is Required for TAL1 DNA Binding Activity and Initiation of Definitive Haematopoiesis at the Haemangioblast Stage","COAF",,"Unknown","Bloodwise",11002,,,,,21-Oct-17,1420,"GBP",1704,,,1704,,"CC BY",,"Unknown"
28888268,"American heart journal",0,9/1/2017,"Elsevier BV","cc-by-nc-nd","cc-by-nc-nd",1,0,"10.1016/j.ahj.2017.05.008",,"Journal Article/Review","A randomized, multicenter, open-label, blinded end point trial comparing the effects of spironolactone to chlortalidone on left ventricular mass in patients with early-stage chronic kidney disease: Rationale and design of the SPIRO-CKD trial","COAF",,"Unknown","Wellcome Trust",,,,,,1-Oct-17,2691.18,"EUR",2907.55,,,2907.55,,"CC BY NC ND","Incorrect licence - contacted publisher to amend","Unknown"
28888932,"Journal of the mechanical behavior of biomedical materials",0,1/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.jmbbm.2017.08.036",,"Journal Article/Review","Effect of frequency on crack growth in articular cartilage","COAF",,"Unknown","Arthritis Research UK","H0671",,,,,4-Oct-17,2556.62,"EUR",2748.56,,,2748.56,,"CC BY",,"Unknown"
28839100,"American journal of physiology. Lung cellular and molecular physiology",0,12/1/2017,"American Physiological Society","cc-by","cc-by",1,0,"10.1152/ajplung.00023.2017",,"Journal Article/Review","Platelet CLEC-2 protects against lung injury via effects of its ligand podoplanin on inflammatory alveolar macrophages in the mouse","COAF",,"Unknown","British Heart Foundation","RG/13/ 18/30563","Wellcome Trust","CH03/003",,,24-Oct-17,2000,"USD",1844.45,,,1844.45,,"CC BY",,"Unknown"
29024966,"QJM : monthly journal of the Association of Physicians",0,10/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/qjmed/hcx179",,"Journal Article/Review","Premature coronary artery disease and early stage chronic kidney disease","COAF",,"Unknown","British Heart Foundation","FS/16/73/32314",,,,,19-Oct-17,2150,"GBP",2580,,,2580,,"CC BY",,"Unknown"
28739590,"Circulation research",0,9/1/2017,"Ovid Technologies (Wolters Kluwer Health)","cc-by","cc-by",1,0,"10.1161/CIRCRESAHA.117.311185",,"Journal Article/Review","Mast Cells Granular Contents Are Crucial for Deep Vein Thrombosis in Mice","COAF",,"Unknown","British Heart Foundation","PG/13/60/30406",,,,,29-Oct-17,4700,"USD",4352.33,,,4352.33,,"CC BY",,"Unknown"
29065109,"British journal of cancer",0,11/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/bjc.2017.347",,"Journal Article/Review","Risk stratification of childhood cancer survivors necessary for evidence-based clinical long-term follow-up","COAF",,"Unknown","Cancer Research UK","C386/A10422",,,,,13-Oct-17,2000,"GBP",2400,,,2400,,"CC BY",,"Unknown"
29044196,"Scientific reports",1,10/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-017-14081-w",,"Journal Article/Review","Exercise and high-fat feeding remodel transcript-metabolite interactive networks in mouse skeletal muscle","COAF",,"Unknown","Wellcome Trust","103094/Z/13/Z",,,,,12-Nov-17,1110,"GBP",1332,,,1332,,"CC BY",,"Unknown"
29021612,"Scientific reports",1,10/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-017-13479-w",,"Journal Article/Review","Il-15 promotes human myogenesis and mitigates the detrimental effects of TNFx03B1; on myotube development","COAF",,"Unknown","Wellcome Trust",,,,,,28-Oct-17,1110,"GBP",1332,,,1332,,"CC BY",,"Unknown"
28927867,"Autonomic neuroscience : basic & clinical",0,12/1/2017,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.autneu.2017.09.003",,"Journal Article/Review","CARDIOVASCULAR AUTONOMIC REGULATION, INFLAMMATION AND PAIN IN RHEUMATOID ARTHRITIS","COAF",,"Unknown","Arthritis Research UK",196633,,,,,25-Oct-17,2242.65,"EUR",2412.53,,,2412.53,,"CC BY",,"Unknown"
28756514,"Psychological research",0,11/1/2018,"Springer Nature","cc-by","Unknown",1,0,"10.1007/s00426-017-0885-3",,"Journal Article/Review","Visuomotor and motorvisual priming with different types of set level congruency: Evidence in support of ideomotor theory, and the Planning and Control Model (PCM)","COAF",,"Unknown","Wellcome Trust","WT087554",,,,,17-Oct-17,396.15,"GBP",396.15,,,396.15,,"CC BY",,"Unknown"
29269852,"Nature communications",1,12/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41467-017-02402-6",,"Journal Article/Review","The podoplanin-CLEC-2 axis inhibits inflammation in sepsis","COAF",,"Unknown","British Heart Foundation","RG/13/18/30563",,,,,29-Dec-17,3150,"GBP",3780,,,3780,,"CC BY",,"Unknown"
28900244,"Scientific reports",1,9/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-017-11803-y",,"Journal Article/Review","IL-4 enhances IL-10 production in Th1 cells: implications for Th1 and Th2 regulation","COAF",,"Unknown","Wellcome Trust",91074,,,,,1-Oct-17,1110,"GBP",1332,,,1332,,"CC BY",,"Unknown"
29242513,"Scientific reports",1,12/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-017-17928-4",,"Journal Article/Review","SCARF-1 promotes adhesion of CD4+ T cells to human hepatic sinusoidal endothelium under conditions of shear stress","COAF",,"Unknown","Wellcome Trust","RCHX16043",,,,,6-Jan-18,1110,"GBP",1332,,,1332,,"CC BY",,"Unknown"
29133275,"International journal of cardiology",0,2/1/2018,"Elsevier BV","cc-by-nc-nd","cc-by-nc-nd",1,0,"10.1016/j.ijcard.2017.10.106",,"Journal Article/Review","Normal values for myocardial deformation within the right heart measured by feature-tracking cardiovascular magnetic resonance imaging","COAF",,"Unknown","British Heart Foundation","PG/14/74/31056",,,,,8-Dec-17,2960.29,"EUR",3191.98,,,3191.98,,"CC BY NC ND","Incorrect licence - contacted publisher to amend ","Unknown"
28763685,"Journal of the mechanical behavior of biomedical materials",0,11/1/2017,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.jmbbm.2017.07.040",,"Journal Article/Review","Viscoelasticity of articular cartilage: analysing the effect of induced stress and the restraint of bone in a dynamic environment","COAF",,"Unknown","Arthritis Research UK","H0671",,,,,13-Dec-17,2556.62,"EUR",2765.9,,,2765.9,,"CC BY",,"Unknown"
29186478,"European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery",0,4/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/ejcts/ezx388",,"Journal Article/Review","Randomised controlled trials in children's heart surgery in the 21st century: a systematic review","COAF",,"Unknown","British Heart Foundation","FS/15/49/31612",,,,,23-Nov-17,1838,"GBP",2205.6,,,2205.6,,"CC BY",,"Unknown"
29308195,"RSC advances",1,11/1/2017,"Royal Society of Chemistry (RSC)","cc-by","cc-by",1,0,"10.1039/C7RA11184C",,"Journal Article/Review","Optical Glucose Sensors Based on Hexagonally-Packed 2.5-Dimensional Photonic Concavities Imprinted in Phenylboronic Acid Functionalized Hydrogel Films","COAF",,"Unknown","Wellcome Trust",,,,,,8-Jan-18,500,"GBP",600,,,600,,"CC BY",,"Unknown"
29129383,"Structure (London, England : 1993)",0,12/1/2017,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.str.2017.10.002",,"Journal Article/Review","The structure of a conserved domain of TamB reveals a hydrophobic <beta>-taco fold","COAF",,"Unknown","Wellcome Trust","106077/Z/14/Z",,,,,24-Nov-17,4485.3,"EUR",4764.84,,,4764.84,,"CC BY",,"Unknown"
29226213,"Data in brief",1,2/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.dib.2017.11.037",,"Journal Article/Review","Reference ranges and reproducibility studies for right heart","COAF",,"Unknown","British Heart Foundation","PG/14/74/31056",,,,,14-Dec-17,224.26,"EUR",238.09,,,238.09,,"CC BY",,"Unknown"
29335415,"Nature communications",1,1/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41467-017-02653-3",,"Journal Article/Review","USP48 restrains resection by site specific cleavage of the BRCA1 ubiquitin mark from H2A","COAF",,"Unknown","Cancer Research UK","C8820/A19062",,,,,19-Jan-18,3150,"GBP",3780,,,3780,,"CC BY",,"Unknown"
29481676,"Medical law review",0,5/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/medlaw/fwy003",,"Journal Article/Review","Everyday Cyborgs: On Integrated Persons & Integrated Goods","COAF",,"Unknown","Wellcome Trust","201675/Z/16/Z",,,,,17-Feb-18,1925,"GBP",2310,,,2310,,"CC BY",,"Unknown"
29366457,"The American journal of cardiology",0,3/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.amjcard.2017.11.041",,"Journal Article/Review","Diffuse Myocardial Interstitial Fibrosis and Dysfunction in Early Chronic Kidney Disease","COAF",,"Unknown","British Heart Foundation",,,,,,21-Jan-18,2691.18,"EUR",2884.69,,,2884.69,,"CC BY",,"Unknown"
30137309,"Journal of Crohn's & colitis",0,8/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/ecco-jcc/jjx145",,"Journal Article/Review","Chemokines and Chemokine Receptors as Therapeutic Targets in Inflammatory Bowel Disease; Pitfalls and Promise","COAF",,"Unknown","Wellcome Trust","099907/Z/12/Z",,,,,21-Jan-18,2150,"GBP",2580,,,2580,,"CC BY",,"Unknown"
29301941,"The Journal of biological chemistry",0,2/1/2018,"American Society for Biochemistry & Molecular Biology (ASBMB)","cc-by","cc-by",1,0,"10.1074/jbc.R117.000366",,"Journal Article/Review","The role of microRNAs in glucocorticoid action","COAF",,"Unknown","Arthritis Research UK",19614,,,,,23-Feb-18,1500,"USD",1311.81,,,1311.81,,"CC BY",,"Unknown"
29342266,"The Journal of clinical endocrinology and metabolism",0,3/1/2018,"The Endocrine Society","cc-by","cc-by",1,0,"10.1210/JC.2017-02426",,"Journal Article/Review","Causes, patterns and severity of androgen excess in 1205 consecutively recruited women","COAF",,"Unknown","Wellcome Trust","099909, 092283",,,,,31-Mar-18,3000,"USD",2623.62,,,2623.62,,"CC BY",,"Unknown"
28659288,"American journal of physiology. Cell physiology",0,9/1/2017,"American Physiological Society","Unknown","Unknown",1,0,"10.1152/ajpcell.00100.2017",,"Journal Article/Review","Overload-mediated skeletal muscle hypertrophy is not impaired by loss of myofiber STAT3","COAF",,"Unknown","Wellcome Trust","103094/Z/13/Z",,,,,6-Oct-17,2000,"USD",1713.67,,,1713.67,,"CC BY",,"Unknown"
29425294,"European heart journal",0,8/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/eurheartj/ehy018",,"Journal Article/Review","The RACE-3 is on: Double-locking sinus rhythm by upstream and downstream therapy","COAF",,"Unknown","British Heart Foundation","FS/13/32/3024","European Union",633196,,,10-Mar-18,2150,"GBP",2580,,,2580,,"CC BY",,"Unknown"
29438375,"British journal of cancer",0,3/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/bjc.2017.486",,"Journal Article/Review","Telomere length genetics are independent colorectal human","COAF",,"Unknown","Cancer Research UK","DJAA.RCPV20501",,,,,3-Feb-18,1700,"GBP",2040,,,2040,,"CC BY",,"Unknown"
29568510,"RSC advances",1,2/1/2018,"Royal Society of Chemistry (RSC)","cc-by","cc-by",1,0,"10.1039/C7RA13284K",,"Journal Article/Review","Flexible Corner Cube Retroreflector Array for Temperature and Strain Sensing","COAF",,"Unknown","Wellcome Trust",,,,,,28-Mar-18,500,"GBP",600,,,600,,"CC BY",,"Unknown"
29720665,"Nature communications",1,5/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41467-018-04076-0",,"Journal Article/Review","The human V?2+ T cell compartment comprises distinct innate-like V?9+ and adaptive V?9- subsets","COAF",,"Unknown","Wellcome Trust","099266/Z/12/Z",,,,,5-May-18,3150,"GBP",3780,,,3780,,"CC BY",,"Unknown"
29588406,"mBio",1,3/1/2018,"American Society for Microbiology","cc-by","cc-by",1,0,"10.1128/mBio.02010-17",,"Journal Article/Review","Robust phagocyte recruitment controls the opportunistic fungal pathogen Mucor circinelloides in innate granulomas in vivo","COAF",,"Unknown","Wellcome Trust","108387/Z/15/Z","BBSRC","BB/M021386/1",,,28-Mar-18,3470,"USD",2965.99,,,2965.99,,"CC BY",,"Unknown"
29680462,"Trends in immunology",0,6/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.it.2018.03.003",,"Journal Article/Review","Recasting human Vdelta1 lymphocytes in an adaptive role","COAF",,"Unknown","Wellcome Trust","099266/Z/12/Z",,,,,27-Apr-18,3358.14,"EUR",3576.3,,,3576.3,,"CC BY",,"Unknown"
29330226,"European journal of endocrinology",0,3/1/2018,"Bioscientifica","cc-by","cc-by",1,0,"10.1530/EJE-17-0542",,"Journal Article/Review","Mitotane treatment in patients with metastatic testicular Leydig cell tutor associated with severe androgen excess","COAF",,"Unknown","Wellcome Trust","WT101671AIA",,,,,27-Feb-18,1350,"GBP",1620,,,1620,,"CC BY",,"Unknown"
29526594,"Current biology : CB",0,3/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.cub.2018.01.087",,"Journal Article/Review","Memory consolidation is linked to spindle-mediated information processing during sleep","COAF",,"Unknown","Wellcome Trust","107672/Z/15/Z ",,,,,16-Mar-18,4595.35,"EUR",4815.67,,,4815.67,,"CC BY",,"Unknown"
29529366,"ACS nano",0,3/1/2018,"American Chemical Society (ACS)","cc-by","cc-by",1,0,"10.1021/acsnano.7b07082",,"Journal Article/Review","Glucose Sensing with Phenylboronic Acid Functionalized Hydrogel Based Optical Diffusers","COAF",,"Unknown","Wellcome Trust","Seed Award",,,,,15-Apr-18,4000,"USD",3397.51,,,3397.51,,"CC BY",,"Unknown"
29721167,"Oncotarget",0,4/1/2018,"Impact Journals, LLC","cc-by","cc-by",1,0,"10.18632/oncotarget.24789",,"Journal Article/Review","Glycine: a Non-invasive Imaging Biomarker to aid Magnetic Resonance Spectroscopy in the prediction of Survival in Paediatric Brain Tumours","COAF",,"Unknown","Cancer Research UK","C7809; A10342","EPSRC",,,,26-Mar-18,3400,"USD",2883.19,,,2883.19,,"CC BY",,"Unknown"
29618136,"Rheumatology (Oxford, England)",0,4/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/rheumatology/key025 ",,"Journal Article/Review","The role of ultrasound-defined tenosynovitis and synovitis in the prediction of rheumatoid arthritis development","COAF",,"#N/A","Arthritis Research UK",20298,,,,,6-Apr-18,1943,"GBP",2331.6,,,2331.6,,"CC BY",,"#N/A"
29374239,"Scientific reports",1,1/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-018-20092-y",,"Journal Article/Review","Optimizing OCT acquisition parameters for assessments of vitreous haze for application in uveitis","COAF",,"Unknown","Wellcome Trust","200141/Z/15/Z",,,,,30-May-18,1110,"GBP",1332,,,1332,,"CC BY",,"Unknown"
29653048,"Biomacromolecules",0,7/1/2018,"American Chemical Society (ACS)","cc-by","cc-by",1,0,"10.1021/acs.biomac.8b00252 ",,"Journal Article/Review","Different Length Hydrazone Activated Polymers for Plasmid DNA Condensation and Cellular Transfection","COAF",,"#N/A","Wellcome Trust","177ISSFPP; IE130688 and RG140273",,,,,18-May-18,4000,"USD",3551.6,,,3551.6,,"CC BY",,"#N/A"
29695020,"Thrombosis and haemostasis",0,6/1/2018,"Georg Thieme Verlag KG","cc-by","cc-by",1,0,"10.1055/s-0038-1646924",,"Journal Article/Review","Significant hypo-responsiveness to GPVI and CLEC-2 agonists in pre-term and full term neonatal platelets and following immune thrombocytopenia","COAF",,"Unknown","British Heart Foundation","RG/ PG/13/36/30275; RG/09/007",,,,,6-May-18,2000,"EUR",2112.86,,,2112.86,,"CC BY",,"Unknown"
29769441,"JCI insight",0,5/1/2018,"American Society for Clinical Investigation","cc-by","cc-by",1,0,"10.1172/jci.insight.97219",,"Journal Article/Review","Unique features and clinical importance of acute alloreactive immune responses","COAF",,"Unknown","Bloodwise",12052,"MRC","MR/K021192/1",,,30-May-18,3500,"USD",3161.22,,,3161.22,,"CC BY",,"Unknown"
29776849,"Trends in immunology",0,8/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.it.2018.04.010",,"Journal Article/Review","Immune factors in deep vein thrombosis initiation","COAF",,"Unknown","British Heart Foundation","PG/13/60/30406",,,,,2-Jun-18,3358.14,"EUR",3610.9,,,3610.9,,"CC BY",,"Unknown"
29792262,"Journal of the American Society of Hypertension : JASH",0,7/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.jash.2018.04.010",,"Journal Article/Review","Chronic kidney disease as a cardiovascular risk factor: lessons from kidney donors","COAF",,"Unknown","British Heart Foundation","FS/16/73/32314",,,,,11-Jun-18,2430.23,"EUR",2146.66,,,2146.66,,"CC BY",,"Unknown"
