"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£) (inc VAT when charged)";"Full text in Europe PMC?";"Accepted author manuscript?";"Licence";"Licence Source";"Journal Type";"Wellcome Trust compliant?"
"PMC4006885";24640988;"10.1021/ac500447w";"American Chemical Society";"Analytical Chemistry";"0003-2700, 1520-6882";"Cytosine DNA methylation is found in Drosophila melongaster but absent in Saccharomyces cerevisiae, Schizosaccharomyces pombe, and other yeast species";£2,166.75;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
"PMC3924879";24554921;"10.1021/ct200465z";"American Chemical Society";"Journal of Chemical Theory and Computation";"1549-9618, 1549-9626";"Thermodynamic properties of water molecules at a proteinÃ¢Â€Â“protein interaction surface";£914.47;1;0;"non-standard-licence";"publisher";"hybrid";0
"PMC3805323";23557376;"10.1021/pr301127f";"American Chemical Society";"Journal of Proteome Research";"1535-3893, 1535-3907";"Comparative network-based recovery analysis and proteomic profiling of neurological changes in valproic acid-treated mice";£1,482.02;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
"PMC3805328";23659346;"10.1021/pr400219s";"American Chemical Society";"Journal of Proteome Research";"1535-3893, 1535-3907";"Integrative Toxicoproteomics Implicates Impaired Mitochondrial Glutathione Import as an Off-Target Effect of Troglitazone";£1,482.02;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
"PMC4072726";24797658;"10.1021/la5004353";"American Chemical Society";"Langmuir";"0743-7463, 1520-5827";"Lipid Concentration and Molar Ratio Boundaries for the Use of Isotropic Bicelles";£1,417.27;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
"PMC4027624";24900839;"10.1021/ml4004588";"American Chemical Society";"Journal of Medicinal Chemistry";"1948-5875";"Interkindom pharmacology of Angiotensin-I convertin enzyme inhibitor phosphonates produced by actinomycetes";£1,426.02;1;"unknown";"non-standard-licence";"publisher";"hybrid";0
;25122550;"10.1021/sb500233u";"American Chemical Society";"ACS Synthetic Biology";"2161-5063";"Cooperativity To Increase Turing Pattern Space for Synthetic Biology";£1,354.78;0;"unknown";"non-standard-licence";"publisher";"hybrid";0
;24001177;"10.1021/ol402225d";"American Chemical Society";"Organic Letters";"1523-7060, 1523-7052";"Zinc Mediated Azide-Alkyne Ligation to 1,5- and 1,4,5-Substituted 1,2,3- Triazoles";£2,246.46;0;"unknown";"non-standard-licence";"publisher";"hybrid";0
;;;"American Chemical Society";"Journal of Medicinal Chemistry";;"Structure-activity relationship";£949.73;;"unknown";"unknown";;;0
"PMC4072702";24742280;"10.1021/am501613c";"American Chemical Society";"ACS Applied Materials and Interfaces";"1944-8244, 1944-8252";"Surface Molecular Tailoring Using pH-Switchable Supramolecular Dendron-Ligand Assemblies";£2,879.42;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3977574";24397848;"10.1021/cb400791u";"American Chemical Society";"ACS Chemical Biology";"1554-8929, 1554-8937";"Structural Basis of Mos1 Transposase Inhibition by the Anti-retroviral Drug Raltegravir";£2,451.27;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3833278";23534475;"10.1021/cb300729y";"American Chemical Society";"ACS Chemical Biology";"1554-8929, 1554-8937";"De novo design of protein kinase inhibitors by in silico identification of hinge region-binding fragments";£1,911.81;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3971954";;"10.1021/cb5000949";"American Chemical Society";"ACS Chemical Biology";"1554-8929, 1554-8937";"Discovery of a potent and selective DDR1 receptor tyrosine kinase inhibitor";£1,241.07;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4068218";24730530;"10.1021/cb500129t";"American Chemical Society";"ACS Chemical Biology";"1554-8929, 1554-8937";"Exploration of Type II Binding Mode: a Privileged Approach for Kinase Inhibitor Focused Drug ";£1,228.71;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3842852";23646896;"10.1021/ac400646m";"American Chemical Society";"Analytical Chemistry";"0003-2700, 1520-6882";"Large-scale analysis of Peptide sequence variants: the case for high-field asymmetric waveform ion mobility spectrometry";£2,250.56;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3929132";24397559;"10.1021/ac403653q";"American Chemical Society";"Analytical Chemistry";"0003-2700, 1520-6882";"Toward Biocompatible Nuclear Hyperpolarization Using Signal Amplification by Reversible Exchange: Quantitative in Situ Spectroscopy and High-Field Imaging";£1,457.51;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3789254";23971744;"10.1021/ac402081u.";"American Chemical Society";"Analytical Chemistry";"0003-2700, 1520-6882";"Sensitive, simultaneous quantitation of two unlabeled DNA targets using a magnetic nanoparticle-enzyme sandwich assay";£971.22;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4180279";25188201;"10.1021/bi500568v";"American Chemical Society";"Biochemistry";"0006-2960, 1520-4995";"Demonstration of Neuronal Calcium Sensor-1 binding to the Cav2.1 P/Q-type calcium channel";£2,706.44;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3922039";24404958;"10.1021/bi401193w";"American Chemical Society";"Biochemistry";"0006-2960, 1520-4995";"Biochemical characterisation and comparison of two closely related active mariner transposases";£2,491.23;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3806149";24044352;"10.1021/bi400398t";"American Chemical Society";"Biochemistry";"0006-2960, 1520-4995";"Probing heme delivery processes in cytochrome c biogenesis System I.";£2,196.57;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4024063";24304423;"10.1021/ic402233g";"American Chemical Society";"Inorganic  Chemistry ";"0020-1669, 1520-510X";"Lanthanide(III) Complexes of RhodamineÃÂ²ÃÂ‚Ã¢Â€ÂœDO3A Conjugates as Agents for Dual-Modal Imaging";£1,421.30;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3850244";24215616;"10.1021/ic401783c";"American Chemical Society";"Inorganic Chemistry";"0020-1669, 1520-510X";"Iridium(III) Hydrido N-Heterocyclic CarbeneÃ¢Â€Â“Phosphine Complexes as Catalysts in Magnetization Transfer Reactions";£928.00;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4167384";24588644;"10.1021/bi5000299";"American Chemical Society";"Journal of Biological Chemistry";"0006-2960, 1520-4995";"
Interactions of phosphatase and tensin homologue (PTEN) proteins with phosphatidylinositol phosphates: insights from molecular dynamics simulations of PTEN and voltage sensitive phosphatase.";£2,440.57;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3864263";24353479;"10.1021/ct4005933";"American Chemical Society";"Journal of CHEM THEORY COMPUT";"1549-9618, 1549-9626";"ENERGETICS OF MULTI-ION CONDUCTION PATHWAYS IN POTASSIUM ION CHANNELS";£1,886.19;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3954685";24015767;"10.1021/jm400362b";"American Chemical Society";"Journal of Medicinal Chemistry";"0022-2623, 1520-4804";"Drug discovery for neglected diseases: molecular target-based and phenotypic approaches.";£2,483.12;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4136963";25007262;"10.1021/jm500483b";"American Chemical Society";"Journal of Medicinal Chemistry";"0022-2623, 1520-4804";"Structure-based design and synthesis of antiparasitic pyrrolopyrimidines targeting pteridine reductase 1";£2,449.15;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4010550";24601592;"10.1021/jm401881q";"American Chemical Society";"Journal of Medicinal Chemistry";"0022-2623, 1520-4804";"Imidazol-1-ylethylindazole Nav channel ligands are neuroprotective during optic neuritis in a mouse model of multiple sclerosis";£2,391.69;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4207131";25226087;"10.1021/jm501037u";"American Chemical Society";"Journal of Medicinal Chemistry";"0022-2623, 1520-4804";"Cyclic adenosine 5'-diphosphate ribose analogs without a southern ribose inhibit ADP-ribosyl cyclase-hydrolase CD38";£1,478.83;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4099174";24805946;"10.1021/jm500361r";"American Chemical Society";"Journal of Medicinal Chemistry";"0022-2623, 1520-4804";"Establishment of a structure-activity relationship of the 1H-imidazo[4,5-c]quinoline-based kinase inhibitor NVP-BEZ235 as a lead for African sleeping sickness ";£1,454.55;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3906316";24313754;"10.1021/jm401568s";"American Chemical Society";"Journal of Medicinal Chemistry";"0022-2623, 1520-4804";"[1,2,4]triazolo[4,3-a]phthalazines: inhibitors of diverse bromodomains";£946.61;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3756531";23763625;"10.1021/jp4042233";"American Chemical Society";"Journal of Physical Chemistry B";"1520-6106, 1520-5207";"Assessing the accuracy if inhomogeneous fluid solvation theory in predicting hydration free energies of simple solutes";£1,184.20;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3971760";24450425;"10.1021/pr401043r";"American Chemical Society";"Journal of Proteome Research";"1535-3893, 1535-3907";"Filter-Aided N-Glycan Separation (FANGS): A Convenient Sample Preparation Method for Mass Spectrometric N-Glycan Profiling";£2,911.71;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4227305";25181601;"10.1021/pr5006394";"American Chemical Society";"Journal of Proteome Research";"1535-3893, 1535-3907";"Differential cysteine labelling and global label-free proteomics reveals an altered metabolic state in skeletal muscle aging";£2,706.44;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4052807";24792668;"10.1021/pr401209w";"American Chemical Society";"Journal of Proteome Research";"1535-3893, 1535-3907";"High-confidence glycosome proteome for procyclic form trypanosoma brucei by epitope-tag organelle enrichment and SILAC proteomics.";£1,529.64;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4017606";24679070;"10.1021/ja4126092";"American Chemical Society";"Journal of the American Chemical Society";"0002-7863, 1520-5126";"Secondary structure in the core of amyloid fibrils formed Human ?2m and its truncated ?N6
";£2,848.84;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4183622";25111182;"10.1021/ja505584f";"American Chemical Society";"Journal of the American Chemical Society";"0002-7863, 1520-5126";"SpyAvidin Hubs Enable Precise and Ultrastable Orthogonal Nanoassembly";£1,510.68;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3926704";24171457;"10.1021/ja408184x";"American Chemical Society";"Journal of the American Chemical Society";"0002-7863, 1520-5126";"Loop Interactions and Dynamics Tune the Enzymatic Activity of the Human Histone Deacetylase 8";£1,207.66;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3759167";23510407;"10.1021/ja308852b";"American Chemical Society";"Journal of the American Chemical Society";"0002-7863, 1520-5126";"A mechanistic model for amorphous protein aggregation of immunoglobulin-like domains";£661.42;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3776562";23301700;"10.1021/ja309527h";"American Chemical Society";"Journal of the American Chemical Society";"0002-7863, 1520-5126";"Folding and binding of an intrinsically disordered protein: fast, but not 'diffusion-limited'";£661.42;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4065163";24447311;"10.1021/la403983b";"American Chemical Society";"Langmuir";"0743-7463, 1520-5827";"Improving the Dielectric Properties of Ethylene-Glycol Alkanethiol Self-Assembled Monolayers";£1,191.68;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4092024";24884378;"10.1021/nl501870p";"American Chemical Society";"Nano Letters";"1530-6984, 1530-6992";"Super-resolution microscopy using standard fluorescent proteins in intact cells under cryo-conditions.";£2,452.14;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3821731";24090448;"10.1021/jp406818t";"American Chemical Society";"Physical Chemistry";"1520-6106, 1520-5207";"Modulation of a protein free-energy landscape by circular permutation";£971.71;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3913299";24030221;"10.1378/chest.13-0835";"American College of Chest Physicians";"Chest";"0012-3692, 1931-3543";"Passive smoking impairs histone deacetylase-2 in children with severe asthma";£3,957.54;1;0;"cc-by-nc";"epmc_xml";"hybrid";0
"PMC4042510";24457412;"10.1378/chest.13-1567";"American College of Chest Physicians";"Chest";"0012-3692, 1931-3543";"Airway inflammation and illness severity in response to experimental rhinovirus infection in asthma";£3,650.76;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4077410";24556715;"10.1378/chest.13-2247.";"American College of Chest Physicians";"Chest";"0012-3692, 1931-3543";"Soluble MHC class I-related chain B molecules are increased and correlate with clinical outcomes during rhinovirus infection in healthy subjects";£3,598.86;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4285081";25103335;"10.1378/chest.14-0764.";"American College of Chest Physicians";"Chest";"0012-3692, 1931-3543";"Association between pathogens detected using quantitative polymerase chain reaction with airway inflammation in COPD at stable state and exacerbations";£3,516.00;1;0;"cc-by";"epmc_xml";"hybrid";1
;;;"American College of Sports Medicine ";"Medicine and Science in Sports and Exercise";;"Television Viewing, Walking Speed and Grip Strength in a Prospective Cohort Study";£2,687.85;;"unknown";"unknown";;;0
;24679936;"10.3168/jds.2013-7087";"AMERICAN DAIRY SCIENCE ASSOCIATION";"Journal of Dairy Science";"0022-0302, 1525-3198";"Quantifying veterinarians' beliefs on disease control and exploring the impact of new evidence: a Baesian approach""";£2,053.06;0;"unknown";"non-standard-licence";"publisher";"hybrid";0
;24913646;"10.3168/jds.2014-8036";"AMERICAN DAIRY SCIENCE ASSOCIATION";"Journal of Dairy Science";"0022-0302, 1525-3198";"Technical note: a noninvasive method for measuring mammary apoptosis and epithelial cell activation in dairy animals using microparticles extracted from milk.";£1,043.84;0;"unknown";"non-standard-licence";"publisher";"hybrid";0
"PMC3581222";23139357;"10.2337/db12-0819";"American Diabetes Association";"Diabetes Journal";"0012-1797, 1939-327X";"Insights into the molecular mechanism for type 2 diabetes susceptibility at the KCNQ1 locus from temporal changes in imprinting status in human islets";£356.06;1;0;"cc-by-nc-nd";"epmc_xml";"hybrid";0
"PMC3742863";23720349;"10.1152/ajprenal.00127.2013";"American Physiological Society";"American Journal of Physiology - Renal Physiology";"1931-857X, 1522-1466";"Functional expression of purinergic P2 receptors and transient receptor potential channels by the human urothelium";£1,872.44;1;"unknown";"unknown";;"hybrid";0
"PMC3962639";24464758;"10.1152/ajpheart.00591.2013";"American Physiological Society";"American Journal of Physiology: Heart & Circulatory Physiology ";"0363-6135, 1522-1539";"Mechanism of Reentry Induction by a 9V Battery in the Rabbit Ventricles";£1,455.43;1;"unknown";"unknown";;"hybrid";0
"PMC3962614";24473441;"10.1152/ajpendo.00586.2013";"American Physiological Society";"Endocrinology and Metabolism";"0193-1849, 1522-1555";"Local overexpression of the myostatin propeptide increases glucose transporter expression and enhances skeletal muscle glucose disposal";£1,229.71;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3962614";24473441;"10.1152/ajpendo.00586.2013";"American Physiological Society";"Endocrinology and Metabolism";"0193-1849, 1522-1555";"Local overexpression of the myostatin propeptide increases glucose transporter expression and enhances skeletal muscle glucose disposal";£691.23;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3921400";24259545;"10.1152/jn.00378.2013";"American Physiological Society";"Journal of Neurophysiology";"0022-3077, 1522-1598";"Nitric Oxide-Mediated Modulation of the Murine Locomotor Network";£1,463.41;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4044345";24572094;"10.1152/jn.00935.2012";"American Physiological Society";"Journal of Neurophysiology";"0022-3077, 1522-1598";"Different phase delays of peripheral input toprimate motor cortex and spinal cord promote cancellation at physiological tremor frequencies";£1,440.24;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4254885";25122704;"10.1152/jn.00350.2014";"American Physiological Society";"Journal of Neurophysiology";"0022-3077, 1522-1598";"Increased intrinsic excitability of muscle vasoconstrictor preganglionic neurons may contribute to the elevated sympathetic activity in hypertensive rats";£1,431.44;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4122698";25085609;"10.1152/jn.00617.2013";"American Physiological Society";"Journal of Neurophysiology";"0022-3077, 1522-1598";"Neuro-mechanical interference of posture on movement: evidence from Alexander technique teachers rising from a chair";£1,189.98;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4274920";25098965;"10.1152/jn.00377.2013";"American Physiological Society";"Journal of Neurophysiology";"0022-3077, 1522-1598";"Fractionation of the visuomotor feedback response to directions of movement and perturbation";£1,024.09;1;0;"cc-by";"epmc_xml";"hybrid";1
;23819805;"10.1094/MPMI-05-13-0155-R";"American Phytopathological Society";"Molecular Plant-Microbe Interactions";"0894-0282";"Proteomics analysis of the regulatory role of Rpf/DSF cell-to-cell signaling system in the virulence of Xanthomonas campestris.";£1,541.83;0;"unknown";"unknown";;"hybrid";0
"PMC3601404";22420046;"10.1176/appi.ajp.2011.11040551";"American Psychiatric Publishing";"American Journal of Psychiatry";"0002-953X, 1535-7228";"Investigating the contribution of common genetic variants to the risk and pathogenesis of ADHD";£2,302.53;1;0;"cc-by-nc";"epmc_xml";"hybrid";0
"PMC3601405";22420048;"10.1176/appi.ajp.2011.11060822";"American Psychiatric Publishing";"American Journal of Psychiatry";"0002-953X, 1535-7228";"Genome-wide analysis of copy number variants in attention deficit hyperactivity disorder: the role of rare variants and duplications at 15q13.3";£2,302.53;1;0;"cc-by-nc";"epmc_xml";"hybrid";0
"PMC3518372";22775126;"10.1037/a0028705";"American Psychological Association";"Emotion";"1528-3542, 1931-1516";"Interpreting infant vocal distress: the ameliorative effect of musical training in depression";£3,110.12;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
"PMC3933215";20141300;"10.1037/a0016825";"American Psychological Association";"Emotion";"1528-3542, 1931-1516";"Effects of mindfulness on meta-awareness and specificity of describing prodromal symptoms in suicidal depression";£2,164.06;1;0;"non-standard-licence";"publisher";"hybrid";0
"PMC3506203";22288906;"10.1037/a0026847";"American Psychological Association";"Journal of Abnormal Psychology";"0021-843X, 1939-1846";"Maternal cognitions and mother-infant interaction in postnatal depression and generalized anxiety disorder. ";£2,970.52;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
"PMC3933214";23855989;"10.1037/a0033751";"American Psychological Association";"Journal of Consulting and Clinical Psychology";"0022-006X, 1939-2117";"Pyschological Processess and Repeat Suicidual Behavior, A 4 year prospective study";£1,790.42;1;0;"non-standard-licence";"publisher";"hybrid";0
"PMC3793901";23244045;"10.1037/a0030947";"American Psychological Association";"Journal of Experimental Psychology: Human Perception and Performance";"0096-1523, 1939-1277";"Rapid Forgetting Prevented by Retrospective Attention Cues.";£2,647.24;1;0;"non-standard-licence";"publisher";"hybrid";0
"PMC4046885";24773436;"10.1037/a0036280";"American Psychological Association";"Behavioral Neuroscience";"0735-7044, 1939-0084";"The impact of anterior thalamic lesions on active and passive spatial learning in stimulus controlled environments: geometric cues and pattern arrangement";£3,010.16;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4105316";24956013;"10.1037/bne0000001";"American Psychological Association";"Behavioral Neuroscience";"0735-7044, 1939-0084";"Mammilliothalamic tract lesions disrupt tests of visuo-spatial memory";£3,003.76;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4105319";24933661;"10.1037/a0037055";"American Psychological Association";"Behavioral Neuroscience";"0735-7044, 1939-0084";"Contrasting Networks for Recognition Memory and Recency Memory Revealed by Immediate-Early Gene Imaging in the Rat ";£2,891.22;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3906839";24001245;"10.1037/a0032727";"American Psychological Association";"Health Psychology";"0278-6133, 1930-7810";"When do financial incentives reduce intrinsic motivation? Comparing behaviors studied in psychological and economic literatures.";£3,094.56;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3920088";24001244;"10.1037/a0032740";"American Psychological Association";"Health Psychology";"0278-6133, 1930-7810";"Incentivizing blood donation: Systematic review and meta-analysis to test TitmussÃ¢Â€Â™ hypotheses.";£3,094.56;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4312136";25133822;"10.1037/hea0000088";"American Psychological Association";"Health Psychology";"0278-6133, 1930-7810";"Financial Incentives for Increasing Uptake of HPV Vaccinations: A Randomized Controlled Trial.";£2,829.38;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3964149";24294837;"10.1037/a0035036";"American Psychological Association";"Journal of Consulting and Clinical Psychology";"0022-006X, 1939-2117";"Mindfulness based cognitive therapy for relapse prevention in depression: a randomised dismantling trial";£2,387.23;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3906803";23915127;"10.1037/a0033626";"American Psychological Association";"Journal of Experimental Psychology: General";"0096-3445, 1939-2222";"The Associative Structure of Memory for Multi-Element Events";£2,457.67;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3906798";23855494;"10.1037/a0033650";"American Psychological Association";"Journal of Experimental Psychology: General";"0096-3445, 1939-2222";"The hippocampus: a manifesto for change";£2,454.18;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4035130";24512609;"10.1037/a0036013";"American Psychological Association";"Journal of Experimental Psychology: Human Perception and Performance";"0096-1523, 1939-1277";"Dissociating distractor-filtering at encoding and during maintenance";£2,956.57;1;0;"cc-by";"epmc_xml";"hybrid";1
;24922137;"10.2105/AJPH.2013.301858";"American Public Health Association";"American Journal of Public Health";"0090-0036, 1541-0048";"Industry Actors, Think Tanks, and Alcohol Policy in the United Kingdom
";£1,490.40;0;"unknown";"unknown";;"hybrid";0
;24922137;"10.2105/AJPH.2013.301858";"American Public Health Association";"American Journal of Public Health";"0090-0036, 1541-0048";"Under the influence? Industry actors, think tanks and UK alcoholic policy.";£1,490.40;0;"unknown";"unknown";;"hybrid";0
"PMC3861729";24043423;"10.1074/mcp.M113.032367";"American Society for Biochemistry and Molecular Biology";"Molecular and Cellular Proteomics";"1535-9476, 1535-9484";"Characterization of Native Protein Complexes and Protein Isoform Variation Using Size-fractionation-based Quantitative Proteomics";£1,249.28;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
"PMC3820929";23893837;"10.1074/mcp.M113.028563";"American Society for Biochemistry and Molecular Biology";"Molecular and Cellular Proteomics ";"1535-9476, 1535-9484";"Cell Cycle Regulation of Microtubule Interactomes: Multi-layered Regulation Is Critical for the Interphase/Mitosis Transition";£1,229.69;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
"PMC4022860";24668806;"10.1074/jbc.M113.532812";"American Society for Biochemistry and Molecular Biology";"Biological Chemistry";"0021-9258, 1083-351X";"FRAGMENTS OF BACTERIAL ENDOGLYCOSIDASE S & IMMUNOGLOBULIN G REVEAL SUBDOMAINS OF EACH ETC";£1,192.06;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3894356";24297181;"10.1074/jbc.m113.512335";"American Society for Biochemistry and Molecular Biology";"Biological Chemistry";"0021-9258, 1083-351X";"Molecular and Thermodynamic Mechanisms of the ";£1,105.79;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4223295";25217636;"10.1074/jbc.M114.604892";"American Society for Biochemistry and Molecular Biology";"Biological Chemistry";"0021-9258, 1083-351X";"Crystal Structure of the Bacillus subtilis Phosphodiesterase PhoD Reveals an Iron and Calcium-containing Active Site";£938.69;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4139204";24920672;"10.1074/jbc.m114.558940";"American Society for Biochemistry and Molecular Biology";"Journal of Biological Chemistry";"0021-9258, 1083-351X";"Insight into the architecture of the NuRD complex: Structure of the RbAp48-MTA1 sub-complex";£2,000.00;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3979372";24550396;"10.1074/jbc.M114.555029";"American Society for Biochemistry and Molecular Biology";"Journal of Biological Chemistry";"0021-9258, 1083-351X";"Identification and functional characterization of a highly divergent N-acetylglucosaminyltransferase I (TbGnTI) in Trypanosoma brucei.";£1,966.37;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3873535";24217250;"10.1074/jbc.M113.528000";"American Society for Biochemistry and Molecular Biology";"Journal of Biological Chemistry";"0021-9258, 1083-351X";"Common polymorphisms in human langerin change specificity for glycan ligands";£1,717.91;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3814787";24045937;"10.1074/jbc.m113.502146";"American Society for Biochemistry and Molecular Biology";"Journal of Biological Chemistry";"0021-9258, 1083-351X";"Potential regulatory interactions of Escherichia coli RraA protein with DEAD-box helicases";£1,482.96;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3887192";24196962;"10.1074/jbc.M113.522110";"American Society for Biochemistry and Molecular Biology";"Journal of Biological Chemistry";"0021-9258, 1083-351X";"TCR-peptide specificity overrides affinity enhancing TCR-MHC interactions";£1,480.57;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3887193";24214983;"10.1074/jbc.m113.515767";"American Society for Biochemistry and Molecular Biology";"Journal of Biological Chemistry";"0021-9258, 1083-351X";"A novel family of human lymphocyte antigen class II receptors may have its origin in archaic human species";£1,466.00;1;0;"cc-by";"epmc_xml";"hybrid";1
