institution;period;PMCID;PMID;DOI;Publisher;Journal title;ISSN;Euro;is_hybrid
Wellcome Trust;2015;PMC4428075;;10.3389/fmicb.2015.00455;Frontiers;Frontiers in Microbiology;1664-302X;920.65;FALSE
Wellcome Trust;2015;PMC4216812;25363364;10.3402/gha.v7.25878;Co-Action Publishing;Global Health Action;1654-9716, 1654-9880;952.06;FALSE
Wellcome Trust;2015;PMC4343029;;10.3389/fimmu.2015.00085;Frontiers ;Frontiers in Immunology;1664-3224;960.84;FALSE
Wellcome Trust;2015;PMC4635194;26473531;10.1038/bcj.2015.85;Nature Publishing Group;Blood Cancer Journal;2044-5385;971.14;FALSE
Wellcome Trust;2015;PMC4227571;25426046;10.3389/fnhum.2014.00891;Frontiers;Frontiers in Human Neuroscience;1662-5161;978.91;FALSE
Wellcome Trust;2015;PMC4271591;25566071;10.3389/fphar.2014.00270;Frontiers;Frontiers in Pharmacology;1663-9812;978.91;FALSE
Wellcome Trust;2015;PMC4224090;25426050;10.3389/fnhum.2014.00901;Frontiers;Frontiers in Human Neuroscience;1662-5161;978.91;FALSE
Wellcome Trust;2015;PMC4237036;25477849;10.3389/fpsyg.2014.01329;Frontiers;Frontiers in Psychology;1664-1078;978.91;FALSE
;;;;;;;;;
;;;;;;;;;
Wellcome Trust;2015;PMC4332365;;10.3389/fimmu.2015.00051;Frontiers ;Frontiers in Immunology;1664-3224;988.36;FALSE
Wellcome Trust;2015;PMC4419506;25887581;10.1186/s12891-015-0534-1;Biomed Central ;BioMed Central;1471-2474;992.37;FALSE
Wellcome Trust;2015;PMC4364581;25539734;10.1186/1471-2474-15-451;Biomed Central ;BMC Muskuloskeletal;1471-2474;992.37;FALSE
Wellcome Trust;2015;PMC4468337;26097884;10.18632/oncoscience.149;Impact Journals;Oncoscience;2331-4737;1008.52;FALSE
Wellcome Trust;2015;PMC4585930;26411260;10.4161/21541248.2014.992259;Taylor & Francis;Small GTPases;2045-2322;1011.60;TRUE
Wellcome Trust;2015;PMC4196579;25352829;10.3389/fendo.2014.00160;Frontiers Research Foundation;Frontiers in Endocrinology;1664-2392;1022.46;FALSE
Wellcome Trust;2015;PMC4222142;25414654;10.3389/fnhum.2014.00853;Frontiers;Frontiers in Human Neuroscience;1662-5161;1025.60;FALSE
Wellcome Trust;2015;PMC4498711;26144235;10.1107/S2053230X15008584;International Union of Crystallography ;Acta Crystallographica Section F;2053-230X;1029.03;TRUE
Wellcome Trust;2015;PMC4513130;25979333;10.1074/jbc.M114.627059;The American Society for Biochemistry and Molecular Biology, Inc.;The Journal of Biological Chemistry;0021-9258, 1083-351X;1034.56;TRUE
Wellcome Trust;2015;PMC4188010;25286854;10.1107/S1399004714017581;Wiley;Acta Crystallographica Section D;0907-4449, 1399-0047;1041.56;TRUE
Wellcome Trust;2015;PMC4405644;25733689;10.1128/MCB.01478-14;American Society for Microbiology;Molecular and Cell Biology;0270-7306, 1098-5549;1048.49;TRUE
Wellcome Trust;2015;PMC4432636;25984346;10.1038/sdata.2014.42;Nature Publishing Group;Scientific Data;2052-4463;1052.06;FALSE
Wellcome Trust;2015;PMC4409013;25977820;10.1038/sdata.2015.16;Nature Publishing Group;Scientific Data;2052-4463;1052.06;FALSE
Wellcome Trust;2015;PMC4432653;25984344;10.1038/sdata.2014.36;Nature Publishing Group;Scientific Data;2052-4463;1052.06;FALSE
Wellcome Trust;2015;PMC4540003;26306203;10.1038/sdata.2015.12;Nature Publishing Group;Scientific Data;2052-4463;1052.06;FALSE
Wellcome Trust;2015;PMC4461329;26057794;10.1107/s2053230x15006354;ACTA Publications;Acta Crystallographica Section F;2053-230X;1060.72;TRUE
Wellcome Trust;2015;PMC4528935;26249693;10.1107/S2053230X15010614;International Union of Crystallography;Acta Cryst F;2053-230X;1071.45;TRUE
Wellcome Trust;2015;PMC4536380;26321991;10.3389/fpsyg.2015.01178;Frontiers Research Foundation;Frontiers in Neuroscience;1664-1078;1082.45;FALSE
Wellcome Trust;2015;PMC4356314;25760713;10.1107/S2053230X15001351;Wiley;Acta Crystallographica Section F;2053-230X;1082.80;TRUE
Wellcome Trust;2015;PMC4636628;26525723;10.1136/bmjopen-2015-009088;BMJ;BMJ Open;2044-6055;1092.53;FALSE
Wellcome Trust;2015;PMC4252079;25461959;10.1371/journal.pone.0114028;PLOS;PLOS ONE;1932-6203;1092.53;FALSE
Wellcome Trust;2015;PMC4257615;25478928;10.1371/journal.pone.0113883;PLOS;PLOS ONE;1932-6203;1092.53;FALSE
Wellcome Trust;2015;PMC4257606;25479610;10.1371/journal.pone.0114283;PLOS;PLOS ONE;1932-6203;1092.53;FALSE
Wellcome Trust;2015;PMC4221282;25372459;10.1371/journal.pone.0112247;PLOS;PLOS ONE;1932-6203;1092.53;FALSE
Wellcome Trust;2015;PMC4486835;26190970;10.3389/fncel.2015.00239;Frontiers;Frontiers in Cellular Neuroscience;1662-5102;1107.10;FALSE
Wellcome Trust;2015;PMC4602094;26528151;10.3389/fnbeh.2015.00268;Frontiers;Frontiers in Behavioral Neuroscience;1662-5153;1107.10;FALSE
Wellcome Trust;2015;PMC4526800;26300728;10.3389/fncel.2015.00290;Frontiers;Frontiers in Cellular Neuroscience;1662-5102;1107.10;FALSE
Wellcome Trust;2015;PMC4502341;26236245;10.3389/fpsyg.2015.00925;Frontiers;Frontiers in Psychology;1664-1078;1107.10;FALSE
Wellcome Trust;2015;PMC4325661;25729372;10.3389/fpsyg.2015.00090;Frontiers;Frontiers in Psychology;1664-1078;1107.10;FALSE
Wellcome Trust;2015;PMC4501222;26236246;10.3389/fpsyg.2015.00927;Frontiers;Frontiers in Psychology;1664-1078;1107.10;FALSE
Wellcome Trust;2015;PMC4468941;26136770;10.3389/fgene.2015.00212;Frontiers;Frontiers in Genetics;1664-8021;1107.10;FALSE
Wellcome Trust;2015;PMC4586432;26483713;10.3389/fpsyg.2015.01445;Frontiers;Frontiers in Psychology;1664-1078;1107.10;FALSE
Wellcome Trust;2015;PMC4526808;26300778;10.3389/fphar.2015.00164;Frontiers;Frontiers in Pharmacology;1663-9812;1107.10;FALSE
Wellcome Trust;2015;PMC4379892;25873856;10.3389/fnins.2015.00103;Frontiers;Frontiers in Genetics;1662-4548, 1662-453X;1107.10;FALSE
Wellcome Trust;2015;PMC4347654;25889795;10.1186/s13104-015-1007-1;Biomed Central ;BMC Research Notes;1756-0500;1112.76;FALSE
Wellcome Trust;2015;PMC4208768;25343719;10.1371/journal.pone.0110586;PLOS;PLoS ONE;1932-6203;1116.35;FALSE
Wellcome Trust;2015;PMC4293902;25387830;10.1042/BSR20140150;Portland Press;Biosciences Reports;0144-8463, 1573-4935;1124.90;FALSE
Wellcome Trust;2015;PMC4407614;25954246;10.3389/fendo.2015.00052;Frontiers Media;Frontiers in Endocrinology;1664-2392;1125.95;FALSE
Wellcome Trust;2015;PMC4373508;25859219;10.3389/fphys.2015.00080;Frontiers;Frontiers in Physiology;1664-042X;1137.17;FALSE
Wellcome Trust;2015;PMC4256473;25474027;10.1371/journal.pntd.0003316;PLOS;PLOS Neglected Tropical Diseases;1935-2727, 1935-2735;1139.99;FALSE
Wellcome Trust;2015;PMC4426833;25596205;10.1093/bioinformatics/btu861;Oxford University Press;Bioinformatics;1367-4803, 1367-4811;1146.48;TRUE
Wellcome Trust;2015;PMC4498744;26162093;10.1371/journal.pone.0132239;PLOS;PLOS One;1932-6203;1146.72;FALSE
Wellcome Trust;2015;PMC4212176;24027033;10.3758/s13414-013-0541-y;Springer;Attention, Perception & Psychophysics;1943-3921, 1943-393X;1149.06;TRUE
Wellcome Trust;2015;PMC4267653;25429977;10.1093/nar/gku123;Oxford University Press;Nucleic Acids Research (OA);0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4333373;25572315;10.1093/nar/gku1295;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4267662;25428352;10.1093/nar/gku1254;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4477659;25940628;10.1093/nar/gkv429;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4227794;25326325;10.1093/nar/gku981;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4245959;25389270;10.1093/nar/gku1134;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4482059;25722372;10.1093/nar/gkv135;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4550654;26194024;10.1007/s00134-015-3930-y;Springer;Intensive Care Medicine;0342-4642, 1432-1238;1149.18;TRUE
Wellcome Trust;2015;PMC4267655;;10.1093/nar/gku1238;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4231753;25262348;10.1093/nar/gku884;;Nucleic acids research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4513864;;10.1093/nar/gkv586;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4402522;25779042;10.1093/nar/gkv194;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4384018;25348408;10.1093/nar/gku947;Oxford University Press;Nucleic Acids Research;0305-1048, 1362-4962;1149.18;FALSE
Wellcome Trust;2015;PMC4229124;;10.1371/journal.pone.0112014;PLOS;PLOS ONE;1932-6203;1152.46;FALSE
Wellcome Trust;2015;PMC4227661;;10.1371/journal.pone.0111851;PLOS;PLoS One;1932-6203;1155.96;FALSE
Wellcome Trust;2015;PMC4498629;26162085;10.1371/journal.pone.0132401;PLOS;PLOS Neglected Tropical Diseases;1932-6203;1157.22;FALSE
Wellcome Trust;2015;PMC4504505;26181760;10.1371/journal.pone.0132840;PLOS;PLOS One;1932-6203;1157.22;FALSE
Wellcome Trust;2015;PMC4322845;25713538;10.3389/fphys.2015.00023;Frontiers;Frontiers in Physiology;1664-042X;1157.78;FALSE
Wellcome Trust;2015;PMC4470912;26083409;10.1371/journal.pone.0129928;PLOS;PLOS ONE;1932-6203;1160.24;FALSE
Wellcome Trust;2015;PMC4474610;26090798;10.1371/journal.pone.0130356;PLOS;PLoS One;1932-6203;1164.54;FALSE
Wellcome Trust;2015;PMC4332656;25679979;10.1371/journal.pone.0116342;PLOS;PLOSOne;1932-6203;1164.54;FALSE
Wellcome Trust;2015;PMC4331495;25689628;10.1371/journal.pone.0118187;PLOS;PLOS ONE;1932-6203;1165.65;FALSE
Wellcome Trust;2015;PMC4593553;26437372;10.1371/journal.pcbi.1004355;PLOS;PLoS Computational Biology;1553-734X, 1553-7358;1166.85;FALSE
Wellcome Trust;2015;PMC4452790;26034982;10.1371/journal.pone.0128513;PLOS;PLoS One;1932-6203;1168.98;FALSE
Wellcome Trust;2015;PMC4476610;26098415;10.1371/journal.pone.0129063;PLOS;PLoS One;1932-6203;1168.98;FALSE
Wellcome Trust;2015;PMC4216080;25360558;10.1371/journal.pone.0111518;PLOS;PLoS One;1932-6203;1171.70;FALSE
Wellcome Trust;2015;PMC4520585;26225853;10.1371/journal.pone.0136976;PLOS;PLOS One;1932-6203;1174.54;FALSE
Wellcome Trust;2015;PMC4469320;26079685;10.1371/journal.pone.0129468;PLOS;PLOS One;1932-6203;1175.90;FALSE
Wellcome Trust;2015;PMC4550285;;10.1371/journal.pone.0134883;PLOS;PLOS;1932-6203;1179.73;FALSE
Wellcome Trust;2015;PMC3879413;24392306;10.1016/j.nicl.2013.12.004;Elsevier;NeuroImage: Clinical;2213-1582;1182.90;FALSE
Wellcome Trust;2015;PMC4250081;;10.1371/journal.pone.0114117;PLOS;PLoS One;1932-6203;1185.96;FALSE
Wellcome Trust;2015;PMC4580650;26398888;10.1371/journal.pone.0138545;PLOS;PLOS One;1932-6203;1191.66;FALSE
Wellcome Trust;2015;PMC4468205;26076167;10.1371/journal.pone.0129470;PLOS;PLOS One;1932-6203;1191.66;FALSE
Wellcome Trust;2015;PMC4556633;26325073;10.1371/journal.pone.0136962;PLOS;PLoS ONE;1932-6203;1193.69;FALSE
Wellcome Trust;2015;PMC4364955;25785774;10.1371/journal.pone.0119120;PLOS;PLOSOne;1932-6203;1194.17;FALSE
Wellcome Trust;2015;PMC4382175;;10.1371/journal.pone.0121303;PLOS;PLOS ONE;1932-6203;1197.95;FALSE
Wellcome Trust;2015;PMC4380462;25826619;10.1371/journal.pone.0122589;PLOS;PLOS One;1932-6203;1199.23;FALSE
Wellcome Trust;2015;PMC4486172;26121586;10.1371/journal.pone.0131218;PLOS;PLOS D;1932-6203;1200.38;FALSE
Wellcome Trust;2015;PMC4449205;;10.1371/journal.pone.0127712;PLOS;PLOS;1932-6203;1204.20;FALSE
;;;;;;;;;
Wellcome Trust;2015;PMC4468061;;10.1371/journal.pone.0129548;PLOS;PLOS ONE;1932-6203;1205.60;FALSE
Wellcome Trust;2015;PMC4569348;26367874;10.1371/journal.pone.0136207;PLOS;PLoS One;1932-6203;1206.50;FALSE
Wellcome Trust;2015;PMC4569550;26367740;10.1371/journal.pone.0137947;PLOS;PLoS ONE;1932-6203;1207.46;FALSE
Wellcome Trust;2015;PMC4179512;25324843;10.3389/fimmu.2014.00466;;Frontiers in immunology;1664-3224;1210.70;FALSE
Wellcome Trust;2015;PMC4547745;;10.1371/journal.pone.0134620;PLOS;PLOS;1932-6203;1211.32;FALSE
Wellcome Trust;2015;PMC4557950;;10.1371/journal.pone.0137377;PLOS;PLOS;1932-6203;1211.32;FALSE
Wellcome Trust;2015;PMC4577127;26390124;10.1371/journal.pone.0138026;PLOS;PLoS One;1932-6203;1215.23;FALSE
Wellcome Trust;2015;PMC4468130;;10.1371/journal.pone.0130147;PLOS;PLOS ONE;1932-6203;1216.13;FALSE
Wellcome Trust;2015;PMC4583259;26406307;10.1371/journal.pone.0138762;PLOS;PLoS One;1932-6203;1216.32;FALSE
Wellcome Trust;2015;PMC4300917;25653599;10.3389/fnsys.2014.00250;Frontiers;Frontiers in Systems Neuroscience;1662-5137;1217.63;FALSE
Wellcome Trust;2015;PMC4468870;26136743;10.3389/fimmu.2015.00303;Frontiers;Frontiers in Immunology;1664-3224;1219.05;FALSE
Wellcome Trust;2015;PMC4427185;25962075;10.1371/journal.pone.0126666;PLOS;PLosONE;1932-6203;1220.84;FALSE
Wellcome Trust;2015;PMC4441256;25135277;10.1111/mmi.12755;Wiley;Molecular Microbiology;0950-382X, 1365-2958;1220.93;TRUE
Wellcome Trust;2015;PMC4372349;25803307;10.1371/journal.pone.0119718;PLOS;PLoS One;1932-6203;1222.80;FALSE
Wellcome Trust;2015;PMC4390202;25853703;10.1371/journal.pone.0121357;PLOS;PLoS One;1932-6203;1222.80;FALSE
Wellcome Trust;2015;PMC4285868;25610399;10.3389/fphys.2014.00508;Frontiers;Frontiers in Physiology;1664-042X;1222.90;FALSE
Wellcome Trust;2015;PMC4435908;25984723;10.1371/journal.pone.0126271;PLOS;PLoS Medicine;1932-6203;1223.96;FALSE
Wellcome Trust;2015;PMC4283608;25601869;10.3389/fimmu.2014.00677;Frontiers Media;Frontiers in Immunology;1664-3224;1232.49;FALSE
Wellcome Trust;2015;PMC4441487;26001071;10.1371/journal.pone.0127713;PLOS;PLOS ONE;1932-6203;1236.38;FALSE
Wellcome Trust;2015;PMC4240045;25484868;10.3389/fphys.2014.00445;Frontiers;Frontiers in Physiology ;1664-042X;1240.90;FALSE
Wellcome Trust;2015;PMC4528075;26079577;10.1016/j.ydbio.2015.06.003;Elsevier;Developmental Biology;0012-1606, 1095-564X;1240.90;TRUE
Wellcome Trust;2015;PMC4430519;;10.1371/journal.pone.0125997;PLOS;PLOS One;1932-6203;1241.00;FALSE
Wellcome Trust;2015;PMC4498604;26143919;10.1107/S1399004715008548;International Union of Crystallography;Acta Crystallographica Section D;0907-4449, 1399-0047;1244.89;TRUE
Wellcome Trust;2015;PMC4323408;25669238;10.3402/gha.v8.25946;Co-Action Publishing;Global Health Action;1654-9716, 1654-9880;1249.54;FALSE
Wellcome Trust;2015;PMC4382121;;10.1371/journal.pone.0123028;PLOS;PLoS One;1932-6203;1254.55;FALSE
Wellcome Trust;2015;PMC4603017;26200614;10.1097/MD.0000000000001134;Wolters Kluwer;Medicine;0025-7974, 1536-5964;1256.95;FALSE
Wellcome Trust;2015;PMC4498606;26143927;10.1107/S1399004715009220;International Union of Crystallography;Acta Crystallographica. Section D: Biological Crystallography;0907-4449, 1399-0047;1257.31;TRUE
Wellcome Trust;2015;PMC4361455;25296657;10.1177/1087057114552623;SAGE;Journal of Biomolecular Screening ;1087-0571, 1552-454X;1267.51;TRUE
Wellcome Trust;2015;PMC4479086;26108367;10.1186/s40478-015-0212-4;Biomed Central ;Acta Neuropathologica Communications;2051-5960;1270.97;FALSE
Wellcome Trust;2015;PMC4479315;26108573;10.1186/s40478-015-0218-y;Springer;Acta Neuropathologica Communications;2051-5960;1270.97;FALSE
Wellcome Trust;2015;PMC4382188;25830774;10.1371/journal.pone.0123649;PLOS;PLOS ONE;1932-6203;1273.16;FALSE
Wellcome Trust;2015;PMC4567016;26108357;10.1002/cam4.477;Wiley;Cancer Medicine;2045-7634;1275.96;FALSE
Wellcome Trust;2015;PMC4486961;26130263;10.1038/srep11729;Nature Publishing Group;Scientific Reports;2045-2322;1281.90;FALSE
Wellcome Trust;2015;PMC4326798;25516594;10.1074/jbc.m114.622498;;The Journal of Biological Chemistry;0021-9258, 1083-351X;1284.00;TRUE
Wellcome Trust;2015;PMC4414211;25960916;10.1155/2015/381281;Hindawi;Parkinson's Disease;2090-8083, 2042-0080;1298.71;FALSE
Wellcome Trust;2015;PMC4275206;25535746;10.1371/journal.pone.0114575;PLOS;PLOS ONE;1932-6203;1299.78;FALSE
Wellcome Trust;2015;PMC4305370;25460248;10.1016/j.scr.2014.10.007;Elsevier;Stem Cell Research;1873-5061, 1876-7753;1300.24;FALSE
Wellcome Trust;2015;PMC4255825;25428953;10.14814/phy2.12231;Wiley;Physiological Reports;2051-817X;1301.59;FALSE
Wellcome Trust;2015;PMC4521287;25946119;10.1021/jacs.5b03730;ACS;Journal of the American Chemical Society;0002-7863, 1520-5126;1306.56;TRUE
Wellcome Trust;2015;PMC4388264;25849394;10.1107/S1399004715001388;International Union of Crystallography ;Acta Crystallographica Section D Biological Crystallography;0907-4449, 1399-0047;1311.90;TRUE
Wellcome Trust;2015;PMC4564392;26448913;10.1016/j.nicl.2015.07.002;Elsevier;Neuroimage: Clinical;2213-1582;1319.77;FALSE
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Wellcome Trust;2015;PMC4394146;26041943;10.1016/j.csda.2014.12.007;Elsevier;Computational Statistics and Data Analysis;0167-9473;1327.29;TRUE
Wellcome Trust;2015;PMC4180932;25264771;10.1371/journal.pone.0108372;PLOS;P L o S Biology�Ã��Â� ;1932-6203;1337.43;FALSE
Wellcome Trust;2015;PMC4281213;25551826;10.1371/journal.pone.0116126;PLOS;PLoS One;1932-6203;1338.47;FALSE
Wellcome Trust;2015;PMC4146515;25162539;10.1371/journal.pone.0105302;PLOS;P L o S Biology;1932-6203;1338.74;FALSE
Wellcome Trust;2015;PMC4272291;25526617;10.1371/journal.pone.0115374;PLOS;PLoS One;1932-6203;1342.24;FALSE
Wellcome Trust;2015;PMC4186810;25286379;10.1371/journal.pone.0108839;PLOS;P L o S One;1932-6203;1342.51;FALSE
Wellcome Trust;2015;PMC4231104;25393410;10.1371/journal.pone.0112768;PLOS;PLoS One;1932-6203;1344.15;FALSE
Wellcome Trust;2015;PMC4268703;25830295;10.1371/journal.pone.0121271;PLOS;PLoS ONE;2041-1723;1346.64;FALSE
Wellcome Trust;2015;PMC4224508;25380074;10.1371/journal.pone.0112547;PLOS;P L o S One;1932-6203;1346.82;FALSE
Wellcome Trust;2015;PMC4259366;25486534;10.1371/journal.pone.0114725;PLOS;PLoS One;1932-6203;1348.79;FALSE
Wellcome Trust;2015;PMC4498093;;10.1074/jbc.M115.661280;ASBMB;Journal of Biological Chemistry;0021-9258, 1083-351X;1348.80;TRUE
Wellcome Trust;2015;PMC4495238;;10.1523/JNEUROSCI.0323-15.2015;Society for Neuroscience;Journal of Neuroscience;0270-6474, 1529-2401;1348.80;TRUE
Wellcome Trust;2015;PMC4319009;25368322;10.1074/jbc.M114.604397;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1353.05;TRUE
Wellcome Trust;2015;PMC4375503;25670864;10.1074/jbc.M114.619270;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;1353.51;TRUE
;;;;;;;;;
Wellcome Trust;2015;PMC4316997;25505271;10.1074/jbc.m114.621789;;The Journal of Biological Chemistry;0021-9258, 1083-351X;1359.77;TRUE
Wellcome Trust;2015;PMC4256164;25474696;10.1371/journal.pone.0113637;PLOS;PLoS One;1932-6203;1362.84;FALSE
