PMID,PMCID,DOI,Publisher,Journal title,ISSN,Fully Open Access Journal,Article title,Cost,"Discounts, memberships & pre-payment agreements",Fulltext in EPMC?,Licence in EPMC,Licence on publisher website,Accepted Author Manuscript?,Ahead of Print?,COAF Compliant?,Funder of research (1),Grant ID (1),Funder of research (2),Grant ID (2),Funder of research (3),Grant ID (3)
28100469,Unknown,10.1158/1940-6207.capr-16-0247-t,American Association for Cancer Research (AACR),"Cancer prevention research (Philadelphia, Pa.)","1940-6207, 1940-6215",0,Immunohistochemical Phenotype of Breast Cancer during 25-Year Follow-up of the Royal Marsden Tamoxifen Prevention Trial,2280,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,not listed,,,,
28062704,PMC5302142,10.1158/1535-7163.mct-16-0239,American Association for Cancer Research (AACR),Molecular cancer therapeutics,"1535-7163, 1538-8514",0,Radiosensitization by the ATR Inhibitor AZD6738 through Generation of Acentric Micronuclei,2280,None,1,non-standard-licence,Unknown,1,Unknown,0,Cancer Research UK,C7224/ A13407,,,,
28611109,Unknown,10.1158/1535-7163.mct-16-0731,American Association for Cancer Research (AACR),Molecular cancer therapeutics,"1535-7163, 1538-8514",0,An In Vivo Functional Screen Identifies JNK Signaling As a Modulator of Chemotherapeutic Response in Breast Cancer,2260.5,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,not listed,,,,
28637716,Unknown,10.1158/1535-7163.mct-16-0881,American Association for Cancer Research (AACR),Molecular cancer therapeutics,"1535-7163, 1538-8514",0,Modulation of Plasma Metabolite Biomarkers of the MAPK Pathway with MEK Inhibitor RO4987655: Pharmacodynamic and Predictive Potential in Metastatic Melanoma,2055,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,C309/A11566,Wellcome Trust,090952/Z/09/Z,,
28377413,Unknown,10.1373/clinchem.2016.264648,American Association for Clinical Chemistry (AACC),Clinical chemistry,"0009-9147, 1530-8561",0,Quantifying the release of biomarkers of myocardial necrosis from cardiac myocytes and intact myocardium,3282.83,None,0,Unknown,Unknown,0,0,0,MRC,G1000737,British Heart Foundation,,,
28798962,PMC5544394,10.1126/sciadv.1701726,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,1,Structural pathway of regulated substrate transfer and threading through an Hsp100 disaggregase,3795.19,Not reported,1,CC-BY-NC,CC-BY,0,0,0,Wellcome Trust,106249/Z/14/Z,,,,
28508041,PMC5409496,10.1126/sciadv.1602506,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,1,Mitochondrial protein-linked DNA breaks perturb mitochondrial gene transcription and trigger free radical induced DNA damage,3483.13,Not reported,1,cc-by-nc,cc-by,0,Unknown,0,Wellcome Trust,103844,Other,,,
28138526,PMC5262463,10.1126/sciadv.1601007,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,1,A conducting polymer with enhanced electronic stability applied in cardiac models,4521.26,Not reported,1,cc-by,not applicable,0,Unknown,1,British Heart Foundation,RM/13/1/30157,Wellcome Trust,098411/Z/12/Z,,
28630905,PMC5470826 ,10.1126/sciadv.1602536,American Association for the Advancement of Science (AAAS),Science Advances,,1,Mechanical deformation induces de-polarization of neutrophils,3263.46,None,1,cc-by,not applicable,0,Unknown,1,MRC,,Wellcome Trust,,,
28630934,PMC5473672,10.1126/sciadv.1701016,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,1,Ligand binding to a G-protein coupled receptor captured in a mass spectrometer,3232.33,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,104633/Z/14/Z,,,,
28116358,PMC5249258,10.1126/sciadv.1601871,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,1,Dynamic interactions between a membrane binding protein and lipids induce fluctuating diffusivity,3113.87,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,ALRTLW00,,,,
28378014,PMC5365251,10.1126/sciadv.1601692,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,1,Biophysical assay for tethered signalling reactions reveals tether-controlled activity for the phophatase SHP-1,3091.2,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,BVRXBY00,,,,
27847865,PMC5106201,10.1126/sciadv.1600990,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,1,In vivo characterization of distinct modality-specific subsets of somatosensory neurons using GCaMP,2512.72,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,101054/Z/13/Z  John Wood,MRC,J.N.W. also thanks the Medical Research Council [...] for research support  John Nicholas Wood,,
27704804,PMC5149404,10.1021/acs.jnatprod.6b00634,American Chemical Society (ACS),Journal of natural products,,0,"Synthesis of 13(R)?Hydroxy?7Z,10Z,13R,14E,16Z,19Z Docosapentaenoic Acid (13R?HDPA) and Its Biosynthetic Conversion to the 13-Series Resolvins",4929.76,,1,CC-BY,not applicable,0,Unknown,1,Wellcome Trust,107613/Z/15/Z,0,0,0,0
28627869,PMC5559180,10.1021/acs.analchem.7b00922,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",0,Effects of detergent micelles on lipid binding to proteins in electrospray ionization mass spectrometry,4564.82,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,104633/Z/14/Z,,,,
26895095,PMC5338466,10.1021/acsnano.6b00142,American Chemical Society (ACS),ACS nano,"1936-0851, 1936-086X",0,Evaluation of illumination system uniformity for wide-field biomedical hyperspectral imaging,2040,None,1,non-standard-licence,Unknown,1,Unknown,0,EPSRC,C14303/A17197,MRC,,Cancer Research UK,
28337325,Unknown,10.1021/acsmedchemlett.6b00497,American Chemical Society (ACS),ACS Medicinal Chemistry Letters,1948-5875,0,Tetrahydroisoquinoline-7-carboxamide Derivatives as New Selective Discoidin Domain Receptor 1 (DDR1) Inhibitors,1953.6,,0,Unknown,Unknown,0,0,0,Wellcome Trust,106169/ZZ14/Z,,,,
27978620,Unknown,10.1021/acssynbio.6b00219,American Chemical Society (ACS),ACS synthetic biology,2161-5063,0,Reprogramming the transcriptional response to hypoxia with a chromosomally encoded cyclic peptide HIF-1 inhibitor.,1950.59,Institutional_ membership discount,0,Unknown,Unknown,0,0,0,Cancer Research UK,EP/H04986X/1,,,,
28135086,Unknown,10.1021/acs.jmedchem.6b01690,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",0,Thienopyrimidinone based sirtuin-2 (SIRT2)-selective inhibitors bind in the ligand induced 'selectivity pocket'.,1907.64,Not reported,0,Unknown,Unknown,0,0,0,Cancer Research UK,C21484/A6944/A9520/G20971,,,,
28004573,Unknown,10.1021/acs.jmedchem.6b01055,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",0,Discovery of a Chemical Probe Bisamide (CCT251236): An Orally Bioavailable Efficacious Pirin Ligand from a Heat Shock Transcription Factor 1 (HSF1) Phenotypic Screen,1519,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,C309/A8274,,,,
28323427,PMC5410652,10.1021/acs.jmedchem.6b01897,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",0,Kinetin riboside and its ProTides activate the ParkinsonÂ’s disease associated PTEN-induced putative kinase 1 (PINK1) independent of mitochondrial depolarisation,4042.66,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,101022/Z/13/Z,,,,
27532490,PMC5515508,10.1021/acs.jpclett.6b01525,American Chemical Society (ACS),The journal of physical chemistry letters,1948-7185,0,Benzene probes in molecular dynamics simulations reveal novel binding sites for ligand design,3998.328,None,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C240/A15751,,,,
27478903,PMC5404824,10.1021/acs.biochem.6b00098,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",0,Engineering nucleotide specificity of succinyl-CoA synthetase in Blastocystis: The emerging role of gatekeeper residues,3947.04,Other,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,078566/A/05/Z ,0,0,0,0
28164708,PMC5363888,10.1021/acs.jproteome.6b00915,American Chemical Society (ACS),Journal of proteome research,"1535-3893, 1535-3907",0,Expanding proteome coverage with Charge Ordered Parallel Ion Analysis (CHOPIN) combined with broad specificity proteolysis,3907.2,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,105605/Z/14/Z,,,,
28033704,PMC5259755,10.1021/acschembio.6b00898,American Chemical Society (ACS),ACS chemical biology,"1554-8929, 1554-8937",0,Disruption of mycobacterial AftB results in complete loss of terminal ?(1?2) arabinofuranose residues of lipoarabinomannan,3892.31,ACS_AuthorChoice Institutional membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,081569/Z/06/Z,MRC,MR/K012118/1,,
27807980,PMC5402295,10.1021/acs.jpcb.6b08445,American Chemical Society (ACS),The journal of physical chemistry. B,"1520-6106, 1520-5207",0,Convergence and Sampling in Determining Free Energy Landscapes for Membrane Protein Association,3859.45,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT100946AIA,MRC,studentship,,
27775316,PMC5138009,10.1021/acsami.6b10986,American Chemical Society (ACS),ACS applied materials & interfaces,"1944-8244, 1944-8252",0,Making Silicone Rubber Highly Resistant to Bacterial Attachment Using Thiol-ene Grafting,3849.18,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,103882/Z/14/Z,,,,
28051298,PMC5404277,10.1021/acschembio.6b00958,American Chemical Society (ACS),ACS chemical biology,"1554-8929, 1554-8937",0,The activity of histone lysine demethylase KDM4A is highly sensitive to oxygen concentrations,3843.38,,1,cc-by,not applicable,0,Unknown,1,British Heart Foundation,RE/08/004/23915,,,,
28260837,PMC5333186 ,10.1021/acs.chemmater.6b04144,American Chemical Society (ACS),Chemistry of Materials,,0,Facet-Dependent Interactions of Islet Amyloid Polypeptide with Gold Nanoparticles: Implications for Fibril Formation and Peptide-Induced Lipid Membrane Disruption,3815.28,Not reported,1,CC-BY,not applicable,0,0,1,Wellcome Trust,"100280/Z/12/Z, WT/104933/z/14/z",,,,
28068080,PMC5299548,10.1021/acs.biochem.6b00966,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",0,"Effect of the Southeast Asian Ovalocytosis Deletion on the Conformational Dynamics of the Signal-Anchor Transmembrane Segment 1 of the Red Cell Anion Exchanger 1 (AE1, Band 3, SLC4A1)",3812.86,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,092970/788Z/10/Z,,,,
27786441,PMC5120876,10.1021/acs.biochem.6b00751,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",0,Lipid Loving ANTs: Molecular Simulations of Cardiolipin Interactions and the Organization of the Adenine Nucleotide Translocase in Model Mitochondrial Membranes,3790.87,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,092970/Z/10/Z,,,,
28799737,PMC5778389 ,10.1021/acssynbio.7b00209,American Chemical Society (ACS),ACS Synthetic Biology,,0,Method to assemble genomic DNA fragments or genes on Human Artificial Chromosome with regulated kinetochore using a multi-integrase system,3787.31,Not reported,1,CC-BY,not applicable,0,Unknown,1,Wellcome Trust,107022,,,,
28505463,PMC5499097,10.1021/acs.molpharmaceut.7b00172,American Chemical Society (ACS),Molecular pharmaceutics,"1543-8384, 1543-8392",0,In Vivo Pretargeted Imaging of HER2 and TAG-72 Expression Using the HaloTag Enzyme,3761.46,,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C5255/A23755,,,,
28786670,PMC5615372,10.1021/acs.jcim.7b00347,American Chemical Society (ACS),Journal of chemical information and modeling,"1549-9596, 1549-960X",0,A Statistical Analysis On The Performance Of MMPBSA Versus Absolute Binding Free Energy Calculations: Bromodomains As A Case Study,3695.15,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,092809/Z/10/Z,EPSRC,EP/G037280/1,,
28060518,PMC5323018,10.1021/acs.est.6b05557,American Chemical Society (ACS),Environmental science & technology,"0013-936X, 1520-5851",0,"In use emissions and estimated health and climatic impacts of traditional, natural - and forced-draft cookstoves in rural Malawi",3313.97,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,MR/K006533/1,,,,
27798837,PMC5241706,10.1021/acsinfecdis.6b00078,American Chemical Society (ACS),ACS infectious diseases,2373-8227,0,"BiochemicalÂ andÂ StructuralÂ CharacterizationÂ ofÂ SelectiveÂ AllostericÂ InhibitorsÂ of the Plasmodium falciparum Drug Target, Prolyl-tRNA-synthetase",3242.65,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,100476,NIH,HHSN272201200025C,Other,1042272; 585519  
28267312,PMC5423704,10.1021/acs.analchem.6b03745,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",0,Quirks of Error Estimation in Cross-Linking/Mass Spectrometry,3148.07,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,103139,Wellcome Trust,092076,Wellcome Trust,108504
27574865,PMC5025830,10.1021/jacs.6b04880,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",0,Roles of interleaflet coupling and hydrophobic mismatch in lipid membrane phase-separation kinetics,3136.12,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,ALRTLW00,,,,
28782931,PMC5588098,10.1021/acs.analchem.7b01358,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",0,An LC-MS/MS Based Method for the Quantification of Pyridox(am)ine 5-Phosphate Oxidase Activity in Dried Blood Spots from Patients with Epilepsy,3080.42,ACS_AuthorChoice Institutional membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,095662/Z/11/Z  Paul Gissen,,  ,,
28915025,PMC5637010,10.1021/acs.biochem.7b00769,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",0,Structural evidence for the dopamine-first mechanism of norcoclaurine synthase,2965.42,ACS_AuthorChoice Institutional membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,096626/Z/11/Z  Benjamin Lichman,,  ,,
28393132,PMC5377273,10.1021/acsomega.6b00395,American Chemical Society (ACS),ACS omega,2470-1343,1,Electroformation of Giant Unilamellar Vasicles on Stainless Steel Electrodes,1953.6,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,104924/14/Z/14,EPSRC,EP/I021795/1,,
27934314,PMC5193467,10.1021/acs.inorgchem.6b02560,American Chemical Society (ACS),Inorganic chemistry,"0020-1669, 1520-510X",0,Iridium Cyclooctene Complex Forms a Hyperpolarization Transfer Catalyst Before Converting to a Binuclear C-H Bond Activation Product Responsible for Hydrogen Isotope Exchange,2445.34,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,092506/B/10/Z,Wellcome Trust,098335/Z/12/Z,,
28208298,PMC5299547,10.1021/acs.analchem.6b02875,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",0,Surface Accessibility and Dynamics of Macromolecular Assemblies Probed by Covalent Labeling Mass Spectrometry and Integrative Modeling,2367.32,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,109854/Z/15/Z,,,,
26923775,PMC4898862,10.1021/acs.nanolett.6b00273,American Chemical Society (ACS),Nano letters,"1530-6984, 1530-6992",0,Super-resolved traction force microscopy (STFM),2356.22,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,104924/Z/14/Z,,,,
28482155,PMC5601361,10.1021/acs.jmedchem.7b00058,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",0,Targeting the Receptor for Advanced Glycation Endproducts (RAGE): A Medicinal Chemistry Perspective,2279.38,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,MRC,MR/K022733/1,Wellcome Trust,WT 088641/Z/09/Z,,
27726344,PMC5257173,10.1021/jacs.6b07440,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",0,"Disrupting the Constitutive, Homodimeric Protein-Protein Interface in CK2? Using a Biophysical Fragment-Based Approach.",2034.35,None,1,cc-by,not applicable,0,Unknown,1,,090340/Z/09/Z,,,,
28192993,PMC5287478,10.1021/acs.analchem.6b02528,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",0,Quantitative Affinity Determination by Fluorescence Anisotropy Measurements of Individual Nanoliter Droplets.,2010.72,None,1,cc-by,not applicable,0,Unknown,1,EPSRC,,MRC,,Wellcome Trust,
28073262,PMC5338000,10.1021/acs.nanolett.6b03686,American Chemical Society (ACS),Nano letters,"1530-6984, 1530-6992",0,Fluorescence Self-Quenching from Reporter Dyes Informs on the Structural Properties of Amyloid Clusters Formed in Vitro and in Cells.,1992.29,None,1,cc-by,not applicable,0,Unknown,1,EPSRC,,MRC,,Wellcome Trust,
27779865,PMC5349656,10.1021/acschembio.6b00896,American Chemical Society (ACS),ACS chemical biology,"1554-8929, 1554-8937",0,Characterization of Hedgehog Acyltransferase Inhibitors Identifies a Small Molecule Probe for Hedgehog Signaling by Cancer Cells,1965.77,Not reported,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C6433/A16402,,,,
27559824,PMC5193468,10.1021/acs.biochem.6b00682,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",0,Human Lin28 forms a high-affinity 1:1 complex with the 106~363 cluster miRNA miR-363,1962.75,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT098230,Wellcome Trust,WT095024MA,,
27781436,PMC5121927,10.1021/acsnano.6b05935,American Chemical Society (ACS),ACS nano,"1936-0851, 1936-086X",0,Exploiting the Metal Chelating Properties of the Drug Cargo for In Vivo Positron Emission Tomography Imaging of Liposomal Nanomedicines,1925.22,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust ,088641/Z/09/Z,,,,
28737909,PMC5578373,10.1021/acs.jmedchem.7b00484,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",0,Inhibitory kappa B kinase (IKK) inhibitors that recapitulate their selectivity in cells against isoform-related biomarkers,1924.1,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C7599/A9336,,,,
27617704,PMC5301280,10.1021/acs.jmedchem.6b00355,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",0,Discovery and optimization of a selective ligand for the Switch/Sucrose Non-Fermenting-related bromodomains of Polybromo protein-1 by the use of virtual screening and hydration analysis,1915.4,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,095751/Z/11/Z,,,,
28084734,PMC5358875,10.1021/jacs.6b10234,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",0,Macrocyclized Extended Peptides: Inhibiting the Substrate-Recognition Domain of Tankyrase.,1901.1,None,1,cc-by,not applicable,0,Unknown,1,EPSRC,,MRC,,Wellcome Trust,
27966893,PMC5314429,10.1021/acs.bioconjchem.6b00621,American Chemical Society (ACS),Bioconjugate chemistry,"1043-1802, 1520-4812",0,Enhancing PET signal at target tissue in vivo: dendritic and multimeric tris(hydroxypyridinone) conjugates for molecular imaging of avÃŸ3 integrin expression with gallium-68,1877.34,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,,,,,
28421739,PMC5432960,10.1021/acsami.6b13807,American Chemical Society (ACS),ACS applied materials & interfaces,"1944-8244, 1944-8252",0,Ultraefficient Cap-Exchange Protocol To Compact Biofunctional Quantum Dots for Sensitive Ratiometric Biosensing and Cell Imaging,1863.9,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT097354/Z/11/Z,BBSRC,BB/L016044/1,,
28425697,PMC5467178,10.1021/acs.biochem.7b00179,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",0,Conserved helix-flanking prolines modulate IDP:target affinity by altering the lifetime of the bound complex,1863.38,None,1,cc-by,not applicable,0,Unknown,1,BBSRC,,Wellcome Trust,,,
28350443,PMC5425944,10.1021/jacs.6b11040,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",0,Monitoring the Disassembly of Virus-like Particles by 19F-NMR,1861.19,,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C5255/A10339,,,,
28107630,PMC5504488,10.1021/jacs.6b12180,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",0,2'-O-Methyl-5-hydroxymethylcytidine: A Second Oxidative Derivative of 5-Methylcytidine in RNA.,1850.6,None,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,099232/z/12/z,Wellcome Trust,,,
28766938,PMC5569669,10.1021/acs.inorgchem.7b01247,American Chemical Society (ACS),Inorganic chemistry,"0020-1669, 1520-510X",0,Rhenium and Technetium-oxo complexes conjugated to the tumour avid peptides octreotate and cyclic-RGDfK,1808.61,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,,Cancer Research UK,,EPSRC,
28768414,PMC5648240,10.1021/acs.jproteome.7b00425,American Chemical Society (ACS),Journal of proteome research,"1535-3893, 1535-3907",0,Quantitative Temporal in Vivo Proteomics Deciphers the Transition of Virus-Driven Myeloid Cells into M2 Macrophages.,1790.11,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,,,,,
28430416,PMC5441754,10.1021/acs.analchem.6b04938,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",0,Complementary Benzophenone Cross-Linking/Mass Spectrometry Photochemistry,1575.44,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,103139,Wellcome Trust,092076,Wellcome Trust,108504
28402676,PMC5436099,10.1021/acs.analchem.6b04935,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",0,Optimizing the Parameters Governing the Fragmentation of Cross-Linked Peptides in a Tribrid Mass Spectrometer,1574.46,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,103139,Wellcome Trust,092076,Wellcome Trust,108504
28824821,PMC5557615,10.1021/acscatal.6b03121,American Chemical Society (ACS),ACS catalysis,2155-5435,0,"Mild and Regioselective Pd(OAc)2-Catalyzed CÂ–H Arylation of Tryptophans by [ArN2]X, Promoted by Tosic Acid",1567.43,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,204829,,,,
28880078,PMC5618157,10.1021/jacs.7b06506,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",0,The role of disulfide bond replacements in analogues of the tarantula toxin ProTx-II and their effects on inhibition of the voltage-gated sodium ion channel Nav1.7,1550.67,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,104913/Z/14/Z; 109073/Z/15/Z  Stephen McCarthy; Gabriel Waksman,,  ,,
28561568,PMC5481815,10.1021/acs.bioconjchem.7b00185,American Chemical Society (ACS),Bioconjugate chemistry,"1043-1802, 1520-4812",0,Tunable Semiconducting Polymer Nanoparticles with INDT-Based Conjugated Polymers for Photoacoustic Molecular Imaging,1537.18,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,"C1519/A6906, C5255/A15935  Peter Johnson, Robin Bofinger",EPSRC,"C1519/A6906, C5255/A15935  Peter Johnson, Robin Bofinger",,
27676129,PMC5102453,10.1021/acs.analchem.6b02242,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",0,Spatial Localization and Quantitation of Androgens in Mouse Testis by Mass Spectrometry,1407.07,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,107049,British Heart Foundation,RG-05-008,British Heart Foundation,RE/08/001
28595007,PMC5788402,10.1021/acs.jmedchem.6b01912,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",0,Impact of target warhead and linkage vector on inducing protein degradation: comparison of Bromodomain and Extra-Terminal (BET) degraders derived from triazolodiazepine (JQ1) and tetrahydroquinoline (I-BET726) BET inhibitor scaffolds,983.21,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,100476/Z/12/Z,BBSRC,BB/J001201/2,,
28437106,PMC5441753,10.1021/acs.jmedchem.7b00147,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",0,Allosteric targeting of the Fanconi anemia ubiquitin-conjugating enzyme Ube2T by fragment screening,982.07,ACS_AuthorChoice membership discount,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,100476/Z/12/Z,MRC,094090/Z/10/Z,,
