PMCID;PMID;DOI;Publisher;Journal title;ISSN;Article title;Cost (£) (inc VAT when charged);Fulltext in Europe PMC?;Early View? Yes/No;Date first published online (only where yes to early view);Accepted author manuscript?;Licence;Licence Source;Journal Type;COAF compliant?;Funder of research (1);Funder of research (2);Funder of research (3);Grant ID (1);Grant ID (2);Grant ID (3);
PMC4007766;24317296;10.1242/jcs.137463;Company of Biologists;Journal of Cell Science;0021-9533, 1477-9137;"ICAM-2 facilitates luminal interactions between neutrophils and
endothelial cells in vivo";480;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;098291/Z/12/Z;;;
PMC4419855;25999807;10.3389/fnins.2015.00156;Frontiers;Frontiers in Neuroscience;1662-4548, 1662-453X;The Blood-Brain Barrier and Methamphetamine: Open Sesame?;491.625;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation;;;Phd Fellowship;;;
PMC4422874;0;10.1177/0003489414565003;Sage;Annals of Otology, Rhinology & Laryngology;0003-4894, 1943-572X;How reliable are sino nasal cell line for studying the pathophysiology of chronic rhinosinusitis?;494.89;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;100201/Z/12/Z;0;0;
PMC4390285;25853246;10.1371/journal.pone.0122673;CURATIO International Foundation;PLOS One;1932-6203;Health service utilization for mental, behavioral and emotional problems among conflict-affected population in Georgia: a cross-sectional study.;500;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT093562/Z/10/Z;;;
PMC4591359;26426329;10.1371/journal.pone.0139319;PLOS;PLOS One;1932-6203;Concurrent Relations Between Face Scanning and Language: A cross-syndromw Infant Study;503.5;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;Other;0;098330/Z/12/Z;0;0;
PMC4358641;25780755;10.7717/peerj.785;PeerJ;PeerJ;2167-8359;Body composition in Nepalese children using isotope dilution: the production of ethnic-specific calibration equations and an exploration of methodological issues;509.35;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;092121/Z/10/Z;;;
PMC4476844;25431483;10.1093/rheumatology/keu445;;Rheumatology;1462-0324, 1462-0332;Necrotizing and crescentic glomerulonephritis presenting with preserved renal function in patients with underlying multisystem autoimmune disease: a retrospective case series;£525.00;1;;;0;cc-by;epmc_xml;hybrid;1;MRC/Wellcome Trust;;;"G0901997/1; 097882/Z/11/Z";;;
PMC4314782;25510503;10.1242/dmm.017285;Smart Science and Technology;Inflamation and Cell Signalling;1754-8403, 1754-8411;HIF-1?, a novel piece in the NF-?B puzzle;529.38;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;CRUK;;;C99667/A12918;097945/B/11/Z;
PMC4313718;25699041;10.3389/fimmu.2015.00018;Frontiers;Frontiers in Immunology;1664-3224;The genetic regulation of infant immune responses to vaccination;539.62;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WTBSCGHR (WT #100715) and WT #061174;;;
PMC4409085;25999784;10.1080/14461242.2015.1008537;Taylor & Francis;Health Sociology Review;1446-1242;Locating and applying sociological theories of risk-taking to develop public health interventions for adolescents;540;1;;;0;cc-by;epmc_xml;hybrid;1;ESRC;Wellcome Trust;British Heart Foundation;RES-590-28-0005;WT087640MA;;
PMC4337687;25745355;10.1080/14636778.2014.999153;Taylor & Francis;New Genetics and Society;1463-6778, 1469-9915;Origin stories from a regional placenta tissue collection;540;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;WT100698/Z/12/Z ;;;
PMC4536936;26339278;;Taylor & Francis;Vulnerable Children and Youth Studies;1745-0128, 1745-0136;Migration as a risk factor for school drop-out amongst children made vulnerable by HIV/AIDS: a prospective study in eastern Zimbabwe;540;1;;;0;cc-by;epmc_xml;hybrid;1;WT;;;069516/Z/02/Z;;;
PMC4235430;25477880;10.3389/fimmu.2014.00590.;Frontiers Media;Frontiers in Immunology;1664-3224;Metabolic regulation of regulatory T cell development and function;547.33;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation;;;RG/14/2/30616;;;
PMC4197737;25360088;10.3389/fnsys.2014.00195;Frontiers;Frontiers in Systems Neuroscience;1662-5137;Cognitive biases can affect moral intuitions about cognitive enhancement;553.45;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;86041;;
PMC4270184;25566011;10.3389/fnhum.2014.00953;Frontiers;Frontiers in Human Neuroscience;1662-5161;Brain stimulation for treatment and enhancement in children: an ethical analysis;554.92;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;86041;;
PMC4201149;25368604;10.3389/fendo.2014.00174;Frontiers;Frontiers in Endocrinology: Bone Research;1664-2392;Deletion of P58IPK, the cellular inhibitor of the protein kinases PKR and PERK, causes bone changes and joint degeneration in mice;565.64;1;;;0;cc-by;epmc_xml;oa;1;;;;;;;
PMC4427162;25945706;10.1107/S2053230X15000990;International Union of Crystallography;Acta Cryst F;2053-230X;The structure of tubulin-binding cofactor A from Leishmania major infers a mode of association during the early stages of microtubule assembly;611.74;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;82596;94090;
PMC4427169;25945713;10.1107/S2053230X15003040;International Union of Crystallography;Acta Cryst F;2053-230X;Identification and structure solution of fragment hits against kinetoplastid N-myristoyltransferase;624.48;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;077705/;;
PMC4318195;25627033;10.1186/s12936-015-0541-6;BioMed Central;Malaria Journal;1475-2875;Increased sample volume and use of quantitative reverse-transcription PCR can improve prediction of liver-to-blood inoculum size in controlled human malaria infection studies;655.2;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;0907940/Z/11/Z;;
PMC4381624;25883556;10.3389/fnint.2015.00021;Frontiers;Frontiers in Integrative Neuroscience;1662-5145;Area V5 - A Microcosm of the visual brain;658.35;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4366647;25852515;10.3389/fnhum.2015.00125;Frontiers;Frontiers in Human Neuroscience;1662-5161;Solving the detour problem in navigation: A model of prefrontal and hippocampal interactions;658.35;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;094859/Z/10/Z;;;
PMC4405644;26036203;10.1302/2046-3758.46.2000318;British Editorial Society of Bone and Joint Surgery;Bone and Joint Research;0270-7306, 1098-5549;Meniscal Transplantation and Its Effect on Osteoarthritis Risk â€“ an abridged protocol for the MeTEOR study;660;1;;;0;cc-by;epmc_xml;hybrid;1;Arthritis Research UK;;;20149;;;
PMC4649683;26450640;10.1302/2046-3758.410.2000420;British Editorial Society of Bone and Joint Surgery;Bone and Joint Research;2046-3758;Patientsâ€™ decision making in total knee arthroplasty â€“ a systematic review of qualitative research;660;1;;;0;cc-by;epmc_xml;oa;1;Arthritis Research U.K.;;;20596;;;
PMC4330887;25741255;10.3389/fnbeh.2015.00026;Frontiers;Frontiers in Behavioral Neuroscience;1662-5153;Motion and emotion: depression reduces psychomotor performance and alters affective movements in caregiving interactions;663.05;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;90139;;
PMC4505102;0;10.3389/fnbeh.2015.00186;Frontiers;Frontiers in Behavioural Neuroscience;1662-5153;Deafferented controllers: a fundamental failure mechanism in cortical neuroprosthetic systems;676.2;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;101002/Z/13/Z;0;0;
PMC4455734;25615867;10.1107/S1399004714025280;International Union of Crystallography;ActaÂ CrystallographicaÂ SectionÂ D;1744-9561, 1744-957X;A national facility for biological cryo-electron microscopy;677.06;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;100146/Z/12/Z;0;0;
PMC4428075;0;10.3389/fmicb.2015.00455;Frontiers;Frontiers in Microbiology;1664-302X;The stoichimoetric divisome: A hypothesis;682.57;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;101824/Z/13/Z;0;0;
PMC4216812;25363364;10.3402/gha.v7.25878;Co-Action Publishing;Global Health Action;1654-9716, 1654-9880;Electronic data capture in a rural African setting: evaluating experiences with different systems in Malawi;705.86;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4343029;0;10.3389/fimmu.2015.00085;Frontiers ;Frontiers in Immunology;1664-3224;A meta-analysis of experimental studies of attenuated Schistosoma mansoni vaccines in the mouse model;712.37;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;095831/Z/11/Z;;;
PMC4635194;26473531;10.1038/bcj.2015.85;Nature Publishing Group;Blood Cancer Journal;2044-5385;Alterations in bone marrow metabolism are an early and consistent feature during the development of MGUS and multiple myeloma;720;1;;;0;cc-by;epmc_xml;oa;1;Cancer Research UK;Leukaemia & Lymphoma Research;0;C1520/A9992;10139;0;
PMC4227571;25426046;10.3389/fnhum.2014.00891;Frontiers;Frontiers in Human Neuroscience;1662-5161;A neurobiological enquiry into the origins of our experience of the sublime and beautiful;725.76;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4271591;25566071;10.3389/fphar.2014.00270;Frontiers;Frontiers in Pharmacology;1663-9812;In utero therapy for congenital disorders using amniotic fluid stem cells;725.76;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;099083/Z/11/Z;;;
PMC4224090;25426050;10.3389/fnhum.2014.00901;Frontiers;Frontiers in Human Neuroscience;1662-5161;Parallel processing of face and house stimuli by V1 and specialized visual areas: a magnetoencephalographic (MEG) study;725.76;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4237036;25477849;10.3389/fpsyg.2014.01329;Frontiers;Frontiers in Psychology;1664-1078;Working memory for time intervals in auditory rhythmic sequences;725.76;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT091681MA;;;
PMC4215630;25400633;10.3389/fimmu.2014.00535;Frontiers Media SA;Frontiers in Immunology;1664-3224;B1b cells recognize protective antigens after natural infection and vaccination;727.212;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;MRC;0;DKAARCHX14468;DKAARRAK13340;0;
PMC4537280;26273826;10.1371/journal.pntd.0003933;PLOS;Neglected Tropical Diseases;1935-2727, 1935-2735;ApiAP2 Factors as Candidate Regulators of Stochastic Commitment to Merozoite Production in Theileria annulata;727.28;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT075820 ;;;
PMC4332365;0;10.3389/fimmu.2015.00051;Frontiers ;Frontiers in Immunology;1664-3224;Down regulation of the TCR complex CD3 ?-chain on CD3+ T cells: a potential mechanism for helminth mediated immune modulation;732.77;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;095831/Z/11/Z;;;
PMC4419506;25887581;10.1186/s12891-015-0534-1;Biomed Central ;BioMed Central;1471-2474;Primary outcome measure use in back pain trials may need radical reassessment;735.74;1;;;0;cc-by;epmc_xml;oa;1;Arthritis Research UK ;;;19480;;;
PMC4364581;25539734;10.1186/1471-2474-15-451;Biomed Central ;BMC Muskuloskeletal;1471-2474;The development of an outcome prediction tool for patients considering a total knee replacement -- the Knee Outcome Prediction Study (KOPS);735.74;1;;;0;cc-by;epmc_xml;oa;1;Arthitis Research U.K.;0;0;20596;0;0;
PMC4468337;26097884;10.18632/oncoscience.149;Impact Journals;Oncoscience;2331-4737;Methylation changes in the TFAP2E promoter region are associated with BRAF mutation and poorer overall & disease free survival in colorectal cancer;747.72;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;102732/Z/13/Z;0;0;
PMC4585930;26411260;10.4161/21541248.2014.992259;Taylor & Francis;Small GTPases;2045-2322;Integration of the Rac1- and actin-binding properties of Coronin-1C;750;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT88419;;;
PMC4196579;25352829;10.3389/fendo.2014.00160;Frontiers Research Foundation;Frontiers in Endocrinology;1664-2392;The importance of podocyte adhesion for a healthy glomerulus;£758.05;1;;;0;cc-by;epmc_xml;oa;1;;;;;;;
PMC4222142;25414654;10.3389/fnhum.2014.00853;Frontiers;Frontiers in Human Neuroscience;1662-5161;Flexibility of representational states in working memory;760.38;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;98282;;
PMC4498711;26144235;10.1107/S2053230X15008584;International Union of Crystallography ;Acta Crystallographica Section F;2053-230X;Structure of human saposin A at lysosomal pH;762.92;1;;;0;cc-by;epmc_xml;hybrid;1;0;0;0;0;0;0;
PMC4513130;25979333;10.1074/jbc.M114.627059;The American Society for Biochemistry and Molecular Biology, Inc.;The Journal of Biological Chemistry;0021-9258, 1083-351X;Neuronal Calcium Sensor-1 Binds the D2 Dopamine Receptor and G-protein-coupled Receptor Kinase 1 (GRK1) Peptides Using Different Modes of Interactions;£767.02;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;099796/Z/12/Z;;;
PMC4188010;25286854;10.1107/S1399004714017581;Wiley;Acta Crystallographica Section D;0907-4449, 1399-0047;Using textons to rank crystallization droplets by the likely presence of crystals;772.21;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;092809/Z/10/Z;;
PMC4405644;25733689;10.1128/MCB.01478-14;American Society for Microbiology;Molecular and Cell Biology;0270-7306, 1098-5549;Promyelocytic leukemia protein isoform II promotes transcription factor recruitment to activate interferon ? and interferon-responsive gene expression ;777.35;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;Sir Richard Stapley Education Trust;Great Britain – China Educational Trust;WT094713MA;;;
PMC4432636;25984346;10.1038/sdata.2014.42;Nature Publishing Group;Scientific Data;2052-4463;A comprehensive database of the geographic spread of past human Ebola outbreaks;780;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;095066/Z/10/Z;;
PMC4409013;25977820;10.1038/sdata.2015.16;Nature Publishing Group;Scientific Data;2052-4463;A global compendium of human Crimean-Congo haemorrhagic fever virus occurrence;780;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;095066/Z/10/Z;;
PMC4432653;25984344;10.1038/sdata.2014.36;Nature Publishing Group;Scientific Data;2052-4463;Global database of Leishmaniasis occurrence locations, 1960-2012;780;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;095066/Z/10/Z;;
PMC4540003;26306203;10.1038/sdata.2015.12;Nature Publishing Group;Scientific Data;2052-4463;Global database of matched Plasmodium falciparum and P.vivax incidence and prevalence records from 1985-2013;780;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;095066/Z/10/Z;;
PMC4461329;26057794;10.1107/s2053230x15006354;ACTA Publications;Acta Crystallographica Section F;2053-230X;Purification, crystallization and preliminary X-ray diffraction analysis of the Escherichia coli common pilus chaperone EcpB;786.42;1;;;0;cc-by;epmc_xml;hybrid;1;WT;;;WT100280MA;;;
PMC4528935;26249693;10.1107/S2053230X15010614;International Union of Crystallography;Acta Cryst F;2053-230X;Structures of Pseudomonas aeruginosa ?-ketoacyl-(acyl-carrier-protein) synthase II (FabF) and a C164Q mutant provide templates for antibacterial drug discovery and identify a buried potassium ion and a ligand-binding site that is an artefact of the crystal form;794.37;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;82596;94090;
PMC4536380;26321991;10.3389/fpsyg.2015.01178;Frontiers Research Foundation;Frontiers in Neuroscience;1664-1078;Source analysis of electrophysiological correlates of beat induction as sensory-guided action;£802.53;1;;;0;cc-by;epmc_xml;oa;1;;;;;;;
PMC4356314;25760713;10.1107/S2053230X15001351;Wiley;Acta Crystallographica Section F;2053-230X;Improved crystallization and diffraction of caffeine-induced death suppressor protein 1 (Cid1);802.79;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;090532/Z/09/Z;;
PMC4636628;26525723;10.1136/bmjopen-2015-009088;BMJ;BMJ Open;2044-6055;Can clinical features be used to differentiate Type 1 from Type 2 diabetes? A systematic review of the literature;810;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;Other;0;098395/Z/12/Z;PB-PG-0711-25111;0;
PMC4252079;25461959;10.1371/journal.pone.0114028;PLOS;PLOS ONE;1932-6203;Attributions of cancer 'alarm' symptoms in a community sample;810;1;;;0;cc-by;epmc_xml;oa;1;Cancer Research UK;;;C33872/A13216;;;
PMC4257615;25478928;10.1371/journal.pone.0113883;PLOS;PLOS ONE;1932-6203;Ethnic variability in body size proportions and composition in children aged 5 to 11 years: Is ethnic-specific calibration of bioelectrical impedance required?;810;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT094129MA;;;
PMC4257606;25479610;10.1371/journal.pone.0114283;PLOS;PLOS ONE;1932-6203;Health factors and risk of all-cause cardiovascular and coronary heart disease mortality: findings from the MONICA and HAPIEE studies in Lithuania;810;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;081081/Z/01/Z;;;
PMC4221282;25372459;10.1371/journal.pone.0112247;PLOS;PLOS ONE;1932-6203;Regulation of the orphan nuclear receptor Nr2f2 by the DFNA15 deafness gene Pou4f3;810;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;"091092/Z/09/Z; 064599";;;
PMC4486835;26190970;10.3389/fncel.2015.00239;Frontiers;Frontiers in Cellular Neuroscience;1662-5102;Calmodulin as a major calcium buffer shaping vesicular release and short-term synaptic plasticity: facilitation through buffer dislocation;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4602094;26528151;10.3389/fnbeh.2015.00268;Frontiers;Frontiers in Behavioral Neuroscience;1662-5153;Dissecting Alzheimer disease in Down syndrome using mouse models;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4526800;26300728;10.3389/fncel.2015.00290;Frontiers;Frontiers in Cellular Neuroscience;1662-5102;GABAA Receptor Activity Shapes the Formation of Collateral Inhibitory Synapses between Developing Medium Spiny Neurons;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;MRC;;;MRC UK (G0800498);;
PMC4502341;26236245;10.3389/fpsyg.2015.00925;Frontiers;Frontiers in Psychology;1664-1078;Grid cells on steeply sloping terrain: evidence for planar rather than volumetric encoding;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;BBSRC;;WT083540 and WT103896AIA;BB/J009792/1;;
PMC4325661;25729372;10.3389/fpsyg.2015.00090;Frontiers;Frontiers in Psychology;1664-1078;Mindfulness meditation modulates reward prediction errors in the striatum in a passive conditioning task;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;091188/Z/10/Z;;;
PMC4501222;26236246;10.3389/fpsyg.2015.00927;Frontiers;Frontiers in Psychology;1664-1078;Neural encoding of large-scale three-dimensional space â€“ properties and constraints;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;BBSRC;;WT083540 and WT103896AIA;BB/J009792/1;;
PMC4468941;26136770;10.3389/fgene.2015.00212;Frontiers;Frontiers in Genetics;1664-8021;The aging-disease false dichotomy: understanding senescence as pathology;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4586432;26483713;10.3389/fpsyg.2015.01445;Frontiers;Frontiers in Psychology;1664-1078;The computational psychiatry of reward: Broken brains or misguided minds?;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;098362/Z/12/Z and 095844/7/11/Z;;;
PMC4526808;26300778;10.3389/fphar.2015.00164;Frontiers;Frontiers in Pharmacology;1663-9812;The genetically encoded tool set for investigating cAMP: more than the sum of its parts;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4379892;25873856;10.3389/fnins.2015.00103;Frontiers;Frontiers in Genetics;1662-4548, 1662-453X;The neural milieu of the developing choroid plexus: neural stem cells, neurons and innervation;820.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;MRC;;GR082557;G070089;;
PMC4347654;25889795;10.1186/s13104-015-1007-1;Biomed Central ;BMC Research Notes;1756-0500;Comparison of semi-automated methods to quantify infarct size and myocardial salvage by cardiovascular magnetic resonance imaging at 1.5T and 3.0T field strengths;825;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation;MRC;0;"The study that we are publishing here was part of the analysis of the CMR substudy (CvLPRIT-CMR) of a study called CvLPRIT (Culprit Versus Lesion-only Primary PCI trial), looking at the management of STEMI (heart attack) patients with multiple diseased coronary vessels (multivessel disease). 

The main CvLPRIT trial was funded by the British Heart Foundation (SP/10/001) with support from the (NIHR) Comprehensive Local Research Networks. The CMR substudy was funded by the Medical Research Council and managed by the National Institute of Health Research (NIHR) Efficacy and Mechanism Evaluation programme (10-27-01).
";0;0;
PMC4208768;25343719;10.1371/journal.pone.0110586;PLOS;PLoS ONE;1932-6203;The association between a vegetarian diet and cardiovascular disease (CVD) risk factors in India.;827.66;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT084674;;;
PMC4293902;25387830;10.1042/BSR20140150;Portland Press;Biosciences Reports;0144-8463, 1573-4935;Biochemical and structural characterisation of the apicoplast dihydrolipoamide dehydrogenase of Plasmodium falciparum;834;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;086411/Z/08/Z-LML, WT061173MA-SM;;;
PMC4407614;25954246;10.3389/fendo.2015.00052;Frontiers Media;Frontiers in Endocrinology;1664-2392;Quantification of alterations in cortical bone geometry using Site Specificity Software in mouse models of aging and the responses to ovariectomy and altered loading;834.78;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT092045/Z/10/Z;;;
