institution,period,PMID,PMCID,DOI,Publisher,Journal title,ISSN,is_hybrid,euro
Wellcome Trust,2017,28135086,Unknown,10.1021/acs.jmedchem.6b01690,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,2175.66
Wellcome Trust,2017,28004573,Unknown,10.1021/acs.jmedchem.6b01055,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,1732.42
Wellcome Trust,2017,28323427,PMC5410652,10.1021/acs.jmedchem.6b01897,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,4610.65
Wellcome Trust,2017,27532490,PMC5515508,10.1021/acs.jpclett.6b01525,American Chemical Society (ACS),The journal of physical chemistry letters,1948-7185,TRUE,4560.09
Wellcome Trust,2017,27478903,PMC5404824,10.1021/acs.biochem.6b00098,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",TRUE,4501.6
Wellcome Trust,2017,28164708,PMC5363888,10.1021/acs.jproteome.6b00915,American Chemical Society (ACS),Journal of proteome research,"1535-3893, 1535-3907",TRUE,4456.16
Wellcome Trust,2017,28033704,PMC5259755,10.1021/acschembio.6b00898,American Chemical Society (ACS),ACS chemical biology,"1554-8929, 1554-8937",TRUE,4439.18
Wellcome Trust,2017,27807980,PMC5402295,10.1021/acs.jpcb.6b08445,American Chemical Society (ACS),The journal of physical chemistry. B,"1520-6106, 1520-5207",TRUE,4401.7
Wellcome Trust,2017,27775316,PMC5138009,10.1021/acsami.6b10986,American Chemical Society (ACS),ACS applied materials & interfaces,"1944-8244, 1944-8252",TRUE,4389.99
Wellcome Trust,2017,28051298,PMC5404277,10.1021/acschembio.6b00958,American Chemical Society (ACS),ACS chemical biology,"1554-8929, 1554-8937",TRUE,4383.37
Wellcome Trust,2017,28260837,PMC5333186 ,10.1021/acs.chemmater.6b04144,American Chemical Society (ACS),Chemistry of Materials,,TRUE,4351.33
Wellcome Trust,2017,28068080,PMC5299548,10.1021/acs.biochem.6b00966,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",TRUE,4348.57
Wellcome Trust,2017,27786441,PMC5120876,10.1021/acs.biochem.6b00751,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",TRUE,4323.49
Wellcome Trust,2017,28799737,PMC5778389 ,10.1021/acssynbio.7b00209,American Chemical Society (ACS),ACS Synthetic Biology,,TRUE,4319.43
Wellcome Trust,2017,28505463,PMC5499097,10.1021/acs.molpharmaceut.7b00172,American Chemical Society (ACS),Molecular pharmaceutics,"1543-8384, 1543-8392",TRUE,4289.95
Wellcome Trust,2017,28786670,PMC5615372,10.1021/acs.jcim.7b00347,American Chemical Society (ACS),Journal of chemical information and modeling,"1549-9596, 1549-960X",TRUE,4214.32
Wellcome Trust,2017,28060518,PMC5323018,10.1021/acs.est.6b05557,American Chemical Society (ACS),Environmental science & technology,"0013-936X, 1520-5851",TRUE,3779.58
Wellcome Trust,2017,27798837,PMC5241706,10.1021/acsinfecdis.6b00078,American Chemical Society (ACS),ACS infectious diseases,2373-8227,TRUE,3698.24
Wellcome Trust,2017,28267312,PMC5423704,10.1021/acs.analchem.6b03745,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",TRUE,3590.37
Wellcome Trust,2017,27574865,PMC5025830,10.1021/jacs.6b04880,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",TRUE,3576.74
Wellcome Trust,2017,28782931,PMC5588098,10.1021/acs.analchem.7b01358,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",TRUE,3513.22
Wellcome Trust,2017,28915025,PMC5637010,10.1021/acs.biochem.7b00769,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",TRUE,3382.06
Wellcome Trust,2017,28393132,PMC5377273,10.1021/acsomega.6b00395,American Chemical Society (ACS),ACS omega,2470-1343,FALSE,2228.08
Wellcome Trust,2017,27934314,PMC5193467,10.1021/acs.inorgchem.6b02560,American Chemical Society (ACS),Inorganic chemistry,"0020-1669, 1520-510X",TRUE,2788.91
Wellcome Trust,2017,28208298,PMC5299547,10.1021/acs.analchem.6b02875,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",TRUE,2699.93
Wellcome Trust,2017,26923775,PMC4898862,10.1021/acs.nanolett.6b00273,American Chemical Society (ACS),Nano letters,"1530-6984, 1530-6992",TRUE,2687.27
Wellcome Trust,2017,28482155,PMC5601361,10.1021/acs.jmedchem.7b00058,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,2599.63
Wellcome Trust,2017,27726344,PMC5257173,10.1021/jacs.6b07440,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",TRUE,2320.18
Wellcome Trust,2017,28192993,PMC5287478,10.1021/acs.analchem.6b02528,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",TRUE,2293.23
Wellcome Trust,2017,28073262,PMC5338000,10.1021/acs.nanolett.6b03686,American Chemical Society (ACS),Nano letters,"1530-6984, 1530-6992",TRUE,2272.21
Wellcome Trust,2017,27779865,PMC5349656,10.1021/acschembio.6b00896,American Chemical Society (ACS),ACS chemical biology,"1554-8929, 1554-8937",TRUE,2241.96
Wellcome Trust,2017,27559824,PMC5193468,10.1021/acs.biochem.6b00682,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",TRUE,2238.52
Wellcome Trust,2017,27781436,PMC5121927,10.1021/acsnano.6b05935,American Chemical Society (ACS),ACS nano,"1936-0851, 1936-086X",TRUE,2195.71
Wellcome Trust,2017,28737909,PMC5578373,10.1021/acs.jmedchem.7b00484,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,2194.44
Wellcome Trust,2017,27617704,PMC5301280,10.1021/acs.jmedchem.6b00355,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,2184.51
Wellcome Trust,2017,28084734,PMC5358875,10.1021/jacs.6b10234,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",TRUE,2168.2
Wellcome Trust,2017,27966893,PMC5314429,10.1021/acs.bioconjchem.6b00621,American Chemical Society (ACS),Bioconjugate chemistry,"1043-1802, 1520-4812",TRUE,2141.11
Wellcome Trust,2017,28421739,PMC5432960,10.1021/acsami.6b13807,American Chemical Society (ACS),ACS applied materials & interfaces,"1944-8244, 1944-8252",TRUE,2125.78
Wellcome Trust,2017,28425697,PMC5467178,10.1021/acs.biochem.7b00179,American Chemical Society (ACS),Biochemistry,"0006-2960, 1520-4995",TRUE,2125.18
Wellcome Trust,2017,28350443,PMC5425944,10.1021/jacs.6b11040,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",TRUE,2122.69
Wellcome Trust,2017,28107630,PMC5504488,10.1021/jacs.6b12180,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",TRUE,2110.61
Wellcome Trust,2017,28766938,PMC5569669,10.1021/acs.inorgchem.7b01247,American Chemical Society (ACS),Inorganic chemistry,"0020-1669, 1520-510X",TRUE,2062.72
Wellcome Trust,2017,28768414,PMC5648240,10.1021/acs.jproteome.7b00425,American Chemical Society (ACS),Journal of proteome research,"1535-3893, 1535-3907",TRUE,2041.62
Wellcome Trust,2017,28430416,PMC5441754,10.1021/acs.analchem.6b04938,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",TRUE,1796.79
Wellcome Trust,2017,28402676,PMC5436099,10.1021/acs.analchem.6b04935,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",TRUE,1795.67
Wellcome Trust,2017,28824821,PMC5557615,10.1021/acscatal.6b03121,American Chemical Society (ACS),ACS catalysis,2155-5435,TRUE,1787.65
Wellcome Trust,2017,28880078,PMC5618157,10.1021/jacs.7b06506,American Chemical Society (ACS),Journal of the American Chemical Society,"0002-7863, 1520-5126",TRUE,1768.54
Wellcome Trust,2017,28561568,PMC5481815,10.1021/acs.bioconjchem.7b00185,American Chemical Society (ACS),Bioconjugate chemistry,"1043-1802, 1520-4812",TRUE,1753.15
Wellcome Trust,2017,27676129,PMC5102453,10.1021/acs.analchem.6b02242,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",TRUE,1604.76
Wellcome Trust,2017,28595007,PMC5788402,10.1021/acs.jmedchem.6b01912,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,1121.35
Wellcome Trust,2017,28437106,PMC5441753,10.1021/acs.jmedchem.7b00147,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,1120.05
Wellcome Trust,2017,28853884,PMC5788404,10.1021/acs.jmedchem.7b00675,American Chemical Society (ACS),Journal of medicinal chemistry,"0022-2623, 1520-4804",TRUE,1097.24
Wellcome Trust,2017,28470052,PMC5408339,10.1021/acscentsci.7b00039,American Chemical Society (ACS),ACS central science,"2374-7943, 2374-7951",TRUE,1094.45
Wellcome Trust,2017,28443337,PMC5444047,10.1021/acsnano.6b08551,American Chemical Society (ACS),ACS nano,"1936-0851, 1936-086X",TRUE,898.82
Wellcome Trust,2017,28351901,PMC5444425 ,10.1161/CIRCULATIONAHA.116.026910,American Heart Association,Circulation,,TRUE,5143.88
Wellcome Trust,2017,28494075,PMC5710264,10.1001/jamaophthalmol.2017.1109,American Medical Association (AMA),JAMA ophthalmology,"2168-6165, 2168-6173",TRUE,5462.16
Wellcome Trust,2017,28880972,Unknown,10.1001/jamaoncol.2017.2579,American Medical Association (AMA),JAMA oncology,"2374-2437, 2374-2445",TRUE,5259.8
Wellcome Trust,2017,28678984,PMC5710549,10.1001/jamapsychiatry.2017.1713,American Medical Association (AMA),JAMA psychiatry,"2168-622X, 2168-6238",TRUE,4414.98
Wellcome Trust,2017,,Unknown,10.1103/PhysRevFluids.1.073201,American Physical Society (APS),Physical Review Fluids,2469-990X,TRUE,2020.07
Wellcome Trust,2017,27967109,Unknown,10.1103/physreve.94.052401,American Physical Society (APS),Physical review. E,"2470-0045, 2470-0053",TRUE,2020.07
Wellcome Trust,2017,,Unknown,10.1103/PhysRevFluids.1.081201,American Physical Society (APS),Physical Review Fluids,2469-990X,TRUE,1648.09
Wellcome Trust,2017,27766317,PMC5068559 ,10.1103/PhysRevE.94.042401,American Physics Society,Physical Review E,,TRUE,2026.13
Wellcome Trust,2017,28298304,Unknown,10.1152/jn.00896.2016,American Physiological Society,Journal of neurophysiology,"0022-3077, 1522-1598",TRUE,2192.21
Wellcome Trust,2017,28077669,PMC5350265,10.1152/jn.00856.2016,American Physiological Society,Journal of neurophysiology,"0022-3077, 1522-1598",TRUE,2184.86
Wellcome Trust,2017,27923791,PMC5402008,10.1152/ajpheart.00528.2016,American Physiological Society,American journal of physiology. Heart and circulatory physiology,"0363-6135, 1522-1539",TRUE,2121.87
Wellcome Trust,2017,28302598,PMC5495915,10.1152/ajpgi.00024.2017,American Physiological Society,American journal of physiology. Gastrointestinal and liver physiology,"0193-1857, 1522-1547",TRUE,2819.07
Wellcome Trust,2017,28202572,PMC5411468,10.1152/jn.00810.2016,American Physiological Society,Journal of neurophysiology,"0022-3077, 1522-1598",TRUE,2268.48
Wellcome Trust,2017,27663767,PMC5206342,10.1152/ajpheart.00002.2016,American Physiological Society,American journal of physiology. Heart and circulatory physiology,"0363-6135, 1522-1539",TRUE,2256.94
Wellcome Trust,2017,28100499,PMC5495891,10.1152/ajprenal.00344.2016,American Physiological Society,American journal of physiology. Renal physiology,"1931-857X, 1522-1466",TRUE,2248.13
Wellcome Trust,2017,28003411,PMC5340880,10.1152/jn.00762.2016,American Physiological Society,Journal of neurophysiology,"0022-3077, 1522-1598",TRUE,2227.01
Wellcome Trust,2017,27609768,PMC5130553,10.1152/ajpgi.00181.2015,American Physiological Society,American journal of physiology. Gastrointestinal and liver physiology,"0193-1857, 1522-1547",TRUE,2189.33
Wellcome Trust,2017,28473332,PMC5582880,10.1152/ajpgi.00411.2016,American Physiological Society,American journal of physiology. Gastrointestinal and liver physiology,"0193-1857, 1522-1547",TRUE,2120.05
Wellcome Trust,2017,28250150,PMC5411475,10.1152/jn.00843.2016,American Physiological Society,Journal of neurophysiology,"0022-3077, 1522-1598",TRUE,2116.9
Wellcome Trust,2017,28550171,PMC5582914,10.1152/ajpheart.00094.2017,American Physiological Society,American Journal of Physiology - Heart and Circulatory Physiology,"0363-6135, 1522-1539",TRUE,2116.45
Wellcome Trust,2017,28522564,PMC5582930,10.1152/ajplung.00382.2016,American Physiological Society,American journal of physiology. Lung cellular and molecular physiology,"1040-0605, 1522-1504",TRUE,2107.15
Wellcome Trust,2017,28420650,PMC5689017,10.1152/ajpendo.00449.2016,American Physiological Society,American journal of physiology. Endocrinology and metabolism,"0193-1849, 1522-1555",TRUE,2061
Wellcome Trust,2017,27707814,PMC5411473,10.1152/jn.00723.2016,American Physiological Society,Journal of neurophysiology,"0022-3077, 1522-1598",TRUE,2059.31
Wellcome Trust,2017,28130428,PMC5374453,10.1152/physiolgenomics.00106.2016,American Physiological Society,Physiological genomics,"1094-8341, 1531-2267",TRUE,1890.09
Wellcome Trust,2017,27422990,PMC5142182,10.1152/ajpheart.00912.2015,American Physiological Society,American journal of physiology. Heart and circulatory physiology,"0363-6135, 1522-1539",TRUE,1789.19
Wellcome Trust,2017,27329800,PMC5005967 ,10.1152/ajpendo.00074.2016,American Physiological Society,"American Journal of Physiology, Endocrinology and Metabolism",,TRUE,1095.39
Wellcome Trust,2017,28004960,PMC5178868,10.1037/rev0000045,American Psychological Association (APA),Psychological review,"0033-295X, 1939-1471",TRUE,4454.25
Wellcome Trust,2017,28026191,PMC5191902,10.1037/dev0000221,American Psychological Association (APA),Developmental psychology,"0012-1649, 1939-0599",TRUE,4401.7
Wellcome Trust,2017,28221055,PMC5695386,10.1037/pas0000443,American Psychological Association (APA),Psychological assessment,"1040-3590, 1939-134X",TRUE,4369.04
Wellcome Trust,2017,28816476,Unknown,10.1037/xhp0000449,American Psychological Association (APA),Journal of experimental psychology. Human perception and performance,"0096-1523, 1939-1277",TRUE,4323.83
Wellcome Trust,2017,28557503,PMC5708146,10.1037/xlm0000419,American Psychological Association (APA),"Journal of experimental psychology. Learning, memory, and cognition","0278-7393, 1939-1285",TRUE,4284.72
Wellcome Trust,2017,28569518,PMC5518650,10.1037/ccp0000214,American Psychological Association (APA),Journal of consulting and clinical psychology,"0022-006X, 1939-2117",TRUE,4251.62
Wellcome Trust,2017,28758779,PMC5611761,10.1037/dev0000372,American Psychological Association (APA),Developmental psychology,"0012-1649, 1939-0599",TRUE,4221.24
Wellcome Trust,2017,28910126,PMC5784934,10.1037/xge0000356,American Psychological Association (APA),Journal of experimental psychology. General,"0096-3445, 1939-2222",TRUE,4209.76
Wellcome Trust,2017,27935726,PMC5343749,10.1037/adb0000232,American Psychological Association (APA),Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,"0893-164X, 1939-1501",TRUE,3733.68
Wellcome Trust,2017,25664884,PMC4321742,10.1037/a0038524,American Psychological Association (APA),History of psychology,"1093-4510, 1939-0610",TRUE,3685.48
Wellcome Trust,2017,27748611,PMC5267562,10.1037/hea0000426,American Psychological Association (APA),"Health psychology : official journal of the Division of Health Psychology, American Psychological Association","0278-6133, 1930-7810",TRUE,3646.36
Wellcome Trust,2017,27913581,PMC5294217,10.1074/mcp.o116.065219,American Society for Biochemistry & Molecular Biology (ASBMB),Molecular & cellular proteomics : MCP,"1535-9476, 1535-9484",TRUE,4173.44
Wellcome Trust,2017,27466368,PMC5025699,10.1074/jbc.m116.735175,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2486.55
Wellcome Trust,2017,27903649,PMC5247654,10.1074/jbc.m116.741603,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2293.42
Wellcome Trust,2017,27703012,PMC5207246,10.1074/jbc.m116.749523,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2241.58
Wellcome Trust,2017,27994059,PMC5290948,10.1074/jbc.m116.761536,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2231.42
Wellcome Trust,2017,27703008,PMC5114424,10.1074/jbc.m116.750422,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2211.98
Wellcome Trust,2017,27777305,PMC5207086,10.1074/jbc.m116.761213,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2205.82
Wellcome Trust,2017,27634042,PMC5087735,10.1074/jbc.m116.721894,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2190.83
Wellcome Trust,2017,28209710,PMC5392571,10.1074/jbc.m117.776732,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2188.88
Wellcome Trust,2017,28007913,PMC5294206,10.1074/mcp.m116.064428,American Society for Biochemistry & Molecular Biology (ASBMB),Molecular & cellular proteomics : MCP,"1535-9476, 1535-9484",TRUE,2186.4
Wellcome Trust,2017,27909057,PMC5241739,10.1074/jbc.m116.761528,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2183.13
Wellcome Trust,2017,27903653,PMC5290945,10.1074/jbc.m116.746867,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2155.27
Wellcome Trust,2017,28420729,PMC5454113,10.1074/jbc.m116.769570,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2120.21
Wellcome Trust,2017,28416610,PMC5454102,10.1074/jbc.m116.766196,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2119.87
Wellcome Trust,2017,28360103,PMC5448124,10.1074/jbc.m116.762898,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2119.2
Wellcome Trust,2017,28566286,PMC5512060,10.1074/jbc.m116.773333,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2114.16
Wellcome Trust,2017,28438838,PMC5473249,10.1074/jbc.m117.776476,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,2080.4
Wellcome Trust,2017,,,10.1194/jlr.M073932,American Society for Biochemistry & Molecular Biology (ASBMB),Journal of lipid research,Unknown,TRUE,2027.11
Wellcome Trust,2017,27872192,PMC5217677,10.1074/jbc.m116.751024,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1871
Wellcome Trust,2017,28011639,PMC5290950,10.1074/jbc.m116.764548,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1852.42
Wellcome Trust,2017,27974466,PMC5290946,10.1074/jbc.m116.746826,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1796.06
Wellcome Trust,2017,28584052,PMC5535036,10.1074/jbc.m117.790097,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1770.18
Wellcome Trust,2017,28298446,PMC5409466,10.1074/jbc.m117.780742,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1769.6
Wellcome Trust,2017,28630041,PMC5555195,10.1074/jbc.m117.781708,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1710.75
Wellcome Trust,2017,27703001,PMC5114395,10.1074/jbc.m116.752329,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1694.61
Wellcome Trust,2017,28851738,PMC5672004,10.1074/mcp.m117.067355,American Society for Biochemistry & Molecular Biology (ASBMB),Molecular & cellular proteomics : MCP,"1535-9476, 1535-9484",TRUE,1680.3
Wellcome Trust,2017,28270508,PMC5399112,10.1074/jbc.m116.770057,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1643.77
Wellcome Trust,2017,27881678,PMC5217690,10.1074/jbc.m116.758896,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1643.1
Wellcome Trust,2017,27834680,PMC5207132,10.1074/jbc.m116.747709,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1643.1
Wellcome Trust,2017,27881679,PMC5217673,10.1074/jbc.m116.758003,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1624.24
Wellcome Trust,2017,28428246,PMC5448104,10.1074/jbc.m116.770404,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1604.96
Wellcome Trust,2017,28325835,PMC5437225,10.1074/jbc.m116.773556,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1594.34
Wellcome Trust,2017,28377501,PMC5448123,10.1074/jbc.m117.784629,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1586.85
Wellcome Trust,2017,28652405,PMC5555199,10.1074/jbc.m117.799080,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1580.37
Wellcome Trust,2017,28465349,PMC5481574,10.1074/jbc.m117.778480,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of Biological Chemistry,"0021-9258, 1083-351X",TRUE,1466.23
Wellcome Trust,2017,28011634,PMC5314169,10.1074/jbc.m116.754309,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1386.69
Wellcome Trust,2017,28620050,PMC5546038,10.1074/jbc.m117.795047,American Society for Biochemistry & Molecular Biology (ASBMB),The Journal of biological chemistry,"0021-9258, 1083-351X",TRUE,1308.76
Wellcome Trust,2017,28240600,PMC5373880,10.1172/jci84889,American Society for Clinical Investigation,The Journal of clinical investigation,"0021-9738, 1558-8238",TRUE,5089.83
Wellcome Trust,2017,28346228,PMC5409795,10.1172/jci91913,American Society for Clinical Investigation,The Journal of clinical investigation,"0021-9738, 1558-8238",TRUE,5066.49
Wellcome Trust,2017,28134622,PMC5330761,10.1172/jci86154,American Society for Clinical Investigation,The Journal of clinical investigation,"0021-9738, 1558-8238",TRUE,4954.95
