"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£ incl VAT when charged)";"Fulltext in EPMC";"Ahead of Print?";"Author Manuscript?";"Licence in Europe PMC";"Licence on Publisher website";"Journal Type";"COAF compliant?";"Funder of research (1)";"Funder of research (2)";"Funder of research (3)";"Grant ID (1)";"Grant ID (2)";"Grant ID (3)";;
"PMC5077176";27267252;"10.1021/acschembio.6b00371";"American Chemical Society (ACS)";"ACS chemical biology";"1554-8929, 1554-8937";"N-myristoyltransferase inhibition induces ER-stress, cell cycle arrest and apoptosis in cancer cells";£1,648.92;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"BBSRC";"Cancer Research UK";;"BB/D02014X/1";20183;;;
"PMC4906374";27331140;"10.1021/acsinfecdis.6b00034";"American Chemical Society (ACS)";"ACS infectious diseases";"2373-8227";"Global profiling and inhibition of protein lipidation in vector and host stages of the sleeping sickness parasite Trypanosoma brucei";£1,638.34;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"BBSRC";;;"BB/D02014X/1";;;;
"unknown";27326329;"10.1021/acsmedchemlett.6b00022";"American Chemical Society (ACS)";"ACS medicinal chemistry letters";"1948-5875";"2,8-disubstituted-1,6-naphthyridines and 4,6-disubstituted-isoquionolines with potent, selective affinity for CDK8/19";1676.88;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"Cancer Research UK";;;;;;;
"PMC4961266";27267364;"10.1021/acsnano.6b00461";"American Chemical Society (ACS)";"ACS nano";"1936-0851, 1936-086X";"Molecular Insights into Division of Single Human Cancer Cells in On-Chip Transparent Microtubes.";1797.08;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"ERC";"Cancer Research UK";0;311529;;;;
"PMC4819533";26905779;"10.1021/acsnano.6b01246";"American Chemical Society (ACS)";"ACS nano";"1936-0851, 1936-086X";"Tunable Nanopatterning of Conductive Polymers via Electrohydrodynamic Lithography";3328.25;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust ";"EPSRC";0;"174ISSFPP";"EP/K503873/1";;;
"PMC4914944";26835539;"10.1021/acssynbio.5b00179";"American Chemical Society (ACS)";"ACS synthetic biology";"2161-5063";"A statistical approach reveals designs for the most robust stochastic gene oscillators";£2,771.20;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC5023225";26436725;"10.1021/acssynbio.5b00116";"American Chemical Society (ACS)";"ACS synthetic biology";"2161-5063";"Characterization of intrinsic properties of promoters";3640.78;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"EPSRC";;"unknown";;;;
"PMC5047652";27454319;"10.1021/acs.analchem.6b02082";"American Chemical Society (ACS)";"Analytical chemistry";"0003-2700, 1520-6882";"Optimized Fragmentation Regime for Diazirine Photo-Cross-Linked Peptides";£3,131.56;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4948919";27295282;"10.1021/acs.analchem.6b01662";"American Chemical Society (ACS)";"Analytical chemistry";"0003-2700, 1520-6882";"Abnormally high content of free glucosamine residues identified in a preparation of commercially available porcine intestinal heparan sulfate";£3,590.69;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"unknown";27228284;"10.1021/acs.analchem.6b01167";"American Chemical Society (ACS)";"Analytical chemistry";"0003-2700, 1520-6882";"Understanding the Complexity of Porous Graphitic Carbon (PGC) Chromatography: Modulation of Mobile-Stationary Phase Interactions Overcomes Loss of Retention and Reduces Variability.";1764.28;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"cancer-research-uk,";0;0;;;;;
"PMC4730229";26701387;"10.1021/acs.biochem.5b01128";"American Chemical Society (ACS)";"Biochemistry";"0006-2960, 1520-4995";"Benzobisthiazoles Represent a Novel Scaffold for Kinase Inhibitors of CLK Family Members";£1,367.26;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"BBSRC";"MRC";"101472/Z/13/Z";"BB/J015881/1";"MC_PC_12024";;
"PMC4785718";26854536;"10.1021/acs.biochem.5b00838";"American Chemical Society (ACS)";"Biochemistry";"0006-2960, 1520-4995";"Crystal structures of Type-11 Inositol Polyphosphate";1611.56;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;"Canadian Institutes of Health Research";101010;82837;1097737;;
"PMC4878814";27149221;"10.1021/acs.biochem.5b01285";"American Chemical Society (ACS)";"Biochemistry";"0006-2960, 1520-4995";"Mechanism of the human nucleocytoplasmic hexosaminidase D";3321.456;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4987862";27404282;"10.1021/acs.chemrestox.6b00143";"American Chemical Society (ACS)";"Chemical research in toxicology";"0893-228X, 1520-5010";"NADH:Cytochrome b5 reductase and cytochrome b5 can act as sole electron donors to human cytochrome P450 1A1-mediated oxidation and DNA adduct formation by benzo[a]pyrene";£3,473.69;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;;;;;
"PMC4869608";27212793;"10.1021/acs.chemmater.6b00208";"American Chemical Society (ACS)";"Chemistry of materials : a publication of the American Chemical Society";"0897-4756, 1520-5002";"Highly Fluorescent Ribonuclease-A-Encapsulated Lead Sulfide Quantum Dots for Ultrasensitive FluorescenceÂ in VivoÂ Imaging in the Second Near-Infrared Window";1690.26;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;;;;;
"PMC5024651";27656042;"10.1021/acs.chemmater.6b01298";"American Chemical Society (ACS)";"Chemistry of materials : a publication of the American Chemical Society";"0897-4756, 1520-5002";"An electroconductive hydrogel based on functional poly(ethylenedioxy thiophene)";£3,615.26;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"unknown";26808351;"10.1021/acs.jctc.5b00992";"American Chemical Society (ACS)";"Journal of chemical theory and computation";"1549-9618, 1549-9626";"Using Local States To Drive the Sampling of Global Conformations in Proteins.";2101.28;0;0;"not applicable";"unknown";"unknown";"hybrid";0;;;;"FS/12/41/29724";;;;
"PMC5053573";27219676;"10.1021/acs.jmedchem.6b00140";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Structure-Based Design of Tetrahydroisoquinoline-7-carboxamides as Selective Discoidin Domain Receptor 1 (DDR1) Inhibitors";£457.04;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4441536";25719566;"10.1021/jm501963e";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Structure Enabled Design of BAZ2-ICR, A Chemical Probe Targeting the Bromodomains of BAZ2A and BAZ2B";£1,204.19;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Cancer Research UK";;"090171/Z/09/Z";"C309/A11566";"C309/A11369";;
"PMC4770307";26367539;"10.1021/acs.jmedchem.5b01135";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"New Synthetic Routes to Triazolo-benzodiazepine Analogues: Expanding the Scope of the Bump-and-Hole Approach for Selective Bromo and Extra-Terminal (BET) Bromodomain Inhibition";1328.84;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"BBSRC";;"100476/Z/12/Z";"BB/G023123/1";"BB/J001201/2";;
"PMC4885109";27115835;"10.1021/acs.jmedchem.6b00065";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Rapid Discovery and Structure-Activity Relationships of Pyrazolopyrimidines that Potently Suppress Breast Cancer Cell Growth via SRC Kinase Inhibition with Exceptional Selectivity over ABL Kinase";£1,402.70;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"Wellcome Trust";;"MC_PC_U127585840";;;;
"PMC4770306";26731131;"10.1021/acs.jmedchem.5b01719";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Structure-Based Identification of Inhibitory Fragments Targeting the p300/CBP-Associated Factor Bromodomain";£1,664.52;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;"Canadian Institutes of Health Research";106169;"092809/Z/10/Z";"unknown";;
"PMC4835159";27002486;"10.1021/acs.jmedchem.6b00007";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Fragment-Based Approaches to the Development of Mycobacterium tuberculosis CYP121 Inhibitors.";1692.29;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"BBSRC";0;"unknown";"BB/I019227/1";"BB/I019669/1";;
"PMC4770324";26741168;"10.1021/acs.jmedchem.5b01635";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"8-substituted pyrido[3,4-d]pyrimidin-4(3H)-one derivatives as potent, cell permeable, KDM4 (JMJD2) and KDM5 (JARID1) histone demethylase inhibitors";1956.24;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;106169;"092809/Z/10/Z";"EP/L003376/1";;
"PMC4885110";26914985;"10.1021/acs.jmedchem.5b01865";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Structure-Based Design of an in Vivo Active Selective BRD9 Inhibitor";£3,385.52;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4601051";26418485;"10.1021/acs.jmedchem.5b00596";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Discovery of Indoline-2-carboxamide Derivatives as a New Class of Brain-Penetrant Inhibitors of Trypanosoma brucei.";3387.16;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"WT077705";"WT083481";92340;;
"PMC4947981";27314305;"10.1021/acs.jmedchem.6b00028";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Trisubstituted Pyrimidines as Efficacious and Fast-Acting Antimalarials.";3569.46;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC5108032";27631715;"10.1021/acs.jmedchem.6b00723";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Discovery of a Quinoline-4-carboxamide Derivative with a Novel Mechanism of Action, Multistage Antimalarial Activity, and Potent in Vivo Efficacy";3934.5;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"unknown";26796641;"10.1021/acs.jmedchem.5b01685";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Discovery of potent, selective and orally bioavailable small-molecule modulators of the mediator complex-associated kinases CDK8 and CDK19";3278.08;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"Cancer Research UK";;;"C309/A11566";11566;;;
"unknown";27119979;"10.1021/acs.jmedchem.5b02001";"American Chemical Society (ACS)";"Journal of medicinal chemistry";"0022-2623, 1520-4804";"Exploiting protein conformational changes to optimize adenosine-derived inhibitors of HSP70";1032.96;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"Cancer Research UK";;;;;;;
"PMC4922733";27117876;"10.1021/jacs.6b02464";"American Chemical Society (ACS)";"Journal of the American Chemical Society";"0002-7863, 1520-5126";"A Population Shift between Sparsely Populated Folding Intermediates Determines Amyloidogenicity";3390.71;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"ERC";0;;322408;;;
"PMC5010359";27459426;"10.1021/jacs.6b05602";"American Chemical Society (ACS)";"Journal of the American Chemical Society";"0002-7863, 1520-5126";"Conformational changes in the epidermal growth factor receptor: role of the transmembrane domain investigated by Coarse-Grained metadynamics free energy calculations";£4,558.57;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4854487";27003358;"10.1021/acs.langmuir.6b00240";"American Chemical Society (ACS)";"Langmuir : the ACS journal of surfaces and colloids";"0743-7463, 1520-5827";"The Effect of Lipopolysaccharide Core Oligosaccharide Size on the Electrostatic Binding of Antimicrobial Proteins to Models of the Gram Negative Bacterial Outer Membrane";£3,397.01;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;93581;;;;
"PMC5002933";27109430;"10.1021/acs.jpcb.6b01387";"American Chemical Society (ACS)";"The journal of physical chemistry. B";"1520-6106, 1520-5207";"Free Energy Landscape of Lipid Interactions with Regulatory Binding Sites on the transmembrane Domain of the EGF Receptor";£4,086.64;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC3636649";23300278;"10.2337/db12-1077";"American Diabetes Association";"Diabetes";"0012-1797, 1939-327X";"Multi-ethnic genome-wide association study identifies novel locus for type 2 diabetes susceptibility";£2,640.00;1;"not applicable";0;"cc-by-nc-nd";"cc-by-nc-nd";"hybrid";0;"Wellcome Trust";;;98017;90532;"G0801056B";;
"PMC4452716";25510240;"10.2337/db14-1388";"American Diabetes Association";"Diabetes";"0012-1797, 1939-327X";"Organic Cation Transporter 1 Variants and Gastrointestinal Side Effects of Metformin in Patients with Type 2 Diabetes";1500;1;"not applicable";1;"non-standard-licence";;"hybrid";0;"Wellcome Trust";;;"102820/Z/13/Z";102820;"unknown";;
"PMC4841180";27033835;"10.1161/circimaging.115.003579";"American Heart Association";"Circulation. Cardiovascular imaging";"1941-9651, 1942-0080";"Athletic Cardiac Adaptation in Males Is a Consequence of Elevated Myocyte Mass";0;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";0;0;"FS/10/62/28409";"PG/14/10/30641";"FS/12/88/29474";;
"PMC4596008";26429760;"10.1161/circimaging.115.003487";"American Heart Association";"Circulation. Cardiovascular imaging";"1941-9651, 1942-0080";"Direct Comparison of Virtual-Histology Intravascular Ultrasound and Optical Coherence Tomography Imaging for Identification of Thin-Cap Fibroatheroma.";2371.54;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Academy of Medical Sciences (AMS)";"Department of Health";"British Heart Foundation";"AMS-SGCL7-Calvert";"unknown";"FS/13/33/30168";;
"PMC4841180";27033835;"10.1161/circimaging.115.003579";"American Heart Association";"Circulation. Cardiovascular imaging";"1941-9651, 1942-0080";"Athletic Cardiac Adaptation in Males Is a Consequence of Elevated Myocyte Mass";3826.94;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";0;0;"FS/10/62/28409";"PG/14/10/30641";"FS/12/88/29474";;
;26849616;"10.1103/physrevlett.116.038102";"American Physical Society (APS)";"Physical review letters";"0031-9007, 1079-7114";"Motility of Colonial Choanoflagellates and the Statistics of Aggregate Random Walkers.";2147.69;0;0;"not applicable";"unknown";"cc-by";"hybrid";0;"epsrc, erc, wellcome-trust,";0;0;97855;;;;
"PMC4572456";26126685;"10.1152/ajpendo.00594.2014";"American Physiological Society";"American journal of physiology. Endocrinology and metabolism";"0193-1849, 1522-1555";"Characterization of lipid metabolism in a novel immortalized human hepatocyte cell line";£1,557.28;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"unknown";;;;
"PMC4867343";26747496;"10.1152/ajpheart.00075.2015";"American Physiological Society";"American journal of physiology. Heart and circulatory physiology";"0363-6135, 1522-1539";"Age-related changes in intra-ventricular kinetic energy: a physiological or pathological adaptation?";£820.50;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"British Heart Foundation";;"WT 088641/Z/09/Z";"NH/11/5/29058";"unknown";;
"PMC4796630";26566728;"10.1152/ajpheart.00597.2015";"American Physiological Society";"American journal of physiology. Heart and circulatory physiology";"0363-6135, 1522-1539";"Altered Na/Ca exchange distribution and activity in ventricular myocytes from failing hearts";1486.38;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"PG/10/91/28644";"RG/12/10/29802";"PG/14/65/31055";;
"PMC5114464";27402665;"10.1152/ajpheart.00130.2016";"American Physiological Society";"American journal of physiology. Heart and circulatory physiology";"0363-6135, 1522-1539";"Impact of Coronary Bifurcation Morphology on Wave Propagation";£1,739.26;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;;;;;
"PMC4796623";26608338;"10.1152/ajpheart.00635.2015";"American Physiological Society";"American journal of physiology. Heart and circulatory physiology";"0363-6135, 1522-1539";"Advances and challenges in skeletal muscle angiogenesis";2439.02;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";0;0;"PG/14/15/30691";"U54GM104942";"U54 GM104942";;
"PMC4896102";26993521;"10.1152/ajplung.00046.2016";"American Physiological Society";"American journal of physiology. Lung cellular and molecular physiology";"1040-0605, 1522-1504";"Biosynthesis of the polymeric gel-forming mucin MUC5B.";£1,717.80;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"PMC4796179";26744504;"10.1152/japplphysiol.00871.2015";"American Physiological Society";"Journal of applied physiology (Bethesda, Md. : 1985)";"8750-7587, 1522-1601";"31P magnetization transfer measurements of Piâ†’ATP flux in exercising human muscle.";1729.61;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;"MRC";93875;91551;"G0701532";;
"PMC4269715";25231610;"10.1152/jn.00062.2014";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"The binaural masking level difference: cortical correlates persist despite severe brain stem atrophy in progressive supranuclear palsy.";1231.45;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;"MRC";88324;88263;"G0001354";;
"PMC4760470";26510762;"10.1152/jn.00691.2015";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"A geometric model of defensive peripersonal space";£1,305.35;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;"MRC/EPSRC";"unknown";102645;"unknown";;
"PMC4969393";27098022;"10.1152/jn.00013.2016";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"Brain potentials evoked by intraepidermal electrical stimuli reflect the central sensitization of nociceptive pathways";£1,646.76;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4922613";26984421;"10.1152/jn.00125.2016";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"Local and global contributions to hemodynamic activity in mouse cortex";£1,683.97;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4961752";27098028;"10.1152/jn.00237.2016";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"Neuronal hyperexcitability in the ventral posterior thalamus of neuropathic rats: modality selective effects of pregabalin";£1,691.38;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;102645;;;;
"PMC4760504";26581867;"10.1152/jn.00485.2015";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"Enhanced crosslimb transfer of force-field learning for dynamics that are identical in extrinsic and joint-based coordinates for both limbs.";1729.61;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"wellcome-trust, ";0;"Australian Research Council";97803;"unknown";;;
"PMC4922602";26912596;"10.1152/jn.00829.2015";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"Differential processing of binocular and monocular gloss cues in human visual cortex.";1729.61;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"wellcome-trust,";0;0;;;;;
"PMC4969396";27098024;"10.1152/jn.00093.2016";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"A comparison of computational methods for detecting bursts in neuronal spike trains and their application to human stem cell-derived neuronal networks.";1791.18;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"BBSRC";0;93875;"BB/H008608/1";;;
"PMC5023412";27358315;"10.1152/jn.00113.2016";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"Competition between movement plans increases motor variability: evidence of a shared resource for movement planning";1830.42;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4808091";26631145;"10.1152/jn.00181.2015";"American Physiological Society";"Journal of neurophysiology";"0022-3077, 1522-1598";"Transfer of tactile perceptual learning to untrained neighbouring fingers reflects natural use relationships";£1,903.06;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;104128;"104128/Z/14/Z";90955;;
"PMC4757025";26487704;"10.1152/physiolgenomics.00054.2015";"American Physiological Society";"Physiological genomics";"1094-8341, 1531-2267";"Gene transcripts associated with muscle strength: a CHARGE meta-analysis of 7,781 persons";1601.6;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Other";0;"WT097835MF";"N01-HC-25195";"N01HC25195";;
"PMC4516321";26214215;"10.1037/bne0000072";"American Psychological Association (APA)";"Behavioral neuroscience";"0735-7044, 1939-0084";"Hippocampal acetylcholine depletion has no effect on anxiety, spatial novelty preference, or differential reward for low rates of responding (DRL) performance in rats";£2,627.34;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Wellcome Trust";;74385;87736;;;
"PMC4655861";26595880;"10.1037/bne0000108";"American Psychological Association (APA)";"Behavioral neuroscience";"0735-7044, 1939-0084";"Heterozygous Deletion of ?-Neurexin I or ?-Neurexin II Results in Behaviors Relevant to Autism and Schizophrenia";3252.02;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"Wellcome Trust";0;"G0900625";;;;
"PMC4655871";26501181;"10.1037/bne0000097";"American Psychological Association (APA)";"Behavioral neuroscience";"0735-7044, 1939-0084";"Characterization of cognitive deficits in mice with an alternating hemiplegia-linked mutation.";3298.74;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";0;"unknown";"G0900625";"MOP-94856";;
"PMC4450885";26030425;"10.1037/bne0000049";"American Psychological Association (APA)";"Behavioral neuroscience";"0735-7044, 1939-0084";"Perirhinal cortex lesions in rats: Novelty detection and sensitivity to interference";3428.08;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;103722;;;;
"PMC4817233";26845505;"10.1037/dev0000083";"American Psychological Association (APA)";"Developmental psychology";"0012-1649, 1939-0599";"Statistical treatment of looking-time data.";3333.27;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"ERC";0;"unknown";249519;;;
"PMC4577249";25622078;"10.1037/hea0000191";"American Psychological Association (APA)";"Health psychology : official journal of the Division of Health Psychology, American Psychological Association";"0278-6133, 1930-7810";"Smoker identity and its potential role in young adultsÂ’ smoking behaviour: a meta-ethnography";£3,363.17;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;"MR/K023195/1";"ES/G007489/1";;;
"PMC4976760";27505409;"10.1037/abn0000182";"American Psychological Association (APA)";"Journal of abnormal psychology";"0021-843X, 1939-1846";"Â‘Theory of MindÂ’ is not Theory of Emotion: A cautionary note on the Reading the Mind in the Eyes Test";£3,572.01;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4352962";25244390;"10.1037/a0037981";"American Psychological Association (APA)";"Journal of consulting and clinical psychology";"0022-006X, 1939-2117";"Post-treatment motivation and alcohol treatment outcome 9 months later: findings from structural equation modelling.";2682.58;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"WT086516MA";"G9700729";;;
