"University";"PMCID";"PMID";"DOI";"Article title";"Journal title";"Pure Open Access";"ISSN";"EISSN";"Publication Date";"Electronic Publication Date";"Publisher";"Publisher Licence";"Licence";"EPMC Licence";"Licence Source";"EPMC Licence Source";"Fulltext in EPMC?";"XML Fulltext?";"AAM?";"Open Access";"Compliance Wellcome Standard";"Compliance Wellcome Deluxe";"Date of APC payment";"APC paid (actual currency) excluding VAT";"Currency of APC";"APC paid (£) including VAT if charged";"Additional publication costs (£)";"Discounts, memberships & pre-payment agreements";"Amount of APC charged to COAF grant (including VAT if charged) in £";"Amount of APC charged to RCUK OA fund (including VAT if charged) in £";"Licence";"Ahead of Print?"
"BBK";"Unknown";"Unknonw";"10.1016/j.geoforum.2018.10.007";"A commentary on encountering austerity; the experiences of four men living in a London hostel";"Geoforum";FALSE;"0016-7185";"Unknown";"2018-10-05T00:00:00Z";"2018-10-05T00:00:00Z";"Elsevier BV";"Unknown";"cc-by";"cc-by";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;43557;;;1776.97;;;1776.97;;"CC BY";"Unknown"
"BBK";"PMC6899430";31839694;"10.1177/0952695119867021";"Voices off: Stanley MilgramÂ’s cyranoids in historical context";"History of the human sciences";FALSE;"0952-6951, 1461-720X";"1461-720X";"2019-12-01T00:00:00Z";"2019-09-24T00:00:00Z";"SAGE Publications";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43714;;;2640;;;2640;;"CC BY";"Unknown"
"BBK";"PMC6771723";31598132;"10.1111/mbe.12198";"Genome-wide association study of latent cognitive measures in adolescence: genetic overlap with intelligence and education";"Mind, brain and education : the official journal of the International Mind, Brain, and Education Society";FALSE;"1751-2271, 1751-228X";"1751-228X";"2019-08-01T00:00:00Z";"2019-06-30T00:00:00Z";"Wiley";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43646;;;1950;;;1950;;"CC BY";"Unknown"
"BBK";"PMC6733973";31551848;"10.3389/fpsyg.2019.01906";"Preserved proactive control in ageing: a Stroop study with emotional faces vs. words";"Frontiers in psychology";TRUE;"1664-1078";"1664-1078";"2019-01-01T00:00:00Z";"2019-09-03T00:00:00Z";"Frontiers Media SA";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43745;;;2235.53;;;2235.53;;"CC BY";"Unknown"
"BBK";"PMC6716362";31523202;"10.3366/pah.2019.0281";"Michael Balint's Word Trail: The Â‘OcnophilÂ’, the Â‘PhilobatÂ’ and Creative Dyads";"Psychoanalysis and history";FALSE;"1460-8235, 1755-201X";"1755-201X";"2019-04-01T00:00:00Z";"Unknown";"Edinburgh University Press";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43546;;;1200;;;1200;;"CC BY";"Unknown"
"BBK";"PMC6969340";31299480;"10.1016/j.dcn.2019.100676";"Fronto-temporoparietal connectivity and self-awareness in 18-month-olds: A resting state fNIRS study Author: M";"Developmental cognitive neuroscience";TRUE;"1878-9293, 1878-9307";"1878-9307";"2019-08-01T00:00:00Z";"2019-06-22T00:00:00Z";"Elsevier BV";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43721;;;2371.6;;;2371.6;;"CC BY";"Unknown"
"BBK";"PMC6736417";31183501;"10.1093/femsre/fuz016";"Cell wall peptidoglycan inÂ Mycobacterium tuberculosis: An AchillesÂ’ heel for the TB-causing pathogen";"FEMS microbiology reviews";FALSE;"0168-6445, 1574-6976";"1574-6976";"2019-09-01T00:00:00Z";"Unknown";"Oxford University Press (OUP)";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43686;;;1031.5;;;1031.5;;"CC BY";"Unknown"
"BBK";"PMC6776073";31169397;"10.1037/rev0000151";"Computational Modeling of Interventions for Developmental Disorders";"Psychological review";FALSE;"0033-295X, 1939-1471";"1939-1471";"2019-10-01T00:00:00Z";"2019-06-06T00:00:00Z";"American Psychological Association (APA)";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43719;;;4017.73;;;4017.73;;"CC BY";"Unknown"
"BBK";"PMC6478146";30856416;"10.1016/j.jecp.2019.01.015";"Selective facial mimicry of native over foreign speakers in preverbal infants";"Journal of experimental child psychology";FALSE;"0022-0965, 1096-0457";"1096-0457";"2019-07-01T00:00:00Z";"2019-03-08T00:00:00Z";"Elsevier BV";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43623;;;2547.41;;;2547.41;;"CC BY";"Unknown"
"BBK";"PMC6382286";30828706;"10.1080/13506285.2018.1544181";"Saccades predict and synchronize to visual rhythms irrespective of musical beats";"Visual cognition";FALSE;"1350-6285";"Unknown";"2018-01-01T00:00:00Z";"2018-12-04T00:00:00Z";"Informa UK Limited";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43483;;;2274;;;2274;;"CC BY";"Unknown"
"BBK";"PMC6362355";30602585;"10.15252/embr.201847012";"From conjugation to T4S systems in Gram?negative bacteria: a mechanistic biology perspective";"EMBO reports";FALSE;"1469-221X, 1469-3178";"1469-3178";"2019-02-01T00:00:00Z";"2019-01-02T00:00:00Z";"EMBO";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43511;;;4200;;;4200;;"CC BY";"Unknown"
"BBK";"PMC6297894";30595623;"10.1177/0952695118808411";"Psychotherapy in Europe";"History of the human sciences";FALSE;"0952-6951, 1461-720X";"1461-720X";"2018-10-01T00:00:00Z";"2018-12-12T00:00:00Z";"SAGE Publications";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43434;;;2640;;;2640;;"CC BY";"Unknown"
"BBK";"PMC6263212";30515021;"10.1093/shm/hky091";"In Plain Sight: Open Doors, Mixed-sex Wards and Sexual Abuse in English Psychiatric Hospitals, 1950sÂ—Early 1990s";"Social history of medicine : the journal of the Society for the Social History of Medicine";FALSE;"0951-631X, 1477-4666";"1477-4666";"2018-11-01T00:00:00Z";"2018-11-08T00:00:00Z";"Oxford University Press (OUP)";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43427;;;2247.6;;;2247.6;;"CC BY";"Unknown"
"BBK";"PMC6263210";30515018;"10.1093/shm/hky103";"Cultures of Harm in Institutions of Care: Introduction";"Social history of medicine : the journal of the Society for the Social History of Medicine";FALSE;"0951-631X, 1477-4666";"1477-4666";"2018-11-01T00:00:00Z";"2018-11-19T00:00:00Z";"Oxford University Press (OUP)";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;;;2360.4;;;2360.4;;"CC BY";"Unknown"
"BBK";"PMC6767077";30415485;"10.1111/desc.12771";"The role of sensorimotor experience in the development of mimicry in infancy";"Developmental science";FALSE;"1363-755X, 1467-7687";"1467-7687";"2019-05-01T00:00:00Z";"2018-12-04T00:00:00Z";"Wiley";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43700;;;2820;;;2820;;"CC BY";"Unknown"
"BBK";"PMC6206258";30405374;"10.3389/fnhum.2018.00402";"Differential Subjective Experiences in Learners and Non-learners in Frontal Alpha Neurofeedback: Piloting a Mixed-Method Approach";"Frontiers in Human Neuroscience";TRUE;"1662-5161";"1662-5161";"2018-01-01T00:00:00Z";"2018-10-23T00:00:00Z";"Frontiers Media SA";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43468;;;2079.34;;;2079.34;;"CC BY";"Unknown"
"Birmingham";"Unknown";"Unknown";"Unknown";"Methods for human circadian phenotyping and diurnal performance testing in the real world";"Journal of visualized experiments : JoVE";FALSE;"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;4200;"USD";3530.82;;"None";3530.82;;;"Unknown"
"Birmingham";"Unknown";"Unknown";"10.1016/j.coche.2017.12.004";"Designing antigens for the prevention and treatment of autoimmune diseases";"Current Opinion in Chemical Engineering";FALSE;"2211-3398";"Unknown";"Unknown";"Unknown";"Elsevier BV";"Unknown";"cc-by";"Unknown";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;3363.97;"EUR";2879.08;;"None";;;"CC BY-NC-ND";"Unknown"
"Birmingham";"Unknown";"Unknown";"Unknown";"Predicting Age-Associated Muscle Degeneration using Raman Spectroscopy";"Unknown";FALSE;"Unknown";"Unknown";"2018-04-01T00:00:00Z";"2018-04-01T00:00:00Z";"J R Soc Med";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;1360;"GBP";1632;;"Institutional_Prepayment";1632;;;"Unknown"
"Birmingham";"Unknown";"Unknown";"10.1111/camh.12345";"Narrative Matters: Young people, social media and body image";"Child and Adolescent Mental Health";FALSE;"1475-357X";"Unknown";"2019-07-28 T00:00:00Z";"Unknown";"Wiley";"not applicable";"cc-by";"cc-by";"publisher_splash_page";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;1312.5;"GBP";1575;;"Institutional_Prepayment";1575;;"CC BY";"Unknown"
"Birmingham";"PMC6996392";32123830;"10.1096/fba.2018-00048";"A whole-cell high-throughput phenotypic screen to identify inhibitors of mycobacterial amino acid biosynthesis";"FASEB bioAdvances";TRUE;"2573-9832";"2573-9832";"2019-04-01T00:00:00Z";"2019-01-22T00:00:00Z";"FASEB";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;1271;"GBP";1525.2;;"Institutional_Prepayment";0;1525.2;"CC BY";"Unknown"
"Birmingham";"PMC6914302";31885839;"10.1136/flgastro-2018-101139";"Medical liver biopsy Â– background, indications, procedure and histopathology";"Frontline gastroenterology";FALSE;"2041-4137, 2041-4145";"2041-4145";"2020-01-01T00:00:00Z";"2019-03-02T00:00:00Z";"BMJ";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;850;"GBP";850;;"Institutional_Prepayment";0;850;"CC BY";"Unknown"
"Birmingham";"PMC6816425";31692900;"10.1080/23723556.2019.1656500";"BRCA1-BARD1: the importance of being in shape";"Molecular & cellular oncology";FALSE;"2372-3556";"2372-3556";"2019-01-01T00:00:00Z";"2019-09-11T00:00:00Z";"Informa UK Limited";"Unknown";"cc-by";"cc-by";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;190.92;"GBP";229.1;;"JiscCollections_Taylor & Francis";229.1;;"CC BY";FALSE
"Birmingham";"PMC6774259";31598094;"10.1002/ejoc.201900850";"Balancing bulkiness in gold(I) phosphino-triazole catalysis";"European journal of organic chemistry";FALSE;"1434-193X";"Unknown";"2019-09-01T00:00:00Z";"2019-07-30T00:00:00Z";"Wiley";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;1762.5;"GBP";2115;;"Institutional_Prepayment";0;2115;"CC BY";"Unknown"
"Birmingham";"PMC6748184";31582990;"10.1155/2019/8540706";"Designing microfluidic devices to sort haematopoietic stem cells based on their mechanical properties";"Stem cells international";TRUE;"1687-966X, 1687-9678";"1687-9678";"2019-01-01T00:00:00Z";"2019-09-05T00:00:00Z";"Hindawi Limited";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;1900;"USD";2202.11;;"None";2202.11;;"CC BY";"Unknown"
"Birmingham";"Unknown";31566620;"10.3791/59700";;"Journal of visualized experiments : JoVE";FALSE;"1940-087X";"1940-087X";"2019-09-01T00:00:00Z";"2019-09-16T00:00:00Z";"MyJove Corporation";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;4200;"USD";3960.31;;"None";3960.31;;"CC BY";FALSE
"Birmingham";"Unknown";31566620;"10.3791/59700";"Splicing-dependent NMD requires Prp17 in Saccharomyces cerevisiae";"Journal of visualized experiments : JoVE";FALSE;"1940-087X";"1940-087X";"2019-09-01T00:00:00Z";"2019-09-16T00:00:00Z";"MyJove Corporation";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;1491;"GBP";1789.2;;"None";;1789.2;"CC BY";FALSE
"Birmingham";"Unknown";31540744;"10.1016/j.radonc.2019.06.014";"The feasibility, safety and optimization of multiple prolonged breath-holds for radiotherapy";"Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology";FALSE;"0167-8140, 1879-0887";"1879-0887";"2019-12-01T00:00:00Z";"2019-09-18T00:00:00Z";"Elsevier BV";"Unknown";"cc-by";"cc-by";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;1770;"GBP";2124;;"None";2124;;;FALSE
"Birmingham";"PMC6899442";31533028;"10.1016/j.celrep.2019.08.040";"RUNX1-ETO orchestrates dynamic enhancer promoter communication in t(8;21) Acute Myeloid Leukemia";"Cell reports";TRUE;"2211-1247";"2211-1247";"2019-09-01T00:00:00Z";"Unknown";"Elsevier BV";"Unknown";"cc-by";"Unknown";"Unknown";"Unknown";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;4080;"GBP";4080;;"None";4080;;;"Unknown"
"Birmingham";"PMC6900184";31518447;"10.1111/mmi.14386";"The Escherichia coli MarA protein regulates the ycgZ-ymgABC operon to inhibit biofilm formation";"Molecular microbiology";FALSE;"0950-382X, 1365-2958";"1365-2958";"2019-11-01T00:00:00Z";"2019-09-29T00:00:00Z";"Wiley";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;1740.75;"GBP";2088.9;;"Institutional_Prepayment";0;2088.9;"CC BY";"Unknown"
"Birmingham";"PMC6900228";31446426;"10.1136/heartjnl-2019-315229";"A study of indications for cardiac device implantation and utilization in Fabry cardiomyopathy";"Heart (British Cardiac Society)";FALSE;"1355-6037, 1468-201X";"1468-201X";"2019-12-01T00:00:00Z";"2019-08-24T00:00:00Z";"BMJ";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;1147.5;"GBP";1377;;"Institutional_Prepayment";1377;;"CC BY";"Unknown"
"Birmingham";"PMC6698000";31420008;"10.1186/s13075-019-1972-1";"11?-HSD1 plays a critical role in trabecular bone loss associated with systemic glucocorticoid therapy";"Arthritis research & therapy";TRUE;"1478-6354, 1478-6362";"1478-6362";"2019-08-01T00:00:00Z";"2019-08-16T00:00:00Z";"Springer Science and Business Media LLC";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;1487.5;"GBP";1785;;"Institutional_Prepayment";1785;;"CC BY";"Unknown"
"Birmingham";"PMC6695526";31402008;"10.1016/S2214-109X(19)30336-5";"Antibiotic prophylaxis in the surgical management of miscarriage in low income countries: a cost-effectiveness analysis based on the AIMS trial";"The Lancet. Global health";TRUE;"2214-109X";"2214-109X";"2019-09-01T00:00:00Z";"Unknown";"Elsevier BV";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;4312.2;"EUR";4838.92;;"None";4838.92;;"CC BY";"Unknown"
