institution;period;publisher;journal_full_title;doi;is_hybrid;euro
Goettingen U;2016;PLoS;PloS One;10.1371/JOURNAL.PONE.0148552;FALSE; 1.438,75
Goettingen U;2016;PLoS;PloS One;10.1371/JOURNAL.PONE.0147633;FALSE; 1.438,75
Goettingen U;2016;PLoS;PloS One;10.1371/JOURNAL.PONE.0147610;FALSE; 1.438,75
Goettingen U;2016;PLoS;PloS One;10.1371/JOURNAL.PONE.0148341;FALSE; 1.593,27
Goettingen U;2016;PLoS;PloS One;10.1371/JOURNAL.PONE.0147629;FALSE; 1.593,27
Goettingen U;2016;PLoS;PloS One;10.1371/JOURNAL.PONE.0148781;FALSE; 1.593,27
Goettingen U;2016;Resilience Alliance;Ecology and Society;10.5751/ES-08214-210205;FALSE; 1.362,48
Goettingen U;2016;BioMed Central;BMC Evolutionary Biology;10.1186/s12862-016-0612-5;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Orphanet Journal of Rare Diseases;10.1186/s13023-016-0402-6;FALSE; 1.832,60
Goettingen U;2016;Frontiers;Frontiers in Plant Science;10.3389/fpls.2016.00246;FALSE; 1.528,26
Goettingen U;2016;Nature Publ. Group;Scientific Reports;10.1038/srep22240;FALSE; 1.386,35
Goettingen U;2016;Frontiers;Frontiers in Genetics;10.3389/fgene.2016.00033;FALSE; 1.544,26
Goettingen U;2016;Frontiers;Frontiers in Plant Science;10.3389/fpls.2016.00278;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;Acta Neuropathologica Communications;10.1186/s40478-016-0294-7;FALSE; 1.085,28
Goettingen U;2016;Pensoft Publisher;PhytoKeys;10.3897/phytokeys.62.7548;FALSE; 224,91
Goettingen U;2016;Dove Medical Press;Journal of Pain Research;10.2147/JPR.S96228;FALSE; 1.884,96
Goettingen U;2016;Springer;EURASIP Journal on Image and Video Processing;10.1186/s13640-016-0110-0;FALSE; 928,20
Goettingen U;2016;Frontiers;Frontiers in Genetics;10.3389/fgene.2016.00042;FALSE; 1.503,46
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0149949;FALSE; 1.522,00
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0149846;FALSE; 1.522,00
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0149771;FALSE; 1.522,00
Goettingen U;2016;Frontiers;Frontiers in Human Neuroscience;10.3389/fnhum.2016.00136;FALSE; 1.999,20
Goettingen U;2016;Scientific Research Publishing (SCIRP);Journal of Water Resource and Protection;10.4236/jwarp.2016.86055;FALSE; 1.159,51
Goettingen U;2016;MDPI;Sustainability;10.3390/su8040335;FALSE; 914,47
Goettingen U;2016;MDPI;Sustainability;10.3390/su8040363;FALSE; 1.180,81
Goettingen U;2016;MDPI;International Journal of Medical Students (IJMS);10.3390/ijms17040568;FALSE; 1.575,43
Goettingen U;2016;PLOS;PLoS ONE;10.1371/journal.pone.0151387;FALSE; 1.409,73
Goettingen U;2016;Akadémiai Kiadó;European Journal of Microbiology and Immunology;10.1556/1886.2016.00007;FALSE; 514,41
Goettingen U;2016;MDPI;Water;10.3390/w8040162;FALSE; 1.126,77
Goettingen U;2016;Springer;The Journal of Headache and Pain;10.1186/s10194-016-0627-8;FALSE; 1.523,20
Goettingen U;2016;BioMed Central;BMC Neurology;10.1186/s12883-016-0568-5;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Mobile DNA;10.1186/s13100-016-0063-y;FALSE; 1.661,24
Goettingen U;2016;MDPI;International Journal of Medical Students (IJMS);10.3390/ijms17050637;FALSE; 1.559,09
Goettingen U;2016;Frontiers;Frontiers in Neuroscience;10.3389/fnins.2016.00114;FALSE; 1.493,39
Goettingen U;2016;BioMed Central;Acta Neuropathologica Communications;10.1186/s40478-016-0310-y;FALSE; 1.085,28
Goettingen U;2016;MDPI;International Journal of Medical Students (IJMS);10.3390/ijms17040597;FALSE; 1.559,09
Goettingen U;2016;Resilience Alliance;Ecology and Society;10.5751/ES-08512-210235;FALSE; 1.021,53
Goettingen U;2016;Wiley (OA-Journals);Journal of Cachexia, Sarcopenia and Muscle;10.1002/jcsm.12119;FALSE; 1.011,50
Goettingen U;2016;Frontiers;Frontiers in Plant Science;10.3389/fpls.2016.00652;FALSE; 1.465,74
Goettingen U;2016;Wiley (OA-Journals);Ecology and Evolution;10.1002/ece3.2154;FALSE; 1.456,56
Goettingen U;2016;Wiley (OA-Journals);Journal of Cachexia, Sarcopenia and Muscle;10.1002/jcsm.12123;FALSE; 1.011,50
Goettingen U;2016;Akadémiai Kiadó;European Journal of Microbiology and Immunology;10.1556/1886.2015.00041;FALSE; 514,08
Goettingen U;2016;BioMed Central;BMC Microbiology;10.1186/s12866-016-0698-3;FALSE; 1.661,24
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0154602;FALSE; 1.571,87
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0153861;FALSE; 1.571,87
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0153439;FALSE; 1.571,87
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0128191;FALSE; 1.419,42
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0153278;FALSE; 1.419,42
Goettingen U;2016;Frontiers;Frontiers in Microbiology;10.3389/fmicb.2016.00804;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;Parasites & Vectors;10.1186/s13071-016-1572-8;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;BMC Neurology;10.1186/s12883-016-0602-7;FALSE; 1.661,24
Goettingen U;2016;Frontiers;Frontiers in Plant Science;10.3389/fpls.2016.00791;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;BMC Genomics;10.1186/s12864-016-2646-x;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Journal of Translational Medicine;10.1186/s12967-016-0898-5;FALSE; 1.661,24
Goettingen U;2016;Wiley (OA-Journals);Journal of Cachexia, Sarcopenia and Muscle;10.1002/jcsm.12125;FALSE; 1.011,50
Goettingen U;2016;Springer;Journal of Innovation and Entrepreneurship;10.1186/s13731-016-0053-9;FALSE; 842,52
Goettingen U;2016;BioMed Central;Health Research Policy and Systems;10.1186/s12961-016-0112-5;FALSE; 1.751,68
Goettingen U;2016;Frontiers;Frontiers in Human Neuroscience;10.3389/fnhum.2016.00326;FALSE; 1.999,20
Goettingen U;2016;Frontiers;Frontiers in Psychology;10.3389/fpsyg.2016.01060;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;Diagnostic Pathology;10.1186/s13000-016-0507-1;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Acta Veterinaria Scandinavica;10.1186/s13028-016-0225-4;FALSE; 1.832,60
Goettingen U;2016;Pensoft Publisher;ZooKeys;10.3897/zookeys.605.9338;FALSE; 357,00
Goettingen U;2016;BioMed Central;Journal of Medical Case Reports;10.1186/s13256-016-0960-1;FALSE; 866,32
Goettingen U;2016;Scientific Research Publishing (SCIRP);Open Journal of Geology ;10.4236/ojg.2016.68067;FALSE; 642,64
Goettingen U;2016;Wiley (OA-Journals);ESC Heart Failure;10.1002/ehf2.12103;FALSE; 1.999,20
Goettingen U;2016;Nature Publ. Group;Scientific Reports;10.1038/srep28711;FALSE; 1.386,35
Goettingen U;2016;MDPI;ISPRS International Journal of Geo-Information;10.3390/ijgi5080133;FALSE; 883,59
Goettingen U;2016;BioMed Central;BMC Evolutionary Biology;10.1186/s12862-016-0719-8;FALSE; 1.661,24
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0157852;FALSE; 1.609,56
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0157502;FALSE; 1.609,56
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0157960;FALSE; 1.609,56
Goettingen U;2016;BioMed Central;BMC Family Practice;10.1186/s12875-016-0477-0;FALSE; 1.661,24
Goettingen U;2016;Wiley (OA-Journals);ESC Heart Failure;10.1002/ehf2.12109;FALSE; 1.666,00
Goettingen U;2016;BioMed Central;Orphanet Journal of Rare Diseases;10.1186/s13023-016-0486-z;FALSE; 1.870,68
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0156301;FALSE; 1.589,38
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0154160;FALSE; 1.435,40
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0154876;FALSE; 1.589,38
Goettingen U;2016;Frontiers;Frontiers in Plant Science;10.3389/fpls.2016.01233;FALSE; 1.999,20
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0160179;FALSE; 1.578,85
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0159875;FALSE; 1.578,85
Goettingen U;2016;Frontiers;Frontiers in Physiology;10.3389/fphys.2016.00385;FALSE; 1.999,20
Goettingen U;2016;Scientific Research Publishing (SCIRP);Advances in Lung Cancer;10.4236/alc.2016.53004;FALSE; 638,26
Goettingen U;2016;Scientific Research Publishing (SCIRP);Advances in Lung Cancer;10.4236/alc.2016.53003;FALSE; 638,26
Goettingen U;2016;Frontiers;Frontiers in Aging Neuroscience;10.3389/fnagi.2016.00212;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;Acta Neuropathologica Communications;10.1186/s40478-016-0352-1;FALSE; 1.085,28
Goettingen U;2016;BioMed Central;Tobacco Induced Diseases;10.1186/s12971-016-0091-x;FALSE; 1.504,16
Goettingen U;2016;BioMed Central;Fluids and Barriers of the CNS;10.1186/s12987-016-0039-9;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;BMC Family Practice;10.1186/s12875-016-0522-z;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Reproductive Biology and Endocrinology;10.1186/s12958-016-0177-6;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Journal of NeuroEngineering and Rehabilitation;10.1186/s12984-016-0172-3;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;BMC Medical Research Methodology;10.1186/s12901-016-0029-1;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Movement Ecology;10.1186/s40462-016-0086-5;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;BMC Medical Research Methodology;10.1186/s12874-016-0200-9;FALSE; 1.661,24
Goettingen U;2016;Frontiers;Frontiers in Microbiology;10.3389/fmicb.2016.01492;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;BMC Plant Biology;10.1186/s12870-016-0886-1;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;BMC Genomics;10.1186/s12864-016-3081-8;FALSE; 1.661,24
Goettingen U;2016;Frontiers;Frontiers in Psychology;10.3389/fpsyg.2016.01432;FALSE; 1.999,20
Goettingen U;2016;Hindawi;Case Reports in Cardiology;10.1155/2016/8438923;FALSE; 445,87
Goettingen U;2016;Frontiers;Frontiers in Applied Mathematics and Statistics  ;10.3389/fams.2016.00016;FALSE; 1.220,35
Goettingen U;2016;BioMed Central;BMC Plant Biology;10.1186/s12870-016-0892-3;FALSE; 1.661,24
Goettingen U;2016;Karger;Case Reports in Gastroenterology;10.1159/000450676;FALSE; 370,09
Goettingen U;2016;Sage;Trends in Hearing;10.1177/2331216516669330;FALSE; 762,58
Goettingen U;2016;Assoc. For Research in Vision and Ophthalmology;Investigative Ophthalmology and Visual Science;10.1167/iovs.16-19938;FALSE; 1.590,91
Goettingen U;2016;Nature Publ. Group;Scientific Reports;10.1038/srep33696;FALSE; 1.386,65
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0161679;FALSE; 1.586,88
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0160803;FALSE; 1.586,88
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0161623;FALSE; 1.586,88
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0160096;FALSE; 1.586,88
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0160881;FALSE; 1.586,88
Goettingen U;2016;IOP;New Journal of Physics;10.1088/1367-2630/18/9/092002;FALSE; 1.876,65
Goettingen U;2016;Scientific Research Publishing (SCIRP);Open Journal of Thoracic Surgery;10.4236/ojts.2016.64007;FALSE; 638,72
Goettingen U;2016;Frontiers;Frontiers in Plant Science;10.3389/fpls.2016.01538;FALSE; 1.999,20
Goettingen U;2016;Elsevier;Global Ecology and Conservation;10.1016/j.gecco.2016.09.011;FALSE; 1.610,00
Goettingen U;2016;Scientific Research Publishing (SCIRP);Open Journal of Psychiatry;10.4236/ojpsych.2017.71001;FALSE; 865,95
Goettingen U;2016;MDPI;Entropy;10.3390/e18100379;FALSE; 1.381,68
Goettingen U;2016;Copernicus;Primate Biology;10.5194/pb-3-23-2016;FALSE; 642,60
Goettingen U;2016;The Royal Society;Open Biology;10.1098/rsob.160246;FALSE; 1.999,20
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0162583;FALSE; 1.628,87
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0160907;FALSE; 1.628,87
Goettingen U;2016;Wiley (OA-Journals);Journal of Cachexia, Sarcopenia and Muscle;10.1002/jcsm.12167;FALSE; 1.011,50
Goettingen U;2016;BioMed Central;Philosophy, Ethics, and Humanities in Medicine;10.1186/s13010-016-0040-6;FALSE; 1.661,24
Goettingen U;2016;Hindawi;Journal of Nutrition and Metabolism;10.1155/2016/3703216;FALSE; 1.072,56
Goettingen U;2016;Frontiers;Frontiers in Cellular Neuroscience;10.3389/fncel.2016.00266;FALSE; 1.999,20
Goettingen U;2016;BMJ Publishing Group;BMJ Open;10.1136/bmjopen-2016-011555;FALSE; 1.803,28
Goettingen U;2016;Frontiers;Frontiers in Human Neuroscience;10.3389/fnhum.2016.00592;FALSE; 1.897,44
Goettingen U;2016;Hindawi;Case Reports in Rheumatology;10.1155/2016/8605274;FALSE; 431,23
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0164567;FALSE; 1.678,03
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0164987;FALSE; 1.678,03
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0164964;FALSE; 1.678,03
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0164673;FALSE; 1.678,03
Goettingen U;2016;Frontiers;Frontiers in Psychology;10.3389/fpsyg.2016.01874;FALSE; 1.999,20
Goettingen U;2016;IOP;New Journal of Physics;10.1088/1367-2630/18/10/103019;FALSE; 1.517,75
Goettingen U;2016;Wiley (OA-Journals);Ecosphere;10.1002/ecs2.1529;FALSE; 1.192,38
Goettingen U;2016;Frontiers;Frontiers in Psychiatry;10.3389/fpsyt.2016.00193;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;BMC Veterinary Research;10.1186/s12917-016-0875-5;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine;10.1186/s13049-016-0314-4;FALSE; 1.799,28
Goettingen U;2016;Wiley (OA-Journals);Frontiers in Immunology;10.3389/fimmu.2016.00588;FALSE; 1.285,94
Goettingen U;2016;MDPI;Remote Sensing;10.3390/rs8121002;FALSE; 1.593,90
Goettingen U;2016;Frontiers;Frontiers in Cellular Neuroscience;10.3389/fncel.2016.00292;FALSE; 1.274,92
Goettingen U;2016;BioMed Central;BMC Neuroscience;10.1186/s12868-016-0317-0;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;BMC Neurology;10.1186/s12883-016-0736-7;FALSE; 1.661,24
Goettingen U;2016;Frontiers;Frontiers in Microbiology;10.3389/fmicb.2016.02067;FALSE; 1.999,20
Goettingen U;2016;Nature Publ. Group;Scientific Reports;10.1038/srep36342;FALSE; 1.386,35
Goettingen U;2016;BioMed Central;BMC Bioinformatics;10.1186/s12859-016-1406-x;FALSE; 1.661,24
Goettingen U;2016;BioMed Central;Acta Neuropathologica Communications;10.1186/s40478-016-0402-8;FALSE; 1.085,28
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0167627;FALSE; 1.704,23
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0166349;FALSE; 1.704,23
Goettingen U;2016;Nature Publ. Group;Scientific Reports;10.1038/srep36297;FALSE; 1.386,35
Goettingen U;2016;Nature Publ. Group;Scientific Reports;10.1038/srep36517;FALSE; 1.386,35
Goettingen U;2016;Nature Publ. Group;Scientific Reports;10.1038/srep36798;FALSE; 1.386,35
Goettingen U;2016;Frontiers;Frontiers in Microbiology;10.3389/fmicb.2016.02171;FALSE; 1.999,20
Goettingen U;2016;PLoS;PLoS ONE;10.1371/journal.pone.0169192;FALSE; 1.687,74
Goettingen U;2016;IEEE;IEEE Access;10.1109/ACCESS.2016.2639065;FALSE; 1.975,61
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0168733;FALSE; 1.670,15
Goettingen U;2016;PLoS;PLoS ONE;10.1371/JOURNAL.PONE.0168518;FALSE; 1.670,15
Goettingen U;2016;IOP;New Journal of Physics;10.1088/1367-2630/17/12/123009;FALSE; 1.577,94
Goettingen U;2016;PLoS;PLoS One;10.1371/journal.pone.0145797;FALSE; 1.475,61
Goettingen U;2016;PLoS;PLoS One;10.1371/journal.pone.0145575;FALSE; 1.475,61
Goettingen U;2016;BioMed Central;Critical Care;10.1186/s13054-016-1191-y;FALSE; 2.018,24
Goettingen U;2016;PLoS;PLoS Computational Biology;10.1371/journal.pcbi.1004684;FALSE; 2.449,02
Goettingen U;2016;Nature Publ. Group;Translational Psychiatry;10.1038/tp.2016.65;FALSE; 3.332,00
Goettingen U;2016;PLoS;PLoS Genetics;10.1371/journal.pgen.1005949;FALSE; 2.751,70
Goettingen U;2016;PLoS;PLoS Genetics;10.1371/JOURNAL.PGEN.1005995;FALSE; 2.350,95
Goettingen U;2016;Pensoft Publisher;ZooKeys;10.3897/zookeys.529.6326;FALSE; 303,45
Goettingen U;2016;Pensoft Publisher;ZooKeys;10.3897/zookeys.539.6541;FALSE; 622,07
Goettingen U;2016;Pensoft Publisher;ZooKeys;10.3897/zookeys.529.6421;FALSE; 303,45
Goettingen U;2016;PLoS;PLoS Genetics;10.1371/journal.pgen.1006098;FALSE; 2.426,37
Goettingen U;2016;Oncotarget;Oncotarget;10.18632/oncotarget.11650;FALSE; 3.002,66
Goettingen U;2016;PLoS;PLoS Genetics;10.1371/journal.pgen.1006274;FALSE; 2.388,28
Goettingen U;2016;BioMed Central;BMC Biology;10.1186/s12915-016-0304-z;FALSE; 2.161,04
Goettingen U;2016;Nature Publ. Group;Nature Communications;10.1038/ncomms13137;FALSE; 4.403,00
Goettingen U;2016;Impact Journals, LLC;Aging;10.18632/aging.101101;FALSE; 3.170,12
Goettingen U;2016;Nature Publ. Group;Cell Death & Disease;10.1038/cddis.2016.384;FALSE; 3.094,00
Goettingen U;2016;PLoS;PLoS Computational Biology;10.1371/JOURNAL.PCBI.1005107;FALSE; 2.959,82
Goettingen U;2016;Elsevier;Cell Reports;10.1016/j.celrep.2016.10.036;FALSE; 4.561,66
Goettingen U;2016;BioMed Central;Genome Medicine;10.1186/s13073-016-0372-2;FALSE; 2.161,04
Goettingen U;2016;Oncotarget;Oncotarget;10.18632/oncotarget.13887;FALSE; 3.186,30
Goettingen U;2016;Nature Publ. Group;npj Microgravity;10.1038/s41526-016-0007-3;FALSE; 3.927,00
Goettingen U;2016;OMICS;Journal of Thrombosis and Circulation;http://goedoc.uni-goettingen.de/goescholar/handle/1/14210;FALSE; 2.023,45
Goettingen U;2016;Elsevier;Cell Reports;10.1016/j.celrep.2016.09.058;FALSE; 4.830,00
