Nr.,Institution,Publikationsjahr,Kosten (incl. 19% VAT),Verlag,Journal,Artikel,E-ISSN,DOI,base_url,repo_id,Fakultät,Finanzgeber,Anmerkungen
13,Goettingen U,2015,"763,77",Landes Bioscience, Communicative & Integrative Biology,"Bogdan, Sven; Schultz, Jörg; Grosshans, Jörg (Online 2014): Formin’ cellular structures: Physiological roles of Diaphanous (Dia) in actin dynamics - Communicative & Integrative Biology; Vol. 6, No. 6, e27634 ",1942-0889,10.4161/cib.27634,http://resolver.sub.uni-goettingen.de/,9876,UMG,DFG/UMG Fördermittel 2014,2014 accepted; First publ. Online 2015
14,Goettingen U,2014,"1244,74",Nature Publ. Group,Scientific Reports,"Mendil, J.; Nieves, P.; Chubykalo-Fesenko, O.; Walowski, J.; Santos, T.; Pisana, S.; Münzenberg, M. (2014): Resolving the role of femtosecond heated electrons in ultrafast spin dynamics - Scientific Reports; Vol. 4, 3980",2045-2322,10.1038/srep03980,http://resolver.sub.uni-goettingen.de/,9881,Physik ,DFG/SUB Fördermittel 2014,NA
15,Goettingen U,2014,"1357,39",IOP,New Journal of Physics,"Luo, Yuansu; Büchsenschütz-Göbele, Matthias; Arnold, Walter; Samwer, Konrad (2014): Local elasticity and mobility of twin boundaries in martensitic films studied by atomic force acoustic microscopy - New Journal of Physics; Vol. 16, No. 1, 013034",1367-2630,10.1088/1367-2630/16/1/013034,http://resolver.sub.uni-goettingen.de/,9790,Physik ,DFG/SUB Fördermittel 2014,NA
16,Goettingen U,2014,"1756,76",PLOS,PLOS Computational Biology,"Boos, Margarete; Pritz, Johannes; Lange, Simon; Belz, Michael (2014): Leadership in moving human groups. - PLoS computational biology; Vol. 10, No. 4, e1003541",1553-7358,10.1371/journal.pcbi.1003541,http://resolver.sub.uni-goettingen.de/,10063,Biologie/CRC Evolution of Social Behaviour,DFG/SUB Fördermittel 2014,NA
17,Goettingen U,2014,"1071,00",IOP,Environmental Research Letters,"Schleuß, Per-Marten; Heitkamp, Felix; Leuschner, Christoph; Fender, Ann-Catrin; Jungkunst, Hermann F (2014): Higher subsoil carbon storage in species-rich than species-poor temperate forests - Environmental Research Letters; Vol. 9, No. 1, p. 014007",1748-9326,10.1088/1748-9326/9/1/014007,http://resolver.sub.uni-goettingen.de/,9768,Geowiss,DFG/SUB Fördermittel 2014,NA
18,Goettingen U,2014,"1171,19",PLOS,PLOS ONE,"Kamin, Dirk; Revelo, Natalia H.; Rizzoli, Silvio O. (2014): FM Dye Photo-Oxidation as a Tool for Monitoring Membrane Recycling in Inner Hair Cells - PLoS ONE; Vol. 9, No. 2, e88353",1932-6203,10.1371/journal.pone.0088353,http://resolver.sub.uni-goettingen.de/,9896,UMG,DFG/UMG Fördermittel 2014,NA
19,Goettingen U,2014,"1171,17",PLOS,PLOS ONE,"Frohnert, Cornelia; Hutten, Saskia; Wälde, Sarah; Nath, Annegret; Kehlenbach, Ralph H. (2014): Importin 7 and Nup358 Promote Nuclear Import of the Protein Component of Human Telomerase - PLoS ONE; Vol. 9, No. 2, e88887",1932-6203,10.1371/journal.pone.0088887,http://resolver.sub.uni-goettingen.de/,9996,UMG,DFG/UMG Fördermittel 2014,NA
20,Goettingen U,2014,"1171,17",PLOS,PLOS ONE,"Sansone, Alfredo; Hassenklöver, Thomas; Syed, Adnan S.; Korsching, Sigrun I.; Manzini, Ivan (2014): Phospholipase C and Diacylglycerol Mediate Olfactory Responses to Amino Acids in the Main Olfactory Epithelium of an Amphibian - PLoS ONE; Vol. 9, No. 1, e87721",1932-6203,10.1371/journal.pone.0087721,http://resolver.sub.uni-goettingen.de/,9899,UMG,DFG/UMG Fördermittel 2014,NA
21,Goettingen U,2014,"1171,17",PLOS,PLOS ONE,"Markus, M. Andrea; Dullin, Christian; Mitkovski, Miso; Prieschl-Grassauer, Eva; Epstein, Michelle M.; Alves, Frauke (2014): Non-Invasive Optical Imaging of Eosinophilia during the Course of an Experimental Allergic Airways Disease Model and in Response to Therapy - PLoS ONE; Vol. 9, No. 2, e9001",1932-6203,10.1371/journal.pone.0090017,http://resolver.sub.uni-goettingen.de/,9995,UMG,DFG/UMG Fördermittel 2014,NA
22,Goettingen U,2014,"1171,17",PLOS,PLOS ONE,"Kaever, Alexander; Landesfeind, Manuel; Feussner, Kirstin; Morgenstern, Burkhard; Feussner, Ivo; Meinicke, Peter (2014): Meta-Analysis of Pathway Enrichment: Combining Independent and Dependent Omics Data Sets - PLoS ONE; Vol. 9, No. 2, e89297",1932-6203,10.1371/journal.pone.0089297,http://resolver.sub.uni-goettingen.de/,9992,Biologie,DFG/SUB Fördermittel 2014,NA
23,Goettingen U,2014,"1160,51",PLOS,PLOS ONE,"Arslan, Ruben C.; Penke, Lars; Johnson, Wendy; Iacono, William G.; McGue, Matt (2014): The Effect of Paternal Age on Offspring Intelligence and Personality when Controlling for Paternal Trait Level - PLoS ONE; Vol. 9, No. 2, e90097",1932-6203,10.1371/journal.pone.0090097,http://resolver.sub.uni-goettingen.de/,9994,Biologie,DFG/SUB Fördermittel 2014,NA
24,Goettingen U,2014,"1160,51",PLOS,PLOS ONE,"Djukic, Marvin; Brzuszkiewicz, Elzbieta; Fünfhaus, Anne; Voss, Jörn; Gollnow, Kathleen; Poppinga, Lena; Liesegang, Heiko; Garcia-Gonzalez, Eva; Genersch, Elke; Daniel, Rolf (2014): How to Kill the Honey Bee Larva: Genomic Potential and Virulence Mechanisms of Paenibacillus larvae - PLoS ONE; Vol. 9, No. 3, e90914",1932-6203,10.1371/journal.pone.0090914,http://resolver.sub.uni-goettingen.de/,10019,Biologie,DFG/SUB Fördermittel 2014,NA
25,Goettingen U,2014,"1160,52",PLOS,PLOS ONE,"Monecke, Thomas; Buschmann, Juliane; Neumann, Piotr; Wahle, Elmar; Ficner, Ralf (2014): Crystal Structures of the Novel Cytosolic 5?-Nucleotidase IIIB Explain Its Preference for m7GMP - PLoS ONE; Vol. 9, No. 3, e90915",1932-6203,10.1371/journal.pone.0090915,http://resolver.sub.uni-goettingen.de/,10016,Biologie,DFG/SUB Fördermittel 2014,NA
26,Goettingen U,2014,"1160,52",PLOS,PLOS Biology,"Schmitt, Vanessa; Schloegl, Christian; Fischer, Julia (2014): Seeing the Experimenter Influences the Response to Pointing Cues in Long-Tailed Macaques - PLoS ONE; Vol. 9, No. 3, e91348",1545-7885,10.1371/journal.pone.0091348,http://resolver.sub.uni-goettingen.de/,10032,Biologie/CRC,DFG/SUB Fördermittel 2014,NA
27,Goettingen U,2014,"1160,51",PLOS,PLOS ONE,"Negro, Francesco; Yavuz, Utku ?.; Farina, Dario (2014): Limitations of the spike-triggered averaging for estimating motor unit twitch force: a theoretical analysis. - PloS one; Vol. 9, No. 3, e92390",1932-6203,10.1371/journal.pone.0092390,http://resolver.sub.uni-goettingen.de/,10062,UMG,DFG/UMG Fördermittel 2014,NA
28,Goettingen U,2014,"1565,28",MDPI,International Journal of Molecular Sciences,"Rahman, Hazir; Qasim, Muhammad; Oellerich, Michael; Asif, Abdul R. (2014): Identification of the novel interacting partners of the mammalian target of rapamycin complex 1 in human CCRF-CEM and HEK293 cells. - International journal of molecular sciences; Vol. 15, No. 3, p. 4823-36. ",1422-0067,10.3390/ijms15034823,http://resolver.sub.uni-goettingen.de/,10061,UMG,DFG/UMG Fördermittel 2014,NA
29,Goettingen U,2014,"1898,05",Dove Medical Press,Neuropsychiatric Disease and Treatment journal ,"Shaygan, Maryam; Boeger, Andreas; Kroener-Herwig, Birgit (2014): Neuropathic sensory symptoms: association with pain and psychological factors - Neuropsychiatric Disease and Treatment; Vol. 10, p. 897-906. ",1178-2021,10.2147/NDT.S61492,http://resolver.sub.uni-goettingen.de/,10152,Psychologie,DFG/SUB Fördermittel 2014,NA
30,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Physiology. Biophysics,"Bayraktar, Meriç; Männer, Jörg (2014): Cardiac looping may be driven by compressive loads resulting from unequal growth of the heart and pericardial cavity. Observations on a physical simulation model - Frontiers in Physiology; Vol. 5, 112",1664-042X,10.3389/fphys.2014.00112,http://resolver.sub.uni-goettingen.de/,10059,UMG,DFG/UMG Fördermittel 2014,NA
31,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Cellular Neuroscience,"Gertig, Ulla; Hanisch, Uwe-Karsten (2014): Microglial diversity by responses and responders - Frontiers in Cellular Neuroscience; Vol. 8, 101",1662-5102,10.3389/fncel.2014.00101,http://resolver.sub.uni-goettingen.de/,10058,UMG,DFG/UMG Fördermittel 2014,NA
32,Goettingen U,2014,"1171,35",MDPI,Remote sensing,"Erasmi, Stefan; Schucknecht, Anne; Barbosa, Marx; Matschullat, Jorg (2014): Vegetation Greenness in Northeastern Brazil and Its Relation to ENSO Warm Events - Remote Sensing; Vol. 6, No. 4, p. 3041-3058. ",2072-4292,10.3390/rs6043041,http://resolver.sub.uni-goettingen.de/,10068,Geowiss,DFG/SUB Fördermittel 2014,NA
33,Goettingen U,2014,"1267,35",Oxford Univ. Press,Nucleic Acids Research,"Neumann, P.; Lakomek, K.; Naumann, P.-T.; Erwin, W. M.; Lauhon, C. T.; Ficner, R. (2014): Crystal structure of a 4-thiouridine synthetase-RNA complex reveals specificity of tRNA U8 modification - Nucleic Acids Research; Vol. 42, No. 9",1362-4962,10.1093/nar/gku249,http://resolver.sub.uni-goettingen.de/,10117,Interdisz. Zentren / GZMB,DFG/SUB Fördermittel 2014,NA
34,Goettingen U,2014,"1369,39",MDPI,Materials,"Chen, Shaoliang; Diekmann, Heike; Janz, Dennis; Polle, Andrea (2014): Quantitative X-ray Elemental Imaging in Plant Materials at the Subcellular Level with a Transmission Electron Microscope: Applications and Limitations - Materials; Vol. 7, No. 4, p. 3160-3175. ",1996-1944,10.3390/ma7043160,http://resolver.sub.uni-goettingen.de/,10146,Forstwiss.,DFG/SUB Fördermittel 2014,NA
35,Goettingen U,2014,"1380,40",Copernicus,Climate of the Past,"Schüler, L.; Hemp, A.; Behling, H. (2014): Pollen-based temperature and precipitation inferences for the montane forest of Mt. Kilimanjaro during the last Glacial and the Holocene - Climate of the Past Discussions; Vol. 10, No. 1, p. 195-234",1814-9332,10.5194/cpd-10-195-2014,http://resolver.sub.uni-goettingen.de/,10459,Biologie,DFG/SUB Fördermittel 2014,NA
36,Goettingen U,2014,"1160,69",PLOS,PLOS ONE,"Dietrich, Sascha; Wiegand, Sandra; Liesegang, Heiko (2014): TraV: A Genome Context Sensitive Transcriptome Browser. - PloS one; Vol. 9, No. 4, e93677",1932-6203,10.1371/journal.pone.0093677,http://resolver.sub.uni-goettingen.de/,10065,Biologie,DFG/SUB Fördermittel 2014,NA
37,Goettingen U,2014,"1160,68",PLOS,PLOS ONE,"Blagodatskaya, Evgenia; Blagodatsky, Sergey; Anderson, Traute-Heidi; Kuzyakov, Yakov (2014): Microbial growth and carbon use efficiency in the rhizosphere and root-free soil. - PloS one; Vol. 9, No. 4, e93282",1932-6203,10.1371/journal.pone.0093282,http://resolver.sub.uni-goettingen.de/,10066,Forstwiss.,DFG/SUB Fördermittel 2014,NA
38,Goettingen U,2014,"1160,68",PLOS,PLOS ONE,"Gholami, Mahmood; Erbe, Malena; Gärke, Christian; Preisinger, Rudolf; Weigend, Annett; Weigend, Steffen; Simianer, Henner (2014): Population Genomic Analyses Based on 1 Million SNPs in Commercial Egg Layers - PLoS ONE; Vol. 9, No. 4, e94509",1932-6203,10.1371/journal.pone.0094509,http://resolver.sub.uni-goettingen.de/,10097,Agrarwiss.,DFG/SUB Fördermittel 2014,NA
39,Goettingen U,2014,"1160,68",PLOS,PLOS ONE,"König, Simone; Nitzki, Frauke; Uhmann, Anja; Dittmann, Kai; Theiss-Suennemann, Jennifer; Herrmann, Markus; Reichardt, Holger M; Schwendener, Reto; Pukrop, Tobias; Schulz-Schaeffer, Walter; Hahn, Heidi (2014): Depletion of cutaneous macrophages and dendritic cells promotes growth of Basal cell carcinoma in mice. - PloS one; Vol. 9, No. 4, e93555",1932-6203,10.1371/journal.pone.0093555,http://resolver.sub.uni-goettingen.de/,10067,UMG,DFG/UMG Fördermittel 2014,NA
40,Goettingen U,2014,"684,25",Frontiers,Frontiers in Immunology. Microbial Immunology,"Tirilomis, Theodor (2014): Daptomycin and Its Immunomodulatory Effect: Consequences for Antibiotic Treatment of Methicillin-Resistant Staphylococcus aureus Wound Infections after Heart Surgery - Frontiers in Immunology; Vol. 5, 97",1664-3224,10.3389/fimmu.2014.00097,http://resolver.sub.uni-goettingen.de/,10110,UMG,DFG/UMG Fördermittel 2014,NA
41,Goettingen U,2014,"1904,00",Frontiers,Frontiers in Plant Science. Functional Plant Ecology,"Kessler, Michael; Toivonen, Johanna M.; Sylvester, Steven P.; Kluge, Jürgen; Hertel, Dietrich (2014): Elevational patterns of Polylepis tree height (Rosaceae) in the high Andes of Peru: role of human impact and climatic conditions - Frontiers in Plant Science; Vol. 5, 194",1664-462X,10.3389/fpls.2014.00194,http://resolver.sub.uni-goettingen.de/,10115,Biologie,DFG/SUB Fördermittel 2014,NA
42,Goettingen U,2014,"1904,00",Frontiers,Frontiers in Behavioral Neuroscience,"Vasmer, David; Pooryasin, Atefeh; Riemensperger, Thomas; Fiala, Andre (2014): Induction of aversive learning through thermogenetic activation of Kenyon cell ensembles in Drosophila - Frontiers in Behavioral Neuroscience; Vol. 8, 174",1662-5153,10.3389/fnbeh.2014.00174,http://resolver.sub.uni-goettingen.de/,10184,Biologie,DFG/SUB Fördermittel 2014,NA
43,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Cellular Neuroscience,"Nau, Roland; Ribes, Sandra; Djukic, Marija; Eiffert, Helmut (2014): Strategies to increase the activity of microglia as efficient protectors of the brain against infections - Frontiers in Cellular Neuroscience; Vol. 8, 138",1662-5102,10.3389/fncel.2014.00138,http://resolver.sub.uni-goettingen.de/,10145,UMG,DFG/UMG Fördermittel 2014,NA
44,Goettingen U,2014,"1904,00",Frontiers,Frontiers in Aging Neuroscience,"Bouter, Yvonne; Kacprowski, Tim; Weissmann, Robert; Dietrich, Katharina; Borgers, Henning; Brauß, Andreas; Sperling, Christian; Wirths, Oliver; Albrecht, Mario; Jensen, Lars R.; Kuss, Andreas W.; Bayer, Thomas A. (2014): Deciphering the molecular profile of plaques, memory decline and neuron loss in two mouse models for Alzheimer's disease by deep sequencing. - Frontiers in aging neuroscience; Vol. 6, 75, p. 1-28. ",1663-4365,10.3389/fnagi.2014.00075,http://resolver.sub.uni-goettingen.de/,10177,UMG,DFG/UMG Fördermittel 2014,NA
45,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Plant Science,"Pena, Rodica; Lang, Christa; Naumann, Annette; Polle, Andrea (2014): Ectomycorrhizal identification in environmental samples of tree roots by Fourier-transform infrared (FTIR) spectroscopy - Frontiers in Plant Science; Vol. 5, 229",1664-462X,10.3389/fpls.2014.00229,http://resolver.sub.uni-goettingen.de/,10151,Forstwiss.,DFG/SUB Fördermittel 2014,NA
46,Goettingen U,2014,"1632,68",Dove Medical Press,Journal of Pain Research,"Barke, Antonia; Gaßmann, Jennifer; Kröner-Herwig, Birgit (2014): Cognitive processing styles of children and adolescents with headache and back pain: a longitudinal epidemiological study. - Journal of pain research; Vol. 7, p. 405-414",1178-7090,10.2147/JPR.S64334,http://resolver.sub.uni-goettingen.de/,10460,Biologie,DFG/SUB Fördermittel 2014,NA
47,Goettingen U,2014,"217,42",Mongabay,Tropical Conservation Science,"Ngo, The Long; Hölscher, Dirk (2014): The fate of five rare tree species after logging in a tropical limestone forest (Xuan Son National Park, northern Vietnam) - Tropical Conservation Science; Vol. 7, No. 2, p. 326-341",1940-0829,NA,http://resolver.sub.uni-goettingen.de/,10967,Forstwiss.,DFG/SUB Fördermittel 2014,NA
48,Goettingen U,2014,"1768,23",PLOS,PLOS Genetics,"Linnemannstöns, Karen; Ripp, Caroline; Honemann-Capito, Mona; Brechtel-Curth, Katja; Hedderich, Marie; Wodarz, Andreas (2014): The PTK7-Related Transmembrane Proteins Off-track and Off-track 2 Are Co-receptors for Drosophila Wnt2 Required for Male Fertility. - PLoS genetics; Vol. 10, No. 7, e1004443",1553-7404,10.1371/journal.pgen.1004443,http://resolver.sub.uni-goettingen.de/,10458,Biologie/Stem Cell,DFG/SUB Fördermittel 2014,NA
49,Goettingen U,2014,"1062,36",PLOS,PLOS One,"Hüntelmann, Bettina; Staab, Julia; Herrmann-Lingen, Christoph; Meyer, Thomas (2014): A Conserved Motif in the Linker Domain of STAT1 Transcription Factor Is Required for Both Recognition and Release from High-Affinity DNA-Binding Sites - PLoS ONE; Vol. 9, No. 5, e97633",1932-6203,10.1371/journal.pone.0097633,http://resolver.sub.uni-goettingen.de/,10126,UMG,DFG/UMG Fördermittel 2014,NA
50,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Psychology. Cognitive Science,"Antal, Andrea; Ambrus, Géza Gergely; Chaieb, Leila (2014): Toward unraveling reading-related modulations of tDCS-induced neuroplasticity in the human visual cortex. - Frontiers in psychology; Vol. 5, 642",1664-1078,10.3389/fpsyg.2014.00642,http://resolver.sub.uni-goettingen.de/,10461,UMG,DFG/UMG Fördermittel 2014,NA
51,Goettingen U,2014,"1904,00",Frontiers,Frontiers in Aging Neuroscience,"Christensen, Ditte Z; Huettenrauch, Melanie; Mitkovski, Miso; Pradier, Laurent; Wirths, Oliver (2014): Axonal degeneration in an Alzheimer mouse model is PS1 gene dose dependent and linked to intraneuronal A? accumulation. - Frontiers in aging neuroscience; Vol. 6, No. 139",1663-4365,10.3389/fnagi.2014.00139,http://resolver.sub.uni-goettingen.de/,10462,UMG,DFG/UMG Fördermittel 2014,NA
52,Goettingen U,2014,"1969,62",PLOS,PLOS Genetics,"Kanagaraj, Palsamy; Gautier-Stein, Amandine; Riedel, Dietmar; Schomburg, Christoph; Cerdà, Joan; Vollack, Nadine; Dosch, Roland (2014): Souffle/Spastizin Controls Secretory Vesicle Maturation during Zebrafish Oogenesis. - PLoS genetics; Vol. 10, No. 6, e1004449",1553-7404,10.1371/journal.pgen.1004449,http://resolver.sub.uni-goettingen.de/,10408,UMG,DFG/UMG Fördermittel 2014,NA
53,Goettingen U,2014,"1267,35",Oxford Univ. Press,Nucleic Acids Research,"Horwege, Sebastian; Lindner, Sebastian; Boden, Marcus; Hatje, Klas; Kollmar, Martin; Leimeister, Chris-André; Morgenstern, Burkhard (2014): Spaced words and kmacs: fast alignment-free sequence comparison based on inexact word matches. - Nucleic acids research; Vol. 42, No. 12 (Web Server issue), p. W7-W11. ",1362-4962,10.1093/nar/gku398,http://resolver.sub.uni-goettingen.de/,10456,Biologie,DFG/SUB Fördermittel 2014,NA
54,Goettingen U,2014,"1207,85",Copernicus,Biogeosciences ,"Berndmeyer, C.; Thiel, V.; Schmale, O.; Wasmund, N.; Blumenberg, M. (2014): Biomarkers in the stratified water column of the Landsort Deep (Baltic Sea) - Biogeosciences; Vol. 11, No. 23, p. 7009-7023. ",1726-4189,10.5194/bg-11-7009-2014,http://resolver.sub.uni-goettingen.de/,11391,Geowiss,DFG/SUB Fördermittel 2014,NA
55,Goettingen U,2014,"913,92",Copernicus,Biogeosciences ,"Degener, J. F.; Kappas, M. (2014): Biomass yield development of early, medium and late Maize varieties under a future climate in Lower Saxony, Germany - Biogeosciences Discussions; Vol. 11, No. 6, p. 9103-9134. ",1726-4189,10.5194/bgd-11-9103-2014,http://resolver.sub.uni-goettingen.de/,11749,Geowiss,DFG/SUB Fördermittel 2014,NA
56,Goettingen U,2014,"1138,83",Copernicus,Climate of the Past,"Wang, L.-C.; Behling, H.; Lee, T.-Q.; Li, H.-C.; Huh, C.-A.; Shiau, L.-J.; Chang, Y.-P. (2014): Late Holocene environmental reconstructions and their implications on flood events, typhoon, and agricultural activities in NE Taiwan - Climate of the Past; Vol. 10, No. 5, p. 1857-1869. ",1814-9332,10.5194/cp-10-1857-2014,http://resolver.sub.uni-goettingen.de/,11392,Biologie,DFG/SUB Fördermittel 2014,NA
57,Goettingen U,2014,"1413,98",MDPI,International Journal of Molecular Sciences,"Aßhauer, Kathrin P; Klingenberg, Heiner; Lingner, Thomas; Meinicke, Peter (2014): Exploring neighborhoods in the metagenome universe. - International journal of molecular sciences; Vol. 15, No. 7, p. 12364-12378. ",1422-0067,10.3390/ijms150712364,http://resolver.sub.uni-goettingen.de/,10457,UMG,DFG/UMG Fördermittel 2014,NA
58,Goettingen U,2014,"1586,09",Elsevier,Stem Cell Research,"Nyamsuren, Gunsmaa; Kata, Aleksandra; Xu, Xingbo; Raju, Priyadharsini; Dressel, Ralf; Engel, Wolfgang; Pantakani, D. V. Krishna; Adham, Ibrahim M. (2014): Pelota regulates the development of extraembryonic endoderm through activation of bone morphogenetic protein (BMP) signaling. - Stem cell research; Vol. 13, No. 1, p. 61-74.",1876-7753,10.1016/j.scr.2014.04.011,http://resolver.sub.uni-goettingen.de/,10452,UMG,DFG/UMG Fördermittel 2014,NA
59,Goettingen U,2014,"1198,35",PLOS,PLOS One,"Ilgen, Peter; Stoldt, Stefan; Conradi, Lena-Christin; Wurm, Christian Andreas; Rüschoff, Josef; Ghadimi, B. Michael; Liersch, Torsten; Jakobs, Stefan (2014): STED Super-Resolution Microscopy of Clinical Paraffin-Embedded Human Rectal Cancer Tissue. - PloS one; Vol. 9, No. 7, p. e101563",1932-6203,10.1371/journal.pone.0101563,http://resolver.sub.uni-goettingen.de/,10481,UMG,DFG/UMG Fördermittel 2014,NA
60,Goettingen U,2014,"1198,34",PLOS,PLOS One,"Hodač, Ladislav; Scheben, Armin Patrick; Hojsgaard, Diego; Paun, Ovidiu; Hörandl, Elvira (2014): ITS Polymorphisms Shed Light on Hybrid Evolution in Apomictic Plants: A Case Study on the Ranunculus auricomus Complex. - PloS one; Vol. 9, No. 7, e103003",1932-6203,10.1371/journal.pone.0103003,http://resolver.sub.uni-goettingen.de/,10558,Biologie/SFB 990,DFG/SUB Fördermittel 2014,NA
