"Lfd. Nr.","Journal","Verlag","Jahr","Artikel","DOI","BaseURL","RecordID","Fakultät","E-ISSN","Kosten (incl. 19% Steuer)","Anmerkung"
29,"BMC Oral Health","BioMed Central",2013,"4486402621013499 Comparison of clinical and dental panoramic findings: a practice-based crossover study","10.1186/1472-6831-13-48","http://goedoc.uni-goettingen.de/goescholar",9333,"UMG","1472-6831","1437,52","Ergänzungsfonds 2013"
30,"BMC Plant Biology","BioMed Central",2013,"3885437161080928 Degradation of lipoxygenase-derived oxylipins by glyoxysomes from sunflower and cucumber cotyledons","10.1186/1471-2229-13-177","http://goedoc.uni-goettingen.de/goescholar",10049,"Biologie/GZMB","1471-2466",1428,"Ergänzungsfonds 2013"
31,"BMC Pulmonary Medicine","BioMed Central",2013,"9161283227552033 Unilateral phrenic nerve lesion in Lyme neuroborreliosis","10.1186/1471-2466-13-4","http://goedoc.uni-goettingen.de/goescholar",8527,"UMG","1471-2466","1456,56","Ergänzungsfonds 2013"
32,"BMC Urology","BioMed Central",2013,"5252120417709584 Hereditary papillary renal cell carcinoma primarily diagnosed in a cervical lymph node: a case report of a 30-year-old woman with multiple metastases","10.1186/1471-2490-13-3","http://goedoc.uni-goettingen.de/goescholar",8495,"UMG","1471-2490","1504,16","Ergänzungsfonds 2013"
33,"BMC Urology","BioMed Central",2013,"3927676739236917 Laser-supported partial laparoscopic nephrectomy for renal cell carcinoma without ischaemia time","10.1186/1471-2490-13-31","http://goedoc.uni-goettingen.de/goescholar",9135,"Biologie","1471-2490","1542,24","Ergänzungsfonds 2013"
34,"BMJ Open","BMJ Group",2013,"von Lewinski, F.; Schwan, M.; Paulus, W.; Trenkwalder, C.; Sommer, M. (2013): Impairment of brainstem implicit learning paradigms differentiates multiple system atrophy (MSA) from idiopathic Parkinson syndrome - BMJ Open; Vol. 3, No. 9, e003098-e003098.","10.1136/bmjopen-2013-003098","http://goedoc.uni-goettingen.de/goescholar",9302,"UMG","2044-6055","1902,24","DFG-Fördermittel 2013"
35,"Cell Division","BioMed Central",2013,"1388625722860636 The novel BTB-kelch protein, KBTBD8, is located in the Golgi apparatus and translocates to the spindle apparatus during mitosis","10.1186/1747-1028-8-3","http://goedoc.uni-goettingen.de/goescholar",8925,"UMG","1747-1028","1404,2","Ergänzungsfonds 2013"
36,"Climate of the Past","Copernicus",2013,"Shumilovskikh, L. S., Fleitmann, D., Nowaczyk, N. R., Behling, H., Marret, F., Wegwerth, A., and Arz, H. W.: Orbital and millennial-scale environmental changes between 64 and 25 ka BP recorded in Black Sea sediments, Clim. Past Discuss., 9","10.5194/cpd-9-5439-2013","http://goedoc.uni-goettingen.de/goescholar","10124CP","Biologie","1814-9332","1345,89","DFG-Fördermittel 2013"
37,"Clinical and Developmental Immunology","Hindawi",2013,"Masanta, Wycliffe Omurwa; Heimesaat, Markus; Bereswill, Stefan; Tareen, Abdul Malik; Lugert, Raimond; Groß, Uwe; Zautner, Andreas Erich (2013): Modification of Intestinal Microbiota and Its Consequences for Innate Immune Response in the Pathogenesis of Campylobacteriosis - Clinical and Developmental Immunology; Vol. 2013, 526860","10.1155/2013/526860","http://goedoc.uni-goettingen.de/goescholar",9506,"UMG","1740-2530","1295,92","DFG-Fördermittel 2013"
38,"Communicative & integrative biology","Landes Bioscience",2013,"Schäfer, Edith; Aue, Dennis; Tarantola, Marco; Polo, Elena; Westendorf, Christian; Oikawa, Noriko; Bodenschatz, Eberhard; Geil, Burkhard; Janshoff, Andreas (2013): Collective behavior of Dictyostelium discoideum monitored by impedance analysis - Communicative & Integrative Biology; Vol. 6, No. 3, e23894, p. 1-4.","10.4161/cib.23894","http://goedoc.uni-goettingen.de/goescholar",8716,"Chemie","1942-0889","466,49","DFG-Fördermittel 2013"
39,"Complex Adaptive Systems Modeling","Springer Open",2013,"2023846218944337  Modeling population growth in online social networks","10.1186/2194-3206-1-14","http://goedoc.uni-goettingen.de/goescholar",10428,"Informatik","2194-3206","799,68","Ergänzungsfonds 2013"
40,"Critical Care","BioMed Central",2013,"2159310963421174 Electrical activity of the diaphragm (EAdi) as a monitoring parameter in difficult weaning from respirator: a pilot study","10.1186/cc12865","http://goedoc.uni-goettingen.de/goescholar",9341,"UMG","1466-609X","1542,24","Ergänzungsfonds 2013"
41,"Diagnostic Pathology","BioMed Central",2013,"1956026143857335 Sertoliform cystadenoma: a rare benign tumour of the rete testis","10.1186/1746-1596-8-23","http://goedoc.uni-goettingen.de/goescholar",8573,"UMG","1746-1596","1285,2","Ergänzungsfonds 2013"
42,"Diagnostic Pathology","BioMed Central",2013,"1501709091077524 (Andreas Scheel)  Cystic endosalpingiosis presenting as chronic back pain, a case report (","10.1186/1746-1596-8-196","http://goedoc.uni-goettingen.de/goescholar",9902,"UMG","1746-1596","1232,84","Ergänzungsfonds 2013"
43,"Diversity","MDPI, Basel",2013,"Rizali, Akhmad; Clough, Yann; Buchori, Damayanti; Tscharntke, Teja (2013-01-01): Dissimilarity of Ant Communities Increases with Precipitation, but not Reduced Land-Use Intensity, in Indonesian Cacao Agroforestry - Diversity; Vol. 5, No. 1, p. 26-38.","10.3390/d5010026","http://goedoc.uni-goettingen.de/goescholar",8524,"Agrarwiss.","1424-2818",481,"DFG-Fördermittel 2013"
44,"Ecology & Evolution","Wiley",2013,"Scherber, Christoph; Gladbach, David J.; Stevnbak, Karen; Karsten, Rune Juelsborg; Schmidt, Inger Kappel; Michelsen, Anders; Albert, Kristian Rost; Larsen, Klaus Steenberg; Mikkelsen, Teis Nørgaard; Beier, Claus; Christensen, Søren (2013-04-15): Multi-factor climate change effects on insect herbivore performance - Ecology and Evolution; Vol. 3, No. 6, p. 1449-1460.","10.1002/ece3.564","http://goedoc.uni-goettingen.de/goescholar",9127,"Agrarwiss.","2045-7758","1332,8","DFG-Fördermittel 2013"
45,"Frontiers in Cellular Neuroscience","Frontiers SA",2013,"Hanisch, Uwe-Karsten (2013): Functional diversity of microglia – how heterogeneous are they to begin with? - Frontiers in Cellular Neuroscience; Vol. 7, 65","10.3389/fncel.2013.00065","http://goedoc.uni-goettingen.de/goescholar",9124,"UMG","1662-5102","1142,4","DFG-Fördermittel 2013"
46,"Frontiers in computational neuroscience","Frontiers SA",2013,"Sartori, Massimo; Gizzi, Leonardo; Lloyd, David G.; Farina, Dario (2013): A musculoskeletal model of human locomotion driven by a low dimensional set of impulsive excitation primitives - Frontiers in Computational Neuroscience; Vol. 7, 79","10.3389/fncom.2013.00079","http://goedoc.uni-goettingen.de/goescholar",9132,"UMG","1662-5188","1142,4","DFG-Fördermittel 2013"
47,"Frontiers in Plant Science. Crop Science and Horticulture","Frontiers SA",2013,"Müller, Anna; Volmer, Katharina; Mishra-Knyrim, Manika; Polle, Andrea (2013-01-01): Growing poplars for research with and without mycorrhizas - Frontiers in Plant Science; Vol. 4, 332","10.3389/fpls.2013.00332","http://goedoc.uni-goettingen.de/goescholar",9306,"Forstwiss.","1664-462X","1142,4","DFG-Fördermittel 2013"
48,"Frontiers in Plant Science. Functional Plant Ecology","Frontiers SA",2013,"Hajek, Peter; Hertel, Dietrich; Leuschner, Christoph (2013-01-01): Intraspecific variation in root and leaf traits and leaf-root trait linkages in eight aspen demes (Populus tremula and P. tremuloides) - Frontiers in Plant Science; Vol. 4, 415","10.3389/fpls.2013.00415","http://goedoc.uni-goettingen.de/goescholar",9486,"Biologie","1664-462X","1142,4","DFG-Fördermittel 2013"
49,"Frontiers in Plant Science. Functional Plant Ecology","Frontiers SA",2013,"Lang, Christa; Finkeldey, Reiner; Polle, Andrea (2013): Spatial Patterns of Ectomycorrhizal Assemblages in a Monospecific Forest in Relation to Host Tree Genotype - Frontiers in Plant Science; Vol. 4, 103","10.3389/fpls.2013.00103","http://goedoc.uni-goettingen.de/goescholar",8921,"Forstwiss.","1664-462X","1142,4","DFG-Fördermittel 2013"
50,"Frontiers in human neuroscience","Frontiers SA",2013,"Saiote, Catarina; Turi, Zsolt; Paulus, Walter; Antal, Andrea (2013): Combining functional magnetic resonance imaging with transcranial electrical stimulation - Frontiers in Human Neuroscience; Vol. 7, 435","10.3389/fnhum.2013.00435","http://goedoc.uni-goettingen.de/goescholar",9210,"UMG","1662-5161","1142,4","DFG-Fördermittel 2013"
51,"Frontiers in Neural Circuits","Frontiers SA",2013,"Pech, Ulrike; Dipt, Shubham; Barth, Jonas; Singh, Priyanka; Jauch, Mandy; Thum, Andreas S.; Fiala, André; Riemensperger, Thomas (2013-09-23): Mushroom body miscellanea: transgenic Drosophila strains expressing anatomical and physiological sensor proteins in Kenyon cells - Frontiers in Neural Circuits; Vol. 7","10.3389/fncir.2013.00147","http://goedoc.uni-goettingen.de/goescholar",9305,"Biologie","1662-5110",1904,"DFG-Fördermittel 2013"
52,"Frontiers in Plant Science. Plant Biophysics and Modeling","Frontiers SA",2013,"Rewald, Boris; Meinen, Catharina (2013-10-09): Plant roots and spectroscopic methods – analyzing species, biomass and vitality - Frontiers in Plant Science; Vol. 4, 393","10.3389/fpls.2013.00393","http://goedoc.uni-goettingen.de/goescholar",9493,"Agrarwiss.","1664-462X",2380,"DFG-Fördermittel 2013"
53,"Frontiers in Plant Science. Functional Plant ecology","Frontiers SA",2013,"Carminati, Andrea (2013-08-13): Rhizosphere wettability decreases with root age: a problem or a strategy to increase water uptake of young roots? - Frontiers in Plant Science; Vol. 4, 298","10.3389/fpls.2013.00298","http://goedoc.uni-goettingen.de/goescholar",9219,"Agrarwiss.","1664-462X","1142,4","DFG-Fördermittel 2013"
54,"Frontiers in Plant Science. Plant microbe interaction","Frontiers SA",2013,"Wirthmueller, Lennart; Roth, Charlotte; Banfield, Mark J.; Wiermer, Marcel (2013): Hop-on hop-off: importin-?-guided tours to the nucleus in innate immune signaling - Frontiers in Plant Science; Vol. 4, 149","10.3389/fpls.2013.00149","http://goedoc.uni-goettingen.de/goescholar",9131,"Biologie","1664-462X","684,25","DFG-Fördermittel 2013"
55,"Frontiers in Zoology","BioMed Central",2013,"9380981201030770 Phylogeographic analysis of the true lemurs (genus Eulemur) underlines the role of river catchments for the evolution of micro-endemism in Madagascar ; Matthias Markolf (DPZ)","10.1186/1742-9994-10-70","http://goedoc.uni-goettingen.de/goescholar",10050,"Biologie/DPZ","1742-9994","1556,52","Ergänzungsfonds 2013"
56,"Genetics Selection Evolution","BioMed Central",2013,"7423787548011395 Efficiency of genomic selection in an established commercial layer breeding program","10.1186/1297-9686-45-29","http://goedoc.uni-goettingen.de/goescholar",9215,"Agrar","1297-9686","1128,12","Ergänzungsfonds 2013"
57,"Hydrology and Earth System Sciences","Copernicus",2013,"Oehlmann, S.; Geyer, T.; Licha, T.; Birk, S. (2013): Influence of aquifer heterogeneity on karst hydraulics and catchment delineation employing distributive modeling approaches - Hydrology and Earth System Sciences; Vol. 17, No. 12, p. 4729-4742.","10.5194/hess-17-4729-2013","http://goedoc.uni-goettingen.de/goescholar",9532,"Geowiss.","1607-7938","1000,79","DFG-Fördermittel 2013"
58,"International Journal of Biodiversity and Conservation","Academic Journals (Sapele, Nigeria/Nairobi, Kenya)",2013,"Ngo, The Long; Hölscher, Dirk (2013-11-01): The abundance of five rare tree species in forests on limestone hills of northern Vietnam - Academic Journals; Vol. 5, No. 11, p. 729-740.","10.5897/IJBC2013.0607","http://goedoc.uni-goettingen.de/goescholar",9361,"Forstwiss.","2141-243X","491,62","DFG-Fördermittel 2013"
59,"Journal of Addiction Research & Therapy","OMICS",2013,"Barke,A.: The compulsive internet use scale (CIUS) adapted ... ","10.4172/2155-6105.1000164","http://goedoc.uni-goettingen.de/goescholar",9750,"Biologie","2155-6105","812,37","Ergänzungsfonds 2013"
60,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"3695236082476011 Surgical implantation of a biventricular pacing system via lower half mini sternotomy","10.1186/1749-8090-8-5","http://goedoc.uni-goettingen.de/goescholar",8661,"UMG","1748-8090","1347,08","Ergänzungsfonds 2013"
61,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"2089213492791884 Suture fixation of migrated septal occluder device to prevent further migration: a simple surgical technique","10.1186/1749-8090-8-10","http://goedoc.uni-goettingen.de/goescholar",8525,"UMG","1748-8090","1375,64","Ergänzungsfonds 2013"
62,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"2128493963834680 Midterm results after treatment of gram-positive deep sternal wound infections with daptomycin for cardiac surgery patients","10.1186/1749-8090-8-21","http://goedoc.uni-goettingen.de/goescholar",8635,"UMG","1748-8090","1337,56","Ergänzungsfonds 2013"
63,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"6249928718145984 Comparison of left ventricular geometry after HeartMate II and HeartWare left ventricular assist device implantation","10.1186/1749-8090-8-31","http://goedoc.uni-goettingen.de/goescholar",8660,"UMG","1748-8090","1351,84","Ergänzungsfonds 2013"
64,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"1113551634865365 Live related donor lobar lung transplantation recipients surviving well over a decade: still an option in times of advanced donor management","10.1186/1749-8090-8-37","http://goedoc.uni-goettingen.de/goescholar",8713,"UMG","1748-8090","1566,04","Ergänzungsfonds 2013"
65,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"1342295939851361 A clinical student exchange program organized by cardiothoracic department: feedback of participants","10.1186/1749-8090-8-56","http://goedoc.uni-goettingen.de/goescholar",8902,"UMG","1748-8090","1356,6","Ergänzungsfonds 2013"
66,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"1505948619467340 Primary pulmonary blastoma of monophasic variety- diagnosis and management","10.1186/1749-8090-8-144","http://goedoc.uni-goettingen.de/goescholar",9118,"UMG","1748-8090","1566,04","Ergänzungsfonds 2013"
67,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"2048803994967655Mitral commissurotomy through the left ventricle apical orifice with Heart Ware left ventricular assist device implantation","10.1186/1749-8090-8-147","http://goedoc.uni-goettingen.de/goescholar",9129,"UMG","1748-8090","1475,6","Ergänzungsfonds 2013"
68,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"1792637419521699 The eNOS 894G/T gene polymorphism and its influence on ; early and long-term mortality after on-pump cardiac surgery; Aron Popov*","10.1186/1749-8090-8-199","http://goedoc.uni-goettingen.de/goescholar",9474,"UMG","1748-8090","1442,28","Ergänzungsfonds 2013"
69,"Journal of Cardiothoracic Surgery","BioMed Central",2013,"7805779451094432 (Anton Sabashnikov) Successful bridge to recovery using two-stage HeartWare LVAD explantation approach after embolic stroke","10.1186/1749-8090-8-233","http://goedoc.uni-goettingen.de/goescholar",9565,"UMG","1748-8090","1447,04","Ergänzungsfonds 2013"
70,"Journal of Clinical & Experimental Cardiology","OMICS",2013,"Cyganek, Lukas; Chen, Simin; Borchert, Thomas; Guan, Kaomei (2013): Cardiac Progenitor Cells and their Therapeutic Application for Cardiac Repair - Clinical & Experimental Cardiology; , No. S11, 008","10.4172/2155-9880.S11-008","http://goedoc.uni-goettingen.de/goescholar",9212,"UMG","2155-9880","845,92","DFG-Fördermittel 2013"
71,"Journal of Dental Biomechanics","Sage",2013,"Dathe, H.; Nagerl, H.; Kubein-Meesenburg, D. (2013): A caveat concerning center of resistance - Journal of Dental Biomechanics; Vol. 4, 1758736013499770","10.1177/1758736013499770","http://goedoc.uni-goettingen.de/goescholar",9211,"UMG","1758-7360","1389,94","DFG-Fördermittel 2013"
72,"Journal of Ethnobiology and Ethnomedicine","BioMed Central",2013,"1951922385857227  Diversity and use of ethno-medicinal plants in the region of Swat, North Pakistan","10.1186/1746-4269-9-25","http://goedoc.uni-goettingen.de/goescholar",8930,"Biologie","1746-4269","1285,2","Ergänzungsfonds 2013"
73,"Journal of Medical Case Reports","BioMed Central",2013,"1062980458897099  Dropped head sign induced by transdermal application of the dopamine agonist rotigotine in parkinsonian syndrome: a case report","10.1186/1752-1947-7-174","http://goedoc.uni-goettingen.de/goescholar",9137,"UMG","1752-1947","742,56","Ergänzungsfonds 2013"
74,"Journal of Neurodevelopmental Disorders","BioMed Central",2013,"1326263873101035 Methotrexate treatment of FraX fibroblasts results in FMR1 transcription but not in detectable FMR1 protein levels","10.1186/1866-1955-5-23","http://goedoc.uni-goettingen.de/goescholar",9340,"UMG","1866-1955","1556,52","Ergänzungsfonds 2013"
75,"Journal of Neuroinflammation","BioMed Central",2013,"2080166454916422 Toll-like receptor stimulation increases phagocytosis of Cryptococcus neoformans by microglial cells","10.1186/1742-2094-10-71","http://goedoc.uni-goettingen.de/goescholar",9125,"UMG","1742-2094","1566,04","Ergänzungsfonds 2013"
76,"Journal of Sustainable Development","Canadian Center of Science and Education Ltd",2013,"Sadath, Md. Nazmus; Krott, Max (2013): Can Print Media Discourse Drive Forest Policy Change in Bangladesh? - Journal of Sustainable Development; Vol. 6, No. 5","10.5539/jsd.v6n5p1","http://goedoc.uni-goettingen.de/goescholar",8920,"Forstwiss.","1913-9071","304,6","DFG-Fördermittel 2013"
77,"Journal of Sustainable Development","Canadian Center of Science and Education Ltd",2013,"Schusser, Carsten; Krott, Max; Logmani, Jacqueline; Sadath, Nazmus; Movuh, Mbolo C. Yufanyi; Salla, Manjola (2013-08-29): Community Forestry in Germany, a Case Study Seen Through the Lens of the International Model - Journal of Sustainable Development; Vol. 6, No. 9, p. 88-100.","10.5539/jsd.v6n9p88","http://goedoc.uni-goettingen.de/goescholar",9299,"Forstwiss.","1913-9071","300,46","DFG-Fördermittel 2013"
78,"Journal of Translational Medicine","BioMed Central",2013,"6228469849029040 Importance of leptin signaling and signal transducer and activator of transcription-3 activation in mediating the cardiac hypertrophy associated with obesity","10.1186/1479-5876-11-170","http://goedoc.uni-goettingen.de/goescholar",9149,"UMG","1479-5876","1542,24","Ergänzungsfonds 2013"
79,"Journal of Vision","Assoc. For Research in Vision & Ophthalmology",2013,"Strasburger, Hans; Malania, Maka (2013): Source confusion is a major cause of crowding - Journal of Vision; Vol. 13, No. 1, 24, p. 1-20.","10.1167/13.1.24","http://goedoc.uni-goettingen.de/goescholar",8523,"UMG","1534-7362","1661,96","DFG-Fördermittel 2013"
