pos;inst_name;journal_title;journal_issn;doi;url;acceptance_date;publication_date;par_netto;article_type;crossref_licenseurl;crossref_license;was_initial_optout
35;Universität Bielefeld;Calculus of Variations and Partial Differential Equations;1432-0835;10.1007/s00526-024-02666-z;https://doi.org/10.1007/s00526-024-02666-z;09.01.2024;16.02.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
36;Universität Bielefeld;Mathematische Annalen;1432-1807;10.1007/s00208-024-02927-4;https://doi.org/10.1007/s00208-024-02927-4;21.06.2024;13.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
37;Universität Bielefeld;Natur und Recht;1439-0515;10.1007/s00350-024-6831-7;https://doi.org/10.1007/s00350-024-6831-7;08.07.2024;30.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
38;Universität Bielefeld;Health Care Analysis;1573-3394;10.1007/s10728-023-00477-5;https://doi.org/10.1007/s10728-023-00477-5;21.12.2023;29.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
39;Universität Bielefeld;Mathematische Annalen;1432-1807;10.1007/s00208-024-03057-7;https://doi.org/10.1007/s00208-024-03057-7;19.11.2024;21.12.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
40;Universität Bielefeld;KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie;1861-891X;10.1007/s11577-024-00969-9;https://doi.org/10.1007/s11577-024-00969-9;25.07.2024;16.09.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
41;Universität Bielefeld;Philosophy & Technology;2210-5441;10.1007/s13347-024-00707-1;https://doi.org/10.1007/s13347-024-00707-1;26.01.2024;10.02.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
42;Universität Bielefeld;Journal of Family Violence;1573-2851;10.1007/s10896-023-00679-4;https://doi.org/10.1007/s10896-023-00679-4;17.12.2023;05.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
43;Universität Bielefeld;European Journal for Philosophy of Science;1879-4920;10.1007/s13194-024-00602-8;https://doi.org/10.1007/s13194-024-00602-8;22.07.2024;10.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
44;Universität Bielefeld;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;1437-1588;10.1007/s00103-024-03995-2;https://doi.org/10.1007/s00103-024-03995-2;21.11.2024;11.12.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
45;Universität Bielefeld;Flexible Services and Manufacturing Journal;1936-6590;10.1007/s10696-024-09549-7;https://doi.org/10.1007/s10696-024-09549-7;15.05.2024;20.06.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
46;Universität Bielefeld;Behavior Research Methods;1554-3528;10.3758/s13428-024-02483-4;https://doi.org/10.3758/s13428-024-02483-4;18.07.2024;26.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
47;Universität Bielefeld;Society;1936-4725;10.1007/s12115-024-01004-5;https://doi.org/10.1007/s12115-024-01004-5;01.07.2024;23.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
48;Universität Bielefeld;Zeitschrift für Arbeitswissenschaft;2366-4681;10.1007/s41449-024-00428-3;https://doi.org/10.1007/s41449-024-00428-3;11.06.2024;02.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
49;Universität Bielefeld;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;1437-1588;10.1007/s00103-024-03837-1;https://doi.org/10.1007/s00103-024-03837-1;15.01.2024;09.02.2024;2600.00;ReviewPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
50;Universität Bielefeld;Intensive Care Medicine;1432-1238;10.1007/s00134-024-07587-1;https://doi.org/10.1007/s00134-024-07587-1;01.08.2024;19.09.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by-nc/4.0;CC BY-NC;f
51;Universität Bielefeld;International Journal of Data Science and Analytics;2364-4168;10.1007/s41060-024-00625-7;https://doi.org/10.1007/s41060-024-00625-7;06.08.2024;29.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
52;Universität Bielefeld;Journal of Neurology;1432-1459;10.1007/s00415-024-12594-9;https://doi.org/10.1007/s00415-024-12594-9;18.07.2024;06.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
53;Universität Bielefeld;Rendiconti del Circolo Matematico di Palermo Series 2;1973-4409;10.1007/s12215-024-01047-x;https://doi.org/10.1007/s12215-024-01047-x;22.04.2024;16.05.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
54;Universität Bielefeld;Behavioral Ecology and Sociobiology;1432-0762;10.1007/s00265-024-03508-w;https://doi.org/10.1007/s00265-024-03508-w;30.07.2024;12.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
55;Universität Bielefeld;Finance and Stochastics;1432-1122;10.1007/s00780-024-00552-2;https://doi.org/10.1007/s00780-024-00552-2;23.07.2024;28.11.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
56;Universität Bielefeld;Minerva;1573-1871;10.1007/s11024-023-09519-7;https://doi.org/10.1007/s11024-023-09519-7;22.11.2023;08.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
57;Universität Bielefeld;AStA Advances in Statistical Analysis;1863-818X;10.1007/s10182-024-00501-6;https://doi.org/10.1007/s10182-024-00501-6;31.10.2023;29.05.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
58;Universität Bielefeld;Journal of Imaging Informatics in Medicine;2948-2933;10.1007/s10278-024-01094-x;https://doi.org/10.1007/s10278-024-01094-x;14.02.2024;11.06.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
59;Universität Bielefeld;Mathematische Zeitschrift;1432-1823;10.1007/s00209-024-03550-4;https://doi.org/10.1007/s00209-024-03550-4;18.06.2024;15.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
60;Universität Bielefeld;Biology & Philosophy;1572-8404;10.1007/s10539-024-09941-5;https://doi.org/10.1007/s10539-024-09941-5;17.01.2024;12.02.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
61;Universität Bielefeld;Attention, Perception, & Psychophysics;1943-393X;10.3758/s13414-024-02884-9;https://doi.org/10.3758/s13414-024-02884-9;18.03.2024;09.05.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
62;Universität Bielefeld;Oecologia;1432-1939;10.1007/s00442-024-05612-0;https://doi.org/10.1007/s00442-024-05612-0;20.08.2024;03.09.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
63;Universität Bielefeld;Probability Theory and Related Fields;1432-2064;10.1007/s00440-024-01277-1;https://doi.org/10.1007/s00440-024-01277-1;21.03.2024;12.04.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
64;Universität Bielefeld;Synthese;1573-0964;10.1007/s11229-024-04493-3;https://doi.org/10.1007/s11229-024-04493-3;06.01.2024;07.02.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
65;Universität Bielefeld;Aequationes mathematicae;1420-8903;10.1007/s00010-024-01092-y;https://doi.org/10.1007/s00010-024-01092-y;09.06.2024;23.06.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
66;Universität Bielefeld;manuscripta mathematica;1432-1785;10.1007/s00229-024-01597-5;https://doi.org/10.1007/s00229-024-01597-5;18.09.2024;08.10.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
67;Universität Bielefeld;Drug Safety;1179-1942;10.1007/s40264-024-01460-2;https://doi.org/10.1007/s40264-024-01460-2;11.06.2024;09.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by-nc/4.0;CC BY-NC;f
68;Universität Bielefeld;Attention, Perception, & Psychophysics;1943-393X;10.3758/s13414-024-02844-3;https://doi.org/10.3758/s13414-024-02844-3;02.01.2024;19.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
69;Universität Bielefeld;Journal of Theoretical Probability;1572-9230;10.1007/s10959-024-01318-4;https://doi.org/10.1007/s10959-024-01318-4;05.02.2024;05.03.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
70;Universität Bielefeld;Applied Microbiology and Biotechnology;1432-0614;10.1007/s00253-023-12962-x;https://doi.org/10.1007/s00253-023-12962-x;05.10.2023;10.01.2024;2600.00;ReviewPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
71;Universität Bielefeld;Current Psychology;1936-4733;10.1007/s12144-024-05863-3;https://doi.org/10.1007/s12144-024-05863-3;09.03.2024;22.03.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
72;Universität Bielefeld;Community Mental Health Journal;1573-2789;10.1007/s10597-024-01400-5;https://doi.org/10.1007/s10597-024-01400-5;13.10.2024;04.12.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
73;Universität Bielefeld;Natur und Recht;1439-0515;10.1007/s10357-024-4320-4;https://doi.org/10.1007/s10357-024-4320-4;;19.03.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
74;Universität Bielefeld;Infection;1439-0973;10.1007/s15010-023-02156-y;https://doi.org/10.1007/s15010-023-02156-y;04.12.2023;18.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
75;Universität Bielefeld;Clinical Epileptology;2948-1058;10.1007/s10309-024-00661-0;https://doi.org/10.1007/s10309-024-00661-0;15.01.2024;20.02.2024;2600.00;ReviewPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
76;Universität Bielefeld;Somnologie;1439-054X;10.1007/s11818-024-00465-4;https://doi.org/10.1007/s11818-024-00465-4;25.03.2024;26.04.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
77;Universität Bielefeld;Clinical Epileptology;2948-1058;10.1007/s10309-024-00660-1;https://doi.org/10.1007/s10309-024-00660-1;15.01.2024;20.02.2024;2600.00;ReviewPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
78;Universität Bielefeld;Informatik Spektrum;1432-122X;10.1007/s00287-024-01585-9;https://doi.org/10.1007/s00287-024-01585-9;18.09.2024;13.12.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
79;Universität Bielefeld;Journal of Evolution Equations;1424-3202;10.1007/s00028-024-00970-x;https://doi.org/10.1007/s00028-024-00970-x;21.03.2024;22.04.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
80;Universität Bielefeld;Journal of Molecular Medicine;1432-1440;10.1007/s00109-024-02436-6;https://doi.org/10.1007/s00109-024-02436-6;20.02.2024;02.03.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
81;Universität Bielefeld;Qualitative Sociology;1573-7837;10.1007/s11133-023-09555-5;https://doi.org/10.1007/s11133-023-09555-5;05.12.2023;04.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
82;Universität Bielefeld;Calculus of Variations and Partial Differential Equations;1432-0835;10.1007/s00526-024-02679-8;https://doi.org/10.1007/s00526-024-02679-8;07.02.2024;07.03.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
83;Universität Bielefeld;Calculus of Variations and Partial Differential Equations;1432-0835;10.1007/s00526-024-02664-1;https://doi.org/10.1007/s00526-024-02664-1;09.01.2024;22.02.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
84;Universität Bielefeld;Synthese;1573-0964;10.1007/s11229-024-04625-9;https://doi.org/10.1007/s11229-024-04625-9;06.05.2024;13.06.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
85;Universität Bielefeld;International Journal of Social Robotics;1875-4805;10.1007/s12369-024-01112-6;https://doi.org/10.1007/s12369-024-01112-6;29.01.2024;18.03.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
86;Universität Bielefeld;European Journal of Epidemiology;1573-7284;10.1007/s10654-024-01134-4;https://doi.org/10.1007/s10654-024-01134-4;15.05.2024;31.05.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
87;Universität Bielefeld;Aequationes mathematicae;1420-8903;10.1007/s00010-024-01061-5;https://doi.org/10.1007/s00010-024-01061-5;27.03.2024;24.04.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
88;Universität Bielefeld;List Forum für Wirtschafts- und Finanzpolitik;2364-3943;10.1007/s41025-024-00266-5;https://doi.org/10.1007/s41025-024-00266-5;17.09.2024;07.10.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
89;Universität Bielefeld;Scientometrics;1588-2861;10.1007/s11192-024-05003-5;https://doi.org/10.1007/s11192-024-05003-5;18.03.2024;22.04.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
90;Universität Bielefeld;European Journal for Philosophy of Science;1879-4920;10.1007/s13194-024-00619-z;https://doi.org/10.1007/s13194-024-00619-z;28.10.2024;21.11.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
91;Universität Bielefeld;Colloid and Polymer Science;1435-1536;10.1007/s00396-024-05288-1;https://doi.org/10.1007/s00396-024-05288-1;24.06.2024;18.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
92;Universität Bielefeld;Probability Theory and Related Fields;1432-2064;10.1007/s00440-024-01294-0;https://doi.org/10.1007/s00440-024-01294-0;08.06.2024;21.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
93;Universität Bielefeld;Theory and Society;1573-7853;10.1007/s11186-024-09564-5;https://doi.org/10.1007/s11186-024-09564-5;26.05.2024;20.06.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
94;Universität Bielefeld;Informatik Spektrum;1432-122X;10.1007/s00287-024-01561-3;https://doi.org/10.1007/s00287-024-01561-3;02.01.2024;27.03.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
95;Universität Bielefeld;Behavior Research Methods;1554-3528;10.3758/s13428-024-02567-1;https://doi.org/10.3758/s13428-024-02567-1;22.11.2024;28.12.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
