"Period","doi","publisher","journal","ISSN.1","ISSN.2","EURO","repo.id","base.url"
2014,"10.1186/1471-2180-14-7","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",1200,2644836,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2334-14-40","Springer Science + Business Media","BMC Infect Dis","1471-2334","NA",1236,2661294,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2458-14-1148","Springer Science + Business Media","BMC Public Health","1471-2458","NA",1280,2708994,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2458-14-232","Springer Science + Business Media","BMC Public Health","1471-2458","NA",1216,2665850,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2458-14-351","Springer Science + Business Media","BMC Public Health","1471-2458","NA",1240,2672925,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2458-14-844","Springer Science + Business Media","BMC Public Health","1471-2458","NA",1276,2693889,"http://pub.uni-bielefeld.de"
2014,"10.1186/1472-6750-14-65","Springer Science + Business Media","BMC Biotechnology","1472-6750","NA",1268,2689886,"http://pub.uni-bielefeld.de"
2014,"10.1186/1472-6807-14-12","Springer Science + Business Media","BMC Structural Biology","1472-6807","NA",1276,2671451,"http://pub.uni-bielefeld.de"
2014,"10.1186/1472-6874-14-105","Springer Science + Business Media","BMC Women's Health","1472-6874","NA",1276,2693877,"http://pub.uni-bielefeld.de"
2014,"10.1186/1472-6874-14-24","Springer Science + Business Media","BMC Women's Health","1472-6874","NA",1200,2661385,"http://pub.uni-bielefeld.de"
2014,"10.1186/1476-069X-13-111","Springer Science + Business Media","Environ Health","1476-069X","NA",1172,2716016,"http://pub.uni-bielefeld.de"
2014,"10.1186/1477-5956-12-41","Springer Science + Business Media","Proteome Sci","1477-5956","NA",1465,2689896,"http://pub.uni-bielefeld.de"
2014,"10.1186/1556-276X-9-60","Springer Science + Business Media","Nanoscale Res Lett","1556-276X","NA",800,2651935,"http://pub.uni-bielefeld.de"
2014,"10.1186/1746-4811-10-28","Springer Science + Business Media","Plant Methods","1746-4811","NA",1148,2700166,"http://pub.uni-bielefeld.de"
2014,"10.1186/1747-597X-9-8","Springer Science + Business Media","Subst Abuse Treat Prev Policy","1747-597X","NA",1048,2660085,"http://pub.uni-bielefeld.de"
2014,"10.1186/2050-7283-2-14","Springer Science + Business Media","BMC Psychol","2050-7283","NA",1240,2685103,"http://pub.uni-bielefeld.de"
2014,"10.1186/s12859-014-0384-0","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",1280,2705712,"http://pub.uni-bielefeld.de"
2014,"10.1186/s12870-014-0249-8","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",1280,2696778,"http://pub.uni-bielefeld.de"
2014,"10.1186/s12888-014-0255-2","Springer Science + Business Media","BMC Psychiatry","1471-244X","NA",1280,2701494,"http://pub.uni-bielefeld.de"
2014,"10.1186/scrt422","Springer Science + Business Media","Stem Cell Res Ther","1757-6512","NA",1216,2671551,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0086519","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1068.47",2639698,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0091349","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1068.47",2656289,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0093116","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",984,2677406,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0097879","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",992,2677460,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0101197","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",1042,2693625,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0102786","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",997,2690059,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0104086","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",1010,2691822,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0105015","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",1010,2685362,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0110113","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",1064,2699085,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0110386","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",1064,2701544,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0110756","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",1064,2706172,"http://pub.uni-bielefeld.de"
2014,"10.1371/journal.pone.0113909","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA",1077,2706029,"http://pub.uni-bielefeld.de"
2014,"10.3389/fbioe.2014.00028","Frontiers Media SA","Frontiers in Bioengineering and Biotechnology","2296-4185","NA",912,2687390,"http://pub.uni-bielefeld.de"
2014,"10.3389/fmicb.2014.00252","Frontiers Media SA","Front. Microbiol.","1664-302X","NA",912,2678800,"http://pub.uni-bielefeld.de"
2014,"10.3389/fnbeh.2014.00186","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA",1520,2676837,"http://pub.uni-bielefeld.de"
2014,"10.3389/fnbeh.2014.00227","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","731.5",2690049,"http://pub.uni-bielefeld.de"
2014,"10.3389/fnbeh.2014.00307","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA",1520,2698111,"http://pub.uni-bielefeld.de"
2014,"10.3389/fncir.2014.00127","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA",912,2701575,"http://pub.uni-bielefeld.de"
2014,"10.3389/fncom.2014.00083","Frontiers Media SA","Front. Comput. Neurosci.","1662-5188","NA",1520,2694962,"http://pub.uni-bielefeld.de"
2014,"10.3389/fnhum.2014.00296","Frontiers Media SA","Front. Hum. Neurosci.","1662-5161","NA",1520,2673305,"http://pub.uni-bielefeld.de"
2014,"10.3389/fnhum.2014.00328","Frontiers Media SA","Front. Hum. Neurosci.","1662-5161","NA",816,2678621,"http://pub.uni-bielefeld.de"
2014,"10.3389/fnint.2014.00034","Frontiers Media SA","Front. Integr. Neurosci.","1662-5145","NA",1520,2675090,"http://pub.uni-bielefeld.de"
2014,"10.3389/fpls.2014.00151","Frontiers Media SA","Front. Plant Sci.","1664-462X","NA",912,2675079,"http://pub.uni-bielefeld.de"
2014,"10.3389/fpsyg.2014.00500","Frontiers Media SA","Frontiers in Psychology","1664-1078","NA",912,2675171,"http://pub.uni-bielefeld.de"
2014,"10.3389/fpsyg.2014.00930","Frontiers Media SA","Frontiers in Psychology","1664-1078","NA",912,2691855,"http://pub.uni-bielefeld.de"
2014,"10.3389/fpsyg.2014.00956","Frontiers Media SA","Frontiers in Psychology","1664-1078","NA",1520,2698093,"http://pub.uni-bielefeld.de"
2014,"10.3389/fpsyg.2014.01008","Frontiers Media SA","Frontiers in Psychology","1664-1078","NA",912,2698439,"http://pub.uni-bielefeld.de"
2014,"10.3389/fpsyg.2014.01292","Frontiers Media SA","Frontiers in Psychology","1664-1078","NA",912,2708939,"http://pub.uni-bielefeld.de"
2014,"10.3389/fpsyt.2014.00026","Frontiers Media SA","Front. Psychiatry","1664-0640","NA",1520,2668899,"http://pub.uni-bielefeld.de"
2014,"10.3390/ijerph110100849","MDPI AG","IJERPH","1660-4601","NA","1353.26",2644087,"http://pub.uni-bielefeld.de"
2014,"10.3402/ejpt.v4i0.21452","Co-Action Publishing","European Journal of Psychotraumatology","2000-8198","2000-818X","928.2",2657177,"http://pub.uni-bielefeld.de"
2014,"10.3402/gha.v7.24565","Co-Action Publishing","Global Health Action","1654-9880","1654-9716",476,2690040,"http://pub.uni-bielefeld.de"
2014,"10.4172/2155-952X.1000167","OMICS Publishing Group","J Biotechnol Biomater","2155-952X","NA","879.67",2704479,"http://pub.uni-bielefeld.de"
