pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;initial_opt-out
45;Universität Bielefeld;Neue Politische Literatur;2197-6082;10.1007/s42520-023-00525-3;https://doi.org/10.1007/s42520-023-00525-3;19.09.2023;05.09.2023;917;bookreview;optin
47;Universität Bielefeld;The Journal of Value Inquiry;1573-0492;10.1007/s10790-023-09965-2;https://doi.org/10.1007/s10790-023-09965-2;07.12.2023;18.09.2023;2750;originalpaper;optin
48;Universität Bielefeld;Ethik in der Medizin;1437-1618;10.1007/s00481-023-00765-7;https://doi.org/10.1007/s00481-023-00765-7;27.04.2023;08.02.2023;2750;originalpaper;optin
52;Universität Bielefeld;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;1437-1588;10.1007/s00103-023-03729-w;https://doi.org/10.1007/s00103-023-03729-w;06.06.2023;22.05.2023;2750;reviewpaper;optin
53;Universität Bielefeld;International Journal of Social Robotics;1875-4805;10.1007/s12369-023-01043-8;https://doi.org/10.1007/s12369-023-01043-8;22.09.2023;09.08.2023;2750;originalpaper;optin
54;Universität Bielefeld;Journal of Fourier Analysis and Applications;1531-5851;10.1007/s00041-023-10045-z;https://doi.org/10.1007/s00041-023-10045-z;11.10.2023;07.01.2023;2750;originalpaper;optin
55;Universität Bielefeld;Journal of Evolution Equations;1424-3202;10.1007/s00028-023-00884-0;https://doi.org/10.1007/s00028-023-00884-0;24.05.2023;20.03.2023;2750;originalpaper;optin
56;Universität Bielefeld;Research in Science Education;1573-1898;10.1007/s11165-023-10140-7;https://doi.org/10.1007/s11165-023-10140-7;22.11.2023;31.10.2023;2750;originalpaper;optin
57;Universität Bielefeld;Journal of Comparative Physiology A;1432-1351;10.1007/s00359-022-01610-w;https://doi.org/10.1007/s00359-022-01610-w;07.01.2023;24.12.2022;2750;reviewpaper;optin
58;Universität Bielefeld;Finance and Stochastics;1432-1122;10.1007/s00780-023-00508-y;https://doi.org/10.1007/s00780-023-00508-y;29.06.2023;08.03.2023;2750;originalpaper;optin
59;Universität Bielefeld;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;1437-1588;10.1007/s00103-023-03763-8;https://doi.org/10.1007/s00103-023-03763-8;18.09.2023;21.08.2023;2750;reviewpaper;optin
60;Universität Bielefeld;Neuropsychopharmacology;1740-634X;10.1038/s41386-023-01549-9;https://doi.org/10.1038/s41386-023-01549-9;20.03.2023;04.02.2023;2750;originalpaper;optin
61;Universität Bielefeld;European Journal for Philosophy of Science;1879-4920;10.1007/s13194-023-00515-y;https://doi.org/10.1007/s13194-023-00515-y;07.03.2023;31.01.2023;2750;originalpaper;optin
62;Universität Bielefeld;Politische Vierteljahresschrift;1862-2860;10.1007/s11615-023-00514-x;https://doi.org/10.1007/s11615-023-00514-x;22.11.2023;06.11.2023;917;bookreview;optin
63;Universität Bielefeld;European Archives of Oto-Rhino-Laryngology;1434-4726;10.1007/s00405-023-08271-8;https://doi.org/10.1007/s00405-023-08271-8;17.10.2023;02.10.2023;2750;originalpaper;optin
64;Universität Bielefeld;Der Nervenarzt;1433-0407;10.1007/s00115-023-01549-6;https://doi.org/10.1007/s00115-023-01549-6;27.09.2023;08.08.2023;2750;reviewpaper;optin
65;Universität Bielefeld;Forum Kinder- und Jugendsport;2730-7220;10.1007/s43594-023-00085-0;https://doi.org/10.1007/s43594-023-00085-0;11.04.2023;08.02.2023;2750;originalpaper;optin
67;Universität Bielefeld;Social Psychiatry and Psychiatric Epidemiology;1433-9285;10.1007/s00127-023-02506-z;https://doi.org/10.1007/s00127-023-02506-z;05.06.2023;25.05.2023;2750;originalpaper;optin
68;Universität Bielefeld;Annals of Mathematics and Artificial Intelligence;1573-7470;10.1007/s10472-023-09890-x;https://doi.org/10.1007/s10472-023-09890-x;18.08.2023;03.08.2023;2750;originalpaper;optin
69;Universität Bielefeld;Prevention Science;1573-6695;10.1007/s11121-023-01550-0;https://doi.org/10.1007/s11121-023-01550-0;26.05.2023;12.05.2023;2750;originalpaper;optin
70;Universität Bielefeld;Journal of Dynamics and Differential Equations;1572-9222;10.1007/s10884-023-10255-5;https://doi.org/10.1007/s10884-023-10255-5;28.03.2023;05.03.2023;2750;originalpaper;optin
71;Universität Bielefeld;Minerva;1573-1871;10.1007/s11024-023-09509-9;https://doi.org/10.1007/s11024-023-09509-9;30.08.2023;05.08.2023;917;bookreview;optin
72;Universität Bielefeld;Lithuanian Mathematical Journal;1573-8825;10.1007/s10986-023-09598-9;https://doi.org/10.1007/s10986-023-09598-9;25.07.2023;17.06.2023;2750;originalpaper;optin
73;Universität Bielefeld;Sozial Extra;1863-8953;10.1007/s12054-023-00582-8;https://doi.org/10.1007/s12054-023-00582-8;28.03.2023;01.03.2023;2750;originalpaper;optin
74;Universität Bielefeld;Zeitschrift für Ethik und Moralphilosophie;2522-0071;10.1007/s42048-023-00137-2;https://doi.org/10.1007/s42048-023-00137-2;13.03.2023;21.12.2022;2750;originalpaper;optin
75;Universität Bielefeld;International Journal of Game Theory;1432-1270;10.1007/s00182-023-00848-1;https://doi.org/10.1007/s00182-023-00848-1;31.03.2023;10.02.2023;2750;originalpaper;optin
76;Universität Bielefeld;Few-Body Systems;1432-5411;10.1007/s00601-023-01833-w;https://doi.org/10.1007/s00601-023-01833-w;22.06.2023;28.05.2023;2750;originalpaper;optin
77;Universität Bielefeld;Mathematische Annalen;1432-1807;10.1007/s00208-023-02751-2;https://doi.org/10.1007/s00208-023-02751-2;08.11.2023;13.10.2023;2750;originalpaper;optin
78;Universität Bielefeld;Hydrobiologia;1573-5117;10.1007/s10750-023-05408-y;https://doi.org/10.1007/s10750-023-05408-y;20.11.2023;05.10.2023;2750;originalpaper;optin
79;Universität Bielefeld;Annali di Matematica Pura ed Applicata (1923 -);1618-1891;10.1007/s10231-023-01352-9;https://doi.org/10.1007/s10231-023-01352-9;07.07.2023;14.06.2023;2750;originalpaper;optin
80;Universität Bielefeld;Higher Education;1573-174X;10.1007/s10734-023-01018-8;https://doi.org/10.1007/s10734-023-01018-8;05.04.2023;23.02.2023;2750;originalpaper;optin
81;Universität Bielefeld;Journal of Comparative Physiology A;1432-1351;10.1007/s00359-023-01637-7;https://doi.org/10.1007/s00359-023-01637-7;19.05.2023;04.05.2023;2750;reviewpaper;optin
82;Universität Bielefeld;Drugs & Aging;1179-1969;10.1007/s40266-023-01022-8;https://doi.org/10.1007/s40266-023-01022-8;27.03.2023;09.03.2023;2750;reviewpaper;optin
83;Universität Bielefeld;Journal of Neuro-Oncology;1573-7373;10.1007/s11060-023-04410-7;https://doi.org/10.1007/s11060-023-04410-7;12.09.2023;26.07.2023;2750;originalpaper;optin
84;Universität Bielefeld;Communications in Mathematics and Statistics;2194-671X;10.1007/s40304-023-00343-9;https://doi.org/10.1007/s40304-023-00343-9;30.05.2023;03.02.2023;2750;originalpaper;optin
85;Universität Bielefeld;Combinatorica;1439-6912;10.1007/s00493-023-00006-x;https://doi.org/10.1007/s00493-023-00006-x;02.05.2023;08.09.2022;2750;originalpaper;optin
86;Universität Bielefeld;Scientometrics;1588-2861;10.1007/s11192-023-04716-3;https://doi.org/10.1007/s11192-023-04716-3;10.05.2023;19.04.2023;2750;originalpaper;optin
87;Universität Bielefeld;Calculus of Variations and Partial Differential Equations;1432-0835;10.1007/s00526-022-02398-y;https://doi.org/10.1007/s00526-022-02398-y;07.01.2023;02.12.2022;2750;originalpaper;optin
88;Universität Bielefeld;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;1437-1588;10.1007/s00103-023-03667-7;https://doi.org/10.1007/s00103-023-03667-7;08.02.2023;25.01.2023;2750;originalpaper;optin
89;Universität Bielefeld;Prävention und Gesundheitsförderung;1861-6763;10.1007/s11553-023-01053-4;https://doi.org/10.1007/s11553-023-01053-4;08.06.2023;07.05.2023;2750;originalpaper;optin
90;Universität Bielefeld;Sozial Extra;1863-8953;10.1007/s12054-023-00624-1;https://doi.org/10.1007/s12054-023-00624-1;07.11.2023;23.06.2023;2750;originalpaper;optin
91;Universität Bielefeld;Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO);2366-6218;10.1007/s11612-023-00701-9;https://doi.org/10.1007/s11612-023-00701-9;15.08.2023;05.07.2023;2750;originalpaper;optin
92;Universität Bielefeld;Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO);2366-6218;10.1007/s11612-023-00708-2;https://doi.org/10.1007/s11612-023-00708-2;18.10.2023;11.09.2023;2750;originalpaper;optin
93;Universität Bielefeld;Politische Vierteljahresschrift;1862-2860;10.1007/s11615-023-00512-z;https://doi.org/10.1007/s11615-023-00512-z;11.12.2023;19.10.2023;917;letter;optin
94;Universität Bielefeld;AI and Ethics;2730-5961;10.1007/s43681-022-00248-3;https://doi.org/10.1007/s43681-022-00248-3;03.01.2023;05.12.2022;2750;originalpaper;optin
