"Institution","Period","netto (in EURO)","EURO","publisher","journal","ISSN.1","ISSN.2","doi","indexed_in_CrossRef","pmid","pmcid","base_url","repo_id","ut","DOAJ"
"GFZ-Potsdam",2013,1218,"1449,42","Copernicus GmbH","Climate of the Past","1814-9332","NA","10.5194/cp-9-2413-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",260069,"NA","TRUE"
"GFZ-Potsdam",2014,1080,"1285,2","Copernicus GmbH","Geosci. Model Dev. Discuss.","1991-962X","NA","10.5194/gmdd-7-6217-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",887890,"NA","TRUE"
"GFZ-Potsdam",2014,1265,"1505,35","Copernicus GmbH","Geoth. Energ. Sci.","2195-478X","NA","10.5194/gtes-2-1-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",370642,"NA","FALSE"
"GFZ-Potsdam",2013,1421,"1690,99","Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938","NA","10.5194/hess-17-3039-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247560,"NA","TRUE"
"GFZ-Potsdam",2013,744,"885,36","Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938","NA","10.5194/hess-17-3871-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",248049,"NA","TRUE"
"GFZ-Potsdam",2014,1537,"1829,03","Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938","NA","10.5194/hess-18-3033-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",565889,"NA","TRUE"
"GFZ-Potsdam",2014,1218,"1449,42","Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938","NA","10.5194/hess-19-309-2015","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",836890,"NA","TRUE"
"GFZ-Potsdam",2013,552,"656,88","Copernicus GmbH","Natural Hazards and Earth System Science","1684-9981","NA","10.5194/nhess-12-3507-2012","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",246086,"NA","TRUE"
"GFZ-Potsdam",2013,368,"437,92","Copernicus GmbH","Natural Hazards and Earth System Science","1684-9981","NA","10.5194/nhess-13-1285-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247192,"NA","TRUE"
"GFZ-Potsdam",2013,552,"656,88","Copernicus GmbH","Natural Hazards and Earth System Science","1684-9981","NA","10.5194/nhess-13-53-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",246257,"NA","TRUE"
"GFZ-Potsdam",2014,"856,8","1019,59","Copernicus GmbH","Natural Hazards and Earth System Science","1684-9981","NA","10.5194/nhess-14-1625-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",442920,"NA","TRUE"
"GFZ-Potsdam",2013,750,"892,5","Copernicus GmbH","Natural Hazards and Earth System Science","1684-9981","NA","10.5194/nhess-14-189-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",331956,"NA","TRUE"
"GFZ-Potsdam",2014,1134,"1349,46","Copernicus GmbH","Natural Hazards and Earth System Science","1684-9981","NA","10.5194/nhess-14-1921-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",498888,"NA","TRUE"
"GFZ-Potsdam",2014,1900,2261,"Copernicus GmbH","Natural Hazards and Earth System Science","1684-9981","NA","10.5194/nhess-14-675-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",352283,"NA","TRUE"
"GFZ-Potsdam",2013,720,"856,8","Copernicus GmbH","Natural Hazards and Earth System Sciences Discussions","2195-9269","NA","10.5194/nhessd-1-275-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",246875,"NA","FALSE"
"GFZ-Potsdam",2013,570,"678,3","Copernicus GmbH","Natural Hazards and Earth System Sciences Discussions","2195-9269","NA","10.5194/nhessd-1-4925-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",352283,"NA","FALSE"
"GFZ-Potsdam",2013,936,"1113,84","Copernicus GmbH","The Cryosphere","1994-0424","NA","10.5194/tc-7-1707-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",272163,"NA","TRUE"
"GFZ-Potsdam",2013,609,"724,71","Copernicus GmbH","The Cryosphere","1994-0424","NA","10.5194/tc-8-575-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247226,"NA","TRUE"
"GFZ-Potsdam",2014,1044,"1242,36","Copernicus GmbH","The Cryosphere Discussions","1994-0440","NA","10.5194/tcd-8-4645-2014","TRUE","NA","NA","NA","NA","NA","TRUE"
