"institution",,"Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid"
"GFZ-Potsdam",2018,"1,382.15","10.3390/ma11040542","Materials","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",3146894,FALSE
"GFZ-Potsdam",2018,"1,554.24","10.3390/rs10030462","Remote Sensing","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",3103891,FALSE
"GFZ-Potsdam",2018,"1,544.83","10.3390/rs10030481","Remote Sensing","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",3471898,FALSE
"GFZ-Potsdam",2018,"1,967.07","10.5194/os-14-205-2018","Ocean Science","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2898888,FALSE
"GFZ-Potsdam",2018,"1,532.72","10.5194/hess-22-1239-2018","Hydrology and Earth System Sciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2999916,FALSE
"GFZ-Potsdam",2018,"1,190.00","10.5194/esurf-6-29-2018","Earth Surface Dynamics","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2975933,FALSE
"GFZ-Potsdam",2018,999.60,"10.5194/angeo-36-167-2018","Annales Geophysicae","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2949889,FALSE
"GFZ-Potsdam",2018,535.50,"10.5194/gi-7-1-2018","Geoscientific Instrumentation, Methods and Data Systems","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2793891,FALSE
"GFZ-Potsdam",2018,"4,581.50","10.1038/s41467-018-04860-y","Nature Communications","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",3351909,FALSE
"GFZ-Potsdam",2018,963.90,"10.5194/nhess-18-1297-2018","Natural Hazards and Earth System Sciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3197888,FALSE
"GFZ-Potsdam",2018,"1,630.30","10.1038/s41598-018-26970-9","Scientific Reports","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",3268918,FALSE
"GFZ-Potsdam",2018,"1,932.79","10.3389/feart.2018.00079 ","Frontiers in Earth Science","NA","NA","Frontiers","gfzpublic.gfz-potsdam.de",3257907,FALSE
"GFZ-Potsdam",2018,"4,581.50","10.1038/s41467-018-05431-x","Nature Communications","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",3766966,FALSE
"GFZ-Potsdam",2018,"1,318.78","10.3390/w10081049","Water  ","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",3452893,FALSE
"GFZ-Potsdam",2018,981.75,"10.5194/nhess-18-2057-2018","Natural Hazards and Earth System Sciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3424889,FALSE
"GFZ-Potsdam",2018,892.50,"10.5194/os-14-515-2018","Ocean Science","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3342893,FALSE
"GFZ-Potsdam",2018,"2,034.90","10.5194/esurf-6-467-2018","Earth Surface Dynamics","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3285896,FALSE
"GFZ-Potsdam",2018,"1,035.30","10.5194/cp-14-687-2018","Climate of the Past","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3250891,FALSE
"GFZ-Potsdam",2018,"1,785.00","10.5194/se-9-649-2018","Solid Earth","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3342891,FALSE
"GFZ-Potsdam",2018,"1,449.42","10.5194/hess-22-2867-2018","Hydrology and Earth System Sciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2657888,FALSE
"GFZ-Potsdam",2018,"1,338.75","10.5194/angeo-36-679-2018","Annales Geophysicae","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3186888,FALSE
"GFZ-Potsdam",2018,"3,105.90","10.5194/hess-22-2225-2018","Hydrology and Earth System Sciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3149888,FALSE
"GFZ-Potsdam",2018,"1,160.25","10.5194/angeo-36-595-2018","Annales Geophysicae","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3310935,FALSE
"GFZ-Potsdam",2018,"1,760.01","10.5194/bg-15-1969-2018","Biogeosciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3131906,FALSE
"GFZ-Potsdam",2018,"1,630.30","10.1038/s41598-018-32082-1","Scientific Reports","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",3766889,FALSE
"GFZ-Potsdam",2018,"1,630.30","10.1038/s41598-018-32251-2","Scientific Reports","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",3513893,FALSE
"GFZ-Potsdam",2018,"1,630.30","10.1038/s41598-018-34563-9","Scientific Reports","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",3625889,FALSE
"GFZ-Potsdam",2018,"1,035.30","10.5194/nhess-18-2345-2018","Natural Hazards and Earth System Sciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3501889,FALSE
"GFZ-Potsdam",2018,299.88,"10.5194/adgeo-45-235-2018","Advances in Geosciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3468889,FALSE
"GFZ-Potsdam",2018,299.88,"10.5194/adgeo-45-227-2018","Advances in Geosciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3543918,FALSE
"GFZ-Potsdam",2018,98.39,"10.5194/adgeo-45-163-2018","Advances in Geosciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3452890,FALSE
"GFZ-Potsdam",2018,"1,099.56","10.5194/angeo-36-1141-2018","Annales Geophysicae","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3497892,FALSE
"GFZ-Potsdam",2018,295.12,"10.5194/adgeo-45-177-2018","Advances in Geosciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3449896,FALSE
"GFZ-Potsdam",2018,"1,606.50","10.5194/esurf-6-669-2018","Earth Surface Dynamics","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3718914,FALSE
"GFZ-Potsdam",2018,442.68,"10.5194/angeo-36-1009-2018","Annales Geophysicae","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3372888,FALSE
"GFZ-Potsdam",2018,214.20,"10.5194/adgeo-45-7-2018","Advances in Geosciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3383890,FALSE
"GFZ-Potsdam",2018,"1,249.50","10.5194/se-9-897-2018","Solid Earth","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3369888,FALSE
"GFZ-Potsdam",2018,"1,456.56","10.5194/acp-18-10007-2018","Atmospheric Chemistry and Physics","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3369896,FALSE
"GFZ-Potsdam",2018,"1,499.40","10.5194/se-9-833-2018","Solid Earth","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3410889,FALSE
"GFZ-Potsdam",2018,"1,599.85","10.3390/rs10111767","Remote Sensing","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",3755912,FALSE
"GFZ-Potsdam",2018,"1,992.06","10.5194/cp-14-1607-2018","Climate of the Past","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",3635902,FALSE
"GFZ-Potsdam",2018,851.86,"10.3390/rs10121964","Remote Sensing","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",3737892,FALSE
"GFZ-Potsdam",2018,"3,787.83","10.2136/vzj2018.06.0116","Vadose Zone Journal","NA","NA","Soil Science Society of America","gfzpublic.gfz-potsdam.de",3759891,FALSE
"GFZ-Potsdam",2018,"2,618.13","10.3389/fmicb.2018.02082","Frontiers in Microbiology","NA","NA","Frontiers","gfzpublic.gfz-potsdam.de",3528888,FALSE
"GFZ-Potsdam",2018,"1,517.63","10.3389/feart.2018.00248","Frontiers in Earth Science","NA","NA","Frontiers","gfzpublic.gfz-potsdam.de",3855889,FALSE
"GFZ-Potsdam",2018,"2,609.99","10.3389/fmicb.2018.02787","Frontiers in Microbiology","NA","NA","Frontiers","gfzpublic.gfz-potsdam.de",3679888,FALSE
"GFZ-Potsdam",2018,"3,115.42","10.1007/s10518-018-0315-y","Bulletin of Earthquake Engineering","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",2975936,TRUE
"GFZ-Potsdam",2018,"2,165.80","10.1039/C8CP00540K","Physical Chemistry Chemical Physics","NA","NA","Royal Society of Chemistry","gfzpublic.gfz-potsdam.de",3254893,TRUE
"GFZ-Potsdam",2018,"1,156.48","10.1093/femsec/fiy029","FEMS Microbiology Ecology","NA","NA","Oxford University Press","gfzpublic.gfz-potsdam.de",3107895,TRUE
"GFZ-Potsdam",2018,"3,115.42","10.1007/s41064-018-0050-7","PFG - Journal of Photogrammetry, Remote Sensing and Geoinformation Science","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",3528894,TRUE
"GFZ-Potsdam",2018,"3,680.67","10.1016/j.geomorph.2018.07.020","Geomorphology","NA","NA","Elsevier","gfzpublic.gfz-potsdam.de",3766945,TRUE
"GFZ-Potsdam",2018,"2,618.00","10.1007/s00603-018-1572-4","Rock Mechanics and Rock Engineering","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",3648888,TRUE
"GFZ-Potsdam",2018,"1,892.93","10.1016/j.chemgeo.2018.09.027","Chemical Geology","NA","NA","Elsevier","gfzpublic.gfz-potsdam.de",3635905,TRUE
"GFZ-Potsdam",2018,"2,380.00","10.1029/2018GL079708","Geophysical Research Letters","NA","NA"," American Geophysical Union","gfzpublic.gfz-potsdam.de",3766919,TRUE
