"institution",period,"Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid"
"GFZ Potsdam",2020,3903.20,"10.1016/j.rse.2020.111872","Remote Sensing of Environment","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5001933,TRUE
"GFZ Potsdam",2020,3475.99,"10.1093/femsec/fiaa021","FEMS Microbiology Ecology","NA","NA","Oxford University Press","https://gfzpublic.gfz-potsdam.de ",5000503,TRUE
"GFZ Potsdam",2020,3201.60,"10.1016/j.gloplacha.2020.103288","Global and Planetary Change","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5003052,TRUE
"GFZ Potsdam",2020,2547.58,"10.2138/am-2021-7696","American Mineralogist","NA","NA","Mineralogical Society of America","https://gfzpublic.gfz-potsdam.de ",5004730,TRUE
"GFZ Potsdam",2020,5800.00,"10.1190/geo2020-0049.1","Geophysics","NA","NA","Society of Exploration Geophysicists","https://gfzpublic.gfz-potsdam.de ",5004742,TRUE
"GFZ Potsdam",2020,3190.00,"10.1093/gji/ggaa506","Geophysical Journal International","NA","NA","Oxford University Press","https://gfzpublic.gfz-potsdam.de ",5003606,TRUE
"GFZ Potsdam",2020,2004.63,"10.1109/TGRS.2020.3031396","IEEE Transactions on Geoscience and Remote Sensing ","NA","NA","IEEE","https://gfzpublic.gfz-potsdam.de ","k.A.",TRUE
"GFZ Potsdam",2020,2320.00,"10.1016/j.geothermics.2020.101990","Geothermics","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5003773,TRUE
"GFZ Potsdam",2020,2795.60,"10.1016/j.apgeochem.2020.104777","Applied Geochemistry","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5003732,TRUE
"GFZ Potsdam",2020,2691.20,"10.1016/j.chemgeo.2020.119861","Chemical Geology","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5004431,TRUE
"GFZ Potsdam",2020,3256.35,"10.1016/j.chemgeo.2020.119975","Chemical Geology","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5004203,TRUE
"GFZ Potsdam",2020,3190.00,"10.1093/gji/ggaa524","Geophysical Journal International","NA","NA","Oxford University Press","https://gfzpublic.gfz-potsdam.de ",5004127,TRUE
