institution;period;euro;doi;url;is_hybrid;publisher;journal_full_title;issn.1;issn.2;Date
Duisburg Essen U;2018;1725;10.3389/fonc.2018.00170;;false;Frontiers;Frontiers in Oncology ;2234-943X;;Mai 18
Duisburg Essen U;2018;1543;10.1371/journal.pone.0196920;;false;PLoS;PLoS ONE;1932-6203;;Mai 18
Duisburg Essen U;2018;2007;10.3389/fmicb.2018.01290 ;;false;Frontiers;Frontiers in Microbiology ;1664-302X;;Jun 18
Duisburg Essen U;2018;1977;10.1093/nar/gky527;;false;Oxford;Nucleic Acids Research ;1362-4962;;Jun 18
Duisburg Essen U;2018;1823;10.3390/s18061775;;false;MDPI;Sensors;1424-8220;;Jun 18
Duisburg Essen U;2018;1956;10.1155/2018/3687415;;false;Hindawi;BioMed Research International ;1110-7251; 2314-6141;Jun 18
Duisburg Essen U;2018;1882;10.2147/SAR.S136523;;false;Dovepress;Substance Abuse and Rehabilitation;1179-8467;;Jun 18
Duisburg Essen U;2018;2000;10.1016/j.molmet.2018.03.015;;false;Elsevier;Molecular Metabolism ;2212-8778;;Jun 18
Duisburg Essen U;2018;1315;10.1186/s13256-018-1706-z;;false;BioMed Central;Journal of Medical Case Reports;1752-1947;;Jun 18
Duisburg Essen U;2018;1448;10.21037/jtd.2018.05.188;;false;AME;Journal of Thoracic Disease;2077-6624;;Jun 18
Duisburg Essen U;2018;437;10.1155/2018/8639404;;false;Hindawi;Case Reports in Neurological Medicine;2090-6676;;Jun 18
Duisburg Essen U;2018;941;10.4236/wjcd.2018.86027;;false;Scientific Research;World Journal of Cardiovascular Diseases;2164-5337;;Jun 18
Duisburg Essen U;2018;1565;10.1371/journal.pone.0199678;;false;PLoS;PLoS ONE;1932-6203;;Jun 18
Duisburg Essen U;2018;1578;10.1371/journal.pone.0201581;;false;PLoS;PloS ONE;1932-6203;;Jul 18
Duisburg Essen U;2018;1507;10.1186/s40658-018-0214-y;;false;BioMed Central;EJNMMI Physics;2197-7364;;Jul 18
Duisburg Essen U;2018;1578;10.1371/journal.pone.0200472;;false;PLoS;PLoS ONE;1932-6204;;Jul 18
Duisburg Essen U;2018;1630;10.1038/s41598-018-29618-w;;false;Springer Nature;Scientific Reports;2045-2322;;Jul 18
Duisburg Essen U;2018;1630;10.1038/s41598-018-30909-5;;false;Springer Nature;Scientific Reports;2045-2322;;Aug 18
Duisburg Essen U;2018;1630;10.1038/s41598-018-31253-4;;false;Springer Nature;Scientific Reports;2045-2322;;Aug 18
Duisburg Essen U;2018;1574;10.1371/journal.pone.0202954;;false;PLoS;PLoS ONE;1932-6203;;Aug 18
Duisburg Essen U;2018;1846;10.1186/s12974-018-1259-5;;false;BioMed Central;Journal of Neuroinflammation;1742-2094;;Aug 18
Duisburg Essen U;2018;1623;10.1186/s12887-018-1245-1;;false;BioMed Central;BMC Pediatrics;1471-2431;;Aug 18
Duisburg Essen U;2018;1671;10.1088/1367-2630/aadd5a;;false;IOP;New Journal of Physics;1367-2630 ;;Aug 18
Duisburg Essen U;2018;799;10.1371/journal.pone.0203664;;false;PLoS;PLoS ONE;1932-6203;;Sep 18
Duisburg Essen U;2018;2055;10.3389/fphys.2018.01366;;false;Frontiers;Frontiers in Physiology;1664-042X;;Sep 18
Duisburg Essen U;2018;1056;10.1155/2018/2589542;;false;Hindawi;Advances in Human-Computer Interaction;1687-5907;;Sep 18
Duisburg Essen U;2018;931;10.3389/fonc.2018.00367;;false;Frontiers;Frontiers in Oncology ;2234-943X;;Sep 18
Duisburg Essen U;2018;1462;10.1016/j.ejro.2018.08.008;;false;Elsevier;European Journal of Radiology Open;2352-0477;;Sep 18
Duisburg Essen U;2018;1630;10.1038/s41598-018-31547-7;;false;Springer Nature;Scientific Reports;2045-2322;;Sep 18
Duisburg Essen U;2018;526;10.1016/j.scr.2018.09.016;;false;Elsevier;Stem Cell Research;1876-7753;1873-5061;Sep 18
Duisburg Essen U;2018;526;10.1016/j.scr.2018.09.015;;false;Elsevier;Stem Cell Research;1876-7753;1873-5061;Sep 18
Duisburg Essen U;2018;1135;10.7717/peerj.5819;;false;PeerJ;PeerJ;2167-8359;;Okt 18
Duisburg Essen U;2018;1630;10.1038/s41598-018-33445-4;;false;Springer Nature;Scientific Reports;2045-2322;;Okt 18
Duisburg Essen U;2018;497;10.5334/dsj-2018-025;;false;ubiquity press;Data science journal;1683-1470;;Okt 18
Duisburg Essen U;2018;1048;10.1155/2018/5373829;;false;Hindawi;Journal of Combustion;2090-1968 ;2090-1976;Okt 18
Duisburg Essen U;2018;1494;10.1136/bmjopen-2018-022947;;false;BMJ;BMJ Open;2044-6055;;Okt 18
Duisburg Essen U;2018;1623;10.1186/s12909-018-1353-5;;false;BioMed Central;BMC Medical Education;1472-6920;;Okt 18
Duisburg Essen U;2018;1655;10.3390/ma11101885;;false;MDPI;Materials;1996-1944;;Okt 18
Duisburg Essen U;2018;1048;10.1155/2018/7036425;;false;Hindawi;Journal of Combustion;2090-1968;2090-1976;Nov 18
Duisburg Essen U;2018;1415;10.1364/OE.26.032758;;false;Optical Society of America (OSA);Optics Express;1094-4087 ;;Nov 18
Duisburg Essen U;2018;1713;10.1371/journal.pone.0207496;;false;PLoS;PLoS ONE;1932-6203;;Nov 18
Duisburg Essen U;2018;1875;10.3390/ijms19123779;;false;MDPI;International Journal of Molecular Sciences;1422-0067;1661-6596;Nov 18
Duisburg Essen U;2018;2142;10.1186/s13014-018-1188-6;;false;BioMed Central;Radiation Oncology;1748-717X;;Dez 18
Duisburg Essen U;2018;1164;10.7717/peerj.6117;;false;PeerJ;PeerJ;2167-8359;;Dez 18
Duisburg Essen U;2018;1882;10.2147/JIR.S187201;;false;Dove Medical Press;Journal of Inflammation Research;1178-7031;;Dez 18
Duisburg Essen U;2018;1683;10.3390/ijms19123945;;false;MDPI;International Journal of Molecular Sciences;1422-0067;1661-6596;Dez 18
Duisburg Essen U;2018;1682;10.3390/en11123429;;false;MDPI;Energies;1996-1073;;Dez 18
Duisburg Essen U;2018;675;10.1039/C8RA08227H;;false;Royal Society of Chemistry ;RSC Advances;2046-2069;;Dez 18
