institution;period;"tatsächliche Gesamtkosten";doi;url;is_hybrid;publisher;journal_full_title;issn.1
Duisburg Essen U;2020;1769,53;10.1186/s13102-020-00166-z;;false;BioMed;BMC Sports Science, Medicine and Rehabilitation;2052-1847
Duisburg Essen U;2020;1008,92;10.3390/land9030066;;false;MDPI;Land;2073-445X
Duisburg Essen U;2020;2010,74;10.3390/ijerph17051735;;false;MDPI;International Journal of Environmental Research and Public Health ;1660-4601
Duisburg Essen U;2020;1698,36;10.1063/1.5142220;;false;AIP;AIP Advances;2158-3226
Duisburg Essen U;2020;1809,67;10.3390/su12052115;;false;MDPI;Sustainability ;2071-1050
Duisburg Essen U;2020;1824,27;10.1038/s41467-020-15072-8;;false;Springer Nature;Nature Communications;2041-1723
Duisburg Essen U;2020;1516,82;10.3390/polym12040781;;false;MDPI;Polymers;2073-4360
Duisburg Essen U;2020;1516,82;10.3390/vaccines8010142;;false;MDPI;Vaccines;2076-393X
Duisburg Essen U;2020;2024,92;10.3390/s20071843;;false;MDPI;Sensors;1424-8220
Duisburg Essen U;2020;1734,43;10.1186/s12881-020-01003-3;;false;BioMed;BMC Medical Genetics;1471-2350
Duisburg Essen U;2020;2191,42;10.1186/s13011-020-00262-w;;false;BioMed;Substance Abuse Treatment, Prevention, and Policy;1747-597X
Duisburg Essen U;2020;1237,6;10.1042/BSR20200177 ;;false;Portland Press;Bioscience Reports;1573-4935
Duisburg Essen U;2020;1734,43;10.1186/s12871-020-00981-4;;false;BioMed;BMC Anesthesiology;1471-2253
Duisburg Essen U;2020;1201,69;10.3390/jmse8020105;;false;MDPI;Journal of Marine  Science and Engineering (JMSE);2077-1312
Duisburg Essen U;2020;2097,59; 10.3389/fpsyt.2020.00197;;false;Frontiers;Frontiers in Psychiatry;1664-0640
Duisburg Essen U;2020;1868,3;10.1038/s41598-020-63511-9;;false;Springer Nature;Scientific Reports;2045-2322
Duisburg Essen U;2020;2130,85;10.3389/fpsyg.2020.00317;;false;Frontiers;Frontiers in Psychology;1664-1078
Duisburg Essen U;2020;1585,82;10.1177/1756286420911295;;false;Sage;Therapeutic Advances in Neurological Disorders;1756-2864
Duisburg Essen U;2020;1959,93;10.1186/s12891-020-03266-6;;false;BioMed;BMC Musculoskeletal Disorders;1471-2474
Duisburg Essen U;2020;2010,74;10.3390/jcm9030767;;false;MDPI;Journal of Clinical Medicine;2077-0383
Duisburg Essen U;2020;1558,9;10.1016/j.heliyon.2020.e03261;;false;Elsevier;Heliyon;2405-8440
Duisburg Essen U;2020;1734,43;10.1186/s12904-020-00542-z;;false;BioMed;BMC Palliative Care;1472-684X
Duisburg Essen U;2020;1122,05;10.3390/cells9040889;;false;MDPI;Cells;2073-4409
Duisburg Essen U;2020;1014,52;10.3390/sports8040048;;false;MDPI;Sports;2075-4663
Duisburg Essen U;2020;1629,21;10.3390/cancers12051084;;false;MDPI;Cancers;2072-6694
Duisburg Essen U;2020;2013,25;10.3389/fevo.2020.00081;;false;Frontiers;Frontiers in Ecology and Evolution;2296-701X
Duisburg Essen U;2020;2013,26;10.3389/fpsyg.2020.00719;;false;Frontiers;Frontiers in Psychology;1664-1078
Duisburg Essen U;2020;2013,25;10.3389/fgene.2020.00373;;false;Frontiers;Frontiers in Genetics;1664-8021
Duisburg Essen U;2020;2013,25;10.3389/fcimb.2020.00171;;false;Frontiers;Frontiers in Cellular and Infection Microbiology;2235-2988
Duisburg Essen U;2020;1785,51;10.1371/journal.pone.0232735;;false;PLOS;PloS ONE;1932-6203
Duisburg Essen U;2020;1785,51;10.1371/journal.pone.0230869;;false;PLOS;PloS ONE;1932-6204
Duisburg Essen U;2020;2032,5;10.3390/ijms21093279;;false;MDPI;International Journal of Molecular Sciences;1422-0067
Duisburg Essen U;2020;2019,62;10.3390/ijerph17072518;;false;MDPI;International Journal of Environmental Research and Public Health;1660-4601
Duisburg Essen U;2020;1903,76;10.3389/fpsyg.2020.00869;;false;Frontiers;Frontiers in Psychology;1664-1078
Duisburg Essen U;2020;1784,49;10.1109/ACCESS.2020.2993698;;false;IEEE;IEEE Access;2169-3536
Duisburg Essen U;2020;2033,81;10.3390/jcm9051507;;false;MDPI;Journal of Clinical Medicine;2077-0383
Duisburg Essen U;2020;565,49;10.3390/robotics9020041;;false;MDPI;Robotics;2218-6581
Duisburg Essen U;2020;630,7;10.1016/j.scr.2020.101779;;false;Elsevier;Stem Cell Research;1873-5061
Duisburg Essen U;2020;2029,06;10.3390/cancers12040986;;false;MDPI;Cancers;2072-6694
Duisburg Essen U;2020;400;10.36900/suburban.v8i1/2.556 ;;false;sub\urban;sub\urban. Zeitschrift für Kritische Stadtforschung (suburban);2197-2567
Duisburg Essen U;2020;1223,14;10.1097/PR9.0000000000000810;;false;Wolters Kluwer;Pain reports;2471-2531
Duisburg Essen U;2020;1841,53;10.1186/s12877-020-1443-1;;false;BioMed;BMC Geriatrics;1471-2318
Duisburg Essen U;2020;686,61;10.4236/ojfd.2020.102009  ;;false;SCIRP;Open Journal of Fluid Dynamics;2165-3860 
Duisburg Essen U;2020;1071;10.17645/mac.v8i2.2846;;false;Cogitatio;Media and Communication;2183-2439
Duisburg Essen U;2020;630,7;10.1016/j.dib.2020.105789;;false;Elsevier;Data in brief;2352-3409
Duisburg Essen U;2020;2055,25;10.3389/fpsyg.2020.01339;;false;Frontiers;Frontiers in Psychology;1664-1078
Duisburg Essen U;2020;1730,67;10.1371/journal.pone.0234172;;false;PLOS;PloS ONE;1932-6203
Duisburg Essen U;2020;2035,76;10.3390/s20102874;;false;MDPI;Sensors;1424-8220
Duisburg Essen U;2020;800,47;10.3847/PSJ/ab93c4;;false;IOP;The Planetary Science Journal;2632-3338
Duisburg Essen U;2020;1826,19;10.1371/journal.pone.0234871;;false;PLOS;PloS ONE;1932-6203
Duisburg Essen U;2020;1904;10.1016/j.jde.2020.05.009;;yes;Elsevier;Journal of Differential Equations;1090-2732
Duisburg Essen U;2020;511,7;10.1016/j.crwh.2020.e00183;;false;Elsevier;Case Reports in Women's Health;2214-9112
Duisburg Essen U;2020;1951,96;10.3390/jcm9072060;;false;MDPI;JCM=Journal of Clinical Medicine;2077-0383
Duisburg Essen U;2020;1941,78;10.3390/ijerph17155267;;false;MDPI;IJERPH=  Journal of Environmental Research and Public Health ;1660-4601
Duisburg Essen U;2020;1923,07;10.3389/fmicb.2020.00154;;false;Frontiers;Frontiers in Microbiology;1664-302X
Duisburg Essen U;2020;1923,07;10.3389/fmicb.2020.00471;;false;Frontiers;Frontiers in Microbiology;1664-302X
Duisburg Essen U;2020;1923,07;10.3389/fimmu.2020.01200;;false;Frontiers;Frontiers in Immunology;1664-3224
Duisburg Essen U;2020;1923,07;10.3389/fspor.2020.00081;;false;Frontiers;Frontiers in Sports and Active Living;2624-9367
Duisburg Essen U;2020;1923,07;10.3389/fpsyt.2020.00569;;false;Frontiers;Frontiers in Psychiatry;1664-0640
Duisburg Essen U;2020;1923,07;10.3389/fpsyt.2020.00649;;false;Frontiers;Frontiers in Psychiatry;1664-0641
Duisburg Essen U;2020;1923,07;10.3389/fnins.2020.00726 ;;false;Frontiers;Frontiers in Neuroscience;1662-453X
Duisburg Essen U;2020;1083,57;10.3389/fcomp.2020.00028;;false;Frontiers;Frontiers in Computer Science;2624-9898
Duisburg Essen U;2020;1923,07;10.3389/fpsyg.2020.01770 ;;false;Frontiers;Frontiers in Psychology;1664-1078
Duisburg Essen U;2020;1945,95;10.3390/nano10081582;;false;MDPI;Nanomaterials;2079-4991
Duisburg Essen U;2020;748,28;10.1016/j.chbr.2020.100005;;false;Elsevier;Computers in Human Behavior;2451-9588
Duisburg Essen U;2020;1425,71;10.1136/bmjopen-2020-039646;;false;BMJ;BMJ Open;2044-6055
Duisburg Essen U;2020;833;10.1553/gw-unterricht156s5;;false;Verein; GW-Unterricht ;2414-4169
Duisburg Essen U;2020;1301,06;10.3390/pathogens9020140;;false;MDPI;Pathogens;2076-0817
Duisburg Essen U;2020;1999,2;10.2147/OPTH.S251333;;false;Dove Medical Press;Clinical Ophthalmology;1177-5483
Duisburg Essen U;2020;1999,2;10.2147/DMSO.S242553;;false;Dove Medical Press;Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy;1178-7007
Duisburg Essen U;2020;685,95;10.1155/2020/8840087;;false;Hindawi;Case Reports in Orthopedics;2090-6757
Duisburg Essen U;2020;1539,49;10.1063/5.0004261;;false;AIP;AIP Advances;2158-3226
Duisburg Essen U;2020;1923,07;10.3389/fneur.2020.00804;;false;Frontiers;Frontiers in Neurology;2673-3013
Duisburg Essen U;2020;1923,07;10.3389/fonc.2020.01377;;false;Frontiers;Frontiers in Oncology;2234-943X
Duisburg Essen U;2020;1518,18;10.3390/molecules25143253;;false;MDPI;Molecules;1420-3049
Duisburg Essen U;2020;1703,34;10.1371/journal.pone.0238133;;false;PLOS;Plos ONE;1932-6203
Duisburg Essen U;2020;966,3;10.3390/info11080399;;false;MDPI;Information;2078-2489
Duisburg Essen U;2020;1757,53;10.1109/ACCESS.2020.3017821;;false;IEEE;IEEE Access;2169-3536
Duisburg Essen U;2020;1749,07;10.3390/vaccines8030478;;false;MDPI;Vaccines;2076-393X
Duisburg Essen U;2020;1943,41;10.3390/ijms21176393;;false;MDPI;International journal of Molecular sciences;1422-0067
Duisburg Essen U;2020;1960,65;10.3389/fimmu.2020.01849;;false;Frontiers;Frontiers in Immunology;1664-3224
Duisburg Essen U;2020;1960,65;10.3389/fmicb.2020.01802;;false;Frontiers;Frontiers in Microbiology;1664-302X
Duisburg Essen U;2020;1960,65;10.3389/fped.2020.00509;;false;Frontiers;Frontiers in Pediatrics;2296-2360
Duisburg Essen U;2020;1960,65;10.3389/fimmu.2020.02046;;false;Frontiers;Frontiers in Immunology;1664-3224
Duisburg Essen U;2020;1960,65;10.3389/fimmu.2020.02063;;false;Frontiers;Frontiers in Immunology;1664-3225
Duisburg Essen U;2020;912,77;10.1080/22221751.2020.1807412;;false;Taylor & Francis;Emerging Microbes & Infections ;2222-1751
Duisburg Essen U;2020;1610,52;10.3390/polym12081824;;false;MDPI;Polymers;2073-4360
Duisburg Essen U;2020;273,14;10.1177/1024258920937960;;yes;Sage;"Transfer - European Review of Labour and Research";1996-7284
Duisburg Essen U;2020;1826,06;10.2196/15669;;false;JMIR;JMIR formative research;2561-326X
Duisburg Essen U;2020;1832,18;10.3390/polym12051202;;false;MDPI;Polymers;2073-4360
Duisburg Essen U;2020;975,98;10.3390/socsci9080135;;false;MDPI;Social Sciences;2076-0760
Duisburg Essen U;2020;1413,44;10.1136/bmjopen-2019-036466;;false;BMJ;BMJ Open;2044-6055
Duisburg Essen U;2020;947,39;10.1177/0263617420945847;;false;Sage;Adsorption Science & Technology;0263-6174
Duisburg Essen U;2020;464;10.4081/cp.2020.1257;;false;Page Press;Clinics and Practice;2039-7283
Duisburg Essen U;2020;1824,27;10.1038/s41467-020-15072-8;;false;Springer Nature;Nature Communications;2041-1723
Duisburg Essen U;2020;1425,71;10.1136/bmjopen-2019-035742;;false;BMJ;BMJ Open;2044-6055
Duisburg Essen U;2020;1934,59;10.3390/cells9092101;;false;MDPI;Cells;2073-4409
Duisburg Essen U;2020;1841,53;10.1186/s12883-020-01637-z;;false;BioMed;BMC Neurology;1471-2377
Duisburg Essen U;2020;1741,13;10.3390/polym12092101;;false;MDPI;Polymers;2073-4360
Duisburg Essen U;2020;1934,59;10.3390/s20195568;;false;MDPI;Sensors;1424-8220
Duisburg Essen U;2020;1074,77;10.3390/ijms21197259;;false;MDPI;International Journal of Molecular Sciences;1422-0067
Duisburg Essen U;2020;1942,01;10.3389/fimmu.2020.573526;;false;Frontiers;Frontiers in Immunology;1664-3224
Duisburg Essen U;2020;1942,01;10.3389/fneur.2020.540878;;false;Frontiers;Frontiers in Neurology;1664-2295
Duisburg Essen U;2020;1942,01;10.3389/fimmu.2020.565683;;false;Frontiers;Frontiers in Immunology;1664-3224
Duisburg Essen U;2020;1739,35;10.3390/en13195040;;false;MDPI;Energies;1996-1073
Duisburg Essen U;2020;1418,1;10.1088/1367-2630/abae43;;false;IOP;New Journal of Physics;1367-2630
Duisburg Essen U;2020;1960,65;10.3389/fonc.2020.01658;;false;Frontiers;Frontiers in Oncology;2234-943X
Duisburg Essen U;2020;1602,42;10.1177/2040620720933761;;false;Sage;Therapeutic Advances in Hematology;2040-6215
Duisburg Essen U;2020;1924,38;10.3389/fendo.2020.00454;;false;Frontiers;Frontiers in Endocrinology;1664-2392
Duisburg Essen U;2020;1780,13;10.1177/1753466620932507;;false;Sage;Therapeutic Advances in Respiratory Disease;1753-4666
Duisburg Essen U;2020;1741,13;10.3390/app10207154;;false;MDPI;Applied Sciences;2076-3417
Duisburg Essen U;2020;1919,24;10.3390/jcm9103298;;false;MDPI;JCM=Journal of Clinical Medicine;2077-0383
Duisburg Essen U;2020;1683,29;10.3389/fendo.2020.548877;;false;Frontiers;Frontiers in Endocrinology;1664-2392
Duisburg Essen U;2020;1934,59;10.3390/ijms21207649;;false;MDPI;IJMS= International Journal of Molecular Sciences;1422-0067
Duisburg Essen U;2020;2006,21;10.3389/fmed.2020.543372 ;;false;Frontiers;Frontiers in Medicine;2296-858X
Duisburg Essen U;2020;1269,18;10.1021/acsomega.0c03632;;false;American Chemical Society;ACS Omega;2470-1343
Duisburg Essen U;2020;1769,63;10.1109/ACCESS.2020.3029355;;false;IEEE;IEEE Access;2169-3536
Duisburg Essen U;2020;1942,01;10.3389/fonc.2020.554883;;false;Frontiers;Frontiers in Oncology;2234-943X
Duisburg Essen U;2020;1289,72;10.3390/diagnostics10110864;;false;MDPI;Diagnostics;2075-4418
Duisburg Essen U;2020;1934,59;10.3390/cells9112406;;false;MDPI;Cells;2073-4409
Duisburg Essen U;2020;199,84;10.1093/braincomms/fcaa134;;false;Oxford;Brain Communications ;2632-1297
Duisburg Essen U;2020;1741,13;10.3390/app10227971;;false;MDPI;Applied Sciences;2076-3417
Duisburg Essen U;2020;1934,59;10.3390/ijms21218279;;false;MDPI;IJMS= International Journal of Molecular Sciences;1422-0067
Duisburg Essen U;2020;1741,13;10.3390/su12219301;;false;MDPI;Sustainability;2071-1050
Duisburg Essen U;2020;1977,58;10.3390/ijerph17228320;;false;MDPI;IJERPH=  Journal of Environmental Research and Public Health ;1660-4601
Duisburg Essen U;2020;1934,59;10.3390/ijms21228563;;false;MDPI;IJMS= International Journal of Molecular Sciences;1422-0067
Duisburg Essen U;2020;1827,1;10.3390/ijms21228551;;false;MDPI;IJMS= International Journal of Molecular Sciences;1422-0067
Duisburg Essen U;2020;1939,12;10.3389/fpsyg.2020.581225;;false;Frontiers;Frontiers in Psychology;1664-1078
Duisburg Essen U;2020;1939,12;10.3389/fpsyg.2020.582054;;false;Frontiers;Frontiers in Psychology;1664-1079
Duisburg Essen U;2020;1676,48;10.3389/fonc.2020.592609;;false;Frontiers;Frontiers in Oncology;2234-943X
Duisburg Essen U;2020;1939,12;10.3389/fendo.2020.597549;;false;Frontiers;Frontiers in Endocrinology;1664-2392
Duisburg Essen U;2020;1870,83;10.3389/fpsyt.2020.542301;;false;Frontiers;Frontiers in Psychiatry;1664-0640
Duisburg Essen U;2020;1939,12;10.3389/fpsyg.2020.543388;;false;Frontiers;Frontiers in Psychology;1664-1078
Duisburg Essen U;2020;967,29;10.3390/automation1010006;;false;MDPI;Automation;2673-4052
Duisburg Essen U;2020;1934,59;10.3390/ijms21228636;;false;MDPI;IJMS= International Journal of Molecular Sciences;1422-0067
Duisburg Essen U;2020;967,29;10.3390/educsci10110332;;false;MDPI;Education sciences;2227-7102
Duisburg Essen U;2020;997,6;10.1057/s41599-020-00587-8;;false;Springer Nature;Humanities and social sciences communications;2662-9992
Duisburg Essen U;2020;1182,25;10.3390/atmos11111214;;false;MDPI;Atmosphere;2073-4433
Duisburg Essen U;2020;1972;10.3390/jcm9103163;;false;MDPI;JCM Journal of clinical medicine;2077-0383
Duisburg Essen U;2020;1975,58;10.3390/cancers12113358;;false;MDPI;Cancers;2072-6694
Duisburg Essen U;2020;1942,01;10.3389/fmars.2020.552047;;false;Frontiers;Frontiers in Marine Science;2296-7745
Duisburg Essen U;2020;2009,82;10.3390/cancers12113080;;false;MDPI;Cancers;2072-6694
Duisburg Essen U;2020;1934,59;10.3390/nano10122362;;false;MDPI;Nanomaterials;2079-4991
Duisburg Essen U;2020;1988,32;10.3390/cancers12113429;;false;MDPI;Cancers;2072-6694
Duisburg Essen U;2020;1934,59;10.3390/molecules25235466;;false;MDPI;Molecules;1420-3049
Duisburg Essen U;2020;1939,12;10.3389/fenrg.2020.604799;;false;Frontiers;Frontiers in energy research;2296-598X
Duisburg Essen U;2020;1043,71;10.3389/fams.2020.585439;;false;Frontiers;Frontiers in applied mathematics and statistics;2297-4687
Duisburg Essen U;2020;1948,8;10.2147/OPTH.S273810;;false;Dove Medical Press;Clinical Ophthalmology;1177-5483
Duisburg Essen U;2020;1934,59;10.3390/ijms21239210;;false;MDPI;ijms;1422-0067
Duisburg Essen U;2020;967,27;10.3390/children7120276;;false;MDPI;children;2227-9067
Duisburg Essen U;2020;1948,45;10.3389/fpsyt.2020.598150;;false;Frontiers;Frontiers in Psychiatry;1664-0640
Duisburg Essen U;2020;1948,45;10.3389/fnhum.2020.560860;;false;Frontiers;Frontiers in human neuroscience;1662-5161
Duisburg Essen U;2020;1948,45;10.3389/fncel.2020.601176;;false;Frontiers;Frontiers in cellular neuroscience;1662-5161
Duisburg Essen U;2020;1708,16;10.1109/ACCESS.2020.3043053;;false;IEEE;IEEE Access;2169-3536
Duisburg Essen U;2020;1948,45;10.3389/fcell.2020.611853;;false;Frontiers;Frontiers in cell and developmental biology;2296-634X
Duisburg Essen U;2020;1173,73;10.1177/2053951720980127;;false;Sage;Big Data & Society;2053-9517
Duisburg Essen U;2020;1954,98;10.1364/OE.412048;;false;OSA;Optics Express;1094-4087
Duisburg Essen U;2020;1708,16;10.1109/ACCESS.2020.3045327;;false;IEEE;IEEE Access;2169-3536
Duisburg Essen U;2020;1358,84;10.3390/healthcare9010003;;false;MDPI;Healthcare;2227-9032
Duisburg Essen U;2020;1825,03;10.1192/bjo.2020.93;;false;Cambridge University Press;BJPsych Open;2056-4724
Duisburg Essen U;2020;505,1;10.1177/1609406920963810;;false;Sage;"International Journal of Qualitative Methods";1609-4069
Duisburg Essen U;2020;1873,06;10.1186/s13014-020-01521-7;;false;BioMed;Radiation Oncology;1748-717X
Duisburg Essen U;2020;638;10.1553/gw-unterricht158s34;;false;Verein;GW-Unterricht;414-4169
Duisburg Essen U;2020;1549,11;10.21037/jtd.2020.03.73;;false;AME;Journal of Thoracic Disease;2077-6624
Duisburg Essen U;2020;1774,7;10.3390/app11010029;;false;MDPI;Applied Sciences;2076-3417
Duisburg Essen U;2020;1086,05;10.1155/2020/6726017;;false;Hindawi;BioMed Research International;2314-6141
Duisburg Essen U;2020;1881,49;10.3390/jcm10010124;;false;MDPI;JCM= Journal of Clinical Medicine;2077-0383
Duisburg Essen U;2020;1176,58;10.3390/diagnostics11010048;;false;MDPI;Diagnostics;2075-4418
Duisburg Essen U;2020;1999,84;10.1093/noajnl/vdaa158;;false;Oxford;Neuro-Oncology Advances ;2632-2498
Duisburg Essen U;2020;1755,61;10.1109/ACCESS.2020.3048289;;false;IEEE;IEEE Access;2169-3536
Duisburg Essen U;2020;2016,02;10.3389/fmicb.2020.587782;;false;Frontiers;Frontiers in Microbiology;1664-302X
Duisburg Essen U;2020;2032,5;10.3390/ijerph17093150;;false;MDPI;ijerph = International Journal of Environmental Research and Public Health ;1661-7827
Duisburg Essen U;2020;2060,32;10.3389/fpsyt.2020.592199;;false;Frontiers;Frontiers in Psychiatry;1664-0640
Duisburg Essen U;2020;1570;https://doi.org/10.1038/s41598-020-64040-1;;false;Springer Nature;Scientific Reports;2045-2322
Duisburg Essen U;2020;1673,5;https://doi.org/10.1186/s13017-020-00311-6;;false;BioMed;World Journal of Emergency Surgery;1749-7922
Duisburg Essen U;2020;2280;10.1002/ehf2.12589;;false;Wiley;ESC Heart Failure;2055-5822
Duisburg Essen U;2020;2280;10.1002/ehf2.12613;;false;Wiley;ESC Heart Failure;2055-5822
Duisburg Essen U;2020;2068;10.1111/jcmm.15235;;false;Wiley;Journal of Cellular and Molecular Medicine ;1582-4934
Duisburg Essen U;2020;1574;https://doi.org/10.1186/s13014-020-01573-9;;false;BioMed;Radiation Oncology;1748-717X
Duisburg Essen U;2020;1654,2;10.1186/s12885-020-06836-y;;false;BioMed;BMC Cancer;1471-2407
Duisburg Essen U;2020;1570;https://doi.org/10.1038/s41598-020-68701-z ;;false;Springer Nature;Scientific Reports;2045-2322
Duisburg Essen U;2020;1570;https://doi.org/10.1038/s41598-020-69240-3;;false;Springer Nature;Scientific Reports;2045-2322
Duisburg Essen U;2020;1533;10.1038/s41467-020-17563-0;;false;Springer Nature;Nature Communications;2041-1723
Duisburg Essen U;2020;1440;10.1002/ece3.6477;;false;Wiley;Ecology and Evolution;2045-7758
Duisburg Essen U;2020;1440;10.1002/open.201900367;;false;Wiley;ChemistryOpen;2191-1363
Duisburg Essen U;2020;2000;10.1111/cts.12812;;false;Wiley;Clinical and Translational Science;1752-8062
Duisburg Essen U;2020;2068;10.1111/jcmm.15349;;false;Wiley;Journal of Cellular and Molecular Medicine;1582-4934
Duisburg Essen U;2020;1803;10.1002/hep4.1520;;false;Wiley;Hepatology Communications;2471-254X
Duisburg Essen U;2020;1329;10.1002/cam4.3092;;false;Wiley;Cancer Medicine;2045-7634
Duisburg Essen U;2020;1585;10.1038/s41419-020-02755-9;;false;Springer Nature;Cell Death & Disease;2041-4889
Duisburg Essen U;2020;1329;10.1002/cam4.3448;;false;Wiley;Cancer Medicine;2045-7634
Duisburg Essen U;2020;1152;10.1002/open.202000163;;false;Wiley;ChemistryOpen;2191-1363
