institution;period;euro;doi;url;is_hybrid;publisher;journal;issn.1;issn.2;Date
Duisburg Essen U;2019;1740;10.3390/cancers11071031;;false;MDPI;Cancers;2072-6694;;Jul 19
Duisburg Essen U;2019;735;10.22495/cocv16i4art8;;false;Virtus Interpress;Corporate Ownership & Control;1810-3057;;Jul 19
Duisburg Essen U;2019;1631;10.1109/ACCESS.2019.2929243;;false;IEEE;IEEE Access;2169-3536;;Jul 19
Duisburg Essen U;2019;2030;10.3389/fmicb.2019.01498;;false;Frontiers Media;Frontiers in Microbiology;1664-302X;;Jul 19
Duisburg Essen U;2019;1148;10.3389/fpsyt.2019.00511;;false;Frontiers Media;Frontiers in Psychiatry;1664-0640;;Jul 19
Duisburg Essen U;2019;1965;10.1186/s40001-019-0385-6;;false;BioMed Central;European Journal of Medical Research;2047-783X;;Jul 19
Duisburg Essen U;2019;1714;10.1002/open.201900203;;false;MPDL / Wiley-VCH-Verl.;ChemistryOpen ;2191-1363;;Jul 19
Duisburg Essen U;2019;1904;10.1002/ehf2.12493;;false;MPDL / Wiley-VCH-Verl.;ESC Heart Failure;2055-5822;;Jul 19
Duisburg Essen U;2019;1805;10.3390/cancers11081106;;false;MDPI;Cancers;2072-6694;;Aug 19
Duisburg Essen U;2019;2004;10.1063/1.5111636;;false;AIP;Structural Dynamics;2329-7778;;Aug 19
Duisburg Essen U;2019;340;10.3390/dj7030079;;false;MDPI;Dentistry journal;2304-6767;;Aug 19
Duisburg Essen U;2019;1623;10.3389/fgene.2019.00696;;false;Frontiers Media;Frontiers in Genetics;1664-8021;;Aug 19
Duisburg Essen U;2019;1250;10.3390/vaccines7030084;;false;MDPI;Vaccines ;2076-393X;;Aug 19
Duisburg Essen U;2019;1766;10.3390/cells8080847;;false;MDPI;Cells;2073-4409;;Aug 19
Duisburg Essen U;2019;1727;10.1186/s12913-019-4381-x;;false;BioMed Central;BMC Health Services Research;1472-6963;;Aug 19
Duisburg Essen U;2019;1472;10.3390/polym11081329;;false;MDPI;Polymers;2073-4360;;Aug 19
Duisburg Essen U;2019;1897;10.3389/fmolb.2019.00070;;false;Frontiers Media;Frontiers in Molecular Biosciences;2296-889X;;Aug 19
Duisburg Essen U;2019;1755;10.1371/journal.pone.0221252;;false;PLoS;PLoS ONE;1932-6203;;Aug 19
Duisburg Essen U;2019;1775;10.3390/cells8090946;;false;MDPI;Cells;2073-4409;;Aug 19
Duisburg Essen U;2019;1752;10.1371/journal.pone.0221350;;false;PLoS;PLoS ONE;1932-6203;;Aug 19
Duisburg Essen U;2019;1775;10.3390/molecules24173100;;false;MDPI;Molecules;1420-3049;;Aug 19
Duisburg Essen U;2019;1556;10.3390/ijms20174129;;false;MDPI;International Journal of Molecular Sciences ;1422-0067;1661-6596;Aug 19
Duisburg Essen U;2019;1019;10.1039/c9ra05117a;;false;RSC;RSC Advances;2046-2069;;Aug 19
Duisburg Essen U;2019;1788;10.1038/s41598-019-48719-8;;false;Springer Nature;Scientific Reports;2045-2322;;Aug 19
Duisburg Essen U;2019;750;10.3897/zookeys.872.34278;;false;Pensoft Publishers;ZooKeys;1313-2970;;Aug 19
Duisburg Essen U;2019;1766;10.1371/journal.pone.0218230;;false;PLoS;PLoS ONE;1932-6203;;Aug 19
Duisburg Essen U;2019;1638;10.1109/ACCESS.2019.2933427;;false;IEEE;IEEE Access;2169-3536;;Aug 19
Duisburg Essen U;2019;2024;10.3389/fimmu.2019.02033;;false;Frontiers Media;Frontiers in Immunology;1664-3224;;Aug 19
Duisburg Essen U;2019;1991;10.3389/fped.2019.00358;;false;Frontiers Media;Frontiers in Pediatrics;2296-2360;;Aug 19
Duisburg Essen U;2019;1913;10.1109/ACCESS.2019.2934582;;false;IEEE;IEEE Access;2169-3536;;Aug 19
Duisburg Essen U;2019;1960;10.1186/s12877-019-1239-3;;false;BioMed Central;BMC Geriatrics;1471-2318;;Aug 19
Duisburg Essen U;2019;296;10.1177/0192513X19868750;;true;Sage;Journal of Family Issues;1552-5481;;Aug 19
Duisburg Essen U;2019;1774;10.3390/en12173332;;false;MDPI;Energies;1996-1073;;Aug 19
Duisburg Essen U;2019;1741;10.1093/gbe/evz171;;false;Oxford University Press;Genome Biology and Evolution;1759-6653;;Aug 19
Duisburg Essen U;2019;1784;10.1186/s12983-019-0316-y;;false;BioMed Central;Frontiers in Zoology;1742-9994;;Sep 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-49221-x;;false;Springer Nature;Scientific Reports;2045-2322;;Sep 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-49746-1;;false;Springer Nature;Scientific Reports;2045-2322;;Sep 19
Duisburg Essen U;2019;1574;10.3390/e21090866;;false;MDPI;Entropy;1099-4300;;Sep 19
Duisburg Essen U;2019;1771;10.3390/ijms20184505;;false;MDPI;International Journal of Molecular Sciences;1422-0067;1661-6596;Sep 19
Duisburg Essen U;2019;344;10.3390/informatics6030040;;false;MDPI;Informatics;2227-9709;;Sep 19
Duisburg Essen U;2019;1770;10.1186/s13102-019-0131-y;;false;BioMed Central;BMC Sports Science, Medicine and Rehabilitation;2052-1847;;Sep 19
Duisburg Essen U;2019;1623;10.1186/s12871-019-0846-z;;false;BioMed Central;BMC Anesthesiology;1471-2253;;Sep 19
Duisburg Essen U;2019;1753;10.1371/journal.pone.0222452 ;;false;PLoS;PLoS ONE;1932-6203;;Sep 19
Duisburg Essen U;2019;1771;10.3390/s19183923  ;;false;MDPI;Sensors;1424-8220;;Sep 19
Duisburg Essen U;2019;1551;10.3390/ijerph16193553 ;;false;MDPI;International Journal of Environmental Research and Public Health;1660-4601;;Sep 19
Duisburg Essen U;2019;976;10.3390/ph12040142 ;;false;MDPI;Pharmaceuticals;1424-8247;;Sep 19
Duisburg Essen U;2019;1852;10.3389/fncel.2019.00412;;false;Frontiers Media;Frontiers in Cellular Neuroscience;1662-5102;;Sep 19
Duisburg Essen U;2019;1991;10.3389/fimmu.2019.02190;;false;Frontiers Media;Frontiers in Immunology;1664-3224;;Sep 19
Duisburg Essen U;2019;1991;10.3389/fimmu.2019.02191;;false;Frontiers Media;Frontiers in Immunology;1664-3224;;Sep 19
Duisburg Essen U;2019;714;10.1553/gw-unterricht155s5;;false;Austrian Academy of Sciences Presss;GW Unterricht;2414-4169;;Sep 19
Duisburg Essen U;2019;309;10.1177/0894439319874684;;true;Sage;Social Science Computer Review;1552-8286;;Sep 19
Duisburg Essen U;2019;1136;10.1186/s40594-019-0189-9;;false;BioMed Central;International Journal of STEM Education;2196-7822;;Sep 19
Duisburg Essen U;2019;1638;10.1063/1.5120251;;false;AIP;AIP Advances;2158-3226;;Sep 19
Duisburg Essen U;2019;2025;10.3389/fimmu.2019.02255;;false;Frontiers Media;Frontiers in Immunology;1664-3224;;Sep 19
Duisburg Essen U;2019;1991;10.3389/fimmu.2019.02308;;false;Frontiers Media;Frontiers in Immunology;1664-3224;;Sep 19
Duisburg Essen U;2019;1085;10.3390/cancers11101499;;false;MDPI;Cancers;2072-6694;;Okt 19
Duisburg Essen U;2019;1763;10.3390/molecules24203694 ;;false;MDPI;Molecules;1420-3049;;Okt 19
Duisburg Essen U;2019;892;10.3390/cancers11101578;;false;MDPI;Cancers;2072-6694;;Okt 19
Duisburg Essen U;2019;1276;10.1038/s41467-019-12763-9;;false;Springer Nature;Nature Communications;2041-1723;;Okt 19
Duisburg Essen U;2019;1315;10.1007/s41109-019-0222-4;;false;BioMed Central / Springer;Applied Network Science;2364-8228;;Okt 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-51071-6;;false;Springer Nature;Scientific Reports;2045-2322;;Okt 19
Duisburg Essen U;2019;1753;10.3390/jcm8111803;;false;MDPI;Journal of Clinical Medicine;2077-0383;;Okt 19
Duisburg Essen U;2019;1028;10.3390/cancers11111671;;false;MDPI;Cancers;2072-6694;;Okt 19
Duisburg Essen U;2019;1558;10.3390/ijms20215397;;false;MDPI;International Journal of Molecular Sciences;1661-6596;;Okt 19
Duisburg Essen U;2019;1991;10.3389/fpsyg.2019.02178;;false;Frontiers Media;Frontiers in Psychology ;1664-1078;;Okt 19
Duisburg Essen U;2019;1991;10.3389/fcell.2019.00212;;false;Frontiers Media;Frontiers in Cell and Developmental Biology ;2296-634X;;Okt 19
Duisburg Essen U;2019;1850;10.1186/s12885-019-6183-2;;false;BioMed Central;BMC Cancer;1471-2407;;Okt 19
Duisburg Essen U;2019;1146;10.14814/phy2.14236;;false;MPDL;Physiological Reports;2051-817X;;Okt 19
Duisburg Essen U;2019;1999;10.2147/CMAR.S219872;;false;Dove Medical Press;Cancer Management and Research ;1179-1322;;Nov 19
Duisburg Essen U;2019;1499;10.1093/database/baz107;;false;Oxford University Press;Database;1758-0463;;Nov 19
Duisburg Essen U;2019;1748;10.3390/cells8111381;;false;MDPI;Cells;2073-4409;;Nov 19
Duisburg Essen U;2019;400;10.36900/suburban.v7i3.549;;false;sub\urban;sub\urban. Zeitschrift für Kritische Stadtforschung;2197-2567;;Nov 19
Duisburg Essen U;2019;1751;10.3390/ijms20225584;;false;MDPI;International Journal of Molecular Sciences;1422-0067;1661-6596;Nov 19
Duisburg Essen U;2019;1663;10.1186/s12882-019-1623-4;;false;BioMed Central;BMC Nephrology;1471-2369;;Nov 19
Duisburg Essen U;2019;2048;10.3389/fneur.2019.01166;;false;Frontiers Media;Frontiers in Neurology;1664-2295;;Nov 19
Duisburg Essen U;2019;1761;10.1371/journal.pone.0225521;;false;PLoS;PLoS ONE;1932-6203;;Nov 19
Duisburg Essen U;2019;1753;10.3390/en12224339;;false;MDPI;Energies;1996-1073;;Nov 19
Duisburg Essen U;2019;1761;10.1186/s12052-019-0112-3;;false;BioMed Central;Evolution: Education and Outreach;1936-6434;;Nov 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-53125-1;;false;Springer Nature;Scientific Reports;2045-2322;;Nov 19
Duisburg Essen U;2019;974;10.3390/educsci9040281;;false;MDIP;Education;2227-7102;;Nov 19
Duisburg Essen U;2019;1842;10.1186/s12883-019-1529-6;;false;BioMed;BMC Neurology;1471-2377;;Nov 19
Duisburg Essen U;2019;714;10.4081/or.2019.8194;;false;pagepress;Orthopedic Reviews ;2035-8164;;Dez 19
Duisburg Essen U;2019;714;10.4081/or.2019.8214;;false;pagepress;Orthopedic Reviews;2035-8164;;Dez 19
Duisburg Essen U;2019;2096;10.1177/1758835919887667;;false;Sage;Therapeutic Advances in Medical Oncology;1758-8359;;Dez 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-54650-9;;false;Springer Nature;Scientific Reports;2045-2322;;Dez 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-56000-1;;false;Springer Nature;Scientific Reports;2045-2322;;Dez 19
Duisburg Essen U;2019;1773;10.3390/biom9120876;;false;MDPI;Biomolecules;2218-273X;;Dez 19
Duisburg Essen U;2019;648;10.1155/2019/5834129;;false;Hindawi;Case Reports in Orthopedics;2090-6757;;Dez 19
Duisburg Essen U;2019;1466;10.3390/polym12010006;;false;MDIP;Polymers;2073-4360;;Dez 19
Duisburg Essen U;2019;1770;10.3390/jcm9010062;;false;MDIP;Jorunal of clinical medicine;2077-0383;;Dez 19
Duisburg Essen U;2019;1740;10.1371/journal.pone.0226547;;false;PLoS;PLoS ONE;1932-6203;;Dez 19
Duisburg Essen U;2019;2060;10.3389/fpsyt.2019.00886;;false;Frontiers ;Frontiers in Psychiatry;1664-0640;;Dez 19
Duisburg Essen U;2019;1659;10.3389/fimmu.2019.02843;;false;Frontiers ;Frontiers in Immunology;1664-3224;;Dez 19
Duisburg Essen U;2019;2027;10.3389/fmicb.2019.02869;;false;Frontiers ;Frontiers in Microbiology;1664-302X;;Dez 19
Duisburg Essen U;2019;1461;10.1515/zpch-2019-1477;;false;De Gruyter;Zeitschrift für Physikalische Chemie;2196-7156;;Dez 19
