"Institution","Period","EURO","doi","Publisher","Journal","issn.1","Date","url"
"Universität Duisburg-Essen",2013,1068,"10.1186/1742-4690-10-127","BioMed Central","Retrovirology",NA,"Nov 13",""
"Universität Duisburg-Essen",2013,1212,"10.1186/cc13132","BioMed Central","Critical Care",NA,"Nov 13",""
"Universität Duisburg-Essen",2013,1216,"10.1186/1471-2377-13-202","BioMed Central","BMC Neurology",NA,"Dez 13",""
"Universität Duisburg-Essen",2013,1212,"10.1186/1471-2415-13-81","BioMed Central","BMC Ophthalmology",NA,"Dez 13",""
"Universität Duisburg-Essen",2013,924,"10.1186/2191-219X-3-82","Springer","EJNMMI Research",NA,"Dez 13",""
"Universität Duisburg-Essen",2013,1308,"10.1186/1742-9994-10-80","BioMed Central","Frontiers in Zoology",NA,"Dez 13",""
"Universität Duisburg-Essen",2013,1657,"10.1371/journal.ppat.1003856","PLoS","PLoS Pathogens",NA,"Dez 13",""
"Universität Duisburg-Essen",2013,990,"10.1088/1367-2630/15/11/113047","IOP","New Journal of Physics",NA,"Dez 13",""
"Universität Duisburg-Essen",2013,1157,"10.1155/2014/249846","PubMed","Disease Markers ",NA,"Dez 13",""
"Universität Duisburg-Essen",2013,1016,"10.1371/journal.pone.0084562","PLoS","PLoS ONE",NA,"Dez 13",""
