"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","base.url","record.id"
"Muenchen LMU",2015,904.4,"dx.doi.org/10.1186/s13104-015-1038-7",FALSE,"Springer Science + Business Media","BMC Research Notes","1756-0500","1756-0500",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25272/","25272"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12867-015-0036-6",FALSE,"Springer Science + Business Media","BMC Molecular Biology","1471-2199",NA,"1471-2199",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25273/","25273"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12944-015-0015-4",FALSE,"Springer Science + Business Media","Lipids in Health and Disease","1476-511X",NA,"1476-511X",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25274/","25274"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12888-015-0436-7",FALSE,"Springer Science + Business Media","BMC Psychiatry","1471-244X",NA,"1471-244X",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25275/","25275"
"Muenchen LMU",2015,1827.84,"dx.doi.org/10.1186/s13100-015-0034-8",FALSE,"Springer Science + Business Media","Mobile DNA","1759-8753",NA,"1759-8753",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25276/","25276"
"Muenchen LMU",2015,1827.84,"dx.doi.org/10.1186/s13023-015-0254-5",FALSE,"Springer Science + Business Media","Orphanet Journal of Rare Diseases","1750-1172",NA,"1750-1172",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25286/","25286"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12885-015-1241-x",FALSE,"Springer Science + Business Media","BMC Cancer","1471-2407",NA,"1471-2407",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25287/","25287"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12885-015-1291-0",FALSE,"Springer Science + Business Media","BMC Cancer","1471-2407",NA,"1471-2407",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25293/","25293"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12859-015-0557-5",FALSE,"Springer Science + Business Media","BMC Bioinformatics","1471-2105",NA,"1471-2105",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25287/","25287"
"Muenchen LMU",2015,1408.96,"dx.doi.org/10.1186/s13620-015-0034-5",FALSE,"Springer Science + Business Media","Irish Veterinary Journal","2046-0481",NA,"2046-0481",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25295/","25295"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12863-015-0204-1",FALSE,"Springer Science + Business Media","BMC Genetics","1471-2156",NA,"1471-2156",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25296/","25296"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12890-015-0051-x",FALSE,"Springer Science + Business Media","BMC Pulmonary Medicine","1471-2466",NA,"1471-2466",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25297/","25297"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12885-015-1333-7",FALSE,"Springer Science + Business Media","BMC Cancer","1471-2407",NA,"1471-2407",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25298/","25298"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12883-015-0337-x",FALSE,"Springer Science + Business Media","BMC Neurology","1471-2377",NA,"1471-2377",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25299/","25299"
"Muenchen LMU",2015,1542.24,"dx.doi.org/10.1186/s12936-015-0723-2",FALSE,"Springer Science + Business Media","Malaria Journal","1475-2875",NA,"1475-2875",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25300/","25300"
"Muenchen LMU",2015,1494.64,"dx.doi.org/10.1186/s13046-015-0152-7",FALSE,"Springer Science + Business Media","Journal of Experimental & Clinical Cancer Research","1756-9966",NA,"1756-9966",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25301/","25301"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s13063-015-0736-8",FALSE,"Springer Science + Business Media","Trials","1745-6215",NA,"1745-6215",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25302/","25302"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12909-015-0381-7",FALSE,"Springer Science + Business Media","BMC Medical Education","1472-6920",NA,"1472-6920",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25304/","25304"
"Muenchen LMU",2015,1356.6,"dx.doi.org/10.1186/s10194-015-0534-4",FALSE,"Springer Science + Business Media","The Journal of Headache and Pain","1129-2369","1129-2369","1129-2377",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25305/","25305"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12862-015-0388-z",FALSE,"Springer Science + Business Media","BMC Evolutionary Biology","1471-2148",NA,"1471-2148",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25306/","25306"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12859-015-0660-7",FALSE,"Springer Science + Business Media","BMC Bioinformatics","1471-2105",NA,"1471-2105",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25307/","25307"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12917-015-0454-1",FALSE,"Springer Science + Business Media","BMC Veterinary Research","1746-6148",NA,"1746-6148",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25314/","25314"
"Muenchen LMU",2015,1356.6,"dx.doi.org/10.1186/s10194-015-0543-3",FALSE,"Springer Science + Business Media","The Journal of Headache and Pain","1129-2369","1129-2369","1129-2377",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25315/","25315"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12885-015-1491-7",FALSE,"Springer Science + Business Media","BMC Cancer","1471-2407",NA,"1471-2407",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25316/","25316"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s13014-015-0459-8",FALSE,"Springer Science + Business Media","Radiation Oncology","1748-717X",NA,"1748-717X",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25317/","25317"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12864-015-1812-x",FALSE,"Springer Science + Business Media","BMC Genomics","1471-2164",NA,"1471-2164",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25318/","25318"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12890-015-0083-2",FALSE,"Springer Science + Business Media","BMC Pulmonary Medicine","1471-2466",NA,"1471-2466",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25319/","25319"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s13063-015-0866-z",FALSE,"Springer Science + Business Media","Trials","1745-6215",NA,"1745-6215",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25320/","25320"
"Muenchen LMU",2015,1356.6,"dx.doi.org/10.1186/s10194-015-0567-8",FALSE,"Springer Science + Business Media","The Journal of Headache and Pain","1129-2369","1129-2369","1129-2377",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25558/","25558"
"Muenchen LMU",2015,1751.68,"dx.doi.org/10.1186/s12974-015-0393-6",FALSE,"Springer Science + Business Media","Journal of Neuroinflammation","1742-2094",NA,"1742-2094",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25559/","25559"
"Muenchen LMU",2015,1832.6,"dx.doi.org/10.1186/s13023-015-0339-1",FALSE,"Springer Science + Business Media","Orphanet Journal of Rare Diseases","1750-1172",NA,"1750-1172",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25560/","25560"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s13223-015-0093-x",FALSE,"Springer Science + Business Media","Allergy, Asthma & Clinical Immunology","1710-1492",NA,"1710-1492",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25561/","25561"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12868-015-0198-7",FALSE,"Springer Science + Business Media","BMC Neuroscience","1471-2202",NA,"1471-2202",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25562/","25562"
"Muenchen LMU",2015,2003.96,"dx.doi.org/10.1186/s13045-015-0213-6",FALSE,"Springer Science + Business Media","Journal of Hematology & Oncology","1756-8722",NA,"1756-8722",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25563/","25563"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12909-015-0469-0",FALSE,"Springer Science + Business Media","BMC Medical Education","1472-6920",NA,"1472-6920",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/26403/","26403"
"Muenchen LMU",2015,1899.24,"dx.doi.org/10.1186/s13072-015-0038-0",FALSE,"Springer Science + Business Media","Epigenetics & Chromatin","1756-8935",NA,"1756-8935",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/26401/","26401"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12874-015-0088-9",FALSE,"Springer Science + Business Media","BMC Medical Research Methodology","1471-2288",NA,"1471-2288",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/26400/","26400"
"Muenchen LMU",2015,799.68,"dx.doi.org/10.1186/s13561-015-0071-5",FALSE,"Springer Science + Business Media","Health Economics Review","2191-1991",NA,"2191-1991",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/26249/","26249"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12862-015-0551-6",FALSE,"Springer Science + Business Media","BMC Evolutionary Biology","1471-2148",NA,"1471-2148",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/26380/","26380"
"Muenchen LMU",2015,1751.68,"dx.doi.org/10.1186/s12974-015-0450-1",FALSE,"Springer Science + Business Media","Journal of Neuroinflammation","1742-2094",NA,"1742-2094",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/26684/","26684"
"Muenchen LMU",2015,1661.24,"dx.doi.org/10.1186/s12889-015-2555-y",FALSE,"Springer Science + Business Media","BMC Public Health","1471-2458",NA,"1471-2458",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/26685/","26685"
