"Institution","PubMed Central (PMC) ID","PubMed ID","DOI","Publisher","Journal","ISSN","is_hybrid","period","euro","Licence"
"Cardiff University","","","10.1017/s0963926815000930","Cambridge University Press","Urban History","0963-9268",TRUE,"2015","2944.48","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.bpj.2015.08.046","Cell Press","Biophysical Journal","0006-3495",TRUE,"2015","1976.58","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.neuron.2015.04.022","Cell Press","Neuron","","","2015","5397.23","CC BY"
"Cardiff University","","","10.1016/j.neuron.2015.09.025","Cell Press","Neuron","0896-6273",TRUE,"2015","5588.49","CC BY"
"","","","","","","","","","",""
"Cardiff University","","26637397","10.3727/105221615x14399878166159","Cognizant Communication Corporation","Gene Expression","1052-2166",TRUE,"2015","1360.55","None"
"Cardiff University","","","10.1242/bio.013128","Company of Biologists","Biology Open","2046-6390",FALSE,"2015","1475.60","CC BY"
"Cardiff University","PMC4696497","26542019","10.1242/jcs.175968","Company of Biologists","Journal of Cell Science","0021-9533",TRUE,"2015","4135.50","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.actbio.2015.07.009","Elsevier","Acta Biomaterialia","1742-7061",TRUE,"2015","3108.94","CC BY"
"Cardiff University","","","10.1016/j.amsu.2015.08.002","Elsevier","Annals of Medicine and Surgery","2049-0801",FALSE,"2015","670.61","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.antiviral.2015.08.003","Elsevier","Antiviral Research","0166-3542",TRUE,"2015","2416.69","CC BY"
"Cardiff University","","","10.1016/j.apcatb.2015.04.031","Elsevier","Applied Catalysis B: Environmental","","","2015","2687.33","CC BY"
"Cardiff University","","","10.1016/j.apenergy.2015.01.102","Elsevier","Applied Energy","","","2015","3531.98","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.apenergy.2015.05.099","Elsevier","Applied Energy","","","2015","3504.85","CC BY"
"Cardiff University","","","10.1016/j.apenergy.2015.10.151","Elsevier","Applied Energy","0306-2619",TRUE,"2015","3561.60","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.apgeochem.2015.05.016","Elsevier","Applied Geochemistry","","","2015","2696.03","CC BY"
"Cardiff University","","","10.1016/j.bbadis.2015.04.011","Elsevier","Biochimica Biophysica Acta Molecular Basis of Disease","","","2015","3202.02","CC BY"
"Cardiff University","","","10.1016/j.bcp.2014.12.014","Elsevier","Biochemical Pharmacology","","","2015","3010.91","CC BY"
"Cardiff University","","","10.1016/j.bios.2015.08.043","Elsevier","Biosensors and Bioelectronics","0956-5663",TRUE,"2015","3622.09","CC BY"
"Cardiff University","","","10.1016/j.canlet.2015.09.012","Elsevier","Cancer Letters","0304-3835",TRUE,"2015","2673.55","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.canlet.2015.10.036","Elsevier","Cancer Letters","0304-3835",TRUE,"2015","3019.41","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.chemgeo.2015.01.009","Elsevier","Chemical Geology","","","2015","2919.04","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.cma.2015.08.010","Elsevier","Computers and Fluids","0045-7930",TRUE,"2015","3623.70","CC BY"
"Cardiff University","","","10.1016/j.cobeha.2015.08.003","Elsevier","Current Opinion in Behavioral Sciences","2352-1546",TRUE,"2015","4140.49","CC BY"
"Cardiff University","PMC4594761","26182978","10.1016/j.coi.2015.06.002","Elsevier","Current Opinion in Immunology","0952-7915",TRUE,"2015","4091.03","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.comcom.2015.07.016","Elsevier","Computer Communications","0140-3664",TRUE,"2015","2519.94","CC BY"
"Cardiff University","","","10.1016/j.compfluid.2015.04.002","Elsevier","Computers and Fluids","","","2015","2682.41","CC BY"
"Cardiff University","","","10.1016/j.cose.2015.09.009","Elsevier","Computers & Security","0167-4048",TRUE,"2015","2566.62","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.ejmp.2015.06.003","Elsevier","Physica Medica","1120-1797",TRUE,"2015","1865.92","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.ejmp.2015.07.139","Elsevier","Physica Medica","1120-1797",TRUE,"2015","1865.92","CC BY-NC-ND"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.ejor.2015.06.002","Elsevier","European Journal of Operational Research","0377-2217",TRUE,"2015","1900.03","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.ejor.2015.07.022","Elsevier","European Journal of Operational Research","0377-2217",TRUE,"2015","1900.03","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.enpol.2015.03.011","Elsevier","Energy Policy","","","2015","2675.75","CC BY"
"Cardiff University","","","10.1016/j.enpol.2015.07.019","Elsevier","Energy Policy","0301-4215",TRUE,"2015","2624.93","CC BY"
"Cardiff University","","","10.1016/j.envpol.2015.07.010","Elsevier","Environmental Pollution","0269-7491",TRUE,"2015","2593.74","CC BY"
"Cardiff University","","","10.1016/j.epsr.2015.06.017","Elsevier","Electric Power Systems Research","0378-7796",TRUE,"2015","2670.87","CC BY"
"Cardiff University","","","10.1016/j.epsr.2015.07.015","Elsevier","Electric Power Systems Research","0378-7796",TRUE,"2015","2716.27","CC BY"
"Cardiff University","","","10.1016/j.eswa.2015.07.007","Elsevier","Expert Systems With Applications","0957-4174",TRUE,"2015","2533.38","CC BY-NC-ND"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.ica.2015.10.032","Elsevier","Inorganica Chimica Acta","0020-1693",TRUE,"2015","2989.17","CC BY"
"Cardiff University","","","10.1016/j.ijome.2015.08.001","Elsevier","International Journal of Marine Energy","2214-1669",TRUE,"2015","3292.80","CC BY"
"Cardiff University","","","10.1016/j.ijome.2015.09.002","Elsevier","International Journal of Marine Energy","2214-1669",TRUE,"2015","3208.24","CC BY"
"Cardiff University","","","10.1016/j.ijpe.2015.09.011","Elsevier","International Journal of Production Economics","0925-5273",TRUE,"2015","1997.27","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.ijrobp.2015.08.026","Elsevier","International Journal of Radiation Oncology, Biology, Physics","0360-3016",TRUE,"2015","2760.35","CC BY"
"Cardiff University","","","10.1016/j.ijscr.2015.11.002","Elsevier","International Journal of Surgery Case Reports","2210-2612",FALSE,"2015","526.85","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.isatra.2015.05.004","Elsevier","ISA Transactions","","","2015","3235.24",""
"Cardiff University","","","10.1016/j.jad.2015.06.041","Elsevier","Journal of Affective Disorders","0165-0327",TRUE,"2015","2746.23","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.jasrep.2015.08.019","Elsevier","Journal of Archaeological Science","0305-4403",TRUE,"2015","1093.10","CC BY"
"Cardiff University","","","10.1016/j.jasrep.2015.10.025","Elsevier","Journal of Archaeological Science","0305-4403",TRUE,"2015","1068.48","CC BY"
"Cardiff University","","","10.1016/j.jclepro.2015.02.084","Elsevier","Journal of Cleaner Production","","","2015","3570.33","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.jconrel.2015.10.054","Elsevier","Journal of Controlled Release","0168-3659",TRUE,"2015","3424.51","CC BY"
"Cardiff University","","","10.1016/j.jcrs.2015.10.004","Elsevier","Journal of Cataract and Refractive Surgery","0886-3350",TRUE,"2015","3301.03","CC BY"
"Cardiff University","","","10.1016/j.jelechem.2015.04.017","Elsevier","Journal of Electroanalytical Chemistry","","","2015","2789.73","CC BY"
"Cardiff University","","","10.1016/j.jher.2014.07.002","Elsevier","Journal of Hydro-environment Research","","","2015","3224.09","Unknown"
"Cardiff University","","","10.1016/j.jim.2015.01.004","Elsevier","Journal of Immunological Methods","","","2015","2983.46","CC BY"
"Cardiff University","PMC4570927","25914090","10.1016/j.jim.2015.04.011","Elsevier","Journal of Immunological Methods","0022-1759",TRUE,"2015","3166.73","CC BY"
"Cardiff University","","","10.1016/j.jneumeth.2015.08.022","Elsevier","Journal of Neuroscience Methods","0165-0270",TRUE,"2015","1989.82","CC BY"
"Cardiff University","","26335798","10.1016/j.jneumeth.2015.08.027","Elsevier","Journal of Neuroscience Methods","0165-0270",TRUE,"2015","1987.45","CC BY"
"Cardiff University","","","10.1016/j.jneumeth.2015.09.033","Elsevier","Journal of Neuroscience Methods","0165-0270",TRUE,"2015","1924.95","CC BY"
"Cardiff University","","","10.1016/j.jneumeth.2015.11.008","Elsevier","Journal of Neuroscience Methods","0165-0270",TRUE,"2015","2121.79","CC BY"
"Cardiff University","","26585242","10.1016/j.joca.2015.11.007","Elsevier","Osteoarthritis and Cartilage","1063-4584",TRUE,"2015","2428.35","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.jpeds.2015.09.043","Elsevier","Journal of Pediatrics","0022-3476",TRUE,"2015","3443.70","CC BY-NC-ND"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.leukres.2015.03.016","Elsevier","Leukemia Research","","","2015","2677.71","CC BY"
"Cardiff University","","","10.1016/j.lithos.2015.05.005","Elsevier","Lithos","","","2015","3235.24",""
"Cardiff University","","","10.1016/j.lithos.2015.11.007","Elsevier","Lithos","0024-4937",TRUE,"2015","3237.81","CC BY"
"Cardiff University","","","10.1016/j.marpolbul.2015.09.011","Elsevier","Marine Pollution Bulletin","0025-326X",TRUE,"2015","2745.23","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.midw.2015.10.013","Elsevier","Midwifery","0266-6138",TRUE,"2015","2698.17","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.molimm.2015.03.248","Elsevier","Molecular Immunology","","","2015","2354.67","CC BY"
"Cardiff University","","","10.1016/j.molonc.2015.02.003","Elsevier","Molecular Oncology","","","2015","3181.40","CC BY"
"Cardiff University","","","10.1016/j.msec.2015.02.002","Elsevier","Materials Science and Engineering: C","","","2015","2439.90","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.nano.2015.10.006","Elsevier","Nanomedicine: Nanotechnology, Biology, and Medicine","1549-9634",TRUE,"2015","3161.09","CC BY"
"Cardiff University","PMC4552171","26200251","10.1016/j.neulet.2015.07.019","Elsevier","Neuroscience Letters","0304-3940",TRUE,"2015","1889.95","CC BY"
"Cardiff University","","","10.1016/j.neuroimage.2014.12.068","Elsevier","NeuroImage","","","2015","2208.00","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1016/j.neuroimage.2015.05.011","Elsevier","NeuroImage","","","2015","2374.78","CC BY"
"Cardiff University","PMC4692513","26477657","10.1016/j.neuroimage.2015.10.023","Elsevier","NeuroImage","1053-8119",TRUE,"2015","2352.71","CC BY"
"Cardiff University","","","10.1016/j.neuropsychologia.2015.01.010","Elsevier","Neuropsychologia","","","2015","1751.43","CC BY"
"Cardiff University","","","10.1016/j.nicl.2015.02.012","Elsevier","NeuroImage: Clinical","","","2015","1325.58","CC BY"
"Cardiff University","","","10.1016/j.nicl.2015.03.005","Elsevier","NeuroImage: Clinical","2213-1582",FALSE,"2015","809.29","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.ocemod.2015.11.005","Elsevier","Ocean Modelling","1463-5003",TRUE,"2015","2698.17","CC BY"
"Cardiff University","","","10.1016/j.ophtha.2015.07.009","Elsevier","Ophthalmology","0161-6420",TRUE,"2015","3212.93","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.orhc.2015.07.002","Elsevier","Operations Research for Health Care","2211-6923",TRUE,"2015","1989.82","CC BY"
"Cardiff University","","","10.1016/j.parint.2015.11.007","Elsevier","Parasitology International","1383-5769",TRUE,"2015","2393.82","CC BY"
"Cardiff University","","","10.1016/j.patcog.2015.02.021","Elsevier","Pattern Recognition","","","2015","3342.34","CC BY"
"Cardiff University","","","10.1016/j.pec.2015.10.011","Elsevier","Patient Education and Counselling","0738-3991",TRUE,"2015","3568.41","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.placenta.2015.06.011","Elsevier","Placenta","0143-4004",TRUE,"2015","3108.94","CC BY"
"Cardiff University","","","10.1016/j.preteyeres.2015.07.001","Elsevier","Progress in Retinal and Eye Research","1350-9462",TRUE,"2015","3108.72","CC BY"
"Cardiff University","","","10.1016/j.rbmo.2015.10.007","Elsevier","Reproductive BioMedicine Online","1472-6483",TRUE,"2015","2698.17","CC BY-NC-ND"
"Cardiff University","","","10.1016/j.renene.2015.01.053","Elsevier","Renewable Energy","","","2015","3107.94","CC BY"
"Cardiff University","","","10.1016/j.renene.2015.03.016","Elsevier","Renewable Energy","","","2015","2708.19","CC BY"
"Cardiff University","","","10.1016/j.renene.2015.10.037","Elsevier","Renewable Energy","0960-1481",TRUE,"2015","2648.98","CC BY"
"Cardiff University","","","10.1016/j.soilbio.2015.02.031","Elsevier","Soil Biology and Biochemistry","","","2015","2708.17","CC BY"
"Cardiff University","","","10.1016/j.ydbio.2015.10.015","Elsevier","Developmental Biology","0012-1606",TRUE,"2015","1924.96","CC BY"
"Cardiff University","","","10.1016/j.ymssp.2015.11.026","Elsevier","Mechanical Systems and Signal Processing","0888-3270",TRUE,"2015","2720.26","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
