Institution;Period;Rechnungssumme;DOI;Hybrid;Publisher;Journaltitle;ISSN;URL
FZJ-ZB;2016;2345.10;10.1016/j.ultramic.2016.07.016;TRUE;Elsevier;Ultramicroscopy;;
FZJ-ZB;2016;1217.17;10.1155/2016/4623040;FALSE;Hindawi Publishing Corporation;Advances in Mathematical Physics;;
FZJ-ZB;2016;1165.00;10.1038/srep32104;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1950.00;10.1088/0022-3727/49/29/294003;TRUE;Institute of Physics (IOP);Journal of Physics D: Applied Physics;;
FZJ-ZB;2016;1396.00;10.1186/s12934-016-0433-7;FALSE;Biomed Central (BMC);Microbial Cell Factories;;
FZJ-ZB;2016;900.00;10.1093/nar/gkw692;FALSE;Oxford University Press;Nucleic Acid Research;;

FZJ-ZB;2016;1165.00;10.1038/srep32250;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1340.00;10.1186/s13287-015-0098-x;FALSE;Biomed Central (BMC);Stem Cell Research and Therapy;;
FZJ-ZB;2016;0.00;10.3390/coatings6040049;FALSE;MDPI;Coatings;;
FZJ-ZB;2016;1322.69;10.1371/journal.pone.0160711;FALSE;Public Library of Science (PLoS);PLoS ONE;;
FZJ-ZB;2016;1165.00;10.1038/srep32810;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1322.69;10.1371/journal.pone.0161243;FALSE;Public Library of Science (PLoS);PLoS ONE;;
FZJ-ZB;2016;1403.23;10.3390/molecules21091160;FALSE;MDPI;Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry;;
FZJ-ZB;2016;1984.31;10.1016/j.cpc.2016.08.010;TRUE;Elsevier;Computer Physics Communications;;
FZJ-ZB;2016;1165.00;10.1038/srep33474;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;716.30;10.2136/vzj2016.05.0043;TRUE;Soil Science Society of America (SSSA);Vadose Zone Journal (VZJ);;
FZJ-ZB;2016;1563.23;10.3389/fncom.2016.00076;FALSE;Frontiers;Frontiers in Computational Neuroscience;;
FZJ-ZB;2016;3112.88;10.1002/2015JD024698;TRUE;Wiley;Journal of Geophysical Research JGR / D - Atmospheres;;
FZJ-ZB;2016;1790.75;10.1021/acs.oprd.6b00232;TRUE;American Chemical Society (ACS);Organic Process Research & Development;;
FZJ-ZB;2016;1397.94;10.3390/s16101604;FALSE;MDPI;Sensors;;
FZJ-ZB;2016;698.24;http://hdl.handle.net/2128/14320;FALSE;North Sea Conference & Journal;Journal of Energy Challenges and Mechanics;;
FZJ-ZB;2016;1165.00;10.1038/srep34375;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1165.00;10.1038/srep35034;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;631.37;10.1016/j.nme.2016.09.008;FALSE;Elsevier;Nuclear Materials and Energy;;
FZJ-ZB;2016;2075.74;10.1371/journal.pcbi.1005132;FALSE;Public Library of Science (PLoS);PLoS Computational Biology;;
FZJ-ZB;2016;2345.10;10.1016/j.ultramic.2016.08.010;TRUE;Elsevier;Ultramicroscopy;;
FZJ-ZB;2016;417.00;10.1080/21663831.2016.1234516;FALSE;Taylor & Francis;Materials Research Letters;;
FZJ-ZB;2016;1355.96;10.1371/journal.pone.0163453;FALSE;Public Library of Science (PLoS);PLoS ONE;;
FZJ-ZB;2016;1044.00;10.5194/acp-16-11237-2016;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;1368.00;10.5194/acp-16-10195-2016;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;2664.00;10.5194/acp-16-9983-2016;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;1224.00;10.5194/acp-16-9381-2016;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;1080.00;10.5194/acp-16-8389-2016;FALSE;Copernicus;Atmospheric Chemistry and Physics;;
FZJ-ZB;2016;1827.00;10.5194/amt-9-3619-2016;FALSE;Copernicus;Atmospheric Measurement Techniques;;
FZJ-ZB;2016;864.00;10.5194/amt-9-3455-2016;FALSE;Copernicus;Atmospheric Measurement Techniques;;
FZJ-ZB;2016;1170.00;10.1088/1367-2630/18/11/113022;FALSE;Institute of Physics (IOP);New Journal of Physics;;
FZJ-ZB;2016;1346.04;10.1021/acsomega.6b00259;FALSE;American Chemical Society (ACS);ACS Omega;;
FZJ-ZB;2016;2248.43;10.1103/PhysRevX.6.041048;FALSE;American Physical Society (APS);Physical Review X;;
FZJ-ZB;2016;236.28;10.3390/bios7010001;FALSE;MDPI;Biosensors;;
FZJ-ZB;2016;3700.00;10.1038/ncomms14067;FALSE;Nature Publishing Group;Nature Communications;;
FZJ-ZB;2016;1410.56;10.1371/journal.pone.0164533;FALSE;Public Library of Science (PLoS);PLoS ONE;;
FZJ-ZB;2016;2501.80;10.1104/pp.16.01122;TRUE;American Society of Plant Biologists;Plant Physiology;;
FZJ-ZB;2016;1165.00;10.1038/srep38296;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1165.00;10.1038/srep39590;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1165.00;10.1038/srep39698;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1165.00;10.1038/srep39682;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1165.00;10.1038/srep36652;FALSE;Nature Publishing Group;Scientific Reports;;
FZJ-ZB;2016;1165.00;10.1038/srep39953;FALSE;Nature Publishing Group;Scientific Reports;;

FZJ-ZB;2016;3700.00;10.1038/ncomms14829;FALSE;Nature Publishing Group;Nature Communications;;
FZJ-ZB;2016;985.32;10.4236/wjns.2017.71010;FALSE;Scientific Research;World Journal of Neuroscience;;
FZJ-ZB;2016;1191.30;10.4236/jmp.2017.81005;FALSE;Scientific Research;Journal of Modern Physics;;
