"institution","period","euro","doi","is hybrid","out_out"
"Technische Universität München",2019,"1,053.47","10.1002/smtd.201900689","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/syst.201900016","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/syst.201900044","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/syst.201900052","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/wcms.1448","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/wsb.1027","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/zaac.201900228","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/zaac.201900253","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/zaac.201900292","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1029/2019WR024739","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1107/S1600576719010720","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1107/S160057671901714X","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1107/S1600577519014863","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/1365-2435.13508","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/1462-2920.14768","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/1471-0307.12686","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/cgf.13806","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/ddg.14070","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/eff.12500","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/ejh.13354","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/ejss.12927","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/gwat.12936","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/gwat.12970","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/jam.14484","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/jbi.13696","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/jbi.13699","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/jdv.16146","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/jems.12340","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/jne.12797","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/joms.12546","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/nmo.13748","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/pbr.12777","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/sjos.12444","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/tgis.12596","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/tpj.14512","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/tri.13569","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1111/xen.12560","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.15252/embj.2019101859","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ejp.1494","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ejp.1496","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ejp.1519","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ejp.1522","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/mrm.28105","TRUE",FALSE

