institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url,colour charge,cover charge,page charge,permission,reprint,submission fee,payment fee,fast track,reproduce two figures,printing cost,image charges
lu,2024,2174.99,10.3390/ma17092021,False,MDPI AG,Materials,,,,,,,,,,,,,,,
lu,2024,1089.44,10.12688/f1000research.147710.1,False,F1000 Research Limited,F1000Research,,,,,,,,,,,,,,,
lu,2024,2189.59,10.1080/16549716.2024.2336708,False,Informa UK Ltd,Global Health Action,,,,,,,,,,,,,,,
lu,2024,4837.37,10.1073/pnas.2319682121,True,National Academy of Sciences,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,,
lu,2024,4984.63,10.1073/pnas.2317747121,True,National Academy of Sciences,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,,
lu,2024,1107.3,10.5751/ES-14860-290302,False,Resilience Alliance,Ecology & Society,,,,,,,,,,,,,,,
lu,2024,2572.18,10.1016/j.mcpro.2024.100753,False,Elsevier BV,Molecular & Cellular Proteomics,,,,,,,,,,,,,,,
lu,2024,1808.78,10.7554/eLife.96941,False,eLife Sciences Publications Ltd,Stem Cells and Regenerative Medicine,,,,,,,,,,,,,,,
lu,2024,1209.4,10.1093/bjsopen/zrae035,False,University of Oxford,BJS Open,,,,,,,,,,,,,,,
lu,2024,411.97,10.3324/haematol.2023.284128,False,Ferrata Storti Foundation,Haematologica,,,,,,,,,,,,,,,
lu,2024,1003.69,10.3390/genealogy8020067,False,MDPI AG,Genealogy,,,,,,,,,,,,,,,
lu,2024,2231.4,10.3390/cells13110926,False,MDPI AG,Cells,,,,,,,,,,,,,,,
lu,2024,2381.95,10.3390/ijms25115911,False,MDPI AG,International Journal of Molecular Sciences,,,,,,,,,,,,,,,
lu,2024,2269.81,10.3390/catal14050330,False,MDPI AG,Catalysts,,,,,,,,,,,,,,,
lu,2024,345.24,10.18291/njwls.141842,False,Via University College,Nordic Journal of Working Life Studies,,,,,,,,,,,,,,,
lu,2024,1507.22,10.12688/f1000research.147107.1,False,F1000 Research Limited,F1000Research,,,,,,,,,,,,,,,
lu,2024,2871.29,10.1001/jamanetworkopen.2024.18097,False,American Medical Association,JAMA Network Open,,,,,,,,,,,,,,,
lu,2024,2741.12,10.1136/bmjopen-2023-081979,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,2059.84,10.1530/EC-23-0374,False,Bioscientifica,Endocrine Connections,,,,,,,,,,,,,,,
lu,2024,1901.51,10.1109/OJAP.2024.3388327,False,IEEE,IEEE Open Journal of Antennas and Propagation,,,,,,,,,,,,,,,
lu,2024,2764.06,10.1136/rmdopen-2023-003996,False,BMJ,RMD Open,,,,,,,,,,,,,,,
lu,2024,3086.93,10.1136/bmjpo-2024-002643,False,BMJ,BMJ Paediatrics Open,,,,,,,,,,,,,,,
lu,2024,2385.87,10.1097/GOX.0000000000005907,False,Wolters Kluwer,Plastic and Reconstructive Surgery - Global Open,,,,,,,,,,,,,,,
lu,2024,4723.44,10.1126/sciadv.ado1583,False,AAAS,Science Advances,,,,,,,,,,,,,,,
lu,2024,1860.75,10.1109/JTEHM.2024.3397739,False,IEEE,IEEE Journal of Translational Engineering in Health and Medicine,,,,,,,,,,,,,,,
lu,2024,2304.52,10.1107/S205225252400383X,False,International Union of Crystallography,IUCrJ,,,,,,,,,,,,,,,
lu,2024,2599.6,10.1016/j.mcpro.2024.100782,False,Elsevier BV,Molecular & Cellular Proteomics,,,,,,,,,,,,,,,
lu,2024,2339.39,10.1016/j.adro.2024.101531,False,Elsevier BV,Advances in Radiation Oncology,,,,,,,,,,,,,,,
lu,2024,2590.55,10.1016/j.mcpro.2024.100785,False,Elsevier BV,Molecular & Cellular Proteomics,,,,,,,,,,,,,,,
lu,2024,932.87,10.1215/00703370-11550717,False,Population Association of America,Demography,,,,,,,,,,,,,,,
lu,2024,1211.61,10.3390/educsci14060618,False,MDPI AG,Education Sciences,,,,,,,,,,,,,,,
lu,2024,2220.77,10.3390/metabo14060303,False,MDPI AG,Metabolites,,,,,,,,,,,,,,,
lu,2024,1646.46,10.3390/molecules29112650,False,MDPI AG,Molecules,,,,,,,,,,,,,,,
lu,2024,2118.37,10.3390/jpm14060583,False,MDPI AG,Journal of Personalized Medicine,,,,,,,,,,,,,,,
lu,2024,1263.49,10.12688/routledgeopenres.18158.1,False,F1000 Research Limited,Routledge Open Research,,,,,,,,,,,,,,,
lu,2024,3150.53,10.1080/08039488.2024.2366854,True,Informa UK Ltd,Nordic Journal of Psychiatry,,,,,,,,,,,,,,,
lu,2024,2780.02,10.1136/rmdopen-2024-004164,False,BMJ,RMD Open,,,,,,,,,,,,,,,
lu,2024,3037.71,10.1136/bmjsrh-2023-202162,False,BMJ,BMJ Sexual & Reproductive Health,,,,,,,,,,,,,,,
lu,2024,2760.4,10.1136/bmjph-2024-000991,False,BMJ,BMJ Public Health,,,,,,,,,,,,,,,
lu,2024,1043.55,10.4172/JClinMedCaseStud.9.2.002.,False,Research and Reviews,Journal of Clinical and Medical Case Studies,,,,,,,,,,,,,,,
lu,2024,1107.81,10.21769/BioProtoc.5020,False,Bio-Protocol LLC,BIO-PROTOCOL,,,,,,,,,,,,,,,
lu,2024,1890.02,10.2196/56388,False,JMIR,JMIR Research Protocols,,,,,,,,,,,,,,,
lu,2024,1218.54,10.1093/bjsopen/zrae071,False,University of Oxford,BJS Open,,,,,,,,,,,,,,,
lu,2024,894.3,10.5493/wjem.v14.i3.92589,False,Baishideng Publishing Group Inc,World Journal of Experimental Medicine,,,,,,,,,,,,,,,
lu,2024,2229.48,10.1364/OE.527414,False,Optica Publishing Group,Optics Express,,,,,,,,,,,,,,,
lu,2024,1972.35,10.3390/app14145989,False,MDPI AG,Applied Sciences,,,,,,,,,,,,,,,
lu,2024,2355.33,10.3390/cancers16132289,False,MDPI AG,Cancers,,,,,,,,,,,,,,,
lu,2024,2122.41,10.3390/w16121699,False,MDPI AG,Water,,,,,,,,,,,,,,,
lu,2024,2219.31,10.3390/healthcare12131285,False,MDPI AG,Healthcare,,,,,,,,,,,,,,,
lu,2024,1975.88,10.3390/foods13131982,False,MDPI AG,Foods,,,,,,,,,,,,,,,
lu,2024,2364.62,10.3390/ijms25126600,False,MDPI AG,International Journal of Molecular Sciences,,,,,,,,,,,,,,,
lu,2024,2393.43,10.3390/ijms25147672,False,MDPI AG,International Journal of Molecular Sciences,,,,,,,,,,,,,,,
lu,2024,4664.78,10.3847/1538-4357/ad43de,False,Iop Publishing Ltd/Institute O,The Astrophysical Journal,,,,,,,,,,,,,,,
lu,2024,2464.11,10.1136/rmdopen-2023-003822,False,BMJ,RMD Open,,,,,,,,,,,,,,,
lu,2024,2406.18,10.1073/pnas.2319605121,True,National Academy of Sciences,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,,
lu,2024,2723.79,10.1136/bmjopen-2023-080777,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,2436.01,10.1136/bmjopen-2023-077128,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,2289.42,10.1097/PR9.0000000000001180,False,International Association for the Study of Pain,Pain Reports,,,,,,,,,,,,,,,
lu,2024,2765.3,10.1097/WNR.0000000000002077,True,Wolters Kluwer,NeuroReport,,,,,,,460.77,,,,,,,,
lu,2024,5013.44,10.1073/pnas.2402509121,True,National Academy of Sciences,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,,
lu,2024,1412.74,10.1016/j.isci.2024.109588,False,Elsevier BV,iScience,,,,,,,,,,,,,,,
lu,2024,2719.63,10.1182/bloodadvances.2023012039,False,Elsevier BV,Blood Advances,,,,,,,,,,,,,,,
lu,2024,1404.55,10.5334/bc.438,False,Ubiquity Press Ltd,Buildings & Cities,,,,,,,,,,,,,,,
lu,2024,1998.06,10.3390/su16177333,False,MDPI AG,Sustainability,,,,,,,,,,,,,,,
lu,2024,2190.74,10.3390/jcm13164954,False,MDPI AG,Journal of Clinical Medicine,,,,,,,,,,,,,,,
lu,2024,1621.72,10.3390/biom14070844,False,MDPI AG,Biomolecules,,,,,,,,,,,,,,,
lu,2024,2414.3,10.3390/foods13152413,False,MDPI AG,Foods,,,,,,,,,,,,,,,
lu,2024,1960.79,10.3390/ijerph21070953,False,MDPI AG,International Journal of Environmental Research and Public Health,,,,,,,,,,,,,,,
lu,2024,2236.32,10.3390/fermentation10080414,False,MDPI AG,Fermentation,,,,,,,,,,,,,,,
lu,2024,1498.52,10.3390/rel15080903,False,MDPI AG,Religions,,,,,,,,,,,,,,,
lu,2024,2266.69,10.3390/microorganisms12081590,False,MDPI AG,Microorganisms,,,,,,,,,,,,,,,
lu,2024,1179.67,10.3390/genealogy8030110,False,MDPI AG,Genealogy,,,,,,,,,,,,,,,
lu,2024,1165.5,10.3390/jrfm17080334,False,MDPI AG,Journal of Risk and Financial Management,,,,,,,,,,,,,,,
lu,2024,2022.21,10.3390/children11081021,False,MDPI AG,Children,,,,,,,,,,,,,,,
lu,2024,2302.74,10.3390/jfb15080232,False,MDPI AG,Journal of Functional Biomaterials,,,,,,,,,,,,,,,
lu,2024,1832.6,10.3390/nu16172847,False,MDPI AG,Nutrients,,,,,,,,,,,,,,,
lu,2024,2768.28,10.1016/j.tranon.2024.102013,False,Elsevier BV,Translational Oncology,,,,,,,,,,,,,,,
lu,2024,1838.9,10.3847/1538-4357/ad4118,False,Iop Publishing Ltd/Institute O,The Astrophysical Journal,,,,,,,,,,,,,,,
lu,2024,3630.72,10.1136/heartjnl-2023-323681,False,BMJ,Heart,,,,,,,,,,,,,,,
lu,2024,1045.62,10.1161/CIRCRESAHA.123.323371,True,American Heart Association,Circulation Research,,,,,,,,,,,,,,,
lu,2024,2800.88,10.1001/jamanetworkopen.2024.21589,False,JAMA Network,JAMA Network Open,,,,,,,,,,,,,,,
lu,2024,3468.41,10.1136/bmjopen-2024-084836,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,4668.12,10.1001/jamaneurol.2024.2619,True,JAMA Network,JAMA Neurology,,,,,,,,,,,,,,,
lu,2024,1862.61,10.1109/JISPIN.2024.3429110,False,IEEE,IEEE Journal of Indoor and Seamless Positioning and Navigation,,,,,,,,,,,,,,,
lu,2024,1396.67,10.1109/JSTARS.2024.3425795,False,IEEE,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,,,,,,,,,,,,,
lu,2024,2847.6,10.1055/a-2405-1117,False,Thieme,Endoscopy International Open,,,,,,,,,,,,,,,
lu,2024,4173.31,10.1128/mbio.00384-24,False,American Society for Microbiology,mBio,,,,,,,,,,,,,,,
lu,2024,4668.12,10.1001/jamasurg.2024.3944,True,JAMA Network,JAMA Surgery,,,,,,,,,,,,,,,
lu,2024,3630.72,10.1136/jme-2023-109808,False,BMJ,Journal of Medical Ethics,,,,,,,,,,,,,,,
lu,2024,4173.31,10.1128/jvi.00072-24,True,American Society for Microbiology,Journal of Virology,,,,,,,,,,,,,,,
lu,2024,1096.99,10.5751/ES-15316-290325,False,Resilience Alliance,Ecology & Society,,,,,,,,,,,,,,,
lu,2024,1280.39,10.1039/D4RA02791D,False,Royal Society of Chemistry,RSC Advances,,,,,,,,,,,,,,,
lu,2024,2394.44,10.1093/brain/awae237,True,University of Oxford,Brain,,,,,,,,,,,,,,,
lu,2024,1449.0,10.5334/bc.439,False,Ubiquity Press Ltd,BUILDINGS & CITIES,,,,,,,,,,,,,,,
lu,2024,4484.72,10.1182/blood.2023021705,True,Elsevier BV,Blood,,,,,,,,,,,,,,,
lu,2024,682.06,10.1016/j.jocmr.2024.101007,False,Elsevier BV,Journal of Cardiovascular Magnetic Resonance,,,,,,,,,,,,,,,
lu,2024,4313.06,10.1172/jci.insight.179854,False,American Society for Clinical Investigation,JCI Insight,,,,,,,,,,,,,,,
lu,2024,2248.07,10.3390/polym16192734,False,MDPI AG,Polymers,,,,,,,,,,,,,,,
lu,2024,2024.66,10.3390/su16167201,False,MDPI AG,Sustainability,,,,,,,,,,,,,,,
lu,2024,2351.34,10.3390/antibiotics13080750,False,MDPI AG,Antibiotics,,,,,,,,,,,,,,,
lu,2024,2207.56,10.3390/genes15091205,False,MDPI AG,Genes,,,,,,,,,,,,,,,
lu,2024,2312.49,10.3390/cells13181585,False,MDPI AG,Cells,,,,,,,,,,,,,,,
lu,2024,3304.58,10.1148/radiol.233417,True,Radiological Society of North America,Radiology,,,,,,,,,,,,,,,
lu,2024,2074.29,10.3847/2041-8213/ad65fd,False,Iop Publishing Ltd/Institute O,The Astrophysical Journal Letters,,,,,,,,,,,,,,,
lu,2024,5055.45,10.1136/jnnp-2024-334116,True,BMJ,Journal of Neurology Neurosurgery & Psychiatry,,,,,,,,,,,,,,,
lu,2024,4504.15,10.1126/sciadv.adq4467,False,AAAS,Science Advances,,,,,,,,,,,,,,,
lu,2024,4435.93,10.1126/sciadv.adq4127,False,AAAS,Science Advances,,,,,,,,,,,,,,,
lu,2024,2715.4,10.1055/s-0044-1792169,False,Thieme,Journal of Brachial Plexus and Peripheral Nerve Injury,,,,,,,,,,,,,,,
lu,2024,764.37,10.1136/bcr-2024-261255,False,BMJ,BMJ Case Reports,,,,,,,,,,,,,,,
lu,2024,2632.39,10.1136/bmjsem-2024-002064,False,BMJ,BMJ Open Sport & Exercise Medicine,,,,,,,,,,,,,,,
lu,2024,3388.8,10.1519/JSC.0000000000005009,True,Wolters Kluwer,Journal of Strength and Conditioning Research,,,,,,,,,,,,,,,
lu,2024,602.57,10.22358/jafs/190440/2024,False,Polish Academy of Sciences,Journal of Animal and Feed Sciences,,,,,,,,,,,,,,,
lu,2024,1272.61,10.1016/j.idcr.2024.e02058,False,Elsevier BV,IDCases,,,,,,,,,,,,,,,
lu,2024,412.52,10.5334/joad.126,False,Ubiquity Press Ltd,Journal of Open Archaeology Data (JOAD),,,,,,,,,,,,,,,
lu,2024,1721.82,10.3390/healthcare12181862,False,MDPI AG,Healthcare,,,,,,,,,,,,,,,
lu,2024,2202.33,10.3390/w16202956,False,MDPI AG,Water,,,,,,,,,,,,,,,
lu,2024,2205.42,10.3390/ma17205117,False,MDPI AG,Materials,,,,,,,,,,,,,,,
lu,2024,2206.82,10.3390/w16202937,False,MDPI AG,Water,,,,,,,,,,,,,,,
lu,2024,2646.72,10.2147/CMAR.S467542,False,Dove Medical Press Ltd,Cancer Management and Research,,,,,,,,,,,,,,,
lu,2024,2875.59,10.1136/heartjnl-2024-324307,False,BMJ,Heart,,,,,,,,,,,,,,,
lu,2024,3292.19,10.1136/ijgc-2024-005694,True,Elsevier BV,International Journal of Gynecological CancerÂ (IJGC),,,,,,,,,,,,,,,
lu,2024,1761.87,10.1109/ACCESS.2024.3471177,False,IEEE,IEEE Access,,,,,,,,,,,,,,,
lu,2024,5701.51,10.1158/2326-6066.CIR-23-1092,True,AACR,Cancer Immunology Research,,,,,,,,,,,,,,,
lu,2024,2254.09,10.1158/2767-9764.CRC-24-0201,False,AACR,Cancer Research Communications,,,,,,,,,,,,,,,
lu,2024,3093.82,10.1152/japplphysiol.00446.2024,True,American Physiological Society,Journal of Applied Physiology,,,,,,,,,,,,,,,
lu,2024,1549.08,10.1152/ajplung.00138.2024,True,American Physiological Society,American Journal of Physiology-Lung Cellular and Molecular Physiology,,,,,,,,,,,,,,,
lu,2024,1365.71,10.1093/evolut/qpae119,True,Oxford University Press,Evolution,,,,,,,,,,,,,,,
lu,2024,161.0,10.33265/polar.v43.9724,False,Open Academia AB,Polar Research,,,,,,,,,,,,,,,
lu,2024,2625.0,10.29219/fnr.v68.10547,False,Open Academia AB,Food & Nutrition Research (FNR),,,,,,,,,,,,,,,
lu,2024,1651.42,10.2340/sju.v59.42176,False,Medical Journals Sweden AB,Scandinavian Journal of Urology,,,,,,,,,,,,,,,
lu,2024,1634.07,10.1364/BOE.541721,False,Optica Publishing Group,Biomedical Optics Expres,,,,,,,,,,,,,,,
lu,2024,2208.64,10.3390/jcm13216415,False,MDPI AG,Journal of Clinical Medicine,,,,,,,,,,,,,,,
lu,2024,866.54,10.3390/businesses4040046,False,MDPI AG,Businesses,,,,,,,,,,,,,,,
lu,2024,2248.39,10.3390/en17225693,False,MDPI AG,Energies,,,,,,,,,,,,,,,
lu,2024,1214.94,10.3390/wevj15120552,False,MDPI AG,World Electric Vehicle Journal,,,,,,,,,,,,,,,
lu,2024,3708.07,10.1128/aem.02223-23,True,ASM Journals,Applied and Environmental Microbiology,,,,,,,,,,,,,,,
lu,2024,2692.66,10.1136/bmjopen-2024-086689,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,3709.46,10.1097/TP.0000000000005353,True,Wolters Kluwer,Transplantation,,,,,,,,,,,,,,,
lu,2024,1866.81,10.1109/OJCOMS.2024.3488594,False,IEEE,IEEE Open Journal of the Communications Society,,,,,,,,,,,,,,,
lu,2024,1802.98,10.1680/jgrim.24.00040,True,Emerald Publishing,Ground Improvement,,,,,,,,,,,,,,,
lu,2024,2622.05,10.1073/pnas.24100481,False,National Academy of Sciences,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,,
lu,2024,2836.09,10.1136/jitc-2024-009523,False,BMJ,TheÂ Journal for ImmunoTherapy of Cancer,,,,,,,,,,,,,,,
lu,2024,5088.68,10.1073/pnas.241033112,False,National Academy of Sciences,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,,
lu,2024,1323.46,10.5751/ES-15589-290446,False,Resilience Alliance,Ecology & Society,,,,,,,,,,,,,,,
lu,2024,3030.27,10.1016/j.radmeas.2024.107233,True,Elsevier BV,Radiation Measurements,,,,,,,,,,,,,,,
lu,2024,864.75,10.3390/sexes5040045,False,MDPI AG,Sexes,,,,,,,,,,,,,,,
lu,2024,1683.5,10.3390/diagnostics14232705,False,MDPI AG,Diagnostics,,,,,,,,,,,,,,,
lu,2024,2347.88,10.3390/batteries10120443,False,MDPI AG,Batteries,,,,,,,,,,,,,,,
lu,2024,846.27,10.3390/met14121399,False,MDPI AG,Metals,,,,,,,,,,,,,,,
lu,2024,2311.45,10.1364/OE.540133,False,Optica Publishing Group,Optics Express,,,,,,,,,,,,,,,
lu,2024,172.34,10.23865/barn.v42.6442,False,Cappelen Damm AS,Barn âÂ forskning om barn og barndomÂ i Norden,,,,,,,,,,,,,,,
lu,2024,3873.9,10.1080/17501911.2024.2439782,False,Taylor & Francis,Epigenomics,,,,,,,,,,,,,,,
lu,2024,4375.58,10.1126/sciadv.adr9624,False,AAAS,Science Advances,,,,,,,,,,,,,,,
lu,2024,2855.89,10.1136/rmdopen-2024-004744,False,BMJ,RMD Open,,,,,,,,,,,,,,,
lu,2024,668.93,10.1161/STROKEAHA.124.048044,True,American Heart Association,Stroke,,,,,,,,,,,,,,,
lu,2024,2566.85,10.1136/bmjresp-2024-002666,False,BMJ,BMJ Open Respiratory Research,,,,,,,,,,,,,,,
lu,2024,2825.43,10.1017/S1047759424000254,True,Cambridge,Journal of RomanÂ Archaeology,,,,,,,,,,,,,,,
lu,2024,3846.38,10.1212/WNL.0000000000210304,True,Neurology,Electrographic and clinical determinants of good outcome after postanoxic status epilepticus,,,,,,,,,,,,,,,
