"Institution";"DOI";"period";"is_hybrid"
"VU University Amsterdam";"10.1007/s10519-015-9713-y";2015;TRUE
"VU University Amsterdam";"10.1007/s11914-015-0264-1";2015;TRUE
"University Medical Center Utrecht";"10.1007/s10151-015-1285-6";2015;TRUE
"Erasmus MC";"10.1007/s11102-015-0645-6";2015;TRUE
"Erasmus MC";"10.1007/s40271-015-0118-z";2015;TRUE
"University Medical Center Utrecht";"10.1007/s00464-015-4091-3";2015;TRUE
"Utrecht University";"10.1007/s10802-015-9974-1";2015;TRUE
"Erasmus University";"10.1007/s12232-015-0223-2";2015;TRUE
"VU University Amsterdam";"10.1007/s11914-015-0256-1";2015;TRUE
"Radboud University";"10.1007/s10566-015-9304-3";2015;TRUE
"Erasmus MC";"10.1007/s40264-015-0265-0";2015;TRUE
"University Medical Center Groningen (UMCG)";"10.1007/s11136-015-0929-3";2015;TRUE
"VU University Amsterdam";"10.1007/s11027-015-9633-4";2015;TRUE
"Utrecht University";"10.1007/s11858-015-0677-4";2015;TRUE
"University Medical Center Utrecht";"10.1007/s00330-015-3605-7";2015;TRUE
"Leiden University";"10.1007/s00268-015-3005-9";2015;TRUE
"Radboud University Medical Center";"10.1007/s00428-015-1733-8";2015;TRUE
"Maastricht University";"10.1007/s11695-015-1581-2";2015;TRUE
"VU University Amsterdam";"10.1007/s10519-015-9712-z";2015;TRUE
"University of Groningen";"10.1007/s10551-015-2571-y";2015;TRUE
"Leiden University";"10.1007/s11914-015-0266-z";2015;TRUE
"Erasmus University";"10.1007/s10648-015-9297-3";2015;TRUE
"Erasmus University";"10.1007/s11077-015-9214-0";2015;TRUE
"Maastricht University Medical Center (UMC+)";"10.1245/s10434-015-4413-7";2015;TRUE
"Wageningen University";"10.1007/s12110-015-9222-y";2015;TRUE
"Erasmus MC";"10.1007/s00223-015-9968-6";2015;TRUE
"Delft University of Technology";"10.1007/s10569-015-9603-x";2015;TRUE
"VU University Medical Center (VUmc)";"10.1007/s00401-015-1399-y";2015;TRUE
"VU University Medical Center (VUmc)";"10.1007/s10545-014-9809-1";2015;TRUE
"University of Twente";"10.1007/s00221-015-4206-z";2015;TRUE
"VU University Medical Center (VUmc)";"10.1007/s10397-015-0878-4";2015;TRUE
"University Medical Center Utrecht";"10.1007/s00428-015-1719-6";2015;TRUE
"Maastricht University Medical Center (UMC+)";"10.1007/s00345-015-1479-6";2015;TRUE
"Open University of The Netherlands";"10.1007/s11251-015-9346-9";2015;TRUE
"VU University Amsterdam";"10.1007/s11065-015-9278-9";2015;TRUE
"Delft University of Technology";"10.1007/s10111-015-0325-3";2015;TRUE
"Delft University of Technology";"10.1007/s10439-015-1271-1";2015;TRUE
"Open University of The Netherlands";"10.1007/s10459-015-9589-x";2015;TRUE
"Leiden University";"10.1007/s10549-015-3294-6";2015;TRUE
"University Medical Center Utrecht";"10.1007/s00520-015-2622-z";2015;TRUE
"VU University Amsterdam";"10.1007/s12207-015-9215-5";2015;TRUE
"VU University Amsterdam";"10.1007/s00440-015-0619-7";2015;TRUE
"VU University Amsterdam";"10.1007/s00296-015-3230-4";2015;TRUE
"Leiden University";"10.1007/s00262-015-1657-9";2015;TRUE
"University of Groningen";"10.3758/s13423-015-0807-6";2015;TRUE
"Erasmus MC";"10.1007/s11060-015-1741-1";2015;TRUE
"University of Twente";"10.1007/s11004-015-9584-z";2015;TRUE
"Erasmus MC";"10.1007/s10151-015-1265-x";2015;TRUE
"Erasmus MC";"10.1007/s00787-015-0684-6";2015;TRUE
"Maastricht University";"10.1007/s00421-015-3135-7";2015;TRUE
"Eindhoven University of Technology";"10.1007/s00454-015-9666-1";2015;TRUE
"Utrecht University";"10.1007/s10802-015-9989-7";2015;TRUE
"Erasmus University";"10.1007/s40273-015-0259-x";2015;TRUE
"Wageningen University";"10.1007/s00122-015-2480-6";2015;TRUE
"University of Groningen";"10.3758/s13415-015-0342-y";2015;TRUE
"VU University Amsterdam";"10.1007/s00221-015-4233-9";2015;TRUE
"Radboud University";"10.1007/s10750-014-2162-4";2015;TRUE
"Utrecht University";"10.1007/s00256-015-2102-z";2015;TRUE
"University Medical Center Groningen (UMCG)";"10.1007/s00134-015-3667-7";2015;TRUE
"Erasmus MC";"10.1007/s00259-014-2980-7";2015;TRUE
"University Medical Center Utrecht";"10.1007/s11938-014-0043-6";2015;TRUE
"University of Twente";"10.1007/s00291-015-0388-9";2015;TRUE
"Radboud University Medical Center";"10.1007/s10549-015-3281-y";2015;TRUE
"Radboud University Medical Center";"10.1007/s13139-015-0321-9";2015;TRUE
"Maastricht University";"10.1007/s10459-015-9585-1";2015;TRUE
"University of Groningen";"10.1007/s10803-015-2372-2";2015;TRUE
"University of Groningen";"10.1007/s11306-015-0785-8";2015;TRUE
"Leiden University";"10.1208/s12248-015-9724-x";2015;TRUE
"Radboud University";"10.1007/s11061-015-9429-5";2015;TRUE
"Maastricht University";"10.1007/s10802-015-9985-y";2015;TRUE
"Utrecht University";"10.1007/s11468-015-9900-y";2015;TRUE
"University Medical Center Utrecht";"10.1007/s00062-015-0375-1";2015;TRUE
"Maastricht University";"10.1007/s00213-015-3879-0";2015;TRUE
"Leiden University";"10.1007/s00418-015-1312-8";2015;TRUE
"Radboud University";"10.1007/s11558-015-9213-0";2015;TRUE
"Wageningen University";"10.1007/s10152-014-0419-y";2015;TRUE
"Academic Medical Center (AMC)";"10.1007/s40272-014-0116-y";2015;TRUE
"VU University Amsterdam";"10.1007/s00601-014-0943-y";2015;TRUE
"Utrecht University";"10.1007/s10649-015-9593-3";2015;TRUE
"Leiden University";"10.1007/s11634-015-0198-6";2015;TRUE
"Radboud University Medical Center";"10.1007/s00134-015-3666-8";2015;TRUE
"Wageningen University";"10.1007/s00005-015-0329-y";2015;TRUE
"Eindhoven University of Technology";"10.1007/s00607-015-0442-0";2015;TRUE
"Erasmus MC";"10.1007/s00259-014-2986-1";2015;TRUE
"VU University Medical Center (VUmc)";"10.1007/s11307-015-0826-8";2015;TRUE
"University Medical Center Utrecht";"10.1007/s10689-015-9788-x";2015;TRUE
"VU University Amsterdam";"10.1007/s40620-015-0178-0";2015;TRUE
"Leiden University";"10.1007/s00787-015-0688-2";2015;TRUE
"Erasmus MC";"10.1007/s10597-015-9839-7";2015;TRUE
"Utrecht University";"10.1007/s12061-015-9135-5";2015;TRUE
"Delft University of Technology";"10.1007/s11948-015-9634-4";2015;TRUE
"VU University Amsterdam";"10.1007/s10113-015-0771-8";2015;TRUE
"Maastricht University Medical Center (UMC+)";"10.1007/s00330-015-3607-5";2015;TRUE
"University Medical Center Groningen (UMCG)";"10.1007/s00345-015-1507-6";2015;TRUE
"Academic Medical Center (AMC)";"10.1007/s00395-015-0474-9";2015;TRUE
"Erasmus University";"10.1007/s40262-015-0239-5";2015;TRUE
"Leiden University";"10.1007/s10897-015-9822-z";2015;TRUE
"Erasmus University";"10.1007/s40273-015-0260-4";2015;TRUE
"Erasmus MC";"10.1007/s11914-015-0260-5";2015;TRUE
"Erasmus MC";"10.1007/s11605-015-2745-z";2015;TRUE
"Delft University of Technology";"10.1007/s00233-015-9689-1";2015;TRUE
"Utrecht University";"10.1007/s10677-015-9564-x";2015;TRUE
"Eindhoven University of Technology";"10.1007/s11590-015-0858-7";2015;TRUE
"Academic Medical Center (AMC)";"10.1007/s00167-015-3518-7";2015;TRUE
"Maastricht University";"10.1007/s11238-015-9486-z";2015;TRUE
"Wageningen University";"10.1007/s13225-015-0320-2";2015;TRUE
"Radboud University";"10.1007/s12021-014-9258-x";2015;TRUE
"Delft University of Technology";"10.1007/s11116-015-9584-3";2015;TRUE
"VU University Medical Center (VUmc)";"10.1007/s10554-015-0618-x";2015;TRUE
"Leiden University";"10.1007/s00402-015-2156-3";2015;TRUE
"University of Twente";"10.1007/s10804-015-9207-4";2015;TRUE
"Utrecht University";"10.1007/s13235-015-0144-4";2015;TRUE
"University of Groningen";"10.1007/s00420-015-1032-3";2015;TRUE
"Delft University of Technology";"10.1007/s12553-015-0095-1";2015;TRUE
"Academic Medical Center (AMC)";"10.1007/s00420-015-1025-2";2015;TRUE
"Erasmus MC";"10.1007/s00296-015-3235-z";2015;TRUE
"Maastricht University";"10.1007/s10389-015-0657-8";2015;TRUE
"Erasmus University";"10.1007/s11187-015-9633-5";2015;TRUE
"Delft University of Technology";"10.1007/s11948-015-9627-3";2015;TRUE
"Delft University of Technology";"10.1007/s11440-015-0366-z";2015;TRUE
"Eindhoven University of Technology";"10.1007/s12369-015-0280-4";2015;TRUE
"University of Amsterdam";"10.1007/s11557-015-1023-5";2015;TRUE
"Leiden University";"10.1007/s11136-015-0932-8";2015;TRUE
"Delft University of Technology";"10.1007/s00348-015-1909-7";2015;TRUE
"University of Twente";"10.1007/s10236-015-0809-y";2015;TRUE
"VU University Amsterdam";"10.1007/s11116-015-9580-7";2015;TRUE
"Wageningen University";"10.1007/s10336-015-1159-8";2015;TRUE
"Radboud University Medical Center";"10.1007/s00262-015-1663-y";2015;TRUE
"Wageningen University";"10.1007/s13347-015-0190-2";2015;TRUE
"Delft University of Technology";"10.1007/s11027-015-9634-3";2015;TRUE
"Delft University of Technology";"10.1007/s00348-015-1915-9";2015;TRUE
"Academic Medical Center (AMC)";"10.1007/s40257-015-0114-z";2015;TRUE
"Leiden University";"10.1007/s10741-015-9476-9";2015;TRUE
"University of Amsterdam";"10.3758/s13428-015-0563-6";2015;TRUE
"Eindhoven University of Technology";"10.1007/s00607-015-0441-1";2015;TRUE
"Utrecht University";"10.1007/s10668-015-9636-z";2015;TRUE
"Erasmus University";"10.1007/s11205-015-0897-6";2015;TRUE
"Erasmus University";"10.1007/s10826-015-0144-4";2015;TRUE
"Radboud University";"10.1007/s00259-015-3002-0";2015;TRUE
"Delft University of Technology";"10.1007/s11306-015-0781-z";2015;TRUE
"Radboud University Medical Center";"10.1007/s00262-015-1668-6";2015;TRUE
"University of Twente";"10.1007/s12289-015-1221-3";2015;TRUE
"VU University Amsterdam";"10.1140/epjd/e2015-50843-y";2015;TRUE
