"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
"","",976.87,USD,"","",2014-01-28,"","University of Glasgow","IEEE Transactions on Power Electronics ","","","","Institute of Electrical and Electronics Engineers (IEEE)",2014,"",0,"","Maximum Power Point Tracking Converter Based on the Open-Circuit Voltage Method for Thermoelectric Generators"
"","",1260,"","","",2014-01-31,"","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society",2014,"",0,"","Habitat-mediated population limitationin a colonial central-place forager:the sky is not the limit for the black-browed albatross"
"","",2548.79,EUR,"","",2014-02-03,"","University of Glasgow",Synlett,"","","",Thieme,2014,"",0,"","One-Pot Multi-Reaction Processes: Synthesis of Natural Products and Drug-Like Scaffolds"
"","",200,"","","",2014-02-03,"","University of Glasgow","cultural geographies","","","","SAGE Publications",2014,"",0,"","'No news today': talk of witnessing with families of missing people"
2618,2190.31,2190.31,EUR,"","",2014-02-04,"","University of Glasgow","Letters in Mathematical Physics","","","","Springer Nature",2014,"",0,"","Quantum cohomology via vicious and osculating walkers"
1080,896.4,896.4,EUR,"","",2014-02-06,"","University of Glasgow","European Physical Journal A","","","","EDP Sciences",2014,"",0,"","Measurement of the beam-helicity asymmetry I? in the photoproduction of  0 ±-pairs off protons and off neutrons"
2310.26,1917.51,1917.51,EUR,"","",2014-02-06,"","University of Glasgow","Sensors & Actuators A","","","","Elsevier BV",2014,"",0,"","A cymbal transducer for power ultrasonics applications "
"","",2250,"","","",2014-02-10,"","University of Glasgow","Angewandte Chemie","","","",Wiley-Blackwell,2014,"",0,"","Rapid, Label-free, Ultrasonic Isopycnic Separations of Cells for Medical Diagnostics"
"","",1500,"","","",2014-02-11,"","University of Glasgow","Financial Accountability and Management","","","",Wiley-Blackwell,2014,"",0,"","What lies beneath? The role of informal and hidden networks in the management of crises"
594,356.4,356.4,USD,"","",2014-02-11,"","University of Glasgow","The Astrophysical Journal Letters","","","","IOP Publishing",2014,"",0,"","Glitch or Anti-Glitch: a Bayesian View"
5000,3010.24,3010.24,USD,"","",2014-02-14,"","University of Glasgow",Biomacromolecules,"","","","American Chemical Society (ACS)",2014,"",0,"","How cellulose stretches: synergism between covalent and hydrogen bonding"
2218.8,1367.69,1367.69,USD,"","",2014-02-17,"","University of Glasgow","Optics Express","","","","Optical Society of America",2014,"",0,"","Dynamic stereo microscopy for studying particle sedimentation"
"","",1500,"","","",2014-02-17,"","University of Glasgow","Plant Journal","","","",Wiley-Blackwell,2014,"",0,"","Clustering of the K+ channel GORK of Arabidopsis parallels its gating by extracellular K+"
2000,1101.09,1101.09,USD,"","",2014-02-20,"","University of Glasgow","Analytical Chemistry","","","","American Chemical Society (ACS)",2014,"",0,"","Gradient Microfluidics Enables Rapid Bacterial Growth Inhibition Testing"
2221.4,1833.54,1833.54,EUR,"","",2014-02-21,"","University of Glasgow","Acta Astronautica","","","","Elsevier BV",2014,"",0,"","Experimental Investigation on Shock Wave Diffraction Over Sharp and Curved Splitters"
"","",1500,"","","",2014-02-24,"","University of Glasgow",Biometrics,"","","",Wiley-Blackwell,2014,"",0,"","A Bayesian localised conditional autoregressive model for estimating the health effects of air pollution"
1599.42,1327.52,1327.52,EUR,"","",2014-02-25,"","University of Glasgow","Personality and Individual Differences","","","","Elsevier BV",2014,"",0,"","Individual differences in pathogen disgust predict men’s, but not women’s, preferences for facial cues of weight. "
2665.69,2212.52,2212.52,EUR,"","",2014-02-27,"","University of Glasgow","Journal of Pain","","","","Elsevier BV",2014,"",0,"","Dynamic Oscillatory Signatures of Central Neuropathic Pain in Spinal Cord Injury"
"","",1609.2,"","","",2014-03-05,"","University of Glasgow","West European Politics","","","","Informa UK Limited",2014,"",0,2014,"Don't Blame the Euro: Historical Reflections on the Roots of the Eurozone Crisis"
"","",1740,"","","",2014-03-05,"","University of Glasgow","Journal of Materials Chemistry A","","","","Royal Society of Chemistry (RSC)",2014,"",0,2014,"Muon studies of Li+ diffusion in LiFePO4 nanoparticles of different polymorphs"
"","",1500,"","","",2014-03-06,"","University of Glasgow","Rapid Communications in Mass Spectrometry ","","","",Wiley-Blackwell,2014,"",0,"","Quantifying precision and accuracy on measurements of dissolved inorganic carbon stable isotopic composition using continuous-flow isotope-ratio mass spectrometry"
"","",200,"","","",2014-03-10,"","University of Glasgow","History of Psychiatry","","","","SAGE Publications",2014,"",0,"","The world is full of big bad wolves’: investigating the experimental therapeutic spaces of R.D. Laing and Aaron Esterson"
2932.26,2433.78,2433.78,EUR,"","",2014-03-13,"","University of Glasgow","Remote Sensing of Environment","","","","Elsevier BV",2014,"",0,"","Evaluating sub-pixel offset techniques as an alternative to D-InSAR for monitoring episodic landslide movements in vegetated terrain"
"","",2040,"","","",2014-03-14,"","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing",2014,"",0,"","Enhanced Characteristics of Fused Silica Fibres Using Laser Polishing"
2665.69,2185.87,2185.87,EUR,"","",2014-03-14,"","University of Glasgow","Trends in Ecology and Evolution","","","","Elsevier BV",2014,"",0,"","Assembling evidence for identifying reservoirs of infection"
2700,1593,1593,USD,"","",2014-03-20,"","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)",2014,"",0,2014,"The N-terminal region of the atypical chemokine receptor ACKR2 is a key determinant of ligand binding"
"","",200,"","","",2014-03-21,"","University of Glasgow","Statistical Methods in Medical Research","","","","SAGE Publications",2014,"",0,"","Controlling for localised spatio-temporal autocorrelation in long-term air pollution and health studies"
1954.84,1622.51,1622.51,EUR,"","",2014-03-24,"","University of Glasgow","Advances in Space Research","","","","Elsevier BV",2014,"",0,"","Development status of AEOLDOS - a deorbit module for small satellites Advances in Space Research"
"","",1500,"","","",2014-03-24,"","University of Glasgow","Equine Veterinary Journal","","","",Wiley-Blackwell,2014,"",0,"","What is needed to prevent tendon injury in equine athletes? A conversation between researchers and industry stakeholders"
"","",1500,"","","",2014-03-24,"","University of Glasgow",Small,"","","",Wiley-Blackwell,2014,"",0,"","Spatially selecting single cell for lysis using light induced electric fields "
800,587.1,587.1,USD,"","",2014-03-26,"","University of Glasgow","Plant Physiology","","","","Dartmouth Journals",2014,"",0,"","Systems analysis of guard cell membrane transport for enhanced stomatal dynamics and water use efficiency"
"","",1989,"","","",2014-01-13,"","University of Glasgow","Journal of Epidemiology and Community health","","","",BMJ,2014,"",0,"","Differences in Adiposity Trajectories by Birth Cohort and Childhood Social Class: Evidence from Cohorts born in the 1930s, 1950s and 1970s in the West of Scotland"
"","",2550,"","","",2014-01-28,"","University of Glasgow","British Medical Journal","","","",BMJ,2014,"",0,2014,"Explaining trends in Scottish coronary heart disease mortality between 2000 and 2010: socioeconomic analysis using the IMPACTSEC model. "
"","",2550,"","","",2014-01-31,"","University of Glasgow","American Journal of Epidemiology","","","","Oxford University Press (OUP)",2014,"",0,"","Early life school, neighbourhood and family influences on adult health: a multilevel cross-classified analysis of the Aberdeen Children of the 1950s study"
"","",1500,"","","",2014-02-04,"","University of Glasgow","Perspectives on Sexual and Reproductive Health","","","",Wiley-Blackwell,2014,"",0,2014,"Access to and experience of later abortion: accounts from women in Scotland"
"","",1350,"","","",2014-02-14,"","University of Glasgow","PLOS One","","","","Public Library of Science (PLoS)",2014,"",0,"","HIV prevalence and undiagnosed infection among a community sample of gay and bisexual men in Scotland"
"","",1001.48,"","","",2014-02-14,"","University of Glasgow","PLOS One","","","","Public Library of Science (PLoS)",2014,"",0,"","Understanding the development of minimum unit pricing of alcohol in Scotland: a qualitative study"
2649.78,2199.31,2199.31,EUR,"","",2014-02-17,"","University of Glasgow","Social Science & Medicine ","","","","Elsevier BV",2014,"",0,2014,"Socioeconomic and geographic inequalities in adolescent smoking: A multilevel cross-sectional study of 15 year olds in Scotland"
"","",1602.96,"","","",2014-03-03,"","University of Glasgow","FEBS Letters","","","","Elsevier BV",2014,"",0,"","The Role of c-Jun in Controlling the EPAC1-dependent Induction of the SOCS3 Gene in HUVECs"
