"Year","Institution - Abbrv","Instsitution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","APC in NOK"
2015,"BI","BI Norwegian Business School","Predicting survey responses: How and why semantics shape survey statistics on organizational behaviour","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0106361",8329.50
2015,"BI","BI Norwegian Business School","The art of dealing with religious and cultural diversity in the classroom","International Journal of Business and Management","1833-8119 / 1833-3850",1,"10.5539/ijbm.v9n10 p149",1956.08
2015,"Bioforsk","Norwegian Institute for Agricultural and Environmental Research","The genome of the generalist plant pathogen Fusarium avenaceum is enriched with genes involved in re","Plos","1932-6203",1,"10.1371/journal.pone.0112703",10673.91
2015,"Bioforsk","Norwegian Institute for Agricultural and Environmental Research","Admixture and gene flow from Russia","Plos","1932-6203",1,"10.1371/journal.pone.0097558",10673.91
2016,"FHI","Norwegian Institute of Public Health","Pneumococcal vaccination in older adults in the era of childhood vaccination: Public health insights from a Norwegian statistical prediction study","Epidemics","1755-4365",1,"10.1016/j.epidem.2015.01.001",12655.00
2016,"FHI","Norwegian Institute of Public Health","Risk factors for sporadic domestically acquired campylobacter infections in Norway 2010-2011: A national prospective case-control study","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0139636",11056.00
2016,"FHI","Norwegian Institute of Public Health","Mortality, temporary sterilization, and maternal effects of sublethal heat in bed bugs","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0127555",11897.00
2016,"FHI","Norwegian Institute of Public Health","Bias in observational studies of the association between menopausal hormone therapy and breast","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0124076",10867.00
2016,"FHI","Norwegian Institute of Public Health","Genetic and Diet-Induced Obesity Increased Intestinal Tumorigenesis in the Double Mutant Mouse Model Multiple Intestinal Neoplasia X Obese via Disturbed Glucose Regulation and Inflammation","Journal of Obesity","2090-0708",1,"10.1155/2015/343479",3718.00
2016,"FHI","Norwegian Institute of Public Health","The intrauterine and nursing period is a window of susceptibility for development of obesity and intestinal tumorigenesis by a high fat diet in Min/+ mice as adults","Journal of Obesity","2090-0708",1,"10.1155/2015/624023",6237.00
2016,"FHI","Norwegian Institute of Public Health","Peak weight an heavy velocity to age 36 months and asthma development: the Norwegian Mother and Child Cohort Study","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0116362",10098.00
2016,"FHI","Norwegian Institute of Public Health","Saffold Virus, a Human Cardiovirus, and Risk of Persistent Islet Autoantibodies in the Longitudinal Birth Cohort Study MIDIA","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0136849",11178.00
2016,"FHI","Norwegian Institute of Public Health","Sudden infant death syndrome and the genetics of inflammation","Frontiers in Immunology","1664-3224",1,"10.3389/fimmu.2015.00063",8486.00
2016,"FHI","Norwegian Institute of Public Health","Effect of maternal gestational weight gain on offspring DNA methylation: a follow-up to the ALSPAC cohort study","BMC Research Notes","1756-0500",1,"10.1186/s13104-015-1286-6",7452.00
2016,"FHI","Norwegian Institute of Public Health","Symphysis-fundus height measurement to predict small-for-gestational-age status at birth: A systematic review","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/s12884-015-0461-z",13165.00
2016,"FHI","Norwegian Institute of Public Health","Adolescent school absenteeism and service use in a population-based study","BMC Public Health","1471-2458",1,"10.1186/s12889-015-1978-9",13165.00
2016,"FHI","Norwegian Institute of Public Health","Health, health behaviors, and health dissimilarities predict divorce: results from the HUNT study","BMC Psychology","2050-7283",1,"10.1186/s40359-015-0072-5",13165.00
2016,"FHI","Norwegian Institute of Public Health","Trajectories of maternal sleep problems before and after childbirth: a longitudinal population-based study","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/s12884-015-0577-1",13613.00
2016,"FHI","Norwegian Institute of Public Health","Midlife mental distress and risk for dementia up to 27 years later: the Nord-Trøndelag Health Study (HUNT) in linkage with a dementia registry in Norway","BMC Geriatrics","1471-2318",1,"10.1186/s12877-015-0020-5",15489.00
2016,"FHI","Norwegian Institute of Public Health","Genome expansion in bacteria: The curious case of Chlamydia trachomatis","BMC Research Notes ","1756-0500",1,"10.1186/s13104-015-1464-6",7800.00
2016,"FHI","Norwegian Institute of Public Health","Ethnic inequalities in acute myocardial infarction and stroke rates in Norway 1994-2009: a nationwide cohort study (CVDNOR)","BMC Public Health","1471-2458",1,"10.1186/s12889-015-2412-z",13613.00
2016,"FHI","Norwegian Institute of Public Health","Febrile seizures after 2009 influenza A (H1N1) vaccination and infection: a nationwide registry-based study","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-015-1263-7",13613.00
2016,"FHI","Norwegian Institute of Public Health","Shiga toxin-producing escherichia coli infections in Norway, 1992-2012: characterization of isolates and identification of risk factors for haemolytic uremic syndrome","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-015-1017-6",13165.00
2016,"FHI","Norwegian Institute of Public Health","The quality of denominator data in surgical site infection surveillance versus administrative data in Norway 2005-2010","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-015-1289-x",13613.00
2016,"FHI","Norwegian Institute of Public Health","Monitoring of timely and delayed vaccinations: a nation-wide registry-based study of Norwegian children aged < 2 years","BMC Pediatrics","1471-2431",1,"10.1186/s12887-015-0487-4",13613.00
2016,"FHI","Norwegian Institute of Public Health","Peanut sensitization pattern in Norwegian children and adults with specific IgE to peanut show age related differences","Allergy, Asthma & Clinical Immunology","1710-1492",1,"10.1186/s13223-015-0095-8",13613.00
2016,"FHI","Norwegian Institute of Public Health","Use of alcohol and drugs by employees in selected business areas in Norway: a study using oral fluid testing and questionnaires","Journal of Occupational Medicine and Toxicology","1745-6673",1,"10.1186/s12995-015-0087-0",13066.00
2016,"FHI","Norwegian Institute of Public Health","Increased use of hypnotics in individuals with celiac disease: a nationwide case-control study","BMC Gastroentero-logy","1471-230X",1,"10.1186/s12876-015-0236-z",15489.00
2016,"FHI","Norwegian Institute of Public Health","Prevalence of use of non-prescription analgesics in Norwegian HUNT-3 population : impact of gender, age, exercise and prescription of opioids","BMC Public Health","1471-2458 ",1,"10.1186/s12889-015-1774-6",13165.00
2016,"FHI","Norwegian Institute of Public Health","Does suicide have a stronger association with seasonality than sunlight?","BMJ Open","2044-6055",1,"10.1136/bmjopen-2014-007403",16400.00
2015,"FHI","Norwegian Institute of Public Health","Vaccination coverage for seasonal influenza among residents and health care workers in Norwegian nursing homes during the 2012/13 season, a cross-sectional study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-434",13377.00
2015,"FHI","Norwegian Institute of Public Health","Promoting sexual and reproductive health among adolescents in southern and eastern Africa (PREPARE): Project design and conceptual framework","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-54",13377.00
2015,"FHI","Norwegian Institute of Public Health","Mental health and wellbeing in spouses of persons with dementia: the Nord-Trondelag health study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-413.",13377.00
2015,"FHI","Norwegian Institute of Public Health","Two age peaks in the incidence of chronic fatigue syndrome/myalgic encephalomyelitis: a population-based registry study from
Norway 2008-2012","BMC Medicine","1741-7015",1,"10.1186/s12916-014-0167-5",13970.00
2015,"FHI","Norwegian Institute of Public Health","Psychological distress in spouses of somatically Ill: longitudinal findings from the Nord- Trøndelag Health Study (HUNT).","Health and Quality of Health Outcomes","1477-7525",1,"10.1186/s12955-014-0139-7",11680.00
2015,"FHI","Norwegian Institute of Public Health","An evolutionary analysis of genome expansion and pathogenicity in Escherichia coli","BMC Genomics","1471-2164",1,"10.1186/1471-2164-15-882",13740.00
2015,"FHI","Norwegian Institute of Public Health","Impact of singlehood during pregnancy on dietary intake and birth outcomes - a study in the Norwegian Mother and Child Cohort Study","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/s12884-014-0396-9",13337.00
2015,"FHI","Norwegian Institute of Public Health","The influence of women's preferences and actual mode of delivery on post-traumatic stress symptoms following childbirth: a","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/1471-2393-14-191",13337.00
2015,"FHI","Norwegian Institute of Public Health","Persistent low carriage of serogroup A Neisseria meningitidis two years after mass vaccination with the","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-014-0663-4",11680.00
2015,"FHI","Norwegian Institute of Public Health","Does IQ influence Associations between ADHD Symptoms and other Cognitive Functions in young Preschoolers?","Behavioral and Brain Functions","1744-9081",1,"10.1186/1744-9081-10-16",13377.00
2015,"FHI","Norwegian Institute of Public Health","Midlife insomnia and mortality. The Hordaland Health Study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-720",13740.00
2015,"FHI","Norwegian Institute of Public Health","Delayed Sleep Phase Syndrome in Adolescents","BMC Public Health","1471-2458",1,"10.1186/1471-2458-13-1163",13377.00
2015,"FHI","Norwegian Institute of Public Health","Sleep and body mass index in adolescence. Results from a large population-based study of Norwegian adolescents aged 16 to 18 years","BMC Pediatrics","1471-2431",1,"10.1186/1471-2431-14-204",13740.00
2015,"FHI","Norwegian Institute of Public Health","Mental Health in Adolescents with Type 1 diabetes: Results From a Large Population-Based Study","BMC Endocrine Disorders","1472-6823",1,"10.1186/1472-6823-14-83",11680.00
2015,"FHI","Norwegian Institute of Public Health","Mental health in immigrant men and women in Australia: The North West Adelaine Health Study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-1111",13740.00
2015,"FHI","Norwegian Institute of Public Health","Immigrants' use of primary health care services for mental health problems","BMC Health Services Research","1472-6963",1,"10.1186/1472-6963-14-341",13377.00
2015,"FHI","Norwegian Institute of Public Health","Use of alcohol and drugs among health professionals in Norway: a study using data from questionnaires and samples of oral fluid","Journal of Occupational Medicine and Toxicology","1745-6673",1,"10.1186/1745-6673-9-8",12340.00
2015,"FHI","Norwegian Institute of Public Health","No increase in new users of
blood glucose-lowering drugs in Norway 2006-2011: a nationwide prescription database study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-520",13377.00
2015,"FHI","Norwegian Institute of Public Health","Implications of screening and childcare exclusion policies for children with Shiga-Toxin producing Escherichia coli infections: Lessons learned from an outbreak in a daycare centre, Norway, 2012","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-014-0673-2",13740.00
2015,"FHI","Norwegian Institute of Public Health","AhR and Arnt differentially regulate NF-kB signaling and chemokine responses in human bronchial epithelial cells","Cell communication and signaling : CCS","1478-811X",1,"10.1186/s12964-014-0048-8",14414.00
2015,"FHI","Norwegian Institute of Public Health","Associations of pre-pregnancy body mass index and gestational weight gain with pregnancy outcome and postpartum weight retention: a prospective observational cohort study","BMC pregnancy and childbirth","1471-2393",1,"10.1186/1471-2393-14-201",13740.00
2015,"FHI","Norwegian Institute of Public Health","Bias in the study of prediction of change: a Monte Carlo
simulation study of the effects of selective attrition and inappropriate modeling of regression toward the mean.","BMC Medical Research Methodology","1471-2288",1,"10.1186/1471-2288-14-133",11680.00
2015,"FHI","Norwegian Institute of Public Health","Long shadows: a prospective study of predictors of relationship dissolution over 17 child-rearing years","BMC Psychology","2050-7283",1,"10.1186/s40359-014-0040-5",11680.00
2015,"FHI","Norwegian Institute of Public Health","Trends in educational
inequalities in cause specific mortality in Norway from 1960 to 2010.
A turning point for educational inequalities in cause specific mortality of Norwegian men after the millennium?","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-1208",13740.00
2015,"FHI","Norwegian Institute of Public Health","Evaluation of four ESBLscreening media on their ability to detect ESBL-producing Salmonella and Shigella","BMC Microbiology","1471-2180",1,"10.1186/s12866-014-0217-3",11680.00
2015,"FHI","Norwegian Institute of Public Health","Long-term storage of blood RNA collected in RNA stabilizing Tempus tubes in a large biobank - evaluation of RNA quality and stability.","BMC research notes","1756-0500",1,"10.1186/1756-0500-7-633",6610.00
2015,"FHI","Norwegian Institute of Public Health","Underuse of medication for circulatory disorders among unmarried women and men in Norway?","BMC pharmacology & toxicology","2050-6511",1,"10.1186/2050-6511-15-65",11680.00
2015,"FHI","Norwegian Institute of Public Health","Are the Norwegian health research investments in line with the disease burden?","Health research policy and systems","1478-4505",1,"10.1186/1478-4505-12-64.",12031.00
2015,"FHI","Norwegian Institute of Public Health","Evolution of extensively drug resistant Mycobacterium tuberculosis from a susceptible ancestor in a single patient","Genome Biology","1474-760x",1,"10.1186/s13059-014-0490-3",11830.00
2015,"FHI","Norwegian Institute of Public Health","Compliance of mothers following recommendations to breastfeed or withhold breast milk during rotavirus vaccination in North India: a randomized clinical trial.","Trials","1745-6215",1,"10.1186/1745-6215-15-256",11562.00
2015,"FHI","Norwegian Institute of Public Health","Time to first consultation, diagnosis and treatment of TB among patients attending a referral hospital in Bahir Dar, Ethiopia","BMC Infectious Diseases","1471-2334",1,"10.1186/1471-2334-14-19",13377.00
2015,"FHI","Norwegian Institute of Public Health","Mixed impact of firearms restrictions on fatal firearm injuries in males: A national observational study","International Journal of Environmental Research and Public Health","1660-4601",1,"10.3390/ijerph110100487",10128.00
2015,"FHI","Norwegian Institute of Public Health","Can insomnia in pregnancy predict postpartum depression? A longitudinal, population-based study","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0094674",8060.00
2015,"FHI","Norwegian Institute of Public Health","The developmental relationship between language and motor performance from 3 to 5 years of age: a prospective longitudinal population study","BMC Psychology","2050-7283",1,"10.1186/s40359-014-0034-3",12040.00
2015,"FHI","Norwegian Institute of Public Health","Differential NF-κB and MAPK activation underlies fluoride- and TPA-mediated CXCL 8 (IL-8) induction in lung epithelial cells","Journal of Inflammation Research","1178-7031",1,"10.2147/JIR.S69646",11366.00
2015,"FHI","Norwegian Institute of Public Health","High throughput sample processing and automated scoring.","Frontiers in Genetics","1664-8021",1,"10.3389/fgene.2014.00373",8158.00
2015,"FHI","Norwegian Institute of Public Health","Can exposure to environmental chemicals increase the risk of diabetes type 1 development","BioMed Research International","2314-6133",1,"10.1155/2015/208947",11651.00
2015,"FNI","Fridtjof Nansen Institute","Seasonal-­‐to-­‐decadalnopredictions with the ensembleor","Tellus Series A","1600-0870",2,"http://dx.doi.org/10.3402/tellusa.v66.21074 ",10430.85
2015,"FNI","Fridtjof Nansen Institute","Global climate models' bias in surface temperatu ","Environmental Resear ","1748-9326",1,"doi:10.1088/1748-­‐9326/9/11/114024",12922.85
2015,"FNI","Fridtjof Nansen Institute","The impact of snow depth, snow density and ice density on sea ice thickness retrieval from satellite radar al>metry: results from the ESA-­‐ nCCIeSea Ice ECV Project Round Robin Exercise","The Cryosphere","1725­1740",2,"doi:10.5194/tc-­‐9-­‐37-­‐2015",12856.02
2015,"FNI","Fridtjof Nansen Institute","Northern Hemisphere storminess in the Norwegi anD","GeoscientificemModelde","1991-9603",2,"doi:10.5194/gmdd-­‐7-­‐8975-­‐2014",9026.83
2016,"GenØk","GenØk - Centre for Biosafety","Seeing GMOs from a Systems Perspective: The Need for Comparative Cartographies of Agri/Cultures for Sustainability Assessment","Sustainability ","2071-1050",1,"10.3390/su70811321",10293.00
2016,"GenØk","GenØk - Centre for Biosafety","Antibacterial activity of Citrus limonium fruit juice extract.","Pakistan  Journal of Pharmaceutical Sciences","1011-601X",1,,1248.00
2016,"GenØk","GenØk - Centre for Biosafety","The Séralini affair: the rise of Re-Science?","Environmental Sciences Europe ","2190-4715",1,"10.1186/s12302-015-0049-2 ",8998.00
2016,"GenØk","GenØk - Centre for Biosafety","Glyphosate-residues in Roundup-ready soybean impair D. magna life-cycle","Journal of Agricultural Chemistry and Environment ","2325-744X",0,"10.4236/jacen.2015.41003 ",3717.00
2015,"Genøk","GenØk - Centre for Biosafety","?","Food Chemistry","0308-8146",1,"10.1016/j.foodchem.2013.12.054",13964.00
2015,"Genøk","GenØk - Centre for Biosafety","?","PLOS One","1932-6203",1,"10.1371/journal.pone.0116147",10431.10
2015,"Genøk","GenØk - Centre for Biosafety","?","Science and Engineering Ethics","1353-3452",1,"10.1007/s11948-­‐014-­‐9602-­‐4",18652.77
2015,"Genøk","GenØk - Centre for Biosafety","?","Virology Journal","1743-422X",1,"10.1186/1743-­‐422X-­‐11-­‐119",14743.55
2016,"Havforsk","Institute of Marine Research","The vgll3 Locus Controls Age at Maturity in Wild and Domesticated Atlantic Salmon(Salmo salar L.) Males","PLoS Genetics","1553-7390",2,"10.1371/journal.pgen.1005628",18563.91
2016,"Havforsk","Institute of Marine Research","Unexpected interaction with dispersed crude oil droplets drives severe toxicity in atlantic haddock embryos","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0124376",13894.31
2016,"Havforsk","Institute of Marine Research","The frequency of spontaneous triploidy in farmed_x000D_
Atlantic salmon produced in Norway during the_x000D_
period 2007–2014","BMC Genetics","1471-2156",1,"10.1186/s12863-015-0193-0",19770.04
2016,"Havforsk","Institute of Marine Research","Use of fatty acid profiles to monitor the escape history of farmed Atlantic salmon","Aquaculture Environment Interactions","1869-215X",1,"10.3354/aei00132",11879.69
2016,"Havforsk","Institute of Marine Research","The principles of buoyancy in marine fish eggs and their vertical distributions across the world oceans","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0138821",11327.94
2016,"Havforsk","Institute of Marine Research","A review of the battle for food in the Barents Sea: cod vs. marine mammals","Frontiers in Ecology and Evolution","2296-701X",1,"10.3389/fevo.2015.00029",10334.35
2016,"Havforsk","Institute of Marine Research","Investigating Population Genetic Structure in a Highly Mobile Marine Organism: The Minke Whale Balaenoptera acutorostrata acutorostrata in the North East Atlantic","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0108640",14178.35
2016,"Havforsk","Institute of Marine Research","Recent changes in distribution and relative abundance of cetaceans in the Norwegian Sea and their relationship with potential prey","Frontiers in Ecology and Evolution","2296-701X",1,"10.3389/fevo.2014.00083",10108.20
2016,"Havforsk","Institute of Marine Research","Latitudinal Gradient in Otolith Shape among Local Populations of Atlantic Herring (Clupea harengus L.) in Norway","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0130847",13111.88
2016,"Havforsk","Institute of Marine Research","Atlantic salmon Salmo salar instantaneously follow vertical light movements in sea cages","Aquaculture Environment Interactions","1869-215X",1,"10.3354/aei00136",8971.63
2016,"Havforsk","Institute of Marine Research","Effect of temperature on the metabolism, behaviour and oxygen requirements of Sparus aurata","Aquaculture Environment Interactions","1869-215X",1,"10.3354/aei00141",12962.81
2016,"Havforsk","Institute of Marine Research","Fast water currents reduce production performance of post-smolt Atlantic salmon Salmo salar","Aquaculture Environment Interactions","1869-215X",1,"10.3354/aei00143",12772.34
2016,"Havforsk","Institute of Marine Research","Characteristics of the Norwegian Coastal Current during Years with High Recruitment of Norwegian Spring Spawning Herring (Clupea harengus L.)","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0144117",14623.04
2016,"Havforsk","Institute of Marine Research","Size dependent male reproductive tactic in the two-spotted goby (Gobiusculus flavescens)","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0143487",14623.04
2016,"Hbv - Hsn","University College of Southeast Norway","Maternal Health Coping Strategies of Migrant Women in Norway","Nursing research and practice","2090-1429",1,"10.1155/2015/878040",6883.00
2016,"Hbv - Hsn","University College of Southeast Norway","Students' evaluation of a computerized patient simulator in nursing education and its effect on the results of preclinical tests","Journal of Nursing Education and Practice","1925-4040",1,"10.5430/jnep.v5n7p1",2500.00
2016,"Hbv - Hsn","University College of Southeast Norway","The Influence of Clinical Supervision and its Potential for Enchanging Patient Safety - Undergraduate Nursing Students' views","Journal of Nursing Education and Practice","1925-4040",1,"10.5430/jnep.v5n6p87",2800.00
2016,"Hbv - Hsn","University College of Southeast Norway","Depressed Older Patients' Need for and Expectations of Improved Health Services - An evaluative approach to the Chronic Care Model (CCM)","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.54041",8299.52
2016,"Hbv - Hsn","University College of Southeast Norway","A Variable Depth Search Algorithm for Binary Constraint Satisfaction Problems","Mathematical problems in engineering ","1563-5147",1,"10.1155/2015/637809",16709.07
2016,"Hbv - Hsn","University College of Southeast Norway","Evaluating Improvement in the Care of Depressed Elderly Patients: An Empirical Approach to the WHO Patient Safety Model","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.55043",8424.72
2016,"Hbv - Hsn","University College of Southeast Norway","Patient's role in their own safety - a systematic review of patient involvement in safety","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.57068",8374.39
2016,"Hbv - Hsn","University College of Southeast Norway","Evaluation nursing students' views of improved competence development after clinical supervision: An educative approach to the WHO Patient Safety Model","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.58075",8495.22
2016,"Hbv - Hsn","University College of Southeast Norway","Social media and management fashions","Cogent Business & Management","2331-1975",1,"10.1080/23311975.2015.1122256",6517.35
2016,"Hbv - Hsn","University College of Southeast Norway","Introduction to Non Commutative Algebraic Geometry","Journal of Physical Mathematics","2090-0902",1,"10.4172/2090-0902.1000133",4490.00
2016,"Hbv - Hsn","University College of Southeast Norway","Physical Interpretation of Noncommutative Algebraic Varieties","Journal of Physical Mathematics","2090-0902",1,"10.4172/2090-0902.1000132",4490.00
2016,"Hbv - Hsn","University College of Southeast Norway","Patient Safety, Adverse Healthcare Events and Near-Misses in Obstetric Care – A Systematic Literature Review","Open Journal of Nursing","2162-5344",1,"10.4236/ojn.2015.512118",9076.08
2016,"HiB","Bergen University College","Loneliness, loss and social support among cognitively intact older people with cancer living in nursing homes ? a mixed-methods study","Clinical Intervention in Ageing","1178-1998",1,"10.2147/CIA.S88404",16571.33
2016,"HiB","Bergen University College","Calculation of first-law and second-law-efficiency of a Norwegian combined heat and power facility driven by municipal waste incineration - a case study","Energy Conversion and Management","1879-2227",2,"doi:10.1016/j.enconman.2015.02.026",4666.70
2016,"HiB","Bergen University College","Learning transitions - a descriptive study of nurses' experiences during advanced level nursing education ","BMC Nursing","1472-6955",1,"DOI: 10.1186/s12912-015-0080-z",15549.88
2016,"HiB","Bergen University College","Impact of a Multifaceted and Clinically Integrated Training Program in Evidence-Based Practice on Knowledge, Skills, Beliefs and Behaviour among Clinical Instructors in Physiotherapy: A Non-Randomized Controlled Study ","PLOS ONE","1932-6203",1,"DOI: 10.1371/journal.pone.0124332",10833.00
2016,"HiB","Bergen University College","Assessing fear of hypoglycemia in a population-based study among parents of children with type 1 diabetes - psychometric properties of the Hypoglycemia Fear Survey - Parent version","BMC Endocrin Disorders","1472-6823",1,"DOI: 10.1186/1472-6823-15-2",15908.75
2016,"HiB","Bergen University College","Marital Quality and Stress in Pregnancy Predict the Risk of Infectious Disease in the Offspring: The Norwegian Mother and Child Cohort Study","Plos One","1932-6203",1,"DOI: 10.1371/journal.pone.0137304",11422.89
2016,"HiB","Bergen University College","The Views of 5-12 Grade Pupils and Teachers on Cyberbullying Prevention in Lithuanian Schools","Universal Journal of Educational Research","2332-3213",1,"DOI: 10.13189/ujer.2015.031201",1705.94
2016,"HiB","Bergen University College","Study protocol for a multicenter investigation of reablement in Norway","BMC Geriatrics","1471-2318",1,"DOI: 10.1186/s12877-015-0108-y",17831.00
2016,"HiB","Bergen University College","Reablement in community-dwelling older adults: A randomised controlled trial","BMC Geriatrics","1471-2318",1,"DOI: 10.1186/s12877-015-0142-9",18475.74
2016,"HiB","Bergen University College","Involving people with diabetes and the wider community in diabetes research: a realist review protocol","BMC Systematic Reviews","2046-4053",1,"DOI: 10.1186/s13643-015-0127-y",19687.70
2015,"HiB","Bergen University College","Reablement in community-dwelling adults. A study protocol for a randomized controlled trial","BMC Geriatrics","1471-2318",1,"doi:10.1186/1471-2318-14-139 
",15670.00
2015,"HiB","Bergen University College","Effect of telemedicine follow up care of leg and foot ulcers
","BMC Health Se","1472-6963",2,"doi:10.1186/s12913-014-0565-6 ",13665.00
2015,"HiB","Bergen University College","Assessment of quality in psychiatric nursing documentation","BioMed Centra","1472-6955",1,"doi:10.1186/1472-6955-13-32 ",15936.25
2015,"HiB","Bergen University College","Relationship Satisfaction Reduces the Risk of Maternal Infectious Diseases in Pregnancy: the Norw","Plos One ","1932-6203",1,"DOI: 10.1371/journal.pone.0116796 ",10138.50
2016,"HiH","Harstad University College","Patients’ perceptions of palliative care: adaptation of the Quality from the Patient’s Perspective instrument for use in palliative care, and description of patients’ perceptions of care received","BMC Palliative Care","1472-684X",1,"10.1186/s1204-015-0049-4",17997.22
2016,"HiH","Harstad University College","Opioid dependency rehabilitation with the opioid maintenance treatment programme - a qualitative study from the clients’ perspective","Substance Abuse Treatment, Prevention, and Policy","1747-597X",1,"10.1186/s13011-015-0031-4",795.00
2015,"HiH","Harstad University College","Green CareeFr","Sage Open","2158-2440",1,"10.1177/2158",794.00
2015,"HiH","Harstad University College","dNarratives of I","International J","1661-7827",1,"i10.3390/ijerpt",10624.80
2015,"HiH","Harstad University College","Nurses' and CaBMC","WNursingE","1472-6955",1,"10.1186/1472-E",14142.76
2016,"HiMo","Molde University College","Econometric modelling of the variations of Norway’s export trade across continents and over time : the two stage non-full rank hierarchical linear econometric model approach","Economics Research International","2090-2123",1,"10.1155/2015/791805",8358.58
2016,"HiMo","Molde University College","Service users’ experiences and views of aggressive situations in mental health care: a systematic review and thematic synthesis of qualitative studies","Journal of Multidisciplinary Healthcare ","1178-2390",1,"10.2147/JMDH.S89486",3639.36
