"period","euro","publisher","journal_full_title","issn","doi","is_hybrid","base_url"
2019,"6,842","Cell Press","Molecular Cell","1097-2765","https://doi.org/10.1016/j.molcel.2018.12.016",TRUE,"https://edoc.mdc-berlin.de/18034/"
2019,"3,340","Company of Biologists","Development","0950-1991","https://doi.org/10.1242/dev.175265",TRUE,"https://edoc.mdc-berlin.de/18135/"
2019,"1,692","Cell Press","Biophysical Journal","0006-3495","https://doi.org/10.1016/j.bpj.2019.09.023",TRUE,"https://edoc.mdc-berlin.de/18488/"
2019,"3,790","Elsevier / Current Biology","Current Opinion in Cell Biology",,"https://doi.org/10.1016/j.ceb.2019.06.002",TRUE,"https://edoc.mdc-berlin.de/18339/"
2019,"1,490","Nature Publishing Group (U.K.)","Scientific Reports","2045-2322","https://doi.org/10.1038/s41598-019-56007-8",FALSE,"https://edoc.mdc-berlin.de/18624/"
2019,"1,050","Nature Publishing Group (U.K.)","Scientific Reports","2045-2322","https://doi.org/10.1038/s41598-018-37767-1",FALSE,"https://edoc.mdc-berlin.de/18104/"
2019,"1,490","Nature Publishing Group (U.K.)","Scientific Reports","2045-2322","https://doi.org/10.1038/s41598-019-43150-5",FALSE,"https://edoc.mdc-berlin.de/18212/"
2019,"2,098","Life Science Alliance","Life Science Alliance","2575-1077","https://doi.org/10.26508/lsa.201800173",FALSE,"https://edoc.mdc-berlin.de/17972/"
2019,"2,237","Oxford University Press (U.K.)","Nucleic Acids Research","0305-1048","https://doi.org/10.1093/nar/gky1185",FALSE,"https://edoc.mdc-berlin.de/17911/"
2019,"2,886","Oxford University Press (U.K.)","Nucleic Acids Research","0305-1048","https://doi.org/10.1093/nar/gky1270",FALSE,"https://edoc.mdc-berlin.de/17965/"
2019,"4,310","Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2018.12.059",FALSE,"https://edoc.mdc-berlin.de/17996/"
2019,"4,310","Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2019.01.024",FALSE,"https://edoc.mdc-berlin.de/18014/"
2019,"4,310","Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2019.02.027",FALSE,"https://edoc.mdc-berlin.de/18092/"
2019,"4,480","Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2019.08.065",FALSE,"https://edoc.mdc-berlin.de/18454/"
2019,"4,480","Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2019.06.035",FALSE,"https://edoc.mdc-berlin.de/18294/"
2019,"2,590","Cell Press (U.S.A.)","iScience","2589-0042","https://doi.org/10.1016/j.isci.2019.02.026",FALSE,"https://edoc.mdc-berlin.de/18099/"
2019,"2,230","eLife Sciences Publications (U.K.)","eLife","2050-084x","https://doi.org/10.7554/eLife.42068",FALSE,"https://edoc.mdc-berlin.de/18124/"
2019,"2,229","eLife Sciences Publications (U.K.)","eLife","2050-084x","https://doi.org/10.7554/eLife.49187",FALSE,"https://edoc.mdc-berlin.de/18337/"
2019,"2,777","eLife Sciences Publications (U.K.)","eLife","2050-084X","https://doi.org/10.7554/eLife.47178",FALSE,"https://edoc.mdc-berlin.de/18267/"
2019,"4,290","Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-019-12894-z",FALSE,"https://edoc.mdc-berlin.de/18493/"
2019,"4,290","Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-019-12050-7",FALSE,"https://edoc.mdc-berlin.de/18390/"
2019,"4,290","Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-019-09586-z",FALSE,"https://edoc.mdc-berlin.de/18112/"
2019,"4,290","Nature Publishing Group (U.K.)","Nature Communications","2041-1773","https://doi.org/10.1038/s41467-019-12113-9",FALSE,"https://edoc.mdc-berlin.de/18403/"
2019,"4,290","Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-019-13520-8",FALSE,"https://edoc.mdc-berlin.de/18561/"
2019,"2,718","S.Karger","Obesity Facts ","1662-4033 ","https://doi.org/10.1159/000502117",FALSE,"https://edoc.mdc-berlin.de/18364/"
2019,"2,054","MDPI ","Metabolites","2218-1989","https://doi.org/10.3390/metabo9090171",FALSE,"https://edoc.mdc-berlin.de/18399/"
2019,"1,637","MDPI ","International Journal of Molecular Sciences","1422-0067","https://doi.org/10.3390/ijms20236020",FALSE,"https://edoc.mdc-berlin.de/18557/"
2019,"1,452","MDPI ","International Journal of Molecular Sciences","1422-0067","https://doi.org/10.3390/ijms20225671",FALSE,"https://edoc.mdc-berlin.de/18531/"
2019,"1,362","MDPI ","Genes","2073-4425","https://doi.org/10.3390/genes10060415",FALSE,"https://edoc.mdc-berlin.de/18257/"
2019,"1,086","MDPI ","Metabolites","2218-1989","https://doi.org/10.3390/metabo10010002",FALSE,"https://edoc.mdc-berlin.de/18636/"
2019,"1,310","Public Library of Science (U.S.A.)","PLoS ONE","1932-6203","https://doi.org/10.1371/journal.pone.0223620",FALSE,"https://edoc.mdc-berlin.de/18470/"
2019,"3,316","American Society for Clinical Investigation (U.S.A.)","JCI Insight","2379-3708","https://doi.org/10.1172/jci.insight.131092",FALSE,"https://edoc.mdc-berlin.de/18530/"
2019,"2,167","Life Science Alliance","Life Science Alliance","2575-1077","https://doi.org/10.26508/lsa.201900517",FALSE,"https://edoc.mdc-berlin.de/18554/"
2019,"2,164","Wiley (U.K.)","Molecular Oncology","1268-1279","https://doi.org/10.1002/1878-0261.12484",FALSE,"https://edoc.mdc-berlin.de/18132/"
2019,"1,861","Wiley (U.S.A.)","Aging Cell","1474-9718","https://doi.org/10.1111/acel.13012",FALSE,"https://edoc.mdc-berlin.de/18370/"
2019,"1,450","Wiley","Physiological Reports","2051-817X","https://doi.org/10.14814/phy2.13949",FALSE,"https://edoc.mdc-berlin.de/17948/"
2019,"2,430","Oxford University Press","Nucleic Acids Research","0305-1048","https://doi.org/10.1093/nar/gkz460",FALSE,"https://edoc.mdc-berlin.de/18249/"
