"institution","period","Euro","Publisher","journal_full_title","issn","doi","is_hybrid","base_url"
"MDC",2018,1800,"BioMed Central (U.K.)","BMC Cancer","1471-2407","https://doi.org/10.1186/s12885-018-4197-9",FALSE,"https://edoc.mdc-berlin.de/17202/"
"MDC",2018,842,"F1000 Research Ltd. (U.K.)","F1000Research","2046-1402","https://doi.org/10.12688/f1000research.13511.2",FALSE," https://edoc.mdc-berlin.de/17129/"
"MDC",2018,2556,"Oxford University Press (U.K.)","Nucleic Acids Research","5227-5238","https://doi.org/10.1093/nar/gky165",FALSE,"https://edoc.mdc-berlin.de/17191/"
"MDC",2018,2880,"Oxford University Press (U.K.)","Nucleic Acids Research","5227-5238","https://doi.org/10.1093/nar/gkx1299",FALSE,"https://edoc.mdc-berlin.de/17014/"
"MDC",2018,515,"NSTA (National Science Teachers Assosiation)","ScienceMatters select",FALSE,"https://doi.org/10.19185/matters.201805000009",FALSE,"https://edoc.mdc-berlin.de/18156/"
"MDC",2018,1828,"Frontiers Research Foundation (U.S.A.)","Frontiers in Molecular Neuroscience","1662-5099","https://doi.org/10.3389/fnmol.2018.00019",FALSE,"https://edoc.mdc-berlin.de/17126/"
"MDC",2018,1828,"Frontiers Research Foundation (U.S.A.)","Frontiers in Molecular Neuroscience","1662-5099","https://doi.org/10.3389/fnmol.2018.00345",FALSE,"https://edoc.mdc-berlin.de/17795/"
"MDC",2018,1254,"Frontiers Media (Switzerland)","Frontiers in Medicine","2296-858X","https://doi.org/10.3389/fmed.2018.00338",FALSE,"https://edoc.mdc-berlin.de/17941/"
"MDC",2018,1947,"Frontiers Media (Switzerland)","Frontiers in Oncology","2234-943X","https://doi.org/10.3389/fonc.2018.00429",FALSE,"https://edoc.mdc-berlin.de/17824/"
"MDC",2018,1932,"Frontiers Media SA (Switzerland)","Frontiers in Cellular Neuroscience","1662-5102","https://doi.org/10.3389/fncel.2018.00153",FALSE,"https://edoc.mdc-berlin.de/17521/"
"MDC",2018,3037,"Company of Biologists (U.K.)","Disease Models & Mechanisms","1754-8403","https://doi.org/10.1242/dmm.032128",FALSE,"https://edoc.mdc-berlin.de/17054/"
"MDC",2018,4700,"Wiley-Blackwell (U.K.)","EMBO Reports","1469-221X","https://doi.org/10.15252/embr.201744810",TRUE,"https://edoc.mdc-berlin.de/17108/"
"MDC",2018,4365,"Rockefeller University Press (U.S.A.)","Journal of Experimental Medicine","0022-1007","https://doi.org/10.1084/jem.20180801",TRUE,"https://edoc.mdc-berlin.de/17902/"
"MDC",2018,4595,"Cell Press (U.S.A.)","Molecular Cell","1097-2765","https://doi.org/10.1016/j.molcel.2018.08.042",TRUE,"https://edoc.mdc-berlin.de/17800/"
"MDC",2018,6296,"Cell Press (U.S.A.)","Developmental Cell","1534-5807","https://doi.org/10.1016/j.devcel.2018.07.006",TRUE,"https://edoc.mdc-berlin.de/17665/"
"MDC",2018,3314,"Elsevier (The Netherlands)","Current Opinion in Systems Biology","2452-3100","https://doi.org/10.1016/j.coisb.2018.07.004",TRUE,"https://edoc.mdc-berlin.de/17671/"
"MDC",2018,904,"American Institut of Physics","Chaos","1054-1500","https://doi.org/10.1063/1.5023164",TRUE,"https://edoc.mdc-berlin.de/17482/"
"MDC",2018,2077,"Elsevier / Academic Press (U.S.A.)","Journal of Molecular Biology","1725-1744","https://doi.org/10.1016/j.jmb.2018.03.017",TRUE,"https://edoc.mdc-berlin.de/17316/"
"MDC",2018,2200,"Springer (Germany)","Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz","1436-9990","https://doi.org/10.1007/s00103-018-2712-4",TRUE,"https://edoc.mdc-berlin.de/17134/"
"MDC",2018,2200,"Springer ","RNA Technologies","978-3-319-92966-8","https://doi.org/10.1007/978-3-319-92967-5_9",TRUE,"https://edoc.mdc-berlin.de/17808/"
"MDC",2018,3668,"Current Biology (U.K.)","Current Opinion in Neurobiology","0959-4388","https://doi.org/10.1016/j.conb.2018.04.006",TRUE,"https://edoc.mdc-berlin.de/17401/"
"MDC",2018,4700,"National Academy of Sciences (U.S.A.)","Proceedings of the National Academy of Sciences of the United States of America","0027-8424","https://doi.org/10.1073/pnas.1813520115",TRUE,"https://edoc.mdc-berlin.de/17905/"
