"institution","period","euro","publisher","journal_full_title","issn","doi",,"base_url","is_hybrid"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1683,"MDPI","Cancers","2072-6694","https://doi.org/10.3390/cancers12071720",,"https://edoc.mdc-berlin.de/19069/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4480,"Cell Press / Elsevier","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2020.108050",,"https://edoc.mdc-berlin.de/19322/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,3200,"Oxford University Press","Nucleic Acids Research","0305-1048","https://doi.org/10.1093/nar/gkaa708",,"https://edoc.mdc-berlin.de/19412/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,530,"Elsevier","Stem Cell Research","1873-5061","https://doi.org/10.1016/j.scr.2020.101998",,"https://edoc.mdc-berlin.de/19402/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,530,"Elsevier","Stem Cell Research","1873-5061","https://doi.org/10.1016/j.scr.2020.101987",,"https://edoc.mdc-berlin.de/19403/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1874,"Oxford University Press","Neuro-Oncology Advances","2632-2498","https://doi.org/10.1093/noajnl/vdaa127",,"https://edoc.mdc-berlin.de/19416/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2530,"Life Science Alliance","Life Science Alliance","2575-1077","https://doi.org/10.26508/lsa.202000709",,"https://edoc.mdc-berlin.de/19547/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1482,"MDPI","Metabolites","2218-1989","https://doi.org/10.3390/metabo10110457",,"https://edoc.mdc-berlin.de/19611/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,3107,"American Society for Clinical Investigation","JCI Insight","2379-3708","https://doi.org/10.1172/jci.insight.140040",,"https://edoc.mdc-berlin.de/19460/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4550,"Cell Press / Elsevier","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2020.108533",,"https://edoc.mdc-berlin.de/19719/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1668,"MDPI","Viruses","1999-4915","https://doi.org/10.3390/v12111303",,"https://edoc.mdc-berlin.de/19653/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,714,"American Society for Biochemistry and Molecular Biology","Molecular & Cellular Proteomics","1535-9476","https://doi.org/10.1074/mcp.R120.002034",,"https://edoc.mdc-berlin.de/18897/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4480,"Cell Press / Elsevier","Cell Systems","2405-4712","https://doi.org/10.1016/j.cels.2020.01.004",,"https://edoc.mdc-berlin.de/18755/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2160,"Elsevier","Journal of Molecular Biology","0022-2836","https://doi.org/10.1016/j.jmb.2020.01.033",,"https://edoc.mdc-berlin.de/18724/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,5001,"National Academy of Sciences","Proceedings of the National Academy of Sciences of the United States of America","0027-8424","https://doi.org/10.1073/pnas.1918415117",,"https://edoc.mdc-berlin.de/18798/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2760,"Elsevier","Kidney International","0085-2538","https://doi.org/10.1016/j.kint.2020.02.021",,"https://edoc.mdc-berlin.de/18999/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2890,"Elsevier","Psychoneuroendocrinology","0306-4530","https://doi.org/10.1016/j.psyneuen.2020.104783",,"https://edoc.mdc-berlin.de/19098/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,3020,"Cell Press","Molecular Therapy","1525-0016","https://doi.org/10.1016/j.ymthe.2020.08.004",,"https://edoc.mdc-berlin.de/19248/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2795,"Lippincott Williams & Wilkins","Pain","0304-3959","https://doi.org/10.1097/j.pain.0000000000001889",,"https://edoc.mdc-berlin.de/19438/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2486,"Oxford University Press","Human Molecular Genetics","0964-6906","https://doi.org/10.1093/hmg/ddaa200",,"https://edoc.mdc-berlin.de/19370/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4700,"EMBO Press","EMBO Journal","0261-4189","https://doi.org/10.15252/embj.2020104863",,"https://edoc.mdc-berlin.de/19426/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2795,"Cell Press","Neuron","0896-6273","https://doi.org/10.1016/j.neuron.2020.02.035",,"https://edoc.mdc-berlin.de/18829/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4368,"Rockefeller University Press","Journal of Experimental Medicine","0022-1007","https://doi.org/10.1084/jem.20200137",,"https://edoc.mdc-berlin.de/18968/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2972,"Oxford University Press","Briefings in Functional Genomics","2041-2649","https://doi.org/10.1093/bfgp/elz028",,"https://edoc.mdc-berlin.de/18702/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1418,"Oxford University Press","Bioinformatics","1367-4803","https://doi.org/10.1093/bioinformatics/btz850",,"https://edoc.mdc-berlin.de/19075/","TRUE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4290,"Nature Publishing Group","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-019-13650-z",,"https://edoc.mdc-berlin.de/18620/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1490,"Nature Publishing Group","Scientific Reports","2045-2322","https://doi.org/10.1038/s41598-019-56184-6",,"https://edoc.mdc-berlin.de/18631/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,3200,"Oxford University Press","Nucleic Acids Research","0305-1048","https://doi.org/10.1093/nar/gkaa900",,"https://edoc.mdc-berlin.de/19509/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1832,"Ivyspring International Publisher","Theranostics","2490-2504","https://doi.org/10.7150/thno.47130",,"https://edoc.mdc-berlin.de/19655/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2630,"Cell Press / Elsevier","iScience","2589-0042","https://doi.org/10.1016/j.isci.2020.101909",,"https://edoc.mdc-berlin.de/19718/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1440,"Royal Society","Open Biology","2046-2441","https://doi.org/10.1098/rsob.200283",,"https://edoc.mdc-berlin.de/19728/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4550,"Cell Press / Elsevier","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2020.108606",,"https://edoc.mdc-berlin.de/19764/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,3080,"Wiley","Molecular Systems Biology","1744-4292","https://doi.org/10.15252/msb.20209946 ",,"https://edoc.mdc-berlin.de/19399/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2900,"Nature Publishing Group","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-020-19321-8",,"http://edoc.mdc-berlin.de/19429/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1592,"BioMed Central","BMC Biotechnology","1472-6750","https://doi.org/10.1186/s12896-020-00650-x",,"https://edoc.mdc-berlin.de/19461/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2546,"Springer Nature","Communications Biology","2399-3642","https://doi.org/10.1038/s42003-020-01167-x",,"https://edoc.mdc-berlin.de/19276/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2900,"Nature Publishing Group","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-020-20064-9",,"https://edoc.mdc-berlin.de/19601/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2900,"Nature Publishing Group","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-020-20222-z",,"https://edoc.mdc-berlin.de/19623/","FALSE"
