institution;period;doi;is_hybrid;journal_full_title
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s11077-016-9247-z;TRUE;Policy Sciences
University of Vienna;2016;10.1007/s11192-016-1864-y;TRUE;Scientometrics
Austrian Science Fund (FWF);2016;10.1007/s10851-016-0637-9;TRUE;Journal of Mathematical Imaging and Vision
Austrian Science Fund (FWF);2016;10.1007/s10817-016-9364-6;TRUE;Journal of Automated Reasoning
Medical University of Graz;2016;10.1007/s00192-016-2969-9;TRUE;International Urogynecology Journal
TU WIen (TUW);2016;10.1007/s10009-016-0414-5;TRUE;International Journal on Software Tools for Technology Transfer
Paracelsus Medical University;2016;10.1007/s10354-015-0427-9;TRUE;Wiener Medizinische Wochenschrift
University of Vienna;2016;10.1007/s11121-016-0638-3;TRUE;Prevention Science
Medical University of Vienna;2016;10.1007/s00296-016-3442-2;TRUE;Rheumatology International
University of Vienna;2016;10.1007/s00706-016-1674-1;TRUE;Monatshefte für Chemie - Chemical Monthly
University of Graz;2016;10.1007/s00604-016-1789-4;TRUE;Microchimica Acta
Austrian Science Fund (FWF);2016;10.1007/s11868-016-0146-z;TRUE;Journal of Pseudo-Differential Operators and Applications
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10557-016-6648-3;TRUE;Cardiovascular Drugs and Therapy
Medical University of Vienna;2016;10.1007/s12223-016-0448-9;TRUE;Folia Microbiologica
Paracelsus Medical University;2016;10.1007/s00464-016-4754-8;TRUE;Surgical Endoscopy
Medical University of Vienna;2016;10.1007/s11999-016-4741-3;TRUE;Clinical Orthopaedics and Related Research®
Medical University of Vienna;2016;10.1007/s13311-016-0421-y;TRUE;Neurotherapeutics
TU WIen (TUW);2016;10.1007/s00706-016-1668-z;TRUE;Monatshefte für Chemie - Chemical Monthly
Medical University of Vienna;2016;10.1007/s00508-016-0954-4;TRUE;Wiener klinische Wochenschrift
Medical University of Graz;2016;10.1007/s00508-016-0965-1;TRUE;Wiener klinische Wochenschrift
Institute of Science and Technology (IST Austria);2016;10.1007/s11040-016-9204-2;TRUE;Mathematical Physics, Analysis and Geometry
Medical University of Vienna;2016;10.1007/s00167-016-4048-7;TRUE;Knee Surgery, Sports Traumatology, Arthroscopy
Austrian Science Fund (FWF);2016;10.1007/s10719-016-9650-x;TRUE;Glycoconjugate Journal
Austrian Science Fund (FWF);2016;10.1007/s11049-016-9332-1;TRUE;Natural Language & Linguistic Theory
Austrian Science Fund (FWF);2016;10.1007/s10336-015-1317-z;TRUE;Journal of Ornithology
Austrian Science Fund (FWF);2016;10.1007/s11104-016-2800-x;TRUE;Plant and Soil
Austrian Science Fund (FWF);2016;10.1007/s00294-016-0574-6;TRUE;Current Genetics
Austrian Science Fund (FWF);2016;10.1007/s00186-016-0535-3;TRUE;Mathematical Methods of Operations Research
Medical University of Vienna;2016;10.1007/s00784-016-1726-2;TRUE;Clinical Oral Investigations
Johannes Kepler University Linz;2016;10.1007/s13726-016-0424-x;TRUE;Iranian Polymer Journal
TU WIen (TUW);2016;10.1007/s11192-016-1842-4;TRUE;Scientometrics
Montanuniversität Leoben;2016;10.1007/s00501-016-0456-8;TRUE;BHM Berg- und Hüttenmännische Monatshefte
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00330-016-4229-2;TRUE;European Radiology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11940-016-0396-3;TRUE;Current Treatment Options in Neurology
University of Klagenfurt;2016;10.1007/s10746-016-9380-x;TRUE;Human Studies
Austrian Science Fund (FWF);2016;10.1007/s10071-016-0968-3;TRUE;Animal Cognition
Graz University of Technology;2016;10.1007/s00502-016-0386-x;TRUE;e & i Elektrotechnik und Informationstechnik
Paris Lodron University of Salzburg;2016;10.1007/s00229-016-0827-1;TRUE;Manuscripta Mathematica
University of Graz;2016;10.1007/s11858-016-0761-4;TRUE;ZDM
Medical University of Vienna;2016;10.1007/s00418-016-1412-0;TRUE;Histochemistry and Cell Biology
Austrian Science Fund (FWF);2016;10.1007/s00468-016-1361-1;TRUE;Trees
International Institute for Applied Systems Analysis (IIASA);2016;10.1007/s11069-016-2170-y;TRUE;Natural Hazards
Medical University of Vienna;2016;10.1007/s00204-016-1664-4;TRUE;Archives of Toxicology
University of Vienna;2016;10.1007/s10602-016-9204-z;TRUE;Constitutional Political Economy
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00506-016-0299-2;TRUE;Österreichische Wasser- und Abfallwirtschaft
Austrian Science Fund (FWF);2016;10.1007/s00425-016-2475-9;TRUE;Planta
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00259-016-3328-2;TRUE;European Journal of Nuclear Medicine and Molecular Imaging
Medical University of Vienna;2016;10.1007/s00508-016-0972-2;TRUE;Wiener klinische Wochenschrift
Montanuniversität Leoben;2016;10.1007/s11023-016-9389-y;TRUE;Minds and Machines
TU WIen (TUW);2016;10.1007/s11837-016-1819-z;TRUE;JOM
University of Graz;2016;10.1007/s12053-016-9435-x;TRUE;Energy Efficiency
Austrian Science Fund (FWF);2016;10.1007/s00418-016-1411-1;TRUE;Histochemistry and Cell Biology
Graz University of Technology;2016;10.1007/s11242-016-0657-3;TRUE;Transport in Porous Media
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s12599-016-0423-7;TRUE;Business & Information Systems Engineering
Austrian Science Fund (FWF);2016;10.1007/s00706-016-1670-5;TRUE;Monatshefte für Chemie - Chemical Monthly
Medical University of Vienna;2016;10.1007/s00739-016-0307-0;TRUE;psychopraxis. neuropraxis
University of Graz;2016;10.1007/s13164-016-0300-9;TRUE;Review of Philosophy and Psychology
Paris Lodron University of Salzburg;2016;10.1007/s41111-016-0012-4;TRUE;Chinese Political Science Review
University of Graz;2016;10.1007/s11682-016-9526-5;TRUE;Brain Imaging and Behavior
Austrian Science Fund (FWF);2016;10.1007/s00454-016-9766-6;TRUE;Discrete & Computational Geometry
Johannes Kepler University Linz;2016;10.1007/s10008-016-3139-1;TRUE;Journal of Solid State Electrochemistry
Austrian Science Fund (FWF);2016;10.1007/s00706-016-1676-z;TRUE;Monatshefte für Chemie - Chemical Monthly
Medical University of Vienna;2016;10.1007/s00330-016-4267-9;TRUE;European Radiology
TU WIen (TUW);2016;10.1007/s00506-016-0295-6;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s11104-016-2821-5;TRUE;Plant and Soil
Medical University of Vienna;2016;10.1007/s11695-016-2083-6;TRUE;Obesity Surgery
University of Graz;2016;10.1007/s00170-016-8513-8;TRUE;The International Journal of Advanced Manufacturing Technology
TU Wien (TUW);2016;10.1007/s00502-016-0394-x;TRUE;e & i Elektrotechnik und Informationstechnik
University of Graz;2016;10.1208/s12249-016-0504-4;TRUE;AAPS PharmSciTech
Austrian Science Fund (FWF);2016;10.1007/s13361-016-1363-7;TRUE;Journal of The American Society for Mass Spectrometry
Austrian Science Fund (FWF);2016;10.1007/s10334-016-0533-8;TRUE;Magnetic Resonance Materials in Physics, Biology and Medicine
University of Veterinary Medicine Vienna;2016;10.1007/s00436-016-4958-9;TRUE;Parasitology Research
Institute for Advanced Studies Vienna;2016;10.1007/s10797-016-9394-3;TRUE;International Tax and Public Finance
TU Wien (TUW);2016;10.1007/s12599-016-0427-3;TRUE;Business & Information Systems Engineering
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00253-016-7388-9;TRUE;Applied Microbiology and Biotechnology
University of Vienna;2016;10.1007/s00421-016-3344-8;TRUE;European Journal of Applied Physiology
Medical University of Vienna;2016;10.1007/s00430-016-0451-4;TRUE;Medical Microbiology and Immunology
Austrian Science Fund (FWF);2016;10.1007/s00706-016-1707-9;TRUE;Monatshefte für Chemie - Chemical Monthly
Austrian Science Fund (FWF);2016;10.1007/s11557-016-1171-2;TRUE;Mycological Progress
Austrian Science Fund (FWF);2016;10.1007/s10589-016-9836-y;TRUE;Computational Optimization and Applications
International Institute for Applied Systems Analysis (IIASA);2016;10.1007/s10258-016-0115-8;TRUE;Portuguese Economic Journal
University of Vienna;2016;10.1007/s12119-016-9340-7;TRUE;Sexuality & Culture
Medical University of Vienna;2016;10.1007/s11682-016-9532-7;TRUE;Brain Imaging and Behavior
Austrian Science Fund (FWF);2016;10.1007/s11682-016-9537-2;TRUE;Brain Imaging and Behavior
Montanuniversität Leoben;2016;10.1007/s40435-016-0236-z;TRUE;International Journal of Dynamics and Control
University of Vienna;2016;10.1007/s10746-016-9383-7;TRUE;Human Studies
Austrian Science Fund (FWF);2016;10.1007/s00706-016-1706-x;TRUE;Monatshefte für Chemie - Chemical Monthly
University of Vienna;2016;10.1007/s11005-016-0831-0;TRUE;Letters in Mathematical Physics
University of Klagenfurt;2016;10.1007/s11554-016-0569-z;TRUE;Journal of Real-Time Image Processing
University of Vienna;2016;10.1007/s10040-016-1388-9;TRUE;Hydrogeology Journal
Montanuniversität Leoben;2016;10.1007/s40194-016-0316-x;TRUE;Welding in the World
Medical University of Graz;2016;10.1007/s10555-016-9618-0;TRUE;Cancer and Metastasis Reviews
Medical University of Vienna;2016;10.1007/s10555-016-9612-6;TRUE;Cancer and Metastasis Reviews
Paracelsus Medical University;2016;10.1007/s12031-016-0732-9;TRUE;Journal of Molecular Neuroscience
Paris Lodron University of Salzburg;2016;10.1007/s00414-016-1349-9;TRUE;International Journal of Legal Medicine
University of Vienna;2016;10.1007/s00205-016-0990-2;TRUE;Archive for Rational Mechanics and Analysis
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00248-016-0748-2;TRUE;Microbial Ecology
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00221-016-4602-z;TRUE;Experimental Brain Research
University of Vienna;2016;10.1007/s12532-016-0102-1;TRUE;Mathematical Programming Computation
University of Vienna;2016;10.1007/s10637-016-0337-8;TRUE;Investigational New Drugs
Austrian Science Fund (FWF);2016;10.1007/s10570-016-0896-z;TRUE;Cellulose
Austrian Science Fund (FWF);2016;10.1007/s00382-016-3057-z;TRUE;Climate Dynamics
Austrian Science Fund (FWF);2016;10.1007/s11882-016-0603-z;TRUE;Current Allergy and Asthma Reports
Austrian Science Fund (FWF);2016;10.1007/s10472-016-9501-2;TRUE;Annals of Mathematics and Artificial Intelligence
University of Vienna;2016;10.1007/s00023-016-0474-9;TRUE;Annales Henri Poincaré
University of Graz;2016;10.1007/s10886-016-0680-4;TRUE;Journal of Chemical Ecology
University of Graz;2016;10.1007/s10750-016-2726-6;TRUE;Hydrobiologia
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00203-016-1208-6;TRUE;Archives of Microbiology
Austrian Science Fund (FWF);2016;10.1007/s00216-016-9459-2;TRUE;Analytical and Bioanalytical Chemistry
Medical University of Vienna;2016;10.1007/s00431-016-2710-1;TRUE;European Journal of Pediatrics
University of Veterinary Medicine Vienna;2016;10.1007/s10071-016-0973-6;TRUE;Animal Cognition
University of Vienna;2016;10.1007/s10021-016-9966-1;TRUE;Ecosystems
Graz University of Technology;2016;10.1007/s11356-016-6434-6;TRUE;Environmental Science and Pollution Research
Graz University of Technology;2016;10.1007/s41104-016-0001-5;TRUE;Automotive and Engine Technology
Vienna University of Economics and Business (WU);2016;10.1007/s10100-016-0441-z;TRUE;Central European Journal of Operations Research
Austrian Science Fund (FWF);2016;10.1007/s00706-016-1731-9;TRUE;Monatshefte für Chemie - Chemical Monthly
University of Vienna;2016;10.1007/s11573-016-0811-y;TRUE;Journal of Business Economics
Medical University of Vienna;2016;10.1007/s11999-016-4790-7;TRUE;Clinical Orthopaedics and Related Research®
TU Wien (TUW);2016;10.1007/s11249-016-0665-z;TRUE;Tribology Letters
TU Wien (TUW);2016;10.1007/s00216-016-9464-5;TRUE;Analytical and Bioanalytical Chemistry
Medical University of Vienna;2016;10.1007/s00401-016-1565-x;TRUE;Acta Neuropathologica
University of Vienna;2016;10.1007/s10726-016-9477-7;TRUE;Group Decision and Negotiation
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s11069-016-2296-y;TRUE;Natural Hazards
Medical University of Vienna;2016;10.1007/s00240-016-0872-y;TRUE;Urolithiasis
Johannes Kepler University Linz;2016;10.1007/s00012-016-0377-0;TRUE;Algebra universalis
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s11069-016-2291-3;TRUE;Natural Hazards
Medical University of Graz;2016;10.1007/s00125-016-3941-4;TRUE;Diabetologia
Medical University of Graz;2016;10.1007/s00125-016-3931-6;TRUE;Diabetologia
Medical University of Vienna;2016;10.1007/s00590-016-1766-y;TRUE;European Journal of Orthopaedic Surgery & Traumatology
Paris Lodron University of Salzburg;2016;10.1007/s10040-016-1395-x;TRUE;Hydrogeology Journal
Paris Lodron University of Salzburg;2016;10.1007/s10040-016-1396-9;TRUE;Hydrogeology Journal
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10578-016-0639-2;TRUE;Child Psychiatry & Human Development
Austrian Science Fund (FWF);2016;10.1007/s12012-016-9366-y;TRUE;Cardiovascular Toxicology
FH Vorarlberg - University of Applied Sciences;2016;10.1007/s00542-016-2887-2;TRUE;Microsystem Technologies
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11548-016-1389-0;TRUE;International Journal of Computer Assisted Radiology and Surgery
TU Wien (TUW);2016;10.1007/s13272-016-0191-6;TRUE;CEAS Aeronautical Journal
Vienna University of Economics and Business (WU);2016;10.1007/s12076-016-0170-x;TRUE;Letters in Spatial and Resource Sciences
Medical University of Vienna;2016;10.1007/s00264-016-3174-7;TRUE;International Orthopaedics
Medical University of Graz;2016;10.1007/s00784-016-1748-9;TRUE;Clinical Oral Investigations
Medical University of Vienna;2016;10.1007/s10353-016-0389-1;TRUE;European Surgery
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00717-016-0294-9;TRUE;Spektrum der Augenheilkunde
Medical University of Vienna;2016;10.1007/s00508-016-0969-x;TRUE;Wiener klinische Wochenschrift
Austrian Science Fund (FWF);2016;10.1007/s00775-016-1345-z;TRUE;JBIC Journal of Biological Inorganic Chemistry
Medical University of Vienna;2016;10.1007/s11695-016-2123-2;TRUE;Obesity Surgery
Paracelsus Medical University;2016;10.1007/s12254-016-0258-4;TRUE;memo - Magazine of European Medical Oncology
University of Klagenfurt;2016;10.1007/s13138-016-0086-4;TRUE;Journal für Mathematik-Didaktik
Medical University of Graz;2016;10.1007/s10354-016-0449-y;TRUE;Wiener Medizinische Wochenschrift
Medical University of Vienna;2016;10.1007/s40211-016-0178-x;TRUE;neuropsychiatrie
Medical University of Graz;2016;10.1007/s00105-016-3780-8;TRUE;Der Hautarzt
Medical University of Vienna;2016;10.1007/s00132-016-3247-8;TRUE;Der Orthopäde
TU Wien (TUW);2016;10.1007/s00506-016-0307-6;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00506-016-0311-x;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00506-016-0313-8;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00508-016-0968-y;TRUE;Wiener klinische Wochenschrift
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s11069-016-2305-1;TRUE;Natural Hazards
University of Vienna;2016;10.1007/s10746-016-9394-4;TRUE;Human Studies
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00506-016-0308-5;TRUE;Österreichische Wasser- und Abfallwirtschaft
TU Wien (TUW);2016;10.1007/s00340-016-6355-6;TRUE;Applied Physics B
Medical University of Vienna;2016;10.1007/s12254-016-0256-6;TRUE;memo - Magazine of European Medical Oncology
University of Vienna;2016;10.1007/s11024-016-9292-y;TRUE;Minerva
Medical University of Vienna;2016;10.1007/s00739-016-0315-0;TRUE;psychopraxis. Neuropraxis
University of Applied Sciences Upper Austria;2016;10.1007/s12208-016-0154-y;TRUE;International Review on Public and Nonprofit Marketing
Medical University of Vienna;2016;10.1007/s11812-016-0076-y;TRUE;Wiener klinische Wochenschrift Education
Medical University of Vienna;2016;10.1007/s00784-016-1813-4;TRUE;Clinical Oral Investigations
TU Wien (TUW);2016;10.1007/s13132-016-0368-6;TRUE;Journal of the Knowledge Economy
Medical University of Vienna;2016;10.1007/s00508-016-0997-6;TRUE;Wiener klinische Wochenschrift
University of Veterinary Medicine Vienna;2016;10.1007/s10336-016-1345-3;TRUE;Journal of Ornithology
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00267-016-0702-6;TRUE;Environmental Management
Paracelsus Medical University;2016;10.1007/s00064-016-0439-7;TRUE;Operative Orthopädie und Traumatologie
FH St. Pölten - University of Applied Sciences;2016;10.1007/s11042-016-3395-1;TRUE;Multimedia Tools and Applications
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00360-016-0981-5;TRUE;Journal of Comparative Physiology B
Medical University of Vienna;2016;10.1007/s10238-016-0417-2;TRUE;Clinical and Experimental Medicine
Medical University of Vienna;2016;10.1007/s00277-016-2672-4;TRUE;Annals of Hematology
Austrian Science Fund (FWF);2016;10.1007/s40521-016-0084-2;TRUE;Current Treatment Options in Allergy
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s12028-016-0272-8;TRUE;Neurocritical Care
Medical University of Vienna;2016;10.1007/s00330-016-4274-x;TRUE;European Radiology
Medical University of Vienna;2016;10.1007/s00264-016-3186-3;TRUE;International Orthopaedics
University of Vienna;2016;10.1007/s11199-016-0617-y;TRUE;Sex Roles
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00264-016-3182-7;TRUE;International Orthopaedics
Medical University of Graz;2016;10.1007/s12281-016-0254-5;TRUE;Current Fungal Infection Reports
TU Wien (TUW);2016;10.1007/s00020-016-2288-z;TRUE;Integral Equations and Operator Theory
Paracelsus Medical University;2016;10.1007/s40134-016-0157-9;TRUE;Current Radiology Reports
Austrian Science Fund (FWF);2016;10.1007/s00291-016-0444-0;TRUE;OR Spectrum
Medical University of Vienna;2016;10.1007/s00436-016-5054-x;TRUE;Parasitology Research
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11818-016-0048-6;TRUE;Somnologie
University of Klagenfurt;2016;10.1007/s10663-016-9326-6;TRUE;Empirica
University of Applied Sciences Upper Austria;2016;10.1365/s40702-016-0219-8;TRUE;HMD Praxis der Wirtschaftsinformatik
Medical University of Vienna;2016;10.1007/s00192-016-3018-4;TRUE;International Urogynecology Journal
University of Vienna;2016;10.1007/s11069-016-2311-3;TRUE;Natural Hazards
University of Klagenfurt;2016;10.1007/s11620-016-0324-2;TRUE;Zeitschrift für Psychodrama und Soziometrie
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00391-016-1057-6;TRUE;Zeitschrift für Gerontologie und Geriatrie
Austrian Science Fund (FWF);2016;10.1007/s00706-016-1748-0;TRUE;Monatshefte für Chemie - Chemical Monthly
Austrian Science Fund (FWF);2016;10.1007/s12064-016-0225-y;TRUE;Theory in Biosciences
University of Graz;2016;10.1007/s10290-016-0252-2;TRUE;Review of World Economics
TU Wien (TUW);2016;10.1007/s00020-016-2292-3;TRUE;Integral Equations and Operator Theory
University of Vienna;2016;10.1007/s00531-016-1329-9;TRUE;International Journal of Earth Sciences
University of Applied Sciences Upper Austria;2016;10.1007/s12649-016-9565-6;TRUE;Waste and Biomass Valorization
University of Klagenfurt;2016;10.1007/s10663-016-9332-8;TRUE;Empirica
Medical University of Graz;2016;10.1007/s00508-016-0993-x;TRUE;Wiener klinische Wochenschrift
Medical University of Graz;2016;10.1007/s00508-016-0992-y;TRUE;Wiener klinische Wochenschrift
Vienna University of Economics and Business (WU);2016;10.1007/s10663-016-9336-4;TRUE;Empirica
TU Wien (TUW);2016;10.1007/s11661-016-3524-5;TRUE;Metallurgical and Materials Transactions A
Paris Lodron University of Salzburg;2016;10.1007/s00030-016-0370-5;TRUE;Nonlinear Differential Equations and Applications NoDEA
Johannes Kepler University Linz;2016;10.1007/s10270-016-0519-z;TRUE;Software & Systems Modeling
Medical University of Graz;2016;10.1007/s00330-016-4360-0;TRUE;European Radiology
Medical University of Vienna;2016;10.1007/s10439-016-1601-y;TRUE;Annals of Biomedical Engineering
Paris Lodron University of Salzburg;2016;10.1007/s10886-016-0688-9;TRUE;Journal of Chemical Ecology
Vienna University of Economics and Business (WU);2016;10.1007/s11612-016-0309-7;TRUE;Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO)
International Institute for Applied Systems Analysis (IIASA);2016;10.1007/s11027-016-9713-0;TRUE;Mitigation and Adaptation Strategies for Global Change
Medical University of Vienna;2016;10.1007/s00059-016-4427-3;TRUE;Herz
University of Klagenfurt;2016;10.1007/s12525-016-0220-7;TRUE;Electronic Markets
Paracelsus Medical University;2016;10.1007/s00772-016-0130-1;TRUE;Gefässchirurgie
Medical University of Vienna;2016;10.1007/s10549-016-3787-y;TRUE;Breast Cancer Research and Treatment
Medical University of Vienna;2016;10.1007/s00345-016-1835-1;TRUE;World Journal of Urology
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00122-016-2694-2;TRUE;Theoretical and Applied Genetics
Medical University of Vienna;2016;10.1007/s00239-016-9735-y;TRUE;Journal of Molecular Evolution
International Institute for Applied Systems Analysis (IIASA);2016;10.1007/s10680-016-9379-z;TRUE;European Journal of Population
Medical University of Graz;2016;10.1007/s00508-016-0986-9;TRUE;Wiener klinische Wochenschrift
Austrian Science Fund (FWF);2016;10.1007/s11250-016-1032-7;TRUE;Tropical Animal Health and Production
Austrian Science Fund (FWF);2016;10.1007/s10455-016-9508-2;TRUE;Annals of Global Analysis and Geometry
Institute of Science and Technology (IST Austria);2016;10.1007/s00220-016-2600-4;TRUE;Communications in Mathematical Physics
Medical University of Vienna;2016;10.1007/s00784-016-1800-9;TRUE;Clinical Oral Investigations
TU Wien (TUW);2016;10.1007/s13399-016-0204-z;TRUE;Biomass Conversion and Biorefinery
TU Wien (TUW);2016;10.1007/s13399-016-0205-y;TRUE;Biomass Conversion and Biorefinery
FH St. Pölten - University of Applied Sciences;2016;10.1007/s12193-016-0216-9;TRUE;Journal on Multimodal User Interfaces
Austrian Science Fund (FWF);2016;10.1007/s00285-016-1008-2;TRUE;Journal of Mathematical Biology
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00605-016-0914-0;TRUE;Monatshefte für Mathematik
Medical University of Vienna;2016;10.1007/s00112-016-0064-4;TRUE;Monatsschrift Kinderheilkunde
Johannes Kepler University Linz;2016;10.1007/s00450-014-0281-9;TRUE;Computer Science - Research and Development
Graz University of Technology;2016;10.1007/s00550-016-0392-9;TRUE;uwf UmweltWirtschaftsForum
University of Vienna;2016;10.1007/s11616-016-0255-y;TRUE;Publizistik
Paracelsus Medical University;2016;10.1007/s10039-016-0164-3;TRUE;Trauma und Berufskrankheit
University of Veterinary Medicine Vienna;2016;10.1007/s00436-016-5145-8;TRUE;Parasitology Research
Austrian Science Fund (FWF);2016;10.1007/s10071-016-0998-x;TRUE;Animal Cognition
Graz University of Technology;2016;10.1007/s13349-016-0172-9;TRUE;Journal of Civil Structural Health Monitoring
Austrian Science Fund (FWF);2016;10.1007/s00467-016-3404-7;TRUE;Pediatric Nephrology
University of Vienna;2016;10.1007/s11669-016-0470-2;TRUE;Journal of Phase Equilibria and Diffusion
Vienna University of Economics and Business (WU);2016;10.1007/s10490-016-9471-2;TRUE;Asia Pacific Journal of Management
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00063-016-0159-7;TRUE;Medizinische Klinik - Intensivmedizin und Notfallmedizin
Austrian Science Fund (FWF);2016;10.1007/s00028-016-0326-6;TRUE;Journal of Evolution Equations
Medical University of Vienna;2016;10.1007/s10354-016-0453-2;TRUE;Wiener Medizinische Wochenschrift
Medical University of Vienna;2016;10.1007/s00101-016-0168-1;TRUE;Der Anaesthesist
TU Wien (TUW);2016;10.1007/s10973-016-5508-5;TRUE;Journal of Thermal Analysis and Calorimetry
