"Institution";Publisher;APC price;Currency;DOI;Payment year;
"University of Helsinki";MDPI;973.85;EUR;10.3390/socsci10090337;2021;
"University of Helsinki";MDPI;1487.83;EUR;10.3390/ijms22189691;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/ani11092631;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/d13090403;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/ani11082448;2021;
"University of Helsinki";MDPI;1510.3;EUR;10.3390/agronomy11081651;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/antiox10081319;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/agronomy11081656;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/educsci11090529;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/bs11090123;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/cells10092429;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/educsci11090560;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/d13090448;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/h10040106;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/v13101888;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/cancers13194747;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph181910148;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/ijms221910679;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/ijms221910594;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/mti5100060;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/ijms221910890;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/ijms222011035;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/antibiotics10101240;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/ani11102993;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/foods10102461;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/f12101401;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/ijms222011124;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph182010937;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph182111012;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/ph14101062;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph182111238;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/ijms222111550;2021;
"University of Helsinki";MDPI;1947.7;EUR;10.3390/nu13113738;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/microorganisms9112242;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/foods10112566;2021;
"University of Helsinki";MDPI;1803.43;EUR;10.3390/nu13113909;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/brainsci11111463;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/ijms222111993;2021;
"University of Helsinki";MDPI;1947.7;EUR;10.3390/nu13113961;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/healthcare9111540;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/cells10113158;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/v13112263;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph182211962;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/ani11113283;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/educsci11110750;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/w13223301;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/cancers13215409;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/plants10122597;2021;
"University of Helsinki";MDPI;1803.43;EUR;10.3390/ijerph182211840;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/e23121590;2021;
"University of Helsinki";MDPI;1442.74;EUR;10.3390/ijms222312978;2021;
"University of Helsinki";MDPI;1541.93;EUR;10.3390/su132413959;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/brainsci11121576;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/foods10123065;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/antibiotics10121481;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/educsci11120790;2021;
"University of Helsinki";MDPI;811.54;EUR;10.3390/jtaer16070182;2021;
"University of Helsinki";MDPI;901.71;EUR;10.3390/cells10123447;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/foods10123050;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/jcdd8120180;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/educsci11120816;2021;
"University of Helsinki";MDPI;1249.01;GBP;10.3390/pathogens10121624;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/plants10122817;2021;
"University of Helsinki";MDPI;1487.83;EUR;10.3390/ijms222413545;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/plants11010015;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/pharmaceutics14010012;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/cancers14010046;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/antibiotics11010044;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph19010581;2021;
"University of Helsinki";MDPI;1947.7;EUR;10.3390/rs14010172;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/foods11010132;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/bs12010014;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fvets.2021.552350;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fimmu.2021.615477;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fpsyg.2021.638189;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fphy.2021.601730;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fcomm.2021.625968;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.592291;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fnmol.2021.588230;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fneur.2021.629709;2021;
"University of Helsinki";Frontiers;1665;USD;10.3389/fimmu.2021.630381;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fvets.2021.656814;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fcimb.2021.657245;2021;
"University of Helsinki";Frontiers;1858.5;USD; 10.3389/fpsyg.2021.661172;2021;
"University of Helsinki";Frontiers;1665;USD; 10.3389/fcimb.2021.678961;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fcell.2021.662583;2021;
"University of Helsinki";Frontiers;405;USD;10.3389/fcimb.2021.627910;2021;
"University of Helsinki";Frontiers;1035;USD;10.3389/fenvs.2021.629336;2021;
"University of Helsinki";Frontiers;2490;USD;10.3389/fnut.2021.674404;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fvets.2021.650590;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fnhum.2021.675154;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.672975;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.672333;2021;
"University of Helsinki";Frontiers;1665;USD;10.3389/fchem.2021.645297;2021;
"University of Helsinki";Frontiers;2256.75;USD;10.3389/fvets.2021.651160;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.585321;2021;
"University of Helsinki";Frontiers;630;USD;10.3389/fpos.2021.642037;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fsufs.2021.544072;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.668993;2021;
"University of Helsinki";Frontiers;513;USD; 10.3389/fcomm.2021.660821;2021;
"University of Helsinki";Frontiers;855;USD; 10.3389/feduc.2021.617613;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.608069;2021;
"University of Helsinki";Frontiers;405;USD;10.3389/fimmu.2021.659001;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/feduc.2021.635203;2021;
"University of Helsinki";Frontiers;1035;USD;10.3389/ffgc.2021.629020;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fendo.2021.639507;2021;
"University of Helsinki";Frontiers;630;USD;10.3389/fpos.2021.627982;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.672333;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fevo.2021.626730;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fphar.2021.679759;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fnmol.2021.616178;2021;
"University of Helsinki";Frontiers;2389.5;USD;10.3389/fphys.2021.649319;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/feduc.2021.612457;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fmicb.2021.626421;2021;
"University of Helsinki";Frontiers;855;USD; 10.3389/feduc.2021.634473;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fncel.2021.640084;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fevo.2021.638039;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fpubh.2021.643561;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fgene.2021.635601;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fneur.2021.665317;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fcell.2021.689854;2021;
"University of Helsinki";Frontiers;787.5;USD;10.3389/froh.2021.666895;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fpsyg.2021.694044;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fpls.2021.691940;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fchem.2021.663241;2021;
"University of Helsinki";Frontiers;1035;USD;10.3389/frai.2021.609970;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fncel.2021.682597;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.686998;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fneur.2021.696244;2021;
"University of Helsinki";Frontiers;1710;USD;10.3389/froh.2021.686863;2021;
"University of Helsinki";Frontiers;405;USD;10.3389/fimmu.2021.674681;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fpos.2021.656731;2021;
"University of Helsinki";Frontiers;2655;USD; 10.3389/fphar.2021.706894;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fonc.2021.683570;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fpos.2021.630001;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fnhum.2021.668780;2021;
"University of Helsinki";Frontiers;1665;USD;10.3389/fcimb.2021.678961;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.635874;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fevo.2021.687188;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fgene.2021.700744;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fpos.2021.692396;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fenvs.2021.719567;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.704036;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmars.2021.708716;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fimmu.2021.706517;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fpos.2021.662245;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fcomm.2021.624486;2021;
"University of Helsinki";Frontiers;2389.5;USD;10.3389/fchem.2021.721656;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.694406;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.688819;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fimmu.2021.668219;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fphys.2021.722915;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpubh.2021.709778;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fped.2021.610227;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmolb.2021.711436;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fcell.2021.715093;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fcell.2021.723016;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fenvs.2021.666222;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.682642;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.703280;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fcell.2021.726499;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.718700;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.668160;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fevo.2021.707708;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpubh.2021.677915;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpubh.2021.678293;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fvets.2021.698628;2021;
"University of Helsinki";Frontiers;855;USD; 10.3389/fsufs.2021.626227;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fcvm.2021.715953;2021;
"University of Helsinki";Frontiers;2241;USD; 10.3389/fevo.2021.707708;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fimmu.2021.748663;2021;
"University of Helsinki";Frontiers;1710;USD;10.3389/frobt.2021.768092;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.754894;2021;
"University of Helsinki";Frontiers;1035;USD;10.3389/ffgc.2021.773223;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpls.2021.747886;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fendo.2021.738570;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.684565_Helsinki;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fnins.2021.686027;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.761864;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.727746;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fbioe.2021.754952;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fsufs.2021.763352;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fcvm.2021.728198;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fpos.2021.734093;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fbioe.2021.767139;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fgene.2021.786705;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fendo.2021.784195;2021;
"University of Helsinki";Frontiers;2241;USD;10.3389/fenvs.2021.773778;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpls.2021.786593_Helsinki;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fimmu.2021.704633;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpls.2021.732701;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/feduc.2021.758179;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fcimb.2021.774665;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fphar.2021.802539;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.788586;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpls.2021.790684;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.731929;2021;
"University of Helsinki";Frontiers;855;USD;10.3389/fsufs.2021.750598;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fphar.2021.755600;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fvets.2021.799645;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.770425;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.790848;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.790438;2021;
"University of Helsinki";Frontiers;1035;USD;10.3389/fclim.2021.738154;2021;
"University of Helsinki";Frontiers;1665;USD;10.3389/fimmu.2020.611830;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmicb.2021.789280;2021;
"University of Helsinki";Frontiers;1710;USD;10.3389/froh.2021.794248_Helsinki;2021;
"University of Helsinki";Frontiers;1710;USD;10.3389/frobt.2021.800131;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fmats.2021.769947;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fnbeh.2020.580849;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fimmu.2020.559810;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fpsyg.2021.815497;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fimmu.2021.792813;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fcell.2021.820105;2021;
"University of Helsinki";Frontiers;2655;USD;10.3389/fonc.2021.786150;2021;
"University of Helsinki";AAS;1942;USD;10.3847/PSJ/ac1591;2021;
"University of Helsinki";APS Publishing;4030;USD;10.1094/MPMI-10-20-0274-R;2021;
"University of Helsinki";ARVO;1850;USD;10.1167/tvst.10.7.15;2021;
"University of Helsinki";ARVO;1850;USD;10.1167/jov.21.11.9;2021;
"University of Helsinki";ASCI;3650;USD;10.1172/jci. insight.141486;2021;
"University of Helsinki";CEPR;795;USD;10.4102/sajce.v11i1.1022;2021;
"University of Helsinki";BMC;1899;EUR;10.1186/s12889-021-10512-6;2021;
"University of Helsinki";BMC;862.5;EUR;10.1186/s43008-021-00054-2;2021;
"University of Helsinki";BMC;1831.5;EUR;10.1186/s13287-021-02259-z;2021;
"University of Helsinki";BMC;1899.5;EUR;10.1186/s13000-021-01102-6;2021;
"University of Helsinki";BMC;2745;EUR;10.1186/s13017-021-00376-x;2021;
"University of Helsinki";BMC;1850;EUR;10.1186/s12913-021-07291-6;2021;
"University of Helsinki";BMC;1831.5;EUR;10.21203/rs.3.rs-271280/v1;2021;
"University of Helsinki";BMC;1938;EUR;10.1186/s12966-021-01205-9;2021;
"University of Helsinki";BMC;1990;EUR;10.1186/s12887-021-02951-2;2021;
"University of Helsinki";BMC;1746.5;EUR;10.1186/s13062-021-00308-4;2021;
"University of Helsinki";BMC;1916;EUR;10.1186/s13028-021-00604-z;2021;
"University of Helsinki";BMC;1899.5;EUR;10.1186/s13023-021-02077-9;2021;
"University of Helsinki";BMC;2045;EUR;10.1186/s12891-021-04768-7;2021;
"University of Helsinki";BMC;2225;EUR;10.1186/s12885-021-08969-0;2021;
"University of Helsinki";BMC;1845;EUR;10.1186/s12909-021-03008-9;2021;
"University of Helsinki";BMC;2245;EUR;10.1186/s12888-021-03654-9;2021;
"University of Helsinki";BMJ;1500;GBP;10.1136/bmjopen-2020-043092;2021;
"University of Helsinki";BMJ;1950;GBP;10.1136/openhrt-2021-001622;2021;
"University of Helsinki";BMJ;1350;GBP;10.1136/bmjopen-2020-045689;2021;
"University of Helsinki";BMJ;1500;GBP;10.1136/bmjopen-2021-051269;2021;
"University of Helsinki";BMJ;1776.22;EUR;10.1136/bmjopen-2021-053133;2021;
"University of Helsinki";BMJ;3500;GBP;10.1136/bmj-2021-067633;2021;
"University of Helsinki";BMJ;2200;EUR;10.1136/bmjopen-2021-050502;2021;
"University of Helsinki";EDP Sciences;450;EUR;10.1051/aacus/2021045 ;2021;
"University of Helsinki";Elsevier;600;USD;10.1016/j.futures.2020.102670;2021;
"University of Helsinki";Elsevier;1890;EUR;10.1016/j.pmedr.2021.101337;2021;
"University of Helsinki";Elsevier;300;USD;10.1016/j.dib.2020.106094;2021;
"University of Helsinki";Elsevier;2000;USD;10.1016/j.jag.2021.102319;2021;
"University of Helsinki";Elsevier;790;EUR;10.1016/j.ssmph.2021.100774;2021;
"University of Helsinki";Elsevier;750;USD;10.1016/j.heliyon.2021.e06871;2021;
"University of Helsinki";Elsevier;3000;USD;10.1016/j.isci.2021.102535;2021;
"University of Helsinki";Elsevier;910;EUR;10.1016/j.pacs.2021.100265;2021;
"University of Helsinki";Elsevier;1750;USD;10.1016/j.ijid.2021.05.047;2021;
"University of Helsinki";Elsevier;1445;EUR;10.1016/j.neuroimage.2021.118110;2021;
"University of Helsinki";Elsevier;830;EUR;10.1016/j.jff.2021.104459;2021;
"University of Helsinki";Elsevier;1050;EUR;10.1016/j.humic.2021.100080;2021;
"University of Helsinki";Elsevier;920;EUR;10.1016/j.comppsych.2021.152253;2021;
"University of Helsinki";Elsevier;790;EUR;10.1016/j.ssmph.2021.100826;2021;
"University of Helsinki";Elsevier;655;EUR;10.1016/j.actpsy.2021.103355;2021;
"University of Helsinki";Elsevier;790;EUR;10.1016/j.ssmph.2021.100850;2021;
"University of Helsinki";Elsevier;920;EUR;10.1016/j.breast.2021.06.012;2021;
"University of Helsinki";Elsevier;610;EUR;10.1016/j.dib.2021.107096;2021;
"University of Helsinki";Elsevier;1050;EUR;10.1016/j.matdes.2021.109879;2021;
"University of Helsinki";Elsevier;200;EUR;10.1016/j.dib.2021.106751;2021;
"University of Helsinki";Elsevier;1075;EUR;10.1016/j.epidem.2021.100468;2021;
"University of Helsinki";Elsevier;200;USD;10.1016/j.mex.2021.101481;2021;
"University of Helsinki";Elsevier;1380;EUR;10.1016/j.nicl.2021.102818;2021;
"University of Helsinki";Elsevier;427.5;EUR;10.1016/j.jaccas.2021.07.004;2021;
"University of Helsinki";Elsevier;2280;USD;10.1016/j.pmedr.2021.101574;2021;
"University of Helsinki";Elsevier;2330;EUR;10.1016/j.biopha.2021.112264;2021;
"University of Helsinki";Elsevier;1590;EUR;10.1016/j.gecco.2021.e01858;2021;
"University of Helsinki";Elsevier;1005;EUR;10.1016/j.ultsonch.2021.105798;2021;
"University of Helsinki";Elsevier;2865.72;EUR;10.1016/j.stemcr.2021.10.017;2021;
"University of Helsinki";Elsevier;440;EUR;10.1016/j.dib.2021.107541;2021;
