"institution","Publisher","ISSN","APC (€)","DOI","Year","is_hybrid"
"University of Helsinki","Copernicus","1867-8548",1209,"10.5194/amt-16-2471-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1860,"10.5194/acp-23-5885-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1767,"10.5194/acp-23-12965-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",2511,"10.5194/acp-23-389-2023",2023,NA
"University of Helsinki","Copernicus","1726-4189",1302,"10.5194/bg-20-4029-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1437.33,"doi.org/10.5194/acp-23-4373-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1860,"10.5194/acp-23-3779-2023",2023,NA
"University of Helsinki","Copernicus","1991-9603",1600,"10.5194/gmd-16-1395-2023",2023,NA
"University of Helsinki","Copernicus","1991-9603",1600,"10.5194/gmd-16-2077-2023",2023,NA
"University of Helsinki","Copernicus","1867-8548",1078,"10.5194/amt-16-2943-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",3255,"10.5194/acp-23-9287-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1232,"10.5194/acp-23-14627-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",2604,"doi.org/10.5194/acp-23-6663-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1674,"doi.org/10.5194/acp-23-4559-2023",2023,NA
"University of Helsinki","Copernicus","1867-8548",2079,"10.5194/amt-16-4461-2023",2023,NA
"University of Helsinki","Copernicus","1994-0424",1302,"10.5194/tc-17-2045-2023",2023,NA
"University of Helsinki","de Gruyter","2451-3474",500,"10.1515/culture-2022-0186",2023,NA
"University of Helsinki","de Gruyter","2451-3474",500,"10.1515/culture-2022-0191",2023,NA
"University of Helsinki","De Gruyter","2451-3474",500,"10.1515/culture-2022-0188",2023,NA
"University of Helsinki","de Gruyter","2543-8875",500,"10.1515/opphil-2022-0240",2023,NA
"University of Helsinki","EAP","1736-7484",250,"10.3176/arch.2023.1.02",2023,NA
"University of Helsinki","EDP Sciences","2115-7251",1200,"10.1051/swsc/2023017 ",2023,NA
"University of Helsinki","eLife","2050-084X",1888.81,"10.7554/eLife.92748.1",2023,NA
"University of Helsinki","eLife","2050-084X",1835.1,"10.7554/eLife.91757.1",2023,NA
"University of Helsinki","eLife","2050-084X",2791,"10.7554/eLife.80116",2023,NA
"University of Helsinki","Elsevier","1936-5233",2670,"10.1016/j.tranon.2023.101677",2023,NA
"University of Helsinki","Elsevier","2351-9894",1910,"10.1016/j.gecco.2023.e02744",2023,NA
"University of Helsinki","Elsevier","2213-7173",1720,"10.1016/j.jgar.2023.04.015",2023,NA
"University of Helsinki","Elsevier","2405-8440",1740,"10.1016/j.heliyon.2023.e18801",2023,NA
"University of Helsinki","Elsevier","2352-3964",3500,"10.1016/j.ebiom.2023.104695",2023,NA
"University of Helsinki","Elsevier","2451-943X",1950,"10.1016/j.vas.2023.100310",2023,NA
"University of Helsinki","Elsevier","2351-9894",1660,"10.1016/j.gecco.2023.e02722",2023,NA
"University of Helsinki","Elsevier","2405-8440",1710,"10.1016/j.heliyon.2023.e17646",2023,NA
"University of Helsinki","Elsevier","2589-0042",2256,"10.1016/j.isci.2023.108423",2023,NA
"University of Helsinki","Elsevier","2351-9894",1660,"10.1016/j.gecco.2023.e02437",2023,NA
"University of Helsinki","Elsevier","2405-8440",1880,"10.1016/j.heliyon.2023.e20503",2023,NA
"University of Helsinki","Elsevier","2589-0042",2600,"10.1016/j.isci.2023.108354",2023,NA
"University of Helsinki","Elsevier","2468-2667",3500,"10.1016/S2468-2667(23)00049-X",2023,NA
"University of Helsinki","Elsevier","2212-0963",1005,"10.1016/j.crm.2023.100533",2023,NA
"University of Helsinki","Elsevier","2666-1683",1312,"10.1016/j.euros.2023.09.005",2023,NA
"University of Helsinki","Elsevier","2351-9894",1660,"10.1016/j.gecco.2023.e02589",2023,NA
"University of Helsinki","Elsevier",26667762,3500,"10.1016/j.lanepe.2023.100750",2023,NA
"University of Helsinki","Elsevier","1950-6007",2780,"10.1016/j.biopha.2023.115451",2023,NA
"University of Helsinki","Elsevier","2589-9864",1930,"10.1016/j.ebr.2023.100586",2023,NA
"University of Helsinki","Elsevier","2214-9414",2170,"10.1016/j.jff.2023.105938",2023,NA
"University of Helsinki","Elsevier","2590-2911",750,"10.1016/j.ssaho.2023.100711",2023,NA
"University of Helsinki","Elsevier","2666-7568",3500,"10.1016/S2666-7568(23)00231-3",2023,NA
"University of Helsinki","Elsevier","2352-3409",460,"10.1016/j.dib.2023.108926",2023,NA
"University of Helsinki","Elsevier","2665-9727",1330,"10.1016/j.indic.2023.100232",2023,NA
"University of Helsinki","Elsevier","2667-0267",1740,"10.1016/j.xjidi.2023.100203",2023,NA
"University of Helsinki","Elsevier","2666-4984",1820,"10.1016/j.ese.2023.100315",2023,NA
"University of Helsinki","Elsevier","1476-5586",2890,"10.1016/j.neo.2023.100933",2023,NA
"University of Helsinki","Elsevier","2589-7500",3500,"10.1016/S2589-7500(23)00175-9",2023,NA
"University of Helsinki","Elsevier","2667-2375",3500,"10.1016/j.crmeth.2023.100565",2023,NA
"University of Helsinki","Elsevier","2666-3546",2220,"10.1016/j.bbih.2023.100587",2023,NA
"University of Helsinki","Elsevier","2589-0042",1410,"10.1016/j.isci.2023.107360",2023,NA
"University of Helsinki","Elsevier","2589-5559",1987.5,"10.1016/j.jhepr.2023.100928",2023,NA
"University of Helsinki","Elsevier","2211-1247",3500,"10.1016/j.celrep.2023.113379",2023,NA
"University of Helsinki","Elsevier","1872-7034",2370,"10.1016/j.ecolind.2023.110983",2023,NA
"University of Helsinki","Elsevier","2405-8807",1780,"10.1016/j.cliser.2023.100429",2023,NA
"University of Helsinki","Elsevier","1525-3198",1458.15,"10.3168/jds.2023-23885",2023,NA
"University of Helsinki","Elsevier","2405-8440",1710,"10.1016/j.heliyon.2023.e13410",2023,NA
"University of Helsinki","Elsevier","2211-1247",3500,"10.1016/j.celrep.2023.112066",2023,NA
"University of Helsinki","Elsevier","2472-5560",643.43,"10.1016/j.slasd.2022.11.003",2023,NA
"University of Helsinki","Elsevier","2472-5560",1580,"10.1016/j.slasd.2023.03.002",2023,NA
"University of Helsinki","Elsevier","1095-9572",3150,"10.1016/j.neuroimage.2023.120397",2023,NA
"University of Helsinki","Elsevier","2351-9894",1660,"10.1016/j.gecco.2022.e02361",2023,NA
"University of Helsinki","Frontiers","2673-6861",1553.74,"10.3389/fresc.2023.1200958",2023,NA
"University of Helsinki","Frontiers","2624-9634",780.39,"10.3389/frsc.2023.1160995",2023,NA
"University of Helsinki","Frontiers","2673-6225",982,"10.3389/fanim.2023.1278495",2023,NA
"University of Helsinki","Frontiers","1664-3224",2455.85,"10.3389/fimmu.2023.1060540",2023,NA
"University of Helsinki","Frontiers","1664-3224",2425.72,"10.3389/fimmu.2023.1171083",2023,NA
"University of Helsinki","Frontiers","1664-462X",2419.25,"10.3389/fpls.2023.1193284",2023,NA
"University of Helsinki","Frontiers","2297-7775",783.44,"10.3389/fsoc.2023.1231050",2023,NA
"University of Helsinki","Frontiers","1664-2392",2419.25,"10.3389/fendo.2023.1134530",2023,NA
"University of Helsinki","Frontiers","2297-1769",2426.18,"10.3389/fvets.2023.1179808",2023,NA
"University of Helsinki","Frontiers","1664-302X",2480.28,"10.3389/fmicb.2023.1078760",2023,NA
"University of Helsinki","Frontiers","1664-302X",2425,"10.3389/fmicb.2023.1254535",2023,NA
"University of Helsinki","Frontiers","1664-302X",2472.86,"10.3389/fmicb.2023.1276268",2023,NA
"University of Helsinki","Frontiers","2297-1769",656.07,"10.3389/fvets.2022.1075133",2023,NA
"University of Helsinki","Frontiers","1664-2392",2425.8,"10.3389/fendo.2023.1236710",2023,NA
"University of Helsinki","Frontiers","2504-284X",788.17,"10.3389/feduc.2023.1223665",2023,NA
"University of Helsinki","Frontiers","2296-2565",2374.83,"10.3389/fpubh.2023.1208858",2023,NA
"University of Helsinki","Frontiers","2297-900X",798.73,"10.3389/fcomm.2023.1066475",2023,NA
"University of Helsinki","Frontiers","1664-1078",2505.78,"10.3389/fpsyg.2023.1232594",2023,NA
"University of Helsinki","Frontiers","2296-4185",2459.4,"10.3389/fbioe.2023.1102780",2023,NA
"University of Helsinki","Frontiers","2624-9898",922.99,"10.3389/fcomp.2023.1143904",2023,NA
"University of Helsinki","Frontiers","2296-424X",2104.69,"10.3389/fphy.2023.1286802",2023,NA
"University of Helsinki","Frontiers","2297-7775",775.47,"10.3389/fsoc.2023.1125343",2023,NA
"University of Helsinki","Frontiers","1664-2392",2419.25,"10.3389/fendo.2023.1178155",2023,NA
"University of Helsinki","Frontiers","2297-1769",2454.61,"10.3389/fvets.2023.1105113",2023,NA
"University of Helsinki","Frontiers","2296-665X",2095.77,"10.3389/fenvs.2023.1129336",2023,NA
"University of Helsinki","Frontiers","2296-634X",2437.76,"10.3389/fcell.2023.1234204",2023,NA
"University of Helsinki","Frontiers","2297-7775",811.95,"10.3389/fsoc.2023.1171087",2023,NA
"University of Helsinki","Frontiers","2296-634X",2477,"10.3389/fcell.2023.1049131",2023,NA
"University of Helsinki","Frontiers","2297-900X",808.57,"10.3389/fcomm.2023.1047799",2023,NA
"University of Helsinki","Frontiers","2297-7775",794.4,"10.3389/fsoc.2023.1223203",2023,NA
"University of Helsinki","Frontiers","1662-5161",2434.11,"10.3389/fnhum.2023.1174574",2023,NA
"University of Helsinki","Frontiers","2673-4192",1546.71,"10.3389/frvir.2023.1138240",2023,NA
"University of Helsinki","Frontiers","2296-701X",2093.56,"10.3389/fevo.2023.1132729",2023,NA
"University of Helsinki","Frontiers","1664-1078",2494.72,"10.3389/fpsyg.2023.1034423",2023,NA
"University of Helsinki","Frontiers","1664-1078",2410.13,"10.3389/fpsyg.2023.1091743",2023,NA
"University of Helsinki","Frontiers","1664-302X",3003,"10.3389/fmicb.2022.864619",2023,NA
"University of Helsinki","Frontiers","1663-9812",2499.78,"10.3389/fphar.2023.1146475",2023,NA
"University of Helsinki","Frontiers","2235-2988",2457.64,"10.3389/fcimb.2023.1190019",2023,NA
"University of Helsinki","Frontiers","2504-284X",775.3,"10.3389/feduc.2023.1330898",2023,NA
"University of Helsinki","Frontiers","1664-302X",2456.7,"10.3389/fmicb.2023.1323346",2023,NA
"University of Helsinki","Frontiers","2504-284X",781.37,"10.3389/feduc.2023.1215549",2023,NA
"University of Helsinki","Frontiers","1664-8021",2404.53,"10.3389/fgene.2023.1173376",2023,NA
"University of Helsinki","Frontiers","2297-7775",778.96,"10.3389/fsoc.2023.1212090",2023,NA
"University of Helsinki","Frontiers","1432-2277",2260.33,"10.3389/ti.2023.11332",2023,NA
"University of Helsinki","Frontiers","1432-2277",2430,"10.3389/ti.2023.11785",2023,NA
"University of Helsinki","Frontiers","2624-9898",974.55,"10.3389/fcomp.2023.1286591",2023,NA
"University of Helsinki","Frontiers","2297-1769",2427.82,"10.3389/fvets.2023.1180622",2023,NA
"University of Helsinki","Frontiers","1664-1078",978.8,"10.3389/fpsyg.2023.1155264",2023,NA
"University of Helsinki","Frontiers","1664-1078",2455,"10.3389/fpsyg.2023.1058544",2023,NA
"University of Helsinki","Frontiers","2571-581X",796.8,"10.3389/fsufs.2023.1125456",2023,NA
"University of Helsinki","Frontiers","2673-6101",1934,"10.3389/falgy.2022.878862",2023,NA
"University of Helsinki","Frontiers","1664-2392",2446.07,"10.3389/fendo.2023.1286375",2023,NA
"University of Helsinki","Frontiers","2673-4192",1581.65,"10.3389/frvir.2023.1243387",2023,NA
"University of Helsinki","Frontiers","2296-634X",2437.76,"10.3389/fcell.2023.1257651",2023,NA
"University of Helsinki","Frontiers","1664-1078",2441.38,"10.3389/fpsyg.2023.1104627",2023,NA
"University of Helsinki","Frontiers","2296-701X",2045.44,"10.3389/fevo.2023.1177638",2023,NA
"University of Helsinki","Frontiers","2297-055X",2038.41,"10.3389/fcvm.2023.1130162",2023,NA
"University of Helsinki","Frontiers","2297-900X",782.57,"10.3389/fcomm.2023.1173179",2023,NA
"University of Helsinki","Frontiers","2297-1769",2436,"10.3389/fvets.2023.1163025",2023,NA
"University of Helsinki","Frontiers","2297-1769",2412.38,"10.3389/fvets.2023.1207930",2023,NA
"University of Helsinki","Frontiers","1664-8021",2476.71,"10.3389/fgene.2023.1170940",2023,NA
"University of Helsinki","Frontiers","1662-5161",2510.83,"10.3389/fnhum.2023.1122886",2023,NA
"University of Helsinki","Frontiers","2297-055X",2097.05,"10.3389/fcvm.2023.1130903",2023,NA
"University of Helsinki","Frontiers","2297-055X",2375,"10.3389/fcvm.2023.1254272",2023,NA
"University of Helsinki","Frontiers","1664-462X",2490.12,"10.3389/fpls.2023.1126717",2023,NA
"University of Helsinki","Frontiers","2234-943X",2685,"10.3389/fonc.2023.1123901",2023,NA
"University of Helsinki","Frontiers","1664-3224",2449.4,"10.3389/fimmu.2023.1249958",2023,NA
"University of Helsinki","Frontiers","2624-9367",1624.27,"10.3389/fspor.2023.1232428",2023,NA
"University of Helsinki","Frontiers","1664-1078",2456.42,"10.3389/fpsyg.2023.1183704",2023,NA
"University of Helsinki","Frontiers","2673-4524",959.1,"10.3389/frsus.2023.1176559",2023,NA
"University of Helsinki","Frontiers","2296-861X",2039.86,"10.3389/fnut.2023.1273299",2023,NA
"University of Helsinki","Frontiers","2296-861X",2024.22,"10.3389/fnut.2023.1280209",2023,NA
"University of Helsinki","Frontiers","2235-2988",2466.77,"10.3389/fncel.2023.1322541",2023,NA
"University of Helsinki","Frontiers","2297-1769",2516.11,"10.3389/fvets.2023.1186131",2023,NA
"University of Helsinki","Frontiers","2297-1769",2459.21,"10.3389/fvets.2023.1227437",2023,NA
"University of Helsinki","Frontiers","1664-1078",2429.71,"10.3389/fpsyg.2023.1200627",2023,NA
"University of Helsinki","Frontiers","1664-8021",2405.84,"10.3389/fgene.2023.1192368",2023,NA
"University of Helsinki","Frontiers","2296-2565",2427.17,"10.3389/fpubh.2023.1141452",2023,NA
"University of Helsinki","Frontiers","2297-1769",2456.42,"10.3389/fvets.2023.1186051",2023,NA
"University of Helsinki","Frontiers","2504-284X",2424.67,"10.3389/fvets.2023.1181961",2023,NA
"University of Helsinki","Frontiers","2234-943X",2459.46,"10.3389/fonc.2023.1118268",2023,NA
"University of Helsinki","Frontiers","2624-893X",958.06,"10.3389/ffgc.2023.1187724",2023,NA
"University of Helsinki","Frontiers","1664-302X",2493.51,"10.3389/fmicb.2023.1258148",2023,NA
"University of Helsinki","Frontiers","1664-462X",2420,"10.3389/fpls.2023.1208724",2023,NA
"University of Helsinki","Frontiers","2624-893X",975.9,"10.3389/ffgc.2023.1136039",2023,NA
"University of Helsinki","Frontiers","2296-701X","2128.64","10.3389/fevo.2023.1157297",2023,NA
"University of Helsinki","Frontiers","2297-7775",764.74,"10.3389/fsoc.2023.1199474",2023,NA
"University of Helsinki","Frontiers","1664-1078",2519,"10.3389/fpsyg.2023.1270371",2023,NA
"University of Helsinki","Frontiers","1664-1078",2436.44,"10.3389/fpsyg.2023.1254846",2023,NA
"University of Helsinki","Frontiers","2297-055X",2604.51,"10.3389/fcvm.2023.1264921",2023,NA
"University of Helsinki","Frontiers","2624-9634",810.27,"10.3389/frsc.2023.1265610",2023,NA
"University of Helsinki","Frontiers","2296-7745",2454.64,"10.3389/fmars.2023.1150213",2023,NA
"University of Helsinki","Frontiers","2296-7745",2434.34,"10.3389/fmars.2023.1151875",2023,NA
"University of Helsinki","Frontiers","2297-7775",796.82,"10.3389/fsoc.2023.1291325",2023,NA
"University of Helsinki","Frontiers","1664-1078",2424.76,"10.3389/fpsyg.2023.1150421",2023,NA
"University of Helsinki","Frontiers","1664-1078",811.405,"10.3389/fpsyg.2023.1131133",2023,NA
"University of Helsinki","Frontiers","2504-284X",783.94,"10.3389/feduc.2023.1232273",2023,NA
"University of Helsinki","Frontiers","1663-4365",2440.82,"10.3389/fnagi.2023.1236971",2023,NA
"University of Helsinki","Frontiers","2504-284X",779.56,"10.3389/feduc.2023.1232423",2023,NA
"University of Helsinki","Frontiers","1664-2295",2455.71,"10.3389/fneur.2023.1249995",2023,NA
"University of Helsinki","Frontiers","2235-2988",2422.56,"10.3389/fcimb.2023.1181315",2023,NA
"University of Helsinki","Frontiers","1664-302X",2494,"10.3389/fmicb.2023.1127249",2023,NA
"University of Helsinki","Frontiers","2296-4185",2460.31,"10.3389/fbioe.2023.1139611",2023,NA
"University of Helsinki","Frontiers","1664-0640",2461.1,"10.3389/fpsyt.2023.1188697",2023,NA
"University of Helsinki","Frontiers","1664-2295",2505.78,"10.3389/fneur.2023.1277944",2023,NA
"University of Helsinki","Frontiers","2504-284X",793.18,"10.3389/feduc.2023.1066380",2023,NA
"University of Helsinki","Frontiers","1664-462X",2435.1,"10.3389/fpls.2023.1174339",2023,NA
"University of Helsinki","Frontiers","1664-462X",2474.75,"10.3389/fpls.2023.1259431",2023,NA
"University of Helsinki","Frontiers","1664-1078",2464.25,"10.3389/fpsyg.2023.1235929",2023,NA
"University of Helsinki","Frontiers","2673-4524",951.59,"10.3389/frsus.2023.975679",2023,NA
"University of Helsinki","Frontiers","1664-3224",2450.7,"10.3389/fimmu.2023.1077236",2023,NA
"University of Helsinki","Frontiers","2504-284X",728.23,"10.3389/feduc.2023.1244428",2023,NA
"University of Helsinki","Frontiers","1662-5188",2498.09,"10.3389/fncom.2023.1011814",2023,NA
"University of Helsinki","Frontiers","2296-861X",2047,"10.3389/fnut.2023.1186165",2023,NA
"University of Helsinki","Frontiers","2504-284X",782.24,"10.3389/feduc.2023.1275126",2023,NA
"University of Helsinki","Frontiers","2673-3145",794.38,"10.3389/fpos.2023.1300149",2023,NA
"University of Helsinki","Frontiers","1664-1078",2440.98,"10.3389/fpsyg.2023.1206949",2023,NA
"University of Helsinki","Frontiers","2297-1769",2420.93,"10.3389/fvets.2023.1235417",2023,NA
"University of Helsinki","Frontiers","1664-462X",2374.83,"10.3389/fpls.2023.1227219",2023,NA
"University of Helsinki","Frontiers","2235-2988",2481.37,"10.3389/fcimb.2023.1176755",2023,NA
"University of Helsinki","Frontiers","1664-302X",2434.11,"10.3389/fmicb.2023.1219723",2023,NA
"University of Helsinki","Frontiers","1664-1078",2426.36,"10.3389/fpsyg.2023.1063920",2023,NA
"University of Helsinki","Frontiers","2296-4185",2440.2,"10.3389/fbioe.2023.1171908",2023,NA
"University of Helsinki","Frontiers","2296-4185",2440.2,"10.3389/fbioe.2023.1159193",2023,NA
"University of Helsinki","Frontiers","2296-4185",2436.6,"10.3389/fbioe.2023.1307878",2023,NA
"University of Helsinki","Frontiers","2504-284X",779.18,"10.3389/feduc.2023.1153618",2023,NA
"University of Helsinki","Frontiers","2504-284X",792.3,"10.3389/feduc.2023.1223732",2023,NA
"University of Helsinki","Frontiers","1432-2277",2430,"10.3389/ti.2023.11255",2023,NA
"University of Helsinki","Frontiers","2297-055X",2038.41,"10.3389/fcvm.2023.1148618",2023,NA
"University of Helsinki","Frontiers","1664-3224",2510.83,"10.3389/fimmu.2023.1142609",2023,NA
"University of Helsinki","Frontiers","1664-302X",2494.72,"10.3389/fmicb.2023.1128028",2023,NA
"University of Helsinki","Frontiers","2235-2988",2416.71,"10.3389/fncel.2023.1289794",2023,NA
"University of Helsinki","FSF","1592-8721",3002,"10.3324/haematol.2023.282831",2023,NA
"University of Helsinki","HighWire Press","1791-7549",747.51,"10.21873/invivo.12957",2023,NA
"University of Helsinki","IEEE","2169-3536",1852.23,"10.1109/ACCESS.2023.3322934",2023,NA
"University of Helsinki","IOP","1538-4365",3549.96,"10.3847/1538-4365/acff6a",2023,NA
"University of Helsinki","IOP","2041-8213",2431.66,"10.3847/2041-8213/ad137e",2023,NA
"University of Helsinki","IOP","2632-3338",1701,"10.3847/PSJ/acc848",2023,NA
"University of Helsinki","IOP","2041-8213",2317.63,"10.3847/2041-8213/acfd1c",2023,NA
"University of Helsinki","IOS Press","2214-3602",2150,"10.3233/JND-230026",2023,NA
"University of Helsinki","JAMA Network","2574-3805",2847.07,"10.1001/jamanetworkopen.2023.41194",2023,NA
"University of Helsinki","JAMA Network","2574-3805",2742,"10.1001/jamanetworkopen.2023.54285",2023,NA
"University of Helsinki","JAMA Network","2574-3805",2740.63,"10.1001/jamanetworkopen.2023.50579",2023,NA
"University of Helsinki","JMIR Publications","2371-4379",1879.6,"10.2196/43979",2023,NA
"University of Helsinki","Karger","1662-4033",1630,"10.1159/000534525",2023,NA
"University of Helsinki","LSA","2575-1077",3558.8,"10.26508/lsa.202302036",2023,NA
